ParlaMint-GB_2019-01-23-commons.u1	1. What assessment he has made of the potential effect of the EU withdrawal agreement on Wales.
ParlaMint-GB_2019-01-23-commons.u284	My hon. Friend is getting to the fundamentals of the issues. Let me give an example. I met a bunch of laggers, who handed me a document about the combustible compounds contained in phenolic foam insulation, which is used in multiple buildings. That document was 15 years old, and it detailed the combustible properties of that foam, which is still used and passes Government tests. The whole industry has to put up its hands on its historic culpability and the way it has dodged the inspection regime. These are life and death issues for our constituents.
ParlaMint-GB_2019-01-23-commons.u285	I am grateful to my hon. Friend for the important point that he has made. He has emphasised that this is not just about ACM cladding—there is a problem with wider fire safety regulations in the entire building sector—which we cannot allow, not just on residential blocks but on many different kinds of buildings. We need to understand properly those conflicts of financial interest if we are to understand what led Ministers to reject advice that they should have followed all that time ago I hope the Minister will put me right on this point, but I fear that subsequent Secretaries of State and Housing Ministers did not correct the mistakes made in the decision to ignore the Lakanal House findings because, if they recognised it as political failure, they would have to take political responsibility for the 72 deaths at Grenfell Tower after it went up, which they did not want to do. That is an extraordinary thing to have to say, but I believe it is true because I can think of no other reason why Minister after Minister failed to correct regulations and guidance that were so manifestly unacceptable, and that posed such a threat to life. That is not just supposition—we saw that it was a threat to life in the scale of the tragedy and the deaths that happened at Grenfell Tower. I would go so far as to say that, if the Government were a private company and acted as they have, Ministers could be in the dock for corporate manslaughter.
ParlaMint-GB_2019-01-23-commons.u286	My hon. Friend makes incredibly powerful points that must be taken seriously. Does he agree that the Government need to trace it back to the source and say which local government Ministers did or did not take seriously the Lakanal House report recommendations?
ParlaMint-GB_2019-01-23-commons.u287	I agree with my hon. Friend. It is critical that that happens so that we can understand what went wrong in the process. If we do not understand it, we cannot stop it from ever happening again The Minister mentioned the partial ban on flammable cladding that the Government have announced, which is welcome. Industry bodies have said on the record that they welcome it, but have also said that it is not enough and that we need to go further. The Government have proposed a ban on ACM cladding on new buildings that are over 18 metres high—that is roughly six storeys—but have excluded hotels and office blocks. I simply do not understand why. What evidence is there that a hotel or an office block is any safer than a block of flats? Surely if someone is in a hotel where they have never stayed, they are less likely to know the fire safety escape routes than if they are living in a block of flats, where they may have lived for some considerable time. Many people at work have disabilities and are immobile. Why do we assume that somebody on the 18th floor of a tall office block will be able to get out, but that somebody living on the 18th floor of a residential block needs protection from flammable cladding? It makes absolutely no sense to me whatsoever, and I would like the Minister to explain to the House today what evidence there is that hotels and office blocks of more than six storeys or 18 metres are any safer than blocks of flats of the same height As my hon. Friend the hon. Member for Kingston upon Hull West and Hessle (Emma Hardy) said, after the new partial ban, the Government will still permit the use of flammable cladding on schools, care homes and hospitals under six storeys high, which of course most of them are. I wonder whether the Minister would feel comfortable telling a group of parents that he is allowing flammable cladding to go up on the building where they take their children every morning for an education. I certainly would not.
ParlaMint-GB_2019-01-23-commons.u288	One justification for not having sprinklers in schools is that it is easy to vacate a building. Having been a teacher for 11 years, I know that it would need only a couple of young children to go a-wander, as they can sometimes do, to create a risky situation. If I can dare to use this opportunity to put another point to the Minister, I would ask him not only to look at banning combustible materials, but to look again at putting sprinklers into schools.
ParlaMint-GB_2019-01-23-commons.u289	I look forward to the Minister’s response, but I agree completely agree with my hon. Friend I will draw to a close soon and I look forward to the Minister’s response to hon. Members, but we need to recognise the scale of Government failure to put things right in any acceptable way, given that it has been 10 years since Lakanal House and 19 months since Grenfell Tower. The best way to meet the Lakanal House coroner’s demand for clarity is to implement a complete ban on the use of flammable cladding on all buildings where people live or work. It is crystal clear; it is understandable to the building industry and everybody else; and it could be implemented if the Government had the will. In addition, we cannot look only at new builds. We need to look at all buildings where flammable cladding exists and continues to pose an unacceptable danger to people’s safety and even to their lives. We need an action plan from the Government, for which they take responsibility, to strip flammable cladding from every single building where it exists. Many European countries have such a ban. Scotland is introducing a ban. We need that ban here, too There is one fire a month on average in buildings with flammable cladding. It is only a matter of time before one of those fires is not put out. The Government simply cannot risk the horror of another Grenfell. This is a time for action, not for words.
ParlaMint-GB_2019-01-23-commons.u290	Before I call the next speaker, I must inform the House of an error in calculating the number of votes of Members for English constituencies in the Division on Lords amendment 36. The figures for the England-only vote should not have been announced as Ayes 265 and Noes 193; they should have been announced as Ayes 261 and Noes 194. The result is unaffected.
ParlaMint-GB_2019-01-23-commons.u291	I am grateful for the time that has become available to make some brief remarks, although my hon. Friend the Member for Croydon North (Mr Reed) set the case out fully and persuasively, covering many of the points We all wait keenly to hear what the Minister has to say in his response. Notwithstanding his comment that we went through all this yesterday, rather than being bored by the subject or not interested in responding, he should seize the opportunity to give a fuller account of where the Government stand. As my hon. Friend set out, the Government’s inactivity and partial solutions mean that we are in a state of some confusion—certainly our constituents are—and severely worried about the risks that remain. That is not scaremongering; those are real concerns felt by our constituents In a block in my constituency—I am going to a residents’ meeting tomorrow night, the fourth on the removal of flammable cladding that I will have attended—the residents are fortunate in the sense that they have a housing association as a landlord, it has accepted liability and is removing the cladding at its own expense, and it is prepared to put up non-flammable cladding instead. The situation is still incredibly worrying: fire marshals have been in for periods, and there are concerns about the structure and other potential damage to the building, causing a huge amount of anxiety and of time taken up in negotiation I feel very much for my constituents and those of other Members who do not have similar advantages, but that introductory point allows me to say that the problem is widespread and hugely complicated. The Government seem to rely, as if on a crutch, on the Dame Judith Hackitt report. It is a good report, but it approaches the matter in a certain way—she would like to see a “golden thread of information” through UK projects from “design and construction” to “operation”—and at the moment we do not have a clear picture of which buildings are at risk Dame Judith can set out a preferred method of operation, but that does not resolve any of the many problems, or the conflicts of interest over time, set out by my hon. Friend, and nor does the report actually implement anything. Those are both matters for Government, and in those respects they are singularly failing. In clarification from the Minister, I want to hear in respect of existing buildings with all types of flammable cladding what the Government’s policy is likely to be. My understanding, from responses to questions I asked before Christmas, is that the policy is likely to cover residential buildings, buildings over 18 metres and buildings with aluminium composite material cladding systems. That excludes a very large number of buildings that we know could have flammable cladding. I cannot understand the logic of the policy not being comprehensive, other than that the Government might not want to put in the resources or are phasing it in over a very long time.
ParlaMint-GB_2019-01-23-commons.u292	In all the assessments we make or have made around the ban on combustible cladding, we are guided by the expert panel. It is effectively the expert advisory panel that is setting the 18-metre limit, deciding which buildings are within scope and where there is most risk to life. This decision has not been made by politicians in the absence of expert advice. As I said yesterday, I cannot pretend to be a fire safety expert. Both I and the Secretary of State take into account the advice of a group of people that includes Dame Judith Hackitt, and it advises us regularly on these measures.
ParlaMint-GB_2019-01-23-commons.u293	With respect to the Minister, he may be listening to what he wants to hear. He should listen to a wider range of voices. I will give an example. In yesterday’s urgent question, several Members—I was not one of them—mentioned the Rockwool company. I have quite a knowledge of this, because I have three very tall buildings—over 23 storeys—in my constituency that are just a few hundred metres from Grenfell Tower and which were fully clad by Rockwool. Following testing, the local authority was able to assure tenants that it was non-flammable cladding and that it met some of the highest standards The Minister, with almost wilful misunderstanding, said yesterday that he was not there to listen to people promoting individual companies. That is not the point. No one is promoting the commercial interests of Rockwool—in my dealings with it, it has been perfectly clear about that. We are pointing out that its standards are higher than many others in terms of the combustibility of the cladding, the insulation and the combination of materials. That is the point. No Member on either side of the Chamber is standing up and saying, “Please buy this particular product”; we are asking the Government to listen to the voices saying that their limitations and expectations do not go far enough.
ParlaMint-GB_2019-01-23-commons.u294	I want to reiterate what I said yesterday. I agreed with whoever it was who questioned me that it was not appropriate for us to promote a particular product from a particular company. As the hon. Gentleman says, the job of the Government is to set the standards, through building regulations, to which products must adhere and to make sure that the regulatory inspection regime works so that people can have confidence that the right product is being used in the right place. To reach those assessments, the Government require the advice of non-commercially interested expert opinion. The British people would not think it unreasonable for us to assemble a group of fire safety experts to advise on those standards and the circumstances in which they should pertain. That is all I am saying. As far as I can see, the Government are acting perfectly reasonably in taking this kind of advice. He may well dispute that advice, and he might think he can go further, but he needs to find evidence of where his expertise is coming from, and if it can be demonstrated that the independent expert advisory panel—the great and the good of fire safety—is incorrect, of course we will listen.
ParlaMint-GB_2019-01-23-commons.u295	I find the Minister’s attitude astonishingly complacent. I am a member of the all-party group on fire safety rescue, which has done a lot of work on this, but it cannot possibly compete with the resources of the Government, so let us not be ridiculous about who should do the groundwork. I have taken part in a number of seminars with a number of experts. On those occasions I have heard a variety of views, but even now I still hear, from experts, manufacturers and others, special pleading for the acceptability of either leaving combustible materials—some of them more combustible than the materials used on Grenfell Tower—on blocks, or continuing to install them. That terrifies me, and I think that it ought to worry the Minister.
ParlaMint-GB_2019-01-23-commons.u296	When it comes to the question of complacency and how much confidence we have in the system, I should repeat what I said earlier today about the laggers who put in the insulation, and who are aware of health and safety reports that undermine confidence in the materials that the Government are standing by on behalf of their regulatory bodies. Something must be systemically wrong if the guys who put the stuff on these buildings—and they are guys—are aware of that, and have commissioned reports because they are being damaged by those materials. If they are aware of it, it should not be beyond our collective wit for the Government to be aware of it.
ParlaMint-GB_2019-01-23-commons.u297	My hon. Friend has made a telling point. We will not find things that are wrong unless we go and look for them, and I do not feel that the Government are going to go and look for them.
ParlaMint-GB_2019-01-23-commons.u298	I completely agree with my hon. Friend’s point about the cladding manufacturers seeking better reassurance for themselves. Of course, it is not just the cladding that is flammable; it is the combination of the cladding with the insulation. Because the Government permit what are called desktop studies—
ParlaMint-GB_2019-01-23-commons.u299	rose—
ParlaMint-GB_2019-01-23-commons.u300	—which have allowed a particular cladding to be enriched with a particular form of insulation, they do not always know what is being put together and how dangerous that will be, and the cladding manufacturers do not want to know that their products are being used in ways that threaten life.
ParlaMint-GB_2019-01-23-commons.u301	I think that the Minister was trying to intervene on an intervention. I am glad to see that he at least has some interest in the subject. I shall make a little progress, and then I will take an intervention from him My hon. Friend is absolutely right. I do not think we are being paranoid about this. What concerns us is that a whole industry has developed on a defective basis over time, and has not been corrected: it continues to function as an industry and to make profits. No one is saying that we are going to wipe the slate clean overnight, but a lot of people have a lot to hide, and I therefore think it particularly important for the Government—who, as my hon. Friend the Member for Dagenham and Rainham (Jon Cruddas) said, may have something to hide as well—to be rigorous in shaking this out. They should look at the history—at the defects and malpractices that have grown up over the last 10 years or more—but they should also be very sceptical in future about some of the advice that they are getting. They should obtain the broadest possible range of advice.
ParlaMint-GB_2019-01-23-commons.u302	Let me again correct the record. I do not know whether the hon. Gentleman was absent in December, but he should know that we have banned desktop studies, and restricted them in other circumstances, to try to discourage their use. We did that before Christmas The hon. Gentleman made a good point about the effect of insulation combined with cladding. Our ban on the use of combustible materials on buildings more than 18 metres high applies to everything that makes up the skin of a building, and that includes the insulation, not just the cladding. The 18-metre rule was of course introduced on the basis of advice from the expert panel. As I have said, if there is evidence to show that there are significant dangers to buildings that are less than 18 metres high, we will of course be happy to look into it I realise that Labour Members are trying to make this point, but I want to dispel the idea that we are complacent, because that is absolutely not the case. An enormous amount of effort, time and energy has been put into getting this right, and a large number of voices have been prayed in aid The hon. Gentleman is correct in saying that a defective industry has grown up over the last 20-odd or 30 years, under Governments of all stripes. As I said yesterday, the Grenfell disaster lifted a big flat rock from the building regulation system, which has not been functioning well for some time. It falls to me, and to the Secretary of State, to play our part in correcting that, and we are trying to do so with all speed.
ParlaMint-GB_2019-01-23-commons.u303	I am grateful for that “intervention”. I think that the Minister was using me as a kind of Ouija board to communicate with my hon. Friend the Member for Croydon North, but that is fine.
ParlaMint-GB_2019-01-23-commons.u304	We are not short of time.
ParlaMint-GB_2019-01-23-commons.u305	Returning to the central point, what we all want is the Government to take a comprehensive view of these matters in respect of both existing and new buildings. My understanding is that only a selective number of existing buildings are covered, based on height, use and the type of material used. I ask the Minister to confirm how far their scrutiny goes at the moment, and explain why he thinks it should not go further. The Government did make announcements on new buildings back in October; they talked about high-rise residential buildings, including schools, hospitals, student accommodation and care homes. That excludes certain types of building—such as office buildings, as has been said—and we cannot see why that is the case.
ParlaMint-GB_2019-01-23-commons.u306	The announcements fail to recognise that most schools are not particularly high. I do not understand why the Government do not include all schools in this list, or else they are pretty much ruling out every school in the country.
ParlaMint-GB_2019-01-23-commons.u307	Absolutely; and if the Minister did not like us quoting commercial companies in this way, perhaps he will listen to the Local Government Association. It continues to strongly urge the Government to ban the use of any combustible materials, including cladding panels, insulation and other materials, on the external walls of high-rise and high-risk buildings—including all hospitals, care homes, schools both residential and non-residential, and offices—of below, as well as above, 18 metres in height. That reinforces my hon. Friend’s point. I understand that the Government are considering height again, but hopefully they will do that quite quickly and come to the conclusion that it is a somewhat arbitrary determinant, because there are other factors, such as means of escape, that can control how easily buildings can be evacuated. That is why I say this is a very partial solution. If the Government do not like the LGA, perhaps they should listen to the Association of British Insurers. In all my experience in the time that I have been here, the Government have been the greatest friends of the insurance industry, and that has been mutual, but in the briefing for this debate the ABI says that it “remains concerned over the limitations of the MHCLG ban, including the exclusion of buildings lower than 18m and limiting the ban to only care homes, hospitals and student accommodation. It makes no sense that someone can live in a high-rise residential building to which the ban applied but commute to work every day in an office block covered in combustible material.” That is just common sense, but it comes from an industry body. I will wait to hear the Minister’s response on that There are other issues that go beyond fire safety. Some Members took the opportunity to raise them during yesterday’s urgent question, and the Minister commented yesterday that he was quite in favour of ’60s and ’70s buildings coming down per se—a radical solution, which was picked up by Inside Housing. I would give a qualified welcome to that: yes, if they are unsafe, unsuitable or not performing their function, but given the extraordinary housing shortage that this Government have presided over, perhaps the Minister should insist that we get rather more going up than coming down.
ParlaMint-GB_2019-01-23-commons.u308	What I said yesterday was that it was very often the case with buildings of the ’60s and ’70s that it was more efficient, and financially easier, to demolish and replace than to refurbish, and that many of these buildings, particularly LPC buildings, present technical difficulties that make them very expensive to deal with. I would add, frankly, that given the lessons over the years of high-rise living, councils should consider whether people would prefer to live in lower-rise, more gentle-density housing that could be provided on the same space.
ParlaMint-GB_2019-01-23-commons.u309	I will not be tempted into a wider debate, except to say to the Minister that it depends very much on the circumstances. Sometimes it is a matter of choice, and many high-rise buildings offer very good-quality accommodation and have good space standards. The space standards of the 1960s and 1970s often gave people very good, large accommodation, so I think he needs to be careful before wishing to be an iconoclast in quite the way that he does I find it deeply troubling that, as my hon. Friend the Member for Croydon North has said, there are still probably hundreds of thousands of people around the country living with insecurity. Nobody wants to exacerbate that unnecessarily. The Government must be clear and authoritative in the way that they present their plans to deal with the risks that Grenfell so tragically exposed. I will quote one more thing that the Minister said yesterday. He said in response to the right hon. Member for Chelsea and Fulham (Greg Hands): “It can be extremely debilitating, concerning and worrying for any resident to have the future of their home mired in uncertainty. I hope that he gets the clarity that his residents need.”—[Official Report, 22 January 2019; Vol. 653, c. 137.] He was responding to the right hon. Gentleman about a separate issue, which is being dealt with by the same local authority, Hammersmith and Fulham. I understand that that authority is being extremely responsible in relation to fire safety generally and also in relation to the specific blocks that were mentioned there. Indeed, there is a council meeting tonight to discuss that. It is about dealing with the system-built blocks of which Ronan Point was an example. Some local authorities, including my own, are dealing with these matters very responsibly. I absolutely agree that residents need to be given certainty, so it is ironic that within a few minutes’ walk of those blocks that were being discussed yesterday there are two estates—the West Kensington and Gibbs Green estates—that have been under threat of demolition because of the actions taken by the previous Conservative council, in collusion with the regime at City Hall when the Minister was there. So we can all learn lessons from this On fire safety, the Government have a lot more to say and a lot more action to take, and I hope that the Minister will go some way towards doing that this afternoon by telling us what the Government’s intentions are now in relation to existing cladding systems and any future new buildings, of whatever type.
ParlaMint-GB_2019-01-23-commons.u310	Order. This is an important debate, and it is true that we are not short of time, but before I call the next speaker, I want to stress that the principle that interventions from both sides of the House should be short and to the point still remains.
ParlaMint-GB_2019-01-23-commons.u311	I was not going to speak, but given that we have more time than we anticipated, I shall make a few comments on the basis of the meeting—which I mentioned earlier—with members of the GMB heat and frost laggers’ branch in Dagenham. They are legendary in the sector for their knowledge of building materials and their compounds and properties, not least because they are the people who handle them. They also have a long-term legacy of dealing with the consequences—namely, an extraordinary profile of asbestos-related deaths and injuries—so it is in their interest to be acutely aware of the properties of the materials they are dealing with I am not a chemist, but given the nature of the debate and the brilliant speech by my hon. Friend the Member for Croydon North (Mr Reed), I think it is worth adding the contribution of those who deal with some these materials at the front end, including their introduction in high-rise properties such as Grenfell. Over the years, those people have briefed me on a number of the health and safety tests applied to installations and foams, and I want to address the question of foams specifically this afternoon. I will come to what they have told me in a minute, but it is worth reminding ourselves first of the consequences of Grenfell and what the Government are doing about them. They sought to commission an audit of buildings across England to establish what types of aluminium cladding were in use on which buildings. They also audited the types of insulation that lay underneath the cladding. They found, as I understand it, that three broad types of aluminium cladding are in use. The first is PE cladding—the type used at Grenfell—which is the least fire-resistant type of panelling. The second is the so-called FR or fire-resistant cladding, which is a bit better in a fire. The third is A2 cladding, which has a mineral core of limited combustibility. The Government subsequently commissioned six large-scale tests that sought to establish which types of insulation could be used with each type of cladding, which relates back to the combination issues mentioned earlier. One type of combustible insulation identified was polyisocyanurate or PIR foam—the type of insulation used at Grenfell—and the other was traditional mineral wool insulation. However, I was informed this morning that the Government also commissioned a seventh test, the rationale being that not all plastic foams are alike. The original tests used only PIR foam insulation, but there is another popular type of combustible plastic foam known as phenolic foam, which is held to have quite different fire performance I want to focus on the consequences of that seventh test, because phenolic foam did indeed perform a little better than PIR foam, but it still failed the test. Phenolic foam was deemed to have failed the test after 28 minutes, compared with PIR’s 25 minutes. Altogether, that test means that the Government know of over 200 buildings with cladding that is of a configuration that failed the test post-Grenfell. However, it is my understanding, following this morning’s meeting, that the National House Building Council, which has the authority to sign off buildings, still appears prepared to sign off a variety of combustible insulation boards combined with cladding with a combustible core, having stated in 2017 that “this is on the basis of...having reviewed a significant quantity of data” Therefore, as far as I am aware—this relates back to a point made by my hon. Friend the Member for Hammersmith (Andy Slaughter)—building inspectors still appear to believe that phenolic insulation could be used safely with FR-grade aluminium panels I know that sounds pretty complicated. I am not an expert on building regulations. Nevertheless, the devil really is in the detail. It appears that, with the Government test results and industry guidelines, phenolic insulation in combination with safer claddings is still deemed safe today; but that is not the point I really wished to raise this evening. My point is that tests are still coming to light that actually undermine some of the assumptions that were made, even post-Grenfell, as to the satisfactory status of some materials. That is why I had a meeting this morning with several laggers to hear about their concerns, because my lagger friends have known for many years of the problems with phenolic foam. I am simply using that as an example to demonstrate some of the systemic problems and the lack of confidence in the system and its regulation, and to point to the need for the industry to put its hands up about what it has known for years and years—even decades—predating Grenfell, predating earlier fires For example, this morning I was given confidential technical report 41772 into the volatiles of phenolic foam, dated 18 September 2003—some 16 years ago. The tests found “a wide range of organic compounds varying in chemical nature and volatility” contained in the foam. It was found that such products could release a “series of compounds toxic by inhalation, in contact with the skin and if swallowed, that can cause burns and have possible carcinogenic effects”. That, of course, is bad enough, particularly for the laggers who administer such materials. However, the laggers came to see me and handed me that report because they are aware of details of some of these materials that have never come to light. If they are aware of them, that shows that they have no confidence in the system of regulation and the working knowledge in the Department of the properties of some of these materials The report goes on to state that compounds that are flammable, highly flammable or extremely flammable, such as acetaldehyde, can be released from the foam. I am not a chemist, but the compound that interested me most was methyl dioxolane, which “may form explosive peroxides”. A number of questions follow from that that have implications for our confidence in the system as whole. How long have we known about the possibility of extremely flammable and explosive properties in phenolic foam, which is widely used in signed-off cladding systems across the country? We should remember that these tests took place 14 years before the Grenfell fire. Given what we know, how is that foam still deemed safe, even after the post-Grenfell test results called that into question? Do the Government still assume that phenolic foam is safe? Is this foam still being administered? Given that—and I have had the report—will the Government investigate what we know, and what we have historically known, about this specific foam, as an example of the compounds administered in these buildings, and their explosive properties Generally, the comments of my hon. Friend the Member for Croydon North demonstrate the need to know more—way more—about these cladding systems, including the foams. Unless we get satisfactory answers to some of the questions he has asked, and that have been raised by the discovery of confidential reports on the compounds released by materials such as phenolic foam, how can we expect our residents to feel reassured? I am more than prepared to hand the Minister this report as an example of some the combustible properties of the materials that are signed off in the present building regulations.
ParlaMint-GB_2019-01-23-commons.u312	I commend the hon. Member for Croydon North (Mr Reed), notwithstanding his partial recitation of Government policy in this area, for recognising the importance of fire safety and cladding, and for securing this debate. I am always grateful for the chance to talk on a subject of such importance as fire safety and ensuring that residents are safe, and feel safe, in their homes I take this opportunity to express my sorrow at the obvious emotional distress caused to the hon. Gentleman’s constituents and others by the Shurgard fire. He spoke very movingly about the fire’s impact, particularly on families who are between homes, and I recognise the distress it may cause. Although I am sure he will recognise that building regulations are largely focused on preserving life, I nevertheless recognise the importance of what he says, and I will come back to that later A tragedy like Grenfell should never have happened in 2017, and this Government are determined to ensure that such a tragedy can never happen again. In the immediate aftermath of the fire, we acted quickly to establish a comprehensive building safety programme, which has involved many people working tirelessly to identify and remediate buildings with unsafe cladding. We also established the independent expert panel to advise the Secretary of State on immediate measures, and we agreed to fund a comprehensive testing programme for all building owners to establish whether their units are cladded with unsafe ACM material. We have also worked with local authorities and with fire and rescue services, as I have explained, to implement interim safety measures in all buildings to ensure that people remain completely safe in their homes until remediation is completed Through the testing and the hard work of local authorities, we are confident that we have identified all social housing in England with unsafe ACM cladding systems. We have made good progress in making those buildings permanently safe. Of the 159 social sector buildings, 118 have either started or completed remediation. There are plans and commitments in place to remediate the remaining 41 buildings. To help to ensure swift progress, we have made £400 million-worth of funding available to social sector landlords to fund the removal and replacement of unsafe ACM cladding However, I regret that remediation in the private sector has been more challenging, with negotiations in some instances disappointingly slow. Since Grenfell, we have worked intensively with local authorities to identify and collect data on high-rise buildings with ACM cladding. We have also provided £1.3 million of funding to assist local authorities in that work. Local authorities across England have assessed around 6,000 private sector high-rise buildings. They have needed to take samples to test and, in some cases, take legal action to get owners to co-operate. We have taken strong action to give local authorities the support they need to enforce the removal and replacement of unsafe cladding, we have established a taskforce chaired by me and the Secretary of State to actively oversee the remediation of private sector buildings, and we have set up a joint inspection team to support local authorities and to give them the confidence to pursue enforcement action On 29 November 2018, the Government went further and announced that we will back local authorities to step in and take emergency remedial action where building owners are not co-operating in the remediation of cladding. This includes financial support, where necessary, to enable the local authority to carry out the emergency work. As a result of our interventions, we have made progress on securing commitments from owners to replace unsafe cladding. At the end of December, of the 268 privately-owned buildings, 212 have either started or completed remediation, or have commitments in place to remediate. There remain 56 private buildings where the owners’ plans are unclear. That number has fallen from over 200 buildings last June We remain concerned about and engaged with the many leaseholders who find themselves in this difficult situation through no fault of their own. We have made it clear that we expect building owners in the private sector to protect leaseholders from the costs of remediation, either by funding it themselves, or by looking to alternative routes such as insurance claims, warranties or legal action. A growing list of companies have done the right thing by protecting leaseholders, including Barratt Developments, which has agreed to fund remediation at Citiscape in the constituency of the hon. Member for Croydon North. I am pleased to say that I sought and received confirmation that Barratt has started on site this week and is on site today The Government have made the remediation of ACM cladding a priority. That is because our large-scale testing programme has conclusively shown the particularly high risk posed by that form of cladding. However, it would be wrong to say that that has been our only focus. The expert panel has regularly considered the risks of non-ACM material and the action we should take. As a result, in December 2018, we issued updated advice to building owners about how to investigate non-ACM cladding systems on their buildings, and how to remediate them. In addition, we have commissioned the Building Research Establishment to conduct a testing programme on non-ACM materials, and we expect the first test results by the summer. We have also issued specific advice on other fire safety risks, for example, spandrel panels and external wall insulation However, it is clear that, while we must do all we can to protect people now, we need a systemic overhaul, as several hon. Members have pointed out. With that in mind, we commissioned Dame Judith Hackitt to undertake an independent review of building regulations and fire safety. Her report concluded that the current system is not fit for purpose, and charted the direction for a radical new system There is no question but that such a change will take time. None the less, the Government have not hesitated, and will not hesitate, to act where we can make a difference now—today. That has been clear for all to see, as we have gone further than the review’s recommendations, including banning combustible cladding. Regulations were laid in November to give effect to the ban, ensuring that cladding of that nature is no longer allowed on the external walls of new buildings over 18 metres containing flats. We are also testing and trialling elements of the new system to ensure that they are effective before they are implemented at scale.
ParlaMint-GB_2019-01-23-commons.u313	The Minister talks about the ban for residential blocks over 18 metres high. What evidence does he have to show that hotels and office blocks over 18 metres are safer than residential blocks? Why has that led him to exclude them from the ban?
ParlaMint-GB_2019-01-23-commons.u314	The hon. Gentleman is right to raise that issue, which the expert panel has obviously considered. I would be happy to write to him with its considerations. In broad terms, it has focused on ensuring that purely residential buildings, where people sleep overnight, are inherently safe.
ParlaMint-GB_2019-01-23-commons.u315	Hotels!
ParlaMint-GB_2019-01-23-commons.u316	Exactly. Although the hon. Gentleman is right to say that people sleep overnight in hotels, staff members are present in hotels and office buildings. There is always an awake watch in a hotel and that is not necessarily the case in a residential block. However, those matters are obviously open to review, and if the hon. Gentleman wants to put forward evidence that contradicts the expert panel’s, I will be more than happy to consider it. On all the issues, I do not want to give hon. Members the impression that our mind is closed. If evidence is presented to show that measures should be taken because there is a significant safety concern in buildings other than high-rise residential buildings, we will be happy to look at it.
ParlaMint-GB_2019-01-23-commons.u317	I am grateful to the Minister for giving way again and for saying that he is keeping an open mind on these issues. That is the right thing to do, and I commend him for it. He mentioned the independent expert panel again. I reiterate a point that I tried to make in my speech. An expert panel is not fully independent if some of its members have a financial interest in a particular outcome. Will he commit to reviewing the panel to ensure that there are no such conflicts of interest?
ParlaMint-GB_2019-01-23-commons.u318	I am happy to review the panel, but I have confidence in its members and the advice that they are giving, not least because they are a plurality of voices. The panel does include Dame Judith Hackitt, along with several other people who have been involved in the fire and rescue service over the years, but I am happy to review its membership, as we would do generally, to make sure that we have the right range of expertise thereon As part of our plans, we also have our new joint regulators group and our early adopters group. They have come forward to help to drive culture change and demonstrate that the industry can put building safety first. I recognise, though, that there is much more to do. Our implementation plan, which we published before Christmas, sets out what the far-reaching overhaul of the system will involve over the coming years. The work spans four areas: first, a stronger, more effective regulatory and accountability framework; secondly, clearer standards and guidance to support better understanding by those carrying out building work of what is required to make buildings safe. This is an area in which we have already taken action, by consulting on a clarified approved document B to enable the guidance to be revised. We have also completed a consultation on restricting the use of desktop studies and published amended guidance on this matter. Thirdly and most crucially, a stronger voice for residents will be at the heart of the new system. Finally, the implementation plan sets out how we will work with industry to help it to prioritise public safety and lead the culture change—a change that we all agree is badly needed.
ParlaMint-GB_2019-01-23-commons.u319	Will the Minister address one specific point? We have seen the conversion of a lot of office buildings for residential use, which the Government have been promoting for some time under the permitted development rules. A lot of these conversions are of poor quality and, frankly, the buildings are unsuitable for residential use, but they have been converted anyway. I understand that, if that happens in future, the building regulations will subject converted buildings to the same requirements as new builds, but what about those that have already been converted? Will the Minister look into that specific issue in relation to cladding?
ParlaMint-GB_2019-01-23-commons.u320	Buildings that have already been converted and are within scope should have been part of the local authority inspection regime to ensure that they are safe. All buildings obviously have to comply with fire safety regulations and the local fire and rescue service should be engaged. I am more than happy to write to the hon. Gentleman with the details on how we are dealing retrospectively with buildings that were converted under permitted development rights Before I close my speech, let me turn to a couple of the specific points that were raised. On self-storage, as I said to the hon. Member for Croydon North, current regulations are focused on life safety and have been for many years. Pleasingly, the number of deaths and injuries in commercial fires is very low, but that does not mean to say that we should be complacent and should not consider the issue. We have called for evidence on the review of approved document B and therefore do not rule out any changes to commercial fire regulations in those circumstances as well Following Grenfell, all schools, colleges and universities have been contacted to tell them to carry out building checks. All schools have to follow a range of strict fire safety regulations, which are designed to ensure that schools are as safe as possible and extremely well prepared in the event of a fire. The Department for Education has conducted an exercise to review all its buildings and has taken action where necessary. We continue to work closely with the Department.
