ParlaMint-GB_2019-06-06-commons.u1	I call Vicky Ford—not here.
ParlaMint-GB_2019-06-06-commons.u330	It is a pleasure to follow the hon. Member for Bethnal Green and Bow (Rushanara Ali), and I congratulate my hon. Friend the Member for Dover (Charlie Elphicke) on securing this important debate. I know he feels strongly about this issue, and I understand that his ten-minute rule Bill has been taken up by the Government. This is an emotive topic for nearly 200,000 of our constituents who find themselves trapped with an unaffordable mortgage, in many cases simply because they happened to be mortgaged to a financial institution that foundered during the financial crisis. The majority, although not all, were with Northern Rock or Bradford & Bingley For the most part, those families did everything correctly. They saved for their future and made every mortgage payment on time, yet they remain trapped with interest rates of around 5%. They are unable to transfer their mortgage to a more reasonable and current percentage rate of 2% because that is, bizarrely, deemed unaffordable by lenders as a result of responsible lending rules brought about by that same financial crisis—an unhappy and unfortunate irony I was very surprised to learn that regulated mortgages could be sold on to unregulated funds overseas, such as Cerberus, which we heard about earlier and is based in the United States. In addition to mortgage prisoners, the issue also affects those who have loans. A family in my constituency had two tailored business loans with the Clydesdale Bank, a reputable name with a sense of security, which they took out in 2011. The Clydesdale subsequently sold the loans, which involved significant sums, to Cerberus. If I may, I would like to quote from my constituent: “Communications received from Cerberus and those responsible for managing our loan on their behalf, were very confusing, with letters being received from various sources: Henrico Ltd, Engage Commercial, Pepper UK Ltd and Cerberus European Servicing Ltd. There was a complex web of names and numbers and it was impossible to get anyone to answer any queries. Emails were not replied to. One letter intimated our interest was to be a staggering 29%, causing us considerable alarm. It was unclear whether, legally, we needed to pay interest or repayments to Cerberus. We calculated monthly interest payments and paid them to”— wait for it— “Thames Collections Ltd. There was considerable anxiety on our part as to whether even a few pence short payment might be used as an excuse to put us into administration.”
ParlaMint-GB_2019-06-06-commons.u331	The hon. Gentleman’s constituents’ experience with Cerberus reflects the experience of my constituents, the Neaves. They had a friend’s accountant look at the papers. That person identified overcharging in the region of £75,000 in interest and charges, but they have just not been able to do anything about that. As I say, they have been bankrupted.
ParlaMint-GB_2019-06-06-commons.u332	I thank the hon. and learned Lady for that intervention. I regret the journey her constituents had. Fortunately, while it was a very dark journey for my constituents, the result was not as catastrophic, but these are serious matters. As has been said in this Chamber, small business people are the backbone of Britain and they need our support The family’s fear was about putting the company into administration to gain access to their assets—assets that were greater than the value of the loan. As I said, there was a reasonable outcome. Eventually, the family, through their own diligence, were fortunate enough to be able to escape and move to another bank. The effect that dealing with this company had on their business and day-to-day lives is still very raw. Yet for more mortgage prisoners, it remains an ongoing concern I welcome to a degree the fact that the Financial Conduct Authority is taking this issue seriously—not before time. In March, it launched a consultation on rule changes that would allow mortgage prisoners to move to a better deal. I understand that the consultation closes on 26 June and I encourage anybody in this situation to respond to it. It is also clear that the Treasury is in agreement with the FCA’s stance, with the Economic Secretary to the Treasury, my hon. Friend the Member for Salisbury (John Glen), confirming in a written question earlier this year that “HM Treasury welcomes the FCA’s announcement that it intends to change its mortgage lending rules to move to an affordability assessment for customers seeking to switch to a cheaper mortgage without borrowing more” That is encouraging, but sadly it does not include an obligation for it to do so With a consensus in Parliament, positive action from the regulator and indeed Government support, one might wonder why there is even a need for this debate. It is simply that the issue has gone on for far too long, has caused too much stress, grief and misery for our constituents throughout the UK, and can be so obviously resolved that it must not be allowed to persist much longer I urge the FCA and the Government to act swiftly and provide a binding solution that will extricate our constituents from this unsatisfactory situation. We can free the mortgage prisoners. If I may, I would like to borrow a small phrase from the British Transport police, “See it, say it, sorted”. We have seen it and we have said it. Sort it.
ParlaMint-GB_2019-06-06-commons.u333	It is always a great pleasure to follow the hon. Member for Ayr, Carrick and Cumnock (Bill Grant). I thank the hon. Member for Dover (Charlie Elphicke) for co-sponsoring the motion, the all-party groups for their work and the Backbench Business Committee for facilitating a very important, timely debate for the mortgage prisoners To own our own home is one of the aspirations of this society, but to have safe, secure accommodation is a basic need within the hierarchy of needs. Without that, nothing else can happen in a family or for an individual, so how has this country, which ranks home ownership so highly, found itself in a position where we are debating the situation of citizens who are trapped in a contract to make repayments to stay in their property, but who are unable to exercise the right to pay off that mortgage debt against their property so that they can benefit from lower interest rates and make lower monthly payments Most people’s understanding of home ownership is that they find a property, approach a lender and suggest the amount that they can put forward by way of deposit. The lender then lends them the difference so that they can purchase the property, and they repay the lender the principal sum and an additional sum by way of interest. They have the property, they are repaying the principal and they pay the interest. When someone wants to move, they sell their home, repay the amount owed, acquire their new property and borrow again. Alternatively, if they can find someone who will lend to them more cheaply, they use the money that person lends to repay the original lender and they move forward, freeing up some of the equity in their house or taking the benefit of lower payments Some of us are old enough to remember the silly idea of saving with the building society. We would pay in money month after month, building up a track record of financial stability so that when we found a property we would be lent other people’s money so that we could buy our property. That would be decided on the basis of our financial history. At this stage, I would like to cue the music from “It’s a Wonderful Life” with James Stewart, who acted as George Bailey, who chose to whom he would and would not lend other people’s money from the town. If only we could go back to that and say no to the algorithms and the committees that have led to the bundling of what are called “risky loans” that are sold on. The people who are trapped in their mortgages find that they owe money not even to the original lender, but to someone else who might be abroad and for whom there is just an email address and no regulation, and who controls their mortgage, the interest rates and the payment periods. There is nothing that the borrower can do That might be an oversimplification, but it is a reality for constituents. As the hon. Member for Dover pointed out, it works out as between 300 and 400 people in every constituency in the United Kingdom. They are our friends, neighbours and families. These are not risky mortgages. These are individuals who, in many cases, have never missed a payment in their lives. These are people who understood that when they took out the mortgage they would go to the ends of the earth and cut other things so that they made the mortgage payments at the end of the month, because they wanted their house. They made that honourable contract and unfortunately today, it is with another party that, I will say, is less than honourable A blame game is developing. There are arguments between the interested parties over the fact that this is all the fault of the EU and the legislation that was tightened around the lending market. There is the almost nonsensical situation that if someone remortgages with an existing lender, which admits that it is the lender, that person can bypass the requirements for the payments but cannot do so with a new lender The reality is that the UK Government, in seeking to do right, as they believed they were with Northern Rock and Bradford & Bingley, bundled up and sold mortgages to companies—these vulture funds—such as Cerberus, which we have heard about. They have trapped individuals and families as mortgage prisoners. The action of the UK Government and industry led to the selling of loans that the borrower had no say over to an unregulated, overseas vulture fund. The job of such a fund is not to lend money; it is a financial model to exploit and make profit. It would appear that following the successful stamping out of “poor lending”, a new practice—a new fertile field of exploitative profiteering—has been created, and the UK Government are partly responsible for that In my short time in the House, I have sparred with the Economic Secretary possibly more than with any other Front Bencher. It has been a great pleasure, and I know him to be an honourable man. Let me take him back to what he said in a letter, because I genuinely believe it to be the case: “I can commit to a determined effort to resolve this. There is no reason why these individuals should be left in this very difficult position.” I hope that today is the day on which he will be able to set out a way to resolve this problem.
ParlaMint-GB_2019-06-06-commons.u334	I start by paying tribute to all those involved in the D-day landings 75 years ago today, especially remembering those who gave their lives. We and our allies will forever owe them a debt of gratitude. My constituent Alfred Barlow sadly passed away a few weeks ago, but he had hoped to be in Normandy with other veterans. I mention him particularly following the excellent speech from the hon. Member for Blackpool South (Gordon Marsden), who was a family friend of his Let me now turn from a debt of deep gratitude to a kind of debt that is causing harm to families across the country who are locked into uncompetitive and expensive mortgages and unable to move to other more affordable products. That may be because they are trapped by large and expensive exit fees, or—as we have heard this afternoon—because they have been told, quite perversely, that they cannot afford to move to a cheaper deal, owing to an over-rigorous application of credit-scoring or affordability checks. Many are customers with excellent track records of keeping up repayments, but they are trapped by the rigidity of the new lending criteria. Being locked into those expensive products means that they pay more than they ought to pay. That, in turn, can force them into financial hardship, and in extreme cases can lead to the loss of their homes and other assets, especially when the loan is transferred to vulture funds which seek aggressively to recover the debts Colleagues may have hoped that on a Back-Bench Thursday we might avoid even a mention of the European Union, but the hon. Member for East Lothian (Martin Whitfield) beat me to it. I mention the EU not with any reference to the current overarching debate, but to refer to a matter of fact. The EU mortgage credit directive is a code of conduct for mortgage firms, which we implemented in the UK in 2016. In an attempt to learn lessons from the 2008 mortgage credit crunch, rules on lenders were tightened to prevent consumers from taking out loans that they might later not be able to afford by stress-testing their ability to make repayments, even in the hypothetical event of large hikes in interest rates. In contrast to the relatively laissez-faire attitude to mortgage lending that had gone before, this was supposed to protect consumers from placing themselves in potentially precarious financial situations. However, its implementation has shown that the rules have been over-tightened, which has resulted in the creation of tens of thousands of mortgage prisoners As with everything, there is a general lack of agreement on whether the current rules stem inherently from the EU directive or from the UK’s implementation of it. There is also a question mark over whether the situation of mortgage prisoners is merely an unfortunate and unintended consequence which the industry is keen to rectify, or whether lenders indeed benefit from the position of customers who find themselves trapped, and may therefore have a limited appetite for reform. We have seen in other areas of financial service regulation that when debtors face distress there is always someone around to profit, and that is exactly where vulture funds come in, to pick at the remains. It is a trend that we have seen in the business banking sector too, when lenders have abused small and medium-sized enterprises to extract the maximum profit Like many other Members, I was contacted by several constituents before the debate, and was asked to give examples from their cases. I hope that by doing so I will highlight the human side of the story, which is often lost when we talk about market reviews and regulatory consultations. Important as those processes are to reforming the system, we must remember that behind each broken product or recalled asset is a home, and an individual or a family I want to mention two cases but this issue affects many more in my constituency. One gentleman from Offerton contacted me. He has a mortgage with Landmark Mortgages following the collapse of Northern Rock and was paying a fixed rate of 6% for two years, which was subsequently reduced to a variable rate of 4.7%. That is clearly quite high in the current market and he was paying a lot in mortgage repayments. I wrote to Landmark Mortgages on his behalf to ask if it would consider offering him a lower interest rate now his fixed product had ended. It declined Another constituent, from Hazel Grove, took out a 15-year fixed 1.25% above base rate loan secured against a portfolio of properties with the Yorkshire Bank. He placed his trust in the security of a 15-year loan. However despite his excellent credit ratings and payments being made on time and never in default he soon found himself subject to aggressive sales of further loans on higher interest rates which he felt bullied into accepting. This meant he was paying considerably more interest each month for many years until he started to struggle with the repayments. He therefore made arrangements on a number of occasions to try to refinance, but each time it was denied Then the bank appointed Cerberus Capital Management, a US-based private equity firm specialising in “distressed investing” to take over the loan and act in receivership. I know that some Members make more references to classical illusion in this Chamber than I do, but I will on this occasion indulge the House with such a reference, because Cerberus is a multi-headed dog that guards the gates of the underworld to prevent the dead from leaving; what an apt description of that company. As my constituent found to his cost, it is not in the agent’s interest to help customers, as it will lose fees, so it undermined any attempts made to resolve matters. Now my constituent has all rents from his property portfolio paid directly to the administrators and lives in constant fear that his family home—or even that of his 84-year-old mother—may be repossessed at any moment This is all rather similar to another issue: the treatment of small businesses by banks and the aggressive recall of loans and assets. This is an issue with which many of us are well-acquainted through the excellent work of the all-party group on fair business banking and finance, which has spent many years looking at this issue, most notably at Lloyds and the Global Restructuring Group, but it was a practice endemic across the industry I want to highlight a few of the similarities that are critical to this debate. The first is the apparent toothlessness of the FCA and its seeming inability or unwillingness to respond to poor practices in the market. As we saw with the business banking scandal, the FCA is slow to instigate reform, and it is not until consumer victims start piling up at its door that it takes note. It is for the Government to ensure that the FCA shows more appetite and greater urgency to protect the consumer. I welcome the current consultation on responsible lending rules and guidance, but if past experience is anything to go by I am not holding my breath that it will provide the kind of solution that customers need and deserve Moreover, the FCA often suggests that consumers seek redress from the ombudsmen or the courts, but that is rarely a viable option. The Financial Ombudsman Service is limited in the size of redress it can offer. For larger claims, litigation is an extremely fraught option due to the inequalities in access to justice between an individual customer and huge, often multinational, financial institutions with their armies of lawyers As my constituent from Hazel Grove told me: “The bank squeezes every penny from you so you’re unable to support your family or fight for justice. The court costs of litigation are too high, therefore you’re unable to make a claim or file to protect your rights. I am unable to get legal aid as it’s a civil matter. If you try to bring a claim the banks just say to the court that they will want a cost order, and proof that you can pay the bank’s costs if you lose, which of course I can’t.”
ParlaMint-GB_2019-06-06-commons.u335	The FCA seems to be an organisation that either ignores people, puts us in a pending tray forever, tells us to go away or suggests we go to an ombudsman, but very rarely does it actually do its job. It is time it was sorted out.
ParlaMint-GB_2019-06-06-commons.u336	I need elaborate no further on that excellent intervention from my hon. and gallant Friend The scenario I have just described is nearly a carbon copy of that of another constituent, from Romiley, who was told by the FCA to take RBS to court over his business loans. Sadly, in both instances, it is very much is a case of David versus Goliath, but without the ability to afford the slingshot Finally, and most crucially, I want to highlight to the House the impact that such financial struggles can have on individuals and their families, and especially on their mental health and wellbeing. The material impact of financial hardship on both mental and physical health must not be underestimated. I have to ask the Minister how we can condone parts of the financial system having such disastrous effects on people In conclusion, the move to reduce barriers to switching to a more affordable mortgage for consumers who are up to date with payments and not looking to borrow more, which the FCA is consulting on, is certainly a good thing. However, to my mind the issue is bigger than that. UK financial services, particularly the consumer lending sector, urgently need to start working more in the interests of the customer. We of course accept and welcome the fact that banks and lenders need to make a responsible profit in order to be sustainable as businesses, to continue to provide services, and to continue as an important cornerstone of the economy. However, with the ongoing SME business banking scandal, and with the mortgage prisoners issue now gaining profile, this profiteering to the point of greed is rapidly creating the impression that the banks are going beyond what is responsible. [Interruption.] With that, Mr Deputy Speaker, I shall heed your indications and conclude.
ParlaMint-GB_2019-06-06-commons.u337	It is a real pleasure to be called to speak in this debate, although it is one that we regret having to have. I commend the hon. Member for Dover (Charlie Elphicke) for securing it. This is a crucial issue that must be gripped with urgency and tenacity by the Government Reflecting on the past decade or so, I left school at the time of the financial crash and it has been a feature of my formative years through university and in my career, but it is amazing to think that, a decade on, we are still seeing the toxic legacy of that financial banking crash playing out and blighting the lives of thousands of people across the United Kingdom. The banking system de-leveraged and tried to de-risk its structures, but there was clearly a big revenue gap for lenders, and the number of people who were taking out mortgages reduced significantly. As a result, the banks sought to profit as best they could by introducing dubious programmes of selling off mortgages, moving mortgages and spreading between lender borrowing costs and the rates charged to borrowers. So it was impossible for those with standard variable rate mortgages to adjust, even though the market rate reduced substantially below it, and as a result they have been trapped in financial purgatory where they are detrimented to the tune of thousands and thousands of pounds It is particularly alarming to see the number of people who have worked hard, and done everything they thought was right in their lives by investing in property to build for their retirement, being faced with this significant situation. They are trying to enter a period of their lives where they can relax and enjoy their retirement, but they still face a huge burden. I am thinking in particular of one of my constituents, Diane Anderson. She retired two years ago from being a trade union official with Unison. She is now 71 years old. She re-mortgaged in 2003 with Northern Rock, but then the financial crash hit and her mortgage was repackaged and sent off to Northern Rock Asset Management—NRAM—which was in turn packaged up by the UK Government and sold to Cerberus, an American vulture fund, in 2013. She was on a 4.5% standard variable rate. As we know, people can easily buy a mortgage now for 2%—I think my mortgage rate is around 2%—so it is extraordinary that she is trapped in this situation with an interest-only repayment element of about £80,000. It expires in three years’ time, and there will still be an overhang after that. She is retired, wants to enjoy her retirement, and is still facing that huge burden, when she has been paying that mortgage for 20 years. Surely, any modicum of common sense, any appeal to sanity, would say that is a supreme injustice, which brings the regulatory environment of this country into disrepute I urge the Minister to take note of that case. It is representative of many thousands across the UK. It is estimated that 200,000 people in the UK are mortgage prisoners in some shape or form. It is crucial that the Government respond urgently to the situation. It is simply inappropriate for people to be found on that level of hardship. They have done everything right. The Government must provide redress. First, they should ensure that further mortgages are not sold to predatory firms that will trap people in such a way. Secondly, they should provide redress to those who are, or have been trapped in this situation, which they find it extremely difficult to extract themselves from, and who have suffered a resulting detriment This problem has resulted from a legacy of failure of appropriate regulation in the banking system in this country. It is a monstrous evolution, or deformation, that unfurled from the financial crash, and it needs to be addressed urgently. We should be doing everything we can in this House to reduce harms in our society—in this House, we should adhere to that as a governing principle. When we identify harm brought to us by our constituents, we should immediately and forensically identify practical ways to minimise, if not eliminate it. This harm has been brought to all of us, regardless of political colour, and any appeal to common sense would dictate that robust processes must be put in place to redress it The APPG’s recommendations are very sensible—to legislate to prevent regulated mortgage contracts in a commercial loan from being transferred to a non-regulated environment, so that in future such decisions are not left in the gift of those such as Tesco, and their sense of moral certainty, to do that in moral righteousness. We cannot be at the mercy of such boardroom decisions; it must be an overarching principle in our country, backed by legislation and by regulation We must introduce a new ability-to-pay system, to allow those that can to return to high-street market rates. My constituent was never in arrears; she was managing her mortgage, her mortgage was performing perfectly adequately, yet she has found herself in this situation. It is not good enough, I am afraid. There must be a better way to do this, and a better way for people to escape the clutches of Cerberus and other vulture funds. It is abominable that the Government actually sold those loans off to that sort of company without sufficient due diligence. In that situation, the Government bear liability to compensate people who have been affected. The equivalent loss of the SVR to the market rate that they could have recouped should be compensated by the Government; I would say that is a perfectly reasonable redress for those who have been trapped for so many years, and faced so much hardship and uncertainty—particularly mature people, who are looking to retire and enjoy their retirement. It is a great shame that in their later years they have been faced with such a stressful situation I urge the Minister to act robustly and listen to the points raised by the APPG and colleagues, who have presented their constituency cases and their broader understanding of the issue.
ParlaMint-GB_2019-06-06-commons.u338	There have been some differences of opinion on how to pronounce Cerberus. I am going to go with Cerberus, the hound of Hades, but of course that will be a moot point by the time people read this in Hansard I congratulate my hon. Friend the Member for Dover (Charlie Elphicke) on securing this debate from the Backbench Business Committee, and on the fantastic work that he has been doing with colleagues, and with the Opposition Member, the hon. Member for Feltham and Heston (Seema Malhotra). This has been a truly cross-party initiative, to raise the issue of the some 200,000 people affected by this problem across the country. I know that the Minister is listening, and I know that, judging by our past discussions and debates, he has been open to solutions—and looking for solutions—to tackle the difficult banking issues that he has to cover within his remit In the Gallery today there are several mortgage prisoners, including my constituent Juliet Peddle. Juliet and her husband took out her mortgage back in 2002 with Northern Rock, and every two years she was able to transfer automatically on to the lowest two-year rate; so she was always going to have that automatic review, ensuring that she had as affordable a mortgage as possible. When Northern Rock failed, she ended up, after the various exchanges, with Cerberus. I am not sure that Juliet knows—I certainly do not—how it was decided which mortgages went down which route, so that some ended up with Cerberus. It seemed to be a bit of a lottery. It means that she and her husband, like many other self-employed people—her husband is a self-employed black cab driver—are locked into the affordability rules, mainly because Cerberus does not have any alternative products. There is nowhere else for her to go within the company The BBC alleged in a 2018 “Panorama” programme that Cerberus had told the Government, before it made its bid for the Northern Rock loan book, that it intended to offer better mortgage deals and evolve into a challenger bank. I am interested to know whether the Minister has any insight into whether that offer was actually made. If it was, it clearly has not been adhered to some three years later. We have heard why this has happened. The Government reforms back in 2014 allowed lenders to waive the affordability requirements for new and existing customers who were remortgaging but not increasing the size of their debt. Unfortunately, as we have also heard, the EU mortgage credit directive, which came into force in 2016 and with which we have to comply until at least 31 October—this is not my leadership bid—prevents lenders from waiving the requirements when a borrower moves to a new lender. That undermines the Government’s reforms by further restricting how mortgage prisoners can or cannot move in terms of their future mortgage. We know that, at present, lenders are able to waive affordability requirements only for existing customers, which does not help Juliet We have talked about the voluntary agreement that the FCA has built up and to which 67 lenders have signed up, but again, because Cerberus does not have alternative products for her and her husband to move to, it will not help Juliet. I am interested to hear what the Minister can say to Juliet and all the other mortgage prisoners here today and across the country who are desperate for help. Many of them can afford to keep up their payments, but why should they be paying three times the rate that the rest of us can pay on the open market? It needs to be fair, and it needs to be a level playing field. I hope the Minister will have some answers for Juliet and the Members who have raised this issue today.
ParlaMint-GB_2019-06-06-commons.u339	It is always a pleasure to speak in these debates on the banks, and I have spoken in every one. I am sure that my constituents are more than glad to know that, on banking issues, I am here to bring their cases to the attention of Ministers. The Minister has always been responsive to my queries and questions on behalf of my constituents, and I look forward to his response not just to me but to everyone else. That is why we are here I congratulate the hon. Members for Dover (Charlie Elphicke) and for East Lothian (Martin Whitfield) on securing this debate. They have been engaging on this subject, and they and the Treasury Committee are to be congratulated on sustaining their interest and effort here. We all appreciate their considerable efforts on behalf of all our constituents across the whole United Kingdom of Great Britain and Northern Ireland. I believe that the solution requires a collective and collaborative effort by the regulators, Parliament and the Government. As others have, I call on the Government and the regulators to hold an urgent inquiry into the sale of debt to unregulated entities It is a pleasure to follow the hon. Member for Sutton and Cheam (Paul Scully). He makes a valuable contribution to every debate he speaks in, but his contribution to this debate is especially valuable. It is always a special privilege to follow him. A number of Members have spoken on behalf of the mortgage prisoners, and I add my and my party’s support to the House’s calls for Her Majesty’s Treasury and the FCA to redouble their efforts to address this serious subject properly I will mostly speak about the sale of debt by banks, through private equity investors, to third-party funds such as those described as vulture funds. Put simply, these banks generally made judgments to lend and then decided to change their business strategy—every Member who has spoken has given such examples—away from these customers whom they had previously regarded as credit-worthy, often for 10 to 15-year loans. They were often happy to make supernormal profits or bonuses, and then abandon their customers through a form of grooming process, turning these long-term loans into on-demand overdraft facilities; they were basically screwing these people as much as they could. It seems obvious that private equity can make the returns they want only through buying or collecting the debt through substantive write-downs of debt and/or at the expense of those customers who trusted their bank—and they do trust their banks, or at least they used to. They do not trust them any longer. From what I have seen, these former customers are the real losers. The hon. Member for East Lothian estimated that there are some 400 of these customers per constituency, and I know some of the ones in my constituency and am well aware of the problems they have had in trying to get beyond where the banks and the companies that took on their overdrafts and mortgages were From the Minister’s response to an urgent question in March 2019 about the hunger striker in Scotland, it seems that some lending bank standards are now in place. However, the evidence we have looked at suggests that the banks have little or no control in respect of, or interest in, those customers once there has been a sale to a third party; it seems that they are impotent, or unable or unwilling to help. As the House and the Minister know, we in the Democratic Unionist party have taken an active interest in pressing for the banks to bring forward a dispute resolution scheme—DRS—for historical banking cases. We are keen to have those matters addressed. To my knowledge, none of the seven participating banks in the current UK finance scheme believes that cases sold on to third party vulture funds are eligible for the past or future DRS. What is the Minister’s understanding about this specific area in relation to, first, eligibility and, secondly, any retroactivity in relation to the lending standards he mentioned in March After the Minister’s remarks then, I wrote to Richard Donnan, head of Ulster bank, which is RBS in Northern Ireland and our state-owned bank, saying: “Secondly I enclose a part of the Urgent Question information from Hansard in relation to a moratorium for current cases from Cerberus whilst the DRS scheme comes in to effect Can I have your confirmation that the Ulster (and indeed RBS) are ensuring that Cerberus are staying all legal proceedings (such as those within project Aran?) as set in that exchange with the EST. ” I left my office on Monday night to come here, but on Tuesday my constituency office received a call from Mr Donnan’s office in response to my original letter to him back in March/April. I look forward to his written reply, especially as the bank is largely owned by us as taxpayers. It is always good to remind the banks that the taxpayers—us in this House and everyone else across the nation—are ultimately the people they should be responsive to In particular, we have been watching and involved in how the Clydesdale and Yorkshire bank, which was formerly owned by National Australia Bank—it also owned the Northern bank in Northern Ireland, now Danske, until 2004—has been addressing the mediation/remediation efforts on a number of cases involving Cerberus. From my most recent briefing, it seems that those mediation efforts in working with the victims group CYBGCSG, and CYBG top management on 14 cases have been futile, as there appears to have been no active follow-up process. We have asked for the process and it seems that they have not got off their backsides—it is disgraceful that they have not done so. I understand that our involvement in those informal mediation efforts will lapse imminently, as I have learned that in addition to the legal claim filed by RGL Management last month, an additional legal group claim will be filed for an initial 50-plus cases centred on the CYBGCSG victims group this month. It is unfortunate that no resolution was found to any of those 14 cases, with further peaceful yellow vest protests and potentially hunger strikes across the country now seemingly inevitable I will, however, provide some potentially good news, as it is always good to give a bit of good news in a debate that can save us from a bit of doom and gloom. The Minister may recall that I first raised the Danske bank case of the Armstrongs a year ago. He knows about this because I have written to him about it, and he has seen the case paper with the all-party group on fair business banking and finance analysis. I understand that following their yellow vest protests from December 2018 to April 2019 at Danske banks in Northern Ireland and at Danske bank Northern Ireland-sponsored events, and with the upcoming DRS, the bank solicitors have now asked to engage with them. It has taken a long time, but hallelujah for that! At least they are answering and some correspondence is now taking place. I hope and pray that this proves to be a useful process with a positive conclusion, and that my constituents, the Armstrongs, do not feel that they need to resume their peaceful “yellow vest” protest from July, with the attendant publicity, at a time when Danske bank just happens to have won the top award in Northern Ireland this week, as a responsible company Following correspondence, I am aware that other banks, such as Santander, have agreed to look into some cases prior to the DRS process for SME Alliance members, and that is to be commended. As a party, in the past year we have raised in the House two other cases in which Danske opposed the Financial Ombudsman Service’s considering the complaints on a time-bar basis. Danske can quite easily allow the FOS to consider those complaints now, as I understand that those customers are willing to have their complaints considered by the new FOS team, which was effective from April 2019 I hope that Danske and the other participating banks will collectively allow those 396 and 447 complaints from 2008 to November 2018, from across the United Kingdom of Great Britain and Northern Ireland, to be considered by the FOS, as part of the overall recognition of the need to deal with historical complaints, which it is important we do, and that the Minister will today add his support for their inclusion in the FOS or DRS processes, as a matter of fairness and equality across the historical scheme from January 2000. I understand that both the DRS chair, Lewis Shand Smith, and Mr Andrew Bailey at the FCA believe that to be appropriate, and I know that the matter was raised earlier this week with UK Finance, so there is endorsement and support from very responsible people. Hopefully, a positive response is imminent from all the stakeholders and participating banks. Finally, the subject of third-party debt is not solely a UK matter; in our neighbouring jurisdiction, the Republic of Ireland, there was a debate on a private Member’s Bill on vulture funds in the Dáil on 28 May, and the Republic of Ireland Parliament also took useful evidence on accounting and auditing in a Select Committee in the same week. Perhaps the Minister can look into what happened there I finish by supporting the motion, and call on Her Majesty’s Treasury and the FCA to follow up with a proper inquiry on debt transfer to third parties and to actively consider changes to the law and regulation in this crucial policy area. Most mortgage prisoners and SMEs deserve better from us all. I thank every Member for their contribution and look forward to the Minister’s response.
ParlaMint-GB_2019-06-06-commons.u340	As an old soldier, I am conscious, as is the House, that at this time 75 years ago, our troops had gained a foothold on Gold and Sword beaches, the Canadians were on Juno and troops were on Utah, but on bloody Omaha, where 2,500 men’s lives were taken on this day 75 years ago, people were still trying to get on to the beach. The sea was red with blood, troops were drowning as they got off the landing craft, and when they did get a foothold on the sand under the water, they had to push bodies away before they were massacred on the beach. In the first waves, 90% of those incredibly brave American soldiers were casualties. We are talking today about something that matters very much to our constituents, but we should also—I have a right to say this, I think—bear in mind the absolute fear and worry of our troops at this moment 75 years ago My speech will be short, because Mr Deputy Speaker has told me that it has to be—
ParlaMint-GB_2019-06-06-commons.u341	I assure the hon. Gentleman that he can take up to 10 minutes. How is that? I will be as generous as that.
ParlaMint-GB_2019-06-06-commons.u342	Mr Deputy Speaker is such a great man. I thought I was being told off earlier My comments will be short because I have spoken about this matter and the associated problems many times in the nine years for which I have been a Member of Parliament. Colleagues on both sides of the House are nodding. Why the heck has this matter not been sorted out? We are meant to sort these matters out—we are meant to be the people who legislate to get such injustices sorted and done. We have failed collectively to do that In particular, I want to raise the matter of the injustice done to my constituents—to the D’Eye family. Dean, my friend, is somewhere around, but I am not allowed to point him out. An injustice was done to him and his family by these banks. I am referring to Dunbar Bank, part of the Zurich group, and also the Royal Bank of Scotland’s Global Restructuring Group. I just cannot understand it. Decent people run these associations and they are actually—dare I use the word—screwing people utterly and completely, and it is immoral.
ParlaMint-GB_2019-06-06-commons.u343	indicated assent.
ParlaMint-GB_2019-06-06-commons.u344	indicated assent.
ParlaMint-GB_2019-06-06-commons.u345	I am glad to say that my colleagues agree with me It seems to me that it is also far too easy for banks to get rid of their problem by selling on their loan accounts to unscrupulous debt recovery firms—vulture firms—that entangle decent, hard-working people, such as the D’Eye family, in a web. That is utterly wrong. These people cannot get out of it because they just do not have the money, and that is utterly wrong. Originators of loans should not be able to get rid of their responsibilities in this way. It is wrong, colleagues! It is wrong I want to end my remarks by talking about the Financial Conduct Authority, which does not seem to have the will or the authority to sort out this matter—to force the banks to investigate and deal with these legacy issues. The Economic Secretary to the Treasury, who is a good friend of mine, is looking at me with a scowl, but in a nice way. He is a great friend and an utterly decent man who would really like to sort out this matter—he has to now after I have said such nice things about him. I am now expecting that to happen I truly believe that, somehow or other, we people in this House must get this matter resolved. It is wrong that we have not sorted it for the people whom we represent. I have been here for nine years and feel ashamed that we have not resolved the matter. I thank you, Mr Deputy Speaker—oh, it is Madam Deputy Speaker. I thought that Mr Deputy Speaker had got far more attractive while I was speaking. Thank you, Madam Deputy Speaker, I will now shut up.
