ParlaMint-GB_2019-07-15-commons.u1	1. What steps he is taking to improve the Disclosure and Barring Service.
ParlaMint-GB_2019-07-15-commons.u369	I am very interested in the point my hon. Friend is making. Can she tell the House why, if the reviews she mentions have taken place, the costs of this project have escalated by many billions of pounds?
ParlaMint-GB_2019-07-15-commons.u370	Any large-scale project, particularly a first like HS2, will see unintended costs, resulting in an increased budget. “You don’t make an omelette without smashing some eggs,” is a common phrase in my Copeland constituency. Regardless of that increase, for every £1 spent on HS2, £2 will still go back into the economy The north-south and east-west divides have for far too long separated our nation and stifled our economy. I am not interested in even more bureaucracy. This is about connecting people and places. That is why I will support the Government this evening, and look forward to HS2 and Northern Powerhouse Rail being delivered.
ParlaMint-GB_2019-07-15-commons.u371	It is a great pleasure to speak in this debate. I have listened carefully to the arguments. The hon. Member for York Central (Rachael Maskell) might be interested to know that I was actually minded to support her new clauses until she spoke. Her new clauses would have no consequences: they would just lay a report and nothing would happen. I have gone on a journey on this issue. I voted for the project when I was in Cabinet, and I have become more and more sceptical about it. At one stage I thought it might just die, because the finances were becoming less and less sensible. Now, however, I have real concerns. There are problems with it in my own constituency and nationally. I would have supported new clause 1 on assessing environmental impact, costs, progress on the timetable and economic impact, but I realise that all that would happen is that a report would be laid and there would be no consequences In an earlier intervention—I am not sure whether you were here, Mr Deputy Speaker—I raised the issue of the route. My hon. Friend the Member for Lichfield (Michael Fabricant) pointed out several times in interventions that originally the route was going to follow an existing corridor up the M40, but is now going to smash through virgin countryside and cause huge damage at vast cost. One thing I have in common with my hon. Friend the Member for Copeland (Trudy Harrison)—it is a great pleasure to follow her—is that we both went to platform 5 at Crewe this morning and changed trains. I moved on to platform 11. I do that every week, twice a week. I raised this point in an intervention: my constituents want to go direct to Heathrow. I am sure Old Oak Common has many attractions and is a lovely place with charming people and wonderful things to do, but my constituents do not want to go to Old Oak Common. They want to go direct to Heathrow or direct to HS1.
ParlaMint-GB_2019-07-15-commons.u372	I remind the right hon. Gentleman that we are debating phase 2a of the HS2 project. That is the remit of the Bill—
ParlaMint-GB_2019-07-15-commons.u373	Order. That is for me to judge. I have been very lenient to Members on both sides throughout the debate. To try to stop these remarks at this late stage would be a bit unjust. I have tried to stop Members being tempted, but everybody is trying to build on the debate that took us out of scope, and I recognise that at times, we have gone out of scope. We have been in this area once already and it would be remiss of me not—
ParlaMint-GB_2019-07-15-commons.u374	It was with regards to my amendment.
ParlaMint-GB_2019-07-15-commons.u375	Of course we will come to your amendment.
ParlaMint-GB_2019-07-15-commons.u376	I just wanted to say to the right hon. Gentleman that my amendment can therefore apply only to phase 2a. His aspiration may be to review the whole project, but my amendment applies only to the contents of the Bill.
ParlaMint-GB_2019-07-15-commons.u377	I totally get that point, but one cannot get from Crewe to the end destinations in phase 1 without getting this part of the project done, and the point is that Labour’s amendments do not allow any action. If the hon. Lady compelled the Government to do something, I might be minded to support that, but as I said, I have become increasingly disillusioned by the cost and the damage to my own patch. The first I knew about the damage to my constituency was when a notice went up in the village of Woore, which the hon. Lady is probably not aware of, in the most extreme north-eastern corner of Shropshire. It is a salient that sticks out to the east between the counties of Cheshire and Staffordshire. Woore is a village of 1,200 people, with a nursery and a primary school of about 60. People walk every day to school and to work. In parts of the main road through the village, there is no footpath and some of my constituents have to cross the road three times, so the situation caused major consternation We have had a significant number of meetings with HS2, and I pay credit to the HS2 officials who have been assiduous in coming to meetings and providing information. We have looked at a whole range of alternatives to what could happen. It seems perverse that the original plan to move 600 vehicles a day through the village has come down to 300 by simply doubling the time—it was going to be 600 for three months and now it is 300 a day for six months. They are doing that because they are going to travel three sides of a rectangle. Every alternative that we have looked at has been turned down, and that is why I do not support these amendments. It is the sort of issue that the hon. Lady’s amendments could have flushed out, and there could have been concrete action.
ParlaMint-GB_2019-07-15-commons.u378	Does my right hon. Friend have any sympathy for the amendment from our hon. Friend the Member for Eddisbury (Antoinette Sandbach) about non-disclosure agreements?
ParlaMint-GB_2019-07-15-commons.u379	I am going to come to that in a minute. I am wholly amazed by the revelations from my neighbour, my hon. Friend the Member for Eddisbury (Antoinette Sandbach), and I look forward to the Minister’s comments on that, because I was really shocked by what my hon. Friend said. Given my experience of having a series of meetings with HS2 officials, all of which have been—at face value—thoroughly satisfactory and an open exchange of views, but have got absolutely nowhere, it now appears that there might some other reasons why that is. Given what she is saying, I cannot find out why, so if she presses her amendment, which I very much hope she does, I would like to hear from the Minister whether the Government will accept it. If they do not, I will be very happy to vote in favour of it. My hon. Friend has flushed out a most serious issue.
ParlaMint-GB_2019-07-15-commons.u380	I absolutely accept the constituency issues that the right hon. Gentleman raises, and the poor consultation cannot be excused, but he must accept that with a route and project of this scale, the minor changes that are made in one part of it will have a massive impact if that is held across the whole route, and that has an impact on the budget and the timescale. Whether he supports the project or not, he must accept at some point that it is either time to back it or scrap it. There is this idea that we can keep throwing on hundreds of small, different issues and take that as a measure of the project, but that is just not a way forward. This is a major project for this country and it should be debated in that way.
ParlaMint-GB_2019-07-15-commons.u381	I am very grateful to the hon. Gentleman for his interventions. He has been busy making these points throughout the debate and I understand that he is fully in favour of the project. I began my working life by spending 25 years on Merseyside. I am fully aware of the need for transport connections for the north, particularly including west to east across the north of England. I began wholly in favour of this broad idea, but the more I look at it, the more worried I become Let me finish my points on my local issue in the village of Woore. We cannot just dismiss these as tiresome little irritations in a huge juggernaut of a project. These are real people: 1,200 people live in Woore and they will have 300 trucks a day going through a village where, in some places, there is no footpath. In schedule 1, on page 48, Members can see some proposals on mitigations, such as a “realignment of the A525” in a few places. These are just passing places. They in no way satisfy my constituents with regard to what they are looking for and are not good enough at all Will the Minister, who is beginning to get her notes together, comment on the proposals from Woore Parish Council that section 17 of the Town and Country Planning Act 1990 should be invoked? As I understand it, under that section, the unitary council’s—in my case—permission is required if there are heavy vehicle movements exceeding 24 a day. In Woore, we were faced with the horror of 600 movements. As a result of stretching out the length of the project, we are now looking at 300 a day, so we are massively over the threshold. I would like to know what would happen if Shropshire Council did not give permission as required under section 17 of that Act. Where would these trucks go? As I said, they are already taking a perverse route, over three sides of a quadrangle, to go from Baldwins Gate to Madeley I want to pick up some points that, again, could have been flushed out if the amendment had been properly drafted. Let me look at the economic impact. My worry about this project is that this is actually Victorian technology. Large steel boxes rolling around on steel wheels on steel tracks is not modern technology. [Interruption.] My neighbour, the hon. Member for Crewe and Nantwich (Laura Smith), is laughing at that. We are looking at the most expensive railway ever imagined. The original proposals were set in 2010 and the projected cost was £32.6 billion. That is now up to over £60 billion. Some estimates are talking about £80 billion, while others suggest £100 million. Let us compare that with what we could do on broadband, where we are miles behind other countries. We have only 4% full fibre connections at the moment. Spain has 71% and Portugal has 89%.
ParlaMint-GB_2019-07-15-commons.u382	Can we not start looking at this perhaps as broadband infrastructure and rail infrastructure? All these things in the right hon. Gentleman’s constituency and in mine would be a great benefit to us all. It should not really be either/or.
ParlaMint-GB_2019-07-15-commons.u383	That is a perfectly fair point, but there is no money tree. There is a limited amount of private and public money. I put to the hon. Lady that her constituents and mine have suffered for generations from the innate disadvantage of living in a remote rural area, 200 miles from London. With this new broadband technology, they can suddenly be level pegging with someone in the middle of Manchester or the middle of London. They can be just as competitive when talking to a customer in Ulan Bator or San Francisco. We are all absolutely level, but we have to have broadband. A spokesman from Openreach, picking up on the comments of my right hon. Friend the Member for Uxbridge and South Ruislip (Boris Johnson), said last week that “building full fibre technology to the whole of the UK isn’t quick or easy. It requires £30 billion and a physical build to more than 30m front doors, from suburban terraces to remote crofts.” Think of the benefit to our constituents if we had full fibre for £30 billion, which was the original estimate for HS2. This project is getting out of control.
ParlaMint-GB_2019-07-15-commons.u384	People call this project an investment. Now, one aims to get a return on an investment. If we wanted a very modest 3% real on this £55 billion slug of capital, it should be generating profits of £2.75 billion every year. I do not think it will make a single penny. The case for investment has not been made.
ParlaMint-GB_2019-07-15-commons.u385	I agree. There were questions at its original cost of £32 billion. We are now at £55 billion and looking at £100 billion. We know categorically that we would massively improve the productivity of every single human being in this country if we had full fibre broadband I am not prepared to vote for the Labour party amendments. I thought they were good when I first skimmed through them, but they place no consequential requirements on the Government. If the Government do not support my hon. Friend the Member for Eddisbury’s amendment, I will vote for it, if she presses it. I am also minded to change my opinion of the whole project, mindful that my constituents have not been given satisfaction and mindful that their lives will be turned upside down for a long period by this project, and to vote against the Bill on Third Reading unless I hear otherwise from the Minister.
ParlaMint-GB_2019-07-15-commons.u386	It has been a pleasure to hear so many passionate speeches about the power of transport to transform the outcomes of our constituencies and our country. Even though there have been some strong speeches from Members who have HS2 running through their patches—obviously they defend their patches and constituents—we have heard too about the transformative nature of HS2 There is no denying that HS2 is a large infrastructure project—it is the largest of its kind in Europe—but it is also absolutely key as it links up eight of our 10 great cities. It will be transformative not only because it will increase capacity and reduce the time it takes to reach eight of our top 10 cities, but because, along the way, it will smash the north-south divide, creating jobs and opportunities for people in the midlands and the north. I need to respond to quite a few Members and go through each of the new clauses, so I will be as swift as I can. I thank the shadow Minister for her comments supporting the project as a whole and her recognition of the number of jobs that will be created along the route and in the supply chain. At the peak, there will be 30,000 jobs, most of them outside London. I also welcome the comments about the urgent need to get on and deliver this vital infrastructure project and about how it is about not just speed but capacity I could talk about my passion for the project, but I thought it might be relevant, considering that we are sitting here in the middle of London talking about those who are supportive of HS2 and those who are critical of it, if I mentioned voices that do not often get mentioned in the Chamber. The Birmingham chamber of commerce has said: “HS2 is a game changer for our region as Birmingham will proudly sit at the centre of a brand new network” Judith Blake from Leeds City Council said: “HS2 will be transformational for Leeds and the region” Leader of Derby City Council, Chris Poulter, said: “Whist I’m aware that there have been some concerns about the impact of HS2; we mustn’t lose sight of the benefits to Derby, and the wider Midlands area.” There was also a fantastic article put together by the leaders of Manchester, Leeds and Newcastle and the Mayors of Greater Manchester and the Liverpool city region. These people represent 15.4 million people, and they say there is no realistic alternative to the delivery of HS2, which we know is key to delivering Northern Powerhouse Rail as well. I am concerned that sometimes the criticism comes from so far south. We should focus on the needs and aspirations of people in the midlands and the north.
ParlaMint-GB_2019-07-15-commons.u387	I am probably as much from the north as Andy Burnham—I am from Greater Manchester—and I am critical of HS2 today. Although my constituents are unaffected, they are none the less aware of the scale of the increase in the expenditure and would consider it a waste of money as much as any Member from the south.
ParlaMint-GB_2019-07-15-commons.u388	The people I mentioned have all made it very clear that they do not think it is a waste of money. I can confirm for my hon. Friend and others that there is only one budget for HS2, and it is £55.7 billion. The bit we are talking about today, phase 2a, is £3.5 billion. The benefit-cost ratio is £2.30 for every £1 spent. There will always be people—we have heard some today—who will never support the project because of its impact in their constituencies, but we must not deny the positive impact it will have on the whole of our country I want to take a moment to refer to some of the contributions to the debate before I get to the new clauses. I know that hon. Members will be listening very closely to the words I use. My hon. Friend the Member for Stafford (Jeremy Lefroy) has been an incredibly passionate advocate for his constituency. I wanted to mention his staff member who has spent years dealing with constituent complaints, but I forgot his name.
ParlaMint-GB_2019-07-15-commons.u389	His name is James Cantrell. I am sure his situation is the same as that of staff in many other colleagues’ constituency offices.
ParlaMint-GB_2019-07-15-commons.u390	I want to put on the record my thanks to James for doing such fantastic work. My hon. Friend raised an important point. It should not be up to Members and their staff to continually liaise between HS2 and their constituents. It is HS2’s job to ensure that the community engagement is appropriate and done with humility and that cases are dealt with swiftly. My hon. Friend once again challenged the budget. As I said, it is £55.7 billion. It is the job not only of the Department but of the chairman and the CEO to keep budgets tight. He also talked about spoil and its impact on traffic in his constituency. It is expected that 92% of excavated material generated by phase 2A will be used across the HS2 route and that 4% will be directed to local placement along the route. I am more than happy to meet him again to go through his issues and will make sure that Highways England is in the room as well. He mentioned three cases—the golf club, Hopton and Hanchurch. I have an update on all three and am more than happy to put them in writing to save time on the Floor of the House. If he wishes to meet, I can also provide him with an update then, but progress is being made. I understand from my notes that they are more or less satisfied with the arrangements made with HS2 I welcome the support of my hon. Friend the Member for Copeland (Trudy Harrison). I agree about the transformative nature of public transport and its impact on national prosperity, which is why we are making such a significant investment in our railways. I remind her, because I know it is incredibly important to Copeland, that there will be more than £2.9 billion of trans-Pennine rail upgrades—the single biggest project commitment in control period 6 My hon. Friend the Member for Congleton (Fiona Bruce) asked repeatedly what HS2 would do for her constituency. At its peak, there will be more than 300,000 people travelling daily on this line. It will connect eight of our top 10 cities. Two technical colleges are already in place to make sure that our youngsters and older people who want to reskill have a job for life. It will connect our country. I completely understand, as a constituency Member, how Members should and must fight for the best deal for their constituents, but this will be a transformative project. All the cases raised today by Members on both sides of the House of where HS2 Ltd is not acting as swiftly as it could be have been put on the record, and I will do my best to take forward any cases that remain undealt with I hesitate to respond to my hon. Friend the Member for Lichfield (Michael Fabricant) in case he makes a passionate intervention, but I cannot see him in the Chamber. No doubt he will come back in. I thank the hon. Member for Crewe and Nantwich (Laura Smith) for her support for the Bill. She referred to businesses. There are 2,000 businesses already involved on the line and 9,000 people working on the line, and 98% of the businesses involved in HS2 are small and medium-sized enterprises.[Official Report, 16 July 2019, Vol. 663, c. 8MC.] I have personally tasked HS2 with making sure that it makes it an easier process for smaller businesses to bid for projects. I want this project to transform not just large but small businesses, making it easier for them to pitch for work The right hon. Member for Normanton, Pontefract and Castleford (Yvette Cooper) spoke about investment in the north. I was lucky enough to be in the Chamber earlier with the Rail Minister, my hon. Friend the Member for Harrogate and Knaresborough (Andrew Jones), and I can confirm that we are investing more than £40 billion in our existing network. Network Rail estimates that about 100 cities and towns could benefit from new or improved rail connections as a result of HS2. As some of the passionate speakers have noted today, it is not an either/or project; we need HS2 as well as continued investment in our rail and road network I do not see my hon. Friend the Member for Stone (Sir William Cash) in the Chamber, so I will move on. As I am running out of time, I will now deal with the new clauses. I welcomed what the hon. Member for York Central (Rachael Maskell) said about new clause 1, but I do not recognise the need for quarterly reporting. I think that once I have explained why, she will agree with me Let me first say something about the environment. The project is already bound not to exceed the likely significant environmental effects that were assessed and reported to Parliament. The environmental statement clearly sets out our approach to the monitoring, reporting and mitigation of environmental impacts during the construction of the phase 2a scheme, and follows industry best practice. Most important, the monitoring and reporting of individual environmental impacts must be tailored to the impacts in question. During phase 1 we are already publishing monthly and annual reports setting out compliance with air quality and dust commitments, and similar monthly reports on noise and vibration impacts are published Subject to Royal Assent, local environmental and management plans will be developed for each local authority along the phase 2a route. They will explain how the scheme will adapt to and deliver the required environmental and community protection measures in each local authority area. If we make a decision here today, we will tie the hands of local authorities, which will not be able to engage in important discussions. We should not, here in London, impose something separate and arbitrary that may not be locally appropriate. When authorities have those conversations with HS2 Ltd, they can make arrangements to receive monthly reports Contractors working for HS2 Ltd will be required to comply with the measures in the local environmental management plans in order to meet the environmental minimum requirements. HS2 Ltd will also consult statutory agencies and independent experts, such as the HS2 ecological review group, which will advise on the monitoring regime and report impacts on ecology and biodiversity. The hon. Lady said a lot about the need for local engagement, local empowerment and monthly reports. All that can and will take place if we allow it to happen, as it has in relation to other parts of the line. She may not have been aware that that was happening, but I think she will agree that if we accept her new clause we will not only increase costs, but create an unintended consequence whereby local authorities will lose their monthly reporting New clause 2 proposes a compensation scheme for tenants. We discussed that in the Public Bill Committee on 25 June, when I responded to a similar proposal. As I said then, the starting point is that the land compensation code does not shut out those who hold land, whatever the duration of their tenancies. It does not bar them from compensation. We have a responsibility to be absolutely accurate when we are talking about policies and the support that is provided. We may make people even more nervous about coming forward if they do not know what measures are available Most types of tenancy are already provided for under existing compensation, if they are impacted by the scheme. When they are not, the Government can use their flexible, non-statutory compensation arrangements to provide support where appropriate in a typical case, which is the category into which most of these cases will fall. The amount of compensation payable is set by the Ministry of Housing, Communities and Local Government. It applies to all Government-led infrastructure projects, and not just to HS2. Those arrangements have been debated, agreed and set by Parliament, together with a vast body of case law on the subject The hon. Lady may not be aware that HS2 Ltd has published a useful information note—“C15: guide to compensation for short term residential tenants”—which covers atypical cases. I am more than happy to sit down with her and explain it. I am also more than happy to ensure that, if necessary, the position is communicated to local community engagement forums as effectively as possible. I have previously hosted events in the House to enable Members on both sides of the House to manage particular scenarios with their constituents.
ParlaMint-GB_2019-07-15-commons.u391	I apologise for missing the start of the Minister’s speech. I was chairing a debate in Westminster Hall Can the Minister assure me that the property registers and the holdings of properties will be accurate? I was recently given two lists of properties in my constituency that had been bought by HS2 Ltd, and they did not match. Properties that were missing from the second list had appeared on another list some years earlier. Can the Minister assure me that she will update the property registers, and will ensure that they are accurate in the first place?
ParlaMint-GB_2019-07-15-commons.u392	My right hon. Friend has raised the important issue of transparency and the need for data to be up to date. Members of Parliament who are working hard for their constituents need to know exactly what data they are speaking about. I shall be happy to ensure that any case that my right hon. Friend raises is dealt with by HS2 Ltd, and also to ensure that there is even greater clarity about the compensation packages that are available Let me now deal with new clause 4. Phase 2a has been under independent scrutiny since its conception. All elements of high-speed rail have been subject to scrutiny since the outset, not least in the House, through the petitioning process, through Public Bill Committee scrutiny and debate, and also through independent scrutiny conducted by the Infrastructure and Projects Authority and the National Audit Office Let me assure the House that, while HS2 is making huge progress in supporting 9,000 jobs across the country and being backed by businesses and business leaders in the midlands and the north, we will continue to scrutinise the project. HS2 will boost economic growth across the UK, and we are already seeing the benefits in the midlands and the north. However, I do not see the benefits of a further environmental assessment, given that we have already consulted extensively. That includes a seven-month consultation on the route back in 2013, a scope and methodology consultation in preparation for the environmental impact assessment in 2016, a consultation on the working draft of the environmental impact assessment—also in 2016—a consultation on the environmental statement deposited alongside the Bill in 2017, and two more consultations on the environmental statement and supplementary environmental statement alongside the additional Bill provisions in 2018 and 2019. I hope Members agree that a huge amount of scrutiny has already taken place. There is also a board, which was strengthened last year by a new chairman, Allan Cook, who works closely with the executive to review the capability and capacity of HS2. It is the job of the chair and the board to ensure that the entire programme continues under scrutiny. I do not see what more another review will achieve, apart from adding another layer of bureaucracy and another cost, given that there have already been so many Let me now deal briefly with new clause 5. I thank my hon. Friend the Member for Eddisbury (Antoinette Sandbach) for being so patient. She has cited some very complicated cases, some of which have taken a long time to resolve. I can only apologise on behalf of HS2 Ltd if it has not worked as efficiently as possible with her constituents, or in providing information about local schools.
ParlaMint-GB_2019-07-15-commons.u393	Will the Minister give way?
ParlaMint-GB_2019-07-15-commons.u394	Very briefly.
ParlaMint-GB_2019-07-15-commons.u395	If my hon. Friend the Member for Eddisbury (Antoinette Sandbach) presses her new clause, will the Government encourage other Members to support it? While I have the Minister’s attention, may I also ask her to address my point about schedule 17, which deals with the Town and Country Planning Act 1990? The local council must give permission for more than 24 heavy vehicles per day to travel down a route. My constituents in Woore will be afflicted by 300 per day.
ParlaMint-GB_2019-07-15-commons.u396	I completely understand my right hon. Friend’s frustration with the impact that the build is having on his constituency, but I am sure that he and his council would agree that this is better done sooner rather than later. I am more than happy to sit down with him to go through the lorry movements in his constituency On new clause 5, I assure my hon. Friend the Member for Eddisbury that non-disclosure agreements are used for good reason, and not for any underhand purposes. I hope that when I list some of the good reasons for their use, she will understand—[Interruption.]
ParlaMint-GB_2019-07-15-commons.u397	Order. The Minister is trying to address points made in the debate, so it would be appreciated if we could listen to what the Minister is saying; there is a lot of chatter.
ParlaMint-GB_2019-07-15-commons.u398	Thank you, Madam Deputy Speaker. The NDAs that HS2 has are fundamentally to ensure that it can continue to work with businesses, communities and local authorities on issues that are competitive and sensitive. They enable conversations with companies and local authorities about options under consideration. They allow HS2 Ltd to make better recommendations to Government, and to develop better proposals, because it has had access to the right information when making decisions We must not forget that NDAs provide value to the taxpayer by reducing uncertainty and by helping to reduce generalised blight. For example, HS2 Ltd entered into such agreements with local authorities in the early stages of exploring route options. I am more than prepared to ensure that HS2 Ltd, if it is able to, sits down with my hon. Friend the Member for Eddisbury and goes through every NDA case that she wants to bring forward. HS2 Ltd is not exempt from the national whistleblowing policy in primary legislation. It has not entered into any NDAs with any HS2 staff.
ParlaMint-GB_2019-07-15-commons.u399	HS2 has a number of subcontractors and contractors, and it has entered into NDAs with them. Under my new clause, an independent assessor would assess past NDAs. HS2 is incapable of even saying, in reply to a freedom of information request, how many NDAs it has. Given that it cannot comply with that request, I am concerned that the Minister is not in receipt of full, accurate information.
ParlaMint-GB_2019-07-15-commons.u400	I would uphold my hon. Friend’s concerns if they were valid. As I have said to her, HS2 Ltd has not entered into any non-disclosure agreements with HS2 staff, but when it is business-critical, it needs to be able to have confidential conversations. Agencies have to agree to NDAs. There are also processes in place; two sets of legal teams provide review. I am not sure that my hon. Friend wants an outcome in which a third legal team is put in place. That will not really help what she is trying to achieve, which is ensuring that HS2 does not have one-on-one NDAs; there are none of those with staff on the project.
ParlaMint-GB_2019-07-15-commons.u401	Will the Minister confirm that what she said to the House a few moments ago is true—that no former member of HS2 staff has an element of non-disclosure in their redundancy package?
ParlaMint-GB_2019-07-15-commons.u402	I cannot speculate on why people are made redundant. I can confirm that no member of staff is subject to a non-disclosure agreement.
ParlaMint-GB_2019-07-15-commons.u403	The Minister has explained why it is important for the efficiency of HS2 that it should have NDAs, but does she think that is right if it comes at the cost of constituents being able to respond to consultations? What if, for example, a council is withholding information under an NDA, or if employees who are at risk of losing their jobs at an affected site find that their company is covered by an NDA, and information cannot be disclosed to them? The NDA must surely be subject to a public interest test.
ParlaMint-GB_2019-07-15-commons.u404	I feel that my hon. Friend is talking about particular cases in her constituency, on which I am more than happy to provide further information. I will work with her to ensure that she is able to represent her constituents, and that they get satisfactory responses from HS2 Ltd. It takes part in many local engagement events; it has met several thousand residents up and down the country. I do not believe that new clause 5 will deliver what she is asking for.
ParlaMint-GB_2019-07-15-commons.u405	Will my hon. Friend give way?
ParlaMint-GB_2019-07-15-commons.u406	I am running out of time; forgive me New clause 5 would slow down the process, and I do not think that it would work effectively. There is already a statutory framework in place for HS2, which includes the Freedom of Information Act 2000 and the Environmental Information Regulations 2004. The new clause is designed to prevent HS2 Ltd from acting as a commercial organisation, and tries to prevent it allocating most of its money, which, I remind everyone in the House, is from the public purse, directly to the programme. Unfortunately, I therefore cannot support the new clause tabled by my hon. Friend the Member for Eddisbury.
ParlaMint-GB_2019-07-15-commons.u407	I have listened carefully to the Minister, and in the light of the power of our new clause 4, I withdraw new clause 1 Clause, by leave, withdrawn. New Clause 4 Independent peer review ‘(1) The Secretary of State must commission an independent peer review of the High Speed Rail (West Midlands to Crewe) project (2) The review must include consideration of the project’s— (a) environmental impact, (b) economic impact, (c) engineering, and (d) governance (3) In this section, “independent” means it is carried out by persons who are independent of— (a) Government, (b) HS2 Ltd, and (c) persons contracted or subcontracted to carry out the scheduled works (4) In this section, a “peer review” is a review conducted by experts of equivalent professional qualifications, expertise and standing to the persons responsible for each aspect of the project set out in subsection (2) (5) A report of the review in subsection (1) must be laid before the House of Commons within 12 months of this Act receiving Royal Assent.’—(Rachael Maskell.) Brought up, and read the First time. Question put, That the clause be read a Second time.
ParlaMint-GB_2019-07-15-commons.u408	Consideration completed. I will now suspend the House for no more than 10 minutes in order to make a decision about certification. The Division bells will be rung two minutes before the House resumes. Following my certification, the Government will be tabling the appropriate consent motion, copies of which will be available shortly in the Vote Office and will be distributed by Doorkeepers.
ParlaMint-GB_2019-07-15-commons.u409	I can now inform the House that I have completed certification of the Bill, as required by the Standing Order. I have confirmed the view expressed in Mr Speaker’s provisional certificate, issued on 24 January 2018. Copies of my final certificate will be made available in the Vote Office and on the parliamentary website Under Standing Order No. 83M, a consent motion is therefore required for the Bill to proceed. Copies of the motion are now available. Does the Minister intend to move the consent motion?
ParlaMint-GB_2019-07-15-commons.u410	indicated assent. The House forthwith resolved itself into the Legislative Grand Committee (England) (Standing Order No. 83M(3)). [Dame Rosie Winterton in the Chair]
ParlaMint-GB_2019-07-15-commons.u411	I remind hon. Members that, if there is a Division, only Members representing constituencies in England may vote. I call the Minister to move the consent motion Motion made, and Question proposed, That the Committee consents to the following certified clauses of, and Schedules to, the High Speed Rail (West Midlands – Crewe) Bill: Clauses and Schedules certified under SO No. 83J as relating exclusively to England and being within devolved legislative competence Clauses 1 to 33, 35, 37 and 40 to 62 of, and Schedules 1 to 28 and 30 to 32 to, the Bill (Bill 397).—(Ms Ghani.)
ParlaMint-GB_2019-07-15-commons.u412	We should not let these sittings of the English Parliament go completely unremarked. In particular, it is good to see the Secretary of State for Transport in his place because, of course, as Leader of the House he introduced the EVEL—English votes for English laws—processes in which we now rejoice As you said, Dame Rosie, as the Member for a Scottish constituency, I am completely diminished in these proceedings, having no opportunity to vote, but I am glad the House had an opportunity to do so earlier. One day, as I have said before, Members from England will speak in the Legislative Grand Committee but, once again, I fear we are to be disappointed this evening Question put and agreed to. The occupant of the Chair left the Chair to report the decision of the Committee (Standing Order No. 83M(6)). The Deputy Speaker resumed the Chair; decision reported. Third Reading
ParlaMint-GB_2019-07-15-commons.u413	I beg to move, That the Bill be now read the Third time In 2015, the Government decided to accelerate the construction of the section of High Speed 2 between the west midlands and Crewe. This has become known as phase 2a. Our intention is to open this section of railway earlier than the rest of phase 2, to start bringing the benefits of the new railway to the north as soon as we can. Today, we can give an unequivocal statement that we are investing in our rail network, and in the midlands and north of England. This House has already given its backing to the building of phase 1 of High Speed 2, paving the way for the first new railway north of London in more than 100 years. Our creaking rail network, which the Victorians took the bold step of building, has continued to serve us well, perhaps beyond the dreams of the visionaries who brought it to us. However, it is bursting at the seams, with more passengers than ever before, and certainly more than were ever envisioned. We have exhausted the options for just “improving” our existing west coast main line; 60% of the peak capacity from the £9 billion west coast route modernisation project, completed as recently as 2008, had already been used by 2014. So we can have no more sticking plasters I am delighted that the Bill for phase 1 received cross-party support. High Speed 2 was a 2017 manifesto commitment of not just my party, but Her Majesty’s official Opposition. We all recognise that High Speed 2 is needed, not least because it will reduce congestion on our important rail transport arteries—it will also increase capacity. Adding an entirely new line between the west midlands and Crewe will increase capacity elsewhere on our existing rail network.
ParlaMint-GB_2019-07-15-commons.u414	rose—
ParlaMint-GB_2019-07-15-commons.u415	I will be delighted to give way to my hon. Friend, as I referenced him earlier, but he was not in the Chamber.
ParlaMint-GB_2019-07-15-commons.u416	I think that if my hon. Friend, and she is my friend, had been in the Chamber earlier, she would have heard a number of interventions. May I invite her to check Hansard? Perhaps she is forgetting that I was in the Chamber. Perhaps now I should ask my question. She will know that there is no direct benefit to Lichfield, because the train does not stop in the area. She will also know, because I gave her a copy of a motion that was passed by Lichfield District Council, that it asks that “all enabling works for HS2 in Lichfield District should be paused until the notice to proceed to main works…has been approved.” It has not been approved yet and will not be until December. May I ask her to comment on that and reassure my local council that no works will go on in the district?
ParlaMint-GB_2019-07-15-commons.u417	Order. Before the Minister replies, I should say that I was in the Chair earlier. The Minister did look around eagerly during her wind-up for the hon. Gentleman and I fear he was not there.
ParlaMint-GB_2019-07-15-commons.u418	On a point of order, Madam Deputy Speaker. I did speak to the Minister earlier and she suggested that I intervene only once Third Reading had begun and not during the earlier stages. I only wished to comply with her.
ParlaMint-GB_2019-07-15-commons.u419	I thank the hon. Gentleman for that point of order. I think we should now probably just resume the debate.
ParlaMint-GB_2019-07-15-commons.u420	I am not sure who is chastised there, Madam Deputy Speaker, but I am pleased to see that my hon. Friend is in his place. The notice to proceed and the business case will be in the public domain later this year, which is why we need to have enabling works, so that they support the “pre” work that needs to take place before the line can be built. I know that my hon. Friend loves progress and speed, and he would like our country to be seen as a progressive country that connects cities to cities. He will want to see this line built as fast as possible and he would never want to be held responsible for slowing it down.
ParlaMint-GB_2019-07-15-commons.u421	The Minister will no doubt be aware, as are other Members, of how often the hon. Member for Lichfield (Michael Fabricant) likes to refer in this Chamber to the wise words of the Mayor for the West Midlands Combined Authority. Does the Minister think he may be interested to know that when I met the Mayor this morning he was extolling the virtues of HS2, and insisting how important it was for his work and for the benefit of the entire region?
ParlaMint-GB_2019-07-15-commons.u422	The hon. Gentleman raises an important point, which gives me an opportunity to put on the record the phenomenal support that Andy Street gives this project. I do not doubt that my hon. Friend the Member for Lichfield will have to try to deal with that later on.
