ParlaMint-GB_2019-10-21-commons.u1	1. What recent assessment he has made of trends in the number of Army personnel.
ParlaMint-GB_2019-10-21-commons.u459	I thank the Foreign Secretary for advance sight of his statement First and foremost, our hearts go out to the family and friends of Harry Dunn, especially to his parents, Charlotte and Tim, and their partners, Bruce and Tracey. As the mother of a 20-year-old boy myself, I can only imagine the devastation they feel at Harry’s loss. But in their case, that loss is compounded by the complete lack of justice for their son, the complete lack of respect they were shown in their meetings not only with Donald Trump but, I am afraid, with the Foreign Secretary—with the family describing one meeting as a photo opportunity, and the meeting with the President as an attempted ambush—and, finally, by the complete lack of answers that they have had to even the most basic questions about why their son’s case was handled in the way it was and why Mrs Sacoolas has received the treatment that she has The Foreign Secretary’s statement today is welcome, in so far as it is a first attempt by the Government to set out a chain of events before Parliament, but it still leaves so many questions unanswered and so many facts unestablished. In the time I have today, I would like to work through those questions with the Foreign Secretary in chronological order Let me start by pressing the Foreign Secretary on the issue of immunity. He can correct me if I am wrong, but my understanding is that spouses and dependants enjoy diplomatic immunity by virtue of the protection enjoyed by the employee. But if, as he has just said, it was agreed between the UK and the US with respect to Croughton that the diplomatic immunity of employees was waived, can he explain the legal basis by which it still applies to spouses? He has talked today about it being an “exchange of notes”. Was it an exchange of notes or was it a memorandum of understanding, and could he please explain the difference? Why is there this anomaly? Was it done deliberately, and if so, what is the justification for that A second, related question is whether, if the United States has agreed to waive the full diplomatic immunity of Croughton employees under the Vienna convention, those employees are still entitled to the limited immunity provided under the Visiting Forces Act 1952. If so, surely the legal position should be that the spouse is entitled only to the same protection as the employee. In that case, based on Crown Prosecution Service guidance and previous precedent, the immunity would have applied only if Mrs Sacoolas had been driving from RAF Croughton to her home address, which is an impossibility given that her home address was RAF Croughton. The Foreign Secretary has been talking particularly about the Croughton annexe. Is that the same as RAF Croughton, does it apply to RAF Croughton as a whole, or is it a different area Finally on the question of immunity, if the protection enjoyed by spouses of Croughton employees is so clear-cut, why did it take the UK embassy three days to assert it in respect of Mrs Sacoolas? If she and other Croughton spouses do, as the Foreign Secretary said, enjoy full diplomatic immunity under the Vienna convention, why was Mrs Sacoolas’s name never placed on the diplomatic list? When the Foreign Secretary states that the US embassy notified us that the spouse of a member of RAF Croughton was involved in an accident, who is “us”? Is it the police, the Foreign Secretary and his private office, or some other part of the Foreign and Commonwealth Office Moving on to the aftermath of this tragedy, will the Foreign Secretary agree, in the interests of transparency, to publish all correspondence and records of all other communications and meetings between his Department, Northamptonshire police and the CPS, and between his Department and US officials, about the handling of this case subsequent to 27 August? It is particularly important to look in detail at what happened between 30 August, when the US asserted diplomatic immunity, and 15 September, when Mrs Sacoolas left, because, as I understand it, the FCO was told that she would leave the country imminently unless the UK raised strong objections. What strong objections did the UK raise, at what level, and by whom? Were assurances requested that she would not leave the country until the issue of immunity had been clarified, particularly given the memo of understanding—or the exchange of documents—as this seems to be extremely murky? What liaison was there between the FCO and Northants police prior to Mrs Sacoolas leaving, and did either the police or the FCO know that she would be leaving before she did so? All these questions need to be answered. Did Mrs Sacoolas leave on a scheduled flight? Did she leave from Mildenhall? Had the ports been alerted pending resolution of her status? Will the Foreign Secretary explain why his Department asked Northamptonshire police to delay informing Harry Dunn’s family of the departure of Mrs Sacoolas for, to quote him, “a day or two”? Why did they not have the right to be told immediately? What possible legal, let alone ethical, basis was there for the Foreign Secretary to be interfering in operational police matters? Surely this family had the right to be informed straight away. Why, indeed, did it then take the Northamptonshire police 10 days to tell the family Given that the Foreign Secretary has made it clear that the supposed diplomatic immunity status granted to Mrs Sacoolas has ceased to apply since her return to the United States, while I am not asking him to intrude on the independent decisions of prosecuting authorities, can he say whether he has he been advised on whether there are any barriers to the CPS commencing extradition proceedings to return Mrs Sacoolas to the UK As the Foreign Secretary will know, tomorrow Harry Dunn’s family are due to meet the chief constable of Northamptonshire police. As I mentioned earlier, this brave family have already had one disappointing meeting in his office—and another in the Oval Office. In fact, may I ask a question in relation to that? Was the Foreign Office aware that the White House had summoned the family to the White House, let alone that the President was intending to ambush them with a meeting with Mrs Sacoolas? If so, did the Foreign Office think it appropriate not to give this vulnerable family some assistance? They have many legitimate questions, and they are not getting answers. Unfortunately, they have been led to believe that they will not get any answers from the chief constable of Northamptonshire tomorrow either, as it is his intention merely to offer them his personal condolences. That is not good enough. The time for condolences and sympathy is over. What Harry’s family need now is answers, the truth and some justice.
ParlaMint-GB_2019-10-21-commons.u460	May I thank the right hon. Lady for the tenor of her opening remarks? I join her in expressing my deepest condolences to the family. I also agree with her that the natural grief that any parent would suffer as a result of losing their child has certainly been compounded by having to go through these legal and what will feel like bureaucratic obstacles. Equally, on our side, we have to ensure that justice is being done by adhering to the legal route; otherwise we impair the very objective that I think we are all seeking to achieve The right hon. Lady raises a number of issues. On the suggestion that there was an attempt at a photo opportunity, it had actually been requested by the representative of the family to bring media to the meeting that I hosted, and I declined because I thought it was inappropriate. I expressed my deepest condolences and sympathies to the family and made it clear when I met him that I would do anything that I could and that they should feel free to come back to me directly if there was any support that they felt they needed The right hon. Lady asks about the difference between an exchange of notes and a memorandum of understanding. The exchange of notes and exchange of letters under international law is not decisive; what matters is the tenor of the language. However, they effectively implement administrative arrangements under the Vienna convention of diplomatic relations, so they would be of similar status to an MOU The right hon. Lady asks about the anomaly that spouses were not covered by the waiver arrangements. I agree that that is an anomaly. That is why I have instituted a review. Since 1995, we have not seen—certainly, having looked very carefully at this, I am not aware of—any case that has tested them. Therefore, this is probably the first time that the anomaly has come to light, certainly to me, but also, given that they have not really been implemented or tested in this way, more generally to the Foreign Office. The exchange of notes covered the technical and administrative employees at the Croughton annexe—which was the subject of another of her questions—whereas the diplomatic list that she refers to applies to members of the US embassy The right hon. Lady asks what we knew at the point at which the individual left this country to go back home to the US. We were made aware, I think, a day or two before—I can check—and we registered our strong objections. The right hon. Lady suggested—this is very important—that there should have been checks at ports or that we should immediately have tipped off the police. It would have been unlawful to arrest the individual under the Vienna convention on diplomatic relations, so that would not have been, I think we can all agree, a responsible or productive thing to have done. Indeed, it would have been an illegal thing to do The right hon. Lady asks about the family’s visit to the US. We were aware of that visit. I was not aware of who Mrs Dunn would meet, but I did make it clear during our meeting that I would help with anything and gave her the direct line to my office. Indeed, we have contacts with the representative of the family, and no request was made to us for support when they went to the US, nor were we aware of the details of that trip. The right hon. Lady asks about the delay in informing Harry Dunn’s family once Ms Sacoolas had left the country. As I said before, it was one or two days. The reason that we asked for a little bit of time—this request was not made by me, and I was not aware of it, but by my officials—was to make sure that we could be very clear on what the next course of action would be, and, indeed, precisely so that they could inform Ministers before the family were aware, because we were aware that there would immediately be questions coming back about what we would do next. There was a further delay from the police. I know that they have been very mindful of the sensitivities of the family at every stage, but ultimately that is, I am afraid, a question for them The right hon. Lady asks about barriers to justice being done. Ultimately, that must be for the CPS and the police to decide, and we are obviously in close contact with them, but I am currently aware of no barriers to justice in this case. At every stage during this process, I have been keen to ensure, as have my officials, that we can remove any obstacles to justice being done The right hon. Lady talked about the need for transparency, which I know she has made some remarks about in the media. In the same spirit, I point out that, while we have never had a case that has tested these arrangements since 1995—at least, as far as I am aware, and I have checked very carefully—the arrangements were reviewed in 2001. That review was an opportunity to address this issue. It was left unresolved, but the number of staff at the Croughton annexe was substantially increased. In fact, it doubled in size That is the full background to not only this case but the arrangements made for the Croughton annexe. I think that the whole House will join me in not only expressing our condolences but trying to ensure that, independently and in the correct way, the police and the CPS are free from political interference and any bureaucratic obstacles to see justice done. Having talked to the parents of Harry Dunn, I know that ultimately, that is the solace that they are looking for right now.
ParlaMint-GB_2019-10-21-commons.u461	This awful loss has created a huge shock across Northamptonshire, but especially in the constituency of my right hon. Friend the Member for South Northamptonshire (Andrea Leadsom), and I commend her for the work she has done over this. All that sadness is nothing compared with that of the family. My right hon. Friend the Foreign Secretary has made comments about avoiding political interference, given the judicial proceedings that we seek. Does he agree that all of us must be mindful of the need to be extremely careful, given the desired objective?
ParlaMint-GB_2019-10-21-commons.u462	My hon. Friend is right. It is particularly incumbent upon me as the Foreign Secretary to ensure that, while remaining in touch with the family, which I have been at pains to do, and clearing the obstacles, there is nothing inadvertently that I do, or that the FCO does, which could later allow a particularly innovative defence lawyer to claim that the proceedings had been prejudiced in advance. I have taken that duty very seriously.
ParlaMint-GB_2019-10-21-commons.u463	I would like to express my condolences to Harry Dunn’s family. For a family to lose a child and a loved brother is appalling, but these are particularly appalling circumstances, and it is particularly appalling that a grieving family is having to endure this, as the Foreign Secretary acknowledged. He also acknowledged that this is a police matter, but there are concerns. Will he reassure me that every pressure will be brought to bear on the US authorities, to see that justice is done? Special relationship or none, these things have to go both ways. That means that the US authorities must co-operate fully, which means that if the Crown Prosecution Service seeks extradition—I know he cannot comment on this—it must be given What can the Foreign Secretary tell us about the advice that was given to Northamptonshire police and the immigration service about immunity? I am glad that he is undertaking a review, and I was concerned when he said that the current arrangements are not right. When can we expect for him to come back to the House with the findings of that review? To echo what the shadow Foreign Secretary said, he must publish the documentation that has been asked for. I would like him to set out the timescale for the review and give us some reassurances about the US Administration. This is a deeply sad and tragic case, and justice must be done.
ParlaMint-GB_2019-10-21-commons.u464	I echo the hon. Gentleman’s condolences and thank him for the remarks he made at the outset. He asked about pressure on the United States. We have made very clear our disappointment with the refusal to waive, and we have requested a reversal of that decision at every level in the Administration, from the ambassador here through to the representations that the Prime Minister made to the US President The hon. Gentleman asked about requests for extradition. They would, of course, be made by the CPS under the UK-US extradition treaty. I am not aware of any obstacle, but I want to be very mindful of the responsibility I have not to say anything prejudicial. He also asked about the review of the arrangements at the Croughton annexe. I am keen for that to be conducted as soon as possible, and certainly before the end of year.
ParlaMint-GB_2019-10-21-commons.u465	Although the Foreign Secretary has given a very full account of the representations made to the American authorities, he has not given any narrative of what the American authorities said in return, in justification of their behaviour. Can he throw any light on what their attitude and excuses are, and can he at least confirm that it had nothing to do with the nature of this lady’s husband’s job?
ParlaMint-GB_2019-10-21-commons.u466	Nothing that was communicated to us touched on the point that my right hon. Friend made. There was not a particularly clear reason other than, as a matter of practice, the US made clear that it would not waive immunity in a case like this. I appreciate that, from the point of view of the family and, indeed, the Foreign Office, that is unsatisfactory.
ParlaMint-GB_2019-10-21-commons.u467	Tonight a family are grieving and going through something that we find incomprehensible, and yet they know that there is a lady over the Atlantic who has all the answers. Does the Secretary of State think it is outrageous that the family were taken to America to face an ambush in the White House by Mrs Sacoolas, who has not returned to the UK to face justice?
ParlaMint-GB_2019-10-21-commons.u468	I thank the hon. Lady for her question. The first thing I should say is that I think the fact that the US President was willing to meet the family directly was a positive. I certainly think that the sensitivities of handling the introduction with Mrs Sacoolas could have been done better, although I know from the family and their representative that they want to not only see the individual concerned co-operating with the police but also understand a bit more what happened from her. I think that it was done with the best of intentions, but I agree that the handling of it left something to be desired.
ParlaMint-GB_2019-10-21-commons.u469	No one can fail to be moved by the tragic circumstances surrounding the death of Harry Dunn. The Foreign Secretary has carefully set out what steps he has undertaken and plans to undertake. He said that the Foreign Office has formally requested the US embassy to waive immunity. Can he confirm that, however much any of us wishes it were otherwise, it is simply not lawful or possible for him unilaterally to remove immunity?
ParlaMint-GB_2019-10-21-commons.u470	My hon. Friend is absolutely right. In addition to that, it clearly would not be possible or responsible for the police to try to do so. They are there to uphold the law, and however unfortunate the circumstances are, we cannot ask them to do the reverse.
ParlaMint-GB_2019-10-21-commons.u471	This is truly a dreadful business, and it is quite clear to me and my party that the Government take this most sorry episode very seriously indeed. The events of 15 October come over to me and, I am sure, many people in this country as being some sort of hideous play on comic opera, with Harry’s parents taken to the Oval Office, where, almost by sleight of hand, Mrs Sacoolas, was in the next room. Surely that cannot be within the rules of diplomatic engagement, and surely we should make representations to say that it is not acceptable for our citizens to be treated in this fashion.
ParlaMint-GB_2019-10-21-commons.u472	As I said in my opening statement, we had made clear that we were willing to support the family directly, and they have a representative who acts on their behalf. We were not asked for any support in relation to the US visit, and those arrangements were therefore made, I assume, between the representative and the US Government. Ultimately, at all these points, it is impossible to overstate the anguish and frustration that the family feel at every new bureaucratic hurdle that is placed in their way. I understand that, and that is why we have been so mindful about removing those obstacles, because the thing that this family want above all is to see justice done Bill Presented European Union (Withdrawal Agreement) Presentation and First Reading (Standing Order No. 57) Secretary Stephen Barclay, supported by the Prime Minister, Michael Gove, the Chancellor of the Exchequer, Secretary Priti Patel, Secretary Julian Smith and the Attorney General, presented a Bill to implement, and make other provision in connection with, the agreement between the United Kingdom and the EU under Article 50(2) of the Treaty on European Union which sets out the arrangements for the United Kingdom’s withdrawal from the EU Bill read the First time; to be read a Second time tomorrow, and to be printed (Bill 7) with explanatory notes (Bill 7-EN).
ParlaMint-GB_2019-10-21-commons.u473	Item one of the scheduled business is voided, in the light of the statement and ruling that I gave shortly after 3.30 pm, so that business does not take place today.
ParlaMint-GB_2019-10-21-commons.u474	rose—
ParlaMint-GB_2019-10-21-commons.u475	I can see that the hon. Gentleman wishes to contribute to the exchanges on this matter. He does not have to do a salute.
ParlaMint-GB_2019-10-21-commons.u476	Thank you very much, Mr Speaker. I was clearing my throat at that particular moment. I am grateful to have caught your eye This may look like an innocuous motion from the Government, essentially suggesting that hon. Members, prior to Second Reading, should be allowed to table amendments for the Committee stage, but these are highly unusual circumstances and this motion relates to probably one of the most momentous pieces of legislation that has happened certainly in the last 50 years. It is of course preferable to give hon. Members as much time as possible to table amendments for the Committee stage and potentially for the Report stage, although there is normally an intervening period between the Committee stage and the Report stage For the benefit of the House, I want to highlight that, as far as I know, the programme motion for this Bill has not yet been published, although I have heard some quite frightening rumours about what the programme motion is likely to look like. One suggestion I have heard—I invite the Leader of the House to disabuse me of this—is that, as well as seeking Second Reading tomorrow, the Government also intend to commence the Committee stage and have a number of hours in Committee tomorrow.
ParlaMint-GB_2019-10-21-commons.u477	Order. I very gently interrupt the hon. Gentleman to say that that information was divulged, and therefore this prospect was foreshadowed, in the business statement that the Leader of the House delivered earlier, so it is not something on which we need to dilate further.
ParlaMint-GB_2019-10-21-commons.u478	I am very grateful, Mr Speaker. I may not have been in the Chamber at that moment in time, but I am still quite shocked at the idea of having the Second Reading take place and then moving straight on to the Committee stage on Tuesday—tomorrow. The reason this is relevant to this motion today is that the House is expecting Members to frame and draft amendments to a Bill that we have not yet had the opportunity to see. It has just this preceding moment received its First Reading. The time is now 7.41 pm, and we are expected to table amendments for a Committee stage that will take place tomorrow—I think on clauses 1 to 4 of the proposed Bill While this motion is, I think, absolutely the minimum required, it is worth reflecting on the appalling notion that this Bill is going to be rammed through in this way and in this particular fashion. I say this for a very good reason. Many hon. Members will remember—the Leader of the House is too young, possibly, to remember many of these things—that the practice when considering legislation that amends aspects of European treaties has quite a long pedigree. The House of Commons Library has rather helpfully produced a briefing paper about the parliamentary process of Bills in respect of EU treaties. We know that the Commons Committee stage on the treaty of Rome was not three days or two days, but 22 days; for the Maastricht treaty, 23 days; for the treaty of Lisbon, 11 days; for the treaty of Amsterdam, five days; for the Single European Act, four days; and for the smallest of them all, the treaty of Nice, three days. In total, there were five days of Commons consideration for the treaty of Nice reform This is an unprecedentedly short period of time to dedicate to a massive and momentous piece of legislation. Personally, I am very worried that the motion we are now debating is the first in a series of attempts by the Government to presage what is essentially the ramming through of a piece of legislation in what I regard as a disorderly way. Order in this place is a matter for you, Mr Speaker, but from my perspective, in terms of good law making, this has all the hallmarks of the Dangerous Dogs Act 1991 and all those other bad pieces of legislation. We know that legislation that has not had a chance to be properly scrutinised tends to end up with ill effects or unforeseen consequences for our constituents At a quarter to eight in the evening, what are hon. Members really supposed to do? Presumably, by now, the Bill has been published and is hot off the press and available for us to scurry to the Vote Office and look at. Perhaps the Leader of the House—I have not had the opportunity to see it—can tell me how many pages there are in that legislation. He is asking in this motion for us to go and write amendments to that piece of legislation and table those this evening for them to be in order for a Committee stage that is taking place tomorrow. I do not know whether the Leader of the House can cite on how many occasions a Bill of such magnitude and importance has had a Second Reading and Committee stage on the same day. Perhaps he can give me some examples, but I do not see that that was the case in any other preceding piece of European Union legislation going back to the early 1970s, before I was even born. I am really worried about this motion being the first of many such motions. I think it is necessary as an absolute minimum, but everybody needs to be alert to the fact that it is not just an unfair way to treat the House of Commons, but quite a dangerous approach to take.
ParlaMint-GB_2019-10-21-commons.u479	The hon. Gentleman may not have noticed, but the Bill has just arrived at the Speaker’s Chair, and it is not as chubby as he might have feared.
ParlaMint-GB_2019-10-21-commons.u480	I do not know what the hon. Gentleman’s definition of “chubby” is, but this is 110 pages of legislation, with at least six complex schedules to it. Let me see what the tally of clauses is within it: there are 40 different clauses in this particular piece of legislation Perhaps the hon. Gentleman can cite to me what he understands clause 38 to be or perhaps the Leader of the House can tell me what he thinks clause 39 is, but I doubt that they can. The point I am rather facetiously making is that it is impossible for them to have digested it in that time. I am quite sure that they and other hon. Members—I can see hon. Members beyond the Bar doing so—are saying, “Oh, this is just remainers making these points. Of course they’re going to say that. That is just what they do. They should just shut up, take it on trust and ram the Bill through or nod it through. Everybody’s impatient, everybody’s frustrated. We are really tired. Let’s just do it.” But that is not good enough. Our constituents’ livelihoods and their jobs are at stake in what happens with this very significant piece of legislation.
ParlaMint-GB_2019-10-21-commons.u481	First, the hon. Gentleman is making an excellent point. Our constituents will be profoundly affected by this significant Bill, and to try to ram it through for political purposes is something that I know my constituents will not accept. Secondly—and I notice the remarks on the Benn Act—we rely on the Government usually having control of the Order Paper, but we were able to get control of the Order Paper for one day. Does he therefore agree with me that perhaps the opposition parties should get some more days to consider issues that we think we should be debating?
ParlaMint-GB_2019-10-21-commons.u482	I really do not want to be either greedy or unreasonable. I just think we need to be fair and give due diligence to this piece of legislation. I am not saying we should have—what was it?—the 23 days in Committee on the Maastricht treaty. By the way, when I was very young, I watched its passage from the Gallery in this place many moons ago. I know many Conservative Members, some of whom are still in the House, who fought that Maastricht legislation tooth and nail, and they tabled amendment after amendment during the 23 days in Committee. However, I bet hon. Members anything that if they were told at nearly 8 pm on a Monday night that they had to table amendments for a Committee stage that would take place some time on the Tuesday, the next day, they would be absolutely up in arms—and quite right too There are a number of consequences that follow, and they are relevant to the motion we are discussing now. For example, will Clerks be available this evening, and to what hour, for hon. Members to ask advice about drafting amendments that have to be taken tomorrow? Will those amendments tabled tonight be starred, which essentially means that there is no guarantee of their relevance on the amendment paper? What is the procedure in respect of tabling amendments this evening and their being regarded as legitimate? If they are tabled tomorrow morning, even at 8 am, will those amendments be valid, and equally valid by the time we get to the afternoon? People watching these proceedings may say, “Oh well, this is all very technical—this is the wiring of the House.” These things matter, because important amendments may need to be tabled.
ParlaMint-GB_2019-10-21-commons.u483	The hon. Gentleman is making a thoughtful case. Certain Government Members have suggested that the impasse that we seem to be in brings Parliament into disrepute and that public confidence in Parliament has been eroded. Constituents of mine who are watching this will say to me, “Jamie, you are kidding. You are putting this huge piece of legislation—something that could endanger our livelihoods—through in three days flat.” I would suggest that that damages the reputation of this Parliament. [Interruption.]
ParlaMint-GB_2019-10-21-commons.u484	The hon. Gentleman is quite correct, and I can hear the impatience of Ministers of the Crown bubbling over—not perhaps the Leader of the House, who does not often bubble over in that way. We are all fed up with this process, but we should not sweep under the carpet concerns about the legislation simply because Ministers of the Crown are impatient. This is our job. We are employed to do it, and we were elected by our constituents in 2017, long after the referendum in 2016, to scrutinise this legislation. [Interruption.]
ParlaMint-GB_2019-10-21-commons.u485	Madam Deputy Speaker, there is a lot of noise. The hon. Gentleman is making some strong points, but does he agree that there are many people in the House, on different sides, who want a deal to go through, or do not want deal to go through, or want to amend things in different ways. There are varied views on Brexit, and they want to be able to table amendments, including to early parts of the Bill, in a proper way. I imagine that some members of the European Research Group might be unhappy with the first few clauses, which continue to assert the supremacy of EU law over UK law for the transition period. Other Members, including Opposition Members, who would like to see a deal voted through, would want to propose sensible amendments to improve the Bill so that they feel able to vote for it. I do not understand why the process is being rushed in this way.
ParlaMint-GB_2019-10-21-commons.u486	The hon. Gentleman is correct. I am surprised that a Minister of the Crown did not propose the motion at the Dispatch Box—it was going to be nodded through had I not cleared my throat to let the Speaker know that I was worried about it when the Question was put. Perhaps the Leader of the House will reply to the debate. [Interruption.] I am glad he says that he will The hon. Gentleman was correct, because those first few clauses, which I understand will be debated tomorrow afternoon, if the programme motion succeeds, have many ramifications about which hon. Members are concerned. I point generally in the direction of where ERG members normally sit or lounge in various forms on the Government Benches. They are not here, and I gently suggest to the Leader of the House that in such exceptional circumstances—[Interruption.] Certainly not the hon. Member for Winchester (Steve Brine)—I would not say that he would ever be a member of the ERG; absolutely not, I know his views well. I wonder whether the Leader of the House, given the circumstances surrounding the motion, has taken exceptional steps to alert all hon. Members, perhaps with an email this evening saying that the clauses are likely to be debated and they will need to table amendments tonight if they are not to be starred amendments? Has he gone to any lengths to alert hon. Members to these unusual and, in my view, dangerous circumstances?
ParlaMint-GB_2019-10-21-commons.u487	As I understand it, the hon. Members for Wigan (Lisa Nandy) and for Stoke-on-Trent North (Ruth Smeeth) obtained assurances from the Government that there would be a procedure whereby the House could consider properly, during the implementation period, the future trading relationship between us and the European Union. I do not know, but I have been told that it looks like that is not in the Bill. Have the two hon. Ladies been informed, because given the hour it is difficult to see how they could table amendments to deliver the promise that was made to them by the Government?
ParlaMint-GB_2019-10-21-commons.u488	It is indeed very serious. In this modern era, people think, “Oh well, politicians make promises across the Chamber, and if they are ignored or not honoured, that is just the nature of political to-ing and fro-ing.” That is not good enough, and I know that in his heart, if the Leader of the House makes a commitment at the Dispatch Box to hon. Members that certain amendments will be considered and given credence by the Government, he will allow time for amendments to be tabled. I am not sure that the timetable proposed in the motion is fair for those hon. Members. All it will do is annoy them further and offend them, and it will not necessarily win their support for the legislation. I suspect that he is making a rod for his own back with the timetable.
ParlaMint-GB_2019-10-21-commons.u489	To give a practical illustration—it is important that Members in the Commons and the Lords understand what has happened this evening—I became aware of the situation only 20 or 30 minutes ago. I went to the Vote Office and asked to see the programme motion if it had been published. The Vote Office told me that it did not have a copy and that I could not see anything. It told me that I might be able to find one in the Table Office. Members have not even had a look at the timetable. The vast majority have no idea whether or not they can table amendments, but they need to do so in relation to these parts of the Bill.
ParlaMint-GB_2019-10-21-commons.u490	That is an incredibly important point, and I am sure, Madam Deputy Speaker, that you will want to reflect, in what appears to be not just an emergency procedure that the Government have invoked but a quite unprecedented one, on whether the programme motion details are available in the Vote Office. I am not sure whether that is the case.
ParlaMint-GB_2019-10-21-commons.u491	Order. I was almost going to make a point of order—in fact I realise that I am making a point that, I think, is a point of order. It might help hon. Members to know—and this is perfectly normal procedure every day— that until tomorrow’s Order Paper is published, it is available for any Member to see in the Table Office. If anyone wants to see what is on tomorrow’s Order Paper, they can go to the Table Office and discover that. Once it is published it will be available in the Vote Office. The hon. Gentleman is correct, technically, but the information is there if Members wish to see it.
ParlaMint-GB_2019-10-21-commons.u492	I have been in the House for very many years, Madam Deputy Speaker—more, perhaps, than hon. Members and I care to remember, but I did not know that I would not be able to obtain from the Vote Office details of a programming arrangement tomorrow for the Committee stage of a Bill that has not yet had its Second Reading. Now that this has been aired, we are all supposed to toddle along to the Table Office to obtain them—that is another innovation of which I was not aware—and I shall certainly do so.
ParlaMint-GB_2019-10-21-commons.u493	There is concern among Opposition Members—this will not surprise the hon. Gentleman or others—that the Conservative party never quite got to grips with devolution. Does he agree that, given the short timescale, there is inadequate time for the Welsh Assembly and the Scottish Parliament to consider this in a proper fashion, as we should do through the devolution settlement?
ParlaMint-GB_2019-10-21-commons.u494	I do not always agree with what happens in the Scottish Parliament or the Welsh Assembly, but they certainly have a right to be consulted, and certainly when a Bill of this magnitude is being railroaded through. If it were a one or two-page Bill with a couple of clauses, the Leader of the House would have a case to make: it would be a simple issue, and hon. Members could be fully aware of its contents There was no reason why the Government had to wait until this evening to publish the Bill. I do not understand the notion that it had to be withheld. I went to the Vote Office earlier this evening and asked to see a copy of the Bill. I was told, “Oh no, not until First Reading.” The Government have published draft legislation online for many years, so there was an attempt to withhold details—deliberately, I suspect—from hon. Members until after 7.30 pm, to make it as difficult as possible for me and other hon. Members to take the time to look at the Bill, find its flaws, draft amendments, consult the Clerks and ask for their assistance with the legal framing of such amendments, perhaps consult colleagues to obtain signatures for the amendments—there are only a number of hours to do that—then table the amendments in time for the Committee stage tomorrow of a Bill that has not even had a Second Reading. It really is a ridiculous state of affairs.
ParlaMint-GB_2019-10-21-commons.u495	Order. I hesitate to interrupt the hon. Gentleman, but I will point out, just before he moves on to his next point, that there has been an innovation, and he has probably been instrumental in bringing it about. I am happy to tell the House that, as of a few moments ago, tomorrow’s Order Paper is now available in the Vote Office. It is not quite ready to be published, but it is on paper and it contains a lot of information. Any Member can find it in the Vote Office. I am grateful to the hon. Gentleman for drawing the matter to the attention of the House.
ParlaMint-GB_2019-10-21-commons.u496	I am grateful, Madam Deputy Speaker. Ordinarily, I would be humbled to have had a hand in such an innovation, but I am actually a little annoyed that we have reached this state of affairs. In the past I have tabled the occasional amendment to such pieces of legislation, but in this case it will be quite a challenge. I am now more determined to table my amendments this evening, in the hope that they will reach the Order Paper. I would therefore like to apologise to the Clerks in advance, because I am afraid that I will be pestering them later tonight, possibly at quite a late hour, because what other choice do we have in our democracy?
ParlaMint-GB_2019-10-21-commons.u497	I know how concerned the hon. Gentleman is about pestering the Clerks at a late hour, but he could make that hour somewhat less late if he wrapped up his contribution now and got on with drafting his amendments.
ParlaMint-GB_2019-10-21-commons.u498	Well, the hon. Gentleman’s intervention has just added a minute to that process. That is always the way with Government Members; it is a case of, “Just shut up; sign on the dotted line; don’t criticise; everybody’s tired; don’t bother looking at this; take it all on trust.” That we have reached such a situation is perhaps a consequence of having opened the Brexit box in 2016. It need not be this way. There is false cause for the 31 October deadline that the Government are rushing towards, which is all about the promises that the Prime Minister has made in various political circumstances. We know that an extension request has been made, and we know that it is entirely feasible. There is no real reason to truncate proper scrutiny of this legislation I, for one, learned only today that article 271 of the deal that the Prime Minister has struck with the European Council contains proposals that will mean that goods being shipped across from Northern Ireland to Holyhead or Liverpool will need an exit summary declaration form to be shown in order for them to cross the Irish sea within the United Kingdom. I am staggered that we are seeing that level of fettering of the transmission of goods within the United Kingdom. I would like to table an amendment on the impact that will have on constituents in Northern Ireland and Great Britain.
ParlaMint-GB_2019-10-21-commons.u499	Last Friday one of the supermarket giants told the agrifoods sector in Northern Ireland that it could no longer source all of its chicken product in Northern Ireland, because that was simply becoming too expensive as a result of the matters that the hon. Gentleman refers to. That means that the agrifoods sector in Northern Ireland will lose 80% of the chicken business with that supermarket giant. That is an example of what is happening, yet the Government are telling us that it will make no difference and that we will be okay. Well, we are not going to be okay.
ParlaMint-GB_2019-10-21-commons.u500	The hon. Gentleman is completely correct. What makes it worse is that he and I might want to table an amendment—it would be to the early clauses of the Bill—seeking to mitigate the impact of that proposal, or indeed to remove it altogether, but potentially we will have to table it tonight for consideration tomorrow. How on earth are we legitimately supposed to do that? I know that we will have another debate on the programme motion tomorrow—I might seek to catch your eye on that occasion, Madam Deputy Speaker—but tonight we are debating a motion on whether the House should allow hon. Members to table amendments this evening, with the good grace of the Government, so that they can be considered tomorrow. I think that is the absolute minimum requirement, but this is a very bad business indeed.
ParlaMint-GB_2019-10-21-commons.u501	I thank my hon. Friend for giving way, and I apologise for not being here for the start of his remarks—I was getting a copy of these two documents. How on earth am I supposed to digest 110 pages of a Bill and 122 pages of accompanying explanatory notes, before determining what my amendments might be and how to attach them to the right part of the Bill?
ParlaMint-GB_2019-10-21-commons.u502	rose—
ParlaMint-GB_2019-10-21-commons.u503	Order. I beg the hon. Gentleman’s pardon, but I do not think that the hon. Lady was here for the start of these proceedings. Was she? Perhaps she had been here but then went out. That is fine, but we have to be a little careful about sticking to the normal rules. We are in an usual situation, but we will observe the normal rules. If she was here, that is quite all right, but I thought that she was making a point that had already been made—of course, it would not be unusual for a point to me made more than once.
