ParlaMint-GB_2018-10-30-lords.u1	To ask Her Majesty’s Government what action they are taking to support the children of prisoners.
ParlaMint-GB_2018-10-30-lords.u195	My Lords, my Amendment 16 has the honour to be joined to the two amendments of the noble Lord, Lord Adonis, Amendments 10 and 11. It seems to me that Amendment 10 breaches a fundamental aspect of the constitution, namely that it is not right for anyone not connected with the prosecution to intervene to alter or to direct a prosecution decision. That is what Amendment 10 does. Amendment 11 again breaches the constitutional rule that our judiciary is not to be directed by departmental guidance. The Secretary of State for Northern Ireland has no authority whatever to direct the prosecuting authorities in Northern Ireland not to prosecute existing statutory provisions there, and certainly no authority to order the judiciary in Northern Ireland not to obey a part of the rule that is there already Amendment 16, which was passed in the House of Commons, is intended to deal with both matters as the noble Lord, Lord Adonis, has explained them. It seeks to get the Secretary of State to issue guidance, which will have effect as they wish, but the amendment is so drawn that it does not specify that the guidance has to be of a particular kind. It is obvious from the way it was introduced in the Commons that that is what they would like to see, but the amendment does not require the Secretary of State to do anything that is unconstitutional or wrong. That is why, as far as I am concerned, I shall not press the amendment. It is a matter that was decided on a free vote, on the issue of abortion—which is always subject to a free vote in both Houses of Parliament—and therefore I shall not press it to a Division. However, I thought it might be necessary to have further discussion on it. Having regard to the amount of discussion that took place at Second Reading, it may not be necessary to do more than introduce it and see whether anybody wants to speak As for the first two amendments, in the name of the noble Lord, Lord Adonis, these are quite unconstitutional. Indeed, the first, on interference in a prosecution, was a constitutional disaster in, I think, the 1920s, and as a result the constitution of the United Kingdom has not had the law officers be part of the Cabinet ever since. Decisions about prosecution are not Cabinet decisions; they are the responsibility of the law officers. In Northern Ireland, in the present situation, the Director of Public Prosecutions is the authority. Nobody has authority under our constitution to tell him what to do in relation to an existing law. The amendment is framed on the basis that this is still an existing law not to be enforced by the department. That is a completely unlawful order. The Secretary of State would be quite wrong to give guidance on that aspect in Amendment 10, and in relation to the judiciary in Amendment 11 Amendment 16, which I have tabled, is the way that the House of Commons decided to deal with this same matter, which the noble Lord, Lord Adonis, will improve on with his amendments. The Commons agreed the amendment by a majority of about 100. As far as I am concerned, it can stand, because it does not direct the Secretary of State to do anything unlawful. It obviously hopes that the Secretary of State may manage to do something that the Commons had not quite thought of how to do itself. Anyway, that is the way it is. There is no attempt in Clause 4, as it is now as part of the Bill, to direct the Secretary of State to do anything that is necessarily unlawful.
ParlaMint-GB_2018-10-30-lords.u196	My Lords, I put my name to Amendment 16. I should like to speak to it and, briefly, to Amendments 10 and 11 I have no doubt that the ultimate purpose of Clause 4 and Amendments 10 and 11 is to change Northern Ireland and United Kingdom law by decriminalising abortion. This would mean that abortion would cease to be illegal in all circumstances. That means that any baby, at any stage of gestation, right up to birth, could be aborted. No human right exists to do that. I think noble Lords would wish to accept that that, at least, is true. There is no human right to abort babies as described. To decriminalise abortion would be, to my mind, the act of an uncivilised society We do not have any declaration of incompatibility. If we had such a declaration, it would not change primary legislation, nor would it create an imperative for changing primary legislation. The law is provided for in Section 4 of the Human Rights Act, which says: “A declaration … does not affect the validity, continuing operation or enforcement of”, any provision, and, “is not binding on the parties”, to the action. The effect of a declaration of incompatibility, which we do not have, would be not to change the law, but to ask the Northern Ireland Assembly to think about changing the law. Having considered a declaration of incompatibility, were one to exist, the Government would have the option to do nothing. The noble and learned Baroness, Lady Hale, in her Supreme Court judgment, said that Strasbourg would have regarded doing nothing, “as within the UK’s margin of appreciation. It is at this point that the democratic will, as expressed through the elected representatives of the people, rules the day” The Secretary of State is the representative of the UK Executive. She is not the Northern Ireland legislature for any purpose of considering a change in the law. It is not for the Secretary of State to assume the role of the Northern Ireland Assembly to change primary legislation—nor has she indicated any wish to do so—or to issue new guidance pursuant to primary legislation Since health and justice are devolved matters, since this Bill does not change the law on abortion in Northern Ireland, and since the courts have no power to change the law in this respect in Northern Ireland and have not done so, the law stands. Since the matters referred to in Clause 4 and Amendments 10 and 11 are matters of law in Northern Ireland, and since only the legislature in Northern Ireland may make law in respect of those matters, it must surely be illogical to ask the Secretary of State to issue guidance, which would be incompatible with that law I have nothing more to say on the matter, other than that we need to think very carefully, and that Amendments 10 and 11, as the noble and learned Lord, Lord Mackay, says, direct the Secretary of State to do something that would be unlawful.
ParlaMint-GB_2018-10-30-lords.u197	My Lords, it may have come to your Lordships’ attention that anybody from this side of the water telling Northern Ireland politicians what to do is likely to bring about exactly the opposite result to the one they want. What is much more likely to affect Northern Ireland politicians is when their own people start to say things to them. On issues such as abortion and divorce, it is very clear that on the island of Ireland the views of the population have changed quite dramatically in a relatively short period. That is why I do not depend on opinion polls, which are notoriously unreliable in all sorts of ways, as has already been pointed out, depending on what questions you ask, in what kind of way, of what group of people at what particular stage. That is why at Second Reading I asked the Minister whether he might give consideration, at an appropriate time, to whether it would be in order under the terms of the Bill, as it has come to us from the other place, for the Secretary of State to consider recommending referendums on these two issues to be carried out with the people of Northern Ireland If the people of Northern Ireland said to their elected representatives, “Actually, we have a different view from the one you think we have and things have changed a lot for us in the last little while”, that would be a much more appropriate and effective way of making change, although if the people of Northern Ireland take a different view from that which might be expected, that is an important issue that must also be respected. It is not reasonable or acceptable to say that something is a devolved matter but if you do not make the decision that the people in London like we will stop it being a devolved matter. That is not a very human rights-based approach to things. But I believe that dramatic changes are taking place in the views of the people of Northern Ireland on many issues and the only way for us to become clear about that is to put it to the people in a clear fashion. I wonder whether the Minister might be able to help us on this, either tonight or in the relatively near future.
ParlaMint-GB_2018-10-30-lords.u198	My Lords, my noble friend Lord Alderdice has made a fairly constructive suggestion, which has already been replicated in the Republic, with quite dramatic results. But my question relates to the amendment in the name of the noble and learned Lord, Lord Mackay. I accept that the law is where it is and that if it is devolved, it is for the Northern Ireland Assembly, which does not exist, to change the law. However, the Supreme Court has already indicated that it questions whether or not the law in Northern Ireland is compatible with the European Convention on Human Rights, and has indicated that if an individual case was brought, it is likely to rule that it is not. In those circumstances, if a ruling was made that said that the law in Northern Ireland is not consistent with the convention, but there is no Assembly and no devolution, what is the mechanism by which the law can be changed to bring it into line with the European convention The issue on gay marriage could also move in that direction. It has not yet but given the acceptance of gay marriage more and more widely across the world, it may well become an issue where human rights law says that the right to gay marriage is a human right. If that became the case, somebody would need to change the law to bring it into line with the convention. In the absence of an Assembly—which would have to do it, whether it liked it or not, but is incapacitated because it does not exist—who would do it?
ParlaMint-GB_2018-10-30-lords.u199	My Lords, the answer is that the Human Rights Act makes it absolutely plain that the declaration of incompatibility does not of itself change the law. If the law is to be changed, that has to be done by the appropriate legislature. In this case, because of the devolution, that would be the Assembly in Northern Ireland if it was functioning. Because of the devolution, that is the way it is: it is the Legislative Assembly that has the power to do this. There is no question of the Secretary of State being able to do it by guidance. That is out of the question. The Human Rights Act made that very plain There was quite an important discussion on this during the passage of the Human Rights Bill. Some people thought that the courts should be able to overrule existing statutes that were contrary to the human rights convention. But the politicians of that day, including Jack Straw, were very keen on the view that in our constitution Parliament should be supreme and the courts should not be able to overturn Acts of Parliament. That is a matter for Parliament itself. Of course, as I said at Second Reading, the great example of that in our arrangements recently has been the issue of prisoners’ voting rights because it was declared incompatible and yet Parliament decided not to change the law for some considerable number of years.
ParlaMint-GB_2018-10-30-lords.u200	My Lords, I shall speak to Amendment 16, in the names of my noble friend Lord Mackay and the noble Baroness, Lady O’Loan. I thank them for tabling the amendment because I have a direct personal interest in it, having been born with a severe disability. My objection to the current Clause 4, which I appreciate was not part of the original Bill, is twofold First, I object on the grounds of inequality. As noble Lords will know, I do not take a position on abortion itself, but I most definitely do take a position on disability equality. Though supposedly about advancing human rights, Clause 4 is actually about a hierarchy of human rights. It is, in effect, about denying the right to exist of, and the equality of, human beings diagnosed with a disability before birth, and ensuring that the power—dressed up as rights—of stronger human beings reigns supreme A world in which one group’s equality is more important than another’s is not equality; it is inequality. Clause 4, perversely, would achieve the opposite of its presumed purpose: it would entrench inequality. The argument which was advanced forcefully in the other place—that this is somehow about equality—is therefore bogus. The fact is that if Clause 4 becomes law, more human beings with my condition and other disabilities will be aborted. As it stands tonight, Northern Ireland is the safest place in our United Kingdom to be diagnosed with a disability before birth. That will change if Clause 4 is allowed to stand part of the Bill, because the presumed protection against the most lethal form of disability discrimination—death for disability—will be gone, in time A quick glance at the Department of Health’s own statistics tells us everything we need to know about what would happen. I wonder, would any noble Lord care to hazard a guess at the trends in disability-related terminations? Only last week noble Lords may have read about the amazing breakthrough in intra-uterine surgery on human beings diagnosed with spina bifida before birth. Indeed, human beings diagnosed with my condition—brittle bones, which put me in hospital for most of my childhood—can now be treated from the moment of birth with medicines such as bisphosphonates, to ameliorate even some of the most severe forms of the condition. Some people with my condition lead perfectly normal lives, to the extent that they can play sport.
ParlaMint-GB_2018-10-30-lords.u201	My Lords, I congratulate the noble Lord, Lord Shinkwin, on his excellent speech. I think he has captured it all here this evening, and I put on the record my appreciation of what he said I shall speak to Amendments 16, 10 and 11. I begin by responding to the amendments tabled by the noble Lord, Lord Adonis. I shall first touch briefly on the effect of each before reflecting on their immediate implication and then on their broader constitutional consequence. If the departments were advised not to enforce Sections 58 and 59 of the Offences Against the Person Act, it would allow abortion for absolutely any reason up until 28 weeks’ gestation. It would propel Northern Ireland from a place where it has the highest abortion legislation in the British Isles to having the loosest. In supporting this measure, parliamentarians from England, Scotland and Wales would be thrusting on Northern Ireland a far more liberal abortion law than they think appropriate for themselves. There is simply no justification whatever for this approach Setting aside the fact that no declaration of incompatibility was made by the Supreme Court in June—and that even if it had been, it would not have changed the law—the only criticism in the obiter comments was in relation to abortion in two very narrow contexts: first, when a baby is so severely disabled that there is a likelihood that it will die in the womb, will not survive birth or will die soon after; and, secondly, when a baby has the misfortune that the father was a rapist. This would not justify anything remotely resembling not enforcing Sections 58 and 59. Indeed, adopting such a course would be diametrically opposed to the statement by the court that Northern Ireland’s abortion law—Sections 58 and 59—is human rights compliant in prohibiting abortion on the basis of severe malformation. The amendment is also deeply problematic because of the way in which it would expose people to the risk of prosecution. In the first instance, where these amendments would direct departments not to enforce the law, the law would remain in place. The Secretary of State would effectively be directing departments to make people aware that the law would not be enforced by them—which is likely to result in some people feeling more at liberty to break the law. This, however, would not stop private prosecutions. It is not right that we ask the Secretary of State to put officials in a position where they send out messages that are likely to result in some people breaking the law, thinking they will not end up in court when they will. This would be monstrous Amendment 11 is also deeply problematic. If the hope is that officials enforce Article 15 of the Matrimonial Causes (Northern Ireland) Order 1978, the amendment is misconceived. That piece of legislation relates to the conduct of judges, not departmental officials. If the hope is that officials will enforce Article 15 of the order by directing judges, that also will not work because it would contradict the principle that the judiciary is independent and not instructed by the Executive There is an even more profound difficulty with both amendments and their attempt to encourage the Executive to dispense with enforcement of the law. In examining them both, one cannot help but think of that very formative period in our history that, arguably, has done more than anything else to give us the constitutional system of government that we enjoy today. The Glorious Revolution was, in part, a response to the tendency of James II to dispense with the enforcement of laws—laws that remain on the statute book. His actions created a constitutional crisis that provoked the Glorious Revolution I know that the parallels are not exact. The noble Lord, Lord Adonis, is not a king: nor does he claim to be. He is raising this as a parliamentarian and suggesting that Parliament takes this step. However, I feel deeply uncomfortable about the idea of Parliament sanctioning one law to undermine another one that remains on the statute book. There is a real sense in which effectively he is asking Parliament for permission to overthrow the sovereignty of Parliament. This request is wrong-headed, and acceding to it would be destructive of our laws I support Amendment 16, in the name of the noble and learned Lord, Lord Mackay, and the noble Baroness, Lady O’Loan. It seems to me that Clause 4 is one of the most problematic provisions in the Bill. Although those who secured the inclusion of Clause 4 believe that Northern Ireland’s abortion law has been declared incompatible with human rights, no such declaration has been made. Even if a declaration of incompatibility had been made, it seems that the champions of Clause 4 have completely misunderstood what it means. When a declaration of incompatibility is made, the law is not changed and does not have to change. This point is made absolutely clear by Section 4(6) of the Human Rights Act 1998. The fact that, constitutionally, a declaration of incompatibility brings with it no imperative for legal change is set out very clearly by the noble and learned Baroness, Lady Hale, in paragraph 39 of her judgment in the recent Northern Ireland Supreme Court case back in June I now turn to examine some of the specific problems with the understanding of how the declaration of incompatibility applies in the context cited by Clause 4. The first specific example of incompatibility is set out in paragraph (a). This statement is problematic for two reasons. First, as I have already noted, no declaration of incompatibility was made; and secondly, again as already noted, the majority of the noble and learned Baroness’s commentary in the Supreme Court judgment also questioned the balance struck by the law in Northern Ireland in two very narrow contexts—foetal abnormality and rape. The commentary did not provide any justification for suggesting a general problem with Sections 58 and 59 of the Offences against the Person Act. Repealing Sections 58 and 59 would result not simply in adjusting the balance of rights in relation to those two specific contexts, but instead would permit abortion on demand for any reason up to 28 weeks’ gestation. The idea that the majority of her commentary suggests a problem with Sections 58 and 59 of the Offences against the Person Act per se is extraordinary. Subsection (1)(b) is equally confusing It is plain wrong to suggest that the Supreme Court has identified any human rights problem with Article 6(6)(e) of the Marriage (Northern Ireland) Order 2003. There is a challenge to that provision before the Northern Ireland Court of Appeal, the case having already been rejected by the High Court. To date, however, the definition of marriage has not been considered by the Supreme Court Having considered the immediate problems with both provisions, I now turn to the wider constitutional point. It cannot be right to require the Secretary of State to produce guidance for officials that has the potential to critique or undermine existing legislation. The only guidance that it would be proper for the Secretary of State to provide, mindful of Section 4(6) and Section 6 of the Human Rights Act, is guidance that upholds current primary legislation unless and until it changes. For the Secretary of State to do anything else would undermine the rule of law Mindful of this I have asked the Minister for an assurance that any guidance issued under Clause 4 will make plain, first, that even binding declarations of incompatibility do not have the effect of changing the law or of creating a legal imperative requiring the law to be changed in line with Section 4(6) of the Human Rights Act; and secondly, that no convention right can negate contrary to domestic legislative obligations in line with Section 6 of the Human Rights Act. Unless and until such a time as the law is changed, any guidance provided by the Secretary of State must require officials to uphold that law as it stands.
ParlaMint-GB_2018-10-30-lords.u202	My Lords, I speak in favour of the principles outlined by my noble friend Lord Adonis in Amendments 10 and 11, and against Amendment 16. I will be very brief indeed. Basically I am speaking in defence of Clause 4 because I believe that I have listened to a misrepresentation of that clause. For me it is as simple as this: the women of Northern Ireland and the lesbian, gay and bisexual people of Northern Ireland should be afforded exactly the same rights and opportunities as other citizens across the rest of the United Kingdom, and no one should face discrimination based on where they were born or where they now live. For those reasons, I support my noble friend’s amendments, but particularly Clause 4 as it stands.
ParlaMint-GB_2018-10-30-lords.u203	My Lords, I have listened very carefully to the wise words spoken by the noble and learned Lord, Lord Mackay, so I very much welcome Amendment 16. I want to say a few words about Clause 4. The architects of Clause 4 in the other place were very clever, and I pay tribute to their ingenuity. The word “functions” is dropped into Clause 4 in an attempt to make it fit, but it is no more than a fig leaf. Clause 4 is not about functions; it is about policy. This is not the appropriate legislative vehicle for this clause, touching as it does on sensitive issues that are highly controversial, particularly in Northern Ireland Regardless of our views on abortion and marriage—and there is a divergence of views right across this House—we can surely agree that they are issues deserving of proper attention and debate. A clause of this kind in a Bill of this kind does not provide that opportunity. What we have here, I rather suspect, is an attempt to change the law through guidance. It cannot work—any change would require legislation—but it is seeking to influence key devolved policy matters that should be decided by a Northern Ireland Executive and Assembly. It is proper for those matters to be dealt with by the devolved institutions. Northern Ireland is the most recent part of the UK to vote on abortion law. In 2016 a clear majority of Assembly Members voted to retain the current law. We should be very wary of undermining devolution, or being seen to undermine it. There is a risk that this clause creates a dangerous precedent for interference that could have wider consequences for our constitutional arrangements. Clause 4 is inappropriate, poorly drafted and should have no place in this Bill.
ParlaMint-GB_2018-10-30-lords.u204	The noble Baroness, Lady O’Loan, and the noble Lord, Lord Alton, have repeatedly said that there is no right to abortion, but your Lordships will know that time and again international courts and the UN have agreed that access to abortion is a right under Article 8. There are many rights that are not set out specifically in the convention, but the right to privacy and the right to family life are inextricably linked to control over one’s body and reproductive rights Therefore, I ask your Lordships to vote against the amendment of the noble and learned Lord, Lord Mackay, if it is put a vote, which I hope it is not. It inserts a reference to Section 6 of the Human Rights Act, and that is designed to constrain what the Secretary of State for Northern Ireland could include in guidance. That would be most likely used to declare that the current criminalisation of women who end their own pregnancies in Northern Ireland is acceptable under human rights law, because it is as a result of one or more of the provisions of primary legislation and the authority could not have acted differently. Specifically mentioning Section 6 of the Human Rights Act could require that guidance be issued that knowingly contravenes Article 8 of the European Convention on Human Rights—the right to privacy and family life. There have been many mentions of the court case in June, and we know that there will be a case before the Supreme Court later this year. It is important, therefore, that the guidance issued in Northern Ireland is sufficiently up to date to ensure that the men and women of Northern Ireland do not lose the access to human rights that the rest of us have This is a wrecking amendment, it would overturn the decision made by a majority in another place, and I hope therefore that all noble Lords will resist the amendment of the noble and learned Lord this evening.
ParlaMint-GB_2018-10-30-lords.u205	My Lords, I had not expected to be on so soon. Many of us in the Labour Party have some form on debating Clause 4. I am nothing if not consistent: I want to keep Clause 4. It is worth reminding ourselves what Clause 4, which was voted into the Bill by a cross-party majority of almost 100 in the House of Commons, says. It came on the back of a decision by the Supreme Court in June that Northern Ireland abortion law was “untenable and intrinsically disproportionate” in relation to rape and incest, which are criminal matters, and fatal foetal abnormality. The House of Commons looked at this issue within the confines and context of the Bill and also at gay marriage, which is possible in the rest of the UK as a result of a law passed in your Lordships’ House Noble Lords have rightly said that Clause 4 does not change the law but states that, in the absence of a Northern Ireland Executive to scrutinise the impact of laws on abortion and same-sex marriage in Northern Ireland and, specifically, their incompatibility with the UK’s human rights obligations, the Secretary of State for Northern Ireland is required to provide clear guidance to Northern Ireland civil servants on the operation of these laws, and to update the House each quarter on how she plans to address the laws’ impact on the UK’s human rights obligations. This is exactly what has been agreed by the House of Commons by a large majority I understand why the noble and learned Lord, Lord Mackay, and the noble Baroness, Lady O’Loan, have brought forward this amendment. It recognises that the existing law may contravene the European Convention on Human Rights but then says that the Secretary of State can do nothing about it. That does not seem to be a position which your Lordships’ House would want to be in. Like my noble friend Lord Cashman, I understand the sentiments and principles behind the amendment in the name of my noble friend Lord Adonis. We think alike on these issues. I struggle with the concept of issuing guidance to civil servants not to enforce legislation. Guidance is not the way to do it, and that is why the House of Common has taken the approach that it has All noble Lords understand that these issues evoke emotional responses. They are difficult, personal issues, which is why this is a matter of conscience and there is a free vote in both Houses of Parliament. The House of Commons sought a way forward which is both proportionate and within the terms of this legislation. As I said once before within my own party: I urge your Lordships’ House to protect Clause 4.
ParlaMint-GB_2018-10-30-lords.u206	My Lords, this has been a thought-provoking, considered contribution to the debate this evening. At the outset, I draw the attention of the Committee back to the functioning and purpose of the Bill itself. The Bill is designed to ensure an opportunity to re-establish a functioning Executive. That is the ambition behind the Bill and its subsequent elements. A functioning Executive would go a long way to addressing the issues which have been raised this evening. We can be fairly clear that this matter most correctly rests with an Assembly in Northern Ireland The noble and learned Lord, Lord Mackay, has put forward an amendment and has graciously said that he will not put it to a vote. However, his contribution has allowed an open opportunity to explore each of the elements within the wider debate. The noble and learned Lord has been clear about the constitutionality of the amendments in the name of the noble Lord, Lord Adonis. However, the purpose behind them is understood. He too was seeking to send a message with his amendments this evening. He has done that; we have heard the message I also listened very carefully to the impassioned remarks of the noble Lord, Lord Shinkwin; everyone here will have been moved by them and recognised the passion with which they were given. The Government have no intention of undermining or diminishing the position of persons with disabilities. That was never an attempt or an endeavour. This Bill and any guidance it puts forward would not influence Northern Ireland departments to act in any way which is not compliant with Section 75 of the Northern Ireland Act 1998, which includes provisions to ensure equality between people with disabilities and people without disabilities. I recognise, however, exactly the points the noble Lord made, and they are perhaps for us all to reflect upon this evening. This is, as a number of noble Lords have made plain, a matter of conscience, and I have no doubt that many this evening will be considering these elements as they listen to the ongoing remarks I am also taken by the ideas put forth by the noble Lord, Lord Alderdice. Two things become clear to me. Public opinion is a curious thing. Sometimes we think that we know what it is, and sometimes we are wrong, but I think he is absolutely correct that there has been an evolution in public opinion within Northern Ireland. Exactly what it is and how it can be determined can be captured in snapshots of opinion polls, which are like the blink of an eye. Sometimes they change, and it is very hard to pin them down. I cannot make any commitment regarding his novel idea of referendums, but I would like to discuss that further. If he is amenable, I would like to sit down in the future to explore that very thing. However, it is of course not for this particular Bill to move that matter forward.
ParlaMint-GB_2018-10-30-lords.u207	The noble Lord, Lord O’Shaughnessy, told me that the Government’s position was that there would be no move on abortion by this Parliament as long as the Northern Ireland Assembly was in devolution mode. I do not think it is helpful for the noble Lord to suggest that there be a referendum on abortion in Northern Ireland at this time of night, in this Bill. Even to discuss it, I think, is most unhelpful.
ParlaMint-GB_2018-10-30-lords.u208	I hope the noble Baroness will forgive me, but I disagree with her on this. I do not think that, in opening up a discussion with the noble Lord, Lord Alderdice, we are doing anything other than recognising that there are challenges ahead, in respect of which this is but one opportunity to progress. It is not my intention that we will do any more than discuss this; indeed, it is far too great a discussion to have. Equally, this is perhaps not the correct Bill through which to do it, and this is not the right time of day to have such a detailed discussion I recognise a number of the points which were made by the noble Lords this evening. I am guided, in truth, by one simple fact. Clause 4 as drafted does not in any way instruct the Secretary of State to issue guidance to civil servants in Northern Ireland to disobey the law. It cannot do that in any way whatever. Given our earlier discussions about the challenges facing the civil service in Northern Ireland, perhaps this would be one burden too far, to try to encourage movement in that direction. Our purpose here is to ensure that, in recognising that Clause 4 came to us with overwhelming cross-party support from the other place, we acknowledge that that came from a democratic House. We must recognise what it represents and understand how best to take it forward. That is exactly what we will do, and we will do so carefully and in a very transparent manner. That is what is required from this particular clause. We will not be issuing guidance that seeks to undermine the letter of the law, in effect usurps it or changes it in any fashion whatever. We cannot and should not do that. I stress again that this is a matter correctly to be taken forward by the democratic Assembly of Northern Ireland On those points, my Lords, I hope that you will find it acceptable not to move your amendments to a vote.
ParlaMint-GB_2018-10-30-lords.u209	My Lords, I assure the noble Lord, Lord Morrow, that I have no intention of becoming King James III, and can I assure the noble and learned Lord, Lord Mackay, that I am only too well aware of the defective drafting of Amendments 10 and 11. It was no part of my purpose to abrogate the proper operation of the law. I was simply advised by the Clerks that, because of the limits of the current Bill, it was not possible to have a straightforward proposal in it to legalise abortion and equal marriage, so in order to enable a debate to take place, the amendments were moved in the form that they were. However, I recognise that the noble and learned Lord does not intend to press his amendment, and nor do I intend to press mine. As the Minister rightly said, I was simply seeking to set down a marker for what the Northern Ireland Assembly will need to deliberate on—assuming there is an Assembly. I need to say in conclusion that if there is not a Northern Ireland Assembly within a reasonable period of time, I do not see how this Parliament can abrogate its responsibility for maintaining fundamental human rights in Northern Ireland.
ParlaMint-GB_2018-10-30-lords.u210	My Lords, I welcome the opportunity to stand after sitting for so long. Amendment 13B, in my name, is grouped with two amendments in the name of the noble Lord, Lord Adonis, but I see no overlap between the two. The noble Lord’s amendments relate to the early stages of the process, when the Secretary of State has to formulate and issue guidance, whereas I look beyond that to what the operation might be From the point when the Assembly collapsed, I turned my mind to ways in which we might get it going again or find some way of substituting, or other ways of carrying out what Northern Ireland needs. I still feel that the suggestion of the Welsh model was quite good, but it became clear that it was far too much for the Northern Ireland Office to digest and that my rather ambitious proposals would not get anywhere. I have therefore gone to the other extreme and drafted something as short and simple as can be, but which would give the opportunity for a significant step forward The amendment takes off from the provisions in the Bill whereby senior officials in the Northern Ireland Administration can exercise, if they think it is in the public interest, the powers that they have under the legislation, which goes right back to the 1920 Act. I took that and added to it a proposal that the Secretary of State may, where she or he is satisfied that it is in the public interest, summon the Northern Ireland Assembly to debate the issues that they have in mind. This is entirely discretionary on the part of the Secretary of State. It does not compel her to take any particular action but gives her the opportunity to bring the Northern Ireland Assembly together to discuss how the powers referred to in this legislation are carried out. That would be beneficial to the Northern Ireland Office and to the Government. They would then have the opportunity to discuss what they are doing, or to see other people discussing what they are doing at some length and, I hope, with some degree of careful examination of the matter. This would improve the quality of what has been done and, as I say, would give the opportunity to move in that way. I will not go into this in detail, but a serious debate by the elected representatives is bound to add something to the quality of the Administration and is worth having There is also a political aspect to this, because if we had this implemented—again, it is entirely at the discretion of the Secretary of State; I am not saying that she must do this, and it could be that it is not operated—by bringing the Northern Ireland Assembly together, we would be taking a concrete step towards it coming back as it should. It adds something to the discussions that the Government may be having in trying to persuade the parties to sort out their differences and then return to the Administration. By having it in operation, even if only for a few hours on particular issues, we would make it clear that it is possible that the Assembly can work again, and will work again. Having got that initial first step, it will be easier, I hope, to take other steps beyond that This is a very modest amendment and I shall not press it to a vote. It is purely discretionary; nobody is obliged to do anything with regard to it. I shall not spin out the discussion any further. I think the best thing I can do for the House tonight is to sit down and let things take their course. I beg to move.
ParlaMint-GB_2018-10-30-lords.u211	My Lords, there is one reason why I would support the amendment that the noble Lord, Lord Trimble, has put forward: from the beginning, the element of the Northern Ireland institutions that worked rather well was the Assembly itself. When it came to the Executive functioning, that was much more contentious and difficult, but the Assembly functioned rather well. The idea of finding ways in which the Assembly could start to meet again, to debate issues of some substance that would increase, to some extent, the accountability of the Government side—be it civil servants or others—is a good one. To simply bring the Assembly back together for one occasion to debate a contentious issue would potentially be damaging because the old splits would re-emerge. To come together on a number of occasions to debate issues that are not necessarily of high contention but are nevertheless important seems to me a good idea. Whether one follows the very specific proposal in this amendment, or some of the other ideas that the creative mind of the noble Lord, Lord Trimble, has produced over the last little while, the principle is important and merits exploration by the Government. To that extent, I support the amendment.
ParlaMint-GB_2018-10-30-lords.u212	My Lords, I have Amendments 14 and 15 in this group. I think the noble Lord, Lord Trimble, undersold his own amendment. It seems to me that he was raising a very important principle: it should be possible for the Assembly to meet in the absence of an Executive. As somebody who looks at this from outside, it has always seemed strange to me that, because of the architecture of the Good Friday agreement, the Assembly cannot meet if it has not sustained an Executive. I do not know whether the noble Lord can tell me if it legally cannot meet. It certainly has not met in the absence of the Executive. It seems, in terms of seeking to engage the elected representatives of Northern Ireland, and encouraging them to create a context in which an Executive can be formed, what the noble Lord has proposed is extremely constructive. The Minister will be able to tell us whether legally it is possible to proceed in the way the noble Lord, Lord Trimble, has proposed. My amendments facilitate a meeting of the Assembly for the specific purpose of discussing Brexit, given that that is one of—not the only, but one of—the most important decisions that will be taken affecting Northern Ireland over the next six months. It seems highly detrimental to the people of Northern Ireland that their voice is not being taken account of in any formal way, apart from the impact that they are able to have through their elected representatives in the House of Commons. If it were possible to bring the Assembly together for the purpose of discussing Brexit in the absence of Ministers, I cannot see any good reason why that should not happen I understand the point that the noble Lord, Lord Alderdice, has made, which is that summoning the Assembly purely for the purpose of discussing one issue—a contentious issue—may not be the best way of proceeding. Enabling the Assembly to meet to discuss a wider range of issues and issues of immediate local concern, including many that were raised at Second Reading, such as infrastructure, public services and so on in Northern Ireland, could help to inform the decisions that officials take. That would seem to be an eminently sensible way forward, and it appears to be what the noble Lord, Lord Trimble, has in mind. However, if it were legally possible for the Assembly to meet in the absence of Ministers, I would have thought that that would be an excellent way of proceeding, and my amendments would simply include Brexit among the issues that should be discussed by any such meetings of the Assembly.
