ParlaMint-GB_2018-05-01-commons.u1	1. What steps he is taking to ensure that markets work in the interests of consumers.
ParlaMint-GB_2018-05-01-commons.u103	The Government have moved swiftly to support businesses, establishing the Carillion taskforce to ensure the co-ordination of support for firms affected by Carillion’s insolvency. This has included extra support from the banks of nearly £1 billion; British Business Bank supports to the tune of £100 million; and works with Her Majesty’s Revenue and Customs to ensure firms have advice and guidance through the business payment support service.
ParlaMint-GB_2018-05-01-commons.u104	Since my last question about Carillion, 239 jobs have now been lost in Wolverhampton, which is a huge loss to our city. The Express & Star, a local newspaper in Wolverhampton, has said that hundreds of suppliers and subcontractors will be left unpaid, which means more job losses. How does the Department plan to provide support for those businesses and their workers?
ParlaMint-GB_2018-05-01-commons.u105	The Government recognise that there will be an impact on the supply chain and on lots of small businesses that supplied Carillion. That is why we acted quickly to ensure that the banks were aware of those situations and the pressures that would be put on those businesses, to make sure the support was in place, with access to loans and finance, to ensure that we limit the impact as much as is possible. The hon. Lady will know that, so far, 11,450 jobs have been protected in the Carillion network, and we are doing more to ensure that we protect the rest.
ParlaMint-GB_2018-05-01-commons.u106	The Minister will be aware that Carillion regularly contravened the prompt payment code without actually acting illegally. Is it not time to examine the possibility of giving the code a statutory basis, so that in future cases there could be prosecutions?
ParlaMint-GB_2018-05-01-commons.u107	The hon. Gentleman makes a very valid point. We want the prompt payment code to be fit for purpose and for it to do what it says on the tin. That is why I am in discussions on the prompt payment code and why the Chancellor said in the spring statement that we would consult on late payments. He wanted to end the scourge of late payments, because this is so important for small businesses up and down the country.
ParlaMint-GB_2018-05-01-commons.u108	15. What recent assessment he has made of the potential merits of statutory regulation of the district heating sector.
ParlaMint-GB_2018-05-01-commons.u109	A formal assessment has not yet been made, but the hon. Gentleman and I have exchanged correspondence on this important issue. It is vital that we create a market framework that works to deliver the benefits of energy cost reduction and carbon reduction from these networks but that protects consumers. I know he has a passionate interest in this, given the eight networks already operating in his constituency.
ParlaMint-GB_2018-05-01-commons.u110	Not a month goes by in which I do not receive scores of emails from desperate constituents who are paying over the odds and are ill served by district heating networks. They are not getting a fair deal and cannot afford to wait for the Competition and Markets Authority’s partial market study to report. For their sake, I urge the Minister to give serious consideration to introducing statutory regulation now. Will she meet me to discuss the issue?
ParlaMint-GB_2018-05-01-commons.u111	I am always happy to meet the hon. Gentleman, as he knows. It is interesting, because on average consumers are paying less and have the same level of satisfaction as they have with other heating options. Well designed and well regulated frameworks can really deliver a benefit for consumers, which is why we are investing more than £300 million, but the hon. Gentleman and I should get together to discuss his constituents’ particular concerns.
ParlaMint-GB_2018-05-01-commons.u112	rose—
ParlaMint-GB_2018-05-01-commons.u113	Forgive me, but I want to get to other colleagues’ questions as well, so if it is a short sentence, I will take it, but if it is not, I will not. No? All right.
ParlaMint-GB_2018-05-01-commons.u114	Will the Minister tell us why it has taken so long to disburse some of the £320 million fund for district heating schemes? So many local authorities and other bodies want to apply for funding, but the Government are being slow in disbursing the money.
ParlaMint-GB_2018-05-01-commons.u115	I am not sure I agree with that, partly because we have to get this right and make sure that there is a competitive market and that consumers do not feel that these things are being imposed on them. We should celebrate the fact that we have £300 million to take these pilots forward. Pilot projects are under way in Manchester, Sheffield and Barking, and I look forward to funding many more.
ParlaMint-GB_2018-05-01-commons.u116	16. What steps he is taking to encourage the growth of employee-owned companies.
ParlaMint-GB_2018-05-01-commons.u117	I should declare that I worked for the John Lewis Partnership for three years, from 1979 to 1982, and was therefore a beneficial owner of part of the company. That is not the only model to encourage employees, of course; share ownership is developing more widely as part of generally non-employee-owned companies. I look forward to the private sector making the business case for this model through the Employee Ownership Association, which is the representative body for employee-owned businesses.
ParlaMint-GB_2018-05-01-commons.u118	Does the Minister agree that, taken as a sector, the UK’s 300 employee-owned businesses have higher than average productivity? Will he follow the example of the Scottish and Welsh Governments and more actively promote the sector, particularly to small and medium-sized businesses that are looking for a succession plan?
ParlaMint-GB_2018-05-01-commons.u119	That is very interesting. I will look with care at what is happening in Scotland and Wales. We are generally in favour of employee-owned companies and companies with employees who have a share in them.
ParlaMint-GB_2018-05-01-commons.u120	18. What steps he is taking to support the retail sector.
ParlaMint-GB_2018-05-01-commons.u121	The retail sector is a vital part of the UK economy and we want it to thrive. In March, as part of our industrial strategy, I created the Retail Sector Council. Through that group, Government and industry will work together to contribute to the sector’s future direction, to boost its productivity and economic health.
ParlaMint-GB_2018-05-01-commons.u122	The retail sector is hugely important to my constituency, from the Metrocentre through to the small fruit and veg shops on the high street. Given that the retail sector is the UK’s largest industry, will the Minister explain the rationale behind the Government’s decision to do so little for the sector in the industrial strategy?
