ParlaMint-GB_2018-12-17-commons.u1	1. What recent estimate his Department has made of the number of children in the care system.
ParlaMint-GB_2018-12-17-commons.u529	I wonder whether I could press the Minister on the robustness of age verification, which is of interest to the wider debate. It seems that certain types of checks, such as those that run off a credit card, are extremely robust, but younger people do not have access to credit cards, so that becomes more difficult, although we can layer up different types of information to give a best guess. Of the long list of checks that she has mentioned, which is favourable in terms of robustness and quality?
ParlaMint-GB_2018-12-17-commons.u530	Age-verification providers will have to demonstrate that they have a foolproof system of identifying whether somebody is aged 18 or over. The sort of effective control mechanisms they are considering are credit cards, passports and driving licences—items that a lot of 18-year-olds will have at least one of. My hon. Friend rightly points out that a great deal of work is going on to improve age-verification systems. That is precisely because the sorts of items I have mentioned are, in general, only held by people who are aged 18 or over—with the exception of driving licences, which can be obtained at the age of 17 For those reasons, it is much more difficult to ascertain how we can require age verification in other areas. For example, in the Data Protection Bill, we set the qualifying age at which someone can consent to a contract with a social media platform as 13, but it is very difficult for someone to prove that they are 13, because those items are normally held by people aged 18 or over.
ParlaMint-GB_2018-12-17-commons.u531	Should I be concerned by reports that a company called AgeID, which operates the ID verification system for Pornhub and YouPorn, is considering the idea of “porn passes”, which could be bought from a newsagent and would allow people to access porn online anonymously, so that they do not have the embarrassment of their credit cards being recorded against such a site?
ParlaMint-GB_2018-12-17-commons.u532	The Minister is being very generous in taking a great many interventions, and I appreciate that she is giving thorough answers to the questions she is being asked, but we only have 58 minutes left, and many Members want to take part in the debate. She might want to bear that in mind.
ParlaMint-GB_2018-12-17-commons.u533	Thank you for your guidance, Madam Deputy Speaker, which I will take on board, but I will just deal with the point raised by my hon. Friend. The measures that will be acceptable to the BBFC will be of greater rigour than the examples he gave. I hope that I will be able to satisfy his concerns, but I may write to him, rather than dwell at length on the important issue he raises I now turn to the guidance on ancillary service providers. Paragraph 3 of section 3 provides a non-exhaustive list of classes of providers that the age-verification regulator may consider as within scope. However, to ensure that this policy remains flexible for the benefit of future developments, it is necessary that this is a non-exhaustive list. Where new classes of ancillary services appear in the future, the BBFC’s guidance explains the process by which these services will be informed The guidance includes additional material, as this is a new policy and the regulator considered that it was important for its stakeholders that the guidance set out the wider context in which the age-verification regulator will carry out regulation. This includes valuable guidance on matters such as the BBFC’s approach, powers and material on data protection We are aware of the Secondary Legislation Scrutiny Committee’s special interest report. The Committee raised similar concerns to the JCSI—for example, on the content threshold—and the responses to the SLSC’s concerns on these points are the same as the responses we have given to the JCSI reports. However, the SLSC also suggested that the House may want to ask what action the Government will take to tackle pornographic material available on a non-commercial basis. We have already debated these issues during my remarks I appreciate that pornography is of course made available by means not covered by the regulations. We have already covered those issues, but they were also the subject of extensive discussion during the passage of the Digital Economy Bill. In particular, concern has been expressed about social media platforms. As I have said in response to hon. Members’ interventions, we expect those platforms to enforce their own terms and conditions and to protect children from harmful content. Indeed, the Government have been clear that online platforms must do more to protect users from such harmful content.
ParlaMint-GB_2018-12-17-commons.u534	How do the Government intend to ensure that these regulations can keep up with technological advancements and developments within these markets so that the legislation and regulations this place passes are not obsolete by the time they come into force?
ParlaMint-GB_2018-12-17-commons.u535	My hon. Friend raises a very important point. The principal way in which we are future-proofing these regulations is by making the specificities that the BBFC operates by and the guidance sufficiently flexible and not too prescriptive. As technology advances, it will be able to adapt such regulations and guidance without the need for this House continually to bring in further legislation Before I conclude, I would add in response to my hon. Friend that, as I have said, this is not a silver bullet and it is only one of the measures we are taking. We are working on the online harms Bill to tackle issues and concerns in the area of the provision of pornography that are not captured by these regulations. I trust that my hon. Friend is reassured As I have said, I recognise that the age-verification regulations are not a panacea, but I am proud that we are leading the way internationally in the action we are taking to give far more protection to children and young people than is currently available.
ParlaMint-GB_2018-12-17-commons.u536	Order. Before I call the Opposition spokesman, let me say it will be obvious that many people wish to speak. This debate runs until 8.36 pm and I see people with large wads of notes. It might be helpful for colleagues to know now that they should edit down their notes to some three or four minutes.
ParlaMint-GB_2018-12-17-commons.u537	On a point of order, Madam Deputy Speaker. You can see by the number of people who want to speak and the amount of notes we have that this is something we are really keen for the Government to get right. May I therefore ask whether there is any opportunity to extend the debate, at least towards its allocated time?
ParlaMint-GB_2018-12-17-commons.u538	That is a perfectly reasonable point of order, but not now. There was a point when Mr Speaker asked whether the House agreed to take the three matters we are discussing this evening together or separately. At that point, anyone could have objected and each would have been taken separately; thus there would have been a much longer debate, but I am afraid that that moment has passed. However, it is very good, just for once, to have a point of order that is a real point of order, and I thank the hon. Lady for it.
ParlaMint-GB_2018-12-17-commons.u539	I will be as brief as I can, because I know that the whole House will want to hear from my hon. Friend the Member for Rotherham (Sarah Champion), given the level of expertise she brings to this debate The Minister will be pleased that I am able to start on a note of cross-party consensus; we do not have many of those at the moment. I think we can agree across this House that this is an important debate because it gives us the opportunity to say, when it comes to legislation in this territory, that we have rights to honour. We have rights to honour because we have duties to honour—duties to our children. As Baroness Kidron in another place has put it so well, “Children are children until they reach the age of maturity, not until they pick up a smartphone” If those duties bite on us, as legislators and indeed as parents, those duties should also bite on companies and indeed on social media companies. These measures go a little distance towards imposing some of those duties on commercial providers. They do not go far enough, and I will explain why there are shortcomings. However, they come so late and are needed so urgently that we will not oppose them or divide the House this evening These measures are a stopgap. I hope the Minister will at some point during these proceedings explain just how long this stopgap is expected to last. At the moment, we have the situation, as the Information Commissioner has put it, that the internet has become something of a “wild west”. As the Minister has been candid enough to admit in her really quite helpful explanatory remarks this evening, these regulations may touch on the problem, but they absolutely do not solve it. We need a very different regulatory approach to the online harms we are seeking to police In debating the shortcomings of these regulations, I hope we are able to help the Minister and the Secretary of State, who is good enough to be on the Front Bench tonight, to get two crucial reforms right. We asked for these reforms in the Data Protection Bill. They are the age-appropriate design code, which was promised under the Data Protection Bill, and the internet safety strategy, which I know the Secretary of State is hoping to bring forward as soon as he can get his civil servants back from no-deal planning and get them back on to the Department’s important business I hope the Minister is able to set out for us how long she expects this stopgap to last, and I want to flag up to her the 10 obvious deficiencies that leap out from the measures and the explanatory notes to them. I will rattle through them fairly quickly, in the interests of time The first problem is the very strange conclusion in the regulations of a de minimis of content at which the regulator will deem it necessary to trigger a safety wall of age-verification software. It is really not clear why a third was chosen. I appreciate that the Minister has to start from somewhere, but there are obvious flaws in this plan, not least providers simply filling their sites with virtuous content in order to get around the regulations. It strikes me we can fully anticipate that even at this stage of the legislation As has been highlighted by a number of hon. Members, some of whom are not now in their place, these regulations do not bite on social media firms. This is lunacy. This is surely one of the most dangerous areas in which our children are exposed to these kinds of online harms, so bringing forward a set of measures without explicit reference to their non-applicability to social media firms seems to me to be a shortcoming. As the House will know, the reason why this is such a problem is that when we took the Data Protection Bill through this place, we exercised a derogation under European law that allowed us to deem that children were basically unfettered on social media platforms from the age of 14, not 16 as other European countries insist. Debating the right protections for our children on social media platforms is extremely important, and hon. Members are absolutely right to clock that the orders do not touch on that important arena The second problem is the odd definition of “commercial basis” that is used as the trigger for requiring age-verification systems. We have had a useful exchange about business models that entice users by offering free content—the money is made either by advertising or through premium content. The orders and the explanatory notes are not terribly clear about the sins that will be allowed through the net because of that odd definition The third problem, which was debated in the other place, is the challenge of what definition of “obscene material” to use. At least a couple of definitions are knocking around different bits of legislation and it is not clear that the orders are all-encompassing in the definitions used That brings us to the fourth issue, which was championed by Baroness Howe in the other place. The definitions that have been used create a couple of important new gaps. I am grateful for the briefing circulated by Christian Action Research and Education, which has set out the challenge in important ways. The Government have changed what the BBFC can ask internet service providers to block from so-called “prohibited material” to the much narrower definition of “extreme pornography”. In so doing, they exclude the power to ask ISPs to block non-photographic, animated child abuse images. Those are illegal to possess under section 62 of the Coroners and Justice Act 2009 but, at the moment, they are outwith the protections of the orders. If those images are located outside the UK, they are not within the remit of the Internet Watch Foundation. Given the number of such images that we know are available, that is a serious shortcoming in the orders. It is a great concern to the House that neither the Internet Watch Foundation nor the BBFC has the power to deal with those images That brings us to the fifth issue. Just as significant is another challenge. Because of the same use of definitions, it is not possible to prohibit violent pornography that is illegal under the Video Recordings Act 1984. I understand that Baroness Howe has a Bill in the other place to step on and do away with these problems, and perhaps at some point we might learn whether the Minister is minded to support that legislation. I am not sure whether the Minister gets a chance to wind up under the rules of tonight’s debate, but she might want to intervene if a box note is forthcoming The sixth problem is that the orders give power to what is essentially a private company. When the orders were passed to give the BBFC the role we are debating this evening, the Opposition raised significant concerns about whether, despite its extensive experience, the measures constitute mission creep for the BBFC. The Opposition and other hon. Members have serious doubts about whether it is resourced enough to do the job. This is a new departure in its business, and it does not have a track record. It does not have a royal charter, and it cannot de facto be assumed to be operating in the common good. The basic challenge hon. Members have is this: who will watch the watchmen? How will we ensure that that private organisation, which is blessed by us with statutory powers and statutory regulatory oversight, executes the task we give it effectively? We cannot rely on its mission. I welcome the fact that the Minister says that the Secretary of State will come back to the House in 12 to 18 months with a progress report, but that is rather a long time in the future if the BBFC is found to be seriously failing in the execution of its duties at a much earlier stage The seventh problem is that there is not an exhaustive list of age-verification solutions. The Minister will say that the technology moves on and that we need to preserve a degree of flexibility to allow the legislation to keep up to date but, none the less, the lack of specificity worries me. It worries me that the BBFC is not yet able to insist on minimal regulations and solutions for age-verification systems. The eighth problem is that the guidance on what is appropriate in systems is vague When we take those eight objections together, we see that the orders are half-measures. The reality is that, this year, we have learned about and debated a great many different approaches to clamping down on the harms that may hurt our children online. A much better approach to the problem would be to use a tried and tested concept in health and safety legislation: the duty of care principle, which has been around in English law since at least the early 1970s. That approach would require companies and organisations to take specific steps to understand the potential harms they are causing to their consumers, and then to take appropriate steps to ameliorate those harms If I went to London tonight and built myself an arena and filled it with people, I would rightly be asked to observe all kinds of health and safety measures to ensure that that the people were safe and sound. If I build an online arena, I am under no such obligations and can pretty much do what I want. If I ensure that the arena is a social media platform, I will not be hampered in any way by the orders The duty of care principle is a much better approach, but it needs a different kind of regulator. We currently have something like 13 different regulators overseeing different aspects of internet safety, internet regulation, content regulation and financial processing regulation online. That is far too many. That landscape is much too complicated, and those regulators do not have sufficient powers to implement the safeguards against online harm that we as legislators would like. I am not proposing that we reduce those 13 regulators to one this evening, but I am saying that 13 needs to come down to something closer to one. The House needs to ensure that that regulator has the right power to enforce proper duty of care regulation The Minister spoke at great length and I am grateful that she took a wide variety of interventions. The orders are important and necessary, and an advance on where we are today, but if we are to get the future right, hon. Members on both sides of the House need to be candid and honest, and work together in identifying the shortcomings of the current approach, which was conceived and constructed in legislation that is a couple of years old. We need to be honest and open about its shortcomings so that we can put in place a better solution when we have the White Paper and, I hope, when the Secretary of State brings the Bill to the House.
ParlaMint-GB_2018-12-17-commons.u540	Order. As I indicated earlier, we will start with a time limit of four minutes.
ParlaMint-GB_2018-12-17-commons.u541	I will curtail my comments to the utmost brevity I strongly welcome the regulations, but I have a number of reservations and questions for Ministers. I share the concerns that have been expressed that social media needs to be included in the remit. That is not the case currently despite the fact that 500,000 pornographic images are posted daily on such platforms. I hope the Minister reassures the House that she will consider that position on social media through the internet safety White Paper Secondly, I share the concerns of the JCSI about the Government’s approach to proportionality and the “one third” approach, which might lead to websites deliberately including additional material with the prime intention of falling outside the scope of the regulations. Will Ministers monitor that carefully and consider reviewing the “one third” principle if the concerns expressed by the Joint Committee materialise I want to express concerns about the impact of amendments made in another place to part 3 of the Digital Economy Act 2017, some of which were mentioned by the right hon. Member for Birmingham, Hodge Hill (Liam Byrne). When the Bill left the Commons, it gave the regulator power to block non-photographic child sex abuse images. As we have heard, those images can include incredibly lifelike, animated computer-generated images. Disturbingly, the other place voted to accommodate adult access to such material so long as it is placed behind age-verification checks, but the message that sends is alarming As we heard, some suggest that this material could be dealt with by the Internet Watch Foundation, but it can only take action against such material if shown by websites based in the UK. As I have said before in this place, the majority of such material viewed in the UK comes from sites based in other jurisdictions. In 2017, 3,471 reports of alleged non-photographic images of child sexual abuse were made to the IWF, but none was hosted in the UK and it was unable to act. The Digital Economy Bill, as it left this House, empowered the regulator to take the only credible enforcement action that can be taken against such sites when they are based in other jurisdictions: the regulator had the power to block them. That power has now been taken away, unless a site has no age-verification checks. I hope Ministers will look at that again I turn now, with no degree of relish, to the other area of concern, violent pornography, which was reconsidered by the other place. When the Bill left this place, it gave the regulator the power to block violent pornography that is illegal to supply to anyone of any age under the Video Recordings Act 1984. However, amendments introduced in the other place accommodate all but a tiny subset of violent pornography, so long as it is behind age-verification checks. The only illegal content that the regulator can take action against when behind age-verification checks is “extreme pornography” which has to be likely to result in severe injury to certain named body parts. That sends out completely the wrong message about the acceptability of sexual violence against women—it is unacceptable, full stop. I welcome the Women and Equalities Committee’s recent report on sexual harassment, which highlighted that point In conclusion, I support the suggestion that the Government have a quick way to address the two failings to which I have just referred: looking at Baroness Howe’s Digital Economy Act 2017 (Amendment) (Definition of Extreme Pornography) Bill and giving it time for consideration in this place.
ParlaMint-GB_2018-12-17-commons.u542	I believe that all of us in the Chamber tonight want to find common ground and a common way forward. I thank the Minister for her very thorough exposition of the issues in her speech and the Opposition Front Bench spokesperson, the right hon. Member for Birmingham, Hodge Hill (Liam Byrne), for covering a lot of the issues in such detail that I will not need to go over them again. I will keep my remarks very short, so that other Members have the opportunity to participate in the debate Currently, it is too easy for our children to access explicit material online. Young people today are growing up in an age where information is readily available to them at the touch of a button. That can be a very good thing, of course, as a terrific aid to learning. However, it also means that children can be exposed to explicit materials either in error or because they are simply curious. We have a duty to ensure that all that can be done should be done to protect them Studies have shown that when children and young people are exposed to sexually explicit material, they are at a greater risk of developing unrealistic attitudes about sex and consent; more negative attitudes towards roles, identities and relationships; more casual attitudes towards sex and sexual relationships; and an increase in risky sexual behaviour. They also develop unrealistic expectations of body image and performance. Access to genuine educational material is important, but we must ensure that we take these measures to protect children and young people The Scottish National party supports measures that will protect children from exposure to pornographic material online. It is only right that there is a requirement that a person making available pornographic material online on a commercial basis to persons in the United Kingdom should ensure that such material is not normally accessible by persons under the age of 18. As I said in my opening remarks, it is currently too easy for children to access explicit adult content on their phones and computers. There is much work to do, especially in the area of social media, and many challenges listed tonight that are still to be addressed, but we support the measures, which as a start, aim to protect our children in a digital age.
ParlaMint-GB_2018-12-17-commons.u543	I very much welcome this groundbreaking piece of legislation and thank the Minister for going through it so thoroughly today in her opening statement. I think the right hon. Member for Birmingham, Hodge Hill (Liam Byrne) is wrong when he says that this is a set of half-measures, but it is only a start—he is right in that respect. When we look at the scale of the problem we are dealing with, with almost two-thirds of young people seeing pornography online for the first time when they were not expecting it, the Government are right to start the long journey in trying to stop the unexpected exposure to what can be very damaging material The Women and Equalities Committee published a number of reports highlighting the damaging impact that exposure to pornography at an early age can have on young children—not only in the report, mentioned by my hon. Friend the Member for Congleton (Fiona Bruce), on sexual harassment in public places, but in the report on sexual harassment in school. The evidence is there and it is clear, but rather than going through those findings again I would like to focus particularly on the amendments made in the other place to the Digital Economy Act 2017 (Amendment) (Definition of Extreme Pornography) Bill. They have caused concern not only this evening but outside this place by setting extreme pornography as the threshold for non-compliance and for the images that appear to be allowed as a result of those changes made in the other place There are serious concerns about part 3 of the Digital Economy Act 2017, which has been weakened by Lords amendments. The noble Baroness Howe has been working hard in the other place to try to offer a solution. I hope the Minister can comment on that if time allows this evening. The Lords amendments mean that non-photographic child sexual abuse images, which would be illegal for anybody to possess, could be accommodated behind age-verification checks. Whereas previously the regulator could block that illegal content, the Lords amendments mean that that could happen only if the material was without age verification Secondly, the Lords amendments mean that a lot of violent pornography that is illegal to supply to anyone of any age under the Video Recordings Act 1984 will now be accommodated behind age verifications. That sends out all the wrong messages, so will my hon. Friend confirm that the Government will be not only keeping these issues under close review, but examining whether they could take forward the recommendations in Baroness Howe’s Bill, and that these issues can be addressed directly in the online harms White Paper, if not before We have the opportunity to return to these issues after 18 months, but I would not want to see what is a good start being hampered by changes in the other place that ComRes polling would suggest almost three-quarters of Members in this place simply would not agree to. Why can we not bring forward measures that would better reflect the will of this House, rather than that of unelected peers? The Front Bench spokespeople often tell me that something that is illegal offline is illegal online as well. They are really close to the edge of breaking their own rule, where things that are actually illegal offline appear to the normal man on the Clapham omnibus to have a different effect online. That is really regrettable The Minister was very generous in responding to my earlier comments on social media. I hope she keeps under review the need to put much pressure on social media companies to ensure that they also are within these sorts of parameters.
ParlaMint-GB_2018-12-17-commons.u544	I will rattle through some points, because I would like them to be on the record for the Minister and the Secretary of State On the guidance on the ancillary service providers, under section 15(1)(d) of the Digital Economy Act 2017 and annex one of the guidance, pornography material is defined as a video work or material that has been issued an 18 certificate and that “it is reasonable to assume from its nature was produced solely or principally for the purposes of sexual arousal” This is a neutral definition that fails to recognise that porn is almost always coercive, usually violent, aggressive and degrading, and is gendered. It is also almost always men doing it to women. Other countries are broad in their definition of pornography, to capture that aspect of it. In Spain, it is defined as “pornography, gender violence, mistreatment”, and in Poland as very strong and explicit violence, racist comments, bad language and erotic scenes. Does the Minister agree that our definition could be amended to acknowledge that pornography represents gendered violence, misogyny and abuse?
ParlaMint-GB_2018-12-17-commons.u545	Am I right that the point my hon. Friend wants to register this evening is that there is much to learn from other countries?
ParlaMint-GB_2018-12-17-commons.u546	That is absolutely right, and that becomes more apparent as we go forward. This legislation is very UK-based; pornography, of course, is international Minister, I am very concerned about the ability of the BBFC to compel ancillary service providers and payment-service providers to block access to non-compliant pornography services, as described under sections 21 and 23 of the Digital Economy Act. What power does the BBFC have to force companies to comply with its enforcement measures? What happens if credit card companies, banks or advertising agencies refuse to comply? I know of pornographic sites that accept supermarket points instead of cash to get around such legislation from other countries. What assessment has the Minister made of the likelihood of opportunistic websites being established to circumvent UK legislation and the child protection risks that follow? It is unclear how the BBFC will appraise sites and what review mechanisms it will put in place to judge whether the scheme is effective in practice Under part 1, paragraph 10 of the guidance: “The BBFC will report annually to the Secretary of State” Will the Minister commit to an interim review after six months from the implementation date, so that we can see whether this is working? Under part 1, paragraph 11 of the guidance, “the BBFC will…carry out research… into the effectiveness of the regime” with a view to child protection “from time to time”. As that is the very purpose of the legislation, does the Minister agree that this should occur at least every two years? Under part 2, paragraph 7 of the guidance, “the BBFC will…specify a prompt timeframe for compliance” However, there is no detail on what this timeframe is. It could be a week—it might be a year. Will the Minister please explain the timetable for enforcement The guidance also details the enforcement measures available to the BBFC in the case of a non-compliant provider. I broadly welcome those enforcement measures, but I am concerned about the ability of the BBFC to take action. Will the Minister tell us which body will be effectively enforcing these punishments? Will it be the Department for Digital, Culture, Media and Sport or the Home Office? Will the Minister put on the record the additional resources being committed both to the BBFC and whichever Government agent is meant to enforce the legislation Turning to the BBFC guidance on age-verification arrangements, I want to register my concerns about the standards laid out on what constitutes sufficient age verification from providers. Section 3, paragraph 5 mentions “an effective control mechanism at the point of registration or access by the end user which verifies that the user is aged 18 or over at the point of registration or access” That is very vague and could in practice mean any number of methods, many of which are yet to be effectively put to the test and some of which may jeopardise the security of personal data. That raises concerns about the robustness of the whole scheme, so will the Minister detail how she plans to ensure that the qualifying criteria are not so lax as to be useless Part 4, paragraph 3a states that “age-verification systems must be designed with data protection in mind—ensuring users’ privacy is protected by default” Has the Minister also made an assessment of the safeguarding implications for the personal data of children, some of whom may attempt to falsify their age to access pornographic imagery? Following the data hack of Ashley Madison, that has concerning implications for adults and children alike. While age verification certainly is not a silver bullet, as an idea it does have a place in a regulatory child protection framework. However, we need to ensure that that framework is as robust as it can be. Guidelines for websites that host pornographic material must be clear, so that the policy can be rigorously applied and potential loopholes are closed I also want to say that this has to work across Government. At the moment, we are still waiting for the Department for Education to bring forward the guidance on relationship and sex education. Unless we prevent, we cannot—
ParlaMint-GB_2018-12-17-commons.u547	Order.
ParlaMint-GB_2018-12-17-commons.u548	I knew that parliamentarians on both sides of the Chamber agree that we have a duty to provide the framework to protect those who are unable to protect themselves. That is why I welcome the legislative steps to implement the age-verification controls that we are talking about tonight. That is especially the case since I have read some of the evidence, although that also made me question whether we are going far enough—a question on all our lips tonight The survey carried out on behalf of the National Society for the Prevention of Cruelty to Children’s Childline service showed that one in five children aged between 11 and 17 said that they had seen pornographic images that had shocked or upset them. That is why this legislation is so important We have talked about technology and how fast-moving it is, and that can work both ways. It could perhaps help us to provide stronger controls if we grasp what may happen in the coming months and make sure that we use the technology to the fullest. However, we must also be aware that technology can advantage the online providers of the pornography that we are trying to prevent our young people from seeing. It is important that we keep up to date with what is happening in the technology world. As others have said, the measures should be the starting point, not the end point. I would really appreciate it if the Minister clarified what further steps were being taken to make sure that we moved forward with this over the coming months and years The key focus of what we are discussing is that children should be protected online in the same way as they are offline. We have other prohibitions for goods that are inappropriate for different ages, such as tobacco and alcohol—to me, this is an extension of those principles. It is right that we look at how to protect children and young people from inappropriate online images There has been a lot of talk tonight about social media and how the legislation does not cover that. Hopefully, some of the responsible providers of social media are watching and listening and, through the nudge effect, will be able to implement good practices based on the new regulations that we are introducing for online providers. We know that the nudge principle works in other areas, so perhaps we can keep an eye on that as well to make sure that we take every possible advantage from what we are discussing across all the different platforms It is also important that we do not forget about parental responsibility, because that is still a big way of stopping children seeing inappropriate images. When I was talking to a colleague earlier, she said that as parents she and her partner thought that they had done the right thing by putting the computer in the hallway so that they were walking past all the time, but such actions do not stop parents going out and leaving children at home as young adults. Whatever parents do, sometimes it is not enough, which is why I welcome these measures My right hon. Friend the Member for Basingstoke (Mrs Miller) mentioned that what we are doing might be misunderstood by parents, who may feel that they do not need to provide any parental guidance. We need to make sure that parents still understand that they have that responsibility and that the legislation and framework being put in are not a panacea, but the start of a long pathway to making sure that we protect our children from pornography and that they develop healthy, strong relationships and are not affected by what they see as children.
ParlaMint-GB_2018-12-17-commons.u549	I will keep my remarks brief not only because of the time available, but because many of the concerns that the Liberal Democrats share have been covered, particularly by the right hon. Member for Birmingham, Hodge Hill (Liam Byrne), who spoke from the Opposition Front Bench On behalf of the Liberal Democrats, I would like to oppose these flawed—as we see it—Government plans for age verification for access to online pornography. Ostensibly, as we have heard tonight, the main aim of the proposals is to stop children stumbling on to online pornography, but there is little supporting evidence that young people do stumble upon these sites. If they do, it is more likely that they are not the dedicated sites that would be covered by the legislation. That is one flaw, but my main objection is that the Government’s proposals would mean tracking information from people using these sites by suggesting that a credit card or an address is given to check against the electoral register. An act that is private and, in most cases where the information is asked for, legal, would be recorded and could be tracked on the person’s computer. On top of that, there are concerns about the lack of privacy protections, that the information could be open to hacking and that, like any other bulk data, it could be sold on The legislation is also easy to circumvent. Indeed, US websites have already said that they will simply ignore it because, to their mind, it interferes with legal independence and the rights of the individual. However, my main concern is that this flawed legislation could lead to the targeting of sexual minorities who are over 18 and can visit the sites. Some members of the LGBT community may wish to keep their identity or their sexuality secret for several reasons, but the legislation would risk the possibility of their being hacked and that information being leaked. In a nutshell, those are the reasons why Liberal Democrat Members oppose the Government’s proposals.
ParlaMint-GB_2018-12-17-commons.u550	It is a pleasure to be called to speak in this important debate, and to be part of a debate in which several thoughtful points have been made from hon. Members of all parties We should be proud of the legislation that we are introducing. As the Minister said, it is the first time that something like this has been attempted anywhere in the world. Although we could undoubtedly go further, this is a noble first step. I spent the first part of my career as a teacher. I worked for Barnardo’s and for the Office of the Children’s Commissioner and I followed this issue closely through those jobs I have been struck by the sheer pace of change and Governments’ and regulators’ failure to keep up with it. The speed with which smartphone technology has changed the environment of childhood is frightening. I have always been wary of the aggressive online libertarian wing, which claims that this new world cannot be regulated and that to introduce any form of restriction is to inhibit the beauty of the online liberal space. That is unacceptable. We have a duty, as adults, to step in and protect children from things that they might not choose to see and that we know they are not ready to see As a starting point, we must accept that self-declaration is no form of age verification. Creating a mechanism, however basic, which introduces a decent, verifiable scheme to prevent young people from seeing certain things, is worth while. There are many opportunities to extend the principle elsewhere. I know from friends who are teachers and from the parents of teenage children their concerns about social media and overexposure to it. Many of the social media giants tell us that their sites are suitable for those aged 13 and above, but do nothing to police that. As I said, self-declaration is no form of age verification. The adults have to step in and take control I was interested in the shadow Minister’s comments about duty of care. As we look to the future, beyond the legislation, when social media giants, internet companies and providers of any content say that only people of a certain age should use their site, yet do nothing meaningful to enforce that, there must ultimately be some form of sanction against them. Switching the onus on to those companies would be no bad thing. My hon. Friend the Member for Walsall North (Eddie Hughes)—who has morphed into a different hon. Member since I stood up; a no less honourable Member—mentioned mobile phones. Several colleagues and I have raised the important issue of whether schools should have further powers to police mobile phones in schools.
ParlaMint-GB_2018-12-17-commons.u551	I am pleased to speak in support of the regulations and guidance, although I want to register some concerns. I thank Dan Boucher from Christian Action Research and Education—CARE—who gave us some information about the subject It is two years since the Digital Economy Bill left our House, yet the age-verification provisions have still not been implemented. Will the Minister assure us that there will be no further slippage in the timetable? I want to put on record my thanks to the Minister and her Parliamentary Private Secretary, who usually sits behind her, but not tonight—it is a different person—for their courtesy and good manners in helping us to look at the issues, and giving us an assurance, which I am holding on to, that the White Paper will make the necessary changes As things stand, neither part 3 of the Digital Economy Act 2017 nor the regulations engage with social media. That point was made in another place last month with real concern. It was pointed out that a staggering 500,000 pornographic images are posted on Twitter every day. I gently remind the Minister that the recent Women and Equalities Committee report on sexual harassment recommended: “The definition of ‘commercial pornography services’ for the Government’s policy on age verification of pornography websites should be amended to include social media” We should be mindful of that recommendation. I hope that the Minister will reassure the House that she is considering the Act’s position on social media as part of her reflections on the White Paper. We need action. Parents are no less troubled by the prospect of their children seeing online pornography because it is on Twitter rather than a website, and neither should we be I also gently remind the Minister that the Conservative party manifesto said that “we will stop children’s exposure to harmful sexualised content online, by requiring age verification for access to all sites containing pornographic material.” My only worry is about the caveat that states that, if pornography makes up only a third of the content on the site, it does not count. Again, I seek reassurance about that. I also ask the Minister how the Government can justify protecting children from pornographic material online only in certain circumstances, when their manifesto commitment contained no hint of any qualification or limitation on their age-verification checks strategy When the Digital Economy Bill left the Commons, the regulator was empowered to block all non-photographic child sex images, regardless of age verification. That made complete sense because section 62 of the Coroners and Justice Act 2009 makes it absolutely clear that it is a criminal offence for anyone of any age, including anyone over 18, to possess such material. However, in the other place, amendments were introduced to accommodate the wishes of adults. I am ever mindful that some 71% of MPs—parliamentarians in this House—want stronger protection, and I know that the Minister wants that, too. I suggest that this must urgently be rectified Similarly, when the Bill left the Commons, the regulator had the power to block, regardless of age verification, all violent pornography that it would be a criminal offence to supply to anyone of any age, including those aged 18 and above, under the Video Recordings Act 1984. That is no longer the case. The Digital Economy Act cannot send out the message that the normalisation of sexual violence against women is worth accommodating. Of course I understand that, under section 29, there will be scope for these issues to be reviewed between 12 and 18 months after implementation The Digital Economy Act 2017 (Amendment) (Definition of Extreme Pornography) Bill was tabled in the other place—by Baroness Howe—and, during last week’s debate on these regulations a number of peers pressed the Government to give the Bill time. It is notable that, rather than saying no, the Minister, Lord Ashton, undertook to speak to the Chief Whip, and I very much hope that the Minister in this House will do the same. I congratulate her on tabling the motions, and I look forward to our working together to make this stronger, because that is what we all want.
