ParlaMint-GB_2018-05-21-commons.u1	1. What steps she is taking to implement the 2017 Budget changes to universal credit.
ParlaMint-GB_2018-05-21-commons.u530	I refer the House to my entry in the Register of Members’ Financial Interests, as I am an “accidental landlord”, to use that excellent term. I think 123 MPs are also landlords, so there should be a wealth of knowledge in the Chamber I wanted to speak in this debate because I am mindful of the Prime Minister’s speech on 13 July 2016, in which she said her intention is to reach out to ordinary working-class families. As the product of an ordinary working-class family, I am keen for her to do that. I represent the people of Willenhall and Bloxwich, and the average property price in my constituency is only £127,000 and the average income is £25,000 a year, so clearly my constituents are the epitome of hard-working people From my perspective, it is therefore incredibly important that this Government do everything they can to protect people who are required to rent because they are not in a position to buy. Clearly, this Government’s aspiration would be for all those people who want to buy to have the opportunity to do so, but we heard the figures earlier and that is not the current reality of this country. We have an ever-increasing rental market. People are forced into a situation where they have to rent because their family is growing or they need to leave home, so it is incredibly important that they are protected This is not the good thing about this Bill; it is not just that this is a Conservative party policy. We have others and it is great that we have done things such as increasing the minimum wage and increasing the level above which people need to pay tax. People looking in from the outside this evening will be seeing Parliament say this is the right thing to do. One of the greatest things for me, having been an MP for less than a year, is to come to this Chamber and hear people on both sides say positive things about a particular idea around which we can all coalesce. It was excellent to hear from the hon. Member for Sheffield South East (Mr Betts) and there has been great involvement from the Select Committee; there has been deliberation from people who are very knowledgeable on these topics and the Government have responded accordingly. I also appreciate, from my hon. Friend the Member for Harrow East (Bob Blackman), that perhaps in some ways the Bill has not gone quite as far as some would like. It is a work in progress, but from my point of view the comment made by my hon. Friend the Member for Rugby (Mark Pawsey) sums up what my constituents would be thinking: is it fair that the fee for sourcing a property is paid by both the landlord and the tenant? I do not think so and I do not think the people in this Chamber think so either.
ParlaMint-GB_2018-05-21-commons.u531	It is a pleasure to follow the hon. Member for Walsall North (Eddie Hughes). Like him, I refer the House to my entry in the Register of Members’ Financial Interests, as my partner and I rent out properties, although we are also private sector tenants I wish to congratulate the Government on introducing this Bill. I was proud to be elected last year on a manifesto to increase rights for tenants, although any Bill should protect the role of good and ethical landlords too. Unfortunately, rogue letting agents have for too many years been allowed to profit from insecure tenancies, with some charging renewal fees every six months. Nearly all charge administration and referencing fees, and huge deposits, which are completely out of reach for low-income families I support the broad aims of this Bill, but I would like to draw the Government’s attention to one aspect that continues to leave tenants vulnerable to unfair fees. I have particular concern with schedule 1(4), which reserves the right for landlords and letting agents to charge tenants who are forced to default on their tenancy agreements. I believe people who rent through the private sector could be better supported by this part of the Bill. I understand that some agents and landlords currently charge a full month’s rent for tenants to be granted an early release, then every month’s rent and utilities while a new tenant is found. There are genuine instances where tenants are forced to end tenancy agreements, which they entered into in good faith, through absolutely no fault of their own: for someone living in the private rented sector who is made redundant from their job, benefits might not cover the rent, and any delays in receiving benefits will leave them in rent arrears. Someone might have had a family bereavement and might need to move to another part of the country or of the world. Someone might have a mental health crisis and need to be admitted to hospital. Someone might be off work with a serious injury and not receive sick pay, or they might need to flee domestic violence. Many letting agents and landlords are unforgiving in such circumstances and trap tenants in situations that they need to escape.
ParlaMint-GB_2018-05-21-commons.u532	The hon. Gentleman is outlining extreme circumstances for tenants who rent properties. Does he agree that those people probably need legal advice, but do not have access to it when they need it most? Does he feel that the Government should look into legal advice for people who rent accommodation, then find themselves in difficulty?
ParlaMint-GB_2018-05-21-commons.u533	I would certainly like the Government to look at what advice and support is offered to people who find themselves in extremis. Landlords’ loss of earnings do not compare to the trauma faced by tenants in a situation in which they just cannot pay the rent. Some such situations call for compassion. Let us remember that landlords have the right to increase their tenants’ rents as much as they want and can evict a tenant with two months’ notice without loss of earnings, but a tenant cannot leave a tenancy early in extremis. Why should landlords have the flexibility when the tenants do not? Surely, the Government must think more about the protection for tenants in such situations Many more children now live in the private rented sector than 10 or 20 years ago. With growing child poverty, any potential for charging households fees beyond the monthly rent and security deposit can be an absolutely debilitating blow to families on the breadline. I urge the Government to look at the Mind report, “Brick by brick: A review of mental health and housing”, which makes for particularly concerning reading. Published in November last year, it finds that the instability of the private rented sector is bad for children’s social, emotional and mental health. As a GP, I see the effect of that instability every week. Some 28% of all children in the north-east live in poverty, and more than two thirds of them are from working households in which one or two parents work full time. Nearly half of working-age people in poverty spend more than one third of their income on housing costs There is a strong case for the Government to strengthen the Bill further. Unaffordable housing affects a family’s ability to pay for essentials. From school uniforms to energy bills, to healthy and nutritious meals, families should not have to sacrifice the basics to keep a roof over their head. A healthy and stable home can support healthier children too. I urge the Minister to go away and look closely at schedule 1(4) and to protect people who have to default on tenancy agreements through no fault of their own. Let us think of someone who has lost their job, had a family bereavement or mental health crisis, is off work without sick pay or is fleeing domestic violence; the Bill should grant to tenants in such circumstances more financial protection from any charges from letting agents or landlords. I urge the Government to look into these issues more carefully.
ParlaMint-GB_2018-05-21-commons.u534	On 3 May 2016, I led an Adjournment debate in which I called for a cap on letting agents’ fees, because they were becoming such a big issue in my constituency. I therefore welcome the Bill, which goes even further This issue particularly affects London and the south-east. In my constituency, rent for an average property is close to £2,000 a month. I have worked closely with the citizens advice bureau in Lewes, and it has done a lot of work on this issue. It highlighted how letting agents fees in one of the four towns in my constituency can range from £175 to £922. Coupled with an eight-week deposit, which is standard in Lewes, that can leave tenants paying anything from £3,332 to £3,779. It is just not affordable for someone on the average wage. I was therefore pleased to see in schedule 1 that the deposit is going to be limited to six weeks I have two key concerns. The first is about the variety of fees listed in schedule 1. Although the Bill covers holding payments and deposits, several fees that letting agents have introduced will get around the legislation. Citizens advice in Lewes found that people can be charged around £450 to add a second tenant to a property. A reference check can cost £100, as can general admin. An “express move”—to move within 10 days—can cost around £200, and it can cost another £200 to keep a pet in a property. If a tenant moves out and someone takes over the lease, that costs £300 on average. Some Members have already mentioned the six-month tenancy. Tenants often want a longer lease, to which they are legally entitled, but are not allowed to contact the landlord to negotiate one, because it is in the letting agents’ interest to keep tenants on a rolling six-month tenancy, paying around £150 to £350 every time they renew their lease My other concern is enforcement and schedule 3. It is a legal requirement for letting agents to advertise their fees, but it just does not happen and is not enforced. Citizens advice looked at 25 letting agents in Lewes and Seaford. Only one currently advertises its fees. We have legislation and it is not being enforced. I am not clear from schedule 3 who is responsible for the enforcement of the legislation and what happens if they do not do it. I welcome the Bill, but I have those two concerns—the variety of fees not covered, and enforcement to ensure that the Bill works properly for tenants.
ParlaMint-GB_2018-05-21-commons.u535	I am grateful to be able to speak on Second Reading and to discuss an issue that is relevant at both national and local level. It is also my pleasure to follow the hon. Member for Lewes (Maria Caulfield) I welcome the Bill, which has long been delayed—the issue was raised by Labour in 2013 and adopted in our 2015 manifesto. Rising house prices in my constituency mean that the rental market is growing rapidly. Since 2009, median house prices in Reading East have risen spectacularly by 175%, from £197,000 to £344,000. Increasing numbers of young families as well as single people are entering the rental market Some renters are satisfied with their properties, but in my experience far too many find themselves footing bills for housing that is in poor condition, or for tenancies without any long-term certainty. Nationally, 1.6 million families with children are renting privately, with their long-term plans depending on the reliability of landlords who can evict them with one month’s notice. Meanwhile, letting fees, burgeoning rents, and high deposits present an affordability challenge for tenants. It is therefore in the vital interests of all my constituents that the rental market be maintained as affordable, transparent and accessible. I welcome the Bill as a first step towards establishing that fair and reliable rental market The Bill will have a positive impact in abolishing up-front fees to enhance clarity and control for tenants. Letting-agency fees restrict the mobility of renters, thereby removing one of the prime incentives of renting a property. On average, tenants pay £272 per person in fees with each move, on top of rent in advance and deposits. Alarmingly, one in seven tenants are charged more than £500 to enter rented accommodation. Over the past five years, renters have racked up a staggering bill of £678 million in agency fees. Moreover, there is a lack of consistency in setting those costs. Research by Shelter has found broad variations across letting agents—reference-check fees range from £30 to £220, and tenancy renewals cost between £35 and £150. I welcome the premise of the Bill—the measure was initially promised in the 2015 Labour manifesto—but I note that both the Prime Minister and the Chancellor of the Exchequer have previously voted against a motion abolishing letting fees. I am delighted that the Government have decided to change their mind Default fees are chargeable if an agent or landlord incurs costs due to a tenant’s actions. They have been described by agents as a back-door route to reclaiming lost income. Agents have admitted openly to the Housing, Communities and Local Government Committee that they will charge disproportionate default fees to make up for loss of revenue, which is an extraordinary admission from the industry about its intentions to exploit loopholes in the Bill. I am concerned that there will be cases of a brush coming with an associated charge of £45, or of £130 being charged for a missing TV remote. These default fees are set at the discretion of the agent or landlord, and there is no cap in the Bill on the cost to tenants. There is an urgent need to strengthen this legislation to provide limits on what can be charged for and to ensure that any charge made is reasonable. If relevant additions are made to the Bill to resolve this flaw, the legislation’s good intentions will be preserved The second aspect of the Bill that I would like to discuss concerns tenancy deposits. Although I am glad that the Government have decided to issue a cap on tenancy deposits, I am disappointed that the Select Committee’s recommendation to cap deposits at five weeks’ rent has been rejected, as the hon. Member for Harrow East (Bob Blackman) mentioned. The Government have opted for a six-week cap, which means that renters in the south-east of England will still have to find an average of £1,800 to place a deposit. This is at a time when the majority of landlords already take deposits for six weeks or less. As such, the Bill will not change the realities of access to housing for renters, particularly in an area such as mine Thirdly, I voice my support for robust enforcement. I am glad that tenants will be given access to a first-tier tribunal to enforce the regulation, and I am pleased to see penalties being put in place for breaches of the rules. However, sufficient funding must be released to allow for the enforcement of the ban on letting agent fees. Without proper resourcing, the measures in the Bill are likely to fall short In general, the Bill has the potential to make significant savings for tenants in—and enhance the transparency of—the private rental sector. I am pleased that the Government have listened to calls to make private renting fairer and more affordable. In fact, as I mentioned, the Labour party has been campaigning for these measures for a long time. Indeed, my right hon. Friend the Member for Wentworth and Dearne (John Healey) first recommended them in the Letting Agents (Competition, Choice and Standards) Bill in 2013. The Bill requires further scrutiny in several important areas—most obviously, the provisions on default fees. I ask the Government to provide further protections against the exploitation of tenants in this regard. With proper amendments, the Bill can present a good first step towards balancing the rental market. I urge the Government to listen to these points.
ParlaMint-GB_2018-05-21-commons.u536	Although it is true that some renters pay many hundreds of pounds in fees to letting agents, I want to point out that the solution proposed by the Government may merely shift the cost of the burden, not to landlords and lettings agents, but back to tenants in a different way. Banning letting agency fees means that the money will have to come from somewhere else, at least as far as legitimate services from respectable letting agents are concerned. Landlords may well be forced to, or at least will, increase rents across the tenancy to cover the costs anyway.
ParlaMint-GB_2018-05-21-commons.u537	Does my hon. Friend agree that however appropriate this legislation is—and it is appropriate—it is at least in part because of the unscrupulous actions of some letting agents, and not all letting agents should be tarred with the same brush? CGT Lettings and Morgan Associates in my constituency do a good job by their tenants and can be expected to continue to do so.
ParlaMint-GB_2018-05-21-commons.u538	I entirely agree These new rules are quite complex and there will be a bureaucratic cost to councils, letting agents, landlords and therefore tenants. The rules trigger the new burdens doctrine, and I hope that this will be accounted for in the legislation. I still think that a simple rule allowing letting agents to impose a maximum fee of 100% or 150% of monthly rent might have solved this more straightforwardly, as long as there were additional safeguards for those receiving housing-related benefits and others As I said last week on housing and, before that, on the energy price cap, I am a critical friend and a supporter, rather than a member, of this Conservative Government. Although I accept the need to intervene at times to ensure that fairness is maintained in the market, we also have a strong commitment to providing more houses and making people’s lives easier. The focus needs to be the key objective of having new homes in which the private rented sector will have a role, rather than just the “ban and regulate” type of legislation. As my hon. Friend the Member for Cheltenham (Alex Chalk) has just said, let us remember that there are hard-working people in the sector. We should not draft legislation purely to punish those who behave unscrupulously at the expense of the far more numerous examples in the former category I would like to acknowledge the work of the Housing, Communities and Local Government Committee, on which I sit. Over the past few months, it has held evidence sessions with stakeholders and done significant work to improve this Bill so as to avoid more costly and inefficient enforcement. Indeed, that work has been sufficient, notwithstanding my reservations, to secure my support in the Lobby, because there is a problem to be tackled, even if this proposal has some Jim Hacker in it as well as some King Solomon.
ParlaMint-GB_2018-05-21-commons.u539	I draw Members’ attention to my entry in the Register of Members’ Financial Interests. The Liberal Democrats have long fought for renters’ rights. The Bill is in many ways the result of the hard work of my colleagues in the other place, who have campaigned tirelessly for a ban on letting fees and for private rented sector reform. I am therefore pleased that the Government have listened and will make the sector fairer for my constituents in Bath and people across the country. However, the Government could be much more ambitious. The Bill introduces a ban on letting fees, but currently does not include provision for local government to enforce fines if the ban is breached. What is proposed is a self-financing system, and that often does not work in practice. Equally, we must ensure that the Bill covers all fees. We cannot permit letting agencies to attempt to bring in fees under an alias or to exploit the default fees loophole, as a couple of Members have already pointed out. We need more information from Government to understand how this issue is being addressed Many landlords are not badly intentioned, but we must do more to stop those who abuse the system. There must be compulsory registration for landlords. There must also be public access to the Government’s database of rogue landlords, and those landlords should not be able to obtain a licence for houses in multiple occupation. There should be support for longer tenancies; I completely agree with the hon. Member for Lewes (Maria Caulfield). We should have Government-backed loans to help people to afford a tenancy deposit. By tackling rogue landlords and supporting those struggling to afford a deposit, we would be reducing the key factor behind the rise in homelessness The housing crisis is denying young and vulnerable people in my constituency access to a place to call their own. The Bill is a step in the right direction. I am pleased that a practice that was a nice earner for some but an injustice to the young and most vulnerable people will now end. However, I urge the Government to be far more ambitious if we are truly going to make a difference to renters.
ParlaMint-GB_2018-05-21-commons.u540	It is a great pleasure to join this happy debate with a lot of consensus on both sides of the House. It is also a pleasure to follow the hon. Member for Bath (Wera Hobhouse), who reminded us that success has many parents and that that is a happier position to be in than the orphan without any parents Much has already been said, so I just want to add two or three thoughts. Last year, I became, with my wife, an amateur landlord. As this Bill took shape, I spoke to constituents who were tenants, agents and landlords, and I looked it in the light of our own experience. I quickly came to the conclusion that the market was not acting as effectively as it should, fundamentally because tenants are not equal partners in the negotiations and lots of family landlords inevitably devolve decision making to agents. As both the current and previous Secretaries of State have said, and as the shadow Minister, the hon. Member for Great Grimsby (Melanie Onn), said today, a small—I repeat, small—number of rogue agents have spoiled the situation. As the supply-and-demand equation has altered, so, in turn, tenants have become more squeezed Fundamentally, the role of agents in this process has changed. They are evolving quite radically from being an intermediary in an analogue age to a landlords’ compliance department in a digital age. Today, their fundamental role, which is very important, is to keep landlords and themselves out of trouble—indeed, even out of jail. The reason for this is not least the complexity of the law. Regulations need to be enforced. Most amateur landlords need high-quality agents to ensure, for example, that smoke detectors and fire exits work, that boilers are checked and that insurance is adequate. There is much more besides all the important environmental health provisions that councils are responsible for ensuring do not get breached. I believe that the role of agents therefore is to focus on keeping landlords within the law and providing a good service to tenants. A commission agent is fundamentally different from a compliance department I welcome the Bill and everything that Ministers have announced. I note one or two caveats from colleagues. I think that the fundamental goal of saving some £240 million a year in unnecessary fees will be welcomed across the country. The compromise on capping security deposits at six weeks’ rent—it is eight weeks in Scotland—seems sensible, but no doubt there will be further debate on whether it should be five or six weeks The Bill will not solve all the problems—the supply of housing is still too small and the prices are still too high for many tenants—but it is a chance for agents to adapt their business model in the way I have suggested, for landlords to get their properties in order and for tenants to help keep landlords straight. Because rents have risen, there is a risk of poor and even dangerous homes being rented by landlords who are cutting corners to tenants who are trying to cut costs. I urge Ministers to look at how they can work with local authorities to ensure that that risk is not increased and that local authorities seize the opportunity to levy fines where they are needed and to provide the resources for their housing departments to keep housing of the quality that we, and above all tenants, deserve.
ParlaMint-GB_2018-05-21-commons.u541	I presented a petition to the House on behalf of my constituents back in June 2016, calling on the Government to take action to curb letting agent fees. In responding to the petition, the Government gave no indication that they were considering any action on fees other than requiring letting agents to publish a full tariff of their fees. That response was very disappointing The publication of tariffs in my constituency has simply confirmed what private renters have always known: that fees are enormously variable and that in many cases a combination of fees, holding deposit and tenancy deposit can run into hundreds and sometimes thousands of pounds each time a tenant moves. Letting agent fees are no small matter financially, whether someone is trying to save for a deposit to buy their own home or simply trying to keep their head above water and make ends meet. The instability that many private renters face means that they are not only paying high fees, but can be forced to pay them every six to 12 months, so they face the utterly dispiriting experience of seeing what little savings they manage to accumulate being wiped out again and again each time a tenancy comes to an end. Fees, combined with spiralling rents, are one of the reasons why many renters cannot afford to buy. They are also one of the reasons why many of my constituents who are in the greatest housing need and on long waiting lists for genuinely affordable social housing increasingly fear the private rented sector, if they are able to access it at all. So I welcome the Government’s change of heart on letting agent fees. I welcome the adoption of a Labour policy, and I welcome the Bill The Bill seeks to iron out a significant confusion in the letting agency market, which is the question of who the client is. Since landlords procure the services of letting agents and have a choice about which letting agent to choose, and letting agents provide a service to landlords in finding them tenants, the landlord is the client. Tenants do not have a choice about which letting agent to go to in order to access the type of home they require. They cannot decide that they like a particular property but would prefer to rent it via a different agent. As such, they are not the client. Any services the letting agent provides that involve the tenant, such as obtaining references and credit checks, are simply part of the process of securing that tenant for the landlord who is their client. It is therefore not fair or reasonable for two different parties in a letting transaction to be charged for the provision of services. No other part of the estate agency industry operates in that way, and there is no justification for it to continue While I welcome the Bill, there are some important ways in which it can and must be improved. The first and most significant relates to default fees. The Bill allows for default fees to be charged by landlords and agents of tenants but does not specify any parameters for that. Great concern has been expressed by many witnesses to the Housing, Communities and Local Government Committee’s pre-legislative scrutiny inquiry on the Bill and others that the provisions relating to default fees are simply a loophole that will allow arbitrary sums to be claimed from tenants by the back door Although default fees have to be specified in the tenancy agreement, there is in practice no way for a tenant to identify and challenge unfair fees at the point at which a new tenancy begins—and by the time they are being charged, it is too late. Letting agents’ representatives admitted in evidence to the Select Committee that they would try to charge disproportionate default fees to make up for a reduction in other fees. This would be completely unacceptable, and while I welcome the Government’s intention to provide further clarification, it is vital that this is absolutely watertight if the Bill is to succeed in its main objective of reducing cost to tenants Secondly, I am concerned that the Bill is insufficiently clear on the circumstances in which an agent can retain a holding deposit. In circumstances where a tenant has wilfully provided false information, it may be acceptable for an agent to retain the costs of undertaking checks, but we know that there are many circumstances in which incorrect information can be provided where this is not the fault of the tenant. For example, the tenant may be unaware that their credit rating has dipped, or an employer may hold out-of-date salary information, and there are many other such circumstances. The Bill must ensure that tenants are protected against incorrect information being provided by someone else. The failure to do so could result in tenants who have lost a proportion of their savings being prevented from accessing another home, with dire consequences. I urge the Government to ensure that the Bill is sufficiently robust on this matter Finally, I must emphasise that although the Bill is a welcome step, there is still much more to do to reform the private rented sector and to redress the imbalance of power that exists between landlords and tenants. The Government have shown a willingness to adopt Labour policy with regard to banning letting agents’ fees. May I urge the Minister to go further and legislate for longer and more secure tenancies, intervene to address the spiralling rents that cause hardship for so many of my constituents and act to stop revenge evictions because the current legislation simply is not working? We need comprehensive reform of the private rented sector to give security and stability to the increasing numbers of my constituents who are reliant on it, and in particular for the growing numbers of children living in private rented accommodation on whom the need to move frequently can have a particularly harmful impact. While I welcome the Bill, there is much more to do, and I urge the Government to go further.
ParlaMint-GB_2018-05-21-commons.u542	I congratulate the Conservative party on delivering yet another 2015 Labour election manifesto pledge. Page 62 of our 2015 election manifesto, which I stood on, pledged to ban unfair letting agent fees. I have some news for the Conservative Members, however, because we had a new manifesto in 2017, which was even more popular than our 2015 manifesto: it led to their losing seats and to our gaining them. The 2017 manifesto went even further: “Labour will make new three-year tenancies the norm, with an inflation cap on rent rises... We will legislate to ban”— all— “letting agency fees for tenants. We will also empower tenants to call time on bad landlords by giving renters new consumer rights.” It was a little bit disappointing that this Bill did not go quite so far. However, if the Government wish to continue their work in implementing Labour manifesto pledges, I am sure that they will meet no resistance from Labour Members and that it will be met with a great deal of praise from those who are suffering in the private rented sector The scandal of letting agent fees has gone on for far too long, and an audit of the private rented sector in Brighton and Hove shows exactly how out of control the fees are. In Brighton, agents’ fees start at £500 just for a holding fee, which is of course, as we have heard, non-refundable. If someone decides not to go for the property, they will lose the money. In the house buying world, someone can put in a bid for a property, agree an offer and get very far through the negotiations, but they can drop out with no financial charge. That seems manifestly unfair: for the rich, or for homeowners, there is one rule; and for renters, there is another whereby, if someone decides to change their view at the last moment, for whatever reason, they are charged. Ending that is a great opportunity that has been missed in the Bill In Brighton, admin fees are also common, at £250 on average per tenant, tenant substitution fees are as high as £420, and guarantor fees are £190. All in all, it costs more than £1,000 and we have not got started on the deposit. We have heard the same story from many constituencies throughout the country, particularly those in the south-east. We also have check-in and check-out fees, which are as high as £270 per check-in or check-out How has it got this bad? There is, of course, a fundamental power imbalance in the landlord-renter market. Often, young and insecure workers have no choice but to take what they are given, pay the fees and, sometimes, to do it with a smile because otherwise they would be rejected by the landlord. That is, of course, why it has been necessary in Brighton to establish renters’ unions. There are renters’ unions in my constituency such as Acorn, and I applaud the work it has done to fight for renters who are being abused by agents. We have heard a lot of talk about this being about only a few agents, but I am afraid that in my city it is, I think, a large number of agents. I would even go so far as to say that the majority of agents use these dirty tactics. That is why the Bill is needed; it is not about a few rotten apples but a systemic failure in the market The Minister will have received the same advice as I and many others have about some of the things that need to change, particularly the loophole in paragraph 4 of schedule 1, which has been mentioned, regarding tenants who have to pay a default fee. Again, that takes me to the point about the equality of the sides in this argument. While we still have no-fault evictions, where a landlord can decide to evict a person with notice and there is no charge or fee against the agent or landlord and no reimbursement for the person losing their house a few months early, it seems to be totally unfair to have any default fee on the other side without the situation being equally balanced. If the Bill were to introduce an equal default fee for no-fault evictions, this would be a measure that I could probably come to support Of course, the Bill also fails to provide a comprehensive definition of default fees and creates the ability for fees to be reintroduced by any other means. Of course, we know that in a capitalist world capitalism will use those loopholes to its best advantage. It seems that the Government never learn that if they do not close down loopholes, the people who will be abused are our constituents. I guess that it will take a Labour Government to implement Labour manifesto policies properly, but I support this measure, even if it does not quite yet go far enough.
ParlaMint-GB_2018-05-21-commons.u543	This has been an important debate, which has seen excellent contributions from across the House. I want to highlight in particular those made by my hon. Friend the Member for Sheffield South East (Mr Betts) as Chair of the Select Committee and my hon. Friend the Member for Cardiff Central (Jo Stevens), who painted such a powerful picture of a student city and the arbitrary and unjustifiable fees to which those students are subjected As has already been said, it is always flattering for the Opposition when a Government steal our good ideas, but the serious point that all of us on the Opposition Benches want to make tonight is that we welcome the Bill, we welcome its intent and we want to work with the Government to get it right. Introducing an outright ban on up-front letting fees is absolutely right and, as the hon. Member for Carlisle (John Stevenson) said, it is right and proper that the Government should intervene. As we know, the Bill has been some time coming. The Government voted down a private Member’s Bill on this topic in 2013. As my hon. Friend the Member for Reading East (Matt Rodda) said, the proposals to ban letting fees were put to the House in 2014 and the Conservative party, including the Prime Minister, voted them down. In 2016, my constituency predecessor and then Housing Minister dismissed this policy as a bad idea, just eight weeks before his Government briefed the policy as part of their autumn statement. That is all in the past, however, and we are delighted we won the argument in the end We welcome the Bill, but we think it could go further and give private renters the rights they need. The Government have backtracked on their original plans to cap deposits at rates tenants want. They have put a major loophole in the Bill for a minority of unscrupulous landlords to exploit, they have kept costs for holding deposits at an unreasonable level and they have passed potentially high fees beyond year one for enforcing the Bill on to local councils It is right that we challenge the Government to go further, while welcoming the Bill’s overall aims. As the hon. Member for Rugby (Mark Pawsey) said, 21% of the market is now privately rented. It is no longer just young single people and students: England’s private rented sector is home to 1.6 million families with children. Average rents are now almost £1,500 a year higher than they were in 2010. As my hon. Friend the Member for Stockton South (Dr Williams) said, there is a link between paying more than a third of income on rent and one’s mental health. As my hon. Friend the Member for Dulwich and West Norwood (Helen Hayes) said, in her constituency people are increasingly fearful of the private rented sector, if they are able to access it at all. The hon. Member for Bath (Wera Hobhouse) and my hon. Friend the Member for Brighton, Kemptown (Lloyd Russell-Moyle) painted a picture of the wider reforms that are needed if we are to really tackle the private rented sector. There is certainly much more to be done, but we welcome the Bill I want to press the Minister on a few small points. Security deposits are a barrier to entry for many people trying to access the private rented sector. The proposal to cap deposits is welcome and a long overdue admission by the Government that the current market price is just too high. The Department’s own consultation found that more than nine out of 10 tenants want to see a cap, but we do not believe that the proposals in their current form are fit for purpose, because the cap is above what the market has already settled on and will not make any difference to the majority of tenants. Shelter’s most recent private landlord survey found that 55% of landlords ask for four weeks’ rent as a deposit, while only 6% ask for more than six weeks Citizens Advice also found that the most common amount is four weeks. It argues that a six-week cap will just help 8% of private renters. The Government’s own consultation on the policy found that two thirds of tenants wanted a cap of four weeks or less. Instead of listening to tenants and experts, the Government have risked making a deposit of six weeks’ rent the norm, rather than the maximum. This is a particular concern in high-cost areas such as London, where a six weeks’ rent deposit will see tenants paying £2,000 based on medium rents The Mayor of London is calling for a three-week cap. Experts such as Shelter and Citizens Advice are saying it should be no higher than four weeks. As set out by the hon. Member for Harrow East (Bob Blackman), the Housing, Communities and Local Government Committee is calling for a five-week cap. Clearly, there are some different views. It is a shame that the Government have bowed to pressure from trade associations and backtracked on their original plans to cap deposits at four weeks’ rent. I really hope the Minister will be open to discussing this in more detail in Committee. We on the Labour Benches will thank the Government for that if they do so On default fees, although the majority of landlords and many agencies operate fairly and responsibly, excessive fees imposed on tenants for minuscule breaches are still far too common. Some examples highlighted by Shelter include: a £40 administration fee for every phone call or letter to chase overdue rent; a £40 charge for a late rent payment; and mystery shopper evidence that appears to show agents making up fees for things on the spot. The Government have allowed a potentially serious loophole in the Bill by not banning default fees There are several issues that we do not have time to go into tonight, but there are big question marks over the effectiveness of statutory guidance in such areas. In the energy sector, the continued use of back-billing by companies in defiance of Ofgem’s guidance meant a licence requirement was eventually needed It is important that we get this right and do not leave a loophole for unscrupulous landlords and letting agents at the heart of the Bill. As the hon. Member for Lanark and Hamilton East (Angela Crawley) said, the lettings industry admitted in evidence to the Housing, Communities and Local Government Committee that some agents may seek to charge disproportionate default fees in order to recoup revenue that is lost as a result of the legislation Turning to the enforcement duties in clauses 6 to 8, as with any legislation of this sort, effective enforcement is key to its success. As we have heard today, the suggestion that the Bill should be completely funded through civil penalties jeopardises its chances of working effectively. Serious concerns have been raised about the ability of trading standards to enforce the measures properly, as no extra funding is earmarked beyond year one for enforcement—of course, we very much welcome the announcement of £500,000 in Government support in year one. Trading standards are under-resourced and overstretched to an unprecedented degree, and therefore, this proposal seems misguided. I hope that the Minister can offer us something during the Bill Committee to deal with that issue In conclusion, unlike other sectors in which consumers can expect certain standards with clear redress, repair and replace provisions, in practice they have fewer consumer rights in renting a family home than they do in buying a fridge-freezer. Today’s Bill is a step in the right direction, but it is not yet perfect. Although it will give comfort to renters, it will not tackle their wider problems. The Conservatives have so far turned a blind eye to the pressures that England’s rapidly growing number of private renters are facing. We hope that the new Secretary of State will continue on his course of coming in and changing things that are not right and will work with us to make the Bill work. My hon. Friend the Member for Great Grimsby (Melanie Onn) called for a gold standard for renters and landlords and for us to take the Bill from good to great. I am sure that that is something the Government would support.
