ParlaMint-GB_2018-06-13-commons.u1	1. What progress is being made on the roll-out of universal credit in Wales.
ParlaMint-GB_2018-06-13-commons.u518	The withdrawal Bill is about the United Kingdom having a functioning statute book on the day we leave the EU. Many people in the Wigan and Bolton boroughs that I represent are deeply concerned about the slow pace of progress in exiting the EU and about whether the result of the referendum will even be honoured. They see a continued desire to undermine, frustrate and discredit the referendum process, its outcome and its delivery. In 1975, the British people voted to stay in the Common Market, but over time they saw the European Economic Community morph into the European Community and then the European Union. People see the EU’s diplomatic corps’ development of military structures and its attendance at the G7 summit as moves to create a United States of Europe. People saw that happening and rightly wanted to decide: should we stay or should we go? We gave the decision to the people by a margin of six to one, and we have to respect their decision Contrary to the opinion of those in some places, people did not ditch strongly held remain views because of a few words on the side of a shiny red bus. They decided to vote leave on the basis of decades of lived experience in the EU. People will look back to the EU’s wine lakes and butter mountains; they will look at the failings of the common agricultural and fisheries policies; they will see billions of British pounds exiting the country when that money could be providing vital services here People know that Britain always delivers on international obligations. We pay our full contribution of 0.7% of gross national income towards foreign aid, but Germany manages only 0.41%. Britain meets her NATO obligation by spending 2% of GDP on defence, but Germany spends only 1.2%. Germany fails to meet her international obligations and saves the money for her own people, while the British taxpayer coughs up every penny demanded. People know that the EU’s inability to fix the crisis of youth unemployment in so many EU countries is testimony to its inability to reform and serve the interests of its citizens Some people highlight divisions across the country caused by the referendum result, but then suggest that there should be a second referendum, as though the best of three were a good solution.
ParlaMint-GB_2018-06-13-commons.u519	Will my hon. Friend give way? [Interruption.] I will be very quick, but I wanted to put this on the record. It was a very close vote—48% to 52%—but right now we must achieve the best outcome for everyone. We must not go to the negotiating table with our hands tied.
ParlaMint-GB_2018-06-13-commons.u520	I entirely agree The idea that Parliament ought to engage in a process that could result in a war of attrition until we end up remaining is repellent. The referendum decision was clear, and we need to leave as soon as possible. Let us negotiate the best deal in the time remaining, but let us also recognise that it is in the interests of the EU as much as those of the UK to win a good deal, not least because of the EU’s desperate need for £40 billion of British taxpayers’ money.
ParlaMint-GB_2018-06-13-commons.u521	It is now clear that “no deal” is the worst possible outcome for our country, and the vast majority of Members understand that. The Bill provides an opportunity for the House to stamp its authority on how the Government approach the future negotiations I will be voting for amendment (a) to Lords amendment 51, tabled by my right hon. Friend the Leader of the Opposition, and not for the Lords amendment itself, but I urge the Lords to read the report of this debate and note the range of views expressed by Members who have said that they will support amendment (a). They have also said that they will vote against the Lords amendment, that they will abstain—as I intend to do—or that they will vote for it, but they are aligned on the wording of my right hon. Friend’s amendment I have one simple message for the Lords. I urge them to take heed of that fact, and, when they are deliberating on the Bill, to ensure that any amendment that they send back to this House unites all its Members. We need to unite behind an amendment that will influence the Government, and ensure that they take the right approach in future negotiations.
ParlaMint-GB_2018-06-13-commons.u522	Our choice tonight is clear. Do we deliver the wish of the electorate or the whim of the unelected? My constituents were very clear in the referendum: 70% voted to leave, and all the constituencies in the Potteries voted to leave. Those people want to hear all the Potteries MPs speak up for their decision, to accept their wisdom and to champion the Brexit that they want to see, and it is disappointing that not all of them have done so at every stage of the Bill If there is one message that the referendum sent us, it is surely this: that the traditional working-class communities across the United Kingdom will no longer be ignored. The key reason they voted for me and got rid of my Labour predecessor was to ensure that we delivered on Brexit. We must fulfil that promise and reject amendments tabled in the other place The people of Stoke-on-Trent want Brexit to refresh the parts of Britain that the EU did not effectively reach, and they want a closer policy focus on how local and regional Britain can benefit from a global trading future. That will be possible only if we leave the customs union, which will allow us to pursue our own independent trade policies, making and enhancing our trade links with countries throughout the world. It will cause a crisis of democracy if we fail to deliver the result that people voted for, to get the best out of Brexit from new trade around the world and to reject the Lords amendments It is also critical that we leave the EEA and regain control of our borders. Immigration and ending the free movement of people was a primary reason for people in Stoke-on-Trent voting to leave the EU. They want us to put in place an effective, fair immigration system that will ensure the number of people coming here is at a manageable level that does not put undue pressures on local services, and that those coming here make a meaningful contribution to our country. It is essential that the House rejects amendments that would keep us saddled to the EEA and the continuation of free movement without any control or say. Nothing will lead the electorate to hold Parliament in contempt quite like Parliament holding the electorate in contempt, but that is precisely what the House of Lords is asking us to do. Instead of delivering for the House of Peers, we should be positive about delivering the people’s choice. We must embrace the opportunities that come from taking back control, and, most of all, we must get on with it The people have given us an instruction to leave the European Union. We must stop those trying to frustrate and sabotage Brexit. This House must obey the British people, and so must the House of Lords.
ParlaMint-GB_2018-06-13-commons.u523	The message the public sent to us at the ballot box in June 2016 was clear: we must leave the European Union. But a 52:48 vote was not a vote for an inadequate Canada-style trade deal that does nothing for the services industry or the Irish border, and it certainly was not a vote to send the country over a no-deal cliff edge, tumbling towards the anti-worker, anti-growth, economy-crippling hard Brexit of the Tory right. We cannot risk this Government turning us into a European version of the Cayman Islands That is why I have been arguing for over 18 months for an EEA-based Brexit, in which we would not only retain a very high degree of access to the single market but substantially increase our control over our laws and our borders. EEA countries are not subject to the supremacy of EU law, nor do they fall under the direct jurisdiction of the European Court of Justice. EEA countries can shape legislation through consultation with the EU Commission and have the power to block new single market rules. Moreover, Michel Barnier has made it crystal clear that EEA plus customs union is a perfectly viable and realistic option The EEA agreement also offers the suspension and reform of the free movement of labour. Articles 112 and 113 of the agreement are safeguard clauses that would offer significantly greater control over our borders and labour market. We should compare and contrast that solid treaty-based mechanism with the more open-ended framing of the Labour Front-Bench amendment, which makes no mention at all of free movement. The fact is that when it comes to free movement, our Front-Bench amendment is less clear and less tangible than the EEA option The overarching purpose of the EEA is “to promote a continuous and balanced strengthening of trade and economic relations” That is very different from the overarching purpose of the EU, which is to form an ever closer union. An EEA Brexit would therefore take us back to the origins of the European economic area, an agreement based on mutually beneficial trade rather than on political union If there is one lesson to learn from these Brexit negotiations, it is that the EU operates on the basis of rules, laws, models, treaties and legal precedents. By committing to the EEA, Britain would be joining a set of institutions that for 25 years has helped deliver frictionless trade between the EU and the EEA-EFTA countries, while also protecting those countries’ interests I therefore urge Members on both sides of the House to join me in showing their backing for an EEA-based Brexit that strikes the right balance between prosperity and sovereignty. It is the only form of Brexit that can have a hope of reuniting our deeply divided country.
ParlaMint-GB_2018-06-13-commons.u524	Never in the recent history of this Parliament has the next year been so important to the future of our country, for the simple reason that we are sent here to do two things: to represent our constituents, and 78% of my constituents voted to remain; and to look after the best interests of the country. There is going to be a lot of debate and argument over the next few months about the direction the country will go in, and much debate about the minutiae of the customs union and the single market, but this boils down to what is in the best interests of the country overall.
ParlaMint-GB_2018-06-13-commons.u525	Will the hon. Gentleman give way?
ParlaMint-GB_2018-06-13-commons.u526	I am sorry, I will not give way, because other colleagues want to get in.
ParlaMint-GB_2018-06-13-commons.u527	Somehow, this whole debate has been hijacked by what I believe to be a minority in this House. It is claimed by some people that liberating this country from the European Union’s customs union and single market will lead to a fantastic brave new world in which we are free to strike new deals with China and the US and other markets. However, that claim is presented as a choice between one or the other. Clearly, it is not. The public really are being deceived. For example, all countries in Europe trade with China. The UK already does so. We are not handicapped by being part of the EU in that regard. Quite the opposite: we are strengthened and enabled by it. I should like to present a simple fact in the debate. The UK’s exports to China are one tenth those of Germany. The UK and Germany are both in the EU. The UK’s exports to China are worth $18 billion, while Germany’s are worth $180 billion. Is Germany handicapped in any way? No, it is not. Being a member of the EU does not work against any of us. UK plc needs to prioritise its largest customer, which is surely the EU customs union, and build its markets elsewhere. That is what the CBI says, and Paul Drechsler said this morning that UK manufacturing would be seriously threatened by a hard Brexit and switching to WTO rules. The public expect us in this place to act in their best interests and in the best interests of the economy, of jobs and of businesses. For that reason, we must stay in a customs union and some form of single market.
ParlaMint-GB_2018-06-13-commons.u528	Will the hon. Gentleman give way?
ParlaMint-GB_2018-06-13-commons.u529	I do not have time In recent months, we have seen the storm clouds gather. We have seen faltering growth, rising inflation and major manufacturing job losses. We have seen not only the prospect but the reality of global trade wars. Protectionism is around us everywhere and racism and hate crime are on the rise. There are faint echoes of the 1930s. Now is not the time to desert our neighbours in Europe. That is why I will be voting with my Front Benchers for Lords amendment 51, to keep all the options on the table and to ensure that we achieve the best negotiated outcome for the public, for our businesses and for our economy.
ParlaMint-GB_2018-06-13-commons.u530	I rise to speak in favour of the Labour Front-Bench amendment and the amendments on the customs union. Despite two years having passed since the referendum, the Government are deeply divided and have no plan. Given the lack of clarity and the absence of any policy, it is incumbent on this House to help find a sensible way forward, and I hope colleagues on both sides will support a balanced, sensible approach that includes continued close working with the EU after we have left it While a majority voted to leave, no one in this country voted to be worse off, no one voted for instability in Northern Ireland and no one voted for a shortage of NHS staff. A cliff-edge hard Brexit would be too far for most of those who wanted to leave, as well as for my constituents, a majority of whom voted to remain. After two years of Government indecision and distraction by hard Brexiteers, it is time for a sensible way forward. I urge colleagues across the House to consider the issues carefully and to reflect on the many real concerns about the direction in which we are currently heading.
ParlaMint-GB_2018-06-13-commons.u531	The single market is a law-based structure with a court acting as referee. That is from where its strength derives, and it is a strength that the EU will not weaken by giving full access to countries with divergent regulatory systems or standards. That is why I stand to support Lords amendment 51 and to associate myself with the earlier comments of my hon. Friend the Member for Wirral South (Alison McGovern) about the Labour Front-Bench team and how they have responded to the challenges they face in bringing us together The EEA offers us access to the single market with the greatest flexibility that we are ever going to achieve, and, best of all, it already exists. In two years’ time, we will never be able to set up all the regulatory systems, checks and standards that we need to satisfy the EU that we are a reliable partner in our own right. It is only in this place that we seem to get away with bending the laws of nature or, in this case, common sense to ensure that we can make the argument that that is the case. We will not get the exact same benefits outside of the single market The truth is that the Government are not negotiating with the EU; they are negotiating with themselves and pretending that that has the same consequences. The people on the frontline of the economy are watching, and they are increasingly horrified by what they see. After two years of negotiations, the Government have returned with only one bankable promise: we will get another two years of negotiations. This time, however, we will be outside the EU, trying to negotiate exactly the same benefits that we have just given up. Negotiation is the new normal. There will be an ever-ending set of negotiations that are never going to end. People seem to believe that a set of negotiations will end in March or in two years’ time, but we will have a new set of negotiations every time the single market evolves, and that will open up every single one of the wounds that have been on display here today, not just once, not just for the next two years, but indefinitely.
ParlaMint-GB_2018-06-13-commons.u532	Will the hon. Gentleman give way?
ParlaMint-GB_2018-06-13-commons.u533	I am not going to give way, because the hon. Gentleman has already spoken, but I look forward to debating with him when his constituency fills up with lorries after we leave the single market There is a lot I would like to say about the honest challenges raised by my right hon. Friend the Member for Don Valley. She spoke to us in a respectful way, and I hope that she will see that I and others have been respectful to her and always will be.
ParlaMint-GB_2018-06-13-commons.u534	For the final three-minute speech, I call Conor Burns.
ParlaMint-GB_2018-06-13-commons.u535	I had not intended to speak in this debate today, but after listening to many of the contributions from both sides of the House, I think I must. It is becoming incredibly clear that those who know most about the motivation of those who voted by a decisive margin to leave the European Union are those who voted to stay in the European Union. They are now experts in the desires that motivated people to go out in record numbers to participate in that referendum We are constantly being told what they did not vote to do, and I tell this House today what they did vote to do: they voted to leave the European Union. What we are having is a dress rehearsal for an attempt to reverse the decision they took. The single market and the customs union are the vanguard for keeping Britain in the European Union by the back door.
ParlaMint-GB_2018-06-13-commons.u536	Does my hon. Friend agree that the Prime Minister has been the most consistent one on the reasons why people voted to leave? She has outlined that people want to take back control of their money, borders and laws, with which single market and EEA membership are not compatible.
ParlaMint-GB_2018-06-13-commons.u537	My hon. Friend is absolutely correct. The Prime Minister, in her two key speeches, has made it very clear that she respects the decision the British public took, which is about control of our borders. As my right hon. Friend the Member for Forest of Dean (Mr Harper) said earlier, this is not about being against immigration; it is about being able to deliberately discriminate equally between everyone, from across the world, rather than giving preference to one set of people simply because of where they live. It is about making our own laws again. The Supreme Court on the other side of Parliament Square will again become the supreme court of the United Kingdom, and we will not be subject to the European Court of Justice. And it is about taking back control.
ParlaMint-GB_2018-06-13-commons.u538	Will my hon. Friend give way?
ParlaMint-GB_2018-06-13-commons.u539	I will not give way because we are very short of time It is also about ending the vast payments we make to the EU, for which we are somehow supposed to be grateful because we get a little bit of it back In short, the British public voted to become an independent, self-governing country again. It is incumbent on this House to deliver on that verdict and to reject the Lords amendments, which have only one aim, which is to thwart the democratic will of the British people.
ParlaMint-GB_2018-06-13-commons.u540	rose—
ParlaMint-GB_2018-06-13-commons.u541	There has not been an Opposition wind-up, and I had agreed with colleagues that we would proceed to the votes. It is one thing to have a series of wind-ups, but it is another thing to have one wind-up.
ParlaMint-GB_2018-06-13-commons.u542	I just want to respond briefly.
ParlaMint-GB_2018-06-13-commons.u543	Very well.
ParlaMint-GB_2018-06-13-commons.u544	The right hon. Member for Normanton, Pontefract and Castleford (Yvette Cooper) mentioned the Dubs amendment made by the Lords and, in her absence, I reiterate my assurance that the Government will go away and look at drafting an amendment for their lordships’ House when the matter goes before them. On that basis, I hope she will not press the amendment in her name.
ParlaMint-GB_2018-06-13-commons.u545	On a point of order, Mr Speaker. You will appreciate the importance of these Divisions. You will also be aware from our earlier exchange that the annunciators are not showing them, but do we have the assurance of the House authorities that the Division bells themselves are fully working in all parts of the House?
ParlaMint-GB_2018-06-13-commons.u546	As far as we know, yes. I am sensitive to the difficulties that can arise, and when such situations arise, I use my discretion to ensure that no Member is knowingly disadvantaged. I hope the hon. Gentleman will be reassured by the advice I have received and by the undertaking I have offered Question put, That amendment (a) to Lords amendment 51 be made.
ParlaMint-GB_2018-06-13-commons.u547	I ask the Serjeant at Arms to investigate the delay in the No Lobby.
ParlaMint-GB_2018-06-13-commons.u548	I am sorry to have to trouble the Serjeant at Arms again, but I ask him to investigate the delay in the No Lobby. Members wish to proceed expeditiously with the votes.
ParlaMint-GB_2018-06-13-commons.u549	rose—
ParlaMint-GB_2018-06-13-commons.u550	I am always very obliged to the right hon. Gentleman, but I am taking my own measures at this stage. If I feel I require his assistance I will pray him in aid. He may rest assured that I will always profit from his counsels.
ParlaMint-GB_2018-06-13-commons.u551	We are about to move on to Lords amendment 53, but I have been advised—I am sure the Opposition Chief Whip is listening carefully at this point—that it is the right hon. Gentleman’s birthday today. I am sure he enjoys nothing more than to spend his birthday in multiple Divisions. I wish him a happy birthday Schedule 1 Further provision about exceptions to savings and incorporation Motion made, and Question put, That this House disagrees with Lords amendment 53.—(The Solicitor General.)
ParlaMint-GB_2018-06-13-commons.u552	I call the Minister to move formally that what I believe is correctly described as “amendment little two” to amendment—[Interruption.] For the benefit of those who did not hear, the Minister for Europe and the Americas, the right hon. Member for Rutland and Melton (Sir Alan Duncan), observed from a sedentary position that the two speaks for both of us Government amendment (a) in lieu of Lords amendment 24 proposed. Government amendment (ii) made to Government amendment (a) in lieu of Lords amendment 24. Government amendments (a), as amended, and (b) made in lieu of Lords amendment 24. Lords amendments 32, 6 to 9, 33 to 36, 38, 40 to 42, 159 to 161, 163, 164, 166 to 168, and 170 agreed to. Motion made, and Question put forthwith (Standing Order No. 83H), That a Committee be appointed to draw up Reasons to be assigned to the Lords for disagreeing to their amendments 4, 5, 10, 20, 37, 39, 43, 45, 51, 52, 110, 125 and 128; That Mr Steve Baker, Robert Buckland, Emma Hardy, Jessica Morden, Mark Spencer, Keir Starmer and Jeremy Quin be members of the Committee; That Robert Buckland be the Chair of the Committee; That three be the quorum of the Committee That the Committee do withdraw immediately.—(Paul Maynard.) Question agreed to. Committee to withdraw immediately; reasons to be reported and communicated to the Lords.
ParlaMint-GB_2018-06-13-commons.u553	I am grateful to you, Mr Speaker, for allowing me to present a petition at such a late hour. [Interruption.]
ParlaMint-GB_2018-06-13-commons.u554	Order. This is a most important matter to the hon. Member for North East Hampshire (Mr Jayawardena) and his constituents. I therefore feel sure that Members who are leaving the Chamber will do so quickly and quietly, and that other Members who are present are so present because they wish to attend keenly to what the hon. Gentleman has to say.
ParlaMint-GB_2018-06-13-commons.u555	Thank you, Mr Speaker. I am sure that that is the case. I also thank all those who signed, shared and promoted my petition I believe that, given that the petition has received nearly 2,000 signatures, both online and offline, the Government must recognise the strength of feeling among the silent majority. It is great that the Ministry of Housing, Communities and Local Government is consulting on these matters, and I hope that it will change the law to redress the current position in which—shockingly—we are not all equal under the law The petition states: The Humble Petition of North East Hampshire and the wider United Kingdom, Sheweth, That urgent action must be taken concerning unauthorised traveller encampments, which are a nuisance for local communities and a completely inappropriate use of open space—whether it is highway land, Ministry of Defence land, or otherwise; further that unauthorised encampments weaken community cohesion and cause local authority expenditure on eviction and the clearing up of illegal sites; further that we have discrimination in this country against the silent majority of hardworking, law-abiding residents of communities up and down the land; and further that more must be done to treat unauthorised traveller encampments as a criminal rather than civil matter by strengthening police powers to tackle illegal encampments and protecting them from legal challenge in the exercise of current powers Wherefore your Petitioners pray that your Honourable House urges HM Government to take all possible steps to grant the police additional powers to remove illegal encampments where they are causing a public nuisance as determined by the decision of a principal local Council; further that the ability of travellers to play the planning system is removed by enshrining a presumption against illegal encampments whereby appellants cannot be resident while appealing; further that powers under Section 62A of the Criminal Justice and Public Order Act 1994 be extended to define caravan sites within 25 miles as relevant, in addition to those situated in the area of a local authority within whose area the land is situated; and further that Section 61 of the Criminal Justice and Public Order Act 1994 be amended to remove the conditions in subsection (1)—namely conditions (a) and (b) and the conditions of ‘two or more persons’, ‘reasonable steps have been by or on behalf of the occupier to ask them to leave’—in order to make it an offence for a trespasser to fail to comply with a direction by police to leave land and remove vehicles or property, as in Section 24 of the Housing (Miscellaneous Provisions) Act 2002, an Act of the Parliament of the Republic of Ireland And your Petitioners, as in duty bound, will ever pray, &c [P002152]
ParlaMint-GB_2018-06-13-commons.u556	Thank you, Mr Speaker, for giving the House an opportunity to consider banning imports of foie gras to the United Kingdom. While this has been an historic week in respect of European Union exit legislation, Members will be aware that Brexit also gives us a significant opportunity to enhance animal welfare Foie gras is a product derived from the livers of ducks or geese that have been force fed maize repeatedly by having a metal tube inserted down their throats two or three times a day when they are just 12 weeks old. While production of this so-called delicacy, which is similar to pâté, has been banned in Britain since 2000, the fact that imports of it to the UK are allowed means that the suffering and mistreatment of animals continues. Our country, which imports about 180 to 200 tonnes of foie gras from mainland Europe each year, sadly continues to play a part in this cruel trade I am grateful for the work and diligence of organisations such as Animal Equality, which it was my pleasure to host in Parliament recently. Its campaigning on this issue goes back many years, and its investigative work has uncovered the reality of life before death for animals on foie gras farms, including the suffering that its campaigners have seen for themselves at such facilities in France and Spain The production of foie gras is undertaken in three stages, each more brutal and inhumane than the last. The first stage starts right from when a chick is hatched, when they are fed regularly until they are aged between six and nine weeks. The second stage then sees birds feed-restricted for between three and five weeks. Following that, for the next three to 10 days the birds are fed as much as possible to prepare their bodies for further force-feeding from the time they reach the age of about 12 weeks. The bird’s oesophagus is dilated, digestive secretions that are necessary for large amounts of food are stimulated, and the process of fattening the liver begins. By the end of this second stage, the liver can weigh up to 180 grams, which is more than double that of a duck that is fed naturally The third stage commences when an animal reaches the age of about 12 weeks, at which point the force-feeding starts. This must be endured for a whole fortnight before the bird is slaughtered; indeed, if the process lasted more than two weeks it would likely cause the death of the bird due to liver failure. The force-feeding dramatically increases a bird’s liver size and fat content At the end of force-feeding, a duck’s liver is seven to 10 times the size of a normal one, with an average weight of 550 to 700 grams and a fat content of around 55%. To put that into perspective, the average weight of a non-force-fed bird’s liver is about 75 grams, with a fat content of just about 7%. At the end of this force-feeding, the bird is slaughtered and its oversized, fatty liver is extracted. Given the clear mistreatment of animals that I have outlined, the production of foie gras in the United Kingdom would obviously be illegal, so should we not apply the values of animal protection to imports as well as domestic production? Research has found that in the production of foie gras birds are confined to small cages with so little space that they sometimes cannot turn around. In some cases, dead birds remain in cages with the living. The ducks and geese display obvious respiratory problems, with evidence of trauma and inflammation of the oesophagus, recognised by blood stains on force-feeding tubes. Often ducks bleed incessantly, and some of the weakest are left to die without any basic care Each bird receives up to 200 grams of maize for a so-called meal, powered by a pneumatic or hydraulic pump. In the production of foie gras, this amount can be increased to 450 grams per meal towards the end of the force-feeding stage, rising to 1,000 grams after water is added to make a mash. This is of course much, much more food than they would naturally choose to eat.
ParlaMint-GB_2018-06-13-commons.u557	I spoke to the hon. Gentleman beforehand about foie gras imports. Does he not agree that throughout the world, countries enjoy different delicacies that we may not wish to partake of, and that we have a duty to understand how these delicacies are produced to judge whether we want to try them? The hon. Gentleman has highlighted the details of this particular delicacy in great detail.
ParlaMint-GB_2018-06-13-commons.u558	I am grateful to the hon. Gentleman for his intervention. Indeed, there are traditions and delicacies in many parts of the world, but I do not think that that excuses the inhumane way in which foie gras is produced. It is certainly not part of a mainstream tradition in this country.
ParlaMint-GB_2018-06-13-commons.u559	I am grateful to the hon. Gentleman for giving way and for bringing this debate to the House tonight. He is excellent on animal welfare issues. The decision on foie gras has already been made in this country. We have banned its production here because it is morally unacceptable and cruel, and a YouGov poll has found that 77% of people support an import ban. I think that that figure would be much higher if the rest were to actually listen to what the hon. Gentleman has to say about the immense cruelty involved and if people realised that they were eating a diseased organ. Foie gras is a product of making the animal diseased.
ParlaMint-GB_2018-06-13-commons.u560	I am grateful to the hon. Lady, and I pay tribute to the work she has done on many animal welfare issues. She is right to say that this is a quite disgusting form of production. If more people appreciated the fact that they were eating a diseased organ, I am sure that the percentage of people expressing outrage at foie gras being allowed in this country would be even higher The Animal Welfare Act 2006 provides five points that must be taken into account when focusing on an animal’s needs: its need for a suitable environment; its need for a suitable diet; its need to be able to exhibit normal behaviour patterns; its need to be housed with—or, as appropriate, apart from—other animals; and its need to be protected from pain, suffering, injury and disease. As I have said, we cannot produce foie gras in this country, as to do so would contravene those points, so let us apply those values to what is imported into our country as well.
ParlaMint-GB_2018-06-13-commons.u561	To be honest, I knew that foie gras was a horrid food, but I am finding it quite distressing to hear in graphic detail what happens to these birds. How on earth can we have such double standards in this country? If we understand that it is too morally reprehensible to manufacture it here, how can we continue to import it? Surely, this has to change.
ParlaMint-GB_2018-06-13-commons.u562	My hon. Friend is absolutely right. We are perhaps guilty of a double standard, in that we are sometimes willing to export cruel practices to other countries. The same goes for a lot of fur production as well. It is out of sight and out of mind, but sadly, the cruelty still goes on The Prime Minister was right to say that our exit from the European Union must lead to wider changes in how our country works. From the conversations I have had with my own constituents and the correspondence I have received from them during the various stages of the legislation we have debated over the last two days, it is clear that ensuring that we have enhanced animal welfare provisions after we have left the EU is a priority for many people in Crawley, as it is up and down the country. Those representations are very much in my mind this evening, and as co-chair of the all-party parliamentary group for animal welfare, it is those calls that I will continue to pursue. Indeed, the ability of our country soon to take such decisions ourselves is an opportunity that we really must seize Polling has shown that under 10% of the public claim to consume foie gras and that there is overwhelming support for an import ban, with 77% of those who expressed an opinion supportive of a ban, as the hon. Member for Bristol East (Kerry McCarthy) has just mentioned. I am pleased that the appetite for foie gras is decreasing in this country. Information from the Library shows that the value of UK imports of fatty livers of geese and ducks has fallen by almost half in recent years, from £1.1 million in 2013 to around £600,000 last year. The net mass of the livers that were imported also fell in that time, from some 150,000 kg to just over 100,000 kg. Foie gras is therefore not important to British culture or cuisine The Government’s position has been clear: that we are unable to ban the import of foie gras to the UK while we are a member of the European Union and customs union, due to the free movement of goods obligations. However, by leaving the single market, we will be able to decide for ourselves whether our country should take a different approach. The Farming Minister, my hon. Friend the Member for Camborne and Redruth (George Eustice), stated earlier in the year that “were the UK to commit to continue following the rules of the single market, as proposed by some, it would not be possible to consider a ban on foie gras imports.” Indeed, the Government’s view is that an attempt to impose a unilateral ban on the import or sale of foie gras while we are still an EU member could be legally challenged as contravening provisions of the treaty on the functioning of the European Union. This country could then be referred to the Court of Justice of the European Union and face multiple damage claims from importers, exporters and other foie gras traders.
ParlaMint-GB_2018-06-13-commons.u563	The hon. Gentleman refers to the fact that many people are voting with their feet by choosing not to eat foie gras. Does he agree that better education of the wider public would lead to fewer people eating foie gras once they learned of the disgusting practice of how the livers are obtained?
ParlaMint-GB_2018-06-13-commons.u564	The hon. Gentleman is right. Awareness is important on such issues, and it is one of the reasons behind this evening’s debate and behind the efforts to ensure that people are perhaps not disgusted, but definitely better informed about foie gras production.
ParlaMint-GB_2018-06-13-commons.u565	Is it not an irony that “faux gras” is available? Many chefs say that it tastes exactly the same as foie gras, yet the animals are brought up humanely and killed humanely. There really is no excuse for the import of foie gras.
ParlaMint-GB_2018-06-13-commons.u566	My hon. Friend is right. Many alternatives to products that are produced cruelly, such as fur, are coming on stream all the time I welcome the Government undertaking significant reforms in the field of animal welfare. Taking pride in our natural surroundings, enhancing the environment and ensuring suitable conditions for animals are things in which we all have an interest. I welcome the action being taken by the Minister and his departmental colleagues, particularly the Secretary of State, as well as the leadership shown on the global stage by my right hon. Friend the Prime Minister. An example of that is the ban on ivory sales, which was announced to help protect elephants, of which approximately 20,000 are slaughtered each year. Indeed, I have the honour of sitting on the Ivory Bill Committee this week and next The Government recently undertook a public consultation on banning live animal exports after we have left the European Union. While the Department for Environment, Food and Rural Affairs is currently considering the responses, I hope that the Minister will ensure that both his and the Secretary of State’s determination to ensure that animal protections are enhanced on Brexit will be reflected in policy developments. The draft Animal Welfare (Sentencing and Recognition of Sentience) Bill sets out that the Government “must have regard to the welfare needs of animals as sentient beings in formulating and implementing government policy.” That reiterates that animals are sentient beings that feel pain and suffering, and I welcome the fact that that principle will be written into UK law. Perhaps the Minister will update the House about when that legislation may come before us On CCTV in slaughterhouses, colleagues on both sides of the House will welcome the Government’s work to make such equipment mandatory in England following the uncovering of how some animals have been mistreated in abattoirs before slaughter. In February 2015, I led an Adjournment debate in the Chamber calling on the Government to take action, and I now urge Ministers to replicate the zeal with which they acted on that to ensure measures are taken in a timely manner to end foie gras imports to this nation, which I believe is still a nation of animal lovers I am grateful to the many organisations and institutions that have banned the sale of foie gras. The UK Parliament, the BAFTAs, the BRIT awards, the Wimbledon tennis championships—I am sure that will please Mr Speaker— and Lord’s cricket ground have all stopped selling foie gras, as have caterers such as Compass Group and Brakes and retailers including Selfridges and Harvey Nichols here in London. Hotels, restaurants and many chefs across the country continue to take a stand. Indeed, His Royal Highness the Prince of Wales has banned foie gras from the menus at royal events We know the treatment of animals with methods such as those used to produce foie gras is wrong. The methods were outlawed, as we have been discussing, almost two decades ago in this country, but by permitting imports of this product we are still helping the trade in this cruel practice to continue, even though we may not wish it to When securing our animal welfare protections for after we leave the EU, I hope that the Minister will take into account the points that have been raised by many hon. Members this evening. In the months and years ahead, as Brexit takes effect, we will have the ability to introduce a ban on imports of foie gras, which will sit alongside the decision this country took to ban its production domestically. I welcome the Government’s continued work to protect and enhance animal welfare standards, and I urge the introduction of a ban Foie gras is cruel to produce, unhealthy to eat and expensive to purchase. The ultimate cost, though, is paid by the ducks and geese that suffer so greatly before their slaughter. It is time we banned this outdated practice.
