ParlaMint-GB_2018-10-10-commons.u1	1. What recent assessment she has made of the humanitarian situation in Yemen.
ParlaMint-GB_2018-10-10-commons.u366	I am a farmer’s wife and I represent Sleaford and North Hykeham, a beautiful area of rural Lincolnshire for which this Agriculture Bill is particularly important. Farmers care about the environment. They do so because they derive income from the land to support their family, and they will need to care for the land if they are to continue to work on it successfully. More than that, however, farmers love their land, they love wildlife and they love producing food. Some 96% of farms are family farms, in which one generation is merely the custodian of land that many hope future generations of their family will enjoy I welcome the direction of travel in the Bill, which will fairly reward the public good that farmers do, not just to mitigate any loss of revenue but in recognition of the benefits that we all derive from their care of the land. Those benefits include clean air and water, high-quality soil, a biodiverse habitat, a beautiful rural environment and much more I welcome the contractual nature of the new schemes and the Secretary of State’s assurance that they will be of a longer duration—five to 10 years—which will give certainty of income to farmers and duration of benefit to all. I have met the Secretary of State to discuss this in recent months, and I also welcome the widening of the GCA’s remit to include more areas of the farming sector The number and variety of public goods that the Secretary of State has identified is great, and I know that my constituents will look forward to benefiting from them all. However, even if the schemes are, as been said, simpler, with number and variety comes complexity for the farmer. Which scheme should they choose? For the larger farmer, who has an office full of specialists to weigh the pros and cons of each scheme, the decision will be straightforward, but for the parent and child combinations who run so many of our country’s farms, it will not be so easy. It will also be easier for a larger farmer to add a new footpath without it going past their kitchen window. It will be easier for them to identify areas of poor or marginal land to turn over to environmental schemes. I therefore ask the Secretary of State what will be done to guide farmers about which schemes they should use and what assessment he has made of how the money is likely to be distributed between large and small farms The transition period from the CAP to the new scheme has been set at seven years, and it will start in 2021, giving farmers nine years to adjust. I welcome the fact that the Secretary of State has listened to farmers’ concerns about the pace of change at a time of uncertainty caused by Brexit Finally, as a paediatrician, I am concerned about our diet and the health of our nation. Some 22% of five-year-olds and more than a third of 11-year-olds are overweight or obese. Food production is part of the definition of agriculture, and although I welcome the definition of productivity as a public good, I would be grateful if the Minister elaborated on how the Bill will secure the availability of high-quality food for my constituents. If that is to happen, food production must be profitable. How does the Minister intend to ensure that when farmers have the choice to use a given parcel of land for an environmental scheme, there is enough incentive for them to do so—but not so much that there is no longer any incentive to farm, reducing the availability of home-grown produce Overall, I welcome the Bill. I look forward to supporting its Second Reading this evening and further scrutinising the detail in Committee.
ParlaMint-GB_2018-10-10-commons.u367	I have listened to much of the debate, and have heard a great many contributions from Members on both sides of the House—but particularly on this side—who are farmers or farmers’ wives, and who have a history of farming in this country. Unfortunately, I have none of those qualifications. What I do have, though, are some constituents who are farmers and who care deeply about the countryside and the environment. They have spent much time with me talking about the issues that they face and about the Bill, particularly over the last couple of weeks. Let me take this opportunity to mention a few of them: Ed Phillips, Tom Williams, Will Dickinson, Stuart Roberts, Jamie Burrows, Richard Pleydell-Bouverie, Paul Cherry and Ian Piggott. They, among many others, have helped me to understand how the good things in the Bill will help them in their lives as farmers over the years to come As I see it, there are two major aspects of the Bill for farmers and for farming in the countryside. The first is the way in which we farm, and, in particular, how we manage our land environmentally so that it continues for our children, our grandchildren, and our grandchildren’s children. We must remember that we need to enable our farmers to compete better in a domestic and international market. They have struggled at times, and continue to do so. The Bill does a lot in both those respects Clause 1(2) makes clear that the Government will be able to improve the productivity of individual farmers by allowing them to invest in equipment so that they can farm as effectively as possible. The Bill will also facilitate better, more efficient and more transparent supply chains, and that too will help our farmers to engage in the market. Moreover—I do not think that this has been mentioned so far, but perhaps I missed it—the Bill will encourage collaboration among growers, to ensure that we are not subject to certain competition-law restrictions to which we are currently subject under the common agricultural policy. It will help farmers to have a stronger voice in the market, and will help to deal with the problems and distortions in the market that are generated by supermarkets and others We have heard a great deal in the debate so far about the way in which we farm and manage our land. That, as well as ensuring that our farmers can compete, is the thrust of the Bill. We often hear about hard Brexit, soft Brexit, Chequers, “chuck Chequers” and a no-deal Brexit, but the Bill gives us a green Brexit. That is a fundamental move that constitutes a real, positive change of direction. Not only farmers or inhabitants of the countryside in my constituency or anywhere else, but everyone in the country can be proud of that, and I commend the Minister and the Secretary of State for their work. The Bill rewards farmers for improving air and water quality, soil health, animal welfare standards and flood prevention. There are all sorts of respects in which it, and public money, will improve how we manage our land, and I think we can all commend that However, I urge the Minister and the Secretary of State also to keep in mind that, once the Bill is—hopefully—passed and we proceed to secondary legislation, our farmers will want to know that the Government care deeply about food production. I hope that they will continue to make clear the ways in which we care about it. I know that everyone in the House cares about it, but we need to ensure that our farmers understand that, and help them to understand how the Bill will aid their production. I also urge the Government to explain further their strategic objectives for the national security of food and water, and also to bear in mind that our farmers need to compete with producers throughout the world, often in places without our commitment to high environmental standards Overall, this is a good Bill. It will lead to a green Brexit, and we will have great British farms and countryside for generations to come.
ParlaMint-GB_2018-10-10-commons.u368	Order. To accommodate all Members wishing to speak, after the next speech I will reduce the time limit to four minutes.
ParlaMint-GB_2018-10-10-commons.u369	Thank you, Madam Deputy Speaker; I will give you that fiver later The outcome of the referendum presented us with the opportunity to sculpt for the first time in many decades our own bespoke agricultural policy, and the Department has been absolutely right to build a consensus of interest, ranging from farmers and landowners to environmental groups and other non-governmental organisations; that is absolutely pivotal. I do want to echo, however, a theme that has run through many speeches by Members on my side of the House: there is an anxiety among many farmers—particularly in my constituency, which was aptly named by Thomas Hardy as “the vale of the little dairies”, covering quite a lot of the Blackmore vale in north Dorset—that in an attempt to bring the environmental groups onside, some of the key, principal purposes of UK agriculture have been slightly underplayed There is an anxiety that sitting somewhere within this Bill is an idea to create, through some form of environmental public good subsidy, effectively our largest open air non-working museum, where redundant farmers will wear pastiche smocks, lean over gates, chew wheat stalks and talk to people while sipping on a glass of cider, fitting in some form of agricultural production in the few acres that we allow them after they have done all these mad rewilding schemes and other bits and bobs As others have mentioned, we also need to educate about the importance of agriculture and what it does to our economy, water, air quality and tourism. We live in an increasingly urbanised country with a very urban-centric media, and we should be trying to find ways through to a new agricultural support scheme of rewarding farmers who open their gates and bring people in, teaching schools and others about the importance of farming We must have up front and centre at the heart of the Bill food production and security; I make no apology to the Minister for repeating that. I am inclined to think that in the Secretary of State’s Oxford conference speech of January he thought food production was such an obvious aspect of agriculture that he did not mention it and instead talked about all the other environmental things. I view that as an oversight, but our farmers need to be reassured at every step and turn that food production is important. It is important for all the good things it does, and for the contribution it makes to our economy To those who say that food production does not matter and that we can make up the gap in domestic production through cheaper imports, which could be some sort of domestic Brexit dividend, let me point out this: those cheaper imports, potentially raised at lower standards, will only be cheap while there is a viable domestic production sector that introduces market competition. If we kill that off, then—hey presto!—the prices will go up, and will be likely to go up higher to compensate for the greater discount introduced to kill off the domestic production Food production is absolutely imperative, and there is no disconnect between food production and environmental farming; the two are now intensely interwoven. In all of my meetings with my farmers and the NFU, I have yet to find one—irrespective of age, I say with respect to my right hon. Friend the Member for Newbury (Richard Benyon)—who wants to go back to some pre-European system where we could grub up the hedgerows and put slurry in the watercourses and so forth Let me close by saying to the Minister that the mechanism for financial support to agriculture, whatever that system is, needs to be clear, simple, speedy and robust. Moreover, it needs to be regional and bespoke to address the varying types of agriculture that we have in this country. It should also provide stability, to allow investment and to put it beyond political tinkering as and when there is a change of Government. Our agricultural farmers need the certainty that the regime in place is beyond political tinkering. I note that I have the support of the shadow junior Minister, the hon. Member for Stroud (Dr Drew), on that, which I welcome.
ParlaMint-GB_2018-10-10-commons.u370	It is a pleasure to follow my hon. Friend the Member for North Dorset (Simon Hoare). The concerns that he has expressed on behalf of his farmers about productivity and food production are echoed in my constituency. Eddisbury’s highly productive lowland farming land is responsible for producing about 3% of the UK’s dairy products, and the chances are that hon. Members will have used milk from Eddisbury in their coffee at some point this year. Indeed, they might well have woken up to a breakfast glass of milk from Eddisbury My hon. Friend the Member for Hitchin and Harpenden (Bim Afolami) talked about a green Brexit, but I would argue that that that underplays the role of past Ministers and Secretaries of State. The UK has had a strong influence on previous common agricultural policies, and we have seen the EU moving towards a greater focus on the delivery of environmental goods and services—sometimes called ecosystem services. It is good to see the UK Government continuing in that direction of travel, but not at the cost of productivity and hopefully not at the cost of innovation in the farming sector What concerns my farmers, particularly after this summer’s experience, is market volatility and market failure. We had some of the toughest weather conditions, with a sustained period of drought. This meant that my farmers were having to feed their winter fodder to their cattle during the summer. It took a long time, but I am grateful to the Secretary of State for negotiating a derogation with the European Union in relation to field-side margins. I ask the Minister to ensure that we use the fact that we have left the common agricultural policy to ensure that we have that flexibility and fleetness of foot when there is market failure or volatility—particularly when it is caused by extreme weather events, which we are likely to see more and more due to climate change. For example, my local farmers have suggested that the hay and wild flowers growing on field-side margins that have been designated as set-aside land could be cut and used or sold for forage, thereby reducing some of the real pressures that farmers in my constituency have felt The second thing that farmers in Eddisbury are concerned about is fair prices. We have all heard about mineral water in supermarkets being more expensive than a pint of milk. British farmers make fantastic produce, but they want to be paid a fair price for it. I welcome the proposals in the Bill for an obligation to promote a fair contractual relationship between farmers and the first purchasers of their products. That is a really important matter for my constituents. Finally, others have mentioned workforce planning: it is really important that we have a workforce that can help to manage those farms and take their success into the future.
ParlaMint-GB_2018-10-10-commons.u371	I am delighted to speak in the debate, and I broadly welcome the Bill. The sheer number of Members who have participated means that there will be a lot of scrutiny, which is of course a good thing. As an Essex MP, I have the privilege of representing a part of the country with some brilliant food producers and farmers, and some fine landscapes and environmental features. The Secretary of State will recall from his visit to Tiptree just last month, where he was hosted by Wilkin & Sons, the finest producer of jams and preserves in the world—I think he enjoyed some when he was there —that farmers across the country will judge the success of this legislation on how it enables the right kind of stewardship, not just for food and farming, but for agricultural policy going forward One of the biggest advantages of leaving the EU should be that we will have the freedom to establish our own regulatory frameworks for agriculture, food and farming. This is an enabling Bill, with much legislation to follow, but I welcome the Government’s commitment to ensure that every possible approach, regulation and detail both supports and promotes our farmers as well as UK agriculture, food and produce. We have the benefit of enjoying much of that produce domestically, but we also know that our farmers and those who work in the agricultural sector want to do much more to export globally and showcase their products internationally. We now have a fantastic opportunity to demonstrate that we are great producers and are ambitious to export more, so I would welcome a commitment from Ministers that there will be a strong focus on exporting and that we will do everything possible through this Bill to back exporters Farmers in my constituency often find themselves dealing with the costs of rearing animals to welfare standards that are higher than those in the rest of the European Union. As we have heard today, our EU membership has prevented us from blocking imports when they fail to meet our high standards, but we can now address such concerns. For example, while pig farmers in my constituency adhere to the ban on sow stalls, they know that producers in other EU countries are flouting the rules. We should get on the side of our pig farmers and bat for them on the challenges that they face. Farmers want assurances that our post-Brexit agricultural policy will not place them at a competitive disadvantage when there are lower standards across the EU I welcome this important Bill for so many reasons, and we now have the chance to back our farmers and to support them on animal health, welfare standards, high-quality food production and the all-important public goods that we have heard about in today’s great debate. The Bill is vital, just as it is vital, while the negotiations with the EU are ongoing, that the Government protect our agricultural sector, our farmers and our producers. We need to challenge some of the controls from Brussels that the Secretary of State mentioned earlier on.
ParlaMint-GB_2018-10-10-commons.u372	I am grateful to the right hon. Lady for concluding her outstanding oration.
ParlaMint-GB_2018-10-10-commons.u373	Several right hon. and hon. Members have mentioned that this is the first time in over 40 years that our UK Parliament has discussed and debated UK agricultural policy. For us younger Members, it is the first time in our lifetime that this Parliament has been able to discuss such matters, which I welcome greatly. As someone who, from leaving agricultural college to being elected, had not just a job in farming but a passion for farming, this legislation is important to me That passion has continued in my time as the Member of Parliament for Moray, which is a rich agricultural community. Farmers from Glenlivet to Garmouth, and from Keith to Kintessack, are extremely positive about several of the Bill’s elements, because there is a great deal to be positive about. However, what we have unfortunately heard from SNP Members throughout the debate has been doom and gloom. We heard from the hon. Member for Edinburgh North and Leith (Deidre Brock) for 20 minutes, and I would have liked her to have spoken for longer, because we heard absolutely nothing about a SNP vision for Scottish agriculture—[Interruption.] I will come to their holding up of bits of paper in a moment All we got from the hon. Lady was petty political point scoring and absolutely no answers for Scottish farmers, who are looking for Scottish MPs to come down to Westminster to stand up for farming. I believe that they are getting that from Scottish Conservative Members, and I think they got that from the hon. Member for Caithness, Sutherland and Easter Ross (Jamie Stone) in his earlier intervention, but from SNP Members they got nothing but criticism. The SNP highlighted the omissions from the Bill and the failures regarding briefings, but there was nothing about what the SNP would do for agriculture in Scotland I really do wish that the hon. Member for Edinburgh North and Leith had spoken for a bit longer, because that would have given us more than just her holding up documents, saying that the Scottish Government are consulting. In reality, there is a vacuum in policy from this tired SNP Scottish Government. They do not have the answers. Our Scottish farmers and my Moray farmers deserve better I urge the SNP Members here—all three of them—to join us and start working together to set things right. Give Scottish farmers the guarantee of inclusion in the Bill while Nicola Sturgeon and her Ministers work on their own long-overdue proposals. The NFUS made it clear in its briefing for the debate that another schedule should be inserted in the Bill. Local farmers in Moray and farmers across Scotland are greatly disappointed that the SNP would rather play party politics than get around the table, work with Ministers and accept the offer that was accepted by the Welsh Government It is becoming more and more evident to Scottish farmers and rural Scotland in general that it is the Scottish Conservatives, not the Scottish National party, who are truly standing up for their interests. That has been clear in today’s debate. I am sorry that the hon. Member for Edinburgh North and Leith thinks that farming is a matter for her to laugh at. It is a serious matter for our constituents, and that is why so many of us are here today, trying to ensure that this important Bill is passed. I am sure it will be improved as it goes through Parliament. It is unfortunate that, time after time, the SNP simply wants to talk down what we do in Westminster, rather than talking it up and working for our farmers, who deserve more than they are getting from the SNP.
ParlaMint-GB_2018-10-10-commons.u374	I welcome the introduction of the Bill by the UK Government, as do many farmers in my constituency, as well as NFU Scotland and Scottish Land & Estates, to name just a couple of organisations. As we come to the final stages of leaving the EU, the Bill offers security and a framework alongside guaranteed continued payments until 2022. I also welcome the Secretary of State’s commitment to, and action on, ensuring that the United Kingdom maintains the highest possible food and livestock welfare standards, as well as his commitments to public money for public goods, and financial assistance for “the purpose of starting, or improving the productivity of, an agricultural, horticultural or forestry activity.” The opportunities contained in the Bill are the reason why it has been so warmly welcomed in my constituency and throughout the United Kingdom, with both Wales and Northern Ireland—unencumbered by nationalist Administrations—accepting the Government’s offer to be included. Scotland can only rely on the SNP Administration in Edinburgh to be strong for nationalism, with not one single provision for agriculture included in their recent programme for government To be fair, the SNP has launched a consultation on the matter—the hon. Member for Edinburgh North and Leith (Deidre Brock) held it up earlier—and I have read it. Almost all of it is just a restatement of current EU policy, with no new policy recommended, but if one reads between the lines and follows the pointed questions, one finds a lot in the consultation that agrees with the Bill. Look at some of the sections on greening, for example—questions 5, 6 and 7 talk about more productive farming, tackling climate change and improving the greening of agriculture in Scotland. Much of that is included in the Bill. I also agree with some of the consultation points—again, these are included in the Bill —about specific support for rural communities and economies. Both the consultation and the Bill are about establishing frameworks The briefing from the NFUS is clear: it wants Scotland included in the Bill. It wants a schedule similar to the one for Wales, with associated provisions that protect devolved Ministers’ powers to adjust for devolved policy areas while preserving the UK market. The NFUS is not alone: Scottish Land & Estates, the SRUC Scotland’s Rural College, the Countryside Alliance and many of my local farmers share that view. All afternoon, we have heard from Members from England, Wales and Scotland about how their upland farmers face challenges and how they have less favoured areas, just as we do. So we should be working together in this House to find the areas that we have in common, work on common policy and have a Bill that works for the entire UK. I think we can do it if we just try Finally, I also want to talk about young farmers and what we are doing to encourage young people into the agricultural sector. The Bill includes measures to support farmers who are planning to leave or retire from the industry, and I hope that it will also help with the transition to a new generation of farmers, through supportive grants and loans for younger people to come into farming. That should be included in the final draft of the Bill. As well as the financial incentives for younger people, there should also be incentives to encourage investment in new equipment and in innovation in agriculture.
ParlaMint-GB_2018-10-10-commons.u375	Does the hon. Gentleman realise that until very recently Scotland was the only part of the UK that had a scheme, under the CAP, to support new or young entrants? We have supported more than 1,000 new and young entrants since 2015, which surely shows why we need to keep our powers over funding and policy in Scotland.
ParlaMint-GB_2018-10-10-commons.u376	That shows the gross misunderstanding here. I am not saying anything against that; I am saying that in this Bill we should encourage young farmers and work together. Why have SNP Members not put this forward? Why have they not put a schedule forward? It is because they do not believe in the United Kingdom and in Scottish farming. They just believe in nationalism and the break-up of the United Kingdom. The different parts of the UK do face different challenges in agriculture, but there are also many, many similarities. As the Bill progresses, I hope that Members from across the UK can focus on the commonalities between the different parts of the UK so that we produce a Bill that delivers for our farmers and our rural communities.
ParlaMint-GB_2018-10-10-commons.u377	It is a great pleasure to follow my hon. Friend the Member for Ochil and South Perthshire (Luke Graham), who made a spirited and punchy speech that I enjoyed listening to. It is also a great honour to speak in this debate, because the last time this House considered an agriculture Bill was in 1947, when Albert Stubbs, my great grandfather, who was the Cambridgeshire Member, spoke on Third Reading. He would entirely agree with the hon. Member for Workington (Sue Hayman) in saying that that Bill was very good. He was much respected, and is to this day, for the work he did for the agricultural workers of Cambridgeshire Much has changed since that day—the House of Commons is no longer sitting in the other place—but some things have not changed. The value of farming to the UK most certainly has not. It provides national self-sufficiency, a safe supply of domestic food and jobs. It also provides a high standard of welfare and environmental protection—much more so now because of the progress we have made. Much will change in the years ahead, and there are many benefits from our leaving the CAP. As is made clear from talking to the farmers of West Oxfordshire, the policy is wasteful, inefficient and environmentally damaging. It is also economically damaging, given the artificial increases in the price of food that it causes. The policy favours large landowners over small ones, and the large companies over the families, with the top 10% of recipients receiving almost 50% of CAP payments and the bottom 20% receiving just 2%. So there is a great deal to be gained from the Bill, which I warmly welcome. I am glad the Government have introduced it I have met my local farmers and my local NFU branch. They have raised some concerns, which I know Ministers are listening to. There are concerns about the amount of burdensome regulation and red tape, and about fair pricing and the powers of supermarkets. Above all, they would like a feeling that their high standards and the quality products they are producing are valued and respected by the Government and by Britain as a whole. I reassure them that that is very much the case, and I am sure that Ministers will do so in due course, too. My local farmers do ask that there is a focus on linking all the public goods we are discussing in connection with the Bill to agricultural products and food production, and that that is seen as a good in its own right. I warmly recognise and welcome many of the public goods set out in the Bill. I am particularly enthusiastic about the fundamental change whereby instead of pricing and subsidy being granted simply on the basis of the size of land, a public good is attached. EU subsidies currently encourage poor land management. Under the CAP, for example, farmers lose direct payments if they plant trees on their land, because it means that they are taking land out of agricultural production, so environmental factors are not given the pre-eminence that I, and we, would like It is quite right that only viable farms will be able to devote the necessary time and resource for this. As the Secretary of State said, farmers will be able to go green only if they are not in the red. I would very much like to see West Oxfordshire farmers who are light years ahead of the rest of the country in terms of combining food production and environmental protection having a system that means that those goods are recommended and valued, with small farms able to succeed in the same way as large ones There are many more things that I would like to say but, at this stage, I will just warmly welcome the Bill. This is our first major domestic policy on agriculture for well over half a century. It gives us a challenge to set forward a bold and ambitious vision, which I warmly welcome.
ParlaMint-GB_2018-10-10-commons.u378	It is a great pleasure to follow the fantastic speech of my hon. Friend the Member for Witney (Robert Courts) and to have the opportunity to pay tribute to the farmers of South Suffolk who produce such good quality food and who are responsible for the stewardship of our beautiful countryside, which is the key to the quality of life in my constituency and which is shared by my constituents and those who visit from other parts of the country In supporting this Bill, I want to stress two key principles. The first and most important is simply this: for all the faults of the current system, our farmers are still able to produce great food and they produce it under that system. Ever since the debate started on how we should follow the CAP once we leave the European Union, I have said that whatever system comes into place, it should not come into place until it is ready and until it is better. I very much welcome a long transition; it is common sense and very much welcomed by our farmers—certainly the ones to whom I have spoken There is another key principle. Like many of my colleagues, I favour schemes that support public goods and environmental schemes, but they must not be at the expense of food production or food security. That point has been made by many of my colleagues For the rest of my speech, I want to follow in the footsteps of my right hon. Friend the Member for North Shropshire (Mr Paterson) who went off to the Swiss alps to discuss the model in use there. Switzerland is very important in all of this, because it has moved towards a system based on public goods. There are two particular points that I want to stress here. Earlier in the debate, my right hon. Friend the Member for Wokingham (John Redwood) intervened on the hon. Member for Workington (Sue Hayman) who speaks for the Opposition and asked why she thought that food imports had risen. She declined to answer, so I then intervened and suggested that it may be related to changing consumer taste. It is interesting to note that on 23 September the Swiss held a national referendum on food sovereignty. The proposal was to adopt new, highly interventionist measures to restrict imports and so encourage more local food. In the end, against expectations, 60% voted no. That was because they were scared of higher prices and less choice After I made that intervention, I had a tweet from Jeremy Squirrell, a farmer in my constituency, who farms in Wattisham. He said, “Should we expect advocados all year round?” [Interruption.] The hon. Member for Stroud (Dr Drew) says, “No”. There is a debate to be had about air miles and so on, but the fact is our consumers do expect that choice, so we have to balance that against farm support The most important point in relation to Switzerland is on the issue on which I have had the most correspondence from constituents, which is, of course, trade deals. I have had many emails urging me not to support cutting our standards to get a trade deal. The Secretary of State said at the start of this debate that that will certainly be our position, but the key thing is that we do not need to speculate. When people say that if we accept the common rulebook we will not be able to get good trade deals, we do not need to speculate. Switzerland is effectively in the common rulebook on agri-food and goods and outside the customs union, and all the evidence shows that it negotiates very effective trade deals. In an email, I said to George Baur, assistant Secretary General of EFTA, “Do those rules limit the ability to get good fair trade deals, given that they are maintaining the standards for their farmers?” There is no evidence that they do. In fact, the most recent deal with Mexico increased trade with Switzerland by 37%. I simply say that when we seek to increase the competitiveness of our farmers, it must be on quality, not on low cost. We must produce the best food from the best farmers to the highest standards. That is the future for British farming and that is the one that I support today.
ParlaMint-GB_2018-10-10-commons.u379	No Government want any Bill to become a Christmas tree on which Back Benchers hang their hobby-horses, but if any Bill should have something to do with trees or horses, it is the Agriculture Bill. With that in mind, I will talk about three public goods that are currently part of the Bill, but not key parts The first matter that I want to discuss is flooding. My constituency is the most likely to flood in the country, according to the Association of British Insurers. It is also home to some of the most fertile land in the country, precisely because that land is reclaimed from the sea. Boston and Skegness is the breadbasket of Britain, and when this Bill talks of public good we should bear it in mind that the greatest public good performed by agriculture in my constituency is flood defence. By maintaining defences, farmers operate businesses that provide livelihoods for thousands and food—genuinely in the case of my constituency—for millions. They should be rewarded for that, and the Environment Agency, the internal drainage boards and Natural England should be encouraged through this Bill to work in ever closer union, to coin a phrase, with the interests of farmers and farming so that flood defences can be secured. By the way, I hope this Bill can be used as a vehicle to bring the Rivers Authorities and Land Drainage Bill of my hon. Friend the Member for Somerton and Frome (David Warburton) to the statute book As we leave the EU, we should seize the opportunity to adopt new standards that allow farmers to behave in a way that is even better for productivity, wildlife and jobs. For example, in a constituency such as mine there is great discussion about borrow pits and drainage. We are not currently able even to consider what that means for local farming because of EU law. Leaving the EU allows us to have that conversation in a new way. This is not an argument for lowering the standards; it is an argument for seeing whether there are better and equivalent ways of doing things The second matter is productivity. My constituency, working with the nearby University of Lincoln, is home to some of the most advanced experiments in the automation of farming in the world. Silicon Valley has come to Lincolnshire to ask how it should be done. What greater public good is there than fast-forwarding that process? Innovation will allow more of my constituents to move into higher-skilled work and it should be encouraged through the Bill. There is a public good in flood defence and in fostering innovation Thirdly and finally, I want to mention the workforce. The Migration Advisory Committee has said that we should have a seasonal workers scheme, and I applaud that. Seasonal workers have made a profound difference to Boston and Skegness in both good and less good ways. I applaud the proposed introduction of a new scheme in a new immigration policy, partly because it is vital to the local economy. However, in that context, the public good is also in ensuring that workers who come to this country temporarily are properly housed and integrated into local communities. The Bill and its relationship with immigration and seasonal work can play a part in that, and I encourage the Secretary of State to look at that suggestion I thoroughly support the Bill, and I hope that the Government will show that it is an opportunity to back farmers and farming very publicly, but also to back flood defence, a responsible migration policy and innovation—in short, to seize every opportunity associated with agriculture, as well as agriculture itself.
ParlaMint-GB_2018-10-10-commons.u380	I welcome and support Second Reading of this important Bill. As someone who comes from a long line of people who worked on the land—mainly ploughmen—I am very grateful to witness and be part of this historic and significant moment as, for the first time in decades, the House of Commons legislates in this vital area. I congratulate and thank the farmers of the United Kingdom for the excellent produce that they provide for us on our dinner tables, and for the social good that was described by my hon. Friend the Member for Boston and Skegness (Matt Warman) from which we resultantly benefit In my short remarks, I will focus on things that are missing from the Bill. The first thing that is missing is a schedule relating to Scotland. I am afraid that that is down to the intransigence and the wrecking tendency of the SNP. There is no way of escaping that conclusion. While the SNP protests its concern for Scotland’s farmers, what we have in Scotland is a policy vacuum on agriculture. Witness the spectacle of the past few days in Glasgow at the SNP conference—not one mention of agriculture in the speech by the leader of the party and, by the way, no mention of an agriculture Bill in the SNP Government’s programme for government, which has produced very little legislation What we get from the SNP are carefully constructed, artificial areas for conflict so that it can progress the only agenda that matters to it—the break-up of the United Kingdom. What we see in that intransigence is simply another tactic in its campaign to bring about the tearing up of this wonderful, 300-year-old-plus, successful Union between England and Scotland I shall mention the other things that are missing from the Bill very quickly, as time is running out. First, I would ask the Secretary of State to include in the Bill—my friends and I will seek to include it somehow—the issue of the red-meat levy. Members will be aware that quite often the levy is imposed at the point of slaughter of cattle, sheep and pigs. It is a devolved matter, with revenues collected by Scotland, England, Wales and Northern Ireland. To cut a long story short, a lot of the cattle, sheep and pigs that are raised in Scotland are shipped across the border to England where they are slaughtered, so there is a sum of money that should go back to Scottish industry for the promotion of Scotch beef and lamb. I urge the Secretary of State to make provision for that simple change in the Bill, as it would require primary legislation. It is worth about £1.5 million for the promotion of Scotch beef and lamb The other thing that is missing at the moment are detailed terms of reference for the promised review of convergence payments. My friends and I wish those terms of reference to become known. Perhaps the Secretary of State can make that clear, so that we understand the pathway on timelines and so on. The result of such a review would set a baseline for the allocation of resources to Scottish farming. As my hon. Friends have said, we absolutely believe in and are defending the principle of devolution in the path that we are taking. Finally, there is a crying need for UK frameworks. That is what the industry wants, and that is what we should get on with delivering.
ParlaMint-GB_2018-10-10-commons.u381	It is a great pleasure to be the last to bring in the harvest of contributions on the Bill I wish to put on record my interest in the Register of Members’ Financial Interests and my chairmanship of the all-party parliamentary group for bees and pollinators. I have an interest not only in the production of food but in enhancing and sustaining the built environment around us and in habitat protection. I, too, wish to associate myself with calls for more references to food production and food security in the Bill. Of course, I encourage financial assistance for environmental good, but I am concerned that there is not enough reference to food production in the Bill The amount of food that the UK produces has fallen from 100% to about 60% in the past 50 years. We should encourage farmers to produce even more food to ensure that we have food security in an uncertain world. I am proud to represent an area of East Sussex covering 200 square miles, 75% of which is an area of outstanding natural beauty, much of which is managed by the High Weald AONB. The average farm in my constituency covers about 120 acres. It is grazing pastureland with a low yield. Those farmers rely greatly on the basic payment that they receive. Without it, their income will be reduced by 30%. I am concerned that if we do not reward those farmers for the food that they produce we will not see the same number of livestock in our AONB, which helps with the management of the AONB I also have great concern with regard to the very worthy element of clause 7(7), which seeks to allow new entrants into the market. Of course I encourage new entrants and the Bill’s nod towards improved productivity, but the difficulty in my part of the UK is that our pastureland tends to be purchased by investment bankers from London who are seeking their own piece of tranquillity. Any further incentives on sale, particularly in the event that food production is not at the heart of the Bill, will mean that there is not as much incentive to farm, and those who purchase the land will not use the land for farming. I have great concern, because our landscape is already being changed by those who are not farming. We know that legislation can throw up the law of unintended consequences. If we are to have this worthy clause in the Bill, I ask that measures are taken to ensure that there is some form of disincentivising to purchase the land for those who will not farm. Otherwise, there could be an impact on my landscape I welcome the Bill, including the measures to reduce the administrative burden on farming. In the event that there are not more protections for food security, I ask that we go further in that regard. The farmers I speak to find it incredibly difficult that they are rewarded not on the basis of yield, but on the basis of the number of inspections they tend to have. I refer back to the 100% production post war. We did not reach that production by forced inspections of our farms. Those farmers did that because they knew how to farm. If we let farmers get on with their job they will deliver the goods, and they will also deliver the environment. Overall, I very much support the Bill.
