ParlaMint-GB_2015-09-15-commons.u1	1. What recent assessment he has made of the UK’s membership of the EU on businesses.
ParlaMint-GB_2015-09-15-commons.u473	Will the hon. Lady give way?
ParlaMint-GB_2015-09-15-commons.u474	I will not give way because many people want to speak My particular concern is that London has the highest level of child poverty of any region in the country and, with 356,000 families receiving tax credits, almost 750,000 children will be losers as a result of this policy. A study by the Trust for London on the higher costs that are faced by working people and parents in London, which has just come out, shows that even before the tax credit cuts, such families are £54 a week worse off than equivalent families outside London. These cuts will hit the working poor right across the country, but they will hit them harder in London than anywhere else As we look towards the election that we will fight next May, I absolutely guarantee that my colleagues will draw attention to those losses for families, and those families will not forgive this Government for betraying their commitment to protect the working poor.
ParlaMint-GB_2015-09-15-commons.u475	There is no doubt that this measure is controversial and that it will hurt our constituents. It is a tough measure, but I nevertheless support it strongly because of the wider picture. This country must take the journey from being an economy of high welfare spending, high welfare dependency and high borrowing to being a more competitive country with higher productivity and, most importantly, higher real wages at every level of the economy. That, in turn, will put us on the path to more sustainable prosperity and sound public finances I have spoken on tax credits before in the House. I said on Second Reading of the Welfare Reform and Work Bill that they were one of the greatest mistakes in the history of the welfare state. When the Beveridge report made its recommendations, which led to the welfare state, the third key principle was that state benefits “should not stifle incentive, opportunity, responsibility” My biggest problem with tax credits is that it is overwhelmingly clear that they stifle incentive and opportunity.
ParlaMint-GB_2015-09-15-commons.u476	I agree with my hon. Friend. Tax credits have distorted the principle of welfare, which was to help the most vulnerable in our society who are unable to work. We now have a distorted system of in-work welfare where the state is subsidising wages. It is unsustainable.
ParlaMint-GB_2015-09-15-commons.u477	I strongly agree with my hon. Friend. My point about work incentives is based on my experience as a small business owner. I found the situation with tax credits extraordinary. I had members of staff who declined pay rises because they would lose so much from their tax credits, and most common of all were part-time staff who would not go full time because the tax credits were so generous.
ParlaMint-GB_2015-09-15-commons.u478	Will the hon. Gentleman give way?
ParlaMint-GB_2015-09-15-commons.u479	I will not give way at this moment. People were receiving the equivalent of full-time pay on part-time hours, and in that situation can we blame someone for not wanting to take on more hours? It is a real problem, and many other employers have made the same point to me. The problem is widespread.
ParlaMint-GB_2015-09-15-commons.u480	My hon. Friend might be interested to hear that as a small business owner, I share his experience. I have offered pay rises and additional hours to members of my staff, and they have turned them down because of the tax credits that they would lose as a result.
ParlaMint-GB_2015-09-15-commons.u481	I thank my hon. Friend and emphasise that this is not a fantasy. This is not a think tank or a theory; this is the real world that we have experienced. With tax credits it is difficult to incentivise staff in their interest to make the most of their talent. I genuinely believe that every person was born with incredible skills and talents. We should seek to help people make the most of those talents, but tax credits provide a perverse disincentive to do so and place a ceiling on wages and ambition.
ParlaMint-GB_2015-09-15-commons.u482	Does my hon. Friend recognise that the points raised by my hon. Friend the Member for Waveney (Peter Aldous) have real resonance, in particular for single parents? The welcome childcare changes will not be implemented for some time, and that will lead to a transitional period during which people will be hard hit by these changes.
ParlaMint-GB_2015-09-15-commons.u483	I do not disagree. As I said, we are having to make a choice about whether the pain that this measure undoubtedly involves—we must be honest and open about that—is a price we have to pay if we are to make the whole country more prosperous on a sustainable basis for the future. My hon. Friend the Member for Wyre Forest (Mark Garnier) made an excellent fundamental point about tax credits. At a time of general prosperity, I do not think that the state should be embarking on a widespread expansion of the benefit system and the dependency culture. In 1945 when we set up the welfare state, this country was on its knees and people needed the welfare state.
ParlaMint-GB_2015-09-15-commons.u484	rose—
ParlaMint-GB_2015-09-15-commons.u485	I am sorry but I will not give way again. People needed that system to support those who were in desperate circumstances. In May 1997 when the Labour party came to power, we had a strong growing economy and were to have strong global trade for many years after that. We enjoyed low inflation because of the growth of China, and we had a wonderful period of economic growth with low inflation. It was an amazing opportunity for the Government to build for the long term, but in those prosperous times what did they do? They built a £30 billion extension to the welfare system, with nine out of 10 families with children able to qualify for those benefits. That is not a safety net, it is a massive extension of the dependency culture and a total nationalisation of family and household income. That is what we are voting on today There is a price to pay, but we are voting on a fundamental principle in this statutory instrument: should this country move forward to an economy based on stronger wages and where people become more reliant on wages to support themselves rather than on benefits and the state? I am proud to go through the Yes Lobby today. I think this is an important measure and a key step towards a competitive, dynamic country that has sustainable prosperity for all.
ParlaMint-GB_2015-09-15-commons.u486	What a mean confidence trick the Chancellor carried out in the Budget. Some 3,600 households in my constituency will be affected, including 6,600 children. The Chancellor said: “Britain deserves a pay rise and Britain is getting a pay rise.”—[Official Report, 8 July 2015; Vol. 598, c. 337.] He also said that those on the national minimum wage can expect a cash increase and full-time workers can expect their incomes to go up by £5,000 a year. But we now know that the whole package is far from compensated for by the increase in the national minimum wage. People on the national minimum wage will not just be worse off next year, but the year after that, the year after that and the year after that—every year until 2021. The Library’s document tells us that on average they will worse off by £8,945 over the next five years Conservative Members cheered the Chancellor to the rafters. Did they understand that the overall package would result in the poorest workers among us having their incomes cut? The Secretary of State for Work and Pensions punched the air. Did he not understand that the overall package would result in a cut in the incomes of people on the national minimum wage? Was he being mean or is he just too stupid to be doing his job The Chancellor said in his 2010 Budget: “I am not going to hide hard choices from the British people or bury them in the small print of the Budget documents. The British public are going to hear them straight from me”.—[Official Report, 22 June 2010; Vol. 512, c. 167.] What happened in the latest Budget then? The Conservatives say that theirs is the party of working people. Here are some working people: a cleaner with one child will be £31.72 a week worse off. An assistant cook will be £32.49 a week worse off, a teaching assistant £32.49 and a health care assistant £35.36—
ParlaMint-GB_2015-09-15-commons.u487	Will the hon. Gentleman give way?
ParlaMint-GB_2015-09-15-commons.u488	No, I have heard the hon. Gentleman so many times. He has to stop reading out the Whips’ handouts: it does not add to the debate A nurse with three children will be worse off by £35.91—from the party that claims to be the party of the workers. I have a whole list of worker after worker, all of them worse off as a result of the changes to tax credits Conservative Members may have been convinced by the Chancellor that he will make some changes. We have heard them argue that this change is necessary and that we have to make it. Perhaps they think that they have been given a promise that something will be done and some changes made for the people on this list, but I am sick and tired of hearing Tories tell us that we have to make changes. The changes will not hit them: they will hit the poorest income earners in their constituencies. Let the Tories vote for this change tonight. People will not forget that. We will remember that the Tories voted to reduce incomes for families with children. They trooped through the Lobby, claiming to be the party of the workers but voting to reduce their incomes. People will not forget that.
ParlaMint-GB_2015-09-15-commons.u489	I am grateful for the opportunity to speak in this debate. I support the proposed changes to tax credits, but I acknowledge that it is a difficult and sensitive issue. I wish to make a few points to explain my reasons for supporting the measure While I acknowledge that tax credits were introduced to support low wage workers, it cannot be right in this day and age that people who work long hours, often doing difficult work, are reliant on benefits to supplement their wages because they do not earn enough to live on. The perpetuation of the tax credit system of topping up wages lets employers off the hook when it comes to paying a decent wage. As we have heard, even Alistair Darling, the former Chancellor, has said that tax credits are “subsidising lower wages in a way that was never intended.” The proposed changes to tax credits deal not only with the economic issues of reducing public spending, but aim to address the inequalities faced by those who find themselves on welfare despite being in work. Life on benefits can have a huge negative impact on life outcomes, even affecting length of life. Living on welfare can have negative outcomes on physical health, on mental health and on educational attainment, to say nothing of the dignity of living on benefits.
ParlaMint-GB_2015-09-15-commons.u490	Will the hon. Lady give way?
ParlaMint-GB_2015-09-15-commons.u491	I will not, I am afraid. It is very important that we make work pay. I have met many constituents who are on tax credits because they are paid so poorly. We are subsidising employers unwilling to pay a decent wage, but relying on the taxpayer to subsidise low wages. Currently, taxpayers, many of whom are earning just above the tax credit limit, are subsidising employers to pay low wages. This must end Change to the tax credit system is more than an economic argument to reduce public spending, but reduce it we must. I have heard nothing from Opposition Members on how they would do that if there are no changes to the tax credit system. To facilitate the changes to tax credits, the Government have not just introduced the national living wage but are providing free childcare for 30 hours a week, freezing fuel duty, freezing VAT, national insurance and income tax for five years, and increasing the tax threshold to £11,000 as a step towards raising it to £12,500, thereby keeping more money that people earn in their own pockets Changes to tax credits are needed to reduce public spending, as we are accountable to the British taxpayer who is currently subsidising low pay. What message is that to low-paid workers? If people get up early, go out to work, work long hours and come home late, they deserve a decent wage, not a life on benefits. We should, in this place, be pushing the agenda for better wages, instead of accepting that a life on benefits is inevitable. I will be going through the Aye Lobby tonight.
ParlaMint-GB_2015-09-15-commons.u492	It is unfortunate that we have only 90 minutes to debate the regulations, but it is absolutely right that we should debate them on the Floor of the House. The right hon. Member for Birkenhead (Frank Field) has done us a great service in bringing this matter to the Floor of the House. It is worth reflecting, however, that the reason why there is not more public outrage about the proposed changes is a reflection of the sheer complexity of our tax and benefit system. That will have to be addressed—not in this way—in the medium to long term There was a lot in the Minister’s speech with which I could agree quite easily. When he spoke about the importance of raising the personal tax allowance, the very welcome increases to the minimum wage and the importance of providing better childcare provision, those are all things with which I could have no difficulty. The difficulty I have with the regulations is that at a stroke they negate the benefits the Minister outlined. It ought surely to be a matter of common consensus in all parts of the House that the best route out of poverty is through work, but what the Government are doing today is giving with one hand and taking away with the other.
ParlaMint-GB_2015-09-15-commons.u493	Will the right hon. Gentleman give way?
ParlaMint-GB_2015-09-15-commons.u494	I am sorry, but I am short of time The average household in social housing could lose up to £1,700 a year under the changes. That means for every extra £1 earned, they will lose up to 93p in benefits. That is why the Government are not true to their stated intent to encourage people off welfare and into work by bringing forward changes of this sort. To understand why today’s statutory instrument is the wrong measure at the wrong time, it is worth reflecting on what happened to people’s employment circumstances after the 2008 crash. We expected steep rises in unemployment, and sure enough it went up, but not to the extent we expected, because employers kept people in work. However, their wages were frozen or reduced and those in part-time employment saw their hours cut. We can now see the light at the end of the tunnel—at last, we are seeing some wage inflation—but surely at this moment the Government should be encouraging people to take more hours, not removing the incentives to do so The hon. Member for Waveney (Peter Aldous) made a characteristically thoughtful contribution, and one of the most significant. He said the Government’s proposals were strategically correct. He might well be right about that, but what he said thereafter in the rest of his contribution indicated they were tactically inept. I address myself to him and other Government Members who share his concerns, because they are part of the most powerful group in the House: Government Back Benchers. The Government have a majority of 12, so it needs only six of them to vote with us to take this down and make them think again. I say to him, because I know he is a genuine man, that if he has not had his assurances and compensations before the vote, he will not get them after it.
ParlaMint-GB_2015-09-15-commons.u495	The tax credit reforms before the House must be viewed in the wider context of the measures in the summer Budget and other Budgets to help working people: the £9 living wage, giving 2.5 million people a direct pay rise; the income tax, national insurance and VAT freeze for the next five years; the rise in the personal allowance; the doubling of the amount of free childcare; the council tax freeze; and the cut in fuel duty The hard truth is that our tax credit system is unaffordable, unsustainable and requires reform to help those working people who pay for it. The statutory instrument, which I am pleased to support, will do that. The system cost £1.1 billion in its first year. This year, it will cost taxpayers £30 billion. We spend more on family benefits than France, Germany and Sweden. Even the right hon. Member for Birkenhead (Frank Field) said it was unsustainable. The statutory instrument focuses tax credits on the lowest income groups to help them in their lives The only welfare system that is sustainable and credible is a welfare system that is affordable. We can support those most in need only if we protect the system by reforming the system, rather than allowing it to implode under its own weight. Britain is home to 1% of the world’s population and generates 4% of the world’s income, yet it pays out 7% of the world’s welfare. This is a drag on our competitiveness in the world and our economy at home. I support the statutory instrument and urge other Members to do the same.
ParlaMint-GB_2015-09-15-commons.u496	With the leave of the House, I will respond briefly to some of the points made, particularly by the right hon. Member for Birkenhead (Frank Field). The Government do not recognise the £1,350 figure quoted, because it does not take account of the gains to households from the national living wage; the increased personal allowance; the fact that households in receipt of housing benefit will see some offsetting increase to their entitlement; or the improvements in childcare provision The hon. Member for Feltham and Heston (Seema Malhotra), whom I welcome to her place, said the Government had not published a distributional analysis, but we have, and it is available online. It shows that the distribution of public spending across the income quintiles was unchanged between 2010-11 and now and that those at the top of the income distribution are paying more. I urge hon. Members to evaluate these changes in their wider context and our record in government: helping businesses create 2 million extra jobs; lowering income tax for 29 million people; ruling out increases to income tax, VAT and national insurance contributions; extending free and subsidised childcare—we are soon to do much more; and of course ensuring that Britain gets a pay rise with a national living wage We must get Britain’s finances on a solid, sustainable footing, because the surest way to make working people worse off, as we sadly saw in the past, is to lose control of the public finances. Welfare spending needs to be reformed—for the benefit of those who pay for it, as well as those who use it. We are doing this as part of a package to move to a less welfare-reliant, lower-tax and higher-wage economy. I commend the regulations to the House One and a half hours having elapsed since the commencement of proceedings on the motion, the Speaker put the Question (Standing Order No. 16(1)).
ParlaMint-GB_2015-09-15-commons.u497	I beg to move, That it be a further Instruction to the Select Committee to which the High Speed Rail (London - West Midlands) Bill is committed– (1) that the Select Committee have power to consider– (a) amendments to accommodate changes to the design of Euston Station in the London Borough of Camden; (b) amendments to accommodate the requirements of landowners and occupiers and changes to the design of the works authorised by the Bill in the London Borough of Camden; (c) amendments, to accommodate the requirements of landowners and occupiers, relating to: i. the London Boroughs of Brent, Ealing, Hammersmith and Fulham and Hillingdon and the Royal Borough of Kensington and Chelsea; ii. the District of Three Rivers in the County of Hertfordshire; iii. the parishes of Ellesborough, Great Missenden, Stone with Bishopstone and Hartwell and Wendover in the County of Buckinghamshire; iv. the parishes of Aston Le Walls, Boddington and Chipping Warden and Edgcote, Greatworth and Marston St Lawrence in the County of Northamptonshire; v. the parishes of Coleshill, Cubbington, Kenilworth, Long Itchington, Offchurch, Stoneleigh, Ufton, Water Orton, Weston under Wetherley and Wormleighton in the County of Warwickshire; vi. the parishes of Balsall, Berkswell, Dickens Heath and Hampton-in-Arden in the Metropolitan Borough of Solihull; vii. the City of Birmingham; (d) amendments, to accommodate changes to the design of the works authorised by the Bill, relating to: i. the London Boroughs of Ealing, Hammersmith and Fulham and Hillingdon; ii. the District of Three Rivers in the County of Hertfordshire; iii. the parishes of Amersham, Calvert Green, Denham, Preston Bissett, Quainton, Steeple Claydon and Wexham in the County of Buckinghamshire; iv. the parishes of Boddington and Culworth in the County of Northamptonshire; v. the parishes of Burton Green, Coleshill, Cubbington, Curdworth, Ladbroke, Lea Marston, Middleton, Offchurch, Shustoke, Southam, Stoneleigh, Water Orton, Weston under Wetherley and Wormleighton in the County of Warwickshire; vi. the parishes of Hints with Canwell, Curborough and Elmhurst, Drayton Bassett, Fradley and Streethay, King’s Bromley and Lichfield in the County of Staffordshire; vii. the City of Birmingham (e) amendments relating to the extension of the Chiltern tunnel in the parishes of Amersham, Little Missenden and Great Missenden in the County of Buckinghamshire; (f) amendments for purposes connected with any of the matters mentioned in subparagraphs (a) to (e); (2) that any petition against amendments to the Bill which the Select Committee is empowered to make shall be referred to the Select Committee if– (a) the petition is presented by being deposited in the Private Bill Office not later than the end of the period of four weeks beginning with the day on which the first newspaper notice of the amendments was published, and (b) the petition is one in which the petitioners pray to be heard by themselves or through counsel or agents That these Orders be Standing Orders of the House. Before I start, may I welcome the hon. Member for Nottingham South (Lilian Greenwood) to her post as the shadow Secretary of State in the new politburo—sorry, shadow Cabinet? She is already on record as continuing to support HS2, which will be music to the ears of her Labour colleagues who run our great cities in the west midlands and the north. I look forward to working with her. Indeed, many of the momentous decisions facing us will have implications for our infrastructure for many years to come The motion instructs the Select Committee on the High Speed Rail (London - West Midlands) Bill to consider two sets of amendments: the first set relates to changes at Euston and elsewhere in the London borough of Camden, and the second set to changes along the rest of the route. These are the third and fourth such additional provisions that have come before us, and I am sure that many in the House will now be familiar with the hybrid Bill process. However, for the benefit of new Members, I hope that the House will indulge me if I give a brief explanation The purpose of this motion is to bring within the scope of the Select Committee any petitions from those who may be affected by the proposed changes.
ParlaMint-GB_2015-09-15-commons.u498	May I ask the hon. Gentleman what the requirements are of the landowners and occupiers? Is this related to compensation, as many people in my constituency have been badly hurt by the lack of compensation?
ParlaMint-GB_2015-09-15-commons.u499	This is not specifically related to the compensation issue. This is about the minor changes and some other more substantial changes that we are making. This is about the principle of the hybrid Bill Committee being allowed to consider these changes and about people being given the opportunity to look at the environmental statement, and also to petition the Committee if they are affected. Indeed, the purpose of this motion is to bring within the scope of the Select Committee any petitions from those who may be affected by the proposed changes.
ParlaMint-GB_2015-09-15-commons.u500	I agree that constituents should be allowed to petition, but there is a fee for petitioning. Will the Minister consider getting rid of that fee to allow easy access for those who might not be financially able to petition?
ParlaMint-GB_2015-09-15-commons.u501	The £20 fee is a matter for the House. I can reassure colleagues that anyone who has already petitioned will not be asked to pay a second fee. I do not believe that a £20 fee is prohibitive in this particular case An explanatory note of the changes was made available to the House last week. Although it is not the purpose of this debate to discuss the changes in detail, it is clearly important that Members understand the principle of them. If the motion is passed, those who are directly and specially—to use the legal term—affected by these changes will be able to petition the Select Committee, which is chaired by my hon. Friend the Member for Poole (Mr Syms). The Select Committee will then consider their case for changing the scheme First, let me turn to the proposals in relation to Euston. In April 2014, the House gave a Second Reading to the High Speed Rail Bill. At the time, the Secretary of State, having considered Sir David Higgins’s recommendations, said that we would seek to develop more comprehensive proposals for the redevelopment of the station to maximise the economic potential and regenerate a site that has been neglected. Since then, HS2 Ltd has worked with Network Rail and Transport for London, as well as engaging with the local community to develop such a proposal. Indeed, I have visited the area myself with Frank Dobson, who used to represent the area around Euston. I am pleased to see his replacement, the hon. and learned Member for Holborn and St Pancras (Keir Starmer), in his place on the Labour Benches today The proposal announced today will substantially reduce the disruption to the travelling public, provide an enhanced underground service and do much more to support the wider regeneration of the local area. It is also fully compatible with the redevelopment of the remaining conventional station, which is for Network Rail to bring forward in due course.
ParlaMint-GB_2015-09-15-commons.u502	Will the Minister take this opportunity to comment on the stories in the weekend press that there would be a substantial increase in the cost as a result of these changes, as well as a reduction in the number of platforms for the inter-city services?
ParlaMint-GB_2015-09-15-commons.u503	I can certainly put the right hon. Gentleman right on that point. Eleven new platforms will be built for HS2 at the station, and 11 will remain in the current station to serve the existing network. Five approach tracks will remain, and there will be four for a period of approximately three years during construction. Works on the existing tracks and platforms will enable existing services to be accommodated. Those works will be undertaken prior to the start of the construction of the main HS2 works High Speed 2 will provide a step change in capacity on the west coast main line by enabling long-distance passengers to make their journeys much faster on the new line. This will free up space on the existing network for faster, more frequent trains. Indeed, it will also free up space on those platforms. I want to make it clear that for the existing west coast main line, the number of platforms will be reduced from 18 to 11, while the number for HS2 will increase from zero to 11. This means that there will be 22 platforms in total, which is four more than at present. The HS2 trains will also be longer, and the way in which they load their passengers will make it easier for people to get on them. That is because there will be a system similar to the one used by Eurostar, in which passengers come down escalators on to the platforms. This will avoid the situation of everyone trying to rush down to one part of the platform as the train starts to load.
ParlaMint-GB_2015-09-15-commons.u504	The people on the Committee are clearly good people and they are doing a very good job. It is all very well giving them the power to consider more options, but will the Minister give us an idea of how many of the recommendations he intends to accept?
ParlaMint-GB_2015-09-15-commons.u505	We have already accepted a number of the recommendations. Indeed, some of the additional provisions are the result of our accepting recommendations in situations where there was a need to take over additional land. I will give the House a couple of examples where we have listened to the Committee and accommodated its suggestions, which have now become part of the additional provisions I shall return to the points I was making about Euston. Delivering the additional benefits will mean that construction will need to be in two stages, so while construction disruption will be more localised, it will last for seven years longer overall. The peculiarities of the hybrid Bill process mean that an additional provision is required only when additional powers or land are required. The vast majority of our revised Euston proposal can be delivered using the powers and land that are already within the hybrid Bill. The information in the explanatory note therefore sets out only those small new areas of land and additional works that are required to give effect to our new vision for Euston However, the supplementary environmental statement that will accompany the additional provision, if this motion is passed, describes the environmental effects of the revised plans for Euston, to ensure that those affected are fully aware of the details of our proposals. In addition to the Euston station-related changes, the additional provision includes other minor changes in Camden, such as additional parking for London zoo, the provision of space to allow lorries to turn and the inclusion of some listed buildings within the relevant schedule to the Bill I turn now to the second set of additional provisions, known as AP4, which contains changes proposed outside Camden. These additional provisions include almost 70 mostly minor amendments—including eight in your own constituency, Mr Speaker—to powers relating to changes up and down the line of route outside Camden. These changes have come about following a combination of negotiations with petitioners and the recommendations of the Select Committee, as well as the continuing development of the design of the railway. Right hon. and hon. Members in the relevant constituencies were written to in July with an outline of these changes. As with the Camden changes, an explanatory note was sent to Members last week The most notable changes are: first, in response to the Select Committee’s recommendation, an extension of the northern end of the Chilterns tunnel past South Heath—I pay tribute to my right hon. Friend the Member for Chesham and Amersham (Mrs Gillan) as this is a result she can bank and it is a tribute to her campaign and that of her constituents for this extension; secondly, the relocation of a recycling facility known as a “bottom ash plant”, from a site in Castle Bromwich to a site off the route in Tyseley in the west midlands, delivering on an agreement with Birmingham City Council to avoid any interruption in service; thirdly, the relocation of a school in Water Orton in Warwickshire, as agreed with North Warwickshire Borough Council; fourthly, the relocation of vent shaft works from Salusbury Road to Canterbury Works, both in the London Borough of Brent; and finally, the provision of extra track at Greenford railway station in west London to support the transportation of excavated material from the scheme by rail—something we wish to see wherever possible.
ParlaMint-GB_2015-09-15-commons.u506	AP3 and AP4 affect my constituency much less than AP2, but given that the Minister described how he made a site visit to the constituency of my hon. and learned Friend the Member for Holborn and St Pancras (Keir Starmer), will he make a visit to the affected roads in my constituency, which are largely in the NW10 area? No visit has been made since the one by the Select Committee in March, and since then all these additional provisions have come forward and the composition of the Committee has changed. Will he come to witness the disruption, disturbance, noise and nuisance that residents in these roads feel they will suffer as a result of living in a building site for the next 10 years? That is how they see it.
ParlaMint-GB_2015-09-15-commons.u507	I would be delighted to come to have a look at the problem. I believe the hon. Lady’s constituency has the ventilation shafts which will be the problem and that there is a local laundry facility available for many people who do not have washing machines, so it is important that we look at how they can still have that facility. [Interruption.] That is in the constituency of the hon. Member for Hampstead and Kilburn (Tulip Siddiq). Sorry, I got confused. As we have new Members representing that area, I would be delighted to visit once again to hear about that issue. If any additional problems are caused by these additional provisions, I would be happy to look at them and meet local people. If the leader of the local council would also like to attend, I would be delighted to see her, too.
ParlaMint-GB_2015-09-15-commons.u508	I thank the Minister for the comprehensive explanation he has given of the changes and the two tranches. Will he also tell us what the Department’s outline estimate is of the additional costs of these changes?
ParlaMint-GB_2015-09-15-commons.u509	Some of these will be less expensive—indeed, that is one of the purposes of some of the changes we have suggested—and other changes will be within the budget that we have outlined, so there will be no need to have an overall increase in the budget. HS2 Ltd did, however, make provision, when planning for this project, for some changes that it expected the Select Committee may propose. I might expand on that a little later in my comments It should also be recognised that the changes set out in the additional provision are only a fraction of those that we have made to the scheme to address petitioner concerns. Many changes can be made within the existing Bill powers and so do not require an additional provision. Those include changes such as improved noise mitigation at Wendover and mitigations of the impacts on Bechstein’s bats—a species of vesper bats—in Sheephouse Wood in Buckinghamshire. The Bechstein bat is a particularly at-risk species and it is important that we protect the woodland habitat it uses The overall phase 1 budget is not expected to increase as a result of those changes, including the Euston proposals. Many of the changes come at no additional cost, some actually produce small savings and others are absorbed by the contingency set aside at the outset specifically for the purpose of addressing petitioner issues. If this motion is successfully passed, both these additional provisions will go through the same process, although the timings will be different for each. The relevant additional provision, an environmental statement describing the likely significant environmental effects of these changes and a supplementary environmental statement describing any new or different significant environmental effects of other proposed changes that do not require a change to Bill powers will be deposited in Parliament, council offices and libraries in affected areas. For the additional provision affecting Camden, these documents start to be deposited tomorrow. For the additional provision affecting other areas of the route, these documents will be deposited from 12 October A public consultation on the environmental statement will be held. The responses to the consultation will be analysed by Parliament’s independent assessor and the assessor’s report will be tabled in the House ahead of Third Reading. For the additional provision affecting Camden, the consultation will run from tomorrow until 6 November, and for the other additional provision, the consultation will run from mid-October There will also be a petitioning period for those directly and specially—to use that term again—affected by the changes in this additional provision to submit petitions against them. The petitioning period will run as usual for four weeks. For the additional provision affecting Camden, it will begin on Friday 25 September and end on Friday 23 October for all petitioners. For the other additional provision, the petitioning period will begin in mid-October for all petitioners. Newspaper notices will be published in national and local newspapers over two consecutive weeks following the deposit of each additional provision alerting the public to the changes and to the opportunity to feed into the process by petitioning or responding to the consultation as appropriate.
ParlaMint-GB_2015-09-15-commons.u510	To ensure that enough people are aware of the additional petitioning process, will my hon. Friend explain how people who are visually impaired or who might not have access to the local and national newspapers will get the information about these new changes?
ParlaMint-GB_2015-09-15-commons.u511	I will look into what we can do to ensure that people who are visually impaired can access the information. For the vast majority of people affected by the changes, they will be no surprise. In many cases, we have made them in negotiation with the landowner or other interested parties, including local authorities. Indeed, some of them respond to petitions so there will be delight that the changes have been proposed, although other people who might be affected might well want to petition about them Taken as a whole, these two additional provisions mark a major step towards completion of the hybrid Bill’s progress through the Select Committee. They demonstrate the Government’s willingness to seize the opportunity that a redeveloped Euston station offers not only to the local area but to the nation as a whole. They also demonstrate our willingness to respond to the concerns of petitioners and the Select Committee to make beneficial changes to the project, and I therefore commend them to the House.
ParlaMint-GB_2015-09-15-commons.u512	I thank the Minister for his kind words and for providing advance sight of his statement. It is a true honour to take up the post of shadow Secretary of State and I pay tribute to my predecessor, my hon. Friend the Member for Barnsley East (Michael Dugher). He did an excellent job on behalf of passengers and road users and was never afraid to stand up for their best interests. I am sure that he will perform admirably in his new role shadowing the Department for Culture, Media and Sport at a critical time for that brief As a supporter of HS2, I am glad to have the opportunity to speak for the first time in my new role in this debate. I extend the gratitude of my party, and I am sure of the whole House, to my hon. Friends the Members for Bolton North East (Mr Crausby) and for Preston (Mr Hendrick) and the hon. Member for The Cotswolds (Geoffrey Clifton-Brown) for stepping up and joining the Committee. It has now heard several hundred petitions and there is general agreement that it is making both swift and fair progress. It is performing a vital role, improving and refining the project, and its work would not be possible without the professionalism of the Clerks and the contributions of petitioners, including Members of this House. They all deserve our thanks I know that a number of Members’ constituencies are affected by the proposals contained in these changes and it is important that they have time to address the Minister, so I shall keep my remarks brief We do not seek to obstruct the passage of these provisions, because some of the changes will reduce planning blight for petitioners and provide some measure of certainty for those who live along the route. They also provide an important mechanism for implementing the instructions of the Committee and the outcome of negotiations with petitioners, such as those on the longer Chilterns tunnel I know that a number of hon. Members have concerns, and I shall make way for them shortly, but before I do so I want to put some questions to the Minister about the revised proposals for Euston station. They can only be described as a partial proposal for redevelopment. It is clear that the Government and Network Rail have yet to develop an integrated plan for Euston which is, as I am sure Members on both sides the debate will agree, restricted by its inadequate design and compares poorly with the neighbouring terminal stations of King’s Cross and St Pancras. Yet last year the Chancellor said: “I’m thinking that maybe we should go for a really big redevelopment of Euston. There is a really big opportunity for jobs and for housing in the area.” Does the Minister believe that these proposals live up to those aspirations, or is this another case of the Chancellor’s rhetoric on rail being rather better than the reality The Minister said that it is for Network Rail to bring forward proposals on the development of the remaining station, yet Network Rail’s capacity to plan and deliver major upgrade projects is under exceptional scrutiny, not least in connection with the eagerly awaited Shaw, Bowe and Hendy reviews. What assurance can he offer the House that Network Rail is in a position to fulfil the function that he has set out today, and that it will not be blown off course in the coming months as a result of Government or regulatory action It is difficult to see how a high-speed extension to Euston can be planned in a manner that provides the maximum assurance for taxpayers’ money if there is no corresponding plan for the existing station. Surely we need an integrated solution for Euston. I would be grateful for an assurance from the Minister that the plans debated today will in no way inhibit the later replacement of the 1960s station.
ParlaMint-GB_2015-09-15-commons.u513	The hon. Lady started by saying that she supports HS2, but can she confirm, for the House’s information, whether the new leader of her party is, because he has voted against it in the past?
