ParlaMint-GB_2015-10-15-commons.u1	Object To be considered on Thursday 22 October.
ParlaMint-GB_2015-10-15-commons.u326	On a rather sad note, may I pass on my condolences to the families of Flight Lieutenant Scott and Flight Lieutenant Roberts? At the same time, I should like to take this opportunity to congratulate all the young men and women who passed out of the Royal Military Academy at Sandhurst this summer alongside my son. I know that they will serve their country with pride, and possibly with their lives, just as Flight Lieutenant Scott and Flight Lieutenant Roberts did. Along with my hon. Friend the Member for South East Cornwall (Mrs Murray), I know how that must feel. I am sure that the whole House, including the Leader of the Opposition, will ensure that they receive all the necessary support—be it political, moral or financial—to ensure that they have the finest equipment and leadership, including the justice system which we are discussing today, to enable them to fight the battles that we will put them through Parliament takes the opportunity, by passing an Armed Forces Bill during each Parliament, to reaffirm its support for the armed forces and for the brave, selfless people who serve in them. It is an honour to represent Portsmouth, alongside the Minister for the Armed Forces, my hon. Friend the Member for Portsmouth North (Penny Mordaunt). It is the home of the Royal Navy and of its people, whose families are on the front line in every struggle this country faces. It is important that our forces should be properly equipped and that their laws should be clear and comprehensive. The UK has the chance, through the strategic defence and security review process and the renewal of this legislation, to review recent history and examine any mistakes, as well as to plan for the future People at home and our allies abroad will welcome our commitment to maintain our defence spending at 2% of GDP. In the long term, we might need to restore the defence budget to a higher level than that. Our capabilities have to match our commitments. I welcome the equipment plan for the coming decades, but we should also give more thought to the personnel operating that equipment. In my first few months as a Member of Parliament, I have already seen a number of serving and ex-service personnel facing a variety of problems, from family law to healthcare and housing, resulting from their time spent in the forces. Some of them wonder what the armed forces covenant actually stands for, when they find themselves banging their heads against the doors of officialdom In many cases, however, personnel have had recourse to the excellent charitable organisations, including Combat Stress, the Royal Navy and Royal Marines charities, SSAFA, the Royal British Legion and the Royal Navy Benevolent Trust. Some of them provide a central resource for those seeking help in Portsmouth at Castaway House; some have also received LIBOR money. I hope that the military covenant can be strengthened so that nobody leaves that place feeling as though they have been cast away After the election, it was an early priority of mine to meet those organisations to understand the challenges that they and the people they represent face. We know, not least from the debate last night, that Combat Stress has seen a 28% increase in referrals in the last financial year. I pay tribute to the work of the Department of Health, which makes a strong contribution to supporting veterans, but it is too often felt that we take a reactive approach to the challenges of service life and health outcomes, rather than a proactive one. At present, Combat Stress’s contract with the NHS in England and Scotland is due to be terminated in 2017. I hope that the Minister will assure the House that the great work that it does will be carried on in the future.
ParlaMint-GB_2015-10-15-commons.u327	To emphasise my hon. Friend’s point, post-traumatic stress disorder can occur 14, 15 or 16 years after a man or woman has finished their service. That is why Combat Stress is so important.
ParlaMint-GB_2015-10-15-commons.u328	And that is why the military covenant should continue throughout the whole life of a veteran I welcome the further reform to the armed forces justice system that the Bill introduces. The services operate very differently from civilian life, and a specific system is necessary to cover them, but that does not mean that the rights of those in the forces should be any weaker. It is important that service personnel should enjoy the same protections of due process and the rule of law as those in civilian life. The reform of the operational period in clause 6 brings service practice closer to the operation in the civilian courts. I also welcome clauses 7 to 12, which extend the scope for granting immunity from prosecution in service cases. Sometimes that is necessary to uncover a greater evil and bring it to an end However, I believe that the legislation should do more to clarify and support whistleblowing in the services. It is a tragedy for the families of those involved that they are still looking for answers to what happened at Deepcut barracks almost 20 years ago. I welcome the new code of conduct for the Army on bullying. The Armed Forces (Service Complaints and Financial Assistance) Act 2015, which was passed at the end of the last Parliament, introduced an ombudsman process to allow personnel to raise issues and to allow the ombudsman to investigate the substance of those cases. I look forward to that process starting shortly The Government recognise the importance of bringing the same protections to service personnel that civilians enjoy. Since the passage of the Armed Forces Act 2006, the armed forces justice system has been brought a long way forward from the unsatisfactory state it had been in. But a justice system is there to protect people as well as to prosecute them, and there is still room for improvement, as the hon. Member for Strangford (Jim Shannon) mentioned, in key areas such as bullying and the prevention of sexual harassment. I am sure that we shall continue to improve the armed forces justice system and keep it under review, either through this Bill or through the armed forces legislation that I have mentioned, which I hope will be incorporated into it. We will be reviewing that legislation in every Parliament as well.
ParlaMint-GB_2015-10-15-commons.u329	I am pleased to be able to follow the thoughtful speech by the hon. Member for Portsmouth South (Mrs Drummond). I should like to reflect on the events of a century ago and put on record some of those who made the ultimate sacrifice. War memorials in Scotland record many lives lost at the battle of Loos, which raged briefly in September 1915. The newly built war memorial funded by the people of Neilston, in my constituency, remembers the sacrifice of soldiers from the village and the surrounding areas who were killed in world war one, a number of whom were lost at Loos. I grew up in Carnoustie, a town that prides itself on two men who were awarded the Victoria Cross. Lance Corporal Jarvis of the Royal Engineers was the first recipient of the Victoria Cross in the first world war. He risked his life for over an hour under enemy fire to destroy a bridge to protect retreating colleagues. Petty Officer Samson of the Royal Navy Reserve gained his Victoria Cross for tending the wounded on the beach at Gallipoli As my hon. Friend the Member for Argyll and Bute (Brendan O’Hara) has said, we support the Bill. I also echo the words of the shadow Minister, the hon. Member for Garston and Halewood (Maria Eagle), in saying that we look forward to debating the detail of the Bill in Committee, to ensure that it will be the best and most effective that it can be It is worth recalling that the backdrop to recent legislation in this area has sometimes been the fraught relationship between the Government and the armed forces in regard to issues such as Afghanistan and Iraq. In fact, senior officers were forced to go public in an effort, as they saw it, to protect those under their command. The current members of our armed forces are entitled to ask that we learn lessons, when they are there to be learned, and that we do not repeat any mistakes that might have been made We also need to look at how best to support those who have been involved in wars. As my hon. Friend the Member for Argyll and Bute said, the Scottish National party’s manifesto made a commitment to the creation of a British armed forces federation. I was encouraged by the positive words from the hon. Member for Strangford (Jim Shannon) on that subject. This would represent real progress in the way we deal with our responsibility to undertake our duty of care to our service personnel. We absolutely must use the opportunity that we will have in Committee to continue to modernise the governance of our armed forces and to consider properly how we treat those who enter the services. In so doing, it is particularly important that we understand and act on our responsibilities to those who suffer as a consequence of their service, and to their families—for instance in relation to their housing needs. The Scottish Government’s funding for supported housing in Cranhill is very welcome in that regard It was positive to hear the Prime Minister’s comments yesterday at Prime Minister’s questions on the care that the forces medical services provide so well. It was also useful to participate in yesterday’s Adjournment debate on veterans mental health provision, secured by my hon. Friend the Member for East Kilbride, Strathaven and Lesmahagow (Dr Cameron). There is clearly a will in this House to properly and effectively consider the mental health of our service personnel during and, importantly, after their service. We need to work together to ensure that the provisions of the Bill reflect that good will towards our armed forces We must commit to doing more work like the intensive post-traumatic stress disorder treatment programmes that NHS Scotland and Combat Stress are undertaking. Like the hon. Member for Portsmouth South, I have been fortunate to meet a number of organisations dealing with veterans over the last few months. It is striking how much of a support network is provided by charities such as the Coming Home Centre, Horseback UK and Scottish War Blinded. The work that they and others do to support our armed forces and our veterans is immense and we owe them a debt of gratitude I am pleased that Scotland is leading the way with the appointment of a Scottish veterans commissioner. That appointment is most encouraging, and it reinforces the Scottish Government’s commitment to providing support to the 400,000-plus ex-servicemen and women living in Scotland and to the capacity-building funding they are providing to Veterans Scotland to allow the organisation to work on developing and improving support for our veterans over the next two years Let me briefly mention my own constituency. I was heartened by the focus on the veterans in East Renfrewshire as well as in neighbouring Inverclyde. Our local authorities are working together in Renfrewshire on a veterans support service, which provides local support to address individual circumstances. Veterans and our current serving personnel will rightly expect this House to use the opportunity of this Armed Forces Bill to examine all the issues, including the creation of a federation, the extension of veterans’ initiatives and how we continue with issues relating to the gathering and use of data, as was mentioned by the hon. Member for Strangford.
ParlaMint-GB_2015-10-15-commons.u330	I strongly agree with much of what the hon. Lady has said in regard to veterans, mental health and a number of other things. However, I am a little unclear as to which part of the Bill she thinks can be amended to take account of the things that she proposes? For example, where will she get this proposed armed forces federation into this particular Bill?
ParlaMint-GB_2015-10-15-commons.u331	I thank the hon. Gentleman for his intervention and for his positive words. As I mentioned earlier, there are important discussions around these areas that we must bring forward in Committee In conclusion, let us be ambitious for our armed services, our veterans and this important Bill. Let us work in Committee positively to improve the Bill, to probe and to debate so that we make real positive progress for our armed forces and veterans.
ParlaMint-GB_2015-10-15-commons.u332	I welcome this Bill. As was said by a number of Members, including the Secretary of State and my hon. Friend the shadow Secretary of State, this is an important Bill in that it involves a key constitutional issue. This Bill might seem quite dry and boring, but it actually asserts Parliament’s control over the armed forces and the fact that we have a standing Army. I am sorry that the hon. Member for Dunfermline and West Fife (Douglas Chapman) did not understand the significance and importance of that. As he is new to the House, I may suggest to him very gently that if he does not understand something, it is perhaps better not to comment on it I am a veteran of Armed Forces Bills. I considered the Armed Forces Act 2006, which was a major Act in that it radically changed the disciplinary acts of the three services. Unfortunately, it then followed me into ministerial office in the Ministry of Defence. The constructive way in which that Bill Committee did some very detailed work over a number of months not only improved service discipline and brought the Acts into the modern day, but helped to address some of the public concerns The hon. Member for Portsmouth South (Mrs Drummond) talked about Deepcut, and the hon. Member for Strangford (Jim Shannon) mentioned the service complaints commissioner. Getting those issues into place has involved a long journey. We are now in a good place with regard to the service complaints commissioner. I was on the Defence Committee when Nicholas Blake compiled his report on Deepcut. I met the families involved on numerous occasions. Were they let down by the system, by Governments and by the Army? Yes, they were. Could we turn the clock back and find out what happened in those cases? Tragically, the answer is no, but what came out of the Blake report was a step forward in terms of the armed forces commissioner. I welcome the Government’s current commitment to the armed forces ombudsman. The Act tried, where possible, to apply to armed services personnel the modern standards that we would expect in civilian life. That is difficult because we are asking people to do different things. Where possible, the two areas should be mirrored. Clearly, the transparency that people expect in their dealings with Government should also be afforded to members of our armed forces. The ombudsman is a move in that direction The Bill before us is a piece of cake compared with the 2006 Act. It tidies up quite a lot of minor issues. As my hon. Friend the shadow Secretary of State said, we will support that, and ensure that those issues are scrutinised so that any unintended consequences are addressed. It is important that we send a message to the members of the armed forces that we are taking these things seriously. When they raise matters that they are not happy with, we should consider whether we can amend and change things for them. Obviously, I am not talking about interfering with the rigid discipline that is required or breaking the chain of command. The hon. Member for Portsmouth South (Mrs Drummond)—I must welcome her to the House and say that she is a vast improvement on her predecessor—made a point in that regard One issue that came up in the 2006 Act—it is a continuing one that needs to be addressed—is whistleblowing. I am not talking about whistleblowing for minor complaints or things that are not relevant. If members of the armed forces have serious concerns, there needs to be a mechanism, or a safety valve, in the chain of command—I know that the ombudsman will address some of this—so that these things can be dealt with. That is very important The worst thing that happened in previous years was that some complaints were not taken seriously—that has improved greatly—and delay added to the problem. Quite minor things should have been dealt with lower down the chain of command. Not only would people have felt that they had been treated better, but the bureaucratic outcomes for both the armed forces and the individuals would have been better We had seven contributions in this debate. I am not sure that many were on the actual details of the Bill, but I will touch on some of the remarks. Let me turn first to the hon. Member for Portsmouth South. I congratulate her son on graduating from Sandhurst. The academy does a fantastic job. She made a really important point, which is that we need to be proactive, not reactive, on issues. Those issues could include mental health, service discipline or just the way that we treat people. I also pay tribute to the work of Castaway House. I visited it when I was a Minister and saw for myself what a fantastic job it does in supporting veterans and the wider armed forces community in Portsmouth and the surrounding area We also had a contribution from my friend, the hon. Member for South East Cornwall (Mrs Murray), who paid tribute to the work of HMS Raleigh. I agree that the Royal Navy does a fantastic job there with its new recruits. One of the many highlights of my ministerial career was attending a passing out parade on HMS Raleigh. It is humbling to meet both the parents and the recruits and to see the dedication and hard work that goes into ensuring that those people are not only transformed in the short period that they are there, but given life opportunities to work within our armed forces, which many would never ever get. The hon. Lady was a little bit naughty, which is unusual for her, when she referred to the nuclear deterrent. The hon. Member for Filton and Bradley Stoke (Jack Lopresti) also referred to the Labour leader’s position on the nuclear deterrent. May I reassure them that the Labour party policy on the nuclear deterrent has not changed? It was agreed at the Labour party conference this year that we are in favour of a minimal credible nuclear deterrent provided by four boats under the continuous at-sea deterrent. We are committed to ensuring that we are part of multilateral disarmament talks so that we get to that point that everyone in this House wants to get to, which is a reduction in the ownership of nuclear weapons.
ParlaMint-GB_2015-10-15-commons.u333	If the hon. Gentleman had listened to what I said, he would have heard that I referred to the continuous at-sea nuclear deterrent.
ParlaMint-GB_2015-10-15-commons.u334	I am not sure what point the hon. Lady is making. That is what I referred to. That is Labour party policy and it has not changed with what has happened in our great party in the past few months.
ParlaMint-GB_2015-10-15-commons.u335	Will the shadow Minister explain how we could have a credible nuclear deterrent if we were to have a Prime Minister who had already said that he would never use it?
ParlaMint-GB_2015-10-15-commons.u336	It is up to the Prime Minister of the day to write whatever advice he or she wants in the letter to the commanders. The hon. Member for South East Cornwall said that our policy had changed, but it has not. It is very clear. End of story Labour Members past and present have contributed to the armed forces and I know that my constituency and those of many other Members make a tremendous contribution through their sons, daughters and others who work not only for the regular forces but for the reserve forces. I am proud to represent a constituency with a long history of connection with the forces, and long may it continue. I reassure everyone that I will ensure that I champion their interests and ensure that their welfare, which is important in terms of this Bill, is taken care of The hon. Member for North West Hampshire (Kit Malthouse)—I am not sure whether he is in his place—made an important point. The Bill refers to drug testing, but, as we all know, one of the biggest issues that needs addressing, which was an issue when I was a Minister, is alcohol. The question is how we address that, not in a nanny state way but by ensuring that people’s health is not affected by the drinking culture not only while they are in the armed forces but after they leave. Perhaps we could consider the question of alcohol and the armed services in Committee The hon. Member for Strangford talked about the contribution made by his part of the world to the armed forces as well as the idea of ensuring that people’s voices and complaints are heard. I, too, welcome the Government’s commitment to the service complaints commissioner We then heard three contributions from the Scottish nationalist party. I do not want to reiterate the issues about some of their points, but the Scottish nationalists cannot have it all ways. They cannot argue that they are committed to and want more defence resources for Scotland and then argue that an independent Scotland could produce even a fraction of what Scotland gets now I get a little disturbed when I hear the hon. Member for Dunfermline and West Fife use the phrase “the distribution of spoils in the UK” to refer to the armed forces, as though the defence of this country is somehow about moving resources around the country in such a crude way. It is actually about ensuring that the country is defended and has the capability to defend itself. He talked about warships never being based in Scotland, but conveniently forgot to tell the House that our submarine base and defence are in Scotland and that that would be put at risk if we followed the proposals to abandon the nuclear deterrent that he and his party want us to follow. The Scottish nationalist party should be honest in this debate and say that what is being proposed for an independent Scotland would not have anything near the footprint or the proud history that is there at the moment. He referred fleetingly to the idea of regiments, and the idea that the SNP would reinstate all those regiments in an independent Scotland is complete nonsense The hon. Member for Argyll and Bute (Brendan O’Hara) mentioned the White Paper on independence. I read it in detail, and not only its costings but its military strategy were complete and abject nonsense.
ParlaMint-GB_2015-10-15-commons.u337	I thank my friend for allowing me to intervene. The Scottish nationalist party would have six battalions of infantry, which is twice the number pro rata that my constituents have in England. Pro rata, Scotland has twice the number of infantry battalions that English men and women have.
ParlaMint-GB_2015-10-15-commons.u338	I agree, which is why the White Paper was complete nonsense. Not only did the sums not add up, but there were no practical proposals to generate those forces from an independent Scotland. Scotland would have information, surveillance, target acquisition, and reconnaissance capabilities and other assets but would have no capacity, because of the numbers involved, to analyse what was collected or what its purpose was. For example, it would need fast jets and other things. It was just bizarre, to be honest.
ParlaMint-GB_2015-10-15-commons.u339	Does the hon. Gentleman think it fair and equitable that Scotland has only 6.3% of the armed forces personnel, down from 7.1% in 2012?
ParlaMint-GB_2015-10-15-commons.u340	I know that the Scottish nationalist party wants to play up its victim mentality, which it has turned into an art form that I admire, but the idea to which the hon. Gentleman’s White Paper refers, which is that Scotland could provide the manpower needed for its proposals from the Scottish population, which is getting older, was absolute nonsense—[Interruption.] May I give him some evidence? He needs only to look at the recruitment to Scottish regiments when they were reorganised. Why was one regiment in Scotland—
ParlaMint-GB_2015-10-15-commons.u341	Order. We have moved way off the subject of the Bill. I understand that there is a desire to keep proceedings going, so I am not trying to pin it down to a tight debate, but I like to try to keep the debate on the subject of the Bill at least a little, so I am sure that the hon. Gentleman could mention it now and again. Given his experience, I know that that will never be a difficulty.
ParlaMint-GB_2015-10-15-commons.u342	I would refer, for example, to the recruitment of overseas nationals from the Commonwealth. The regiments that had to backfill with Fijians were the Scottish regiments because they could not get the numbers within Scotland. If the hon. Member for Argyll and Bute has some magic pool of people in Scotland who will suddenly join the armed forces or if there is some huge boom that will happen in the next few years that means that 18-year-olds and fit individuals will join the armed forces, I would like to see them.
ParlaMint-GB_2015-10-15-commons.u343	The hon. Gentleman is not exactly doing the idea of the United Kingdom a great service. Indeed, he is pointing out everything that is wrong with the current system.
ParlaMint-GB_2015-10-15-commons.u344	Order. I think we are now going to get back to the Bill. We have had enough playing around. Kevan Jones, have you finished?
ParlaMint-GB_2015-10-15-commons.u345	Certainly not.
ParlaMint-GB_2015-10-15-commons.u346	That is all right then. What I will say is that you have finished on this point.
ParlaMint-GB_2015-10-15-commons.u347	Absolutely.
ParlaMint-GB_2015-10-15-commons.u348	I shall try to resist the urge to go off the point, Mr Deputy Speaker. The shadow Minister is a very experienced Member of Parliament and when he started his political career the world was a different place from what it is today. Does he recognise the necessity of having a much more flexible military system to deal with the threats that are evolving and changing in the world today?
ParlaMint-GB_2015-10-15-commons.u349	Order. I think I might be able to help here. The hon. Gentleman might have been referring to the civil war as regards Kevan Jones, as he has been around for a long time, but we are not going to open up a debate about when he first got here and how the armed forces have changed.
ParlaMint-GB_2015-10-15-commons.u350	The hon. Gentleman makes a good point, however. It is not just the equipment and how we deploy things that has changed. The armed forces do not sit in a vacuum away from the rest of society, and that is one of the main issues for consideration. Things that were acceptable 20, 30 or 40 years ago for young people who joined the armed forces no longer are. When I was a Minister talking to senior military personnel, I heard that young people were far more questioning, although not in a disrespectful way, and more knowledgeable about their rights. They wanted to engage rather than take instructions. That is a challenge for the armed forces. We need to ensure that there are mechanisms in place for when things go wrong and, as I said in an intervention during the speech from the hon. Member for Portsmouth South, a safety valve to deal with complaints.
ParlaMint-GB_2015-10-15-commons.u351	The hon. Gentleman mentioned that as a Minister he visited HMS Raleigh. Does he agree that during the six weeks’ initial sea training, from the time they arrive until they pass out, a massive transformation occurs in those young people?
ParlaMint-GB_2015-10-15-commons.u352	Indeed. I have always said that. As the current ministerial team recognises, we should celebrate the life chances that membership of our armed forces gives young people. They get opportunities and skills that many of them would otherwise not have. That initial training is part of that ongoing process. It is not newsworthy to say that joining the armed forces is good for their career prospects, and what I am about to say might not be popular, but all the evidence suggests that it is good for their mental health as well. However, when things go wrong in service or after service, we need to make sure that mechanisms are in place to deal with that The hon. Member for Argyll and Bute (Brendan O'Hara) spoke about the armed forces federation, which might be relevant in that situation, although I am not sure how it would fit into the Bill. Clearly, this is the SNP’s latest campaign issue, but may I disappoint the hon. Gentleman? I got there first: I introduced a ten-minute rule Bill on that topic in about 2005. In other countries, as he said, such organisations work effectively, and provided it did not interfere with the chain of command, an armed forces federation could improve the system, as it does in other countries, by acting as a safety valve. Alas, having read the Bill, which I am not sure others have, I am not sure how we could get that into the Bill We will examine the Bill in detail in Committee and my hon. Friend the Member for Garston and Halewood (Maria Eagle) has outlined our approach. We will not oppose the Bill. Much of what it contains is sensible and includes a number of tidying-up measures. In any scrutiny process, it is important that any changes made do not result in unforeseen consequences, so in Committee we need to make sure that we road-test our ideas to destruction. I accept the assurance from the Secretary of State on the fire regulations. Those seem sensible, but it may be helpful if chief fire officers are asked for their views before the Bill goes to Committee I look forward to serving on the Committee for my third Armed Forces Bill. I am thankful that it will not be the marathon of the 2006 Bill. Our approach will be constructive, with the aim of ensuring the best outcome. Across the House, we want the best for our armed forces personnel.
ParlaMint-GB_2015-10-15-commons.u353	We have had a useful and interesting debate. It is a pleasure to follow a veteran such as the hon. Member for North Durham (Mr Jones). Compared with him, I feel like a mere newcomer as this will be only my second Armed Forces Bill. I am most grateful to hon. Members on both sides of the House for the contributions they have made and I thank them for their interest Unusually for the Ministry of Defence, this is the third piece of substantive legislation we have introduced in the past two years, the other two being the Defence Reform Act 2014 and the Armed Forces (Service Complaints and Financial Assistance) Act 2015. I am grateful to the hon. Member for North Durham for his positive comments as the ombudsman starts her new role early in the new year. It is not too surprising that the Armed Forces Bill we have introduced this year is relatively modest and focused mainly on the service justice system. Modest it may be, but that in no way diminishes the significance of its provisions, as it provides for the continuation of the single system of service law under the Armed Forces Act 2006 which applies to all members of the armed forces, wherever in the world they are serving As we heard during today’s debate, this Bill mostly covers a small number of issues relevant to the service justice system, plus the wider defence issue concerning statutory powers for MOD firefighters, which I will come to in a moment. Hon. Members raised a number of points about these proposals and also about issues that we have not included in the Bill. Indeed, much of the discussion seems to have been on issues that are not included in the Bill. I shall attempt to deal with as many of these as I can, and undertake to write to anybody to whom I fail to give an answer today My hon. Friend the Member for Filton and Bradley Stoke (Jack Lopresti) made a passionate and well-informed speech on behalf of the armed forces, based in no small part on his own service, to which I pay tribute. My hon. Friend the Member for South East Cornwall (Mrs Murray) has a long-standing family connection to the armed forces and asked some detailed questions about Devonport, about which I will write to her in due course. My hon. Friend the Member for North West Hampshire (Kit Malthouse) made a plea for more investment in technology. He may be aware of the announcement by the Secretary of State of an innovation fund as part of the strategic defence and security review, and the increasing work of the defence growth partnerships. I encourage him to visit Army headquarters in his constituency, which I would be delighted to arrange. In fact, I sense an invitation winging its way to him as we speak My hon. Friend the Member for Portsmouth South (Mrs Drummond) made a passionate speech. I am not sure I was entirely grateful to her for reminding me that it is 27 years since I went to Sandhurst, but I was cheered up to turn around and see my hon. Friend the Member for Beckenham (Bob Stewart). I think it may be a few more than 27 years since he went there. My hon. Friend the Member for Portsmouth South gave a powerful speech focusing on many areas of the military covenant, in particular mental health. This is a key area and she will be aware of the improvements that have been made in recent times, partly as a result of the “Fighting Fit” report by my hon. Friend the Member for South West Wiltshire (Dr Murrison). I join her in commending the charity Combat Stress, which was the first charity I visited after taking up my appointment I shall respond to the contributions from other hon. Members as I touch briefly on some of the clauses in the Bill, but only those that were referred to during the debate. In her opening comments the hon. Member for Garston and Halewood (Maria Eagle) raised the issue of visiting foreign forces being subject to the Act. I acknowledge her concerns and look forward to exploring the matter in Committee. I draw the attention of the House to the recent Westminster Hall debate on the unfortunate events at Bassingbourn, in which the current Government position was outlined. Clauses 3 to 5 simplify the process of charging offences under the 2006 Act. Both my hon. Friends the Members for Beckenham and for Filton and Bradley Stoke sought reassurance about the role of the commanding officer. Commanding officers will continue to be concerned with probably over 90% of service issues. It will be only about 10% of issues that they will not deal with directly, but they will continue to be kept firmly informed of what is going on The hon. Members for Bridgend (Mrs Moon) and for Garston and Halewood asked why sexual assault was not included among the most serious offences in schedule 2. I want to make it clear at the outset that sexual assault is absolutely unacceptable in wider society or in the armed forces. Schedule 2 to the Armed Forces Act 2006 sets out the most serious disciplinary and criminal offences, including murder, kidnapping, grievous bodily harm and rape. A commanding officer must make the service police aware of an allegation or circumstance which indicates that a schedule 2 offence may have been committed. To move sexual assault to schedule 2 would make it a legal requirement for every allegation of sexual assault—an offence which covers a wide range of conduct—to be referred directly to the service police, whether or not the victim wanted that to happen We take the view that there are already processes and safeguards in place to ensure that victims of such offences are properly supported and that any allegations are properly investigated. All commanding officers are under a legal duty to ensure that all offences are investigated appropriately. Guidance given to commanding officers makes it clear when it would be appropriate to make the service police aware of an allegation. Guidance also sets out clearly the way in which these cases should be handled and the support that is to be provided to victims. We believe that the current legal arrangements and the guidance to commanding officers provide an appropriate framework for investigating these offences, but I accept once again that that could be discussed in Committee The hon. Member for Strangford (Jim Shannon) mentioned sexual harassment. This is as much about changing culture as it is about legislation. The Chief of the General Staff has made addressing issues of equality, diversity and inclusivity a priority in order to ensure that the Army is a modern employer that is capable of recruiting talent from all sections of society. The Army’s change programme on maximising talent, which the Chief of the General Staff launched on 19 June, demonstrates the progressive nature of the measures being taken to ensure that talent is able to thrive, regardless of ethnicity, gender or sexuality The survey was conducted between March and April 2014 and was sent to over 24,000 regular and reserve men and women, and over 7,000 responses were received. The overall conclusion from the survey was that there is an issue with an overly sexualised culture in which inappropriate behaviour is deemed acceptable. Although that does reflect wider society, the Army’s values and standards mean that it should not be accepted as the norm. I am delighted that the Chief of the General Staff is taking action to address that through his leadership code. Clauses 14 and 15 deal with the powers of MOD firefighters in an emergency. I would like to reassure Opposition Members that the Chief Fire Officers Association was consulted and that the letter was published on its members’ forum, advising all chief fire officers in England and Wales of the provisions. Only Hampshire fire and rescue service responded, and it was positive about the provisions The hon. Members for Argyll and Bute (Brendan O'Hara), for Dunfermline and West Fife (Douglas Chapman) and for East Renfrewshire (Kirsten Oswald) all touched, understandably, on matters relating to Scotland. With regard to manpower in Scotland, there are currently 9,400 military personnel and 3,770 civilian personnel based in Scotland. The UK is delivering on a realistic plan for defence. The number of military personnel in Scotland is actually set to increase, but it is also likely to be affected by the SDSR, which will be published in due course The number of personnel at various locations across the UK, including Scotland, will fluctuate as the military make the necessary changes in unit moves to deliver the Future Force 2020 basing lay-down and target strength. The UK Government’s basing plans, which were announced last year, offer clarity and stability in our defence footprint in Scotland. That is a visible sign of our commitment to Scotland and to Scotland’s continued vital role in defence. On current plans, by 2020 Scotland will be home to all Royal Navy submarines, one of the Army’s seven adaptable force brigades and one of the three RAF fast jet main operating bases. Her Majesty’s Naval Base Clyde is already the single largest employment site in Scotland. Overall, employment figures will rise to 8,200 by 2020 Hon. Members also touched on armed forces representation. Representation and safeguarding the wellbeing of service personnel are vital functions of the armed forces chain of command. The MOD recognises the British Armed Forces Federation and other such organisations as effective mechanisms by which the views of service personnel can become known. Service personnel are free to join them, provided they do not take a particularly active part in any political activity. To be honest, we are not aware of any groundswell of opinion from members of our armed forces that the remit of the armed forces federations should be extended or that they should be established on a statutory basis As I have made clear, the Bill is important to the armed forces, not least because it renews the legislation necessary for them to exist as disciplined forces. As the debate has demonstrated, it is also important to us here in Parliament, because it provides for our scrutiny of that legislation. That scrutiny is achieved by means of an annual continuation order, which must be approved by both Houses, and by primary legislation every five years I have a personal interest in this Bill. As a member of the reserve forces, I have been subject to the provisions of the 2006 Act, and many friends and colleagues still are. I also take very seriously the obligations that I have to the men and women who choose to abide by the high standards of discipline and behaviour that this Bill supports. I very much look forward to taking it through the House Question put and agreed to. Bill accordingly read a Second time. Armed Forces Bill (Programme) Motion made, and Question put forthwith (Standing Order No. 83A(7)), That the following provisions shall apply to the Armed Forces Bill: Select Committee (1) The Bill shall be committed to a Select Committee (2) The Select Committee shall report the Bill to the House on or before 17 December 2015 Committee of the whole House, Consideration and Third Reading (3) On report from the Select Committee, the Bill shall be re-committed to a Committee of the whole House (4) Proceedings in Committee of the whole House on re-committal, any proceedings on Consideration and proceedings on Third Reading shall be taken in one day in accordance with the following provisions of this Order (5) Proceedings in Committee of the whole House and any proceedings on Consideration shall (so far as not previously concluded) be brought to a conclusion one hour before the moment of interruption on the day on which proceedings in Committee of the whole House are commenced (6) Proceedings on Third Reading shall (so far as not previously concluded) be brought to a conclusion at the moment of interruption on that day Programming committee (7) Standing Order No. 83B (Programming committees) shall not apply to proceedings in Committee of the whole House, to any proceedings on Consideration or to proceedings on Third Reading Other proceedings (8) Any other proceedings on the Bill (including any proceedings on consideration of Lords Amendments or on any further messages from the Lords) may be programmed.—(George Hollingbery.) Question agreed to. ARMED FORCES BILL (SELECT COMMITTEE) Ordered, That the following provisions shall apply to the Select Committee on the Armed Forces Bill: (1) The Committee shall have 14 members, to be nominated by the Committee of Selection (2) The Committee shall have power— (a) to send for persons, papers and records, to sit notwithstanding any adjournment of the House, to adjourn from place to place and to report from day to day the minutes of evidence taken before it; (b) to admit the public during the examination of witnesses and during consideration of the Bill (but not otherwise); and (c) to appoint specialist advisers either to supply information not readily available or to elucidate matters of complexity relating to the provisions of the Bill.—(George Hollingbery.)
ParlaMint-GB_2015-10-15-commons.u354	It is a pleasure to be here and I welcome the opportunity to speak about the very real and damaging effects of alcohol harm on older people. I am pleased that the Minister for Public Health, my hon. Friend the Member for Battersea (Jane Ellison), is present and commend her for her passionate commitment to ensuring that key public health matters, and a strong preventive health agenda, remain high on the Government’s set of priorities for this Parliament I should perhaps clarify at the outset that I am seeking not to promote further legislation or regulation in this sphere, but to highlight the need for more education and information to help people make positive choices about their drinking; to enjoy it but at the same time maintain their own health and wellbeing. We all want to live longer—and we are—but, importantly, we want to live longer and healthier so that we can enjoy those later years. That is why this subject is so important.
ParlaMint-GB_2015-10-15-commons.u355	I thank the hon. Lady for giving way so early in her speech—I indicated to her before the debate that I intended to intervene. The theme that she is talking about, which many Members of the House, including me, would agree with, is this: everything in moderation. In other words, people should be careful about what they take and how often they take it.
