ParlaMint-GB_2015-06-30-commons.u1	1. What steps he is taking to support small and medium-sized businesses to become more competitive.
ParlaMint-GB_2015-06-30-commons.u336	The hon. Lady is making a marvellous speech about the devolution of the Work programme. I had a private Member’s Bill last year to devolve the Work programme not just to the Scottish Parliament but to the local authorities that are delivering many of the programmes. Would she go further and agree with double devolution down to local authorities?
ParlaMint-GB_2015-06-30-commons.u337	I would certainly be interested in taking a closer look at that and discussing it with my colleagues. I welcome the hon. Gentleman’s intervention To deal with youth unemployment, that approach is supported by the EU. We are keen for the powers that we were promised to be delivered to Scotland. Delivery of those powers and agreement on our proposals today would help to create a more joined-up approach to employment service provision for disabled people, as well as for the many others who have been mentioned, and more integrated support for these vulnerable groups Although it is demand-led, the current DWP spend on Access to Work in Scotland is disproportionately low. The Scottish Government have previously stated that the programme should be devolved to allow us to promote a more equitable share of spend in Scotland and to get more disabled people into sustained employment In summary, it is not just the SNP that sees significant flaws in the Bill. Citizens Advice Scotland notes: “The Smith Commission Report…provided that the Scottish Parliament should have powers over all employment programmes currently contracted by the DWP. However, Clause 26 of the Bill restricts the powers devolved to employment support programmes that last at least a year. It is unclear why this restriction has been included; the Bill as drafted would appear to only devolve the Work Programme and Work Choice; which is inconsistent with Smith. Clause 26 as currently drafted does not clearly devolve powers over the Access to Work Scheme.” Both the Scottish Council for Voluntary Organisations and the Scottish Association for Mental Health support the amendments, which serve to devolve all employment powers and functions to Scotland covering Access to Work, devolution of services and Jobcentre Plus In Scotland, with the limited powers we have, we have proven that we can make a difference to people’s lives. The SNP Scottish Government have done their best to mitigate the damage done by Westminster cuts to date, but time is running out. If we do not gain the powers that were promised, we cannot continue to protect the vulnerable and grow our economy We have an excellent track record on apprenticeships and training for young people. In 2007, just 15,000 people started modern apprenticeships. We are now delivering more than 25,000 of them, and we will increase the number to 30,000 by 2020. To reply to the hon. Member for Denton and Reddish (Andrew Gwynne), the Scottish Government’s Opportunities for All programme has also been a significant success, with more than 90% of young people going on to positive destinations. In my own county of West Lothian, the figure stands at more than 96%. We are glad to announce today that the Scottish Government has got its 250th business, a nursery in West Lothian, to sign up to the living wage The opportunity to work is one that the vast majority of people in Scotland seek. The SNP wants dignity in work for all, and I commend our proposals to the Committee.
ParlaMint-GB_2015-06-30-commons.u338	I will speak particularly to amendments 113, 9, 114 and 10, and much of what I will say will echo what the hon. Member for Livingston (Hannah Bardell) said about the devolution of employment programmes It is clear that there are different labour markets not just between England, Scotland and Wales but within those nations. That is why I echo the point that my hon. Friend the Member for Denton and Reddish (Andrew Gwynne) made about the opportunity that our amendments and the SNP amendments offer not just for devolution to Scotland but for double devolution of labour market programmes within Scotland.
ParlaMint-GB_2015-06-30-commons.u339	As a Greater Manchester MP like myself, my hon. Friend will know that as part of the cities and devolution package, Greater Manchester will be invited to bid for the next phase of the Work programme. Does that not suggest that, as my hon. Friend the Member for Edinburgh South (Ian Murray) said,double devolution is needed in Scotland so that communities can develop work programmes that are specific to them rather than centralised in Holyrood?
ParlaMint-GB_2015-06-30-commons.u340	I agree. The intention stated in the Labour manifesto was to devolve labour market programmes to what we described as a combined authority footprint. That would enable recognition of the fact that local labour markets differ and recognition of the different industrial history and characteristics of people in particular parts of the country. Importantly, it would allow close alignment with the skills and industrial opportunities in particular communities. We want to see that opportunity for the devolution of labour market programmes to a sensible, localised level; I doubt whether it would be the whole of Scotland, because labour markets differ significantly within Scotland. There are considerable differences between the highlands and the central belt conurbations, for example.
ParlaMint-GB_2015-06-30-commons.u341	I am listening carefully to what the hon. Lady is saying, but does she not recognise the difficulties for an area such as my own, where unemployment is low but so are wages, and in which there are fairly prosperous parts as well as parts that are not prosperous? It is difficult to say that a local authority area is suitable for devolving responsibility down to.
ParlaMint-GB_2015-06-30-commons.u342	I readily accept that a local authority area may be too small. What is important is to get the geography right, and the whole of Scotland might not be right. We want the opportunity to explore the right geography for devolution rather than assuming that centralising responsibility in Holyrood will necessarily be the best way of meeting the needs of labour markets across Scotland It is also important to recognise that devolving programmes only if they will last longer than a year misses the point for a lot of people who suffer poor employment outcomes. Our amendment 113 specifically addresses that point. Contrary to popular prejudice, it is extremely rare for people never to have worked. People who experience poor labour market outcomes have mostly been in and out of poor-quality, poorly paid work for many decades. That has often been true of many generations of their family. If we devolve the opportunity to develop labour market programmes to the Scottish Parliament at an earlier stage, we can break that cycle not of worklessness but of moving in and out of poor-quality work. Interventions could be developed that would enable people to sustain work and progress in it, which the Work programme has not succeeded in doing.
ParlaMint-GB_2015-06-30-commons.u343	Is it not better for people to find the right job for them than to find just any job?
ParlaMint-GB_2015-06-30-commons.u344	There is certainly good and long-standing evidence, for example from the United States, that if more time is invested in equipping people with the skills and qualifications they need to move into better jobs with better pay, they are more likely to get into sustainable employment that means they will escape poverty. A shocking characteristic of our labour economy is that people often move into work but do not escape poverty, thereby contributing to the very high levels of in-work poverty in this country today.
ParlaMint-GB_2015-06-30-commons.u345	I was a Unison activist and I found that the Access to Work programme not only helps people get into work, but helps existing employees who develop a visual impairment, for example, to continue in employment. It is a device that helps people to stay in work, not just get into work.
ParlaMint-GB_2015-06-30-commons.u346	The hon. Gentleman is right. The Access to Work programme is a device to help people enter, stay in and progress in work, and it supports very senior people in highly qualified positions. It would be regrettable if changes to the programme were to put that at risk There could be real advantage to devolving Access to Work or similar programmes because the decision-making and administration processes might be swifter and more attuned to the needs of the local labour market and workforce with that level of devolution. Given the problems that we know are being experienced with the national programme—which appears quite inflexible in the way it deals with people—perhaps the measure could be devolved as part of this package.
ParlaMint-GB_2015-06-30-commons.u347	Perhaps I should sit down and allow my hon. Friend the Member for Denton and Reddish (Andrew Gwynne) to guess what might be in my speech—he could also give us Saturday’s lottery numbers while he is at it.
ParlaMint-GB_2015-06-30-commons.u348	I’m not that good.
ParlaMint-GB_2015-06-30-commons.u349	He might not be that good. If he had won the lottery he would not be wearing that suit—I can be nasty to my own side, as well as to the SNP Clauses 26 to 30 are largely concerned with minor and technical changes to existing legislation. Amendment 113 would allow the provision of employment programmes where assistance is for less than one year. The reasoning behind that does not require much explanation, other than to point out that many people move jobs several times a year, especially in the current highly fluid labour market in which there is a dearth of long-term secure employment. Indeed, the labour market seems short-term and insecure with poorly paid work. Many people in part-time jobs are looking for full-time work, and many people are on zero-hours contracts The Smith agreement states that the Scottish Parliament “will have all powers over support for unemployed people through the employment programmes currently contracted to DWP” However, clause 26 currently restricts the powers devolved to employment support programmes that last at least a year. Amendment 113 would remove that restriction to allow the development of programmes to support those who move in and out of work within one year Amendment 9 emphasises that employment support programmes in Scotland must be developed in close conjunction with local authorities. That will ensure that service delivery is tailored to the needs and circumstances of local communities and is responsive to the local jobs market. In that regard, we are happy to support amendments 120, 121 and 122, which provide for the creation of new employment programmes in Scotland, on the understanding that they are developed and run in close conjunction with local authorities.
ParlaMint-GB_2015-06-30-commons.u350	Will the hon. Gentleman expand on the position of local authorities? I made the point to the hon. Member for Stretford and Urmston (Kate Green) about the nature of many local authorities in Scotland, which would make it slightly more difficult to devolve the issue to local authority level than in certain other areas.
ParlaMint-GB_2015-06-30-commons.u351	I agree to a certain extent. In the area the hon. Gentleman represents, many of the local authorities are either incredibly small in population terms or incredibly large in geographical terms, and that would have its challenges. But many local authorities work together on many aspects of Scottish local government life. For example, Edinburgh works closely with Midlothian, a local authority that is smaller than my constituency. East Lothian, West Lothian and Fife also tend to work together on many issues. While we would like to see double devolution to local authorities, it does not necessarily mean to one individual authority. Many authorities would probably work together to try to make the best use of work programmes and job opportunities.
ParlaMint-GB_2015-06-30-commons.u352	Will my hon. Friend give way?
ParlaMint-GB_2015-06-30-commons.u353	I will give way to my hon. Friend, who will probably tell me what I am about to say.
ParlaMint-GB_2015-06-30-commons.u354	I can tell him that the bonus ball will be 32 The issue of local authorities is important. Of course, the Manchester example is not one single local authority: it is a combined authority of 10 metropolitan borough councils. It would also be possible in Scotland and other parts of the UK for local authorities to come together to bid for the work programmes.
ParlaMint-GB_2015-06-30-commons.u355	I hope the bonus ball this week is not 32, otherwise we will be in trouble My hon. Friend is right: it is about local authorities working together. There is nothing wrong with saying that the Scottish Parliament has been a centralist Government—that is what happened as a result of the policies that were pursued. That is a legitimate choice for a Government to make. All we are suggesting is that perhaps some of the work programmes that would be best delivered by local authorities are sent to them. I know that my own local authority, Edinburgh, runs several highly successful programmes, such as the JET programme for young people and other programmes to get disabled people and others into work, and we should trust them to do that.
ParlaMint-GB_2015-06-30-commons.u356	Does the hon. Gentleman agree that the Opportunities for All programme, which was mentioned earlier, is a good example of a policy area in which the Scottish Government are working closely with local authorities to deliver services and opportunities for young people? Similarly, the Scottish welfare fund is another good example of a scheme administered and delivered by local authorities. When the hon. Gentleman talks about a centralist Government, he needs to remember that 90% of ring-fenced funding has been devolved to local authorities by the Scottish Government. He might want to take a look at Wales, where the Labour Government seem to want to abolish local authorities all together.
ParlaMint-GB_2015-06-30-commons.u357	I did not want to turn this into a political argument: I merely wanted to point out that work programmes are best delivered by local authorities. If the Welsh Government have made the decision that they are best delivered in a different way, it is up to them. The hon. Lady highlights, however, that devolution across the UK provides an array of ways to deliver services, and I hope that the Scottish Government take note of this debate and consider whether we should have double devolution. The principle of subsidiarity across the European Union and the UK, which my hon. Friend the Member for Nottingham North (Mr Allen) promoted in his new clause, should sit happily and firmly with the Scottish Government and their relationship with local government Local government and the Convention of Scottish Local Authorities have said clearly that local authorities across Scotland feel that they have been strangled, and we need to address that important point.
ParlaMint-GB_2015-06-30-commons.u358	I am not trying to be difficult, but it seems to me that the hon. Gentleman’s amendment would provide that the Scottish Parliament “must” devolve the power to local authorities. It would not always be appropriate for a local authority—or even a group of local authorities—to have that power. If he wants to pursue devolution of such powers, more flexibility would be needed, and the amendment is flawed in that regard.
ParlaMint-GB_2015-06-30-commons.u359	In all the time I have known him, the hon. Gentleman has never been difficult. We are debating a Bill that we feel does not go far enough in spirit or substance. We want the Scottish Parliament to have more power. The hon. Gentleman, the Scottish National party Chief Whip, wants to hold on to that power with both hands. He does not want to release any of it but wants to keep it in Edinburgh and Holyrood, so he can build an ivory tower for Scotland. He does not want to give it to local authorities.
ParlaMint-GB_2015-06-30-commons.u360	rose—
ParlaMint-GB_2015-06-30-commons.u361	I am delighted that I have been able to give the hon. Gentleman a little exercise by making him bounce up and down.
ParlaMint-GB_2015-06-30-commons.u362	The hon. Gentleman and I have crossed swords on many Bills. He is misrepresenting what I said—not deliberately, I am sure. As I read it, if the amendment is agreed to, that would mean an obligation to devolve to each individual local authority. That is not what he is saying now about a conglomeration of local authorities. The amendment is flawed; the idea behind it is not so flawed, but the way it is written is.
ParlaMint-GB_2015-06-30-commons.u363	We are in trouble: I cannot even persuade the people who agree with the broad principle, and I am trying to persuade the Government to accept the amendment. It may be badly drafted, but the hon. Gentleman knows how this place works. We table our amendments in Committee to press the Government to do something about a particular piece of legislation, and the Government ultimately reject them. Of the 87 amendments that I tabled to the Enterprise and Regulatory Reform Bill, 87 were rejected, although I was delighted that four or five came back as the Government’s own ideas on Report. That is essentially what will happen. The Secretary of State said he would go away and reflect, and I am sure he will do just that—go away and reflect on the amendments he may be able to claim as his own, and those he will ultimately reject on Report I have a lot of time for the hon. Member for Angus (Mike Weir). I put on the record that we agreed on most things when we crossed swords in other Committees, particularly with regard to the privatisation of Royal Mail and the Postal Services Bill. We do not always disagree The broad principle of double devolution—transferring powers from Holyrood to local communities—is one we should all support to ensure that we have powerhouse local authorities in Scotland and to place power closer to the people we seek to represent. It is a fairly obvious thing to say, but local authorities know their local jobs markets better than anyone else. The landscape of a jobs market in one local authority, or one conglomerate of local authorities, will be very different from others We should be looking to tailor employment support programmes not just to individual needs and individual community needs, but to areas where there will be a greater need for a certain skill set than in other areas. For example, my city is at the forefront of financial services and academia. Rural constituencies will be completely different. Local authorities would be able to tailor those programmes. Crucially, something we tend not to talk about in this House is not just transferring power but transferring the resources that go with it. Local authorities in Scotland are being completely starved of the resources they require to do the job we want them to do The hon. Member for Livingston (Hannah Bardell) made a great speech. She said many things we would absolutely agree with. One glaring omission, however, was anything on retraining, education, further education and reskilling. Further education is not just the mechanism for young people to go back into education, or to be retrained or reskilled; it is the place where many people get a second chance. They are able to go back to something they perhaps failed at many years ago, or to retrain after having a family. Scotland is suffering from having 144,000 fewer college places than we did in 2007. That is hampering those second chances If the devolution of the Work programme does end up at the Scottish Parliament, I hope it ultimately ends up with local authorities.
ParlaMint-GB_2015-06-30-commons.u364	indicated dissent.
ParlaMint-GB_2015-06-30-commons.u365	The hon. Gentleman is shaking his head, so it must be true. We would then be able to resolve the issue of the college places that have been lost Amendment 114 would provide for the devolution of the Access to Work scheme to the Scottish Parliament. Access to Work provides practical advice and support to disabled people, and their employers, to help them to overcome work-related obstacles resulting from disability. It is an incredibly powerful and important programme. A close friend of mine, Mark Cooper, who has cerebral palsy, has been on it for some time. He took a job that covered maternity leave in Glasgow, 45 miles away, and was able to work with the employer and the programme to travel to Glasgow and secure an adapted workplace.
ParlaMint-GB_2015-06-30-commons.u366	I begin by commending the contributions not just on this group but throughout the day. It has been said that the Government are not doing what the Smith commission said we should. We are clear that the commission recommended that the UK Government devolve all powers specifically in relation to contracted employment programmes, but the amendments go well beyond that remit and would include the powers to operate support through Jobcentre Plus Beyond that, there are key reasons why the amendments do not work. First, there would be no clear demarcation of responsibilities between the Scottish and UK Governments around the provision of employment support. The UK Government would retain the Executive competence under existing legislation and could continue to operate employment programmes and Jobcentre Plus. This would create a confusing, disjointed and misaligned landscape of support that could hinder employment support as much as it helps move people back to work Clause 26 manages that risk by creating clear lines of accountability between those claimants for whom Scottish Ministers can create employment programmes and those who will continue to be supported through the Jobcentre Plus structure. In particular, it makes it clear that the Scottish Parliament can only provide employment support for claimants at risk of long-term unemployment where the assistance lasts at least a year and for disabled claimants likely to need greater support. It thereby draws a line between such schemes and the core functions of Jobcentre Plus, enabling a smooth delivery of an integrated welfare and benefits system and, importantly, resulting in a better service for claimants In the debate around the devolution of contracted employment programmes, there have been extensive discussions through the joint ministerial working group on welfare, which has played a key role in ensuring a seamless transfer of responsibility. As my right hon. Friend the Secretary of State said, these are ongoing discussions, and, importantly, officials are working to set up the right framework and ways of working. On the Work programme, our officials have had many meetings with Scottish Government officials on a range of aspects relating to the delivery of contracted employment support programmes. That engagement is good. It is concerned with how we can work together to develop integrated local support and the issue of Skills Development Scotland in jobcentres, which of course is going strong today I would like to touch on some of the other points raised in this debate. The hon. Member for Livingston (Hannah Bardell) spoke about the current system for employment. The Government are delivering on the current system for welfare reform and it is working in Scotland, too, as demonstrated by record levels of men and women in employment. Importantly, they are providing more support for getting lone parents back to work. In Scotland, benefits reform has seen 2 million people back in work and employment continuing to rise. That is to be commended and supported. For our ongoing discussions at official and ministerial level, it is at the heart of what we are trying to achieve Amendment 113 applies to the matters that clause 26 will except from reservation for job search and support. Clause 26 delivers on the Smith commission agreement to give the Scottish Parliament the legislative competence to establish employment programmes that support disabled people and that offer long-term support to benefit claimants at the risk of long-term unemployment. I have no doubt that that is welcomed by all hon. Members. The amendments to clause 26 would have changed the scope of the legislative competence of the Scottish Parliament to allow for the provision of employment programmes for those at risk of long-term unemployment where assistance, as I have said, has been ongoing for less than one year We want to ensure that the employment landscape in Scotland is not confusing when it comes to the support structure in Scotland. Importantly, we want to ensure that Jobcentre Plus continues to deliver effectively for claimants, while also giving employers greater continuity in respect of the overall landscape I shall speak now to amendments 9, 10 and 114 collectively and show how clause 26 already covers many of the points raised by them. Amendment 9 is designed to add to the illustrative list of the ways in which the power to make arrangements for employer support might be used. Members will be pleased to hear that the list provided in the clause is purely illustrative and that it would be possible for the Scottish Government to work with local authorities and other partners and stakeholders to design and deliver employment programmes. The same applies to amendment 10, which is designed to add to the illustrative forms of the assistance that Scottish Ministers might provide under clause 26 On the point about the devolution of the Access to Work programme, which is the subject of amendment 114, we have not sought unreasonably to limit the legislative competence of the Scottish Parliament. Non-repayable awards such as those provided through the Access to Work scheme are already covered in clause 26. As such, the Scottish Government can choose to introduce a similar form of support for disabled people additional to that provided by the Access to Work programme, should they wish to do so. Given that Access to Work is an integral element of the support we offer, let me be clear that this Government intend to continue the Access to Work provision in Scotland and will retain the associated funding I hope that my response has assured hon. Members that clause 26 fully enables the Scottish Parliament to make the provisions covered in amendments 9, 10 and 114 and has set out a clear rationale as to why the Access to Work programme will remain a reserved programme.
ParlaMint-GB_2015-06-30-commons.u367	We have had a fascinating debate, and it has been a pleasure to participate in it. It seems to me that there is much agreement across the Benches on this side of the House. The hon. Member for Stretford and Urmston (Kate Green) made some important points about tailoring work programmes in de-industrialised areas, and I certainly agree with much of what she said about West Lothian. Although Livingston is its name, it does not fully take into consideration the many former mining towns in my constituency. I well know the impact of de-industrialisation and the need for tailored work programmes there The hon. Member for Edinburgh South (Ian Murray) touched on the future jobs fund, and I would certainly be interested in looking further at how we can work together on that. The hon. Member for Stretford and Urmston highlighted the importance she placed on it, and made it clear that she saw the importance of devolution My hon. Friend the Member for Glasgow South West (Chris Stephens) spoke about his experience as a Unison representative, the importance of access to work for those with disabilities and how those who were already in work could be helped to find further employment if they developed a disability. My hon. Friend the Member for Banff and Buchan (Dr Whiteford) spoke passionately—as she has throughout the debate—about Opportunities for All. That initiative has been a huge success in Scotland, and it is a very good example of how local authorities can work closely with the Government. I think that my hon. Friend the Member for Angus (Mike Weir) and I are still stuck on the point made by the hon. Member for Edinburgh South about the detail of the devolution of those powers to local authorities, given that, as was pointed out by my hon. Friend the Member for Banff and Buchan, 90% of ring-fencing has been abolished The hon. Member for Edinburgh South also referred to college funding. He may have missed my comments about the increase in the number of modern apprenticeships, and the investment that has been made by the SNP Government. We are clearly investing more in colleges than Labour ever did. College resource budgets increased to £526 million in 2015-16, which is well above Labour’s highest level of £510 million in 2006-07, in cash terms. The number of full-time students aged under 25 has increased by more than 15%, and the number of those aged over 25 has also risen. The Minister talked a great deal about Access to Work, and why it should not be devolved. She spoke of the success of the current system, and said that it might become disjointed if further powers were devolved. We would argue that there is already a significantly disjointed approach, given the number of problems caused by benefit sanctions. I know that many of our constituents come to our surgeries, and walk through the doors of our constituency offices, with harrowing and desperate stories about sanctions, and citizens advice bureaux have informed us of a number of such cases A CAB in the south of Scotland reported that a client had been sanctioned for the second time for failing to log into Universal Jobmatch. The client’s local library had been closed for refurbishment, and there was no other access to public computers in the local area. The sanction was upheld following a mandatory reconsideration request, and the client produced a letter from his doctor stating that his mental health had declined as a direct result. He was also building up council tax debts, and his home telephone had been disconnected We must remember that we are not just debating statistics today; we are debating real people’s lives, and real situations. We are talking about people left in desperate circumstances as a result of benefit sanctions. If we do not change the system, people in Scotland and throughout the United Kingdom will continue to suffer Question put, That the amendment be made.
ParlaMint-GB_2015-06-30-commons.u368	On a point of order, Mr Deputy Speaker. I do not normally make points of order, but I wonder whether you can confirm that we have just voted on new clause 39, on the fundamental principle of the devolution of national insurance, without having had any debate on it.
ParlaMint-GB_2015-06-30-commons.u369	As the hon. Gentleman well knows, that is not a point of order. I know he would not question the Chair as the decision was taken earlier.
ParlaMint-GB_2015-06-30-commons.u370	I very much appreciate the opportunity of an Adjournment debate on the Aberdeen city region deal. The coalition Government announced in the Budget earlier this year that they would enter negotiations with Aberdeen city and shire on a possible city region deal for the area. I appreciate the Minister’s presence to reply to the debate and I am grateful that my hon. Friend the Member for Aberdeen South (Callum McCaig) and I will have a little longer to address the issue Since the 1970s, Aberdeen has been one of the major economic powerhouses of the UK. Our local city and shire economies created 42,200 jobs between 2000 and 2012, a rate of growth double the Scottish average. Aberdeen is ranked fourth among 64 cities in terms of the number of patents per head of population. In 2011-12, the oil and gas industry paid 16.4% of all corporation tax collected in the UK Although the oil industry has made a significant contribution to the economy of these islands, many in our city feel that deserved improvements have passed us by. The Government’s “UK Oil and Gas” industrial strategy, published in 2013, summed up the situation. It stated: “While the strengths of the sector are UK wide, Aberdeen has established itself as a global hub for oil and gas expertise. This has happened in spite of, not because of its infrastructure. From a small airport through to traffic congestion and limited housing stock, Aberdeen has struggled to keep up with the demands of the oil and gas sector.” Major infrastructure projects, which have been in the pipeline since the 1940s, are only just beginning to come through for my residents. The Haudagain roundabout improvement scheme, the western peripheral route and the third Don crossing have been long-awaited by people throughout Aberdeen, but it is only now that these are progressing.
ParlaMint-GB_2015-06-30-commons.u371	rose—
ParlaMint-GB_2015-06-30-commons.u372	Does my hon. Friend agree that it is great to see the councils of both Aberdeenshire and Aberdeen city working together to secure this deal, which will benefit both the people in my constituency and hers?
ParlaMint-GB_2015-06-30-commons.u373	I will come on to the point my hon. Friend raises in a few moments Our city’s transport connectivity is regularly flagged up as concerning. There is a heavy reliance on cars and high vehicle ownership, as the infrastructure and connectivity are sadly lacking at the moment. The city deal proposal highlights an opportunity for change to be made. Increasing the transport links will allow public transport in the city to become more fit for purpose and to encourage a reduction in car use. Aberdeen’s Union Street has degenerated over the years, as private companies have bought up properties and shirked their responsibilities in terms of maintenance and upkeep. I hope and believe that the city deal and the level of collaboration between organisations can ensure that agreement is forged on a way forward for our city centre. We want the local population to be drawn into the centre, to share experiences in a pleasant, welcoming environment, and to feel proud to live and work in our beautiful city Increasing the ability of companies to attract talent to our region will increase our economic output. I am so pleased that Aberdeen City Council, Aberdeenshire Council, Robert Gordon University, Aberdeen University, the local business community, the Scottish Government and the UK Government are working together to progress this proposal.
ParlaMint-GB_2015-06-30-commons.u374	I had the pleasure of working with Aberdeen as part of the Scottish Cities Alliance. Many of the organisations my hon. Friend mentions have been critical in pulling together the project for Aberdeen. As a representative of the other most northerly city in Scotland, Inverness, the links between Inverness and Aberdeen are very clear. The generation of employment and our ability to retain and encourage young people into new careers are vital. That work together was best demonstrated in the work of the Highland Council at the advanced stage, before the election was called, with the Scottish Government, the Scottish Cities Alliance, the universities and other groups involved in pulling together the campus and sports hub for young people. Does my hon. Friend agree—
ParlaMint-GB_2015-06-30-commons.u375	Order. I am trying to be as generous as I can. They are interventions, not speeches. My quick advice would be: if you have a long intervention, do it in two stages.
ParlaMint-GB_2015-06-30-commons.u376	I agree with my hon. Friend. Although there are local issues, both Aberdeen and Inverness have the same concerns regarding the current lack of connectivity with the rest of the country. Anything that improves our access to the rest of the UK will improve economic opportunities for those living in our city regions.
ParlaMint-GB_2015-06-30-commons.u377	Thank you for your advice, Mr Deputy Speaker. Does my hon. Friend agree that this is an opportunity for the UK Government to demonstrate a commitment to the cities and regions in our area, which is the most northerly part of Scotland and the UK?
ParlaMint-GB_2015-06-30-commons.u378	Absolutely. That is very important. As I said, there has been a level of concern from some of our residents that we are a bit forgotten about, because we are so far away. We need to work to change that The city deal for Aberdeen is a truly excellent example of joint working, not just between the two Governments, where relations have occasionally been strained, but between the two councils, where this level of joint working simply has not been seen before. One of the most difficult problems for those living in Aberdeen city and shire is the cost of housing. There is a lack of affordable accommodation, and our councils and NHS are finding it difficult to keep key workers. In recent years, we have struggled to recruit and retain teachers, social workers and nurses. With high land values in Aberdeen, it is really difficult for social landlords to fund the building of new social housing. For years, the city’s social housing stock has been reducing, and there are thousands of families on the council’s housing waiting list. Despite some recent new builds, many are still stranded in inappropriate accommodation or forced to consider moving to other parts of the region or country The city deal proposal includes a £350 million ring-fenced loan guarantee facility from Infrastructure UK for housing in Aberdeen city and Aberdeenshire. It also proposes a significant increase in the number of homes available for lease from both councils. As I mentioned in my maiden speech, the lack of suitable affordable housing is a huge problem for my constituents, and the issue is exacerbated by the success of the oil and gas sector. I really cannot overstress the importance of this issue to people living in Aberdeen.
ParlaMint-GB_2015-06-30-commons.u379	My hon. Friend makes a crucial point about social housing in Aberdeen, but does she also accept that the investment in the Inverness-Aberdeen railway line will make realistic commuting possibilities available to a range of people across the community? Does she agree about the importance of that investment and our working together to maximise the opportunity?
ParlaMint-GB_2015-06-30-commons.u380	I absolutely agree with my right hon. Friend. The infrastructure system in London is so far away from our system. We do not have two railway lines beside each other, meaning that trains can only pass at certain points.
ParlaMint-GB_2015-06-30-commons.u381	You’ve got trains?
ParlaMint-GB_2015-06-30-commons.u382	Yes, we do have trains, unlike in some parts of northern Scotland. We are very lucky. The upgrades to the line, however, will make a significant difference to commuters. A huge number of people commute already, particularly from regions in the north-east, and if we can improve the railway line, particularly by dualling it in places so that more trains can pass, that will only improve our connectivity We need to ensure that our population continues to live and work successfully in the area. In Aberdeen, we have low unemployment, at just 2.3%, but 25% of our working age population earn under £15,000 a year. Large salaries are pushing up the cost of land and the price of housing, however, so we need to ensure that those on lower wages have access to affordable or social housing, both of which have been sadly lacking in Aberdeen throughout the past 20 years. Lower housing costs increase people’s and families’ disposable incomes, which boosts the local economy by increasing spending In order to sustain the oil and gas industry and unlock future opportunities, we must act now to ensure that Aberdeen continues to be a competitive region and a global centre of excellence. With the challenges of a mature field and a low oil price, we need to get very good very quickly at performing in this new environment. Aberdeen and Aberdeenshire need to become world leaders at things such as decommissioning—we have the talent and skills locally and the ability to export those skills as other fields across the world reach the end of production. We have the export infrastructure—we are very good at it and we do it a lot—but we need to be doing the same for things such as decommissioning. We can be world leaders in this. We also have a huge pool of talented engineers, scientists and industry experts in technology, which means that Aberdeen is uniquely placed to take the lead for the UK in renewable technologies as well I look forward to hearing the Minister’s views on the Aberdeen city region deal. I am keen to hear whether he can provide us with more information on the timeline going forward. This is a long overdue and positive initiative for our wonderful city.
ParlaMint-GB_2015-06-30-commons.u383	I thank my hon. Friend the Member for Aberdeen North (Kirsty Blackman) for securing this debate and echo her words of gratitude to the Minister for generously allowing me to contribute This is a hugely important matter for Aberdeen and north-east Scotland. Following the collapse in the oil price, Aberdeen City Council hosted a summit of key industry and Government figures attended by local government, the Scottish Government and the UK Government. At that conference, Malcolm Webb, the former chief executive of Oil and Gas UK, said: “Currently I am afraid Aberdeen is part of the cost and efficiency problem whereas, with the right investment in its infrastructure, it can be an important part of the solution.” The oil and gas industry clearly has a job of work to do to reduce its own cost base, but when someone so key in the industry suggests that the very infrastructure and nature of the city and region that host that infrastructure, are part of the blockage and cost difficulty, everyone with a vested interest in seeing Aberdeen flourish—this Chamber as a whole—needs to listen.
ParlaMint-GB_2015-06-30-commons.u384	My hon. Friend is making an important point about infrastructure. Nowhere are the infrastructure challenges more acute than in the very north of Aberdeenshire, particularly in the parts that I represent. The city deal offers great opportunities for the city and the shire, but I am concerned to ensure that the rest of Aberdeenshire that will not be affected by the city deals does not fall further behind. Will my hon. Friend agree to make sure that that does not happen as we go forward?
