ParlaMint-GB_2015-02-05-lords.u1	To ask Her Majesty’s Government what recent assessment they have made of the Russian armed forces.
ParlaMint-GB_2015-02-05-lords.u160	My Lords, I am not in a position of having to thank many noble Lords for taking part in this enormous debate; nevertheless, I thank the noble Lord, Lord Collins, and my noble friend for replying It was clear from the debate in Grand Committee that your Lordships did not appreciate the importance of the issue, and it is clear that your Lordships have not appreciated its importance today. It is, however, clear that over the past few years, while the voice of the BBC in your Lordships’ House has increased significantly, the volume of sound that comes from the charity sector has, sadly, reduced Society lottery regulations were designed 40 years ago, when society had rather a different view of gambling. The gambling industry has changed beyond recognition —in particular, the Government themselves are now the largest player in that industry through their ownership and promotion of the National Lottery. In his answer, my noble friend made it clear that protecting the National Lottery is rather more important than any of the other issues on the table The noble Lord, Lord Collins, made some useful comments in taking this debate forward. However, I say to him that the information on ticket sales—the number of sales, which charity the money goes to and what percentage of the money goes to the charity—is in the public domain. Every charity files a return to the Gambling Commission, which is put on its website. Any member of the public can see exactly where the money has gone, how much was raised and how much went out in prizes. It is a requirement of regulations that societies do that and there is no question that that should not be changed. There is no reason why that should not continue. I am sure that the noble Lord knows that every charity lottery ticket has the name of the charity written on it. It is not difficult to tell where the money is going.
ParlaMint-GB_2015-02-05-lords.u161	My Lords, in speaking to Amendment 30, I declare my interest as a member of Bristol City Council. This amendment seeks to restore to Bristol people the same right that people of other cities have to change their system of government, subject to conditions required by the Local Government Act. A section added in 2011 relates to local authority referendums for elected mayors ordered by the Secretary of State. Noble Lords may recall that in 2012, the Government required that the 12 largest cities in England call referendums on whether their residents wished them to introduce a system of directly elected mayors. Bristol was the only city to vote narrowly in favour of such a system The section removes the right of Bristol citizens to change their system of government in perpetuity. This fact was not made at all clear when they voted in the referendum. As more and more people have found out that that is the case, they are quite outraged and feel that they are being discriminated against by virtue of having supported the Government’s arguments for a mayoral system. Whatever the view is about elected mayors—and there are many—many Bristol people are astounded that they have been denied the democratic rights that other cities enjoy as to whether or not they have a mayoral system. I can believe that this was not an intended consequence of the legislation. Nevertheless, it clearly is unjust and needs to be changed I say, “in my view”, but this view is also supported across the political parties in Bristol and by the mayor, as he said at a recent council meeting when a motion was unanimously passed supporting change—change not necessarily from a mayoral system but change to enable the citizens of Bristol to decide themselves what system of government they wish to have The Local Government Act lays down clear conditions as to how a local authority may change its governance arrangements, including the need for a referendum as fully described in Section 9N. The current situation is unnecessary, unjust and discriminatory in that Bristol people should be deprived of their democratic rights to determine their own system of governance, which is the case in every other English city I hope the amendment will receive support and that the Minister will consider how the current situation could be redressed and restore democratic rights to the people of Bristol. I hope the House will give its support in taking this matter forward. I beg to move.
ParlaMint-GB_2015-02-05-lords.u162	My Lords, we have a good deal of sympathy with the amendment, which, as the noble Baroness said, has cross-party support in Bristol. I have been in touch with the leader of the Labour group there, who confirms her support for it As we have heard, Bristol was one of 12 cities that had a referendum foisted on it by this coalition Government, and it is worth reflecting on the extent of that mandate. The turnout was 24%, with 41,000 voting for and 36,000 against. So 77,000 people voted and the majority was about 5,000 We know also that central Governments have an appetite for elected mayors that is not altogether reflected at local government level. The noble Baroness was right to point out how you change your system of governance and the constraints that you have. I have a helpful briefing from the House of Commons Library, which states: “Under the 2000 Act, any local authority wishing to establish a mayoralty required a ‘yes’ vote in a local referendum. The 2007 Act changed this, permitting local authorities to adopt a mayor by resolution. However, an authority can still choose to hold a referendum on the issue. Alternatively, authorities can be obliged to hold a mayoral referendum if 5% or more of the local electorate sign a petition demanding one … The Government may also compel an authority”— which is what happened in this case— “to hold a referendum. The result of a mayoral referendum is binding on a local authority The Localism Act 2011 permitted a referendum to be held on abolishing an elected mayor, subject to time limits; and for a referendum to be held on establishing a leader and cabinet, or on using the committee system. Four authorities have held referendums on whether to retain their mayoral system. Electors in Doncaster … and Middlesbrough … voted to retain their elected mayor, whilst those in Hartlepool … voted to replace it with the committee system, and those in Stoke-on-Trent … voted to replace it with a leader and cabinet system Authorities which have changed their governance arrangements as a result of a referendum can only make a further change following a further referendum” That is not unreasonable. It goes on: “Where a local authority has held a referendum on its governance arrangements, a further referendum may not be held for ten years (five years in Wales). Conversely, where a mayor has been created by resolution of the council, five years must elapse before the council may resolve to abolish the mayor. However, there is no time limit on holding a referendum (whether initiated by the council or by a petition) to reverse a decision made by a resolution” I come to the crucial point: “Further, where a local authority has been required by the Government to hold a referendum and voted for an elected mayor, it may not hold a further referendum at any time. Bristol City Council is the only authority affected by this: as the law stands it cannot move away from its elected mayoralty” As the noble Baroness has said, it is held in that position in perpetuity. That just does not seem right, and perhaps the Minister will take the opportunity to explain why the Government think it is. However, if they do see it as an anomaly and an injustice, what do they propose to do about it?
ParlaMint-GB_2015-02-05-lords.u163	My Lords, in preparing for the amendment I realised that I do not fully understand the evolution of the office of mayor in British local government. I am well aware that Titus Salt, who built Saltaire, was the mayor of Bradford for several years and as the leader of the council was very much an executive mayor. One did not have to be elected to be an executive mayor. We have since separated the ceremonial function of mayor and the power-wielding function of leader. It is only the elected mayor who gains executive control and leadership, and that is something which I trust others with greater local authority experience than I have will explain to me why and how this evolved The precedent for introducing mayoral governance following a referendum instigated by Parliament was first set when the London mayor was established. In this case Parliament instigated a referendum through enacting primary legislation. The electors then voted for London having a mayor, and by a further Act of Parliament the arrangements were introduced. There is no provision in those arrangements for the people of London to vote that they no longer want a mayor. Indeed, I am confident that no one would want to see the end of the London mayor, given the status of this great city, although occasionally there is a little confusion abroad when the Lord Mayor arrives just after the London mayor has been there—even if some might wish to see a different mayor to the current holder of that office. But the essential point for this afternoon is that there is no provision for there to be any change in the formation of the office of London mayor unless Parliament were to agree The same broad precedent was followed in the legislative arrangements that led to the establishment of mayoral governance in the city of Bristol. In that case Parliament, through approving by a resolution of both Houses an appropriate order under the Local Government Act 2000, an Act passed by a Labour Government, instigated a referendum. The people of Bristol then voted for a mayor, and that form of mayoral government was then established under the Act. As in the case of the London mayor, mayoral governance in Bristol can be changed only by a further Act of Parliament. The amendment before us today would change this. It would mean that the electors of Bristol could, if they chose, have a referendum by petitioning for one. If they voted to end the mayoral model, it would end. This is indeed the position in cases where a mayor has been introduced wholly by local choice. If it is wholly local choice to establish the mayor, it follows that wholly local choice should be able to end the mayoral governance However, the Government believe that it would be wrong to create circumstances where a mayor is established through a specific decision of Parliament and local choice together, but could be ended simply by local choice. I am not suggesting that Bristol should for ever have a form of mayoral governance if there is popular local disillusion, but the decision to change the governance of Bristol, having been instigated in part through a decision of Parliament, should also involve some parliamentary consideration of the specific Bristol issue and not simply be a matter of wholly local choice. It should be for the next Parliament to consider whether it wants to take parliamentary action in matters like this. Meanwhile, I urge the noble Baroness to withdraw her amendment.
ParlaMint-GB_2015-02-05-lords.u164	Does the Minister not accept that the parliamentary component of this could be the acceptance of the amendment? There could then be a referendum and the people of Bristol would have their input at that stage.
ParlaMint-GB_2015-02-05-lords.u165	I accept that if there were very strong feeling in both Houses, that would be possible, but it is the Government’s view that this would be better achieved through an Act of Parliament that could consider how recent developments in local authority governance have worked, and that would perhaps reverse the thrust of the promotion of local elected mayors for the major authorities across England and Wales.
ParlaMint-GB_2015-02-05-lords.u166	I am very grateful to the noble Lord, Lord McKenzie, for his sympathetic response but am rather disappointed that there does not appear to be a great deal of support for this amendment. Nevertheless, I do not believe that it will go away. I am sure that it will come back again and again. The explanation that the Act of Parliament relating to London is another example is not right, because in London the elected mayor has strategic powers, with 32 London boroughs and the City carrying out the functions of local government, so there is more of a subsidiarity issue than in other cities I would like to press the case in future. As I say, I am sure that this will not go away. I believe that Bristol people should have the same rights as the people of other cities in England and shall of course look for other ways in which I might be able to take this forward. Having said that, I beg leave to withdraw the amendment.
ParlaMint-GB_2015-02-05-lords.u167	My Lords, the amendments in this group are minor and technical. Schedule 19 makes significant amendment to the Poisons Act 1972. In particular, it creates a number of regulation-making powers. This will enable the Government to make regulations in relation to both poisons and explosives precursors that will supplement the licensing regime established by the various amendments to the Act as well as further provision in relation to poisons, given that the Poisons Rules 1982 will fall once the amendments take effect. I am sure all noble Lords understand that the sort of poisons and precursors available have been changing because of various chemical and other developments. We are all aware of the particular problem that we have with precursors nowadays with the ability to make various sorts of improvised explosive devices New Section 7(1)(a) is generally worded, enabling regulations to be made about, “the importation, supply, acquisition, possession or use of substances by or to any person or class of person” New Sections 7(1)(b) to 7(1)(f) list other specific matters about which regulations can be made, for example the storage of substances and the periods for which records are to be kept. The amendment makes it clear that the list of specific matters are not to be taken as limiting the provision that can be made under the more generally worded new Section 7(1)(a). Amendment 32 provides that any power to make regulations under the Act includes the power to make consequential amendments. This is a standard provision Amendment 33 relates to Clause 78 and is needed to enable an NHS trust to be dissolved—a different subject—when an acquisition has taken place under new Section 56AA. Paragraph 31 of Schedule 4 to the 2006 Act provides that an NHS trust may be dissolved or wound up only if the Secretary of State or Monitor makes an order to dissolve it within the context of a merger or a separation. As it stands, paragraph 31 of Schedule 4 does not take into account the new Section 56AA inserted by Clause 78, which clarifies the position of trusts and assets and liabilities at the point of acquisition upon the grant of an acquisition by Monitor. This technical amendment to paragraph 31 of Schedule 4, inserting a reference to the new Section 56AA, will enable the provision to reflect the fact that an NHS trust can be dissolved within the context of an acquisition in accordance with new Section 56AA. As stated earlier, this is a minor technical amendment that ensures that paragraph 31 of Schedule 4 is consistent with the changes proposed in Clause 78. I beg to move.
ParlaMint-GB_2015-02-05-lords.u168	My Lords, I thank the Minister for that very lucid explanation of these two slightly different changes in the current versions of the Bill. As he says, they are minor, technical amendments and they largely tidy up and make right something that was missed as a result of changes My point is about the poisons and explosives section. I went back to the discussions that we had in Committee, in particular the question of consultation. My noble friend Lady Smith represented us on that occasion and asked the Minister whether it would be possible to have sight of the full list of consultees who had been involved in this process because she was interested in that, and wondered whether, subject to normal confidentiality procedures, he could publish the full consultation responses from the two consultations on poisons and explosives. I think the Minister said that he would do that, but we have not received it yet. I wonder if he could remedy that.
ParlaMint-GB_2015-02-05-lords.u169	My Lords, I apologise profusely for the failure and I assure the noble Lord that we will remedy it as soon as possible, possibly even imminently.
ParlaMint-GB_2015-02-05-lords.u170	My Lords, I thank the noble Lord, Lord Nash, the Minister, for finding time for two meetings to discuss our concerns about this issue and the removal of a safeguard from the child protection system. We thought carefully about bringing this issue back to the House at this point but there is a high level of risk associated with the child protection functions, and the fact that the regulations were tabled and passed only last year suggests that the arrangements are still very much at an early stage and that it is really premature to remove the requirement for these delegated services to be registered We note that local authorities will remain accountable to the regulators for the quality of the services provided, but the fact is that the regulated services will not sit directly within the purview of local authorities and we know that commissioning, contract compliance and adhering to rules around commercial secrecy are still in their infancy and untried with respect to child protection decision-making functions. Indeed, in our meetings the Minister himself referred to the poor commissioning and contracting skills of local authorities that he had identified, and we agree with his concern. These new functions will take time to bed down. Staff need to be trained. They need some experience and you cannot achieve that overnight. For local authorities, quality assurance in external organisations may prove very difficult to achieve. An experienced principal social worker describes numerous occasions of near-misses in contracted-out services affecting children and adults in community settings, and the incredible frustration of trying to get contractors and agency suppliers to take remedial action to improve the quality of care provided With the extension of delegated functions to include child protection functions, among others, the risks will increase sharply. There is the potential for the emergence of much larger market providers with subcontractors—of firms establishing a string of not-for-profit subsidiaries with supply lines that are difficult to hold to account. These are the concerns of the College of Social Work that we are reflecting today. We understand that local authorities will be inspected to check whether they have commissioned the functions and services appropriately and whether they are ensuring contract compliance. There are concerns about the quality of that inspection and the training of the staff within the inspectorate. There are matters there that need to be dealt with The Minister kindly sent us some key extracts from the Ofsted documentation which make it clear that inspection of local authorities will take place about every three years. Yes, a local authority will be reinspected within 12 weeks following the delegation of functions if the local authority had previously been judged inadequate. But local authority services may be perfectly adequate even if their commissioning and contract compliance skills are yet to be developed, so there is no reason to believe that there will be an inspection within 12 weeks. In that case, we are talking about three years. An awful lot of children may be damaged in that time. In this context we should be strengthening rather than scrapping the registration requirement. This should at least ensure that any organisation taking on this work has the basic structures, supervision arrangements and risk management procedures in place. The Minister argued, very reasonably, that Ofsted does not have the resources to undertake this registration function effectively. If that is the case, the delegation of these services should not go ahead until the ways and means are found to provide that assurance We know that in this very difficult field disasters will occasionally happen. Social services staff may not be proficient in commissioning and contracting, as I have already said, but they have considerable experience in child protection. Every day, children are protected by social workers from sick, disturbed or dangerous parents. As in the terrorist field, the perpetrators have to succeed only once, whereas the staff in these agencies have to fail only once and all hell is let loose, as we know These are extraordinarily difficult and stressful areas of work. We should not increase the risks involved. We understand that a number of local authorities are being instructed to delegate these functions. There will be the possibility therefore of a pilot, which could be risk-assessed. Our amendment requires the undertaking of a risk assessment of the delegation by local authorities of their child protection functions and services before the registration of those services can be abolished. That is the whole point: it is early days and it is premature to be taking this step We also propose that the report on the risk assessment be published within 18 months of the passing of the Act. We assume that the Government of the day would take appropriate action if the assessment showed that the risks of delegating those functions were unacceptably high. I look forward to the Minister’s reply and beg to move.
ParlaMint-GB_2015-02-05-lords.u171	My Lords, this amendment is about child protection and ensuring appropriate government responsibility for the regulation and quality of care offered by outsourced social work providers. Although most local authorities do their best to uphold standards, this important area cannot be left entirely to them, with very occasional inspections from Ofsted—as the noble Baroness, Lady Meacher, has just said Local authorities have stated that it is, “important to ensure there is a proper, external to the local authority, registration process to enable a local authority to be confident in using the services provided by the SWP”— that is, the social work provider. The government proposal is that the external providers of social work services will not be inspected in their own right by Ofsted, nor will they be registered as providers in the way that children’s homes and adoption societies are, so there is already an anomaly here. There will be no overview of their activities across local authorities where they hold contracts and no visible assurances for the public about their financial viability, quality or working practices In June 2013, the Delegated Powers and Regulatory Reform Committee criticised the Government’s proposals to remove regulation of social work providers. It stated: “Registration … would allow the imposition of national minimum standards and requirements as to the fitness of providers, and would also provide a mechanism for removing providers who were failing to meet standards” The Government subsequently retained separate registration, but not inspection, for external providers through the Providers of Social Work Services (England) Regulations 2013, to which the noble Baroness, Lady Meacher, has already referred. The discussions are less than 14 months old, and now the Government seek to remove even that provision of registration. This is in the context of there having been no empirical review of the 2013 regulations to see how they are working. Our amendment asks for a pause for the review to be conducted to satisfy ourselves that the most vulnerable children in our society have some protection Finally, social workers, whether working for the public or private sector, have a difficult if not impossible task with a heavy if not impossible workload. They take decisions every day which could mean life or death. Yet the only time that they receive publicity is when things go wrong. I believe that it is the duty of Government to ensure that standards across the profession are of good quality and that local authorities are not left high and dry on this issue. I hope that noble Lords will see fit to support this amendment.
ParlaMint-GB_2015-02-05-lords.u172	My Lords, those of us who were involved in the early discussions about the possible privatisation of areas of social work were assured at the time that child protection would not be something that went off the radar and that, in particular, we would see registration of child protection services take place, along with a proper review. Why have we suddenly had that foreshortened? I really do not understand that Other areas of childcare have registration—and it works. The noble Baroness just mentioned those. Surely this is the highest-profile area as well as the one where most of us would be deeply concerned. A lifetime in child protection work tells me that we must deal with this with the utmost care. I am not saying that in the long term we will not find services that work but rather that we need to view them with the utmost care at the moment and that registration and a review of it will help to ensure that we do not take the wrong step at the wrong time. A standard answer this afternoon on this would not be good enough. We have the national inquiry going on and child protection on the front page of every newspaper, and on television and radio. Yet here we are suggesting that we remove the safeguards from one area of child protection. That is just not good enough I am often on the receiving end of contracts with local authorities in other areas. As we heard from both noble Baronesses, local authorities are exceptional at child protection. We have had some extraordinary failures, which are in the papers at the moment—and we all deeply regret them. However, day in, day out, thousands of children on child protection registers are looked after and cared for by social workers up and down the country, usually working hours way above those they are contracted for and putting themselves at risk because if they get it wrong they will not only endanger a child but destroy their career overnight. As someone who has sat through two child abuse inquiries, and survived them, I know just how painful that can be for those involved We acknowledge what social workers do, but the local authorities’ contracting services are still in their infancy. One thing that local authorities tend to do because of the pressure they are under is look for what might be the cheapest rather than the best- quality service. I hope that they would not do this in child protection, but I see it in the delivery of adult services, because local authorities are under so much financial pressure at the moment. I do not criticise them for trying to find the best way to deliver their services My other concern is that if Ofsted does not have time to do the registration, as we have been told, however will it find time to do the right kind of inspections of these services? We have heard in other places that Ofsted is under extreme pressure. Again, I am not being critical. I understand that; I have been a regulator in another important place. But if we are committed to quality and to truly protecting our children, and if we recognise where this is on the national agenda, we will surely take a little more time—that is all the amendment asks for—to evaluate whether this is the best way forward. I ask the Minister to consider that very carefully in the interests of the nation’s most vulnerable children.
ParlaMint-GB_2015-02-05-lords.u173	My Lords, I support the arguments made this afternoon by the noble Baroness, Lady Meacher, and my noble friend Lady Donaghy. At the heart of the concerns raised by everyone is that the Government have not presented an adequate case for why the changes to social work regulation are necessary. The Minister does not need me to tell him of the perilous state of social work provision in the country at present. Demand for intervention is increasing massively, particularly in the wake of the new focus on child abuse cases. Meanwhile, children are being put at risk because about 11% of social work posts are unfilled. A recent NSPCC report warned that social workers are, “frequently operating without the support, time, knowledge and training they needed to ensure the identification of sexual abuse and the protection and well-being of extremely vulnerable children” Those concerns apply not just to social workers employed in children’s departments but across the spectrum, including the charitable and private sectors. Only yesterday, the Home Secretary said: “With every passing day and every new revelation, it is clear that the sexual abuse of children has taken place, and is still taking place, on a scale that we still cannot fully comprehend”.—[Official Report, Commons, 4/2/15; col. 658.] So why are we making these changes at this very sensitive time My co-signers to the amendment have rightly identified that there is a chorus of opposition to the proposals from those involved in the sector. The changes are opposed by the Local Government Association, the College of Social Work and Unison, which represents those working in the sector. All have identified the risks of reducing regulation in the sector. Their concerns have been echoed by the Children’s Commissioner, who is the independent voice protecting the welfare of children in England, who stated: “We consider all delegated social care services should be required to have formal registration with Ofsted in addition to an expectation that they will be held to account by rigorous and expert inspection, just as local authorities currently are” We should be taking heed of these voices. If the reason for the proposals is to save money, it would be helpful to know just how much the Government believe will be saved. As has been said, it may well be that Ofsted feels that it is overworked and does not have the resources to carry out the regulation function adequately—but then we need to address that issue head on, rather than simply allow it to walk away from the role. If the intention is to transfer responsibility for regulation of those providers to local authorities, it would be helpful to know whether they will be given the additional funds to carry out their work—I rather suspect that that is not the case However, fundamentally, this is not about money, it is about risk. The Government have provided no evidence that they have weighed the risk of removing regulation from third-sector social work organisations. I remember raising concerns with the previous Government about the reduced regulation of private care homes. It has taken many years and a lot of suffering—even deaths—before we realised that we, the state, had an overwhelming responsibility to protect the most vulnerable, whoever is providing the service. Let us not make that same mistake again Ofsted already inspects local authorities and in-house children’s services. It already regulates the private and charitable sectors providing social work services. This includes checking that they pass the fit and proper person test. Of course, we could be talking about very large companies, so local authorities may have very difficult relationships with them. Why would we want to lose those skills at this critical time for the sector? The role being assigned to local authorities is very different from that of a regulator. They are not the regulator. Their function in contracting out social work services is focused on procurement and contract compliance. We would end up with a fractured line of accountability for the services provided by contracted-out social workers Our amendment would provide a crucial pause in the Government’s proposals. It would provide time for the Government to have further talks with those who continue to have major concerns about the changes. Most crucially, it would allow the Government to carry out and publish a proper risk assessment, so that we can all be sure that child protection functions will be protected under their proposals. The consequence of getting this wrong is just too traumatic. We need to take the time to get this right, and we have the responsibility to do so. I hope that noble Lords will support our amendment.
ParlaMint-GB_2015-02-05-lords.u174	My Lords, I suppose that I should declare an interest: my son has lived and worked in the United States for seven years and his American wife is a qualified children’s social worker. She has worked in Boston and is currently working in Chicago, so I have learnt a certain amount about the Massachusetts and Illinois systems of privatised provision of child protection. I am not completely unaware of some of the delicacies in this area. I am of course also acutely aware of the sensitivity of the issue of child protection in British political debate at present. I thank the noble Baronesses for raising this issue and for coming in to discuss further with my noble friend and officials some of the underlying issues at stake. I am well aware that the College of Social Work has strong views on this, although as I understand it the area of social work is not entirely of one mind in how far one needs registration as well as inspection. The questions of registration and inspection are related but not identical. The system of delegation is purely permissive. Local authorities may continue to provide their own services or, as the noble Baroness suggested, delegate to third sector providers or commercial providers in the field. Some do so; many others continue to provide their own direct services. The removal of registration does not mean the removal of inspection.
ParlaMint-GB_2015-02-05-lords.u175	I thank the Minister for giving way. I understand that a number of local authorities are being instructed to delegate out these services. Is that correct or not? It is what I have been told.
ParlaMint-GB_2015-02-05-lords.u176	I am informed that it is not correct. I certainly have no knowledge of it, but my noble friend Lord Nash assures me that it is not the case, so we are not in that area We have an active system of inspection. It is local authorities which are accountable for ensuring that when contracts are signed in this form, the provider is a credible and qualified provider. Having said that, Ofsted is the inspector of such arrangements and it keeps a very active role in watching what happens, receiving reports and then coming in to inspect when reports are provided of inadequate care or the accidents which sadly, as we all know, eventually and occasionally happen. Ofsted shares the Government’s view that registration adds little value and that, in many ways, it risks confusion in the system as to where accountability lies It is the Government’s view that accountability lies with local authorities and that Ofsted, for the Government, provides the continuing process of inspection. There are of course issues about the level of risk and the level of burdens in the system.
ParlaMint-GB_2015-02-05-lords.u177	I have a very small point on accountability, which I proffer to the Minister more in an advisory capacity than a critical one. There are occasions during a ministerial career where, on study, what seems a relatively small decision becomes an obviously profound and very risky decision. That is not to say that it should not be proceeded with—but, having listened to this debate, I have the impression that this is one of them. In the spirit of fraternity, I say to the Minister that if and when, as a result of these changes, there is a disaster with children along the lines of some that we have seen, particularly in the present context, it will not be sufficient to say that the accountability lies with local government. The accountability will come straight back to the Minister and the Government, who have freed this up without adequate protection. We are, quite properly, discussing risk management as regards children, but the Minister should consider the risk management for the reputation of the Government on this issue as well.
ParlaMint-GB_2015-02-05-lords.u178	My Lords, I recognise that the noble Lord speaks with a good deal of experience, and probably some hard knocks, in this field and others. It is, however, the Government’s settled view that, when determining when to inspect local authorities, it is Ofsted that inspects and the local authority that writes the contracts. Ofsted takes careful account of a range of triggers when considering when to inspect. Among a range of factors, the triggers include information about serious incidents involving children—which Ofsted already gathers directly from all local authorities—complaints and whistleblowing information, and intelligence from other sources. In addition, Ofsted has arrangements to inspect local authorities more quickly where functions have been delegated I recognise that this is an issue that we will continue to discuss, but the Government’s position is that Ofsted shares their view that accountability and contracting lie with local authorities, while continuing active inspection lies with Ofsted on behalf of the national Government. I hope that that satisfies the noble Baronesses.
ParlaMint-GB_2015-02-05-lords.u179	The Minister and indeed the Government are clearly set on this path, but one of the requests in the amendment is that there should be a review and that this should be looked at carefully. Will the Government ensure that they can review any of these arrangements that are put in place and learn from them?
ParlaMint-GB_2015-02-05-lords.u180	My Lords, the Government will naturally review the relatively recent arrangements that have been put in place. That of course will be for our successors, whoever they may be in a matter of months’ time, but I assure the noble Baroness that all Governments and Secretaries of State are well aware of the risk factor involved in all this; it is an area that any Government have to pay active attention to.
ParlaMint-GB_2015-02-05-lords.u181	My Lords, I thank the Minister for his reply. I thank my colleagues, my noble friends Lady Donaghy, Lady Howarth and Lady Jones, for their persuasive and powerful contributions—and indeed the noble Lord, Lord Reid The fact is, as we have made clear, that there are major risks in pushing ahead with these delegated services without a proper risk assessment. I am grateful that the Minister assures us that there will be a review of these delegated services; it would be good to have in writing some information about when such a review will occur and the nature and detail of it, because that is fundamentally important. The reality is that we do not feel assured that local authorities will be able adequately to quality-assure all the organisations out there undertaking these sorts of child protection and other related functions; it is just unsafe. Therefore, a review—frankly, I would call it a risk assessment—is fundamental and, hopefully, any Government in power after May will be able to respond appropriately to that. Even at this very late hour, I have to say that I want to test the opinion of the House on this matter because of its gravity.
ParlaMint-GB_2015-02-05-lords.u182	moved Amendment No. 33A:
ParlaMint-GB_2015-02-05-lords.u183	My Lords, I am pleased to move this amendment on behalf of my noble friend Lady Scott of Needham Market. She deserves all the credit for having raised this issue in Committee, and for having spotted the opportunity for it to be included in the Deregulation Bill. She is very grateful for the discussions that she has had with our noble colleague Lord Wallace to move it forward, and we are pleased to have the Government’s support for her amendment. Unfortunately, she is overseas on parliamentary business this week and is very disappointed not to be here, not least to lead her initiative to success As my noble friend said in Committee, civil registration records, which include records of birth, death and marriage, date back to 1837. Regardless of their age, the only way in England and Wales to access this information is to buy a certified copy, a certificate, at a cost of between £9 and £10, depending on whether the certificate is purchased from the General Register Office, which holds the national data set, or from the local register office for the district where the event occurred The principal purpose of this amendment is to allow records to be available other than in the form of a certificate. Many family historians and genealogists do not actually need a certificate but merely the information contained within it. The thinking is that by allowing information, particularly from the older record sets, which is of most interest to such groups, to be made available in alternative formats, it would be cheaper and quicker to obtain, as it is already is in Scotland and Northern Ireland, where they operate a system where records are considered historic at 100 years, 75 years and 50 years for births, marriages and deaths respectively, which allows them to treat access to the older records in different ways. In a similar vein, this clause enables information on birth, death, marriage and civil partnership records in England and Wales to be provided in different ways, based on factors such as the age of the record The clause has been deliberately crafted as a paving amendment to allow the Government full opportunity to consult on the best way in which to bring in changes to how records are accessed. It will provide the Secretary of State with the power to lay regulations to define how a person may access these records, the type of product that can be issued, how the record is to be provided and the amount of fee payable. This would, for example, allow older records to be viewed online, similar to the systems in Scotland and Northern Ireland, or for the introduction of plain paper extracts to be offered to customers who do not require a watermarked certificate The clause would therefore provide a gateway to introducing new products and services relating to birth, death, marriage and civil partnership records. It would accept that any change to the current product and services could not happen immediately; there would need to be a full analysis of the options for implementation, decisions around funding and consultation with key stakeholders. Any change is likely to mean IT system changes. However, the clause lifts those legislative restrictions that have tied the Government’s hands in this area for many years and this is a major step forward to greater and more flexible access. Finally, these powers will apply to copies of entries in the records held by the Registrar General, which means that it would be for the General Register Office to provide any additional products enabled by the powers in this clause. The new clause does not extend to cover local registration services. However, the current ability for an individual to purchase a certificate from either the General Register Office or a local register office will remain. This change would provide wider access to historic records and would be of great interest and benefit to the growing number of people who pursue an interest in genealogy, and in particular to those looking into the history of their families. As my noble friend Lady Scott told us in Committee, one website alone—Ancestry—has 2.7 million subscribers Genealogists from across the world want to trace their ancestors back to these islands. The Irish and Scottish Governments have been much quicker than the English and Welsh Governments to appreciate the great tourist value in people looking for their roots. In Ireland, you can get essential information for €4; for Scotland you can order online from the Scotland’s People Centre. The General Register Office issues thousands of historic copies at £9.75 a copy, but does not make a profit. Putting this information online would fit in well with the Government’s deregulation agenda. The issue has been approached on several occasions in the past 30 years. Public consultation showed overwhelming public support in 1999. The General Register Office proposed a whole package of changes in 2005, but it was too wide-ranging for a regulatory order. This paving amendment will enable action to be taken to widen access to help people access information about their family histories going back 200 years. It is time the English and Welsh caught up with the Scots and the Irish. I beg to move.
