ParlaMint-GB_2015-10-14-commons.u1	1. What estimate she has made of the number of people killed by the IRA.
ParlaMint-GB_2015-10-14-commons.u486	Order. In the light of the level of interest in the debate, a four-minute limit on Back-Bench speeches will apply with immediate effect.
ParlaMint-GB_2015-10-14-commons.u487	It was good to hear the shadow Chancellor refer to his economic advisers. I believe that I heard one of them on the radio this morning. He said that economic policy can be messy. Well, he has got that right, if nothing else. He then said that economic policy can take some time to develop. Before entering this place, I spent 25 years working with investors, and I spent some time in the Treasury. Economic policy may take some time to develop, but rarely is the adage “first impressions count” more true than when setting out one’s economic stall to the markets. The message that the shadow Chancellor has sent out over the past two weeks is one of irresolution. Two weeks ago he was in favour of the charter, but tonight he is against it. It is fine to start a debate, but it will perplex international investors if he is on both sides of that debate at the same time The messages that we send out to those who invest in this country matter. A lack of confidence in the UK economy would affect all other facets. It could affect inward investment. It could cause a sterling crisis. It could increase the interest that we are paying on our debt. I do not believe the MPC fudge will work or hold water. No wonder the president of the CBI has stated: “Firms”—the very same firms that, as the Chancellor mentioned, are delivering the highest rate of employment ever in this country— “have been unwavering in their support for the Chancellor’s deficit reduction plans and will welcome the clarity that the new fiscal rules provide.” However, this is not just about the firms that invest and the investors that provide the wherewithal; it is about the message that we are sending to the people who send us here. They elected a Government on a platform of sorting out our national debt. We have made great strides in reducing the increase in the national debt, but it still stands at over £15,000 per man, woman and child. The current level of debt interest is costing us £1 billion a week. On an annual basis, we are spending half as much to service our national debt as we are to fund the NHS. The scary thing is that that is on a weighted average gilt rate of 2%—a full 3% below where the OBR thought we could be by this stage. I will allow hon. Members to work out the maths for themselves To have no concrete plan to reduce our national debt in the good times will mean one thing—a willingness to increase our national debt still further. As the Chancellor said, Conservative Members know that no Government can abolish boom and bust. We recognise that monetary and fiscal policy must be managed to give the Government the maximum ability to support the vulnerable in the down times. The flexibility that we have through the fiscal charter is meaningful, and essential for the UK. Part of that, crucially, is to reduce our national debt—an ambition that should be shared by Members on both sides of this House.
ParlaMint-GB_2015-10-14-commons.u488	There is a saying in literature that normal is as narrow as the street that you live in. The Chancellor lives in a little gated community—a cul-de-sac with perhaps a problem neighbour next door. The constraint on his economic plans is the backdrop to the decision tonight on whether to have this charter. Yet he cannot cite anyone supporting the charter other than those who are sitting behind him. Our friends in the CBI are not supporting his charter. The City of London is not supporting his charter. The Governor of the Bank of England was not prepared, in the Treasury Committee, to support his charter. Indeed, all the economic experts who came before the Treasury Committee when we looked at this in some depth in July did not at any stage choose to support his charter.
ParlaMint-GB_2015-10-14-commons.u489	rose—
ParlaMint-GB_2015-10-14-commons.u490	There is not enough time to give way Indeed, the Chancellor’s own Conservative colleagues in the Treasury Committee, who are somewhat absent tonight, were reluctant to speak out in favour of his charter. The reason is that it is a political gimmick. It has no necessity other than politics. That is why he has no support anywhere in business or the City for it. Churchill said, “Don’t strive to be ‘normal’.” The Chancellor should heed Churchill’s advice, because “normal times” is the sting in the tail that makes the charter so pernicious. What has happened since Churchill? It is interesting. There has been a bigger percentage of budget surpluses under Labour Governments since Churchill was Prime Minister than under Conservative Governments Far be it from me to cite Margaret Thatcher as a source on this, but Margaret Thatcher, in all but one of her years, ran a budget deficit. Conservative Governments have usually run budget deficits more than Labour Governments. The Chancellor, every single year, has run a budget deficit—a record £505 billion since he came in. Yet he wishes to give us this lock-in that is purely a trap to try to entice the Labour party into stupidity This is Parliament, and in Parliament we vote on legislation. There is plenty of space for political games and political tricks outside, but not in here when we vote on legislation. That is precisely why everybody in the House should vote against it. There are vital economic debates on what the Budget should be—whether there should be cuts, how cuts should be made and what taxation should be, on all of which there are critical and different views—but this is a trick and a gimmick. It is something that our friends in business, our friends in the City and our friends as economists have refused to back. I therefore look forward to Conservative Members also opposing this political gimmickry.
ParlaMint-GB_2015-10-14-commons.u491	In the course of the election campaign, my Conservative colleagues and I spent a great deal of time talking about a long-term economic plan. I did not know at the time that “long-term” meant anything longer than two weeks, but now we know. Tonight, I hope that we will see this, as I know the people of Boston and Skegness do, as the culmination of a policy made possible only by economic credibility. It is only with such policies that more people are in work than ever before, and that more people from workless households are coming into employment than ever before. In Lincolnshire, we see money going to revive deprived coastal areas such as mine in Skegness. We see the fruits of an economic plan coming on stream I hope that, with this policy tonight, we will see a genuine commitment that will be supported by Governments of all stripes throughout the future to making sure that we not only fix the roof when the sun is shining, but make sure we do not run the obscene surpluses—sorry, deficits—that caused so much damage in the past.
ParlaMint-GB_2015-10-14-commons.u492	Will the hon. Gentleman give way?
ParlaMint-GB_2015-10-14-commons.u493	I am afraid that this is a time-limited debate. In the little time I have remaining, I want to emphasise that it is not a ludicrous ambition to have a target for a public sector surplus, as Opposition Members suggest. With economic credibility, it is possible and sensible to do so. In fact, for a credible Government, it should be the only option available.
ParlaMint-GB_2015-10-14-commons.u494	Will the hon. Gentleman give way?
ParlaMint-GB_2015-10-14-commons.u495	I am afraid that I cannot give way I would like colleagues not just from the Conservative side of the House but from both sides of the House to accept that this policy will not just put us on a sustainable economic footing for the future, but make sure that that sustainable economic footing is locked into this House’s legislation. The hon. Member for Bassetlaw (John Mann) said that it was not right to put what he calls “a gimmick” into legislation, but surely it is right to lock in responsible behaviour, given that we know that that was not the case under previous Governments I hope that the House is able to agree that what we can do through legislation is to make sure that only an economically credible policy is the one that a sensible Government is able to offer. With that, I know that the people of Lincolnshire and, I hope, Members from across the House and people across this country understand that economic credibility must to be the defining characteristic of any Government. It is certainly the defining characteristic of this one.
ParlaMint-GB_2015-10-14-commons.u496	I am pleased to follow the hon. Member for Boston and Skegness (Matt Warman). He has clearly not read the columns of his former colleague Martin Wolf, who agrees with the arguments made by Labour Members. If anybody wanted to know whether this was a political gimmick, they only needed to look at the 90 minutes provided on the Order Paper for this debate—a pitiful 90 minutes to discuss something that is meant to be an important economic policy As my hon. Friend the Member for Bassetlaw (John Mann) said, we took evidence on this—
ParlaMint-GB_2015-10-14-commons.u497	Will the hon. Lady give way?
ParlaMint-GB_2015-10-14-commons.u498	No, I will show the hon. Gentleman the same courtesy the Chancellor showed me We took evidence on this matter in the Treasury Committee in July. We found nobody who was prepared to endorse the Chancellor’s proposals. Even the Governor of the Bank of England, when pressed by the Chair of the Select Committee, said that he was “declining to opine on specific legislation” He stated that “the UK Government have had the announced intention in Budgets in place for a sustained fiscal consolidation. That is one of the headwinds against the economy” It was not just left-wing economists who criticised the Chancellor. The head of the Thatcherite Institute of Economic Affairs, Professor Philip Booth, said that the fact that “these very damaging things have been done to child tax credit systems…is my biggest concern.” He continued: “I think in the handbook of possible fiscal rules the Government is choosing a very, very, very bad one.” One of the most pernicious things about the rule that the Chancellor has chosen is that it treats capital and current spending the same. He is ignoring the fact that investing in housing, science, broadband, transport and the university system is a way of strengthening economic productivity and increasing growth in the British economy. Nobody thinks that it is right to max out the credit card to pay the weekly grocery bill—of course not—but families up and down this country take out mortgages to buy their homes. There is a precise parallel here Opposition Members are not deficit deniers. We want to bring down the debt-to-GDP ratio, as the shadow Chancellor said. In that task, the Chancellor has failed spectacularly. The debt has gone up by £500 billion under his stewardship. To get the debt-to-GDP ratio down, we must do two things. We must run the public finances in a sensible way. That means making sensible savings, for example by tackling fraud in the housing benefit system and not going ahead with the ludicrous cuts to inheritance tax, which will benefit the richest in our country. At the same time, we must get sustainable growth into the economy. That means investment.
ParlaMint-GB_2015-10-14-commons.u499	The time limit will be reduced to three minutes to facilitate the participation of one more Member.
ParlaMint-GB_2015-10-14-commons.u500	It is sometimes said that the definition of insanity is doing something over and over again and expecting a different result. On 7 May, the voters decided that it would be insane to let another Labour Government repeat the mistakes that the previous Labour Government made, which, at the very least, seriously worsened the recession. They borrowed too much in order to spend too much The public recognise what Labour Front Benchers seek to deny: that we cannot safeguard people’s jobs and mortgages without a secure and stable economy; that we cannot go on spending far more than we earn for long without getting into a lot of trouble; and that there is absolutely nothing progressive about saddling our children and grandchildren with enormous debts over which they have no say That is why this evening’s vote is a basic test of Labour’s economic credibility. It is not a test of the shadow Chancellor—those results are already in and they do not look good. It is a test for the remaining moderate Members on the Labour Benches: those Members who say that they have listened to what the voters said so clearly in May and learned from it; those Members who agree with the reported comments of my friend and constituent, the hon. Member for Dudley North (Ian Austin), who is not in his place, that it is time that the hon. Member for Islington North (Jeremy Corbyn) started acting like the Leader of the Opposition, rather than a student union president; and even those Members—perhaps there are some—who remember why Tony Blair is still the only Labour leader in my lifetime to win a general election. If they fail that test, they will be failing to support this self-evidently sensible and moderate measure.
ParlaMint-GB_2015-10-14-commons.u501	The hon. Gentleman will be aware from his research for his speech that no Conservative Government in history have ever hit the target being presented to Parliament tonight. None of those historical Conservative Governments ran surpluses according to this fiscal charter. Were the Governments of Harold Macmillan and Margaret Thatcher not economically credible?
ParlaMint-GB_2015-10-14-commons.u502	I am not sure that even needs dignifying with a response. We fought the election on having a balanced budget by 2019-20, as announced in the Budget, and a system with a fiscal mandate that puts us in line with many of the most successful economies around the world.
ParlaMint-GB_2015-10-14-commons.u503	Will my hon. Friend give way?
ParlaMint-GB_2015-10-14-commons.u504	I am sorry but I must conclude If Labour Members fail this test, it will be clearer than ever that it would be absolute insanity to let them anywhere near the control of our economy.
ParlaMint-GB_2015-10-14-commons.u505	The Liberal Democrats will not support the charter tonight. Whatever the machinations in the Labour party, our reasons for opposing it are clear: the charter is just as much about fantasy economics as was Labour’s magic money tree. We remain committed to abolishing the structural deficit by 2017-18, and to seeing debt fall as a percentage of GDP in the following years. We will not, however, abandon the critical need for continued investment in infrastructure, and we will ensure that our economy remains competitive in the medium and long term. We are for sound and stable economic policy—something that sadly has been abandoned first by the official Opposition and now by the Government The charter is a trap set for the Labour party into which it has fallen headlong, and I suggest that it is also a trap for the Government over which they risk tying themselves in knots. What will happen if the Chancellor discovers that the Government are on course to miss their surplus target but growth is just ahead of 1%? Which of his rules will he break? Economic credibility means that markets, businesses and other investors have confidence that the Government will do what they say, and the charter manifestly fails that test. We will vote no tonight because the charter will simply not work. Its purpose is purely political, and parliamentary time should not be abused in this way.
ParlaMint-GB_2015-10-14-commons.u506	What we have seen tonight from the shadow Chancellor must be one of the quickest and most dramatic U-turns by a shadow Chancellor in history. Not two weeks ago he supported the Chancellor’s charter for budget responsibility, and he surprised us and the British people by seeming to agree that we need to run a budget surplus. That was too good to be true, and today he has set his face against fiscal responsibility. By doing so he sets his face against the British people, including my constituents in Kingston and Surbiton Today the shadow Chancellor has given us notice of his plans for more spending funded by more borrowing and higher taxes. In May the British people decided that the Labour party could not be trusted with the economy and that it had not learned from its mistakes last time around. Two weeks ago I was surprised to hear that the shadow Chancellor was ready to take the medicine of accepting Labour’s past economic errors, but now he has shown his true colours by rejecting that medicine and tearing up the prescription. Today he has written out a new prescription—Labour’s prescription—for our economy: more spending, more borrowing and more tax. That is not a prescription for a strong economy, growth or jobs; it is a prescription for economic ruin I see the hon. Member for Ilford North (Wes Streeting) is in his place. It is a shame that his colleague the hon. Member for Ilford South (Mike Gapes) is not, because just a few days ago he said on Twitter: “There is now no collective Shadow cabinet responsibility in our Party, no clarity on economic policy and no credible leadership.” We have seen none from the shadow Chancellor tonight.
ParlaMint-GB_2015-10-14-commons.u507	The Chancellor is deliberately misleading the public by continuing to claim that all borrowing is irresponsible. It is not. What is irresponsible is failing to borrow to invest, providing we are able to sustainably meet the cost of borrowing. That is exactly what I was saying earlier, and what seemed to cause such hilarity on the Government Benches. As long as repayments are affordable, borrowing to invest makes sense. As the hon. Member for Bishop Auckland (Helen Goodman) said, nobody will be saying to homeowners that taking out a mortgage to buy a home is irresponsible, provided they can afford to meet the monthly repayment costs. It represents an investment in the future The Chancellor wants to deny the country the same kind of chance of security combined with planning ahead, whether it relates to investing in energy efficiency and renewables or building enough affordable homes. Fiscal surplus means taking money from the public but not spending some of it. That deprives the economy of money. Compensating for what amounts to a loss of earnings and spending power in the private sector through those unspent taxes is likely to lead to more borrowing elsewhere. In other words, focusing on the Government running a surplus simply means debt being moved somewhere else Even with a reduced rate of cuts to public spending in the run-up to the general election, there has already been a rapid and worrying increase in consumer borrowing. Personal unsecured debts are at an all-time high. The average UK household owes close to £9,000 in unsecured debt and this is expected to rise to £10,000 by the end of 2016. The poorest 20% are taking on more and more debt, while the top 20% have been paying it off. Already, Government policy is not just having the effect of shifting the debt burden on to householders, but is falling disproportionately on the poorest in society Many people might find their debt affordable now, but a 2% increase in interest rates would mean the average household having to find an extra £1,000 a year and an increase in bad debt. The Office for Budget Responsibility forecasts that household debt will rise to a massive 180% of household income by the end of this Parliament. This is completely unsustainable and should be far more concerning to the Chancellor than affordable levels of public spending, not least because the consumer debt levels we are heading for are even higher than the previous record at the height of the debt bubble which brought the economy to its knees in 2008 Finally, there is a certain irony in what the Chancellor is doing: clearing a space in the public finances for dealing with the outcome of the next crash, by way of making a fiscal surplus requirement that itself paves the way for future economic crises.
ParlaMint-GB_2015-10-14-commons.u508	I shall be supporting the charter this evening and I urge colleagues on all sides of the House who want a long-term fiscally responsible country to do the same. My reasons for doing so are that we have just come through a period of record peacetime deficit left to us by the previous Labour Government, while we have had to clear up their legacy of rising unemployment, rising taxation and unsustainable public spending. It has been this Government, first in coalition and now as a Conservative majority Government, who have had to clear up the mess. It is therefore our duty to put in place this charter, so that no other Government have to face a similar situation again, with a post-it note left for Ministers saying there is no money left Like many households up and down the country who have tried to put money aside for a rainy day, the Government, with this charter, are trying to do just that. By spending less than the taxation we collect and reaching a point of surplus, we too will have money left for a rainy day, so that if we, as a country, ever face a global recession or another period of economic slowdown, we will have the money left to pay for vital public services. To households up and down this country who manage their own bills in this way, this makes perfect sense: to ensure first and foremost that you do not spend more than you earn, and, where possible, you save where you can If this set of economics makes perfect sense to the ordinary man and woman in the street, why are the deficit deniers on the Opposition Benches so confused? The Labour party is too weak to take the difficult decisions needed to cut the deficit, and by voting against this charter Labour Members are proving again that the deficit would go up if they were in government, with more borrowing, more taxation and more debt. The great British public did not trust or vote for Labour in May, and if Labour Members vote against this charter tonight, they are never likely to vote for them again.
ParlaMint-GB_2015-10-14-commons.u509	I call Mrs Caroline Spelman to present a petition. [Interruption.] I feel it necessary to make the point I almost unfailingly have to make in these circumstances: if there are right hon. and hon. Members who unaccountably are not staying to hear the petition, perhaps they would be good enough to leave the Chamber quickly and quietly so that the right hon. Lady can deliver her petition and be heard.
ParlaMint-GB_2015-10-14-commons.u510	Mr Speaker, you will know that High Speed 2 goes through my constituency, and under the recent additional provisions there is a proposal to realign quite significantly a road in the constituency that is giving rise to concern that it could become a rat run to the new interchange station. I therefore rise to present a petition on behalf of my constituents signed by 746 residents of Hampton-in-Arden The petition states: The petitioners therefore request that the House of Commons urges the Government to reverse the decision to allow Diddington Lane to remain open to all traffic, and allow a ‘Green Route’ that would only be available to pedestrians, cyclists, equestrians, agricultural vehicles, HS2 Ltd maintenance vehicles and emergency vehicles And the petitioners remain, etc Following is the full text of the petition: [The petition of residents of the UK, Declares that the proposal to realign Diddington Lane, published as part of the Additional Provisions of the HS2 London to West Midlands Bill, is inconsistent with the character of the existing lane; further that the proposal to realign the lane will severely affect the village and village life by the addition of hundreds of cars every day using the village roads as short cuts to the station; further that we need a better solution than that proposed by HS2; and further that a local petition on this matter was signed by 746 individuals The petitioners therefore request that the House of Commons urges the Government to reverse the decision to allow Diddington Lane to remain open to all traffic, and allow a 'Green Route' that would only be available to pedestrians, cyclists, equestrians, agricultural vehicles, HS2 Ltd maintenance vehicles and emergency vehicles. And the petitioners remain, etc.] [P001549]
ParlaMint-GB_2015-10-14-commons.u511	I am pleased to have secured this important debate. Let me initially declare an interest, having previously worked in the NHS with trauma clients, some of whom have been veterans. Also, my husband is a veteran, having served in the Army, including in Bosnia The majority of British military personnel do not experience mental health problems while in service or afterwards in civilian life. For a significant minority, however, this transition is brought to the point of failure by mental health issues that range in complexity and severity, and are caused by factors before, during and after military service Although the mental health problems experienced by military personnel are the same as those suffered by the general population, the unique risk and experiences faced during service and the transition to civilian life mean that their mental ill health may be triggered by different factors and involve unique complexities Service personnel may experience trauma from a variety of situations, such as training incidents, administering medical treatment or other activities in war zones. However, studies in this area have suggested that some groups of service personnel, such as deployed reservists and early service leavers, may be at higher risk from mental health problems In 2011, the Ministry of Defence published the tri-service armed forces covenant. The principles underpinning it are that members of the armed forces community should not be disadvantaged by their service and should be provided with specialist treatment where appropriate and based on clinical need. It is important to ensure that there are no gaps in those service provisions A report by the Mental Health Foundation commissioned by the Forces in Mind Trust and published in 2013 conducted a comprehensive review of the available literature. It reported that the overall prevalence of mental health problems in the UK armed forces remained fairly stable between 2000 and 2010. It particularly highlighted depression and anxiety disorders as the most common mental health problem among both serving and ex-service personnel, while post-traumatic stress disorder was found to be associated with being a deployed reservist and with individuals experiencing problems at home both during and following deployment. Emerging evidence has also confirmed the existence of delayed onset of PTSD, with one study reporting a prevalence of 3.5%.
ParlaMint-GB_2015-10-14-commons.u512	I spoke today to a charity called Go Commando in Taunton Deane, where I come from. It reported exactly what the hon. Lady is saying—that many of the servicemen and women who served in Afghanistan have settled back home, but are now showing many signs of post-traumatic stress disorder and depression, and of requiring anger management. I support the hon. Lady in urging as much support as possible for these people, some of whom have served as long ago as in Bosnia or even in the Falklands.
ParlaMint-GB_2015-10-14-commons.u513	I thank the hon. Lady for her intervention, and I concur exactly with her sentiments From speaking to an ex-military medical officer in preparation for this debate, it appears that some hold the view that the prevalence of PTSD is much higher than acknowledged. Studies also found that the suicide rate was higher than expected for those under the age of 20, and that there was a two to three times higher risk of suicide in men aged 24 or under who have left the armed forces as compared with their counterparts in the general population and those still serving It is also recognised that alcohol misuse among UK military personnel is a significant health concern. I understand from Combat Stress that that presents as a significant issue among the clients with whom it works. It describes issues related to the culture of alcohol use in the forces, and the use of substances as a maladaptive coping strategy to manage symptoms of mental health problems.
ParlaMint-GB_2015-10-14-commons.u514	I congratulate the hon. Lady on raising this matter. Everyone who is in the Chamber tonight is here for a purpose, because we have constituents who suffer from this condition. His Royal Highness Prince Harry said recently that we needed to do more to help those with what he described as unseen injuries. Only by talking about this and helping more can we make the necessary changes I want to make a brief point about people who live in the Republic of Ireland but served in the British forces. Some of those people are not receiving the help that they should be receiving, financially and in terms of benefits relating to mental issues and disabilities. For the record, will the hon. Lady ask the Minister to look into that?
ParlaMint-GB_2015-10-14-commons.u515	I thank the hon. Gentleman. I should be pleased if the Minister would comment on those matters, which are very specific to Northern Ireland Problems arising in the current system appear to relate to a number of issues, including help-seeking, referral, assessment, and access to appropriate treatments. One study reported that only a quarter of those with diagnosed mental health problems had accessed medical help. It has also been reported that stigma and lack of trust or confidence in providers of mental health services represent some of the main barriers preventing service personnel and veterans from seeking help. Stigma concerning mental health problems is particularly problematic for military forces who are required to be physically and psychologically resilient. It has been emphasised to me that the attitudes of the Ministry of Defence are also important in that regard, and that there is a need to be upfront in acknowledging the mental health issues that can arise from military service, as well as the physical risks, in order to prevent such barriers.
ParlaMint-GB_2015-10-14-commons.u516	I wonder whether my hon. Friend is aware of reports of drone pilots experiencing higher levels of post-traumatic stress disorder than those flying conventional aircraft. Issues of stress are causing some concern, and questions relating to recruitment and retention are beginning to emerge. Will my hon. Friend join me in urging the Minister to commit himself to more research and support for service personnel and veterans in that context?
ParlaMint-GB_2015-10-14-commons.u517	I thank my hon. Friend for a very well-made point. I certainly urge the Minister to commit himself to research on that issue In the context of referral and assessment, it has been suggested that there are still problems caused by a lack of understanding and awareness among many mainstream health care professionals of how to deal with the issues that veterans present. There is a tendency to rely on prescribing medication, and, according to Combat Stress, there is a problem of low rates of referral to its service by GPs and community mental health teams. The British Medical Association has drawn attention to the chronic undermanning of Defence Medical Services, which is reported to have had a detrimental effect on morale, motivation, and the retention of doctors. The association says that adequate resources are a key factor in ensuring the best quality and consistency of mental health care in the long term. It believes that the issue should be addressed as a matter of urgency, given the need for appropriate and sustained long-term funding The Royal College of Psychiatrists has highlighted the need for better trauma-related treatment from the NHS. It reports that many veterans rely on small charitable providers that sometimes do not have the resources to be trained in evidence-based therapies, which should be consistent with the current evidence-based practice. The Royal College has also raised the need to evaluate the effectiveness of current follow-up service. The Murrison report recommended a telephone or face-to-face check on how someone was doing a year after they had left service. Currently, however, all that happens is that a letter is sent to the last known address of the service leaver, telling them that they can phone or see their GP if they have an issue. It is suggested that there may be a need for investigation into the uptake of this service and whether this correspondence is in fact being received The Government therefore need to address issues of help-seeking, stigma, referral processes, assessments and availability of appropriate treatments. There are also issues of co-morbidity and the requirement for integrated approaches across services including health, criminal justice, forces and social care. There is, in addition, a reported lack of service provision for partners and children of service personnel, who may also suffer mental health issues owing to the nature of their family member’s job. I am pleased that the Scottish Government have put in place a veterans commissioner for Scotland to begin to address some of these issues, but I would like to see similar credence given across the rest of the UK.
ParlaMint-GB_2015-10-14-commons.u518	I congratulate the hon. Lady on securing this debate on such an important subject. I have Army headquarters in my constituency and strong services links in Hampshire. So desperate were a group of veterans in my constituency that they started their own organisation, Veterans in Action, who have just this month launched PTSD awareness month. I am wearing their little badge, which looks not dissimilar to an SNP badge, I have been told. The hon. Lady put her finger on the problem earlier in her speech when she said that there is not enough awareness out there about these issues, particularly among medical staff. I hope, therefore, that she might support an initiative such as awareness month in the future.
ParlaMint-GB_2015-10-14-commons.u519	I do indeed support awareness month, and I very much like the hon. Gentleman’s wee badge To conclude, veterans are individuals who would have put their lives on the line for their country. The least we can do is prioritise their care and treatment to support them in their recovery. I welcome the Prime Minister’s comments today regarding prioritisation of this issue, and I welcome the Minister’s reply.
ParlaMint-GB_2015-10-14-commons.u520	I call the Minister, Alistair Burt.
ParlaMint-GB_2015-10-14-commons.u521	I think, Madam Deputy Speaker, there is another colleague who is going to intervene.
ParlaMint-GB_2015-10-14-commons.u522	Madam Deputy Speaker, I was going to share the time with the hon. Member for East Kilbride, Strathaven and Lesmahagow (Dr Cameron).
ParlaMint-GB_2015-10-14-commons.u523	In order to do so, the hon. Gentleman must have the permission of the person whose debate it is, the Minister and the occupant of the Chair. He clearly has the agreement of the Minister and of Dr Cameron. He has my agreement, too.
ParlaMint-GB_2015-10-14-commons.u524	Thank you, Madam Deputy Speaker. I apologise—I spoke to Mr Speaker before you took the Chair I thank the hon. Member for East Kilbride, Strathaven and Lesmahagow for giving me a few minutes of her allocated time, and offer my sincere thanks to her for bringing what the Prime Minister rightly described today as “this very important issue” before the House. He correctly identified the strategic defence and security review as an opportunity to get our approach right in the future, and I fully support him in that intention The subject before us this evening refers to that great stain on this nation of ours, which I mentioned when I first spoke in this House. I regret to say that, aside from some excellent individual practice and charitable work, the way we look after our veterans’ mental health in this country remains poor. Many of our young men and women, who by good training and fortune walked away from battle without any physical scars, have been stricken in later years by an underlying sickness that can tear at the very core of the strongest and most enduring individual. I speak as a Conservative Member of Parliament. I work hard to support all the efforts of Government to produce and implement the exciting and progressive agenda so clearly laid out by the Prime Minister a week ago, but on this issue, while it remains in its current state, I am afraid I will not be silenced I have no personal agenda to drive here. I have never had the misfortune to need to use one of our tremendous military charities. I will forever be the soldiers’ voice in this debate, crafted from much time spent on operations with our young men and women, and now in my privileged position as a Member of this House and attracting a great deal of correspondence on this issue it is incumbent upon me to speak out and I will do so. I feel embarrassed at my fellow man sometimes as we stand here again tonight in 2015 in the seat of the world’s most advanced democracy and talk yet again about the stigma of mental health. The stigma results from a basic lack of education and understanding about a human condition that affects one in four of us—a condition as medically valid as a broken leg or a fractured arm, but because it occurs in our heads, its treatment has historically been subjected to unacceptable social, political and financial disadvantage. That stigma ends in this Parliament, and I will not rest until it has.
ParlaMint-GB_2015-10-14-commons.u525	I had the honour of chairing a disability employment session at the TUC today and a young man with autism came out with what I thought was a fantastic phrase about mental health issues in the workplace: “There is no normal.” We all have mental health; sometimes it is good and sometimes it is not. Maybe instead of us thinking about a certain percentage having a problem, we should acknowledge that we all have different problems at different times. That might make it easier for people to come forward.
ParlaMint-GB_2015-10-14-commons.u526	Absolutely, and when we have more time, we might discuss specific projects looking at what normal is and that process. That is an important part of this I could inevitably speak all night on this issue, but I will not. In preparation for tonight, I stayed up most of last night and read as much as I could of a couple of books I have on my desk in my office here in Westminster. One is called “Aftershock” by Matthew Green and another is called “The Battle against Stigma” by Mark Neville. We have got better in this area as a nation over the last few years. I would ask however that before any of us enter into an exercise of back-slapping on how far we have come on mental health, we all read those two books and reflect on both what we ask of our servicemen and women and how we look after them when they come back.
ParlaMint-GB_2015-10-14-commons.u527	The issue in the north-east is that large numbers of young men go to war on our behalf and come back, but there is not the support for them. Many of them fought in Northern Ireland and 20 years on they have gone back to normal life and are struggling. There is just no support for them or their families. It is a particular crisis in my region because it has a large former military population.
ParlaMint-GB_2015-10-14-commons.u528	Mental health and the time lag involved is increasingly well publicised, and people are becoming more aware of it, but we have a long way to go on that and we see that on a daily basis Our British public have in the latter part of the last decade been the knight in shining armour flying over the horizon and rescuing some of our most war-scarred individuals. They have given millions upon millions of pounds, and donated time, effort, blood, sweat and tears to looking after our boys and girls. They are, quite simply, what makes Britain great, and what make us, when we are away, so proud, and fight so hard for the country we love Similarly, now this Government have for the first time been elected on a manifesto that explicitly stated a parity between mental and physical health—the first time in history that has occurred. Similarly, we now have waiting time target lists for mental health, again for the first time in history. This Government get it, and I am proud to be a part of it, and I thank the Minister personally for his valiant efforts in this regard. There is so much further to go, however, to win what I would call part of an internal “generational struggle” of ours in veterans care Finally tonight I wanted to guard against a misunderstanding of the problem. The vast majority of servicemen and women in this country make a stable and successful transition back to civilian life. They are cornerstones of our communities—directors of companies, nurses, doctors, shopkeepers, lawyers and manufacturers Our job in this place is to look after the 10%, those who through no fault of their own find life a daily struggle, those who with a bit of bad luck or a couple of poor decisions could be any one of us and, in particular tonight, that refers to those who have often given their best years in the service of the nation, but have found returning to a civilian life the hardest fight of all.
ParlaMint-GB_2015-10-14-commons.u529	We should always mention the families because they are often deeply affected and we need to support them.
ParlaMint-GB_2015-10-14-commons.u530	I agree So let us now win this fight and take our place as a country at the vanguard of contemporary veterans care. In five years’ time it will be too late. The momentum in the battle will be lost, and we will simply be fighting fires. The politics of good intentions and at times tokenism is finished; we must get this right, and I look forward to it being prioritised as such in the forthcoming strategic defence and security review.
