ParlaMint-GB_2015-10-13-commons.u1	1. What plans his Department has to increase capacity in general practice and primary care.
ParlaMint-GB_2015-10-13-commons.u407	I declare an interest: like many other hon. Members, my mother is an immigrant, and one who, like many other immigrants in the UK, has given a lifetime’s service in the NHS It is as a lawyer I wish to speak in this debate, however, because I am concerned about the Bill’s attack on civil liberties, the removal of in-country appeals in human rights cases, the Bill’s lack of respect for the rule of law and due process and the shift from judicial to Executive control of the immigration bail system. The independent all-party law reform and human rights organisation Justice, of which I am a member, has prepared a detailed analysis of aspects of the Bill pertaining to the rule of law. I recommend that Members have a look at its full analysis of these matters. Justice has grave concerns about the legal aspects of the Bill, as does the SNP I wish to focus on three specific areas: the extension of the enforcement powers of immigration officers; the new immigration bail system; and the extension of the “deport first, appeal later” rules to all human rights appeals. As has already been said, the powers of immigration officers are significantly extended by the Bill. This concerns me for a number of reasons. Immigration officers and detainee custody officers, prison officers and prison custody officers are not part of the regular police force, and they are not trained to the same degree or supervised in the same way. The power granted to immigration officers to enter and search premises without a search warrant solely because they have reasonable grounds to believe that a person in a premises is in possession of a driving licence and is not lawfully resident in the UK is a significant and arguably disproportionate extension of their current powers. Given concerns about the ability of the Home Office accurately to identify who is and is not lawfully resident in the UK, there are obvious risks for both British citizens and legal migrants, as well as illegal migrants, that their rights to respect for their private and family life and indeed their home under article 8 of European convention on human rights will be breached Another matter that concerns me is the broadly defined category of documents that immigration officers and other officers are empowered to search. While the power of immigration officers to search and seize these documents has the safeguard that they must not seize documents that they have reason to believe are legally privileged, there is no such safeguard in connection with searches by detainee custody officers, prison officers and prison custody officers when they are looking for relevant nationality documents subject to seizure. That is a grave concern. I believe that before these powers are conferred en masse, the Government need to examine how existing powers are being used and should make the case before Parliament for each additional power that is being sought On the bail system, individuals previously granted temporary admission, release or release under restrictions will all be subject to immigration bail. The Secretary of State will be empowered to vary conditions. The Bill will bring many more people within the immigration bail regime, while simultaneously shifting control of bail and restrictions on liberty from the judiciary to the Executive. That will include a far-reaching power for the Home Secretary to place electronic monitoring and residence conditions on bail in all cases. A large number of asylum seekers previously granted temporary admission will now be seen exclusively through a prism of detention and bail, casting aspersions of illegitimacy and even criminality. Those affected are real people. I have constituents in Edinburgh South West who are asylum seekers. They are not criminals who should be subject to bail: they are refugees That brings me to the extension of the “deport first, appeal later” rule to all human rights appeals, not just those liable to deportation. It is important to be clear that this rule is being extended not just to illegal immigrants, but to all immigrants, including those who have been lawfully resident up until the Home Office rightly or wrongly refuses their applications. The appeals fact sheet issued by the Home Office makes it absolutely clear that this power will be used to separate families, including parents, from children. That cannot be right. Moreover, if people are “sent back to where they came from”—an emotive phrase—before they can raise their appeal, there will be very real practical and emotional difficulties for them in pursuing that appeal. Again, I urge hon. Members to look at Justice’s detailed analysis of the practical and emotional difficulties that immigrants sent back to where they came from will face in progressing their appeal I am conscious of the lack of time I have left. I was anxious to highlight the rule of law aspects of the Bill. For the reasons I have suggested and for other reasons to be advanced by my hon. Friends in the Scottish National party as the debate progresses, I urge Members to decline to give this Bill a Second Reading.
ParlaMint-GB_2015-10-13-commons.u408	I am pleased to speak about this important Bill, and I look forward to taking a full and active part in scrutinising it as it continues its passage through Parliament. It is fair to say that the Bill has created much debate in all corners of British public life. From non-governmental organisations to the media, we have seen some excellent and incisive analysis of it, albeit some rather less so I have received—as, I am sure, have all Members—much correspondence from my constituents about the issue of immigration, and I shall draw on some of it later. I am very proud of the people whom I represent in Gower, given their good judgment and their scrutiny of the Bill, and I am pleased that constituents are playing such an active role in the legislative function of Parliament. It must be borne in mind that the British people voted for the Conservative manifesto and want to see it implemented I want to touch on a number of aspects of the Bill. Britain is, of course, an attractive place for migrants to live in. We have a diverse society, and that is nowhere more evident than here in London. However, while it is easy to list the virtues of living in Britain, it has been forgotten in some quarters during today’s debate that many migrant workers come to this country to face horrendous exploitation. They find themselves working and living in degrading conditions that are not fit for any human, and regrettably, as we have seen recently, Wales, which includes my constituency, is not exempt from that The exploitation of migrants is becoming an increasingly organised criminal activity, which I witnessed and worked to combat when I was a National Crime Squad police officer, and I commend the Government for their actions to curb that activity. I fully support the measures in part 1 to establish a director of labour market enforcement, who would be required to produce a labour market enforcement strategy and report annually to the Home Secretary and the Business Secretary Our manifesto committed us to introducing tougher market regulation, and we must support that. Not one single human life should be put through the ordeal and the conditions that we see and hear of all too often. We, as a Parliament, must make clear that that is simply not acceptable and will not be allowed to go unchallenged. I am pleased that the criminal sanction in the Immigration, Asylum and Nationality Act 2006 is to be amended to make it easier to bring prosecutions against individuals who knowingly employ illegal workers when the individual has been indirectly involved in the offence. We must put those protections in place and I applaud the Government for introducing them Part 2, “Access to services”, creates four new offences to target rogue landlords and agents who deliberately and repeatedly fail to comply with the right to rent scheme, or fail to evict individuals who they know, or have reasonable cause to believe, are disqualified from renting as a result of their immigration status. That is an important point and it leads us to a wider point relating to the issue of immigration in our society. There is no doubt that that topic has caused schisms in parts of British society, and the debate has raged for years between those who, in some cases, hold widely differing views. What has become clear, however, is that the British people want the Government to act to reduce net migration As a Conservative, I should add that it cannot be just the Government who take action. It is also up to individuals, whether landlords or businesses, to act to curb illegal immigration. Although it is, of course, the Government’s place to set the legislative framework, we must also put some onus on rogue landlords and agents who abuse the system. This is not about penalising legitimate businesses or landlords; quite the opposite. It is about helping legitimate landlords if they need help, and about stopping those who abuse the system for their own ends I commend the Government’s decision to give police and immigration officers new powers to search for and seize UK driving licences which are in the possession of a person who is not lawfully resident in the UK. The Bill also introduces a new criminal offence of driving in the UK while an illegal immigrant, while courts will have the power to order the forfeiture of the vehicle. However, I find myself agreeing with a point made earlier by the right hon. Member for Slough (Fiona Mactaggart) about immigration officers respecting the values of the Police and Criminal Evidence Act 1984 For 13 years, the Labour Government allowed unchecked and unchallenged immigration. They spoke of acting, but did not give the police or immigration officers the powers to do their job. It was all well and good for that Labour Government to pay lip service to solving the problems with grand but empty gestures and the famous soundbites of new Labour, but there was no action to back up the rhetoric. I am pleased that this Government have taken action and have provided the tools that services need to do the job that is being asked of them I want to raise an issue that has concerned some of my constituents. They fear that children will suffer from the withdrawal of financial support from their parents, which could leave them homeless and suffering severe hardship. I am sure that the Minister, who has worked through the Bill extremely diligently, will have tried to ensure that any adverse effect on children will be mitigated. Therefore, I ask him to provide some assurances that this is the case, as a child’s future can be critically affected in their early years and morally we must do everything we can to protect them and give them every chance to lead a full and happy life I thank the Minister and his team for their hard work on the Bill. I will be supporting the Government as they take these vital steps on immigration reform.
ParlaMint-GB_2015-10-13-commons.u409	I will not take my full six minutes. I merely want to touch on two separate components of this Bill: the proposed employment levy on immigrant workers, and the availability of bank accounts and driving licences for failed immigration applicants I fear this Bill, and these particular sections, will only fuel the misconceptions that surround immigration. They risk tarring every immigrant with the same ill-informed brush. Worse still, they risk disfranchising many UK citizens, purely on the basis that they may have a foreign- sounding name, a bank account and, heaven forbid, a driving licence and a car. This, of course, may not be the intention of the Bill—I hope it is not—but it is the unintended consequences which concern me, and we in this place should be alive to them This Bill creates powers to impose an immigration skills charge on employers for skilled workers they sponsor from outside the EU. I would prefer to call it the “immigrant tax” to be paid by small and medium-sized enterprises, a potentially devastating combination. This provision will deter employers from employing people from outside the EU. We will see genuinely skilled migrants, many of whom might even have a world-class education from one of our universities in the UK or Scotland, slip through our fingers. The message it sends out is clear: immigrants are considered different, more expensive—unwanted. It flies in the face of substantial empirical and personal evidence which outlines the greatly positive fiscal and social contribution immigrants have made to the UK—it is not, as the Home Secretary said at the weekend, close to zero I fear we would not have an NHS had this policy been implemented a generation ago. What will the next generation look like? This is unacceptable at a time when the country as a whole should be tasked with innovating and expanding its ambitions. We can only do this if we welcome thinkers and innovators from outside our shores, as well as supporting those inside them.
ParlaMint-GB_2015-10-13-commons.u410	Earlier this year, I, along with a Conservative Member who is in the Chamber, visited Pakistan and we heard a number of people complain about the visa arrangements and how that was holding back opportunities for students from Pakistan to study in Scotland and across the UK. Does my hon. Friend agree that this part of the policy is very dangerous?
ParlaMint-GB_2015-10-13-commons.u411	I think it is incredibly dangerous and one of the things that has struck me since I became an MP, with the many constituents who come to my surgeries, is the mess the immigration system is in. Things take too long, decisions are often bad, and in my experience it is vulnerable people who are trying to better their lives who are paying the consequences for this, which I find completely unacceptable.
ParlaMint-GB_2015-10-13-commons.u412	On the point about the delegation to Pakistan, of course people in Pakistan and here in the UK want a fairer system of immigration. We have to ensure the rules are fair so that genuine students can come and study, but does the hon. Gentleman agree that what we saw previously, with 600 bogus colleges, and people coming here when they should not have and when they did not want to be students, was wrong? The system we are putting in place will address that, so that genuine students from Pakistan can come here and study.
ParlaMint-GB_2015-10-13-commons.u413	Forgive me for being cynical, but the number given earlier in the debate was 900 and now it is 600. That underlines the fact that there is misinformation; there is no evidence base for this Bill. There is no evidence base for the assertion of 900 or 600. What is the right figure? We need to know the facts The opportunities for prejudice and discrimination will be rife as a result of this Bill. It places a duty on banks and building societies to carry out regular checks on the immigration status of individuals and to notify the Home Office when a person becomes disqualified from holding a current account. I have a degree of sympathy with that proposal, on the face of it. A failed immigration applicant should not have access to banking or other services, but I worry about the unintended consequences, not least for our own citizens from other cultures or for perfectly legitimate immigrants. How many failed immigration applicants actually have a stash of cash that would need to be frozen? Would freezing such assets serve any purpose, save that of scoring obvious political points? These provisions could result in serious intrusion into the lives of all our citizens if they were applied in the wrong circumstances The Bill also contains the power to seize and detain vehicles driven by illegal immigrants. It provides for the prosecution and imprisonment and/or fining of those who drive if they are illegal immigrants, even if they are in possession of a valid driving licence from another state. Again, on the face of it, that might appear sensible, but I have to ask: do we really have a problem with lots of failed immigration applicants clogging up our streets and creating traffic jams with their cars, or is this just another point-scoring exercise How these provisions are to be regulated and enforced should be a matter for rigorous debate in this place. It is clear that the Bill is fixated on reducing the net migration figures, and in so doing—as has been admitted by Conservative Members—reducing the attractiveness of the UK as a place where skilled migration is welcomed. The Home Secretary’s dangerously aggressive speech to her party’s conference was a class act in striking more fear where it does not belong. The Bill will extend that fear to those who might not even have done anything wrong. How many UK citizens with foreign-sounding names will have their lives disrupted and become disfranchised as a result of these measures before we realise that this has been a mistake? I believe that the nut that this sledgehammer of a Bill has been designed to smash will pale into insignificance beside the can of worms that the provisions will open.
ParlaMint-GB_2015-10-13-commons.u414	Some of the speeches from Opposition Members have done a bit of a disservice to our Home Secretary. I think that history will reveal her to have been an outstanding Home Secretary, given her capacity to cover the range of issues that the Home Office has to deal with, and the immediacy and potency of some of those issues. Those Members have also missed some of the breakthroughs that she has made in identifying issues of abuse, particularly in relation to people trafficking, and of discrimination in relation to stop and search that other Home Secretaries have not addressed. We must put that on the record to balance the argument As many people have said, it is undoubtedly true that immigration is the No. 1 issue. It is equally true to say that the vast majority of people who believe that to be the case are not anti-immigrant. However, they have specific things that they want to see in our immigration policies. They want to know that the system is under control. They want to know that the numbers of people coming to this country are reasonable and that our borders are secure. They want to know that the people who come here make not just an average contribution— a break-even contribution—but an above-average contribution to our country. As we have heard from people who are themselves the daughters of migrants, they also want to know that the people who come here will do their best to integrate into the country that they now call home. And of course, they want those people who they believe have no right to be here to leave or to be removed As I look through the Bill, I miss the provisions relating to many of those early points. The focus of much of it is on that last point. It says, “Please leave.” It asks, “What can we do to encourage you to leave?” I ask the Minister to listen to what hon. Members have said about the importance of evidence in pursuing the policies in the Bill. If we cannot supply evidence to support the measures we are taking, I fear that some of the negative consequences—some of which have perhaps been presented today with a bit of hyperbole—might indeed come to pass I am worried that the Bill focuses too strongly on symptoms rather than on the underlying causes of the concerns about immigration in this country. Our previous Bills have contained a number of measures that have precisely targeted the causes, dealing with bogus colleges, spousal visas and even the English test. I do not see much in this Bill to reinforce my belief that that is a continuing thread of the efforts of our Government’s policies. Above all, we want measures that deal with immigration but avoid things that are costly, ineffective or unjust. Will the Minister therefore support efforts that would limit detention in certain circumstances? He is aware of a case involving a pregnant women. He wrote to me at the end of last year saying that her healthcare had been adequately provided—he was relying on second-hand advice—but as we found out last week in the High Court that was not the case. Continuing with the detention of pregnant women leaves us open to these sorts of abuses in the future. This Bill is an opportunity to correct that, address the position of victims of torture and rape, and introduce a limit on the period of detention for people who are subject to immigration regulations As has been said, this is not just about the extension of powers, but about how well we are using the powers we already have. I urge the Minister to provide more information in Committee about how the current powers are being used and why they are not sufficient. Many of us do not wish to see landlords and business people used as the front line of our Border Force; we are concerned about the potential for them to be criminalised. We are also concerned that as we put further pressure on people’s ability to stay in this country we will drive them to vagrancy and crime. I am sure that is not the intention, but I am also sure the Minister can see the potential for that in some of these measures. We have to get the balance right. The same applies on the issue I raised in my question to the Home Secretary about potential discrimination, which has been widely mentioned today.
ParlaMint-GB_2015-10-13-commons.u415	My hon. Friend has been taking the issues of immigration and detention seriously, as he has Yarl’s Wood on his doorstep in his constituency, and we have discussed them on many occasions. On detention, welfare and vulnerability, may I say to him that the Stephen Shaw report, which has recently been finalised, is addressing all those factors, and that we will be considering and acting on its recommendations carefully? I hope that gives him some reassurance about the attention and focus we are giving to the issues that I know he holds dear.
ParlaMint-GB_2015-10-13-commons.u416	That is very reassuring, particularly as it comes from such a capable Minister I am used to being a bit out of kilter with the norm of political views about immigration here—it used to be just me and perhaps the former Member for Brent Central and the hon. Member for Islington North (Jeremy Corbyn). Of course, Sarah Teather has gone on to better things and the hon. Gentleman has gone on to be leader of the Labour party, so I am left here talking from a bit of a different angle from everyone else. The focus of much of this is illegal immigrants, and there is one word that nobody has used about illegal immigrants—compassion. I wish to discuss that Whether we like it or not, we are talking today about a lot of the toxic legacy of the Labour party’s lack of control of immigration. When I became a Member of Parliament in 2010, there were people who had been in this country for five, six or seven years when they had no right to be here, and there were children who had grown up in our schools when their parents had no right to be here. People should not blame the Conservative party for trying to clear up the mess that was left, but my party and this Government need to see not only effectiveness, but compassion. What is compassionate about sending a child who turns 18 back to a country that they have never really understood? Where is the compassion in taking money away from someone while they are waiting for their case to be resolved? Where is the compassion for someone who is holding on to stay in this country when they have no right to remain here? Where is the compassion in leaving them for years and just making their life harder and harder in the hope that somehow they just leave We can talk about effectiveness, but it is our values, too, as a country that we are talking about. I, for one, want to make sure that the Bills we pass in this country stand up for the best principles of our country as well.
ParlaMint-GB_2015-10-13-commons.u417	Mr Deputy Speaker, I just have a new favourite Tory in the hon. Member for Bedford (Richard Fuller). [Interruption.] I have never had one before. He is my first favourite Tory, which he may come to regret I may have been a Member of this House only since May, but even to an untrained eye it is clear that there is no better example of how not to legislate than the Bill in front of us today. It ignores the data gathered from the pilot project in the west midlands. It creates new enforcement powers when previous powers from the Immigration Act 1971 are seldom used, and it shifts the responsibilities of the understaffed immigration officers on to untrained and unaccountable private individuals The Bill represents a disproportionate infringement on the rights of individuals, with only a limited relationship between the legislation and its policy objectives. It is of little benefit to the common good; it is, in short, a shambles Restrictions on time allow me to focus on only one area, so I want to look at housing. The assessment of the pilot project in the west midlands by the Joint Council for the Welfare of Immigrants should act as a massive, shining red light on what is obviously a faulty policy. It identified clear problems with the so-called “right to rent” approach, none of which has yet been addressed by the Government. It also shines a light on the shameful failure of the Government to publish their own assessment of the pilot. They said yesterday that they would publish it before the Committee stage; they should have published it before today. As a member of that Committee, I want an assurance that it will be published in time for me to be able to assess it—in other words, in time for me to be able to do my job properly Despite the Government’s codes of practice, which they assured us would stop any discrimination, it is clear from the joint council’s report that there was an increase in discrimination in those areas in which the pilot was undertaken. Some 42% of landlords said that they were less likely to consider those without a British passport and 65% of landlords said that they were less likely to consider tenants who could not provide documents immediately The Government are creating a culture of fear. Although landlords do not wish to discriminate, the Residential Landlords Association said: “Whilst the Residential Landlords Association condemns all acts of racism”— as it should— “the threat of sanctions will inevitably lead many landlords to err on the side of caution and not rent to anyone whose nationality cannot be easily proved.” Clearly, it is fearful that this Bill will force landlords to act in a way that could be racist. What it is also clearly saying is that it does not want to do that, but the fear of being criminalised or even jailed may leave landlords with no other choice. The Government need to listen to their concerns, and if this legislation is not defeated—
ParlaMint-GB_2015-10-13-commons.u418	Does my hon. Friend agree that the requirement on landlords to check the immigration status of their tenants will surely encourage, even inadvertently, less favourable treatment, possibly discrimination, for anyone who does not look or sound British and also make it disproportionately harder for people to access appropriate housing?
ParlaMint-GB_2015-10-13-commons.u419	I agree with every word from my hon. Friend. Indeed, it is one of the points that I really wanted to underline. If this Bill does go through, the Government must give landlords the resources they need to understand exactly what is required of them On the subject of racism, there is no doubt in my mind that intemperate language and legislation that is based on the presumption that all immigrants can be illegal will increase racism. I have heard many positive things today about multiculturalism, anti-racism and welcoming people who have come from other countries. I invite all those Members who have an interest in this subject to attend the Westminster Hall debate secured by my hon. Friend the Member for Lanark and Hamilton East (Angela Crawley), which celebrates Black History Month in October In practical terms, this Bill will make it much harder for those legally resident in the UK, originally from elsewhere, to rent a property here. It will leave some with no choice but to turn to unscrupulous landlords, which brings with it uncertainty and sometimes danger. There are also very real concerns regarding the privacy of the individual under this Bill. Those legally resident in the UK will have copies of their personal documentation kept in the hands of unaccountable private landlords for a period of years. As those include bank account details, this poorly drafted legislation also opens up endless possibilities of identity theft and illegal activity. If the Government wish to improve enforcement, why not start using the legislation on the statute book? Why not ensure that immigration officers are properly resourced so that they can do their job It is not just about professional landlords. A generation of property owners have bought their council house or their children’s university flat and have subsequently let it out. The Government want those property owners to do the work of trained immigration officials. What happened to the line oft quoted by Tories that an Englishman’s home is his castle? The Bill seeks to turn yon castle into an immigration office. The Bill does not reflect reasonable concerns on immigration but is rather a tokenistic attempt to appeal to a narrow segment of voters, reflected most clearly by the Government’s blatantly unnecessary language proposal in part 7 Finally, I shall say one positive thing about the Bill. It has managed to unite social landlords, tenants, civil liberty campaigners and anti-racism campaigners with employers, private landlords and many more in opposition to its proposals—[Interruption.] Yes, it has. As we heard today, the Institute of Directors has also attacked the proposal, and the Government would do well to heed those concerns.
ParlaMint-GB_2015-10-13-commons.u420	This spring, on doorsteps across my constituency, people wanted to have a say on immigration and they wanted to be heard. I welcome this debate on such an important issue and rise to support the Government and the Home Secretary We are fortunate to live in a country that has benefited enormously from being a true melting-pot nation, and we speak in a truly global and outward-looking country and a truly diverse city. Students across the world come to our universities seeking the finest education, global investors continue to put their faith in the economic security of the nation and our proud culture of arts boasts the positive values of immigration and true diversity. Famous Britons who were not born Britons—George Handel, Henry James and T. S. Eliot to name but a few—have come here and succeeded, and without immigration we would not have our wonderful Marks & Spencer or the chance to do the “Mobot”. However, our nation’s proud history of immigration is reflected not just by these famous and successful names. Those who quietly toil day and night, providing us with the best healthcare, reflect our history of bringing people in to add value to this country Some 11% of all the staff in our NHS are foreign nationals, as are 26% of doctors. It is truly in the fabric of our nation that we are the beacon of opportunity across the world, but it is vital that we do not diminish that record by undertaking a programme of uncontrolled immigration that is neither fair nor sustainable. I do not want to see immigration without the rule of law, nor do I want to see people come to our shores only to be exploited by criminal gangs and forced into poorly paid work Migrant workers are often vulnerable and subject to labour market exploitation. I welcome the Bill’s institution of a new statutory director of labour market enforcement and am reassured by the Home Secretary’s opening remarks about the clear reporting structures. The new role ensures that intelligence and resource allocation across the regulators is properly co-ordinated, and the measure sits alongside a crackdown on those who would seek to employ illegal workers. We must be absolutely clear in this House that those who come to the UK illegally should not be working 20-hour days for no pay. It is not fair and it is not right I welcome the crackdown on driving licences. Too many tragedies on our roads have happened because of those who have not been checked and who are not regulated and who cause a menace on our roads. I believe that the fluent English requirement is vital for our workforce and to balance the skills gap.
ParlaMint-GB_2015-10-13-commons.u421	Can the hon. Lady tell us how many tragedies have been caused on the roads by immigrants who come here and do not have a driving licence?
ParlaMint-GB_2015-10-13-commons.u422	Having worked in road safety, I can tell the hon. Lady that our roads policing units are very keen to make sure that the people on the roads have the right papers and, of course, are driving safely and legally It is easy for the Opposition to make wild accusations that the contents of the Bill are wholly negative. They have much to fear because net migration under Labour was more than twice the population of Birmingham and they clearly do not have the right answers. We on the Government Benches believe that immigration should be controlled and not exploited. On the doorstep many of my constituents wanted to see immigration brought down to a reasonable level and we have pledged to do that. The Bill will deliver that commitment Our melting-pot nation is a global force precisely because of our diversity. That permeates our history and defines what it is to be truly British. Let us then bring Britain back to being a nation that cherishes its legacy, controls its borders and keeps immigration as a positive force for all our futures.
ParlaMint-GB_2015-10-13-commons.u423	I welcome the opportunity to engage in this debate. Throughout this afternoon I expected much more heat than light. In fairness, this has been a thorough debate and one in which much detail has been discussed. I am, however, disappointed that in many of the contributions from the Government Benches—the hon. Member for Bedford (Richard Fuller) is an honourable exception—there has been an unwillingness to hear and respond to some of the concerns expressed in the debate, and an unwillingness to appreciate how consensus around immigration, not only in the Chamber but in the country, would be much preferable to the way in which some Members have engaged I am not on the same page as some of those who backed the amendment before us, but I expect to hear an indication from the Minister and the Home Office that in Committee there will be an earnest willingness to address many of the difficulties that arise in the Bill. It is right that Members across the Chamber welcome the suggestion, for example, of a director of labour market enforcement as one notable proposal that is worth supporting Politically, there is good reason for us as parliamentarians to make it less attractive for people to breach our immigration laws and come here illegally, but in doing so we must ensure that we do not become unattractive as a people or as a country. Some of the proposals outlined in the Bill would do just that. There has been particular focus on the right to rent, and there is a flaw in putting the onus on landlords particularly. What does the Minister intend “reasonable steps” to mean? How are landlords to satisfy the authorities that they have taken reasonable steps? More importantly, the provision applies not just to those named in the tenancy, but to others in the dwelling. It is a de facto provision that someone could harbour an illegal immigrant and face the penalties for it. That is not only unnecessary, but its implementation will be filled with difficulty The hon. Member for North Down (Lady Hermon) disagrees with me about how best we should proceed, but a number of her interventions this afternoon have been incisive. She raised an issue about those trafficked and exploited, in the context of the penalties that will apply to illegal immigrants who are employed. The answer that she got from the Home Secretary indicated that there is already such an offence in the Modern Slavery Act. That may well be the case, but for comfort a particular provision should be inserted in the Bill so that as a Parliament we can reaffirm that should somebody be rescued having been exploited or trafficked in this country, the provisions will not apply. The acceptance of an amendment of that significance in Committee would be enormously helpful I was shocked by part 7 of the Bill, which sets out the language requirements for public sector workers, and that is for two reasons. First, I was amazed that the ability to speak fluent English was not already a requirement in the public sector. Secondly, as the hon. Member for North Down pointed out in an intervention on the hon. Member for Castle Point (Rebecca Harris), these provisions will not apply to Northern Ireland. I hope that I am communicating well enough in English this afternoon, because it is the language of Northern Ireland. I think that it is beholden on a one nation Government to recognise that such provisions should apply to Northern Ireland and, more importantly, not to engage in a political exclusion of Northern Ireland. I say that because there is a burgeoning language sector in Northern Ireland and there are politics around that. Two minority languages—Irish and Ulster-Scots—are protected in north-south bodies, but English is our dominant and preferred language, and Northern Ireland should not be excluded from the provisions Part 6—I have discussed this with the hon. Member for North Down—deals with maritime enforcement and sets out who will be able to access vessels. It mentions a police constable and an immigration officer, but it does not mention the Belfast harbour police—the private police force that operates in Belfast harbour—who ensure that we can adhere to the provisions in the maritime context. I therefore believe that an amendment to include that police force is worthy of support Our view is that the Bill is worthy of progression to at least Committee stage, but I think that the compassion that the hon. Member for Bedford mentioned is incredibly important, and it is something that I would like to see a lot more of.
ParlaMint-GB_2015-10-13-commons.u424	It is a pleasure to follow the hon. Member for Belfast East (Gavin Robinson). A number of right hon. and hon. Members have made the important point—I am sure that this is neither an intention of the Bill, nor an outcome—about the sensitivity of names with regard to lettings policies. The hon. Member for Belfast East comes from a community where being allocated a house, or indeed given a job, might often have depended upon having a Protestant-sounding or Catholic-sounding name. That is a sensitivity that we should be alert to, as I have little or no doubt Government Front Benchers are Let me turn briefly to the reasoned amendment that stands in the name of the Leader of the Opposition and others. I think that this is the first time I have seen a U-turn performed in an amendment. The first two thirds of the amendment are in full praise and support of the Bill, but then it rests its reason why we should not give it a Second Reading on an argument that a report that is to be published “could cause widespread indirect discrimination” I do not think that that is a particularly well argued point from the Opposition. Given the amount of time that they have spent thinking about their position on immigration, I think that we might have expected a little better There are some very nasty people out there in our communities, and they have some very nasty views on this sensitive subject, which I have no doubt they will articulate with force and passion from their armchairs and in the saloon bars. But those nasty views are not put forward in this Bill. The Bill does not try to debate—because this is not the kernel of the argument—whether immigration is a good or bad thing, and it does not seek to further or foster racism or discrimination; it seeks purely to find better ways of defining the legal and the illegal. There is no qualitative judgment on an immigrant community the vast majority of whom play a full and active part in British life and are welcomed to our shores When my family and I moved house relatively recently, we were assisted by a very hard-working man from Poland. When he discovered what I did for a living, he quaked and said, “You don’t want me here, do you? I’d better go.” I said, “No, not at all.” It is a helpful irony, in many respects, that we are debating this issue on the anniversary of the birth of Lady Thatcher, who did so much to champion the rights of people from the former eastern bloc to come to the west. That free movement of people is something we should celebrate and support. We must understand, however, that it cannot and should not be unfettered. When I stood in the 2010 election—I fought Cardiff South and Penarth, and Cardiff South and Penarth fought back—established members of the immigrant, but very settled, community in Grangetown and Butetown said to me, “For God’s sake, Governments have to get a handle on this because we are starting to feel anxious. We are starting to feel that the Government have lost the plot.” That struck me as a very forceful endorsement of the main thrust of this policy and this Bill I am surprised by Labour’s tone with regard to the main thrust of the Bill in trying to clamp down on illegal working and exploitation. This is a matter of human welfare. We have all heard horrible stories of the terrible conditions of people forced to work in this country because they are here illegally and their existence can therefore be abused. It is absolutely right—I hope that it would unify the House—that we should focus on that and try to correct it and remove it from our national life I strongly welcome the proposed appeals process, but it will come as no surprise to the Minister that I, and no doubt many in this House, believe that the Home Office needs to up the speed with which it determines these appeals I agree with the hon. Member for Belfast East that it is a surprise that a language requirement has not existed in our public sector, and I very much welcome it.
ParlaMint-GB_2015-10-13-commons.u425	The hon. Gentleman says that a requirement to speak English when working in the front line of public services has not existed until now. Has he ever used a public service and found that the person he is dealing with does not speak English, because I have not?
ParlaMint-GB_2015-10-13-commons.u426	It depends at what level. Certainly, within the national health service, you will hear of many patients—constituents in North Dorset have told me this—who often have difficulty communicating because local idioms of language are just missed. To have that core skill—
ParlaMint-GB_2015-10-13-commons.u427	Thank you very much for giving way. I would just like to be clear that you are not suggesting that only people from North Dorset should be employed in the health services in North Dorset.
ParlaMint-GB_2015-10-13-commons.u428	Order. Before the hon. Gentleman responds, let me say that I have not yet reprimanded any particular Member for doing this, but now that it has happened several times, I must remind the House that when you use the word “you”, it is in the second person and you are referring to the Chair. It is in primary level 3 English lessons. “You” is the person to whom you are talking, and in here you are talking to the Chair. If you wish to refer to an hon. Member, it is “he”, “she”, or “it”.
ParlaMint-GB_2015-10-13-commons.u429	Shall we split the difference, Madam Deputy Speaker, and go for “it” Given that my part of Dorset has the highest number of retired people in the country, if we pressed everybody of working age into the national health service we would be very understaffed. This issue goes across the country and, indeed, all parts of the United Kingdom Provisions relating to private letting and the banks are a key part of the Bill. Yes, some in the affected sectors—plural—may bleat about it, but the Government are placing an important obligation on their shoulders. This is clearly an issue, because previous Governments have tried to address it, but the Government cannot deal with it by themselves; other agencies and people involved in British commercial and public life need to help deal with illegal immigration We are fortunate that the two Ministers who will pilot this Bill through the Committee stage—the Minister for Immigration and the Solicitor General—are humane and compassionate individuals. I have no doubt that they would never put their names to something that they thought would result in some of the Armageddon-like scenes suggested by Labour Members. The Bill addresses a pressing problem in a prudent and pragmatic way. It deserves the support of the House.
