ParlaMint-GB_2015-12-16-commons.u1	1. How her Department monitors outcomes of its spending in the Palestinian territories.
ParlaMint-GB_2015-12-16-commons.u431	Will the hon. Gentleman reflect on one of the elements of universal credit, which is that it is not just an IT system but an entire way for people to work with a mentor and somebody in the jobcentre who will assist them to build a life of better employment and higher wages? That is what he should be talking about if he wants to get people out of poverty.
ParlaMint-GB_2015-12-16-commons.u432	Absolutely. We fully support that: we want people to be able to move out of poverty and into meaningful work that is well paid, where the social security system will support them. We would happily support some reforms, but problems remain in relation to the level of sanctions and the cuts to universal credit that will happen over the next few years.
ParlaMint-GB_2015-12-16-commons.u433	The real issue concerns in-work benefits and people who are in work. The Sports Direct model is failing, but the Conservatives are not prepared to get stuck into the likes of Sports Direct and of Mike Ashley. They believe that that is a fantastic model of employment, but it is not acceptable.
ParlaMint-GB_2015-12-16-commons.u434	I fully agree with the hon. Gentleman. We need to deal with low pay in our economy. The only way to do so is to have a real debate about how to drive up productivity in this country, and about how to tackle companies that are abusing the minimum wage. Such companies must be held to account for what has happened We often hear from the Government and their myriad Back Benchers about a mythical long-term economic plan. I say “mythical” because it is a meaningless soundbite, and we are left asking, “Where is the detail? Where is the substance?” If there is a long-term economic plan to benefit workers, a core theme must be a rise in productivity that will help to drive up wages and living standards sustainably. The hon. Gentleman has just made that point Let us look at what the OBR said in its publication on the day of the autumn statement: “Although actual productivity growth has picked up in the latest two quarters, some of this has been cyclical or reflects broader temporary factors… But since it is difficult to explain the abrupt fall and persistent weakness of productivity in recent years, it is also hard to judge when or if productivity growth will sustainably return to its historical average.” It is well worth dwelling on that. It can be paraphrased as the OBR saying that it has not got a clue why productivity in the UK has been so weak in the past few years. It is certainly the case that the Government do not have a clue. I would suggest that they have no clue and no strategy for driving up productivity in the UK economy and for dealing with our social security bill The hon. Member for Hayes and Harlington (John McDonnell) famously quoted from his little red book and then tossed it at the Chancellor during the autumn statement. However, it is not that red book that should concern us, but the stark reality of what is contained in the OBR Blue Book that offers little comfort for many in this country. We will support this motion, but we should not be having this debate because we should not have a benefits cap. We need a meaningful long-term economic plan, not Government gimmicks and soundbites.
ParlaMint-GB_2015-12-16-commons.u435	I welcome this U-turn. Sometimes, it is right to accept that one is wrong and has made a mistake. I commend the Government for doing so on this issue I also commend all those who took part in what was very much a cross-party campaign, in which all the Opposition parties and some Government Back Benchers worked together. I pay tribute to the hon. Member for South Cambridgeshire (Heidi Allen) for the courageous way in which she spoke out, which was noticed around the country and did this place a real service I also pay tribute to the other place. Although I will always campaign for that House to be abolished in its current form and replaced, finally, with a wholly elected Chamber, which is what we should have in this country and is the only justifiable way to run a modern democracy, it did show that it has a role to play in this Parliament. I commend my Liberal Democrat colleagues in the other place, who made it clear that they would speak and vote against the tax credit cut. That was crucial in leading to the U-turn As a liberal as well as a Liberal Democrat, I will always be extremely proud that it was the great, reforming Liberal Government of 1906 to 1914 that brought in the very welfare state that we are discussing. That is a great achievement of my party However, we accepted in our five years in coalition, in difficult financial circumstances, that the welfare state had got out of control and was no longer sufficiently focused on those who needed it. I was a member of the Work and Pensions Committee for five years and that Committee, which had members from all parties, was entirely clear that there was a disincentive to work and that too many people were incentivised to be on benefits, rather than to work. I am very proud that, in the five years of the coalition, we did a lot to tackle that.
ParlaMint-GB_2015-12-16-commons.u436	Will the hon. Gentleman remind us how the Liberal Democrats voted when the welfare cap came before Parliament last year?
ParlaMint-GB_2015-12-16-commons.u437	I am very happy to. As usual, the contribution from the SNP Benches contained the usual milk and honey, promising everything to everyone and not taking any difficult decisions. In the end, even in Scotland, the shine will come off and people will start to see the reality of the false veneer of the Scottish National party. That is something that the rest of us will welcome I am not even sure that the hon. Gentleman knows what he is talking about. There are two different issues: the household benefit cap and the welfare cap. He seemed to confuse and conflate the two things. We absolutely supported the household benefit cap, which was brought in under the coalition, because it is entirely right and all our constituents support not having a situation in which a single household can take an unlimited amount in benefits, when hard-working families are unable to raise the same amount. The welfare cap is an entirely different thing. It seeks to control the amount of money that the Treasury allocates to welfare as a whole. He does not seem to understand the distinction, which is worrying, given his position.
ParlaMint-GB_2015-12-16-commons.u438	There is increasing evidence that this policy will cost the public purse more. Is it not a false economy?
ParlaMint-GB_2015-12-16-commons.u439	I am absolutely clear that there have been changes to the benefits system that were mistaken, including under the last Government, and I said so at the time. However, I absolutely support the household benefit cap. I do agree, however, that we need a sensible approach, and we must incentivise work and focus social security on those who need it. Those of us who believe passionately in the welfare state—I am sure the hon. Lady does, as do I—must be able to justify it and show that it is helping people who cannot work or are unable to find work. That must be the focus, but it has not been previously I am sure the hon. Lady will agree that some of the changes brought in by this Conservative majority Government, without the Liberal Democrats to restrain them, have been mistaken and ideological, particularly the cap on child benefit on the basis of the number of children that someone has, regardless of circumstance. We opposed and stopped such measures, but now people are seeing what a Conservative majority Government with an ideological policy, as opposed to a pragmatic one, will do. We welcome the fact that the right decision was made on tax credits, and on this occasion it is right to be prepared to breach the welfare cap. In other years we would like that cap to be adhered to, but given current circumstances and the projections for what the change to tax credits will do, this is the right decision, and those on the Treasury Bench should not be criticised for being prepared to breach the welfare cap for that reason in this financial year. That would be playing politics with this issue in the way that the Chancellor did with his ideological nonsense of the fiscal charter, when he sought to stop the Treasury having the flexibility that any Chancellor—and in this case the Secretary of State—must have We welcome this U-turn and fully accept the need to breach the welfare cap this year. We hope that the Government will live within their means in future years, but not by balancing the budget on the backs of the poor. We will continue to take a pragmatic approach and oppose anything that we believe is draconian, ideologically driven and unfair. At the same, we hope that the Government will continue in the same vein as the coalition Government, by incentivising people to work, and by getting more people into work with fewer people on benefits. As a civilised society we must ensure that our welfare state continues to help people who are unable to work or who genuinely cannot find it. That is our position and we will continue to make that case.
ParlaMint-GB_2015-12-16-commons.u440	As someone who voted against the welfare cap when it was introduced and whenever it was reset, I am happy that the Government are trying to relax the original level of that cap. During the Budget statement in July, the Chancellor revised the welfare cap figures that he announced in the spring. He reduced that cap over four financial years by £46 billion, to include changes to tax credits and some of the other changes to universal credit that have been mentioned, and for that reason we would have opposed the measure As we have heard, the welfare cap is a fairly political argument. It has its origin in the opposition of Labour Members to the benefit cap in the Welfare Reform Act 2012, and they came under some pressure for that. At one point, the then Leader of the Opposition, the right hon. Member for Doncaster North (Edward Miliband), announced that he would do better than a benefits cap and introduce a welfare cap on the overall budget. We could see the lights go on for the Chancellor of the Exchequer, who decided, “That will do nicely. We’ll go for a welfare cap as well.” He proceeded to set up his working group to consider that, on the basis, he said, that annually managed expenditure is not managed but needs to be in future. That is how the welfare cap was introduced, and that is why the then Opposition were trapped into voting for it, whereas some of the smaller parties—and some Labour Back Benchers—felt free to vote against it When the welfare cap was introduced it was bubble-wrapped as a neutral budgetary tool, but many of us recognised that it would end up being brandished as a weapon for cuts, and that is exactly how the Chancellor used it this year in the July Budget. Of course, he was forced to revise his propositions on tax credits by a combination of opposition from right hon. and hon. Members right across the House. In fairness, some Government Members did not just vote against the measures but spoke against them too, making valid and pointed arguments about just some of the difficulties caused by the Chancellor’s plans. It is good that, with the range of consideration and argument outside and inside this House and in the other place, that the Chancellor had to revise his position. That is now reflected in the adjusted proposals for the welfare cap The Chancellor, in his autumn statement, made it clear that he will still get to the quantum of cuts he wants to achieve. The issue is how far the welfare cap will, in itself, be used as an instrument for forcing some of those cuts. We have also yet to hear from Ministers exactly how they are going to get to that quantum. Will they need to table amendments to the Welfare Reform and Work Bill currently going through Parliament to deliver the cuts within the time the Chancellor has projected, or do they feel that they will be able to arrive at the same cuts using existing legislation? There are powers of regulation under the 2012 Act and provisions in the Bill, not least the sweeping provisions in clauses 13 and 14 that could see significant benefits—universal credit, employment and support allowance, and the work-related activity group—disappear or be very heavily eroded. If the Government still intend to arrive at the quantum of £12 billion of cuts in terms of the welfare cap, how do they propose to deliver it That matters in the context of Northern Ireland. If the cuts are to be delivered under existing legislation or the Bill, the fact that direct rule powers are in the hands of Department for Work and Pensions and Northern Ireland Office Ministers means that the cuts will be put through under the sunset clause which will be exercised here up until the end of the next calendar year. We have the right to ask: what future cuts will go through under existing legislation and the Bill, and what would require further reductions in future We did not get clarification on welfare measures during the passage of the Scotland Bill, or on other occasions when we have asked Ministers about this more informally. Will the Minister clarify whether the welfare spending that can be undertaken by the Scottish Government of £2.7 billion—the last figure I heard—will count as part of the UK welfare cap, or is that absolutely outside the UK welfare cap? Is that a precedent for other factors? Ministers have been unable to address that point In welcoming the Government’s position today, I take no comfort from it. Their original intent to use the welfare cap as a cuts weapon is still there. I want clarification on their plans for the Bill. Will they table amendments to achieve further cuts, or do they believe that they can achieve the full £12 billion as the clauses currently stand?
ParlaMint-GB_2015-12-16-commons.u441	The 1997 to 2010 Labour Government paid off more debt than any previous Government on record—debt left by the Conservative Government. We always know when Conservative Members’ arguments are weak, because they come out with the mantra about the financial mess left by the Labour Government. The financial mess was created and started in America with Lehman Brothers. They use that—[Interruption.] This really doesn’t bother me, because I don’t hear what they’ve got to say.—[Interruption.]
ParlaMint-GB_2015-12-16-commons.u442	Order.
ParlaMint-GB_2015-12-16-commons.u443	It’s Christmas.
ParlaMint-GB_2015-12-16-commons.u444	Order. It would appear that it is Christmas. I hope the House has not been attending too many Christmas parties. We behave in a reasonable and polite fashion. If anybody needs to be told to be quiet, I can do that.
ParlaMint-GB_2015-12-16-commons.u445	Thank you, Madam Deputy Speaker.
ParlaMint-GB_2015-12-16-commons.u446	Will the hon. Lady give way?
ParlaMint-GB_2015-12-16-commons.u447	No. The hon. Gentleman will wait until I have had my say The financial crisis was caused by Lehman Brothers in America and started in 2008. Had Labour been returned to power—had someone not been greedy for power—we would not be in this mess today because the Conservatives would not be in power. Our strategy was actually working. [Interruption.] I am sorry that Conservative Members do not like the truth.
ParlaMint-GB_2015-12-16-commons.u448	I will not give way until Members start to behave and listen to me.
ParlaMint-GB_2015-12-16-commons.u449	Sit down! I am sorry, Madam Deputy Speaker We always know when the Government are at their weakest, because they go on and on about the financial crisis. But let us get to the welfare cap. Of the two major cuts to in-work support in the summer Budget—to tax credits and its replacement, universal credit—only the tax credits element has been reversed. The reason we are in this state is that the Chancellor originally set the cap at a level that, in the first instance, simply tracked the Office for Budget Responsibility’s projections for spending on those benefits and tax credits that were in scope—as one of my colleagues mentioned, tax credits are in scope, which is unacceptable. The cap started in 2015-16 and extends for the next five years, meaning that, for now, the cap has no policy effect whatsoever. The Government are simply committed to operating future policy on the basis of not overshooting the current estimate of financial spending over the coming years. We could be in this position next year and the year after, because there are no real policy decisions. It is short term. It is nothing else As predicted, that led to the announcement of emergency cuts, including those to tax credits, but they were resoundingly kicked out by the Lords—the Conservatives at prayer, as someone described them. Although I am not in favour of an unelected second Chamber, I applaud them for taking that action. Only the tax credits element was reversed, however, and working families remain on the front line of further assaults, such as the cap and the universal credit cuts. The latter will affect many people—more than 200,000, I think—from April 2016, and the majority of those on universal credit are in the north-west. They are the ones who suffer the most from unemployment and financial deprivation—much of which is caused by zero-hours contracts, insecure employment, low pay and part-time work—which is why they are on benefits.
ParlaMint-GB_2015-12-16-commons.u450	Will the hon. Lady give way?
ParlaMint-GB_2015-12-16-commons.u451	No, I want to carry on.
ParlaMint-GB_2015-12-16-commons.u452	Will my hon. Friend give way?
ParlaMint-GB_2015-12-16-commons.u453	Not at the moment. Hon. Members will hear what I have to say We need reforms that address the structural drivers of social security spending. We need good, secure employment; we need to get rid of zero-hours contracts and low pay; and we need to ensure an adequate supply of affordable homes.
ParlaMint-GB_2015-12-16-commons.u454	Will the hon. Lady give way?
ParlaMint-GB_2015-12-16-commons.u455	No. Hon. Members need to learn that I will not give way until I have had my say. [Interruption.] Yes, the House needs to know what type of woman I am We need to shift the balance of expenditure from the cost of failure towards investment. As my hon. Friend the Member for Pontypridd (Owen Smith) has said, the large rise in housing benefit expenditure in the 20 years before the financial crisis came at a time when the number of households receiving help to pay their rent stayed broadly flat. That should have triggered a major focus on those trends and led to serious reform of policy and spending, but it did not. As a consequence, the benefits system was extremely vulnerable to economic shocks, as large numbers of people were in more expensive private rented accommodation. When the crisis really hit in 2010-11—it came a couple of years later—housing benefit shot up, and in response we have seen a series of arbitrary attempts to hack back the costs. We have seen 14 changes to housing benefit, including the bedroom tax, which was entirely unrelated to the causes of the rising expenditure. We need to get down to the policy and the causes Ministers are leaning too heavily on the political dividing-line and not enough on designing a cap that would advance structural reforms. Although it is set over five years on a rolling basis, the Government’s cap will bite on an annual basis. With the Office for Budget Responsibility warning about the overshooting of the autumn statement, we call today for compensating action in the next Budget We have had emergency cuts, not long-term saving. The cap has been set in nominal cash terms. Higher expenditure, driven by inflation, will trigger policy action, which risks locking in lower living standards for those reliant on benefits. General price rises feeding through into uprating decisions do not count as a structural divide in spending. In line with consumer prices index forecasts for the coming years, the Chancellor set out a margin of error of 2%, which will not trigger action The cap makes no distinction between contribution-based and income-based benefit spending, consistent with the drift of social security policy over decades, but they are different, and should be treated as such. Entitlement to contributory benefits, which are financed by national insurance contributions, should stand outside the mainstream of Government revenue and be taken out of the cap, strengthening the integrity of the national insurance fund I urge the Government to backtrack on the political ideology-driven trajectory that they are on, with 80% of cuts coming from public spending and welfare and 20% from tax, and with tax cuts being provided to people who do not need them and will not spend the extra money, so it will not go into the economy and will not feature in the drive for more jobs. The Government should invest in proper affordable housing for those who need it. Never mind all these dressed-up schemes—let us have some honesty in this place and address the issues for the public out there. I think the Government are living in a virtual world; it is certainly not the world that I move in Question put and agreed to. Resolved, That, pursuant to the Charter for Budget Responsibility: Summer Budget 2015 update, which was approved by this House on 14 October 2015, under Section 1 of the Budget Responsibility and National Audit Act 2011, this House agrees that the breach of the Welfare Cap in 2016-17, 2017-18, and 2018-19 resulting from the decision not to pursue proposed changes to tax credits, as laid out in the Autumn Statement 2015, is justified and that no further debate will be required in relation to this specific breach Riot Compensation Bill (Money) Queen’s recommendation signified. Motion made, and Question proposed, That, for the purposes of any Act resulting from the Riot Compensation Bill, it is expedient to authorise the payment out of money provided by Parliament of any increase attributable to the Act in the sums payable under any other Act by local policing bodies, by way of compensation for damage, destruction or theft occurring in the course of riots, out of money so provided.—(Mike Penning.)
ParlaMint-GB_2015-12-16-commons.u456	I want to raise the modest question of why this Bill has not been introduced under Standing Order No. 50, as it seems to me that the primary purpose is a charge. For a Bill of this kind, Standing Order No. 50 is the usual process. I know it has the Government’s support, but I am puzzled that that approach has not been taken.
ParlaMint-GB_2015-12-16-commons.u457	The hon. Gentleman raises an excellent point, which I am sure has been taken on board by those on the Treasury Bench Question put and agreed to.
ParlaMint-GB_2015-12-16-commons.u458	I rise to present a petition from students at Notre Dame high school in Norwich, which includes many signatures from across Norfolk. It contains 1,127 signatures in total The petition states: The petition of residents of the UK, Declares that the UK should show leadership internationally to secure fair and ambitious agreements on tackling climate change and poverty; and further that the petitioners are inspired by their Catholic faith, and Pope Francis’ Laudato Si The petitioners therefore request that the House of Commons urges the Government to cut carbon emissions to keep global temperature rise below the dangerous threshold of 1.5°C, and to prevent climate change pushing people deeper into poverty And the petitioners remain, etc [P001663]
ParlaMint-GB_2015-12-16-commons.u459	I wish to present a petition on behalf of the residents of Newark in Nottinghamshire. The petition declares that the petitioners support a full merger of their NHS Trust—following a disastrous inspection report by the Care Quality Commission, and a terrible legacy from the private finance initiative—with a high-performing neighbouring trust, such as Nottingham, in order to secure the future of high quality healthcare provision in the Newark area. Furthermore, the petitioners support and will work constructively with that new trust, and furthermore, they support the hard-working doctors, nurses and staff of Sherwood Forest Hospitals NHS Trust, including those at Newark hospital Following is the full text of the petition: [The petition of residents of Newark, Declares that the petitioners support a full merger of their NHS Trust with a high-performing neighbouring Trust in order to secure the future of high quality healthcare provision in Newark; further that the petitioners support and will work constructively with the new Trust; and further that they support the hard working doctors, nurses and staff of Sherwood Forest Hospitals NHS Trust including at Newark Hospital. The petitioners therefore request that the House of Commons urges the Government to encourage the full merger of Sherwood Forest Hospitals NHS Trust with a neighbouring high-performing Trust. And the petitioners remain, etc.] [P001665]
ParlaMint-GB_2015-12-16-commons.u460	I wish to present a petition further to that of my hon. Friend the Member for Newark (Robert Jenrick). It, too, calls on NHS bosses to allow a takeover of Sherwood Forest Hospitals NHS Trust by a neighbouring trust. Members may be familiar with the financial issues faced by the Sherwood Forest trust, mainly as a result of a disastrous PFI deal which was signed under the Labour Government and which requires it to make repayments of nearly £1 million a week. The petition states: The petitioners therefore request that the House of Commons urges the Government to encourage the full merger of Sherwood Forest Hospitals NHS Trust with a neighbouring high-performing Trust Following is the full text of the petition: [The petition of residents of Sherwood, Declares that the petitioners support a full merger of their NHS Trust with a high-performing neighbouring Trust in order to secure the future of high quality healthcare provision in Newark; further that the petitioners support and will work constructively with the new Trust; and further that they support the hard working doctors, nurses and staff of Sherwood Forest Hospitals NHS Trust including at Newark Hospital. The petitioners therefore request that the House of Commons urges the Government to encourage the full merger of Sherwood Forest Hospitals NHS Trust with a neighbouring high-performing Trust. And the petitioners remain, etc.] [P001664]
ParlaMint-GB_2015-12-16-commons.u461	I am extremely grateful for the opportunity to address the House on a subject that is both timely—given that the invitation to tender will close tomorrow—and fundamentally important to the securing of economic growth and prosperity throughout East Anglia. It is a once-in-a-generation moment, and it should not be lost I thank the Minister for being present to reply to this short debate. As rail Minister, she has been tireless in her support, working to find solutions to the huge challenges that we face in bringing our rail service up to the standard that is so essential to the success of a modern, accessible and mobile economy. I know that, as a regular visitor to the area, she has experienced at first hand—I will not say “enjoyed”—our historically underfunded and unreliable rail service. She has always taken time to meet, listen to and respond to the organisations, businesses and passengers whose concerns, ideas and comments are at the heart of our case for the improvement that we want I also wholeheartedly thank my right hon. and hon. Friends, representing constituencies across East Anglia, who have taken the time to support me this evening. Their presence on the eve of the closure of the invitation to tender is an indication of the significance of the topic, not only for East Anglia but, I would argue, for UK plc’s growth ambitions My first question in the House concerned this very issue: the quality of rail services for my constituents in Bury St Edmunds. In terms of passenger numbers, Stowmarket and Bury St Edmunds are the second and third largest stations in Suffolk, with, respectively, nearly 1 million and nearly 600,000 passenger movements a year. I have met some of those passengers at cold, blowy stations at 6 am and discussed what the current service gives them. It is not what they pay for, that is for sure. Indeed, 66% of customers in Abellio’s own survey felt that they did not get value for money As a new MP I have been challenged, rightly, by my constituents to join the campaign by MPs of long standing from Suffolk, Norfolk, Essex, Cambridgeshire and lately Hertfordshire to fight for what they deserve. Only this Saturday my constituents were frustrated by rail freight trains holding up passenger services. Services are hindered by the decrepit and aged rolling stock. Ours is on average 27 years old. The national average is 20—and you never want to be older than the national average. We are also hindered in our area by the lack of reliability and frequency, by the appalling state of stations and real estate and by the lack of services. With the new franchise we must not miss the opportunity to meet some of these needs. We must rise above and exceed what the invitation to tender asked for Only last week, the list of red delays between Liverpool Street and Colchester was long enough to make the timetable look like a seasonal candy cane. It does not matter from whatever angle you view the situation: having to guess your arrival time, or even whether you will arrive for work or an appointment on time is simply not fair. As a rather famous little tank engine once said, “Run my train on time” and I could not agree more. In November 2013 the Chancellor of the Exchequer visited our area and agreed that the Great Eastern main line rail service was not good enough and was a barrier to growth. The taskforce led by my hon. Friends the Members for Norwich North (Chloe Smith) and for Ipswich (Ben Gummer) and my right hon. Friend the Member for Witham (Priti Patel) has demonstrated the rail needs across three counties. In 2014 the taskforce report was accepted, highlighting, along with the issues already mentioned, overcrowding and outdated infrastructure My constituents and the broader customer base using the rail service are charged too much for a rail service that is inadequate. They expect and deserve better for their money. Additionally, we need Network Rail to fulfil its commitments to the infrastructure across control periods 5 and 6. That need was confirmed in the recent Hendy report. That would contribute to faster, more reliable journey times in 10 years’ time.
ParlaMint-GB_2015-12-16-commons.u462	My hon. Friend is making the case powerfully. The number of Members present in the Chamber shows how strongly we all feel on the issue for our constituents. I agree with her in the strongest possible terms that this is a once-in-a-generation opportunity. We have to align the work of Network Rail in the next 10 years with a nine-year franchise to get infrastructure improvements and new trains. That is what our passengers need.
ParlaMint-GB_2015-12-16-commons.u463	I could not agree more. There needs to be that connected thought—that is the important thing—to allow works at the Ely North junction, for example, where there is a real need. That has been the demand by my colleagues in Cambridgeshire, but this issue also affects users in Norfolk and Suffolk. The work has already slipped from period 5 to period 6 Freeing up capacity is an urgent need across our dynamic growing area, so it was with disappointment that I, my right hon. Friend the Member for West Suffolk (Matthew Hancock) and my hon. Friend the Member for Ipswich noted that the tender did not highlight a more frequent service between Ipswich and Peterborough or Ipswich and Cambridge. Indeed my right hon. Friend had a meeting with rail users only last week to press that point home These critical centres need a more frequent service, as does the science corridor between Norwich and Cambridge, for which my hon. Friend the Member for Mid Norfolk (George Freeman), who has emailed me because he cannot be here today, has campaigned. That would doubtless give huge economic benefit to the life sciences industry as well as to other businesses.
ParlaMint-GB_2015-12-16-commons.u464	I congratulate my hon. Friend on securing this debate. She is giving us a great history going around the various branch lines in East Anglia. Does she agree that if investment is made in the east Suffolk line in terms of through-trains to Liverpool Street, faster service and investment in stations, that can play a significant role in bringing economic growth to east Suffolk?
ParlaMint-GB_2015-12-16-commons.u465	I could not agree more. The beauty of delivering this tender well is that it can bring benefits across Norfolk, Suffolk, Cambridgeshire and Essex and benefit all our constituents, who, frankly, do not care whose constituency they are travelling through; they just care about getting where they want to go on time and in a way that is easy to access.
ParlaMint-GB_2015-12-16-commons.u466	I congratulate my hon. Friend on securing this debate. Does she agree that, given the growth in our region and the fact that Cambridge is one of the few net contributors to the Treasury, it is essential we get the infrastructure we need? Ely is often a pinch point in infrastructure development, including the Ely North junction and the Soham-Ely doubling.
ParlaMint-GB_2015-12-16-commons.u467	I could not agree more, because those pinch points affect such a broad area and affect the delivery of services into all our towns across the region. That is hugely important, and it was highlighted in the Hendy report I ask myself whether the obvious need for greater capacity would be addressed if we were not on the eve of this franchise re-tender. Our plan, with which the Minister is very familiar, is underpinned by a solid business case that will unlock the economic potential of up to £4.5 billion based on a package of improvements costing just over one tenth of that: £476 million. It will generate some £9.50 for every pound spent, providing a cost-benefit ratio that is acknowledged to be one of the most compelling investment propositions for rail. Over the next decade the plan will deliver over £15 billion in gross value added, 184,000 homes and some 50,000 new jobs, but if nobody can move around the area—and we already have to accept that the A14, which cuts right through my constituency and which travels down to the country’s largest container port at Felixstowe, is at times overwhelmed by the traffic—we really do have a problem Let me state quite clearly that we do not want to see “business as usual” being the operating criterion for the chosen bidder when those bids land tomorrow. We want change; we want transformational change at that, based on best practice from home and abroad. We want innovative thinking about some essential needs. I want those constituents of mine who are disabled, and particularly those who use a wheelchair, not to be faced with the situation where they cannot even access a train. If you live in Needham Market and you are in a wheelchair, that is it; you are not getting on that train. That is simply not good enough in 2015 We know that whatever is to be delivered will be some way down the track—I have tried to avoid such comments, but I may hit the buffers at times. We do not want our new rolling stock to be somebody else’s refurbs. The taskforce report was very clear: we want new rolling stock. One reason much of our stock is to be upgraded is, quite simply, that it will be illegal shortly due to its inadequacies. We do not want pacers or old tube stock either. We have made do on this line for too long We have been told that with new rolling stock will come the reliability we seek. Everyone in the know says infrastructure is essential, too, including track signalling and overhead line equipment, as part of that bigger picture. But that rolling stock is essential, as the Minister knows very well from having used our service. Essential east-west link improvements are needed, including the Felixstowe to Nuneaton and Birmingham freight route that will link the UK’s biggest container port with the rest of the UK and take pressure off the A14. My hon. Friend the Member for Suffolk Coastal (Dr Coffey) has campaigned tirelessly on this issue. As an aside, it seems incredible that one of the busiest ports in the UK is served by the single-track Felixstowe branch line To relieve pressure on commuters, I would recommend the introduction of an hourly Ipswich to Peterborough service—which I reiterate was not stated as a requirement in the invitation to tender—and I will add to my wish list the request that it should be increased to a half-hourly service at peak times. Improved passenger journey times, particularly in the east, are essential to optimise growth from east to west. In my constituency, we would like tomorrow to be an early start to Christmas. We have heard of Norwich in 90 and Ipswich in 60, and I am standing here today to ask you for Stowmarket in 70.
ParlaMint-GB_2015-12-16-commons.u468	Order. I have let the hon. Lady get away with this the first couple of times. When she says “you”, she is addressing the Chair, not the Minister. If she wishes to ask the Minister something, she must say “the hon. Lady”.
ParlaMint-GB_2015-12-16-commons.u469	I am terribly sorry, Madam Deputy Speaker; you are absolutely right. It is my enthusiasm on securing the debate and having the chance to ask the Minister to listen to my arguments. I hope that, when the bids hit her desk tomorrow, she will take this opportunity to give us what we really want for the next nine years.
ParlaMint-GB_2015-12-16-commons.u470	Does my hon. Friend agree that we need to avoid a repetition of the situation that arose in Lowestoft last Saturday, when people could not even get on the trains? It was a day of high demand, with people going to a premier league football match between Norwich and Everton, and also going shopping in Norwich, but they could not even get on the trains.
ParlaMint-GB_2015-12-16-commons.u471	Absolutely. That point would probably also be supported by my right hon. Friend the Member for West Suffolk, who has called for special trains to Newmarket on race days. We have a centre of excellence for the racing industry in Newmarket, but it cannot optimise what it could do for the country because we cannot get people there smartly enough My constituents do not want to stand on trains; they want to sit. They also want to be connected to wi-fi, and maybe have a cup of coffee, but at the moment they can get neither of those services between leaving home and arriving at their main line station. They want to be able to park at their stations and shelter from the elements until the train arrives. Otherwise, they will opt to use different forms of transport. We are not talking about a third world country here.
ParlaMint-GB_2015-12-16-commons.u472	I congratulate my hon. Friend on securing this debate. Does she agree that, regardless of who is awarded the franchise, we must also address the question of the corporate governance of Network Rail? Until that is improved, we will not see the improvements that we need.
ParlaMint-GB_2015-12-16-commons.u473	I thank the hon. Gentleman for that question. I am sure that it is something that the Minister will attend to With the Paris summit fresh in our minds from the weekend, the provision of a better train service makes both economic and environmental sense. The frustration at the lack of frequency in the timetabling and at the poor reliability cannot and should not be underestimated by my hon. Friend the Minister. My constituents are being ill served, their journeys are being made more arduous, and the potential for growth in the towns in my region—and, more importantly, my constituency—is being thwarted by the lack of investment on the line. This all adds up to my wanting the requirements in the invitation to tender not simply to be met but to be exceeded. I fully appreciate that not everything I have asked for can be given, but I do expect the signed franchise agreement to deliver the absolute maximum punch for my constituents and everyone across East Anglia The tenders will come in tomorrow, so when the Minister looks at them on Friday, she will have the opportunity to challenge the prospective operators to fill the gaps that the tender has failed to specify in the detail. If the nine years from October 2016 do not put the east in a primary position to compete in our competitive global economy, my Government will have failed to release the further potential of one of the country’s net contributors to the Treasury I will finish with these words: “East Anglia is one of the fastest growing regions in the country and is establishing itself as a world leader in science, technology and manufacturing. To support this growth we need to have modern, efficient rail services and improved connections”. Those are not my words, but those of the Prime Minister in April 2014. I do not think I can beat that. I just want to see these things being delivered.
