ParlaMint-GB_2015-09-09-commons.u1	We begin today with speeches to mark Her Majesty the Queen becoming our longest serving monarch.
ParlaMint-GB_2015-09-09-commons.u267	Earlier this afternoon, I received an answer from the Ministry of Defence that, in tandem with another answer from the same Ministry, shows that the first ship we deployed in the Mediterranean rescued an average 527 people every week over nine weeks. Today, however, we learn that the second ship we deployed, HMS Enterprise, has rescued fewer than that—453 migrants in total over the same period. Does my hon. Friend share my concern about what that means for our ships in the Mediterranean and what we are asking them to do? Do we not deserve a detailed explanation of their exact role in the Mediterranean?
ParlaMint-GB_2015-09-09-commons.u268	I certainly agree with my hon. Friend. It is very poor indeed if it is true that charitable organisations operating on an absolute shoestring are rescuing more people than our Navy is able to rescue, given the facilities and investment that go into our Navy. We need to do a good deal more Those refugees are not coming solely from Syria; they are coming from Eritrea, Somalia, Libya and a range of other countries, and we must do all that we can to support each of them. As my hon. Friend the Member for Ochil and South Perthshire (Ms Ahmed-Sheikh) said earlier, no one puts their child on a boat unless the sea is safer than the land. We must bear that in mind when we think of the difficulties and challenges that people are facing, and the fear that must drive them and their families out on to the sea The response in Glasgow has been absolutely amazing. I have been inundated with emails, because so many organisations are trying to help. Groups of people have come together to form organisations such as Scotland Supporting Refugees. Other organisations are well established, such as the Glasgow Campaign to Welcome Refugees and Positive Action in Housing. Strathclyde University’s student union is collecting for refugees, and the Clutha—a bar which, as many will know, faced tragedy itself—has been raising money for the Scottish Refugee Council. All those organisations are coming together, but what would be incredibly useful would be a wee bit more guidance on what people should be doing to help. What can people give? Should they donate money, clothes or bedding? Where can they go to donate, and how can we best support the offers from ordinary people who are desperate to do something to avert the tragedy that we are seeing I have also received a request from a woman who is involved in Scotland Supporting Refugees. She is desperate to try to help by taking items to Greece, but she has found it incredibly difficult to persuade the airline—in this instance, Flybe—to provide the extra baggage allowance. I hope that Ministers will speak to airlines that are already operating charter flights to Greece to use whatever leeway they have to allow people to take extra items. All the airlines should be trying to support this humanitarian effort I have been trying to help a constituent who has been seeking status in this country for some time, having fled from a very dangerous situation in Yemen. He got in touch with me, regardless of the extreme personal difficulties that he has been experiencing—he has faced destitution, not for the first time—to ask, “What can I do to help? I do not want anyone else to have to face this situation.” I urge the Government to do more. It is great that finance has been coming, but a good deal more needs to be done to support people who are in the most desperate of circumstances.
ParlaMint-GB_2015-09-09-commons.u269	I apologise to the House for the fact that, although I was in the Chamber for the opening speeches, I have not been present for the whole debate Let me say at the outset that I am no Tory Mr Gradgrind, gnashing my teeth and moaning and groaning about things—not, I must add, with universal support in North Dorset. I am a huge supporter of the 0.7% of GDP, and I hope that economic growth can continue so that that figure can rise. It is testimony to our history, our heritage and our humanitarian outlook, and we as a nation should be proud of it I think the fact that the House has discussed this issue, both as a result of the Prime Minister’s statement on Monday and in the debates that have taken place yesterday and this afternoon, illustrates the huge amount of interest, concern and support in the House An earlier speaker suggested that this was probably the first occasion on which public policy, both here and elsewhere, was being shaped or formed by a photograph. I am not entirely sure that that is correct. Quite a lot of people will think back to the photograph of that little girl during the Vietnam war, and how it helped shape and change public opinion. The photographs of figures in holocaust camps, consisting of skin and bone held up by rags, changed the view as well. However, I have to say, without becoming too maudlin about the matter, that as the father of three daughters—one of whom happens also to be a three-year-old—I was very struck by that photograph. As I flipped through recent pictures on my phone of her splashing in the waves during a family holiday in north Pembrokeshire, I tried to put myself in that father’s position. He had lost everything, and was wondering who or what was there to help and support him—and, indeed, whether the world understood what on earth was going on I think what is happening in the UK is desperately important, and it is indicative of our DNA when it comes to these issues. Whenever there is an international crisis with a humanitarian aspect, our country and its citizens, charities and voluntary sector always rise to the occasion and do so magnificently, often through small people doing small things that they hope will make a big difference In the three sessions of debate on this issue, a number of Members have referenced what their councils are doing. I am pleased to say that even in rural, somewhat sleepy Dorset, which does not have a very racially mixed demographic, the chief executive of North Dorset district council, Matt Prosser, is convening discussions with other council officers to see what Dorset can do to help If this motion is pressed to a Division, I will oppose it, however, because it asks us to help those who are already in Europe. It is a fundamental principle that we must stand first against that. There are several reasons why. The kernel of my concerns is the issue I raised with my right hon. Friend the Prime Minister on Monday—security. There is a downside to having 20,000 people over a five-year period rather than immediately. If I was an ISIS recruiter wishing this country ill, I would be trying to find ways to infiltrate and get my people in on those transports bringing people to the United Kingdom. We know because that is how they work. We know because we have seen it in other refugee camps where political or religious intimidation is rife. It would be wholly negligent of Her Majesty’s Government to adopt a policy that brought such people into this country. The sole purpose is the relief of suffering, but that would bring in people who wish to cause harm and discord.
ParlaMint-GB_2015-09-09-commons.u270	Our policy on asylum seekers and those seeking refuge has been driven by ISIL. ISIL has already won.
ParlaMint-GB_2015-09-09-commons.u271	I have to say that I think that, unfortunately, the hon. Gentleman is in some respects right. Part of the downside of what has been an instinctive humanitarian response is that we are doing President Assad’s job for him by clearing away the results of his devastating policy on his country, and some could construe that as waving a white flag to ISIL, too—saying, “We cannot defeat you; we haven’t the resolve or the resource and therefore we are going to absorb those people who have been displaced by your actions.” I therefore agree with the hon. Gentleman in that I could see that being a very easy interpretation of some of our actions and some of these proposals.
ParlaMint-GB_2015-09-09-commons.u272	We have a desire to help those on European shores. We are a member of the EU. We should stop hiding behind Schengen and accept our responsibilities to work with our partners to give sanctuary to those who need refuge. That is the priority.
ParlaMint-GB_2015-09-09-commons.u273	I hear what the hon. Gentleman says, and I repeat a point I made in an intervention on the shadow Foreign Secretary: there are hospitals, doctors, schools and the whole network of social infrastructure in each and every European country. There may be qualitative differences, and there may even be quantitative differences, but those networks exist.
ParlaMint-GB_2015-09-09-commons.u274	rose—
ParlaMint-GB_2015-09-09-commons.u275	Let me finish this point. It would be a retrograde step if people could say, “I have arrived in Europe, I am free of persecution, but I am now going to do a pick ‘n’ mix of which country in Europe is best for me.” I also have to say that it is deeply insulting to those countries in Europe who themselves are striving to deal with this issue to say that we can do it better than them. There is a smack of imperialism—
ParlaMint-GB_2015-09-09-commons.u276	rose—
ParlaMint-GB_2015-09-09-commons.u277	At the mention of a smack of imperialism, I seem to be infested by Scots. I will give way to the hon. Member for West Dunbartonshire (Martin John Docherty).
ParlaMint-GB_2015-09-09-commons.u278	I am grateful for the infestation of Scots; I am delighted that 56 of them are Scottish nationalists, especially in this debate today. I wonder whether the hon. Gentleman would agree that the nations that might require the greatest assistance are great nations such as the Republic of Greece, which founders on economic disaster, yet opens its doors without question to those seeking refuge in the most dreadful conditions; and if we are to support them, we should also give them additional investment.
ParlaMint-GB_2015-09-09-commons.u279	I hear what the hon. Gentleman says, but the sovereign Government of Greece signed up to an arrangement of open borders, which they now have to justify to their people. Her Majesty’s Government, on previous occasions, took a different point of view.
ParlaMint-GB_2015-09-09-commons.u280	The hon. Gentleman has clearly overcome whatever emotions afflicted him when he scrolled through his family photographs by conjuring up the most bizarre rationale. Does he not understand that many of us fully accept why Government Members want at every opportunity to stand outside a common currency in Europe, but not to stand outside common decency?
ParlaMint-GB_2015-09-09-commons.u281	With the greatest respect to the hon. Gentleman—I do have a huge amount of respect for his views on many issues—I think that point seeks to deliberately debase the debate. This is nothing at all to do with either decency or indecency. The difference between opposition and government is that Opposition parties can let only their hearts dictate the narrative; the governing party has to use heart and head. I shall come on briefly to some of the issues—whether we are talking about 20,000 and whether they will come from within the camps or elsewhere—that are pertinent for Ministers to consider.
ParlaMint-GB_2015-09-09-commons.u282	Will the hon. Gentleman give way?
ParlaMint-GB_2015-09-09-commons.u283	I have given way quite enough. Let me make a little progress in the time remaining I was a district councillor for 11 years, so I find it heartening that through the Department for International Development’s budget for the first year, funding will be made available to local authorities. I suggest that there would be an even more active response from local government if Ministers gave a further indication of the sources of funding for years 2 through to 5. That would be productive We should always continue to ensure that countries closer to Syria and the camps do their bit. We must ask Bahrain, the United Arab Emirates, Saudi Arabia and others to play their part, because the quicker we can get people back to a country that is peaceful and where civil government is reinstated, the better. It will be much easier to do that from countries nearer to home I fear that the slightly open-door policy advocated by the shadow Foreign Secretary and the SNP is the greatest recruiting sergeant to those whom the whole House abhors: those who profit from people trafficking. I think that it will just encourage people. [Interruption.] Opposition Members from a sedentary position shout “shameful”, and I absolutely agree. It is shameful that in the early part of the 21st century, we have people—fellow human beings—who seek to profit and make their living from selling and transporting human cargo in degrading and horrible circumstances, where they are ripping people off, cramming them into boats and causing even more unnecessary suffering.
ParlaMint-GB_2015-09-09-commons.u284	Will the hon. Gentleman give way?
ParlaMint-GB_2015-09-09-commons.u285	I will not give way. Finally—and this is where we should be careful not to be media-dominated—there are lots of humanitarian crises across the surface of the globe. Some have mentioned Yemen, and there are others. We need to be very careful that we do not do too much too quickly, because that raises expectation and gives the green light to those who are fundamentally anti-democratic and anti human rights.
ParlaMint-GB_2015-09-09-commons.u286	I was going to speak about the consensual tone of the debate, and then the hon. Member for North Dorset (Simon Hoare) returned to the Chamber. I have two things to say to him. First, he would have benefited if he had been able to listen to the other 29 speeches in the debate. There was a lot in them, but he will have the opportunity to see that if he reads Hansard. The second and more serious point is that, realistically, the threat from Daesh does not lie in its sticking a few operatives into groups of asylum seekers or people seeking refuge and sanctuary. The threat from Daesh is that its poisonous ideology will affect people born and bred in this country. One thing that will enable that is a suspicion or belief, founded or unfounded, that we judge asylum on whether people are Muslim, brown, black, or just look suspicious. I ask him to reflect on whether the attitude that he struck in his speech will help or hinder the battle of ideas, which is central to the assault on terrorism The 29 speeches that I heard—I sat through every single one—were a credit to this House and to this Chamber. Of course there were disagreements. Incidentally, this motion is the most consensual motion that I have ever had a hand in drafting in this House. I can absolutely assure the Chamber of that. This motion is not just about what is in it, but about what has not been put in it. Government Members will notice that there is no mention of the imperial legacy in the middle east, which is the fundamental cause of many of the issues. There is no mention of the illegal war in Iraq, which is the more immediate cause of destabilisation and radicalisation. There is not even any mention of our recent experience in Libya Government Members might ask what we did wrong in Libya. Of course there was a strong argument on humanitarian grounds for intervening in an air campaign to protect people against the dictator, but where does the argument lie given that the House of Commons Library has explained to us that this country committed £320 million to that air campaign and committed £25 million to the rebuilding and reconstruction programmes after the immediate conflict? Thirteen times as much was spent on a military campaign as on a reconstruction campaign I did not mention the arms trade in the motion and the reality that, in this conflict as in every conflict, British armaments and munitions will be used by both sides. This motion was aimed at concentrating on areas where we could build a consensus I said that this was the most consensual motion in which I had been involved in this House. I was involved in a number of consensual motions in the Scottish Parliament as First Minister when I led a minority Government; I felt that the necessity of numbers often required me to temper my enthusiasm for certain areas of policy and I tried instead to build a consensus. I did so on issues such as climate change remarkably successfully This Government have a majority in this Chamber, but I caution them to reflect on the fact that the leaders of six opposition parties and the Independent Unionist Member of Parliament have put their names to this motion. Having a majority in this Chamber does not necessarily represent a majority opinion in the country. There is the strongest evidence that the majority position in the country is more reflected in this motion than in the Government’s disagreements with it. We tried to emphasise in the motion not just what more we think should be done but what has been done, and we tried to accord it full credit and our support My hon. Friend the Member for Glasgow North East (Anne McLaughlin) reminded us of dehumanising language and the dangers it can have in such debates. It was significant that for the overwhelming bulk of the debate, at least, there was no dehumanising language. There was no mention of “hordes”, or “floods”, or “swarms” or anything like that. The context of the debate, the reason why we are here today and the reason why there has been this overwhelming surge from the grassroots of each and every one of our constituencies to do more is that picture of Alan Kurdi. Rather than making the debate about tens of thousands, hundreds of thousands or masses of migrants, that picture humanised it. It made the debate about an individual, small child lying dead, face down in the waves of the Turkish beach. That was what humanised the issue for our constituents and, in all honesty, it is why the Government are at the Dispatch Box today That context combines two things: the instinct to survive that is the most profound of all human emotions, as mentioned by the spokesperson from the Labour Front Bench, the right hon. Member for Leeds Central (Hilary Benn); and the anxiety to help that is a profound human response to seeing our fellow human beings in extremity. As a Chamber and as a House we should reflect on the point that if the purpose of the Kurdi family had been to go not to Canada but to the United Kingdom and if, by some wonderful act of fate, Alan had survived rather than dying in the sea, that three-year-old child would have been refused refuge in the United Kingdom, either because he landed in Turkey, and we therefore do not think that that accords with our obligations, or because we are not prepared to play a part or make a contribution with other European partners to taking responsibility for part of the problem As for leadership, we have this opportunity because our constituents are exercised and energised on this issue. We have heard from almost every speaker about the experience in their constituency of the anxiety and willingness to help. That gives us the opportunity for real leadership, and we should do more in this House. We should do that The nub of the debate and the issue that has divided opinion, even among those who are anxious to help but who none the less have a legitimate argument against the motion, concerns what Conservative Members have cautioned against: the green light, as they put it, that would be signalled to traffickers and displaced people in the middle east if the UK joined our European partners in accepting refugees.
ParlaMint-GB_2015-09-09-commons.u287	In giving evidence to the Home Affairs Committee yesterday, the mayor of Calais was very clear that family members of immigrants—economic immigrants as well, I fully accept—write to their relatives in their countries of origin telling them that Britain is a land of fairness and freedom and encouraging them to come over. Does the right hon. Gentleman not understand that criminal networks want to make—
ParlaMint-GB_2015-09-09-commons.u288	Order. Unfortunately, we need short interventions rather than speeches. If the right hon. Member for Gordon (Alex Salmond) wants to give way again, he may do so.
ParlaMint-GB_2015-09-09-commons.u289	I understand the point, as I heard the counter-arguments from a number of Members with great experience. I heard the hon. Member for Foyle (Mark Durkan), for example, point out that exactly the same logic was used to withdraw the naval patrols in 2013, resulting in people dying. I heard from people with practical experience. The hon. Member for Hove (Peter Kyle) pointed out that the push of war rather than the pull of the UK is the motivation for people taking the desperate gamble of going across the Mediterranean. In realistic terms, does anyone seriously believe that, given that the German Government’s policy of offering sanctuary to hundreds of thousands of people is in place, others would be motivated if this country were prepared to accept a share of the responsibility? That is an extraordinary argument Those on the Conservative Benches should reflect on the speech of the hon. Member for Oxford West and Abingdon (Nicola Blackwood), which shone out like a beacon among the contributions from Conservative Members. She pointed out from her own experience that the conditions in the camps are also what motivate people to leave—the hopelessness of not having any prospect of returning to Syria or any of the other benighted countries, and the lack of opportunity for education. We heard two statistics. The Secretary of State herself told us that only 37% of the necessary funding was available for the food programme. The Opposition spokesperson pointed out that the food ration had been cut by 50%. The camps cannot be regarded as the only solution to the problem.
ParlaMint-GB_2015-09-09-commons.u290	My right hon. Friend is making a good point about why these people will come and will have to come. As my hon. Friend the Member for Edinburgh East (Tommy Sheppard) said, the terror behind them is so much worse than what is in front of them. With the UK closing the door or being ham-fisted, our European partners have to take more refugees, as we would wrongly pass by on the other side. I urge the UK Government not to do that, but to play their full part and ask, “What more can we do?” as my hon. Friend the Member for Moray (Angus Robertson) said in his opening speech.
ParlaMint-GB_2015-09-09-commons.u291	I agree with my hon. Friend When the Prime Minister goes to the European summit next week, or when he deals with our partners in the United Nations, what position will he adopt in asking others to fulfil their obligations to help support people in the camps in the middle east? Will he approach others by saying, “We’re having nothing to do with our European partners in their programme of resettlement”, or by saying, “We will share that burden and we expect you to share the burden of support for refugees in the camps”? Which position will accord this country the greatest influence and the greatest prospects of success? Surely logic tells us that it is the co-operative position.
ParlaMint-GB_2015-09-09-commons.u292	rose—
ParlaMint-GB_2015-09-09-commons.u293	I give way for the last time.
ParlaMint-GB_2015-09-09-commons.u294	I genuinely appreciate the right hon. Gentleman giving way. From the phrases that he has just used, the inadvertent implication of the motion—I take it that it is inadvertent—seems to be that our priority would be to help our European partners alleviate the burden of their immigrant and refugee crisis, rather than helping the people in the refugee camps on the borders of Syria. Surely that cannot be his intention.
ParlaMint-GB_2015-09-09-commons.u295	I suggest the hon. Gentleman reread the motion. Also, if he had been here for the debate, he would have heard that explained many times That brings me to my final point of argument before I sum up—that is, whether the situation would be manageable if we made a contribution. In some of the speeches I heard, Members were worried about whether we could cope with an issue of such magnitude. Recent experience, never mind post-war experience, tells us otherwise. In 2001 the number of asylum applications in the United Kingdom that were granted—not the number that were made, but the number that were granted in a single year—was 31,641. Last year the number was 8,150 Even in our recent experience we have coped properly, morally and responsibly with far larger numbers than even the Government’s renewed suggestion of a resettlement scheme implies. It is important for us to understand that we have the capacity to deal with the situation, as shown not just by the case of the Ugandan Asians or Vietnamese boat people, but by very recent experience. President Juncker made an excellent, if belated, speech this morning to the European Parliament, pointing out that at the end of the second world war 20 million people had to be resettled on the continent of Europe. Surely now we can find it within ourselves to make a contribution with our European partners to address the issue of refuge in Europe, as well as encouraging them and the rest of the world to act directly on the situation in the camps in the middle east.
ParlaMint-GB_2015-09-09-commons.u296	The right hon. Gentleman makes a critical point about the camps. The UNHCR, the World Health Organisation and other organisations working in the camps are at breaking point, so we must also look at how we support them.
ParlaMint-GB_2015-09-09-commons.u297	I absolutely agree, which is precisely why the motion argues for an attitude of co-operation with our European partners, so that we will be in a position to encourage them to join us in taking further action in support of UN efforts I have two further points to make, but I will make them quickly because I want to give the Minister plenty of time to answer the questions that so many contributors to the debate have asked. I recently became a member of UK Holocaust Memorial Foundation’s board, which is chaired by Sir Peter Bazalgette on a cross-party basis. During the first meeting I attended I made the point that the organisation must be about more than having a memorial, as crucial as that is. It must ensure that the memory of what happened in the holocaust is never lost and that information about it is available to future generations, but it must also celebrate the contribution that those who were saved from the death camps have made to this country, in medicine, science, business and the arts Although this debate has not been guilty of using dehumanising language, not enough has been said about what an opportunity this is. That is surprising, given how many Members pointed out that they themselves are the sons, daughters or grandchildren of immigrants or refugees. This is not a burden, a problem or a drag; it is an opportunity. Every family, every child and every human being that we contribute to saving has an opportunity to do great things for this country, just as the refugees who were saved from the death camps have done. Let us change our attitude and see the potential in doing the right thing, not just the problems Finally, the Prime Minister said today—I think I am quoting him correctly—that he was putting “no limit” on the first year. I am not sure that is accurate, in the sense that there is the limit of 20,000 over five years. None the less, he said that he would not put a limit on the programme in its first year, which should make Conservative MPs pause for thought. He also said how pleased he was that we can exercise sovereignty because we are not in the Schengen agreement. I have spent my political life arguing for sovereignty for the Scottish people, so I really do understand its importance. But having sovereignty is about having the right to choose and not to be ordered to do things. I think that it is a good thing not to be ordered to do things, because we should not have to be ordered to do this; we should choose as a nation to do the right thing, and we should choose to support this motion.
ParlaMint-GB_2015-09-09-commons.u298	We have had a good, broad and wide-ranging debate on an issue of real concern not only to this House but to the whole UK. Indeed, it should extend to Europe and the world as a whole, given the flows of people we are seeing and the challenges that presents. A number of important themes came through in the debate, and they were apparent in all the contributions we heard. There is recognition and understanding of those challenges, and indeed support for a number of things that the Government are doing. We welcome the points of the motion that underline that. In the spirit with which the hon. Member for Moray (Angus Robertson) opened the debate, I recognise that in the points of the motion that he highlighted In that spirit of understanding and agreement, I urge all right hon. and hon. Members to do their bit to support the resettlement scheme that the Prime Minister announced earlier this week, to ensure that local authorities and the devolved Administrations come forward and play their part, and indeed to find ways of channelling that passion and the contributions that the individuals who have contacted us can make. I will come on to the structures and statements that will follow and what we are doing to ensure that this work is undertaken at pace to give effect to the rightful expectations of this House and the country as a whole. These themes of compassion and humanity have been raised by Members in all parts of the House, and that has been the motivating factor for the actions of this Government too We are witnessing mass migration across Europe on a scale not seen since the end of the second world war. We have seen harrowing pictures that serve as a tragic reminder of the risks that people take when attempting to make dangerous journeys to Europe, and a stark reminder of the exploitation by smugglers and organised criminal gangs who put people’s lives at risk, put them in harm’s way, and, frankly, do not care whether they live or die. It is that loss of life that Members across this House take so seriously, and it is a further point we can all agree on I want to return to the opening speech by my right hon. Friend the International Development Secretary. Many Members—certainly Opposition Members—have said, “We’re looking for leadership.” Well, this Government are showing leadership in being the only EU country to fulfil its pledge to provide 0.7% of GDP for international aid. We should be proud of that. Through that leadership, this country is showing that it has a sense of where need is required to be met and the difference that is making. This is not about simply saying, “It’s millions of pounds”, although it is; it is about the fact that it is delivering real benefit to so many people. UK support has delivered over 18 million food rations, each of which feeds one person for a month, provided access to clean water for 1.6 million people, and provided over 2.4 million medical consultations in Syria and the region. This country can be proud of that.
ParlaMint-GB_2015-09-09-commons.u299	The record will show that just a few moments ago the Minister said that the United Kingdom is the only member state of the European Union to fulfil an obligation of 0.7% in terms of international development aid. Is he saying that the Netherlands, Denmark and other EU and Scandinavian countries have not fulfilled the 0.7% obligation? They have done so for a number of years, yet the UK is only now beginning to do so, having promised to, in the first instance, from 1970.
ParlaMint-GB_2015-09-09-commons.u300	We are the only major developed country in the G7 that is making this contribution—[Interruption.]
ParlaMint-GB_2015-09-09-commons.u301	Order. Mr MacNeil, you have been doing very well this Session—let’s not spoil it.
ParlaMint-GB_2015-09-09-commons.u302	I say to the hon. Gentleman that we should be proud of this. In his opening speech, he highlighted the real benefit that we as a country should look to—
ParlaMint-GB_2015-09-09-commons.u303	On a point of order, Mr Deputy Speaker. Is it in order to have two classes of partner in the European Union whereby the Government decide that some are major and some are minor?
ParlaMint-GB_2015-09-09-commons.u304	I do not need to worry about a point of order on that.
ParlaMint-GB_2015-09-09-commons.u305	It is important to come back to the point I was making on the difference that aid is making. The £100 million that was committed in July is providing vulnerable people inside Syria and across the region with food, clean drinking water, relief assistance, health support and shelter. There is a focus on education, including an increase in funding up to £20 million for education in Lebanon this year in preparation for school enrolment in September to help ensure that refugee children and Lebanese children alike can benefit from an education. I hope that everyone agrees with the need to provide hope and a future for the refugees in those camps, who have been displaced into that region. That gives a sense of how we can rebuild, while recognising that this is a challenge beyond the shores of Europe. The International Development Secretary clearly indicated in her opening remarks the other steps required.
ParlaMint-GB_2015-09-09-commons.u306	Will the Minister define what he described as major and minor and explain why it is important?
ParlaMint-GB_2015-09-09-commons.u307	I am genuinely sorry if the hon. Gentleman finds fault in the way in which this Government —or, indeed, this country—are providing aid and assistance. This is a really serious and important matter. The point I am underlining is the leadership this country is showing, and we should not talk it down or diminish it, because it is making a real difference.
ParlaMint-GB_2015-09-09-commons.u308	I thank the Minister for giving way: he is being very generous. I want to take us away from the statistics to the things that will actually help the refugees in the camps. Does he agree that the humanitarian crisis response model is not fit for a long-term crisis and that responding with short-term assistance does not give hope to refugees? We need to address problems of insecurity, long-term education and job opportunities. That will address the drivers of this crisis.
ParlaMint-GB_2015-09-09-commons.u309	I entirely agree with my hon. Friend, whose speech I commend for underlining the importance of examining the long-term future of the region. This debate has focused on that serious issue and it is important that we continue to do so Most of the debate has focused on the pressure in the Mediterranean as a result of events in the middle east and north and sub-Saharan Africa. The UK works closely with international partners to tackle the conflicts in Syria, providing support to the region and fighting the criminal gangs who exploit people. We continue to play a huge role in international search and rescue efforts to save lives at sea. HMS Enterprise and the Border Force cutters are still patrolling the waters, supported by a helicopter, and the combined response that the UK has generated has saved more than 6,700 lives to date We recognise that many people are refugees fleeing conflict. That is why the Prime Minister announced on Monday that the UK will resettle up to 20,000 Syrian refugees over the lifetime of this Parliament, building on existing schemes. That is in addition to a further £100 million of humanitarian aid for those in camps in Syria, Turkey, Jordan and Lebanon, bringing our total contribution to more than £1 billion. The UNHCR views our contribution on resettlement as serious and substantial.
ParlaMint-GB_2015-09-09-commons.u310	The Minister will have heard me say earlier that the Ministry of Defence revealed this afternoon that HMS Enterprise is rescuing people from the Mediterranean at less than 10% of the scale that HMS Bulwark achieved. Is there an explanation for that, and how is it consistent with what the Prime Minister and the Chancellor said in June about continuing to play a full role in search and rescue?
ParlaMint-GB_2015-09-09-commons.u311	The Royal Navy and Border Force continue to provide support to the efforts of Operation Triton to save lives in the Mediterranean. HMS Enterprise is also supporting the effort against trafficking, identifying those vessels that are linked to people smuggling. On 22 and 23 August, HMS Enterprise contributed to a major rescue of migrants in the Mediterranean, working with the EU-led mission, which saved about 4,400 people in a single day. It is contributing as part of a wider network of vessels and is absolutely playing a role in dealing with the immediate issues in the Mediterranean I want to move on to how we will ensure that the resettlement programme works effectively. The Home Secretary and the Secretary of State for Communities and Local Government will hold their first meeting on Friday to discuss the arrangements and the Home Secretary will update the House next week. We are listening to the representations of the devolved Administrations and local government, and are keen to ensure they are reflected in our proposals. This is not only about speed and delivery, but about ensuring that the support we provide is effective and will deliver the welcome that we all want to see for those who arrive here. That point was highlighted by a number of Members We will continue to work with our European partners to solve the immediate issues, but the EU needs to deal collectively with the causes of the crisis, not just its consequences. That can be done only with a comprehensive solution. That is why we need to continue to build stability in source and transit countries, and to develop economic and social opportunities by targeting development aid and increasing investment. We need to continue to assist those who are in genuine need of international protection and swiftly return those who are not We also need to tackle the organised crime networks that facilitate people smuggling. Organisations such as Europol have an important part to play in that and we are working closely with them to put in place the intelligence flows that are needed to go after the people traffickers. Equally, we must understand the way in which those organised crime groups are using social media, so that we can disrupt them and take direct action against them.
ParlaMint-GB_2015-09-09-commons.u312	Is any effort being put into the fractured society in Libya, perhaps through aid or money, to get it to try to stop the boats leaving its shores?
ParlaMint-GB_2015-09-09-commons.u313	My hon. Friend makes an important point. We are working at a number of levels to create stability in Libya, which will be a key part of the solution to the problem of these flows across the Mediterranean. The UK has a strong history of protecting those who flee persecution. We granted asylum to about 12,000 refugees last year alone and have resettled from overseas more than 6,300 refugees over the past 10 years in direct co-operation with the UNHRC under our gateway programme. We have granted asylum to more than 5,000 Syrians since the start of the humanitarian crisis. That is in addition to providing protection to people under the UK’s Syrian vulnerable persons relocation scheme, which was launched in January 2014. That scheme has made a life-changing and potentially life-saving difference to hundreds of the most vulnerable refugees, including women who have been subject to abuse, children traumatised by war and those in need of specific medical assistance. Again, that scheme will be extended after the Prime Minister’s announcement earlier this week The Government have made clear their view on the relocation of asylum seekers within the EU on many occasions. We think that it is the wrong response and will not take part in a mechanism for relocation within the EU, whether temporary or permanent. We judge that criticism of this decision misses the point. All member states in the EU have a duty, both moral and legal, to provide refuge to those who need it and to provide the support that those people require. Many member states have not done that and it is time that they stepped up to the plate On the issue of notification raised in the motion, the Government will keep the House fully updated on this issue. The Home Secretary is due to provide a detailed update next week, and through our transparency agenda we have committed to providing quarterly data on the vulnerable persons relocation scheme. We see no reason therefore formally to lay a report—
ParlaMint-GB_2015-09-09-commons.u314	claimed to move the closure (Standing Order No. 36). Question put forthwith, That the Question be now put Question agreed to. Question put accordingly (Standing Order No. 31(2), That the original words stand part of the Question.
ParlaMint-GB_2015-09-09-commons.u315	rose—
ParlaMint-GB_2015-09-09-commons.u316	Mr Winnick, you have missed the motion, which is without debate.
ParlaMint-GB_2015-09-09-commons.u317	On motion 3.
ParlaMint-GB_2015-09-09-commons.u318	You have missed it. I have gone well beyond that. We are actually on the presentation of petitions.
ParlaMint-GB_2015-09-09-commons.u319	I wish to present a petition from 1,200 residents in the Hull area who have signed a petition in support of the Government providing more help to refugees. In particular, I want to thank Councillor Colin Inglis, Councillor Daren Hale and Councillor Rosemary Pantelakis and all the volunteers over the weekend at Hull’s Freedom Festival for their efforts in obtaining signatures The petition states: The petition of residents of Kingston upon Hull, Declares that there is a global refugee crisis; notes that the UK is not offering proportional asylum in comparison with European counterparts; further declares that the petitioners believe that the UK should not allow refugees who have risked their lives to escape horrendous conflict and violence to be left living in dire, unsafe and inhumane conditions in Europe; and that Britain must do its fair share to help The petitioners therefore request that the House of Commons calls on the Government urgently to increase its support for asylum seekers and refugees in Europe And the petitioners remain, etc [P001542]
ParlaMint-GB_2015-09-09-commons.u320	On a point of order, Mr Deputy Speaker. I wonder if I could clarify the situation over motion 3 on the Order Paper. I would be grateful for your advice. I was sitting here and waiting for the opportunity to speak. Clearly, the matter went on without my being able to catch your eye. I wanted to object to the method of appointment, to point out the need for elections to that Committee and to put the case accordingly. In those circumstances, I wonder if you can advise me on how I can pursue this, since I was not able to make my remarks today.
ParlaMint-GB_2015-09-09-commons.u321	First of all, it was not that you did not catch my eye. You caught my eye after we had voted on it and we were on to the next part. I was at the petition when you decided to stand. It is not about catching my eye. You were not on your feet and unfortunately, as one of the most senior Members of the House, you know the rules quite clearly. The bottom line is there is nothing we can do now. It has gone through and I suggest that you take up through other channels the way you feel the Committee should be appointed. As we know, that is not prescribed in the House rules and the rules would have to be changed accordingly.
