ParlaMint-GB_2015-01-15-commons.u1	1. What estimate he has made of the contribution of tourism to the economy.
ParlaMint-GB_2015-01-15-commons.u422	In my traditional role as the last Back-Bench speaker, I thank my hon. Friend the Member for Swansea West (Geraint Davies), as others have done, for bringing the subject before us These Back-Bench debates enable us to come to a view on a particular matter. It does not look as though there will be a vote today, apart from a shouted vote, in favour of my hon. Friend’s proposal, which aims for some element of democratic involvement in the process. For the record and for my constituents, if there were a vote today with regard to TTIP, I would vote against it. I think the majority of Members would vote against it because it is a pig in a poke. We do not know what it is I agree with my right hon. Friend the Member for Warley (Mr Spellar). It is a good job that he is not here, as he would probably have a heart attack hearing that. He described TTIP as the establishment of the biggest institutional trade agreement since we joined the Common Market. That is true. If one considers the scale of this agreement, the population that it covers and the immensity of the world trade that it covers, it is bigger than the Common Market agreement. I cannot understand why we are not going through the same process. When we entered the Common Market, we went through a lengthy process. There were Green Papers and White Papers. There were consultation papers that went to every household, and there was eventually a referendum because we thought it had such significance for the sovereignty of the people of this country The TTIP agreement passes over economic sovereignty on a scale that is equivalent to the establishment of the Common Market and the European Union, so I cannot understand why the Government are allowing that to happen without the full involvement of the people. Well, I think I can understand it, because most people have guessed it by now. This is about the corporate capture of policy making in this country and in parts of Europe. The only direct response MPs have had from the Government dates back to last September, when our constituents started contacting us. Eventually we got a letter from the Secretary of State for Business, Innovation and Skills trying to assuage the anxieties expressed to us by our constituents. He went through a series of points We need to start having a real debate with our constituents on the points that the Secretary of State made. He argued that there would be immense economic benefits. We heard that today—at least £10 billion of increased trade as a benefit to this country, and a significant number of jobs. The bizarre thing about it is that the work commissioned by the Government and the Centre for Economic Policy Research states that there is a risk of a million jobs being lost in this country overall Each point the Secretary of State made is now contested. On small businesses, he argued in his letter that the trade agreement would be good for small business in this country. That is contested by the small business lobby in this country and right across Europe in every sector, particularly agriculture. On deregulation, the Secretary of State tried to allay fears about deregulation and said that there would be a levelling up rather than a levelling down. We heard today from a range of speakers. I commend my hon. Friend the Member for Heywood and Middleton (Liz McInnes) and the hon. Member for Richmond Park (Zac Goldsmith), who went through a series of areas where there is a risk to the standards we have set in this country across the provision of services With regard to the NHS being under attack and the assurances that we have been given, the person who said that TTIP would cover the NHS was not on the Opposition Benches. It was the right hon. and learned Member for Rushcliffe (Mr Clarke). He was asked whether the NHS would come within the ambit of the agreement and he confirmed that it would. We have had assurances since then, but the hon. Member for Banff and Buchan (Dr Whiteford) pointed out that if we look at the detail of the paperwork provided to us at last, it demonstrates that there is a series of caveats. That means that the NHS is still at risk We come to the main issue at stake, the ISDS process. This is a transfer of power and decision making from democratically elected sovereign bodies to a group of corporate lawyers sitting in private and in secret. This country might not have lost cases, but in countries where this process has operated and where sovereign Governments have made decisions about the provision of public services, the countries have lost out, and it has cost them billions. In some instances, it has impoverished whole countries and whole sectors of a particular industry TTIP presents a huge risk. I hope that if we pass the motion today unopposed, the Government will recognise that there needs to be a democratic process in place, not just for this House to scrutinise at each stage, but for the people of this country to be involved in the process. That is why I commend all those who pressurised us to have this debate today.
ParlaMint-GB_2015-01-15-commons.u423	It is always a great pleasure to follow my hon. Friend the Member for Hayes and Harlington (John McDonnell)—indeed, I always follow him because he always seems to be called last in these debates. I do not know what he has done to upset someone in this House, but I am sure Santa delivered him some presents last month. He rightly pointed out the concerns about TTIP, and the Minister might wish to reflect that my hon. Friend and my right hon. Friend the Member for Warley (Mr Spellar) are agreeing on something, which shows there must be significant problems with the TTIP negotiations. I hope that the Minister realises that people have significant concerns across the House, and those have been expressed today I pay tribute to my hon. Friend the Member for Swansea West (Geraint Davies) for bringing this important debate to the House. Everything he said in his opening remarks has been reflected across all the contributions made this afternoon, and I am glad he stated at the end of his contribution that his aspiration was for a gold standard in trade deals to properly regulate trade from the EU and across the Atlantic. That is the way we want this to go, and the proper debate in this House is about ensuring that we can get the information, the scrutiny and the transparency we need to make those proper decisions on behalf of our constituents TTIP does command considerable public interest, and I was slightly disappointed that the hon. Member for Worcester (Mr Walker) railed against 38 Degrees. I appreciate that there have been some problems on this issue but, as my hon. Friend the Member for Islington North (Jeremy Corbyn) rightly says, if constituents are e-mailing us with concerns and the information they are getting is inaccurate, that gives us an opportunity. I am glad they e-mailed me in their thousands, because that gives me an opportunity to put the record straight and give them further information.
ParlaMint-GB_2015-01-15-commons.u424	Let me reassure the hon. Gentleman that I agree with him completely; I am always glad of the opportunity to put the correct facts to my constituents. The problem occurs where a group is misleading its own members, and I do think it is legitimate to raise concerns about that, especially where a Select Committee has been misled on a number of occasions.
ParlaMint-GB_2015-01-15-commons.u425	I agree with the hon. Gentleman to a certain degree, but as for the way the campaign has been run by a number of organisations, let me say that they are rightly raising concerns. That is a symptom of the transparency and the debate in this House, and the fact that Members have not been given the information that their constituents are seeking. It is incredibly disappointing that this is the third debate we have had in this House but each has been brought by Back-Bench Opposition Members. We really need the Government to debate this properly and in a much more transparent fashion The truth is that this place lacks proper ways to hold Ministers to account for what they do or decide in Europe on these trade deals. This is not just a criticism of this place and the Government, because the EU has also had to be persuaded to be more transparent. Although it has improved transparency to a certain extent on TTIP, the EU has an incredibly long way to go to give the public confidence that it is actually responding to their concerns.
ParlaMint-GB_2015-01-15-commons.u426	In what has been termed a “zombie Parliament”, the Government can hardly argue that we do not have time to spare to talk about very important issues such as TTIP.
ParlaMint-GB_2015-01-15-commons.u427	My hon. Friend is absolutely right; we often talk about the zombie Parliament. We seem to have done very little in this House for the past year to 18 months, and we could have used some of that Government time to explore these issues. Perhaps if we had done so, we would not have had some of the misinformation that is perceived to be around, and we would have been able to address some of the concerns of the constituents who have e-mailed us in great numbers. That was rightly emphasised by my hon. Friend the Member for Heywood and Middleton (Liz McInnes), who stressed that a lack of scrutiny and transparency had led to widespread suspicions about TTIP, and those have to be addressed The economic impact of TTIP is debated, but it is important to bear it in mind that it will entirely depend on the final scope of the deal. To a certain extent I agree with the hon. Member for Skipton and Ripon (Julian Smith); we have to analyse this on the basis of benefits and we have to make sure that they are actually tangible benefits to our constituents. We know from recent history that balanced trade deals have a positive impact on economic activity and job creation, but people’s concerns mean that we are here to debate them and whether or not those positive impacts are actually real. Until we address those, we cannot get on to what the positive impacts might be—and there should be such impacts, because Europe and the US are our most important markets today Indeed, the US is the UK’s biggest export market and TTIP could be transformative, but only if it is allowed to be and only if the deal is good for the UK. It does provide a real opportunity to regulate global trade, and it could benefit the UK. We should not shy away from that, because unregulated trade creates a race to the bottom. Many Members have stated in this debate that it is the race to the bottom that concerns them, and it is this process that is creating that race to the bottom, especially when it comes to standards and the way that the negotiations are perceived to be progressing As many Members have mentioned, including my hon. Friend the Member for Sedgefield (Phil Wilson), Labour Governments, going back to the Attlee Administration, have engaged positively in attempting to regulate global trade, making trade agreements to ensure that everyone benefits, and that is an important point to make Labour lends its support to the principle of TTIP and trade, but not unqualified support. We should not accept any deal that is not beneficial to the British people, and the benefits from any deal must filter down to consumers and small businesses. That point was made by the Federation of Small Businesses in the submission that it sent to all Members. We are not prepared to accept a deal that does not protect our public services and the NHS, and which does not satisfy the concerns that we have heard this afternoon on safety, food and environmental and labour standards. That was a point that was made quite forcefully by my right hon. Friend the Member for Warley (Mr Spellar). We must have a deal that has transparency and accountability at its heart There is widespread interest in these negotiations. Organisations such as Global Justice Now deserve tremendous credit for ensuring that TTIP is in the consciousness of both the public and politicians. It is the topic on which I have received the most correspondence as a Member of Parliament, which shows the thirst that the public has for gaining more information on what this trade deal means for them personally What is clear is that this cannot be a backroom trade deal done between Brussels and Washington. In a debate last February, my right hon. Friend the Member for Wentworth and Dearne (John Healey) said: “Like justice, good trade policy must not only be done but must now be seen to be done.” —[Official Report, 25 February 2014; Vol. 576, c. 189.] Any legitimate agreement must command broad-based confidence that it will deliver on the benefits that it has claimed Pressure from interested politicians and the public through some of the campaigns has led to advancements in the deal. Let me start by mentioning the NHS and public services. We have said all along that unless the NHS and public services are fully protected we cannot and will not support any TTIP deal. It was Labour and my right hon. Friend the Member for Wentworth and Dearne who were the first to insist on full protection for the NHS. With Labour colleagues in the UK and European Parliaments, we have been campaigning hard for this guarantee, and it is that campaigning that has secured the commitment from the EU chief negotiator that the NHS can and will be fully protected. He said that “full policy space has been reserved for publicly funded health services” and, further, that any provision will have “no impact on the UK’s sovereign right to make changes to the NHS.” However, Labour will not support a deal unless that commitment is totally honoured. It will take a strong UK Government in the EU to ensure that that is delivered, but Government Ministers have done nothing to secure that commitment at EU level. What is clear is that the biggest threat to the NHS and public services in the UK—this has been said by many of my hon. Friends—is not this or any trade agreement, but the re-election of a Conservative Government in May. Of course EU negotiators need the agreement of member state Governments to be able to take these things forward. Will the Minister confirm that the Government will not support any TTIP treaty that includes the NHS and public services? He can give that commitment at the Dispatch Box this afternoon and take the matter off the table As my hon. Friend the Member for Edinburgh East (Sheila Gilmore) said, if the Government are so convinced that the NHS and other public services are not to be included in the deal, why do they not take a belt and braces approach and put it into the negative list to give everyone the comfort that they seek? This is important not just for the NHS and public services but because Labour will repeal the Health and Social Care Act 2012 in May 2015 without impediment. The failure to put public services, including the NHS, on the negative list might, as my hon. Friend the Member for Sedgefield said, undermine the assurances we have been given. So it would be very good to get the Minister’s response to that The second area that many Members have focused on is ISDS. There is a case for saying that private arbitration mechanisms are best used among partners with uneven levels of protection and where a due process of law cannot be guaranteed, but that is not the case in either the US or the EU, and many Members have said that in those particular advanced jurisdictions, contract law should suffice. There are huge concerns that ISDS would prevent Governments from legislating for the benefit of the country. TTIP must not challenge the ability of this House, and of elected Members, to adopt and implement laws and regulations as we see fit and as we are elected to do.
ParlaMint-GB_2015-01-15-commons.u428	If the Labour party were given an opportunity and were in charge of these negotiations at any point in the near future, would they insist on the removal of ISDS from TTIP? Is that a red line for them?
ParlaMint-GB_2015-01-15-commons.u429	We have said clearly that ISDS in its current form is not desirable in this trade deal, and the Government have said they do not think that ISDS will ever be used in the context of an EU-US trade deal, so my question would be, if it will not be used, why have it in that deal? We very much welcome the European Commission’s consultation. We very much welcome yesterday’s announcement that ISDS has been suspended, but we are unconvinced at this stage that ISDS in its current form is either necessary or desirable in the agreement, and we would have to see what its pausing would do On the basis of that intervention, my question to the Minister would be: how will he respond to the pausing and suspension of the ISDS negotiations in the trade deal yesterday, and what will the UK Government be doing to express the serious concerns on those issues expressed in the House today I shall mention some of the views expressed by my hon. Friends. My hon. Friend the Member for Blaydon (Mr Anderson) emphasised that we want free trade but that it is important to engage to ensure that it is fair and regulated. He was right to talk about the power of trade agreements to drive up standards, and to say that that should be the goal, and that we should not support the dilution of standards. He gave personal examples of where that has happened. I absolutely agree with the hon. Member for Banff and Buchan (Dr Whiteford), who highlighted the potential benefits for the Scottish agricultural industry, but spoke about what the impact would be, in that particular economy, on food standards I was slightly confused by the hon. Member for Totnes (Dr Wollaston), who seemed to say that the NHS was completely and utterly secure, but then argued that the tobacco industry should be removed from the deal in case it could use ISDS provisions to sue the UK Government for acting on public health grounds. That was a slightly contradictory response. That highlights the fact that ISDS is a real problem as regards what TTIP is intended to deliver As time is running out, I shall pose some questions to the Minister, who may be able to answer them in his reply. What plans do the Government have to ensure that this House is kept fully informed as to the content of those negotiations and the Government’s response to them? Will he keep the public informed and engaged, because it is clear from this afternoon’s debate that the public are not engaged in this process directly by the Government but by other organisations? Will he outline how the business community will stay engaged in this debate and how he will respond to what looks as though it will be the unanimous passing of the motion moved by my hon. Friend from Cardiff West?
ParlaMint-GB_2015-01-15-commons.u430	Swansea West.
ParlaMint-GB_2015-01-15-commons.u431	I am sorry. That is a slip that should never be made in this House, but never mind. Cardiff West is probably the best place to be. I have often been called the Member for Glasgow South, and been very happy to be so We need more engagement on TTIP in this House and at EU level, and I hope the Government will respond positively to this debate so that everyone can benefit from a robust and effective treaty, and so that the concerns that were exposed this afternoon can be dealt with properly.
ParlaMint-GB_2015-01-15-commons.u432	It is a pleasure to respond to this crucial debate on TTIP. We must set the debate in the context of Britain’s great trading history, from the wool trade of the middle ages and the spice routes of the 17th century to the Pax Britannica in Victorian times, which saw the Navy deployed to keep the lanes of trade open around the world. As a nation, we are deeply committed to free and fair exchange, and with remarkably few exceptions that was the consensus in today’s debate. With the abolition of the corn laws by a Conservative Prime Minister, we were the first country in the world to open ourselves up to foreign competition. Peel knew that one tackles the cost of living not by fixing markets but by setting them free, and that is a lesson that holds true today.
ParlaMint-GB_2015-01-15-commons.u433	Is—[Interruption.] Is TTIP really about setting markets free, or is it about having a single regulatory system across the Atlantic whereby people will be forbidden from selling things unless they comply with those regulations?
ParlaMint-GB_2015-01-15-commons.u434	Order. Before the Minister replies, if the hon. Gentleman has not been in the Chamber for the debate, and I judge by the mood of the House that that might well be the case, he should think carefully before intervening on the Minister and taking up time.
ParlaMint-GB_2015-01-15-commons.u435	TTIP is about fair and free trade and since 1970 the percentage of people worldwide who live on less than $1 a day has fallen by 80% when adjusted for inflation, not because of public works or central planning but because of the dawn of market liberalism in countries that once embraced state control. That point was made by Members on both sides of the House. Indeed, the hon. Member for Swansea West (Geraint Davies), whom I congratulate on obtaining the debate, set out how TTIP can demonstrate trade liberalisation and, alongside the trans-Pacific trade partnership, or TPP, which is proposed between the US and countries around the Pacific, and the EU-Canada deal, can form the basis of a global free trade area with global standards to which others could aspire. I very much agree with him on that point.
ParlaMint-GB_2015-01-15-commons.u436	Does the Minister agree that there is a strong case for a trade relationship with Africa, particularly north Africa, given that a lot of the pressure for migration comes from inequality? We should be sharing the fruits of global trade rather than hoarding it for the rich nations.
ParlaMint-GB_2015-01-15-commons.u437	Yes, I agree wholeheartedly, not just about Africa but about progress on the India trade deal. This raising from grinding poverty of billions of people has come about because they have been able to access the world market economy. That is a vital way of fighting poverty around the world.
ParlaMint-GB_2015-01-15-commons.u438	Will the Minister explain why the Government’s leaflet on “TTIP myths” claims that a family of four would benefit by £400 a year yet makes no mention of the peer-reviewed paper from Tufts university that predicts that over 10 years the average working Briton will be more than £3,000 worse off as a result of the lower wages that TTIP will fuel? Why is that not included in his myths?
ParlaMint-GB_2015-01-15-commons.u439	The conclusion that trade raises wages and prosperity is borne out not only in the theory but in the evidence. The evidence of my lifetime has been that enhancing trade increases prosperity. That has happened in the decades for which I have been on this earth in a greater way than in any other time in history. About £1.5 billion in goods and services is traded between the US and Europe every day and 13 million jobs are linked to that. This ambitious agreement has the target, which it could meet, of adding as much as £10 billion to the UK. What does that figure mean? It is almost meaningless to all but the very largest companies This is what it means. Let us picture a small business owner who, five years ago, might nearly have gone under through no fault of his own thanks, in part, to the economic circumstances. Like so many smaller business owners, he did not give up and recently things have got better. The recovery might have delivered for him here, but he might want to expand and take on more staff and he might find people in America who want to be customers. He wants to sell his product to more people, but if margins are tight the prohibitive extra cost of the trade barriers means that that simply is not an option. Now, let us picture a post-TTIP world in which those costs do not exist. We have not only increased the UK’s GDP but managed to ensure that someone can trade, creating an apprenticeship or a job to fulfil those orders, and in America somebody can get a product that they could not get before. That reciprocity—that “something for something”—explains why free and fair exchange makes us all better off So how do we make that a reality? First, we must significantly reduce cost differences in regulations by promoting greater compatibility while maintaining high standards of health and safety and environmental protection, especially for cars, pharmaceuticals, food—which was mentioned by Members in all parts of the House—and financial services. Secondly, while tariffs are low on many goods, we must tackle the high remaining tariffs on, for instance, food, clothing and other goods that impede exports and hurt consumers. Thirdly, we must push for better market access for service companies, which make up almost three quarters of the UK economy. Where possible, we will seek a guarantee that our service companies are treated in exactly the same way as US providers and do not face any additional regulatory requirements beyond those that US businesses face. Fourthly, we must have more open and transparent public procurement opportunities. Why, for instance, should US rules require that only US steel is used in certain projects? Fifthly, we will target trade facilitation, removing some of the red tape and bureaucracy at borders, and cut unnecessary costs while speeding up the movement of goods This is a historic deal. I want to tackle some of the challenges and objections head on. Several Members raised concerns about regulation. In fact, TTIP provides an opportunity to take stock of existing rules on both sides of the Atlantic and to remove unnecessary duplication while ultimately making sure that we support a well-regulated market. This will be done without lowering environmental, labour or consumer safety standards. Nor will the inclusion of the ISDS provisions affect the ability of Governments to regulate. As many Members mentioned—my hon. Friend the Member for North Dorset (Mr Walter) brought it up first—we already have 90 such agreements in place and there has never been a successful claim brought against the UK Others expressed concern about the impact on jobs, yet time and experience show that trade creates jobs and supports higher wages. This is backed up by independent assessment. The overall impact on labour markets will be positive in the EU and the US, as real wages, whether of unskilled or skilled workers, will be able to increase.
ParlaMint-GB_2015-01-15-commons.u440	The Minister relies on history in saying that the UK has never lost an ISDS case. With regard to the way in which the ISDS regime will operate under this treaty, whether or not one can be confident that the UK will not lose a case, if a case is lost by another member state, or a firm in another member state, what would be the implications for the UK?
ParlaMint-GB_2015-01-15-commons.u441	If a case is lost in another member state on its domestic regulation, I would not expect that to have any implications for the UK As on regulation, so on the NHS, which has been brought up many times. We are quite clear that there is no threat to the NHS from TTIP. Public services and publicly funded health services are not included in any of the EU trade commitments. I will go further and read what the former Trade Commissioner said to the BBC: “Public services are always exempted—there is no problem about exemption. The argument is abused in your country for political reasons but it has no grounds.” My hon. Friend the Member for Totnes (Dr Wollaston), the Chair of the Health Committee, gave a very clear enunciation of the exemption of the NHS set out by not only the EU but the US side in these negotiations. I would say this to anybody who continues to campaign against the inclusion of the NHS in TTIP: you have already achieved your aim, and continuing to campaign is continuing actively to mislead, because public services and publicly funded health services are not included in this negotiation.
ParlaMint-GB_2015-01-15-commons.u442	May I clarify one thing? It is probably not as important as the whole thrust of this debate, but when I was badly hurt in the Army and the NHS took responsibility for helping me get better, we used an American system to put me back on my feet. I hope, and assume, that use of American techniques and systems by the NHS is still allowed.
ParlaMint-GB_2015-01-15-commons.u443	Of course that will be allowed, but the point is that we would still have control over our public health policy. I can give that reassurance, which was sought by the hon. Member for Edinburgh South (Ian Murray) on the Labour Front Bench, so I hope he will now remove that objection. I do not want to conclude that some Opposition Members do not want to be reassured, but increasingly that is the only view I can reasonably come to.
ParlaMint-GB_2015-01-15-commons.u444	That was not the question I posed to the Minister. The question I asked was: if there is any threat whatsoever to the NHS and the UK’s wider public services, will the Minister and the Government sign a TTIP trade deal?
ParlaMint-GB_2015-01-15-commons.u445	The Health Secretary has already made it clear that if a trade deal threatened the NHS, he would not support it. However, as the former Trade Commissioner has said: “Public services are always exempted” I am glad that we can finally put that issue to bed. I doubt that Labour Front Benchers will raise it again, because they now know that they would be misleading the nation if they did so.
ParlaMint-GB_2015-01-15-commons.u446	Would the Minister sign a deal without ISDS? Does he think that ISDS is a necessary part of TTIP?
ParlaMint-GB_2015-01-15-commons.u447	The reason for the inclusion of ISDS is to make sure that people who want to make investments have the confidence do so because they know that recourse is available In the couple of minutes remaining, I want to address the issue of scrutiny. As my hon. Friend the Member for Skipton and Ripon (Julian Smith) has said, there has been huge scrutiny and engagement, including four debates in both Houses; four Select Committee inquiries; regular updates to the Chair of the European Scrutiny Committee and the chair of the all-party group on TTIP, the right hon. Member for Wentworth and Dearne (John Healey); regular stakeholder meetings; endless piles of letters that I and the Minister for Trade and Investment have signed; constant consultation with the European Parliament; four online public consultations by the Commission; and we even have a TTIP roadshow Let no one be in any doubt: enormous consultation is taking place both inside and outside this House. The commissioners have come to this Palace. Last week, 150 pages of text, eight proposals for legal text and 15 position papers were published. Following the passage of this motion, we will ensure that I and other Ministers continue to engage with this House Let us once more assume our historic role as the pioneers of free trade, not only for the sake of the British people, but for the sake of all people around the world for whom liberty and prosperity go hand in hand.
ParlaMint-GB_2015-01-15-commons.u448	I briefly thank Members for the massive attendance at this very important debate. We have heard a series of excellent speeches focusing on the benefits of trade, particularly if it is done on the right terms. On ISDS, however, no argument has been made as to why it is a good idea, other than that it has not been used against us, which sounds like the argument that there should be no gun control because we have not been shot This has been an informative debate and we should now unite as one to demand more scrutiny and to determine a future without multinationals breathing down our necks while we make democratic decisions on behalf of our constituents. Yes, we should trade, but we should not trade our democracy, public services or the rights that we have enjoyed and should bequeath to our sons and daughters across Europe. We want more trade, which is good for everyone as long as it is done on the right terms. We are elected here by our constituents to ensure that fair trade is delivered in the future Question put and agreed to. Resolved, That this House believes that the Transatlantic Trade and Investment Partnership and any associated investor-state dispute settlement provisions should be subject to scrutiny in the European Parliament and the UK Parliament.
ParlaMint-GB_2015-01-15-commons.u449	I rise to present a petition opposing the sale of land at Parklands school in Sketty, Swansea, following a similar petition of 254 local petitioners The petition states: The Petitioners therefore request that the House of Commons urges the Government to encourage the City and County of Swansea Council to reconsider plans to sell the land at Parklands School in Sketty Following is the full text of the petition: [The Petition of residents of the UK, Declares that there are plans to sell land at Parklands School in Sketty, Swansea; further that Parklands School is oversubscribed and faces increasing demand; further that it is the only school land sale that proposes to dissect a school site; further that the proposal under-estimates the school roll as consisting of 420 pupil places when it is currently 480 plus nursery places; further that the planned sale would disproportionately affect pupils with disabilities; further that the proposal has not yet been consulted upon; and further that a local petition on this matter has been signed by 2054 residents of the Swansea West constituency. The Petitioners therefore request that the House of Commons urges the Government to encourage the City and County of Swansea Council to reconsider plans to sell the land at Parklands School in Sketty. And the Petitioners remain, etc.][P001422]
