ParlaMint-GB_2015-11-10-commons.u1	1. What assessment he has made of recent trends in apprenticeship starts.
ParlaMint-GB_2015-11-10-commons.u599	On a point of order, Mr Speaker. I want to place it on the record that I am a member of Unite the union and the National Union of Mineworkers.
ParlaMint-GB_2015-11-10-commons.u600	We are extremely grateful to the hon. Gentleman. It falls to each Member to declare his or her interests as they see fit. We are deeply obliged to him.
ParlaMint-GB_2015-11-10-commons.u601	I rise to speak to amendment 5, which appears in my name and those of my hon. Friends the Members for Stevenage (Stephen McPartland) and for Totnes (Dr Wollaston) and my right hon. Friend the Member for Haltemprice and Howden (Mr Davis). I do so with a heavy heart, because clause 14, to which the amendment relates, is entitled, “Prohibition on deduction of union subscriptions from wages in public sector”. As a Conservative, I am not greatly in favour of prohibition in many instances and I certainly am not in this instance. The clause was not in the Bill on Second Reading so we did not debate it and I am disappointed that it has been brought forward. Because it has been brought forward, I will speak to my amendment When we introduce a prohibition, we must ask what the penalties will be. If a union and an employer decide that this kind of arrangement is so important and so difficult to unwind that they will continue using it, what will happen to them? Will the police be involved? Will the employer and the union be fined? If there is a prohibition, there must be some way of enforcing it. There is no sensible way of enforcing this kind of prohibition on what is a relatively sensible arrangement between an employer and a union Let us be clear that we are talking about an agreement between an employer and a union, not something that is imposed on either of them. It is a partnership. In my view, it is generally a positive one as it enables people to work together. Surely that is what all of us are here to encourage. Nobody is required to have such an arrangement If my amendment were accepted by the Government at some point, it would require the cost to be reimbursed, as it is in many arrangements up and down the country, including in my county of Staffordshire, where there is a perfectly good arrangement between Unison and Staffordshire County Council.
ParlaMint-GB_2015-11-10-commons.u602	I support amendment 5 because it is my understanding that local authorities and other such organisations would be able to charge a commercial rate to recover the costs.
ParlaMint-GB_2015-11-10-commons.u603	Yes, and they do. As I mentioned in an intervention on the hon. Member for Cardiff West (Kevin Brennan), some councils make a surplus from it that goes towards their services As has been pointed out, clause 14 singles out union subscriptions. There is no prohibition on other deductions for which there might not be compensation to the employer, such as deductions for season tickets, which have been mentioned, or professional fees. Even on my payslip as a Member of Parliament, the top deduction every month is £2 for the Members fund. There will be no prohibition on that deduction, unless the Members fund is a national union of Members of Parliament, which I do not think it is. Other people have made the case much more eloquently than I have, so I will not detain the House any longer on this point.
ParlaMint-GB_2015-11-10-commons.u604	The hon. Gentleman makes a convincing and measured case, and I have looked closely at the wording of his amendment and think it very reasonable. Given what he has just said, if the Government are unwilling to accept this reasoned amendment, does he think that we should test the view of the House on it this evening?
ParlaMint-GB_2015-11-10-commons.u605	I will wait to hear what the Minister says. He is an extremely reasonable person and there are other ways in which such things can happen. I encourage the Government to accept the amendment because I do not want to see this clause unamended in an Act of Parliament signed by Her Majesty Let me quote someone I greatly admire: “In most parts of the world the suggestion that someone might be both conservative and liberal would be viewed as absurd…In the UK there is no finer tradition, no more established custom and no stronger institution than that of freedom under the law…That’s why in Anglo-Saxon countries conservatism is freedom’s doughtiest defender and why the advance of freedom gives conservatism its moral purpose.” Those are the words of the Minister, my hon. Friend the Member for Grantham and Stamford (Nick Boles), and I entirely agree with him.
ParlaMint-GB_2015-11-10-commons.u606	Does the hon. Gentleman agree that there are echoes in that speech of the Transparency of Lobbying, Non-party Campaigning and Trade Union Administration Act 2014, in which charities were almost proscribed for doing what they believed was right? There are also echoes from the attempts to change or alter the Human Rights Act 1998—it feels as if there is a creepy sense of authoritarianism, which I do not think Members in this place agree with.
ParlaMint-GB_2015-11-10-commons.u607	I respect the hon. Lady but I do not entirely agree with her. I would be interested to see whether the chilling effects that people so often claimed the 2014 Act would have on the 2015 general election campaign actually took place—indeed, we should have a review of that Act as it is important. I have made clear my views on the Human Rights Act: I believe that we should remain signatories to the European convention on human rights, and I hold to that. We look forward to seeing what the Government bring forward. I urge the Government, and especially the Minister whom I greatly admire, to have another look at the Bill, and to come forward with proposals that allow people who want to work together in this sort of format, and who are paying the right costs, to do so.
ParlaMint-GB_2015-11-10-commons.u608	I declare an interest as a proud member of Community union. I represent the south Wales constituency of Aberavon which is steeped in the history of the trade union movement—Members will imagine the strength of feeling and amount of correspondence that I have received in opposition to this unjust and vindictive Bill. We now need a cultural change in Britain’s industrial relations, and a move away from the Punch and Judy style that has evolved thanks to legislation such as this Bill. There is an urgent need to move towards more collective bargaining across the economy, as that would have a direct and positive impact on productivity—something that the Government claim they are campaigning for passionately. Regrettably, the Bill will neither change the culture nor increase productivity. Instead, it will lead to an entrenching of the “them versus us” culture that is bad for workers, employers, customers, business, and the public at large Let me draw the House’s attention to the sections in the Bill that deal with picketing. Conservative Members have failed completely to demonstrate why the picketing provisions in this Bill are necessary or justified. The Government’s regulatory policy committee concluded that the Department for Business, Innovation and Skills impact assessment on picketing restrictions was not fit for purpose, and that no full impact assessment of the Bill has been published Under these new provisions, trade union pickets will be subject to levels of police scrutiny and control that go far beyond what is fair or necessary. Most importantly, the changes in the Bill will also be a waste of police time. That issue was raised by the National Police Chiefs Council and the Police Federation in oral evidence to the Bill Committee. Steve White from the Police Federation said: “We are finding it extremely challenging to cope with day-to-day policing with the current resource levels, and the likelihood is that they are going to become squeezed even more. If there is an increased requirement for police involvement around the policing of industrial disputes, that would be more challenging.” I understand that Conservative Members are friends and supporters of the police, so I hope they will listen carefully to that.
ParlaMint-GB_2015-11-10-commons.u609	When senior police officers are warning that neighbourhood policing is under threat, is it right that we should use police resources to further restrict the civil liberties of trade union members?
ParlaMint-GB_2015-11-10-commons.u610	I agree entirely with my hon. Friend. We hear a lot from Conservative Members about smart government and deploying resources according to priorities. Does any hon. Member honestly believe that using police resources on this matter would be a good use of already stretched resources? I think not The digital age has brought a revolution in the world of work. That has thrown up several questions, but also offers employers, trade unions and Government alike a once in a generation opportunity to work in partnership—a chance to shape a framework that provides the blend of flexibility and security that this new reality requires. If all parties were to seize that opportunity, we could potentially see the green shoots of a 21st century industrial relations culture that would, in turn, enable the development of a labour market that is fit for purpose and resilient in this new age. Let us not waste that opportunity with an adversarial and counterproductive Bill such as this
ParlaMint-GB_2015-11-10-commons.u611	rose—
ParlaMint-GB_2015-11-10-commons.u612	Order. Before I call the hon. Gentleman, I would say to him that I wish to call the Minister at, or close, to 5.50 pm, so he has three or, at most, four minutes.
ParlaMint-GB_2015-11-10-commons.u613	Thank you for squeezing me in, Mr Speaker Given the Opposition’s comments at various stages of the Bill, I am surprised that only the SNP—in new clause 4—has suggested amendment of the role of certification officer. As a shadow BIS Minister some years ago, I visited the certification officer, and everything I saw there shouted that it was a weak, toothless regulator crying out for reform. I wholly support the Government’s attempts to do so As for new clause 4, I do not support the idea that the certification officer should have to have expertise in trade union law, although obviously some members of his staff will need to be experts, as much as others will need general legal or accounting skills. It is also somewhat ironic to hear that specific legal qualifications should be required when we know that the last Labour Government specifically excluded unions from regulation under the Legal Services Act 2007. The requirement in new clause 4 for a certification officer for Scotland may fulfil the SNP’s political mandate, but it would be unhelpful for Scottish and other British businesses which want to see a single regulator dealing with unions equally Given the wide political and practical debates involved in the unions’ political funds, it is surprising that it has been left to the hon. Member for Clacton (Mr Carswell) to initiate a debate on this important issue through amendment 1. To set up a political fund, trade unions must first ballot their members to adopt political objects as a union objective. Trade unions can then support political objects only with money from their political funds. The funds may also be spent on union objectives that are not political. The amendment is unnecessary because the Bill includes an opt-in provision On a connected issue, will the Minister confirm that I am right in thinking that failing to opt into the levy will not necessarily mean that a union member’s overall contribution will be reduced by the amount of the political contribution? If so, should we not consider doing that? Furthermore, given that statute dictates that companies require an annual vote on political donations, why should not the political levy be voted on annually by trade union members? Perhaps that could be addressed as the Bill makes progress.
ParlaMint-GB_2015-11-10-commons.u614	To wind up the debate I call the Minister, Mr Nicholas Edward Coleridge Boles.
ParlaMint-GB_2015-11-10-commons.u615	Thank you, Mr Speaker. I rise to support Government amendments 2, 3 and 4, and to resist Opposition amendments and new clauses The Government recognise picketing as a lawful activity when it is conducted in a peaceful way. We believe that when some people exercise their right to freedom of expression, it should not impact on others’ right to disagree with that view. The main requirement set out in the Bill is a statutory duty for the union to supervise picketing, in particular by appointing a picket supervisor. The picket supervisor must either attend the picket line or be readily contactable by the union and the police, and be able to attend at short notice to ensure that picketing is lawful. As you may recall, Mr Speaker, none of the measures in clause 9 is new. They reflect key aspects of the picketing code, which has been in existence since 1992; most unions have been very happy to comply with it in almost all cases. We have had no suggestions for its amendment from the Opposition, including in their 13 years in government Government amendment 2 deals with the requirement in clause 9 for the union to issue a letter of authorisation. I have listened very carefully to the different views expressed on this requirement. It is clear that there has been some confusion about the purpose of the letter of authorisation, its content with regard to the picket supervisor, and the entitlement to be shown it. I would like to state for the record that there was never any intention of having the personal details of the picket supervisor set out in the letter of authorisation, but given that there continues to be uncertainty about how the requirement will work in practice, we are clarifying that the purpose of the letter is to record the union’s approval of a picket related to a particular dispute I took on board the concerns expressed about the entitlement to see the letter, and said that I would return to this matter on Report. I assure the House that I take matters relating to data protection very seriously, and do not want to create any room for misconceived entitlement or concern about misuse of personal information. That is why we are making it clear that the entitlement to see the letter of authorisation is restricted to the employer at whose workplace picketing is taking place, or the employer’s agent. To remove any scope for the misunderstanding that the picket supervisor is required to supply their name during picketing, we have removed the reference to the constable from the clause. The police will already have been informed of the picket supervisor’s contact details following the picket supervisor’s appointment We have built in important flexibility; for example, the requirement should be to show the letter as soon as is reasonably practicable, to enable the picket supervisor to be at another picket line related to the trade dispute. The measures also help the employer by allowing them to ask their human resources manager or solicitor to act on their behalf. I comment the amendment to the House On agency workers, I simply say that new clause 1 seeks to pre-empt the Government’s response to the consultation on agency workers. The Government consultation closed in September; we are analysing responses. We will publish a response in due course, and I resist any amendment that seeks to pre-empt it On political funding, the Conservative manifesto on which we stood for election in May said that a future Conservative Government would ensure that trade unions use a transparent opt-in process for union subscriptions. The public rightly expect us to deliver on these promises. It would be wrong, given our mandate, for us to engage in discussions behind closed doors and agree some kind of compromise that was then presented to the public and Parliament as a done deal. Many Opposition Members believe that this change will see political funding fall for certain political parties. That betrays an extraordinary lack of self-confidence in their ability to persuade union members of the merits of supporting their party. On that basis, I do not believe the amendment is necessary.
ParlaMint-GB_2015-11-10-commons.u616	Will the Minister do the same with the shareholders of companies that give money to the Tory party?
ParlaMint-GB_2015-11-10-commons.u617	I am sorry, Mr Speaker; I will give the hon. Gentleman another go, because I had another message in another ear.
ParlaMint-GB_2015-11-10-commons.u618	Will the Minister give that opportunity to shareholders in big companies that give money to the Tory party?
ParlaMint-GB_2015-11-10-commons.u619	As you will be aware, Mr Speaker, and as I am sure the hon. Gentleman is aware, any donations by public companies have to receive the approval of shareholders and are subject to the same declaration, at the exact same level, as we are proposing for trade unions, so when it comes to transparency and voting, things are equally clear I want to turn at some length to my hon. Friend the Member for Stafford (Jeremy Lefroy) and his arguments in support of his amendment 5. All Members will have heard a sincere and principled man making a sincere and principled argument. I say that not because he was so kind as to quote, rather awkwardly, a speech I made in a moment of delusion, but because I genuinely believe he seeks the best for the British people, British business and trade unions. I correct him on one point of fact, however: while some trade unions compensate employers for check-off arrangements, our understanding is that this relates to only 22% of check-off arrangements in the public sector.
ParlaMint-GB_2015-11-10-commons.u620	Is the Minister aware that the general secretary of Unison—the largest trade union in the public sector—offered in Committee to reimburse employers for any check-off costs they incur?
ParlaMint-GB_2015-11-10-commons.u621	I am aware of that, because I was in the Committee, and the general secretary of Unison is an unforgettable man, and no one forgets when he makes them an offer. However, the purpose of the Government’s measure is not suddenly to undermine the representation of unions in the public sector—that is not what has happened in the civil service, where check-off has been removed—but to create a direct relationship between members and their trade unions by enabling them to make an active choice about which union will best represent them. We have heard from other unions that this has enabled them to compete for the membership of some in the civil service, and to form a more direct relationship with their members.
ParlaMint-GB_2015-11-10-commons.u622	I fully understand the Minister’s point, but in that case, why not let them choose whether to do this?
ParlaMint-GB_2015-11-10-commons.u623	I understand my hon. Friend’s argument, but of course the choice would be made by the employer and the union, not the individual members. I have not yet been persuaded by his arguments, and will resist his amendment, if he pushes it, but I hope I can reassure him that we absolutely do not intend the measure to be a way of making life difficult for unions or of reducing their membership. We will double the time trade unions have to transfer members from the existing check-off arrangement to the new direct debit arrangement from six months to one year. That will not satisfy him and those who support his amendment, but I hope that it will at least reassure him that we do not intend this to be a way of making life difficult for unions. If there is anything further we can do on that point, I am happy to have further discussions with him On that basis, I hope that my hon. Friend will be persuaded not to press his amendment. We will talk about this more. I hope that I have reassured him that trade unions will have time to form the direct relationship with their members that the Bill seeks to provide.
ParlaMint-GB_2015-11-10-commons.u624	I just wish to confirm that we wish to push amendment 6 to a vote.
ParlaMint-GB_2015-11-10-commons.u625	I am exceptionally grateful to the hon. Gentleman, but I had rather anticipated that Question put, That the amendment be made.
ParlaMint-GB_2015-11-10-commons.u626	On a point of order, Mr Speaker. Have you had any indication of whether there will be a written or oral statement by any Minister, given the statement today from the chief executive of Tata Steel Europe reported in The Economic Times in India that the long products division within Tata will have no future within Tata beyond this financial year? This includes the beam mill at Redcar, Skinningrove special profiles in my constituency, and Scunthorpe long products site.
ParlaMint-GB_2015-11-10-commons.u627	I am grateful to the hon. Gentleman for his point of order. The short answer is that I have had no such indication, but he has placed those serious matters on the record and I imagine that he will return to them when the House returns Third Reading
ParlaMint-GB_2015-11-10-commons.u628	I beg to move, That the Bill be now read the Third time I start by thanking all Members who have taken part in our deliberations on this important Bill. We had a robust debate on Second Reading, and a lively and passionate debate continued in Committee. I thank the hon. Member for Cardiff West (Kevin Brennan), who led for the Labour Opposition, and the hon. Member for Glasgow South West (Chris Stephens) who led for the SNP. They kept me on my toes throughout, and I have to admit that on occasion their fancy footwork pushed me uncomfortably close to the ropes. It is only because of the superb support of officials in the Department for Business, Innovation and Skills, the unfailing vigilance of my hon. Friend the Whip, and my PPS, my hon. Friend the Member for Newton Abbot (Anne Marie Morris), and the stalwart resolve of hon. Friends on the Committee that we were able to resist their forensic fusilade This Bill seeks to do two things—to modernise the relationship between trade unions and their members, and to redress the balance between the rights of trade unions and the rights of the general public, whose lives are often disrupted by strikes. We have brought it forward as a party that believes in trade unions, that is proud to win the support of many trade union members at elections, and that wants trade unions to carry on doing the excellent work they do to encourage workplace learning and resolve disputes at work Madam Deputy Speaker, I am not sure whether you are as assiduous a reader of the ConservativeHome website as I am, but today the leader of the Scottish Conservative party published a superb piece about the importance of trade unions and hailed the launch of the Conservative Trade Unionists group by the Minister without Portfolio, my right hon. Friend the Member for Harlow (Robert Halfon) The measures in this Bill are rooted in the manifesto, on the basis of which we won a majority of the seats in the House of Commons at the election in May. They are supported by members of the public whose interests as parents, as patients and as commuters we were elected to defend. The measures have secured clear majorities on Second Reading, in Committee and on Report, and I hope they will secure a similarly clear majority on Third Reading.
ParlaMint-GB_2015-11-10-commons.u629	Is it not important to ensure that the Bill is properly targeted and looks to where there is genuine support for changes, not least in relation to the removal of check-off? May I invite the Minister, as the Bill proceeds to the other place, to reflect on the arguments made by my hon. Friend the Member for Stafford (Jeremy Lefroy) in speaking to amendment 5, with the recognition that there should be an agreement to compensate taxpayers for the financial burden, and the proposal for an agreement? It is important that we properly reflect on these arguments to ensure that we have this targeted approach to dealing with issues of trade unionism in the right way.
ParlaMint-GB_2015-11-10-commons.u630	I have already told my hon. Friend that I am happy to carry on talking to him about this as the Bill proceeds through the other place, and if he would like to join these discussions, I would be absolutely delighted.
ParlaMint-GB_2015-11-10-commons.u631	Will the Conservative Trade Unionists group, which the Minister mentioned, be able to join online, or, given the dodginess of the internet, will they have to wait five or 10 years for that?
ParlaMint-GB_2015-11-10-commons.u632	I am tempted to say that they will have to buy a small donkey and write it on the side, but no, of course they will be able to join through the usual routes I look forward to engaging with Members of the upper House, alongside my noble Friend Baroness Neville-Rolfe, and we will listen carefully to any concerns they may have. I hope that I have demonstrated through amendments to the provisions on the picketing supervisor and the letter of authorisation that the Government are willing to hear persuasive arguments and to respond. In turn, I trust that noble Lords and Baronesses will respect the clearly expressed will of the British people, which is established not by retweets or by protests in Parliament Square but through the votes of their elected representatives sitting here in the House of Commons.
ParlaMint-GB_2015-11-10-commons.u633	As I did on Second Reading, let me begin by drawing the attention of the House to my entry in the Register of Members’ Financial Interests and declaring that I am a lifelong and proud trade unionist I believe that our country succeeds when government, employers and employees work in partnership to tackle our economic and social challenges. Evidence shows that good industrial relations are more likely to lead to increased productivity, higher skills, and greater safety in the workplace, so any Government who were serious about economic progress and wellbeing would be working to improve industrial relations, but this Bill demonstrates that we have a Tory Government hellbent on doing the exact opposite On Second Reading, I called the Bill “draconian, vindictive and counterproductive”, and during its passage through Parliament, this Government’s malign intent has been proved again and again. This Bill will do absolutely nothing to improve industrial relations in our country; in fact, it risks making them worse. It will do nothing to help build the modern economy we all want to see; in fact, it is an outdated response to the problems of decades past. It is bad for workers and bad for business What is it about this Conservative Government that they are so afraid of checks and balances on their power, including challenges from free trade unions and unshackled civil society? This Government are pursuing a very deliberate strategy to legislate their critics into silence or submission, whether through the gagging Act or the war being waged by those on the Tory Benches on the charities that dare to have an opinion contrary to the Government’s. They are attacking the Human Rights Act 1998, targeting the Freedom of Information Act 2000, and issuing threats against the House of Lords for daring to ask them to think again on tax credits. This Government increasingly like to use the law to clamp down on dissent. Now the Conservatives have the trade unions in their sights again In Committee, the Government gave no adequate justification for the many draconian measures in this Bill, and no evidence was provided to justify them. The sweeping changes to the opt-in for political funds go well beyond the current practices in Northern Ireland which have been used to justify the change. They are a nakedly partisan attack on Her Majesty’s Opposition. If enacted, these proposals would mark the abrupt end of the Churchill convention and of the long-standing consensus in British politics that the Government of the day should not introduce partisan legislation unfairly to disadvantage their political rivals. This is an abuse, and they know it The Bill does nothing to deal with the issue of big money in politics and it leaves Tory funding sources completely untouched, while all the while forcing through changes that threaten the very existence of all political activity and campaigning by trade unions, most of which is entirely unrelated to the Labour party, and which, by the way, is already heavily regulated In a healthy democracy, governing should be uncomfortable. Governments should be subject to real challenge. The Government should not use legislative means to shut down debate or dissent, as this Government are now doing. That is why Liberty, Amnesty International and the British Institute of Human Rights have opposed the Bill on the grounds of civil liberties. It breaches the international standards of the International Labour Organisation and the European convention on human rights The Bill gives an inadequate transitional period of just three months to re-recruit the 4.9 million current members of trade union political funds, which this Bill would arbitrarily and retrospectively set at zero. It deliberately allows insufficient time for trade unions to change their own rule books to accommodate that sudden, draconian legislative requirement The intrusive new investigatory powers for the certification officer make him the judge, jury and executioner on complaints, which flies in the face of the principles of natural justice The provisions on picketing were described by the Government’s own Regulatory Policy Committee as “Not fit for purpose”. The very minor concessions, which were made after Opposition pressure in Committee, do not go nearly far enough This Bill just does not fit with modern Britain. It acts as though devolution to our nations and regions never happened, with the Government seeking to ride roughshod over both check-off and facility agreements freely made between employer and employee in the devolved authorities and in English local government. If those agreements work well and facilitate good industrial relations, why do the Government wish to destroy them by central diktat? The obvious conclusion is that this Government want to destroy trade union finances and organisation and to effectively legislate trade unions out of existence Throughout the Bill’s passage, Labour has pushed for the introduction of e-balloting and secure workplace balloting, which are already used for a variety of purposes in both the public and the private sectors, including, of course, to choose the Tory mayoral candidate for London. I can think of no organisations besides trade unions where technological change and progress are not only discouraged by the Government, but actually banned by proscriptive legislation. There are no reasonable grounds for the Government’s continued refusal to countenance that wholly sensible change. Trade unions must be allowed to modernise and bring balloting into the 21st century, and I very much hope that my noble Friends in the other place will pick up on that. We know that trade unions have a vital role to play in a modern economy where business, employees and Government work together for the mutual benefit of our country. It is time that the Government treated trade unions as an equal in that partnership and not as the enemy within The Bill is divisive and undermines the basic protections that trade unions provide for people at work. It is poorly drafted, legally unsound and in conflict with international obligations, and it undermines the devolution settlement. It does nothing to tackle the pressing national challenges our public services, businesses and industries alike are facing; instead, it tries to drive a false wedge between Government, industry, employees and the public Stopping this Bill requires a UK-wide and united response. I urge Members on both sides of the House to join Labour in the Division Lobby to oppose this nasty, vindictive Bill in its entirety.
ParlaMint-GB_2015-11-10-commons.u634	Today we have heard, once again, divisive rhetoric against this country’s trade union movement. We have heard from some Government Back Benchers that trade unionists who are on strike get paid by their employer. That will be news to the millions of trade union members in this country. The real difficulty with and objection to some of the rhetoric we hear is the suggestion that trade union members are somehow different from taxpayers and the public. Trade union members are taxpayers and they are members of the general public The Bill infringes human rights and civil liberties, and if unaltered, it can only lead to more work for the courts and, sadly, more blacklisting for trade union members in this country. The Bill attacks the ability of trade unions to organise, as we have seen with the proposals on facility time and check-off. This is not just about party political funding; it is an attack on the trade union movement’s ability to fund general campaigns, such as anti-racist campaigns and campaigns in favour of public services It is quite astonishing that the Government believe that aspects of the Bill do not require a legislative consent motion, either from the Scottish Parliament or from the Welsh Assembly, on public services across the board. I predict that that will come back to bite them The Minister for Skills was very kind in his words to me, so I will reiterate the words of my hon. Friend the Member for East Kilbride, Strathaven and Lesmahagow (Dr Cameron): he gives the appearance of moderation, but his rhetoric is entirely disingenuous.
ParlaMint-GB_2015-11-10-commons.u635	It is an honour to speak on Third Reading. I congratulate my hon. Friend the Minister for Skills on his hard work. He has worked tirelessly on this very important Bill, which is vital in terms of accountability and transparency Like many Members of the House, I was fortunate enough last week to meet a delegation from Macclesfield of good, hard-working union members. They are very sincere in their support of their fellow union members. They rightly pointed out that unions do a lot of work to support members and others in the workplace. However, not all union leaders share those motives and some strikes can cause major disruption, so the Bill is important. I stress again that its importance is in terms of accountability and transparency. Who should be fearful of those principles in relation to the practices in the Bill The Bill will ensure that union members have the right to better information about any industrial action a union proposes to take. It ensures that union members have the right to be consulted in another ballot, so that saying yes to action in the winter does not necessarily still mean yes the following summer. The union will have to ask members if they want to opt in to political levies, and then ask them again if they want to be opted in some five years later. These are reasonable proposals and reasonable policies This is a profound and timely shift of power in favour of the public and of the grassroots in the union movement—Conservative democracy and accountability in action once again. We Conservatives have a democratic mandate to introduce the reforms. We are accountable to the electorate for following through on our manifesto commitments. Union leaders must now be held to a higher level of accountability when planning action that could lead to serious disruption to important public services It is only right that ballots for industrial action should need to reach certain thresholds of support among union members, particularly when such action relates to public services. It is right that the fear of intimidation at the picket line should be removed, which will protect the public and their services from any excessive zeal by an unrepresentative minority within the union movement. If such people are not unrepresentative, why do they fear the threshold? This is about accountability to union members and to the British public Of course, the hard left has always had a foothold in the Labour party, and now it has the whip hand. That far-left whip hand, Labour’s new leadership, has been busy building up momentum behind its agenda. That is Momentum with a capital M by the way: Momentum for real change—on the Labour Benches, that is—is a movement inspired by militant trade unionists who want to do to the country what they now have the momentum to do in the Labour party I talked earlier about how the shadow Chancellor wants to encourage more militant approaches and no doubt wants to inspire militant trade unionism. Conservative Members have been hearing that, and we have to finish the job of trade union reform that we started in the 1980s and carried on in the 1990s because there are leading Labour Members who saw the industrial strife of the 1970s and 1980s as a dry run for where they want to go next. They will not protect the regular members of trade unions and the public, but Conservative Members will, and that is why I support the Bill.
ParlaMint-GB_2015-11-10-commons.u636	My dad came here as a navvy from County Cork, joined the British Army to fight Hitler and then became a train driver. Like generations before him and generations after him, he wanted to get on. The evidence is absolutely clear that those who are in a trade union are more likely to be better paid and to enjoy equal pay, less likely to be unfairly dismissed, bullied or discriminated against, and more likely to work in a safe workplace and to enjoy a decent pension I have worked for 40 years in the trade union movement with good employers, including those in the automotive industry such as Jaguar Land Rover, who praise their trade unions for the transformation of the industry to a high-pay, high-quality, high-productivity culture. I have also fought the bad. My whole experience is that trade unions are a force for good and for liberty Now, the so-called party of working people wants to weaken working people. It is part of a wider agenda that will brook no opposition: first the charities, then the BBC, even the House of Lords and now the trade unions. The Tory party wants a one party, one nation state The great Jack Jones once said that the way for working people to access power was through their union card on the one hand and their right to vote for the Labour party on the other Let me show what is so obnoxious about this Bill. When I was treasurer of the Labour party in 2006, against the background of the secret loans scandal and the Hayden Phillips process, it was put to me, “Jack, if we impose a cap on donations of £5,000, it will bankrupt the Tory party.” I said no to doing that because it would be immoral for one party to abuse its power to bankrupt another party. Would that the Conservative party had the same moral compass now In conclusion, this is a pernicious and iniquitous Bill. It is born out of malice, informed by prejudice and has no place in a democracy. That is why the true party of working people, the Labour party, will vote against it tonight Question put, That the Bill be now read the Third time.
ParlaMint-GB_2015-11-10-commons.u637	I wish to present a petition on the funding formula for Leicestershire constabulary, which was collected over the past 10 days. Of course, that was prior to the Government’s decision, because of the problems we heard about in the urgent question on Monday, to pause the formula to allow local constabularies to make fresh representations. Happily, that is exactly what the Government decided to do on Monday, so I present the petition in celebration: the results of the petition have already been accepted and there will be a further review I thank the 216 people who signed the petition, which was collected by volunteers in the north Leicester area: Sanjeev Sharma, Baljeet Singh and Pradeep Dullabh. I also thank Councillors Mo Chohan, Manjula Sood, Ross Willmott and Rita Patel for their support The petition states: The petition of residents of Leicester East, Declares that current proposals to change Leicestershire’s policing budget through the revision of the funding formula as well as other cuts could jeopardise the safety of thousands of residents; further that this will result in an unacceptable loss of £700,000 from the force’s budget; and further that the proposals will lead to fewer officers keeping Leicester safe and give a green light to criminals The petitioners therefore request that the House of Commons urges the Government to immediately review the proposed funding formula for Leicestershire Constabulary And the petitioners remain, etc [P001553]
ParlaMint-GB_2015-11-10-commons.u638	Thank you, Madam Deputy Speaker, for giving me an Adjournment debate on hedgehog habitats and the need to protect the species. Before I go any further, I draw the attention of the House to my entry in the Register of Members’ Financial Interests. I still retain an interest in a small public relations company that gives advice to developers, although I am not sure they will want to talk to me after this. I thank the British Hedgehog Preservation Society and the People’s Trust for Endangered Species, and especially Henry Johnson, who has spoken to me about the importance of hedgehog conservation An article in The Guardian in July 2013 pointed out that hedgehogs are prickly in character, have a voracious appetite and a passion for gardens, and have a noisy sex life. I leave it to you, Madam Deputy Speaker, to decide which of those traits I share. In a BBC wildlife poll, hedgehogs were chosen as the best natural emblem for the British nation, beating the charismatic badger and the sturdy oak. The victory for the ultimate underdog came about with 42% and more than 9,000 votes cast for the hedgehog. I know what it is like to be an underdog, because that is how I felt in the run-up to the last general election, when I placed a bet on myself with Paddy Power at 4:1 against In short, the British people have taken hedgehogs to their hearts. Even though we are a nation of animal lovers and have played a key role in the emergence of the modern conservation movement in the western world, Britain does not have a designated national species, unlike many other countries, including Russia, Australia and South Africa. That is why I am calling on my hon. Friend the Minister to hold a national campaign to identify which animal should be our designated national species. Needless to say, I will be launching a petition after this debate to name the hedgehog as our designated national species.
ParlaMint-GB_2015-11-10-commons.u639	I was interested to hear the hon. Gentleman set the scene for us, but there are more than 100 priority species across the UK, many of which reside within my constituency. Does he agree we need a strategy for all those species, including the hedgehog?
ParlaMint-GB_2015-11-10-commons.u640	Yes, I am happy to agree, but I am talking about, and campaigning for, the hedgehog Perhaps the BBC might like to run a competition similar to one to find the greatest Briton, with a series of people arguing the case for their preferred animal over a series of weeks. I would be willing to do the job on behalf of the hedgehog.
ParlaMint-GB_2015-11-10-commons.u641	Does the hon. Gentleman agree that hedgehogs are a devolved issue to be decided on by the Scottish Government?
ParlaMint-GB_2015-11-10-commons.u642	I am told that in the western isles, there are no hedgehogs at all My relationship with the hedgehog goes back to my own childhood in suburban Woking, when I was read by my actress mother Beatrix Potter’s “The Tale of Mrs Tiggy-Winkle”—hon. Members will not be surprised to learn that this is not the only Mrs T who has been important in my life. I was therefore deeply shocked to discover that in the last 10 years, hedgehog numbers have declined by about one third nationally. According to the House of Commons Library, the principal reason for this prickly animal’s decline is the loss of habitats. Likely factors in the hedgehog’s demise are the loss of permanent grasslands, larger field sizes, the use of pesticides and herbicides and a reduction in hedgerow quality. I understand that badgers are a natural predator of hedgehogs and that consequently they avoid sites where badgers are present.
ParlaMint-GB_2015-11-10-commons.u643	Does my hon. Friend recognise the importance of using our gardens as a vital habitat for hedgehogs? I recently built a hedgehog house in my garden. Sadly, as yet I have no residents in it, but I hope it will encourage diversity and a growth in hedgehog numbers in South Staffordshire.
