ParlaMint-GB_2015-09-16-commons.u1	1. What assessment he has made of the effect of the summer Budget 2015 on people in Wales.
ParlaMint-GB_2015-09-16-commons.u321	I am grateful to the hon. Members for Birmingham, Selly Oak (Steve McCabe) and for Cardiff West (Kevin Brennan) for tabling their amendment, and for the other informative and constructive contributions from other hon. Members across the House. The amendment raises the important issue of ensuring that the power given to the Secretary of State in clause 13 is used in a transparent way and takes into account the impact of any action on voluntary adoption agencies, other models of care and the provision of post-adoption support by requiring an annual report to be laid before Parliament. I am pleased that the Secretary of State is in the Chamber to hear the views being expressed on this aspect of the Bill It is important to state at the outset that I appreciate the intentions behind the amendment. I agree that we need to be clear about how the power is used and the impact that it has. I can assure hon. Members that the process will be open and fair and that decisions will be transparent. I see that as the main thrust of the amendment, which hon. Members have drawn out during the debate. Be that as it may, the laying of an annual report before Parliament on the use of this power would, in our view, be disproportionate, and I shall explain why we take that view.
ParlaMint-GB_2015-09-16-commons.u322	I should like to take this opportunity to congratulate the Minister on leading the charge towards increasing the number of children who have permanent homes. The record increase in the past year provides the best evidence that we are a party and a Government that support families. In regard to the move towards regional adoption agencies, can he assure me that there will not be a one-size-fits-all approach, and that there will be flexibility in the system? For example, in the borough of Enfield, will there be a cross-over into Hertfordshire as well as into the London boroughs? We need to achieve the necessary efficiencies, but we must also act in the best interests of the children.
ParlaMint-GB_2015-09-16-commons.u323	I am grateful to my hon. Friend for his support, not only for the Bill but for the work that we have been doing in government to improve the adoption system. I can assure him that we will go on to talk about those matters in more detail. This is very much a bottom-up approach to the development of regional adoption agencies. It has purposely been designed to ensure that it has the flexibility that he mentioned, so that local authorities across regions, working closely with voluntary adoption agencies, can come up with the solutions that work best in their areas, based on their collective expertise. Even in the early stages of the process, that is already happening Before I set out the reasons why we do not accept the amendment, I want to address the specific issues that have been raised in the debate. At the heart of this has been the way in which adoption fits into the wider routes to permanence for children in the care system. Reforming the adoption system is a key Government priority, but adoption is clearly a solution for only a small group of children who cannot be looked after by their own parents, as the hon. Member for Sefton Central (Bill Esterson) reminded us. That is why, in parallel to improving the adoption system, we have taken—and are determined to continue to take—action in relation to other placement types as well The reason that the measures in the Bill refer only to adoption is that the adoption system operates on such a geographical scale that the kind of rationalisation envisaged here makes sense. However, if local authorities want to bring together other permanent services voluntarily, they have the freedom to do so. We are also taking action to improve the outcomes of children who have already left the care system. In the last Parliament, we took many steps to improve the support for children in care, including providing funding of nearly £100 million through the pupil premium plus, allowing targeted individual support to be provided for children in care in schools, introducing a new duty on local authorities to appoint a virtual school head, strengthening quality standards in residential settings to make them safer places for children and young people, and launching a cross-Government strategy for care leavers in 2013.
ParlaMint-GB_2015-09-16-commons.u324	The Minister mentioned the pupil premium plus. I commend him for that, because it has been a very successful initiative in schools, providing support for individual children in care and for former children in care—so adopted children qualify, too. To come back to the point I was making, the problem has been that we do not have the mental health professionals and qualified child psychologists to do the work that is needed in the timely fashion or to the level that is needed—that goes back to the point made by the hon. Member for Stevenage (Stephen McPartland). That is why we need to recruit and train the qualified professionals in those sectors, so that we can make the most of that investment.
ParlaMint-GB_2015-09-16-commons.u325	The hon. Gentleman makes a fair observation, and I will come on to talk a little more about the need to improve mental health services. The Prime Minister was clear that that was a key Government programme of work that will be taken on over the next five years. To ensure that children are receiving the right type of support when they need it, we need good decision making, good planning for them and an integration of those services around them—that is one of the roles the virtual school head has. This is also why we have embarked on an ambitious programme of reform to social work, making sure that those involved have the key knowledge, skills and practice-based learning to ensure that they are making the good decisions that lead to better placements and better outcomes To improve practice where the best permanence option is to remain as a looked-after child, we have also amended regulations in April to introduce long-term foster care as a distinct placement type for the first time. As someone who comes from a family who fostered both short term and long term, I think this is a very welcome step, which gives children who find themselves often for a large part of their childhood in the same placement a sense of family and stability. Together, we have made revisions to the wider statutory framework to ensure that those decisions are made very much in the best interests of those children. I could say much more if more time were available, but a lot of work has been done and will continue to be done in government to ensure that whatever the right permanency placement is for a child from the care system, we have the best system, the best people and the best accountability in place, so that they have the best possible start in life The issue of the crossover of adoption into special guardianship orders was raised by the hon. Member for Birmingham, Northfield (Richard Burden). He highlighted a case from his constituency, which he has previously raised with me. It is right to say , in response to the hon. Member for Birmingham, Selly Oak, that we have launched a public review of the legislative and practice framework underpinning special guardianships. It is now a decade since they were introduced by the last Labour Government, and it is time for us to have a close and proper look at the consequences of their introduction. For instance, we have seen a sharp increase, of 64%, in the use of SGOs for children under the age of one, which is not what was originally intended or envisaged when the legislation was introduced. We have also seen, through the court judgments of Re B and Re B-S, SGOs often now being regarded as a default option when considering a child’s long-term future. We also have a disparity in respect of the level of assessment that there is of the potential placement for a child in a special guardianship placement, as opposed to adoption. This review is up and running, and is currently out for consultation. The hon. Member for Birmingham, Northfield may wish to know that he has until this Friday to make any comments to that consultation. We will be working carefully with the expert group that we have set up to make sure that, whether in relation to the decision around an SGO or the subsequent support, we make improvements from where we first started.
ParlaMint-GB_2015-09-16-commons.u326	Will the Minister ensure that he discusses this matter with his colleagues in the Department for Work and Pensions, particularly in respect of child maintenance? He will know that the case I raised with him involved two grandparents who ended up getting an SGO but then split up. The grandparent who left ended up with no maintenance responsibility for the child, which he would have had if this had been an adoption. There are arguments on both sides there, but this needs to be sorted out, because the reality in that case is that one grandparent is left with a child with very few means of support. That is clearly something that needs to be sorted out.
ParlaMint-GB_2015-09-16-commons.u327	We are engaging Government Departments right across Whitehall to ensure that the implications of SGOs are being properly considered. In the scenario that has just been set out, we will need to consider whether we understand fully the consequences of these types of orders being made, and I will ensure that that is communicated to the relevant Minister in the Department for Work and Pensions and that it is looked at by officials in both Departments as part of the review.
ParlaMint-GB_2015-09-16-commons.u328	Will the Minister give way?
ParlaMint-GB_2015-09-16-commons.u329	Very briefly, because I wish to move on to the main thrust of my response.
ParlaMint-GB_2015-09-16-commons.u330	I am grateful to the Minister for giving way. One of the issues that I have raised is the evidence of the prevalence of foetal alcohol spectrum disorders and the very high numbers of looked-after children and adopted children who appear to have that condition. Will he ensure that awareness and support for those caring for those children is part of what he has been talking about?
ParlaMint-GB_2015-09-16-commons.u331	An essential element of all of this work is that anyone who takes on a child who has had trauma in their early life understands what it is. I am talking about not just its presentation but its causes. As part of that, we need to look at foetal alcohol syndrome, and I commend the hon. Gentleman for the work that he and his new all-party group are doing to raise awareness of that issue. I am happy to engage with him on that matter as I indicated in Committee As I set out in Committee, the current adoption system is highly fragmented, with around 180 agencies recruiting and matching adopters for only 5,000 children per year. We do not believe that such a localised system can give the best service for some of our most vulnerable children. As well as being inefficient in scale, it also too often leads to ineffective practice across the system. The introduction of regional adoption agencies will help to address those issues in several ways The first way is through matching. It still takes an average of eight months between placement order and match. We know that delays are often caused by an unwillingness to seek a family outside a local authority’s own group of approved adopters. That is simply not good enough. No child should suffer the lasting harm that we know delays cause because the local authority refuses to look elsewhere for a match. That is why we are making £30 million available to pay the inter-agency fee over 12 months for particular groups of children. That will help to ensure that they are matched quickly in the short term while regional adoption agencies improve things in the long term. Successful matching relies on being able to access a wide range of potential adopters from the very beginning, and regionalising adoption would give adoption workers that choice The second way is through recruitment. Although we have adopters approved and waiting to be matched, we have too few who are willing and able to adopt harder to place children, which means certain groups of children wait significantly longer than others to find adoptive families. For example, as at 31 March 2014, disabled children were waiting 7.6 months longer than the average child. The current system is not serving those children well enough, and we cannot just accept that as it is. Regional adoption agencies would be able to take account of the needs of a larger number of children when planning a regional recruitment strategy. Recruitment could therefore be better targeted, leading to the right adopters being approved and fewer children having to wait The third way is through adoption support. In too many cases the specialist support that many adopted children so desperately need, including mental health services, has simply not been available. In many areas, the number of adopted children is so small that local authorities are unable to ensure that the right provision is available. Regional adoption agencies will assess more children’s needs and give them a greater understanding of what should be commissioned. Commissioning at a regional scale will allow providers to expand their services, provide better value for money for the taxpayer and help ensure that all adoptive families receive a consistently high quality of assessment and provision. That will build on the adoption support fund that we have set up, which is now running, to the tune of £19.3 million. It is vital that adopted children receive the therapeutic and mental health services they need, which is why we have made that significant investment. Since May it has helped more than 1,400 families and spent £5 million, and all but 10 local authorities have already made a bid to the fund, which demonstrates how essential it is for those children I would like to set out what work has already been done to help achieve that regional approach. We want to support and work with local authorities and voluntary adoption agencies to help deliver regional adoption agencies. That is why we are providing £4.5 million of funding this year to support early adopters to accelerate their development and early implementation. I am pleased to tell the House that we have already received 30 expressions of interest for that support, covering every region of the country I would also like to assure hon. Members that through this process we are carefully considering the impact that moving to regional adoption agencies will have on voluntary adoption agencies, other models of care and the provision of support, which the hon. Member for Birmingham, Selly Oak rightly raised in his contribution. It is worth noting that voluntary adoption agencies are formally or informally involved with consortia across all regions already. We have been very clear that proposals need to look at how links with other children’s services can be maintained and how support functions will be carried out We have also been clear that voluntary adoption agencies have an important role to play. In our paper “Regionalising Adoption” we set out that we are particularly keen to consider models that bring together the best of the voluntary and statutory sectors. Proposals for regional adoption agencies that include voluntary adoption agencies will be looked on favourably, even for those that do not see partnership with local authorities as an option for them. The service they provide in recruiting adopters, particularly for some of the most vulnerable and complex children, will still be much needed by the new regional adoption agencies. That is built on our knowledge of the enormous expertise, service quality and excellent outcomes that voluntary adoption agencies have a record of delivering, as well as our desire and determination to ensure that the move to regional adoption agencies does not adversely impact on them. We will continue to monitor that closely as regional adoption agencies take shape Our intention is that, as far as possible, the sector will move to regional adoption agencies by itself. As I said in Committee, this power is simply a backstop measure for those agencies that do not rise to the challenge, as well as allowing the Secretary of State to direct local authorities to have a particular function carried out on their behalf by a voluntary adoption agency if an individual council or regional adoption agency is not doing so effectively We are confident that the majority of local authorities will seize this opportunity to deliver their services in new and exciting ways. I am pleased to see how the sector has already responded to the move to regional adoption agencies. The Association of Directors of Children’s Services sees this as a sensible development and Carol Homden, chief executive of Coram, stated in her oral evidence that the Bill will help children regarded as harder to place. The move to regional adoption agencies involves real potential to improve the life chances of some of our most vulnerable children, and I believe the majority of those working in adoption will make this a reality As I set out earlier, we have already had 30 expressions of interest for the support available this year. It is hugely encouraging that these bids cover all regions and the majority of them involve a voluntary adoption agency. Each expression of interest is currently being fully assessed and funding decisions will be made by the end of the month. It is also important to note that prior to this programme, we had already seen the emergence of some new delivery models for adoption and some growth of consortia and regional collaboration. For example, Wokingham Borough Council, Bracknell Forest Council, West Berkshire Council and the Royal Borough of Windsor and Maidenhead have launched a combined adoption service, known as Adopt Berkshire This is a move that is already seen as beneficial and we will build on this impressive momentum. Therefore, as noted by Sir Martin Narey in his oral evidence, we expect to use this power rarely, if at all. I can reassure the hon. Member for Birmingham, Selly Oak that if the power is required, the decision to use it will be made following extensive and detailed discussions with the agencies involved. These discussions will cover a range of areas, including the role of voluntary adoption agencies, the provision of support and the link with other care options. In addition, I listened carefully to the suggestions made by the hon. Gentleman in Committee, and before making any final decision we will write to any relevant local authority seeking its views and requesting supporting evidence. I can therefore reassure the House that all those involved will have a chance to comment on the proposal before a final decision is taken There is no requirement for the Secretary of State to lay an annual report before Parliament about directions issued to local authorities when the direction, as here, is to arrange for another body to exercise a wide range of functions on behalf of the local authority. As such, a more proportionate approach than laying an annual report before Parliament is to discuss directly the use of the power and its impact with those charged with delivering adoption services. We will work with both individual agencies and through the Adoption Leadership Board and regional adoption boards to ensure the effectiveness of this joined-up approach. As a consequence, I hope the hon. Member for Birmingham, Selly Oak will withdraw the amendment This has been a good and helpful debate which has drawn out some of the issues that surround adoption, not just what is in the Bill. I will endeavour, of course, to continue to work hard for all children in care, whatever their route to adult life happens to be. This is an important step in making sure that adoption and the adoption services function better, more quickly and in the best interests of every child for whom it is the right future.
ParlaMint-GB_2015-09-16-commons.u332	I am sure we will return to many of these issues in the days and months ahead. For the time being, as a sign of my good faith, I beg to ask leave to withdraw the amendment Amendment, by leave, withdrawn. Third Reading
ParlaMint-GB_2015-09-16-commons.u333	I beg to move, That the Bill be now read the Third time First, let me welcome the new shadow Secretary of State, the hon. Member for Manchester Central (Lucy Powell), to her position. I hope she has now had that face-to-face conversation with the leader of her party about her party’s policies. I was intrigued to discover on reading her biography that she and I share the same birthday. I was less happy to discover that she is two years younger than me. All I can say to her about those two years is that I hope she accrues grey hairs at a slower rate than I have done I pay tribute to the hon. Lady’s predecessor, the hon. Member for Stoke-on-Trent Central (Tristram Hunt), who is in his place. It might be fair to say that he and I did not always see eye to eye on everything, not least because he is several inches taller than me. It is also fair to say, however, that we shared a belief in the life-transforming power of a great education and a desire to give every child the best start in life. While he will be a loss to the Opposition Front Bench, he is, as we have already heard today, not one to shy away from offering his opinions on education in the months and years ahead. [Interruption.] I warn shadow Front Benchers that he has just promised to do so on a range of issues, so I shall leave it to them to debate what that might mean Nothing better demonstrates this Government’s commitment to delivering real social justice than our approach to education. This Bill has one central principle at its heart: that every child deserves an excellent education; an education that opens their minds and allows them to unlock every ounce of their potential. The Bill makes it clear that we are not only intolerant of failure where it occurs but will not settle for mediocrity either. It is the next step of our ambitious reform programme, started under Andrew Adonis and new Labour, who recognised that the most effective method of transforming failing schools is to put in place strong leadership and to give those leaders the freedom to turn a school around. That programme was turbo-charged in the last Parliament, based on the knowledge that heads and teachers—I should include governors too—know best how to run their schools, not bureaucrats wedded to a one-size-fits-all approach. As a result, 5,000 schools are now benefiting from the freedom to tailor the education they provide to the young people they serve These reforms, along with the significant changes that we have made to raise standards, restore rigour to the curriculum and improve the quality of teaching—all issues that have been debated during the passage of the Bill in this Chamber and in Committee—are delivering strong results. The number of young people leaving primary school unable to read, write and add up properly has fallen from one in three under the previous Labour Government to one in five today. The gap between disadvantaged pupils and their peers is closing. The percentage of 16 to18-year-olds not in education, employment or training has fallen to 7.3%—the lowest figure since records began. A million more pupils are in schools rated good or outstanding by Ofsted, and that is a million more pupils getting a better start in life. But none of this should give us cause to stand still. Our work will not be complete until every school in every part of the country is providing its pupils with an excellent education. This is the vision that lies at the heart of this Government’s one nation agenda That is in stark contrast to what we now hear from the Opposition Benches, where we see a Labour party that has turned its back on the cause of education reform and instead wants to return to the failed approaches of the past. Rather than trusting teachers and heads, the new old Labour party would seize power back for bureaucrats and politicians, denying parents choice, condemning schools to languish in failure, and trampling on the life chances of our most disadvantaged young people. It seems that whereas innovation, creativity and progress were the watchwords of the Adonis reforms, in today’s Labour party they are taboo. I sincerely hope that Labour Members will prove me wrong by joining us in the Lobby in support of this Bill, but I do not hold my breath As the Labour party has turned its back on the aspirations of parents and children, we will be their champion, ensuring that every family has the security that a good education brings, and that is exactly what the Bill will do by delivering on our manifesto commitment to turn every failing school into an academy. As we have heard, the measures will ensure that failing schools receive the support and challenge they need to improve from day one. It will remove the bureaucratic legal hurdles so often exploited by those with ideological objections to school freedoms, which have meant that pupils typically have to spend over a year in a failing school before academy conversion takes place This is not about waving a magic wand to change the name and structure of a school and assuming that improvement will inevitably follow. Instead, it is about recognising strong leaders who, with the support of expert sponsors, are best placed to bring about the changes their schools need The Bill goes further than simply addressing failure; it tackles inadequate progress too, making it plain that simply treading water is not an option and that just good enough is not enough for anyone’s child. The Bill introduces new measures that will allow us to target coasting schools—schools that are achieving results that clear the floor but that are not enabling every child to make the progress of which they are capable, and schools that are failing to stretch the most able or to adequately support those who are struggling Coasting schools will be put on immediate notice to produce an action plan for improvement, with local regional schools commissioners deciding what support is needed to turn those schools around. Let me be clear that, as the Minister for Schools said earlier, not all coasting schools will be required to become academies. Some might have the capacity to improve on their own, and for others the short-term support of a national leader of education might be required, but we think it is absolutely right that when a school is not consistently ensuring children reach their potential—whether it is in the inner city, a coastal town or a leafy suburb—we should have the power to intervene The Bill is also concerned with improving the adoption system so that some of our most vulnerable children find loving homes as quickly as possible. The current adoption system is highly fragmented with about 180 agencies recruiting and matching adopters for only 5,000 children a year. Such a localised system does not give the best service for those children. It currently takes an average of eight months between placement order and match and that is too long for any child to wait. The adoption measures in the Bill will help speed that up by supporting the introduction of regional adoption agencies. We are committed to supporting the sector to deliver regional adoption agencies voluntarily in the first instance. That is why we are providing £4.5 million of support this year for councils that lead the way in regional adoption agencies Before I conclude, let me thank all Members on both sides of the House who served on the Public Bill Committee and all those who provided oral and written evidence. It is also only right and proper for me to pay tribute to the Minister for Schools and the Minister for Children and Families for skilfully steering the Bill through this House. I also thank my Parliamentary Private Secretary, my hon. Friend the Member for Worcester (Mr Walker), and the Committee’s Whip, my hon. Friend the Member for Stourbridge (Margot James), as well as officials in the Department and here in the House for their support The education that young people receive will determine the course of the rest of their life. It has the power to be a great life transformer, to unlock hidden gifts and to develop unique talents. Getting that right is fundamental because for most young people this is the one chance they will get. Everything in the Bill has been written with that simple truth in mind. It is about tackling failure, being intolerant of mediocrity, and speeding up the transition to a loving home. Simply put, it is about giving every child the best start in life. I ask hon. Members to support it tonight.
ParlaMint-GB_2015-09-16-commons.u334	I thank the Secretary of State for her kind words of welcome. It is a pleasure to be the new shadow Secretary of State for Education, a role that I am passionate about. I am sure that she will agree that Secretary of State for Education is one of the great offices of state, and it is great to see two women in these roles today. I was, however, less comfortable with one aspect of being offered this job. Unfortunately, given that I am an October-born, bossy politician who studied chemistry at Somerville, the parallels between Margaret Thatcher and me take another step forward. I very much hope that that is as far as they go I pay tribute to my predecessor, my hon. Friend the Member for Stoke-on-Trent Central (Tristram Hunt). He has been a passionate campaigner for education and it is an honour to follow in his footsteps. I also pay tribute to my hon. Friends the Members for Cardiff West (Kevin Brennan) and for Birmingham, Selly Oak (Steve McCabe) for all their hard work on the Bill, and to my hon. Friend the Member for Hyndburn (Graham Jones), who has served as the Whip on the Bill and who, I am sad to say, will leave the Whips Office after today. I also thank the many colleagues who served on the Committee and contributed to the debate For me, education is personal as well as political. With children at secondary, primary and nursery school, I see at first hand the immense value of an excellent education. It truly is the best investment any country can make. Coming from a family of teachers and headteachers, I have the highest regard for all those in education, who do amazing jobs, often in challenging circumstances Education is our route to a successful, rich, vibrant, tolerant and inclusive society and economy, but with globalisation, the digital age, emerging economies with high skills and a shrinking number of low-skilled jobs, we need to ensure that we continue to meet the needs of the next generation Labour is committed to excellence in state education, to raising aspirations for all children and to continued increases in standards. We also want an accountable system with strong local oversight, collaboration and support. That should apply equally to all schools, whether or not they are an academy, free school or local authority school. We cannot support this Bill, because it does nothing to meet those challenges and it takes school oversight, parental involvement and support for headteachers backwards. Yet again, the Government seem to want to apply these measures only to local authority schools instead of addressing failure across the system The sponsored academy programme of the last Labour Government brought new resources, leadership, partnerships and higher standards to some of the most disadvantaged schools and it was very successful. However, what we have seen from this Government is the wholesale academisation of schools, with little evidence to show that that in and of itself raises standards. Indeed, Ofsted has raised concerns that the academisation of schools can often be a detrimental distraction for school leaders when they could be focusing on other interventions. What is more, the Bill fails to address the very real concerns about whether the Secretary of State is best placed to offer the oversight and support that the majority of schools require, and it does nothing to address failure in academies or academy chains. No parent wants their child to be in a failing, inadequate or coasting school. We should all be intolerant of failure in our school system, but I am far from being convinced that the Bill’s measures will deal with those issues. As my hon. Friend the Member for Birmingham, Selly Oak has said, we support many of the Bill’s adoption measures, although we have raised concerns about the threat to specialised adoption agencies I shall focus the remainder of my remarks on the schools element of the Bill, which has a number of serious flaws. As my hon. Friend the Member for Cardiff West has said, the very narrow definition of coasting schools, which is purely a data exercise, is flawed. It gives no recourse to other information from Ofsted or elsewhere. It could also have serious unintended consequences Children not achieving their potential or not being stretched, which may lead one to think that the school is coasting, has long been an issue, but the Bill’s crude measure will potentially exclude many schools that require intervention and include some that do not. That is a major flaw. It also sets up a parallel judgment of schools outside, and often in competition with, the Ofsted framework The Bill also fails to devolve powers of oversight and intervention from the Secretary of State; indeed, it concentrates further powers into her hands. Regional schools commissioners are nowhere near an adequate response to that growing problem, which is widely recognised. Although devolution is rightly the agenda of so much public policy, education is going in exactly the opposite direction under this Government and with this Bill Another of the Bill’s failings is the exclusion of academy schools and academy chains from required interventions. Many examples have been given, especially by my hon. Friend the Member for Sheffield, Heeley (Louise Haigh). The Bill deals only with local authority maintained schools. There is no parallel requirement on the Secretary of State to take equivalent action against a failing academy The Bill’s focus on forced academisation is only justified if the evidence supporting academy status as a path to improvement is overwhelming and unchallenged. In fact, there is no such evidence. The Tory majority on the Education Committee was unable to find any convincing evidence that academy status itself led to school improvement, but the Secretary of State continues to maintain that, rather than a useful targeted intervention in appropriate circumstances, academy status is the single magic bullet that will lead to improvement. We all know that it is much more complex than that, and the Bill does nothing to strengthen and speed up other interventions that we know work The views of local stakeholders, particularly those of parents, will be completely removed by the Bill. That is the wrong direction of travel, and we cannot support it. It also fails to address major challenges in our education system, such as the growing teacher shortage as recruitment and retention collapses, and it does nothing to solve the crisis in school places The Government should develop policy based on evidence and proper analysis. When using individual examples, I am always mindful of the fact that we can all find those that make our point one way or another. On reading the Secretary of State’s speech on Second Reading, I noticed that she gave two or three examples of school improvement to justify the Bill. One such case, that of the Manchester Enterprise academy, stuck out for me because I know that school well and, dare I say, better than the Secretary of State. She cited the school as a clear demonstration of why academising a failing school works, but the situation is much more complex. I do not want to politicise the school, but it is important further to draw out what is happening there because it highlights all the issues we are debating First, given the Secretary of State’s clear belief that local authorities cannot be part of the solution in supporting and turning round poor schools, I was surprised that she chose a school whose sponsor is none other than the local authority, in partnership with Manchester airport. The city council has had a great deal to do with the recent success of the school, as indeed it has with all schools across Manchester, in which standards have risen significantly in recent years. She and her Government seem to think that local authorities can never be part of school improvement, but I beg to differ—as her own example shows.
ParlaMint-GB_2015-09-16-commons.u335	I, too, welcome my hon. Friend to her new position at the Dispatch Box. The school she mentions is in my constituency. It was academised under the previous Labour Government, sponsored by Manchester City Council—a Labour council—as well as Manchester airport and the local Wythenshawe community housing group. It has been transformed under the leadership of James Eldon. The Secretary of State spoke about the Manchester Enterprise academy on Second Reading, so I challenge her to come and see how a local authority has got to grips with turning around such a school.
ParlaMint-GB_2015-09-16-commons.u336	My hon. Friend is absolutely right to highlight such issues, particularly the important role played by the city council. Manchester is at the vanguard of the right hon. Lady’s Government’s programme for devolution. Indeed, some might argue that the leaders of Greater Manchester are closer in outlook to the Chancellor than she is. Why is she not part of that agenda? Instead she is taking education in the opposite direction Secondly, had the Secretary of State looked further into the history of the Manchester Enterprise academy, she would have found out what any local representative, such as my hon. Friend, or education professional in the city could have told her—that it took many years after academisation for the school to be turned around. There were leadership changes, financial problems and low attainment for many years after it became an academy. It was not academisation in and of itself that improved the school, but a range of interventions, many of which have been more recent than its academisation Thirdly, as the Secretary of State cited this example on Second Reading, I wonder whether she is aware of the school’s results this year. Through no fault of its own—indeed, the school continues to go from strength to strength—its GCSE results this year dropped by 9%. As she may be aware, as in many deprived and challenging parts of the country, the new system of comparative results means that no matter how hard the school works and how excellent the teaching is, results can fall as grade boundaries change, making the gap impossible to close. That comparative results system, with its constantly changing grade boundaries, may result in excellent schools, such as the Manchester Enterprise academy, being labelled as coasting. Has she considered the consequences of that? She will also be aware that schools face a crisis in teacher recruitment and retention, particularly in maths and science. That, too, could affect a school’s results through no fault of its own The Secretary of State’s example highlights my bigger point. Despite having a whole Department working on her speech and sourcing examples, no one brought the real situation of the academy to her attention. Local representatives could have told her about it. That only highlights the difficult job that she has in being solely responsible for thousands of schools. This Bill and the Secretary of State miss the most fundamental point: we need to devolve oversight for all schools to a level where support, collaboration and accountability can happen effectively. The Bill rejects that and her regional schools commissioners fall well short.
ParlaMint-GB_2015-09-16-commons.u337	There are 2,024 maintained Catholic schools in England and 386 Catholic academies. As the hon. Lady is speaking on behalf of the new Labour Front-Bench team, may I ask her to pay tribute to our faith schools and assure us that the Labour party is fully committed to their continued existence? In the context of the Bill, will she commit her party to ensuring that if, sadly, an interim executive board has to be appointed, the religious nature of such a school will be preserved?
ParlaMint-GB_2015-09-16-commons.u338	I thank the hon. Gentleman for his intervention. I reiterate the Labour party’s commitment to faith schools. As he raises the input of Catholic schools, he may be interested to hear that they are opposed to many aspects of the Bill, as we highlighted in Committee. In particular, they are very much opposed to clause 7 I will spend the coming months listening, responding and developing and setting a course for an ambitious vision for education in this country—something that the Bill fails in. The Bill takes school oversight and parental involvement backwards, and further demonises local authority schools. That is why we will oppose it. It is also a huge missed opportunity for a newly returned majority Government. The Secretary of State has the best and most important job in this country. Is this Bill the best she can do? If I had any doubt as to why the Bill is before us this evening, I do not after reading her interview in The Daily Telegraph this morning. It is clear that the Secretary of State’s primary interest is not raising standards and supporting pupils, parents and teachers; it is narrow political tactics aimed at the Labour party. I am afraid that that is quite a sad and pathetic development.
