ParlaMint-GB_2015-01-26-commons.u1	3. What recent assessment he has made of the effectiveness of the innovation fund for young people.
ParlaMint-GB_2015-01-26-commons.u445	rose—
ParlaMint-GB_2015-01-26-commons.u446	Order. I remind hon. Members that the debate ends in 16 minutes, because the knife will fall at 9 o’clock, so it would be helpful if each Member spoke briefly to enable everyone to make their points. We will start voting at 9 o’clock.
ParlaMint-GB_2015-01-26-commons.u447	It has been a long struggle for many of us, and I congratulate hon. Members of all parties on instituting, bringing forward and finally getting Government agreement on the cycling strategy, which I shall briefly address We have spoken in various debates over many years to get where we are, but as with all the best cycling strategies, if we stick at it and power on through, the destination is always worth the journey. I congratulate the various cycling groups behind the campaign. Speaking as someone who cycles to work here in Westminster and at home in the great county of Northumberland, I say that whether it be off road in Kielder or taking the highways and the byways, this is without a shadow of a doubt one of our finest assets This decision by the Government, and the reaching of cross-party agreement on it, will definitely be welcomed in Northumberland. There is a tremendous desire there for a cycling strategy. We have looked enviously at the city of Newcastle, which has enjoyed £6 million to £7 million of cycling investment. That is wonderful for Newcastle, but has been somewhat to the disadvantage of us in Northumberland. While we now have an integrated strategy, I genuinely feel that there is an opportunity for our constituents to get the cycling strategy that they so enthusiastically require Locals have already prepared strategies for Hexham, Prudhoe and other towns in Tynedale and Castle Morpeth. I am pleased to say that Northumberland county council has at last got into gear, and it needs to pitch to the Government for the funding; otherwise the cycling groups in my area will definitely be disappointed and potentially left behind. That is not something that anybody wants Let me finish by saying that I do not believe we can improve tourism without a cycling strategy; I do not think we can improve our health, the obesity problem and pollution without a cycling strategy; I do not believe we can improve the cost of living that is an issue for so many people without a cycling strategy; and I certainly think we could do great things to improve the quality of life if we had such a strategy.
ParlaMint-GB_2015-01-26-commons.u448	Everyone is aware that the Environmental Audit Committee has now drawn up three reports on air quality. We came up with a series of recommendations, clearly showing that there is no one single solution to the problem of improving air quality and that we need a raft of measures. Cycling and walking are certainly part of that, and I am very pleased with the progress that has been made. It is imperative for the Minister to do exactly what he said he would do, and give further serious consideration to the amendments tabled, following the Environmental Audit Committee discussions, about how placing a legal duty on the new Highways Agency is critical if we are to deal with the public health issues I see the hon. Member for Totnes (Dr Wollaston), who chairs the Health Select Committee, in her place. The whole House is aware that we have something in the order of 29,000 premature deaths a year. We know that air pollution is an invisible killer. It is vital that when the new agency comes to do its work, it does not just look at the environmental appraisal, but ensure that it has real teeth. We need real ways to plan roads and provide green walls to help reduce pollution, and to look at layout and public transport integration. The whole integrated approach to public transport needs to be taken on board. Without the legal commitment, which I hope will come forward in the other place, we cannot begin to tackle the problem of our being in breach of EU regulations. We must deal urgently with that I am grateful to my hon. Friend the Member for Birmingham, Northfield (Richard Burden) for saying that he would support amendment 70. At this stage, it is incumbent on us to see what progress can be made by the Government in the other place.
ParlaMint-GB_2015-01-26-commons.u449	I warmly welcome the cycling and walking strategy. It is not just a cycling and walking strategy; it is a cycling and walking investment strategy. As the Minister knows, good cycling infrastructure does not happen without that vital investment. I am particularly pleased to see the words “certainty” and “stability” in new clause 13. That is what it is all about, and it is how Holland achieved its objectives. It makes it appropriate for the Minister to be the Member for South Holland and the Deepings. Holland achieved its goals by having £24 a head of stable, long-term investment. If we can get that level of investment—£10 to £20 a head has been called for in the all-party cycling group—we can do the same. I pay tribute to all my colleagues in the all-party cycling group for the work they did, and I commend the cycling report. I warmly welcome the opportunity of discussing the issue with the Minister responsible for cycling, the hon. Member for Scarborough and Whitby (Mr Goodwill), who is in his place I think that we can expect an increase in the number of cycling journeys from 2% in 2011 to 10% within a decade, which will have enormous benefits for health. I hope there will be investment in not just infrastructure but training, and that cycle to work schemes will, in some form, be extended to young people. I warmly thank the Secretary of State for tabling the new clause, and look forward to seeing the health and well-being of the nation improve as a result.
ParlaMint-GB_2015-01-26-commons.u450	On Second Reading I echoed the fear that had been expressed by Highways Agency staff that this was the first stage of a privatisation process. Since then, the Minister has written to various Members saying that the Bill will not privatise the agency or any part of it. It is true that the Bill contains no such provision, but the staff nevertheless feel that they are being packaged up into an organisation and that the second stage will be privatisation, along with tolling The Minister has also given an assurance that the roads investment strategy budget will no longer be annualised, but the chief executive has made clear to staff that the revenue budget for the maintenance of the new company will be annualised. Staff fear cuts and the prospect of being transferred to a company that will be privatised in due course It is crucial for committed, dedicated professionals who, as was pointed out by my hon. Friend the Member for Birmingham, Northfield (Richard Burden), have done everything asked of them by this and the last Government over the years to be secure in the knowledge that they will have a job following the transfer. Both Governments have normally provided that assurance by including a reference to TUPE in legislation. In some instances, however, that may not be appropriate TUPE usually obtains when a group of staff have been transferred from the public sector to the private sector. When the transfer is between Government agencies, or from the Government to an agency, a formal agreement called COSOP operates. It was initiated by the last Government, and has been confirmed by this one, and it is negotiated and signed off by the Cabinet Office. My amendment 127 provides that “if the TUPE regulations do not apply in relation to the transfer” the transfer scheme may “make provision which is the same or similar.” There is real anxiety about the fact that the form of words used by the Government does not include such a provision, and hence does not abide by the agreement reached by them and by the last Government with the trade unions Amendment 115 refers to “all the rights and liabilities relating to the person’s contract of employment.” The transfer of undertakings extends beyond the basic contract of employment to a range of other assurances that should be given to staff on transfer. That is why people are worried, and I feel that we will lose some very dedicated professional staff as a result of the lack of commitment that is being given to the staff who have served us so well. I urge the Minister to reconsider, and to translate into the Bill a form of words that has been used in every other Bill, relating either to TUPE or to similar arrangements. If he does not do so, the staff will remain anxious and concerned.
ParlaMint-GB_2015-01-26-commons.u451	It is a pleasure to have an opportunity to speak at the end of the debate, and to see the new clause make progress As I think the House knows by now, the case for cycling and walking is incredibly strong. It is a great way to travel. It is environmentally friendly, healthy, reliable, cheap and fun. It cuts congestion, so that everyone else benefits as well. It boosts the economy, it saves money and it saves lives. Public Health England recently said that one in six deaths was due to physical inactivity. What we do to promote physical activity helps people to improve their health. The all-party parliamentary cycling group set some targets during the Get Britain Cycling inquiry. If we achieved those targets, about 80,000 disability-adjusted life years would be saved each year by 2025. That is a huge number. When mental as well as physical health is taken into account, the financial savings would amount to between £2 billion and £6 billion, and the national health service would save £17 billion a year if we could reach the Dutch and Danish levels. That is worth investing in. That will save money as well as lives The case is strong, and that is why in our report we called for spending of up to £10—heading towards £20—per person per year. The report was supported not only by all the cycling organisations, of course, and by Living Streets, a pedestrian group, but by organisations such as the Automobile Association. All forms of transport want to see this happen, and business does, too. The director general of the CBI has called for a major effort to expand the dedicated cycle network, and it is very good that the Government have agreed and are doing the right thing by supporting this amendment. I thank the Minister with responsibility for cycling, the hon. Member for Scarborough and Whitby (Mr Goodwill), in particular. I remember when the hon. Member for Totnes (Dr Wollaston) and I tried to talk to him, and I am glad he has managed to deliver on what he knows is the right thing This amendment has been backed not only by the cycling organisations, but by health organisations—all of them, ranging from the British Heart Foundation to Age UK, to Macmillan, and to Rethink Mental Illness. This is clearly a popular thing to do, therefore This Government have made progress on the policy on cycling and walking. We have seen more money go in to this policy than ever before, and I welcome that. The £241 million from the Deputy Prime Minister is the largest single investment in cycling, but it goes nowhere near far enough. To get the benefits I spoke about, we must have the money going in. This strategy says there has to be some, but it does not say how much. My party is committed to the £10 per person per year that was agreed by this House and the cross-party group. It would also be something we would enshrine as part of our green transport Act I would love to see the other parties join in. I know that Back Benchers on both sides of the House are supportive, but I also know that the Front Benches on both sides are against this—or at least they have been so far. At the beginning of this year we saw an awful spat with the Conservatives putting out something saying that Labour is going to spend £63 million on cycling, as though that was too much. Unfortunately, we saw Labour respond by saying that that was nonsense and that Labour was not committed to spending any money on cycling. I hope both Front Benches will fix that, because I know their Back Benchers would like to see that happen. I know the shadow Minister was taken to task by the right hon. Member for Exeter (Mr Bradshaw) for not committing any money to cycling. I hope both sides and all parties will join us in committing to cycling and walking, because it is not enough to have a strategy; we have to put the resources in and we have to make sure they are available. We can do that and we should do it, and it is something this House has voted for. I hope it will become a reality in the next few months and after the general election as well.
ParlaMint-GB_2015-01-26-commons.u452	I will address matters in reverse order to add excitement. On cycling and spending, I said at the outset, but repeat for the sake of clarity, that this Government have committed to spend £374 million between 2011 and 2015. We have more than doubled spending on cycling compared with the last four years of the previous Government. As I said, about £6 per person each year across England and £10 per person in London is being spent as part of cycle city ambition. Of course we understand that the strategies have to be funded and that money matters, and the Government put their money where their mouth is On the circumstances of staff, let me be absolutely crystal clear once again that it is not our intention to disadvantage staff. Far from it. I want to ensure that they are treated properly and fairly in their terms and conditions and all that that means. There is no hidden agenda, despite what the hon. Member for Hayes and Harlington (John McDonnell) says; there is nothing under the bed that he should fear. The plan is to be absolutely straightforward, transparent and fair to all those staff transferring from the existing organisation to the new one. I have already said I will come back to the shadow Minister on the particular point he raised in his intervention Finally, we do believe a new body is necessary. This new strategy requires a structural change in the way the strategy is delivered. This is a complex argument, but I will try to make it as cogently as I can in less than a minute. It is probably true to say that the existing Highways Agency is too close to Government and too far away from Government. The new arrangements, with the framework, the licence and the statutory requirements to be put in place under this Bill, mean that this new body will be close to Government but far enough away to deliver the Government’s objectives. That is our proposal. I think it has force. It has been widely welcomed and I hope the Opposition will come to the view that most others have: that this is an idea whose time has come.
ParlaMint-GB_2015-01-26-commons.u453	I beg to move, That the Bill be now read the Third time This is a Bill for the long term. As I said on Second Reading, Governments of all persuasions neglect the long term. Perhaps that is only human—[Interruption.]
ParlaMint-GB_2015-01-26-commons.u454	Order. Perhaps Members leaving the Chamber could do so quietly. Secretary of State, that means you as well—we want to hear your eloquent Minister move the Third Reading.
ParlaMint-GB_2015-01-26-commons.u455	It is bewildering, Madam Deputy Speaker, that Members do not want to stay and hang on my every word. It is bizarre. I know you agree On Second Reading, we said the Government were determined to put in place a strategy, backed by statutory changes, that allowed us to invest in this nation’s future. I was about to say that it is only human nature to focus on the immediate, on the imminent. It is easy to forget that the present is an illusion, as now becomes then in an instant; it is the past that matters and the future. As I said a few moments ago when we were debating the Government amendments, it is easy for Governments to neglect infrastructure investment for just that reason. This Bill looks beyond short-term political expediency to a future of greater investment—a future of more jobs, more opportunities and more growth. This Bill improves the funding and management of our major roads, streamlining the planning process, particularly for major projects, and so facilitating investment. It also supports house building; introduces rights for communities to buy a stake in new, commercial renewable electricity schemes; boosts our energy security and economic growth by making the most of North sea oil and gas reserves; and facilitates shale gas and geothermal development. This is a bold Bill, introduced by a far-sighted Administration A few moments ago, we debated some of the measures we will introduce to act on the road investment strategy—the exciting strategy I was delighted to be part of, alongside the Secretary of State for Transport, who is here, adding glamour and insight to our consideration today. He was its architect and under his stewardship it has come to pass. This is the most exciting road investment strategy for a generation, and this Bill makes the statutory changes necessary to deliver it. We have committed to Highways England remaining in the public sector. Let me repeat that this is not about privatisation; it is about a public sector organisation fit for purpose. We will not diminish the fundamental accountability to parliamentarians, which I am so keen will allow us to gauge, monitor and, if necessary, alter things over time, but without compromising the essential role of the new body to deliver the plans we have set in motion In addition, as the House knows, we have amended the legislation further to ensure better integration between local and national networks through route strategies. As has been celebrated throughout the House this evening, we have also committed to setting and reporting upon a cycling and walking investment strategy, acknowledging the strategic importance of those things for the first time. We have had more tributes tonight than a ’60s pop band for that change. In total, this paradigm shift to a longer-term vision for transport infrastructure will give the construction industry the certainty and confidence it needs to invest in people and skills for the future. That clear vision, with the confidence it breeds and the investment it will bring, is crucial to the health and well-being of our nation In planning we have a number of measures designed to help get Britain building. The Bill makes changes to speed up the approval of nationally significant infrastructure projects and to the discharge of planning conditions that will ensure planning applicants can get on and build without unnecessary delay. The small changes in the Bill will have an important cumulative impact: they will send a clear message to investors and developers that the steps to deliver these transformational schemes are as simple, sensible and straightforward as possible. We have responded to concerns and shared the draft statutory instrument on deemed discharge in advance. Our Land Registry reforms will enable proper record keeping and modern digital efficiency, with the aim of making dealings with property quicker, cheaper and easier. On zero-carbon homes, the “allowable solutions” approach is cost-effective and practical, and it has been welcomed by the Home Builders Federation, the UK Green Building Council and Federation of Master Builders. We have also introduced new legislation related to planning. The abolition of the Public Works Loans Board removes—
ParlaMint-GB_2015-01-26-commons.u456	Before my right hon. Friend leaves the issue of planning, may I ask him about new clauses 12 and 20, tabled by my right hon. Friend the Member for Arundel and South Downs (Nick Herbert)? Obviously, there was no possibility for a Minister to respond to the points he and I made on those clauses, but if the Minister has a moment to say a word or two on them, I am sure my constituents in the royal town of Sutton Coldfield would be grateful.
ParlaMint-GB_2015-01-26-commons.u457	I am delighted to amplify the remarks that I made in an earlier intervention and say that we do take very seriously the remarks made by my right hon. Friend and the amendments tabled by my right hon. Friend the Member for Arundel and South Downs (Nick Herbert). We will take the necessary steps to ensure that the spirit that underpinned those amendments is realised in respect of Government policy. I must say that my right hon. Friend the Member for Sutton Coldfield has been a doughty champion of the interests of the people in his constituency in this regard. He is right that development needs to enjoy community support, to be proportionate and, in my judgment, to inspire and to elevate. Is that too much to ask for in our age? I say that it is not The introduction of mayoral development orders will allow the Mayor of London to assist local authorities to regenerate London. Across the nation, these planning reforms will help kick-start a new era of construction that is fit for purpose Tonight, we have also debated energy. Some of the measures that we have introduced are designed to assist our current and future energy needs. We will take a lead in improving global transparency in the extractive sector by participating in the extractive industries transparency initiative. Our country has an enviable record on the regulation of extractive industries. We have listened carefully to concerns about new forms of extraction and have put in place additional measures to reassure Members across the House. The House will have seen tonight that, because we are sensitive to those concerns, because we are responsive to arguments, and because we listen and learn, we will take on board the perfectly proper considerations of those who are as determined as we are to ensure that these things are done safely and securely and in tune with local interests.
ParlaMint-GB_2015-01-26-commons.u458	As a Minister, my right hon. Friend has genuinely listened to the concerns of Members on both sides of the House. I wish to put on the record my thanks to the Government for taking on board some of the issues that I have raised, particularly in allowing the British Geological Survey to play a role, thereby ensuring closer, independent monitoring, which is very important for me in Fylde. Will he give me an assurance that this is not the end but a continuum of the process and that we will continue to see calls for rigorous on-the-ground inspections delivered by this Government?
ParlaMint-GB_2015-01-26-commons.u459	This is an iterative business. No one has made the case more forcefully for their constituents than my hon. Friend. I was pleased to visit Fylde with him to look at these matters in some detail. He has worked tirelessly throughout this Parliament to represent the views of his constituents and to improve shale gas regulation. I commit to working with him to ensure that we take further the matters that he has raised That determination means that we will issue statutory direction to the Environment Agency on a minimum of three months baseline monitoring—that was an issue raised by the shadow Front-Bench team when we debated the matter in Committee. We will publish information on chemicals that the agency requires operators to disclose; require operators to monitor and report fugitive emissions for each onshore hydraulic fracturing site; and issue statutory direction to the Health and Safety Executive to ensure independent well inspection and public reporting for each onshore oil and well. The industry has committed to produce an annual report of shale sites and an environmental impact assessment We will seek advice from the Committee on Climate Change on the likely impact on carbon budgets and report each carbon budget period on the conclusions reached as a result of the advice given. Making water companies statutory consultees in respect of planning applications for shale oil and gas development via secondary legislation in this Parliament, subject to consultation, will also form part of our determined effort to ensure that these things are done properly, safely and securely. We have introduced new legislation to help with the sharing of costs for connecting to the electricity distribution network and to help strengthen competition in the connections market This Bill has been broadly welcomed by Members across the House. As I said earlier, Opposition Front-Bench Members have scrutinised the Bill in a mature and measured way because they understand, as we do, that infrastructure investment is about not a single Government or a single party but the future of our nation. Of course there are debates to be had, differences to be aired and arguments to be made, and of course scrutiny should improve and enhance thinking, and that is precisely what has happened in relation to this Bill. I am grateful for the conciliatory approach to the scrutiny of this Bill. Even when we have disagreed, it has been in a considered way. I therefore thank the Opposition Front-Bench team—the hon. Members for Birmingham, Northfield (Richard Burden), for Rutherglen and Hamilton West (Tom Greatrex), and for City of Durham (Roberta Blackman-Woods)— for their challenge and understanding I wish to express my deepest thanks to my fellow Ministers, the Under-Secretary of State for Energy and Climate Change, my hon. Friend the Member for Hastings and Rye (Amber Rudd), and the Under-Secretary of State for Communities and Local Government, my hon. Friend the Member for Bristol West (Stephen Williams), for their constant hard work throughout Committee and again in the House today. That work is not just about what happens on the Floor of the House or in Committee; it is about the dialogue that takes place outside the Chamber to ensure that we get the provisions right, and my hon. Friends have played a full part in that dialogue with Members from all parts of the House During the passage of the Bill my colleagues and I have listened carefully, and where appropriate we have changed or added to its detailed provisions, but on its fundamental purpose we have stood firm, because we are absolutely convinced of the necessity of a step change in the way we approach infrastructural investment, its planning and delivery. This Government, with this Bill, confirm their courage and their willingness to put long-term thinking before short-term expediency. This Government, with this Bill, corroborate their confidence and their confident vision of a bold, ambitious nation Governments are of two types: timid and reactive, or bold and proactive. Politics needs to be confident. In the words of the great Conservative philosopher Edmund Burke—the Opposition will be delighted that I am ending with Edmund Burke— “When the leaders choose to make themselves bidders at an auction of popularity, their talents, in the construction of the state, will be of no service. They will become flatterers instead of legislators; the instruments, not the guides, of the people.” This Government are ambitious not for themselves, but for Britain; not just for now, but for the future; not for piecemeal advantage, but for the people’s well-being, for the common good, in the national interest, driven by virtue, gauged by our determined successes, inspired by the people’s will. This is a Bill of which to be proud, a Minister honoured to articulate its strength, and a Government marking their place in history.
ParlaMint-GB_2015-01-26-commons.u460	Toward the end of his remarks, the Minister praised members of the Bill Committee and adopted a consensual approach, so perhaps I shall start in the same vein. I, too, thank all those who have contributed to debate on the Bill as it has gone through its various stages. In particular, I add my thanks to Labour’s team in the other place for the improvements they sought, and in some cases secured, and to my hon. Friends the Members for Rutherglen and Hamilton West (Tom Greatrex) and for City of Durham (Roberta Blackman-Woods), with whom I led for the Opposition in Committee and again today I also thank all members of the Committee on both sides who scrutinised the Bill, but two in particular: my right hon. Friend the Member for Greenwich and Woolwich (Mr Raynsford) and my hon. Friend the Member for Ellesmere Port and Neston (Andrew Miller). For both, this will have been their last Bill Committee, I suspect, unless they do something dreadfully wrong in the next few weeks. Both have given great service to the House. In fact, when we were both new in this place, the first Bill Committee I served on was also my hon. Friend’s first Bill Committee, so it is great that we have shared his last Finally, I thank the Minister and his colleagues, and all those who have contributed to today’s debate. We all know that infrastructure is critical to the UK’s future, from affordable energy in our homes to a modern communications system, or a transport system connecting people to jobs, opportunities and each other. Good infrastructure is vital to our economy and our quality of life. That is why it was so important to give the Bill the thorough scrutiny that it deserved. Given its wide-ranging nature, it should have had more than one day for Report and Third Reading; the way debates today have been truncated underlines that fact It is of course even more wide-ranging than what the Library briefing described as a “portmanteau Bill”, when it was introduced in this place. The Bill has had a new long title, and it has two more parts and many more clauses than when it was introduced. It ranges from the abolition of the somewhat mysterious Public Works Loan Board commissioners to invasive non-native species to the British Transport police, and everything in between Constructive criticism has strengthened the Bill, ensuring that a rushed and badly drafted reform of the electronic communications code governing mobile telephone infrastructure will be rethought. We have new requirements to support apprenticeships and training in road construction, and we have a walking and cycling strategy which is welcome and must be built on. Important actions that will follow from the Bill include the Wood review, whose implementation will be vital. If we needed reminding of that, the current situation in the North sea is such a reminder. In a victory for wildlife groups, communities in Devon and Scotland and the Opposition, we have protected the European beaver For making some of those changes and changes in other areas, including some of the roads clauses, I pay tribute to the Minister for the way that he has approached these matters. We still disagree on some key points, particularly on converting the Highways Agency into a Government-owned company, but he understands the need for scrutiny of Bills and he has made changes to the Bill in response to issues that we and others have raised. That shows how legislation can be approached. Sadly, that is the part of proceedings in this place that the public all too seldom see However, as we approached today’s debate, some things went badly wrong, starting with the timetable and the fact that we had only one day on Report. We have seen far too many last-minute changes to the Bill and things being tagged on without time for parliamentary scrutiny, despite the Minister’s best efforts. We saw it in the rushed electronic communications code, which ended up pleasing nobody and had to be rethought. It was not in the Bill in the other place; it came in more than halfway through the Committee stage and had to be withdrawn today. It was not necessary for that to happen. The issue should have been approached in a more measured way In relation to new regulations regarding planning and pubs, we tabled a thought-through amendment, but the response was a last-minute rushed statement to try to head off that amendment, instead of Ministers looking at what was being said, responding to that and enshrining it in the Bill. Most notable today has been the issue of shale gas extraction. I am pleased that the Government accepted our new clause 19, which introduces 13 conditions as vital protection if shale gas extraction is to be taken forward. The matter should not have had to be resolved today at the last minute with the Government finally accepting an Opposition amendment, presumably because they thought they would lose unless they did so. These issues have been raised in Committee and elsewhere, and they could have been resolved elsewhere. My hon. Friend the Member for Rutherglen and Hamilton West has been raising them for three years. We now know that new clause 19 has been accepted and I welcome that I have to say to the Government that one or two comments made today suggested that although new clause 19 was being accepted today, when the Bill went back to the other place, there could be attempts to tinker with it—take a bit out here, put a bit in there. If the Government go down that road, they will be asking for trouble. That new clause was thought through. It is a package, not a pick and mix. I hope the Government will respect that as we go forward As the Opposition have continued to state throughout proceedings on the Bill, we face major infrastructure challenges—a population rising to 73 million in just 20 years’ time, the challenges of energy security, a chronic shortage of affordable housing, airports, roads and railways all straining under demand, and the threat that climate change presents to us all. There is a cross-party consensus on the need to address these issues, but all too often decisions are not taken, public support is not achieved and projects are not delivered We may be one of the world’s leading economies but we lag behind other countries that take a more strategic and long-term approach to infrastructure investment. As the noble Lord Adonis said last week, infrastructure investment “will not happen on the scale required unless it is better planned, better led and better financed.”—[Official Report, House of Lords, 22 January 2015; Vol. 758, c. 1392.] During the Committee stage, the Institute of Government published a booklet called “The Political Economy of Infrastructure in the UK”, which concluded that we need to change the “institutional architecture” for infrastructure decision making. Labour Members completely agree. That is why my hon. Friend the Member for City of Durham called for this House to back the proposal by Sir John Armitt, chair of the Olympic Delivery Authority, for a national infrastructure commission that would look three decades ahead and consult across all sectors to provide an evidence-based assessment of infrastructure priorities in the UK. Parliament would be able to vote on these, and Governments would be held accountable for delivering them For me, the debates on this Bill have crystallised why that kind of evidence-based approach is needed so badly, from controversy about the priorities in the road investment strategy, to disputes about rushed electronic communications regulations, to the need for robust environmental and regulatory safeguards in relation to energy security. We need a more rigorous and independent look at infrastructure needs in energy, transport, telecoms and many other sectors. It is a travesty that the Government continue to oppose such a common-sense reform, which is backed by the LSE Growth Commission, EEF, the Institution of Civil Engineers, 89% of businesses surveyed by the CBI, and many more. By establishing that commission, the Bill could have set the UK on course for the challenges of the 21st century, but it has failed to do so. The repeated failure of the Government to address these issues in a sufficiently planned-out way is not good enough This could all have been very different. With a shared national purpose, long-term planning, proper public engagement and cross-party support for our world-leading engineering and construction sectors, we can deliver the improvements our country’s infrastructure needs. The 2012 Olympics were a model of that kind of approach. We urgently need the same framework for decision making and planning across national infrastructure. This Bill could have delivered that, but it has not done so, and we have a Government who are not going to do so. That is why it will take a change of Government in May to deliver the change that is needed.
ParlaMint-GB_2015-01-26-commons.u461	The development of an electronic communications code in part 7 has been closely followed in my constituency, because all too often the standard of infrastructure in the City of London and surrounding areas as regards mobile telephone coverage and broadband lags behind that which commercial tenants nowadays expect to find in a world-leading business district. It is vitally important that this situation be improved if London is to keep up with its global rivals in established sectors and in the emerging tech industries. In particular, we cannot allow the business heart of the capital to be left behind in state-of-the-art technology such as fibre optics and 4G—and eventually 5G when that arrives New rights to upgrade and share communications infrastructure could play a very important part in improving that situation. Could we introduce a simpler procedure for landowners to require the removal or repositioning of equipment, where necessary, in order to enable redevelopment to proceed? That might sound counter-intuitive, but at present, especially in areas such as the City of London with very high rates of development, there is a strong incentive for landowners to resist the installation of equipment such as telephone masts in the first place if they fear that the presence of that equipment will obstruct future redevelopment of the site I entirely understand the reaction by the shadow Minister, the hon. Member for Rutherglen and Hamilton West (Tom Greatrex), to the late tabling of amendments dealing with the communications code, now removed by amendment 91, and the fact that further time is required to consider the new code. That is necessary; let us get the code right if we can. It is also important to ensure that the code strikes an appropriate balance between landowners and network operators, because only by so doing will it be effective in bringing about the expanded coverage that we all so desperately require. I hope, however, that the process will not take too long, and that we can move forward swiftly with the introduction of a new code, having taken account of the views expressed by industry representatives.
ParlaMint-GB_2015-01-26-commons.u462	Just for clarity, the Government will move ahead with the reform of the communications code. We will begin a full consultation in the next few weeks, with a view to bringing forward draft legislation, for exactly the reason that my hon. Friend gave: to ensure that we have the agreement of all those who are most directly involved or affected and to ensure that there is agreement across the House.
ParlaMint-GB_2015-01-26-commons.u463	I am very encouraged by the Minister’s words and I know that that will be true of many of my commercial constituents, as it were I ask the Government to consider two other things as this important work continues. The first is the position of infrastructure that has been installed before the new code comes into force, whenever that is. As I understand it, the new rules will not apply automatically to such dated infrastructure. Although I understand the reluctance of the Government to interfere in pre-existing legal relationships, I suggest that it would be beneficial to find some means of encouraging existing infrastructure to be brought under the new code as swiftly as possible Secondly, there are numerous cases in the City of London in which lengthy wrangling between freeholders and network operators over the terms and conditions for the grant of the necessary consents has delayed the installation of mobile masts or broadband facilities by several months. In the most serious instances, that has prevented business tenants from taking possession of new offices on time or forced businesses to occupy new office space with no functioning communications. Naturally, this is principally a matter of negotiation between private parties, and I would not expect any Government to interfere in such issues, so there are rightly limits to the extent to which they can furnish a solution However, when the Bill is enacted, there will be an opportunity under the code for the relevant industry bodies, which have been referred to, to encourage the adoption of model terms and conditions to deal with the issue. Although that is not a complete answer, it would be a constructive step and I hope that it is taken. The City of London corporation has held positive meetings with my right hon. Friend the Secretary of State for Culture, Media and Sport on the matter and will be looking to provide further support where possible, potentially in conjunction with the Greater London authority I have spoken before in this House about the need to ensure that adequate investment in the electricity distribution network can be made to meet tomorrow’s demand for new connections, without imposing unreasonable costs on today’s consumers. This is not the occasion to delve into the intricacies of the matter. Suffice it to say that the need for action is increasingly pressing. In relation to my constituency, I am aware that the Government are working with interested parties such as Ofgem, UK Power Networks, the Greater London authority and the City of London corporation with a view to developing new models that might enable the necessary upfront investment to be delivered, with the costs being recouped from customers over time as new connections are made. It is not yet clear whether the amendments that were made in Committee to extend the second-comer rules to independent connection providers will prove directly relevant to that work, but if so, they are to be welcomed In conclusion, I commend the Government for the attention they have given to this important matter in part 7. I urge them to continue that focus to ensure that we get it right. As with telecommunications as a whole, this is a crucial, bread-and-butter issue when it comes to London’s future competitiveness as a commercial centre.
ParlaMint-GB_2015-01-26-commons.u464	Having heard the honeyed tones in which the Minister opened the debate for the Government, I feel a bit guilty about having to say that I still have severe reservations about parts of the Bill Not all the Bill applies to Scotland, but the main part of it that does is on energy. It is a great shame, as the hon. Member for Birmingham, Northfield (Richard Burden) said, that we had so little time to debate those issues today. We had serious concerns about some of them, but we were not given the opportunity to debate them fully. However, that is the way it goes. On Second Reading, I referred to two issues with fracking in Scotland: drilling under people’s homes without consent and the complexities in Scots law in relation to that. I am pleased that the Government have moved on those issues. I welcome the Government amendments removing Scotland, but I remain concerned that they have not taken the obvious action of moving licensing powers from the UK Parliament to the Scottish Government All powers relating to fracking lie with the Scottish Government, apart from the crucial power of licensing. The UK Government say that they intend to move those powers under the Smith commission proposals after the next general election, but with the best will in the world the process of getting that Bill through both Houses will take some time, and it will be some considerable time before the powers are with the Scottish Parliament.
ParlaMint-GB_2015-01-26-commons.u465	Given what the hon. Gentleman has said and new clause 2 on licensing, does he agree, as I suggested earlier to the Under-Secretary of State for Energy and Climate Change, that it would be sensible for the Government to stop the 14th licensing round in Scotland so that any new licenses may be granted after the powers have been devolved, and a Scottish Government of whatever complexion can make those decisions?
