ParlaMint-GB_2017-11-21-commons.u1	I call Mr Chris Bryant. Not here.
ParlaMint-GB_2017-11-21-commons.u454	There is genuine concern across this House about this matter, because it cannot be right that people cannot raise a claim on EU law “retrospectively”, as the hon. Lady puts it. My right hon. Friend the Member for Chesham and Amersham (Mrs Gillan) has raised this problem, so I hope the Government will examine it and come up with proposals that will satisfy this concern from right across the House.
ParlaMint-GB_2017-11-21-commons.u455	I thank the right hon. Lady for that intervention. Often the simplest sentences raise the biggest alarm bells, because things can be missed if we blink, and substantial rights are engaged in this. The Brexit Secretary said in his speech to UBS last week that the UK would remain “in all the EU regulators and agencies” during the transitional period. That leaves us with a further conundrum, because transitional rights are mentioned in the European Commission’s negotiating paper and it says that the ECJ will continue to be able to decide, presumably on Francovich, during any transitional period. The issue of the transitional period is stretching the elastic limits of the Conservative party and of the Cabinet at the moment in terms of which wing of the party is going to succeed, but from the point of view of economic stability and job stability in this country I certainly want to see a transitional period. This Bill raises questions about the loss of those rights if there should be, as we all hope there will be, a transitional period The problem is that those rights start to erode as exit day looms, because the incentive to follow the EU directives will be diminished for the Government as they will be let off the hook, given that there will be no retroactive right to sue under Francovich. Schedule 1 therefore fails the basic test of fairness. For example, if the Government are in breach of an air quality directive, perish the thought, and people are suffering a substantial loss as a result, only those who start legal proceedings before exit day would be entitled to those damages. My amendment 139 would ensure that the right to sue the state and to obtain a remedy under Francovich is still available for those who have suffered that loss or damage before the UK exits the EU. This would allow the victims of a Government failure to uphold their rights that took place before exit to obtain those damages. It would bring fairness to this process, as well as, crucially, legal continuity and legal certainty. Brexit must not be used as an excuse to abolish citizens’ rights and protections under the law. In the referendum my constituents did not vote to reduce their rights, and I hope the Committee will be able to test the matter this evening.
ParlaMint-GB_2017-11-21-commons.u456	I have considerable sympathy with the points just made by the hon. Member for Wakefield (Mary Creagh). Exactly at which point to create which cut-off when dealing with Francovich is a knotty issue, but the idea that people whose rights already exist and who are damaged before exit should be prohibited from pursuing causes that they would have been able pursue now had they had the wit to start them now is pretty offensive to natural justice, and I hope that those on the Treasury Bench will come forward with some adjustment to paragraph 4 of schedule 1 I mainly wish to dwell on the two other issues that have been raised in this interesting debate, which has been much more of a genuine Committee stage debate than some of the debates, or some parts of them, that we have had in the previous two days’ consideration. The first is on the charter of fundamental rights, where I thought the argument was largely being won by those who argued that it was not productive to have the general principles in that charter brought into UK law, provided that we could satisfy ourselves that case law and statute between them would cover off all the material and substantive rights contained within the charter. I was therefore extremely heartened to hear the Minister of State, Ministry of Justice, my hon. Friend the Member for Esher and Walton (Dominic Raab), say that there was going to be a full analysis, which I hope will be sufficient to persuade us all that all the rights are covered off in some other way. If they are, the points that were made about the dangers of judicial activism, which is positively invited by the charter of fundamental rights, would outweigh any advantage to the charter’s incorporation Before I come to the main point I want to make about paragraph 3 of schedule 1, I wish to observe, as a slight qualification to some of the things that have been said in Committee, that an element of judicial activism will not only be made possible but actually be required by the Bill, because it refers repeatedly to retained principles and it is impossible for judges to engage in the application of principles without their engaging in judicial activism that goes beyond simply reading the plain face of statutes and the like This is all a very grey area. With that in mind, I come to amendment 10, tabled by my right hon. and learned Friend the Member for Beaconsfield (Mr Grieve), and paragraph 3 of schedule 1. His amendment refers to paragraphs 1 to 3, but in my view it refers mainly to paragraph 3. There is currently a great oddity in the way the Bill is cast. I very much hope that not too long from now my hon. and learned Friend the Solicitor General will come to the Dispatch Box and resolve this problem, but it is important to set out the nature of the problem Clause 5(2) clearly establishes the principle of the supremacy of EU law so far as the past is concerned. It spells it out in awesome terms, by including the “disapplication or quashing of any enactment or rule of law”— if that phrase has any meaning— “passed or made before exit day.” Clause 6(3)(a), which we discussed on a previous day, makes it entirely clear, at least in relation to the ordinary operation of the lower courts—my right hon. and learned Friend the Member for Beaconsfield and I are still discussing with Ministers on the Treasury Bench the vexed question of the Supreme Court—that not only retained case law but “any retained general principles of EU law” are to be applied by the courts It is therefore a strange state of affairs that if we look at schedule 1, we discover that no court or tribunal will be able do the very things that the combination of clauses 5(2) and 6(3) require. No court or tribunal will be able to apply the general principles of EU law to quash or be supreme over any existing UK law. We can have a Bill that says one thing or we can have a Bill that says the opposite, but we cannot properly have a Bill that says in one part of it one thing and in another part the opposite of that thing, so some change is required. That much is, I think, simply a matter of analytical fact My preference, which I hope the Solicitor General is going to reflect in his remarks, is for a change of the kind that has come up in various exchanges this afternoon. It is considerably more modest than the rather uncharacteristically complete, sweeping amendment tabled by my right hon. and learned Friend the Member for Beaconsfield. I would simply amend paragraph 3(2) of schedule 1 in such a way as to ensure that it refers to general principles of EU law other than retained principles. At that point, it seems to me, rationality would re-enter the scene, because we would then be saying that after exit day a court in the UK could not use later principles developed by the CJEU—or indeed, while we are at it, any charters or other documents produced by the EU—to overrule English statute, which would of course be a natural and proper consequence of our leaving the EU.
ParlaMint-GB_2017-11-21-commons.u457	For the sake of the record, I would be grateful to my right hon. Friend—I nearly said “learned” because he is doing such a great job—if he also looked at paragraph 5, which, in terms of interpretation, does relate to schedule 1 as well, and so cannot be left out.
ParlaMint-GB_2017-11-21-commons.u458	Oddly enough, I was going to say that, so I will not do so now. I agree with that. While we are at it, I hope that the Solicitor General will also tell us that paragraph 3(1) of schedule 1 will be similarly adjusted, because, clearly, we need the same principle to apply to a private right of action as applies to the quashing of an enactment. Provided that those changes are made, I think that the basic articulation of clause 5 and schedule 1, unlike clause 6, is in reasonably good shape and therefore I hope that, as well as the very splendid offer of a full analysis of the rights, we will get a very clear statement from the Minister about the kind of amendments that will be brought forward on Report. That would certainly make me more than willing to support the Government tonight.
ParlaMint-GB_2017-11-21-commons.u459	I rise to speak in support of amendment 46 in the name of my right hon. Friend the Leader of the Opposition; amendment 8 in the name of the right hon. and learned Member for Beaconsfield (Mr Grieve); and new clause 16 in the name of my hon. Friend the Member for Nottingham East (Mr Leslie) The charter of fundamental rights is the most up to date, and therefore, in many respects, the most fit for purpose framework for the protection of human rights that UK citizens currently enjoy. It is broad based and comprehensive in its coverage but also specific in many aspects of its scope. Although the charter of fundamental rights draws together many rights and principles that are to be found elsewhere in legislation and case law, it also augments the legislation that predated it, and in doing so provides additional rights and protections to UK citizens that are not found anywhere else. It is not simply an amalgam of rights legislation that exists elsewhere in UK law, as the Government would have us believe The history of human rights legislation is cumulative. It has developed over centuries. Since Magna Carta, our understanding of the inalienable rights of all human beings has been growing, expanding and evolving, and legislation has been fought for and established in response. The charter of fundamental rights is the clearest articulation that we have of a 21st century commitment to human rights. It was developed painstakingly and collaboratively by all EU member states prior to its ratification in the Lisbon treaty, and it is therefore also a clear statement of our shared values and the aspects of our common humanity that bind us together and underpin the respect that we have for each other both within and across national borders The charter of fundamental rights is a deeply practical framework, which UK citizens rely on for protection every day. Article 1 enshrines human dignity as a right. Few would disagree that human dignity is a right, but the charter of fundamental rights is the only place in legislation that enshrines that right, affording the most basic protection to people in receipt of social care or medical treatment, among many other circumstances Article 8, the protection of personal data, is a new 21st century right, which provides a foundation of principle for the development of further specific legislation to protect the privacy of individuals and to regulate the use of data. Indeed, the right hon. Member for Haltemprice and Howden (Mr Davis) made use of that provision when making his case against the Data Retention and Investigatory Powers Act 2014, and I would therefore hope that he has no wish for this provision to be rescinded and for others to be denied this opportunity Article 21(1) is of particular importance for LGBT people as it is the only provision in international law ratified by the UK that expressly protects people from discrimination on the basis of their sexual orientation. It adds a layer of protection over and above the provisions contained in the Equality Act 2010 and the Human Rights Act, and that protection would therefore be diminished without it Article 28, the right of collective bargaining and action, establishes the right of workers and employers to negotiate and conclude collective agreements and to take collective action to defend their interests, including strike action. Workers can also rely on the charter to challenge laws that breach fundamental rights. For example, individuals working in the Sudanese embassy in the UK used the charter to successfully enforce their employment rights in the UK courts. There are countless such examples and workers would lose such powers if the charter no longer applied in the UK. This Government have already proved their commitment to weakening workers’ rights in their pernicious Trade Union Act 2016, so I am afraid we can have no confidence that the protection of such rights can be taken on trust for the future There are many other provisions that are unique to the charter of fundamental rights and without which the human rights protections afforded to UK citizens will be weakened. The charter applies to EU law, and the Government say that the Bill places all EU law on the UK statue book, but if the Government have their will, and the charter is not part of domestic law after exit day, the important additional rights it affords the British public will be lost. It is therefore simply not the case that this Bill is the simple cut-and-paste job the Government would have us believe it is.
ParlaMint-GB_2017-11-21-commons.u460	Stronger children’s rights protections exist in the devolved nations, and Ministers in Wales are statutorily obliged to have due regard to children’s rights, as expressed in the UN convention on the rights of the child, when exercising any of their functions, unlike in England. Does the hon. Lady share my concern that the Bill as it stands will remove the basic children’s rights safeguards offered by the EU charter of fundamental rights and prevent devolved nations from upholding the present arrangements and commitments to children’s rights into the future?
ParlaMint-GB_2017-11-21-commons.u461	I thank the hon. Lady for her intervention, and she cites yet another powerful example of the extension of rights that is afforded by the charter to all our constituents, including those in the devolved nations I want to say a word now about the views of my constituents and to represent their views. My constituents voted overwhelmingly—by more than 75%—to remain in the EU. They did so for many reasons—some very practical, and others deeply principled—but in all of the many conversations I have had with my constituents since the referendum, the word they have used most often is “values”. My constituents voted to remain in the EU because the EU represents their values of tolerance, diversity and internationalism, and there is no clearer articulation of these values than the charter of fundamental rights Many of my constituents are deeply distressed by the EU referendum result, and they have been looking to the Government for comfort and for a negotiated Brexit deal based on the values we share with the EU. Adopting the charter of fundamental rights into UK law would send a strong signal about a continued basis of shared values with the EU and a commitment to uphold the highest standards of human rights protections as the foundation for any future trade deal with the EU. Without this commitment and this level of protection, the Government demonstrate once again that they have no commitment to high standards and that the UK’s relationship with the rest of the world risks being based on a race to the bottom in terms of protections for UK citizens.
ParlaMint-GB_2017-11-21-commons.u462	My constituents voted overwhelmingly, by 67%, to leave—there were variations around the country. I am listening carefully to the hon. Lady’s speech, but is she seriously suggesting that the main reason most of her 75% voted to remain was the charter of fundamental rights?
ParlaMint-GB_2017-11-21-commons.u463	I thank the right hon. Gentleman for his intervention. That is not my contention; my contention is that the charter of fundamental rights is a very clear articulation of one of the many reasons why my constituents voted so overwhelmingly for remain, and I seek to represent their views today, as I am sure he seeks to represent the views of his constituents in this important debate The charter is the most up-to-date human rights framework from which UK citizens benefit, and it is incomprehensible that the Government should not want to commit to the same high standard as the basis for all future human rights protections for UK citizens post Brexit and as a basis for continuing to develop UK human rights law. That they will not do so is revealing and deeply concerning My constituents did not vote for Brexit. But, above all, they did not vote for Brexit on any terms. They seek reassurance from the Government, and they do not find it in this deeply flawed Bill. It is essential that UK citizens can continue to rely on the highest standards of human rights protection post Brexit. I will continue to fight for that, and I will vote for these amendments.
ParlaMint-GB_2017-11-21-commons.u464	It is a pleasure to follow the hon. Member for Dulwich and West Norwood (Helen Hayes). I agree with her that human rights law is a developing area of law, but I do not agree that this Government have any intention of trying to undermine it We have heard a very interesting exposition of why the charter should not be translated into UK law. I accept that there are flaws with amendment 8, but I want to speak to it none the less because it is quite clear that, as I believe the Government have now accepted, the third category of rights needs some form of protection and incorporation, if it is not already protected The development of human rights law started out in the 1920s with the Geneva conventions. Those conventions were signed by a limited number of countries and were basically the fundamental guarantees of the rights of citizens when all law and order has broken down and they are facing the worst circumstances of war and chaos. That is the true meaning of the word “chaos”, I would say to my hon. Friend the Member for Fareham (Suella Fernandes). The law has moved on and changed, and countries that were never signatories to those conventions are now subject to their requirements because they are the basis of the minimum rights that should be guaranteed in any civilisation. Countries that fail to guarantee those rights get prosecuted under the International Court of Justice in The Hague. In future we will no doubt see actions on Syria, and other actions. The 1950 convention that we originally signed, which forms the basis of our Human Rights Act, has therefore moved on, and there are rights contained in the charter that are not in the Human Rights Act.
ParlaMint-GB_2017-11-21-commons.u465	The extra rights, or third-category rights, in the charter seem to be predominantly matters of social policy such as healthcare and schooling. While we might all agree that those things should happen, they should not be rights in a charter but matters of policy for Government to determine. That is why I take exception to my hon. Friend’s argument. This is not really about rights but about policy.
ParlaMint-GB_2017-11-21-commons.u466	I am afraid that the Walker case demonstrates exactly the opposite. Somebody was discriminated against because they were in a same-sex marriage, and the charter guaranteed the partner’s right to the pension. That was not a matter of social policy; it was enforced because of the charter. That is why this debate is incredibly important. There will potentially be some areas that are a matter of policy, but it is important for the Government to go away and look at the amendments because serious points are being made that will affect people’s everyday lives. This is not a debate on principles that do not matter; these are really important, fundamental issues that, as a democracy, we should be looking at in a sensible and reflective way.
ParlaMint-GB_2017-11-21-commons.u467	I entirely agree that there are anti-discriminatory rights contained in the charter. However, does my hon. Friend agree that the issue which is not yet resolved, but which the Government’s analysis may resolve, is whether those rights are already encoded in the case law and the general principles emanating from that case law, and therefore do not need to be in a separate charter for our purposes, or are not yet in the law and therefore would need to be in the charter?
ParlaMint-GB_2017-11-21-commons.u468	I do accept that that needs to be looked at. The problem with the sovereignty of Parliament is that we always get to the point where the Parliaments of the future can change and erode these rights. I agree with my right hon. Friend’s earlier suggestion that in due course the Human Rights Act ought to be amended to include the broader category of rights. We are seeing an evolution and a change in our rights, and it is important to reflect that in that Act.
ParlaMint-GB_2017-11-21-commons.u469	The hon. Lady is making some excellent points. Several of her Conservative colleagues have argued that some of the rights contained in the charter are otiose—one of them being, perhaps, the right not to be subjected to forced expulsion. That is, thankfully, not something that we have seen in this country, but it was a persistent feature in 20th century Europe. We are now at a stage where the Home Office is sending out letters to EU nationals threatening them with deportation. Although some of those individuals may yet have recourse to their rights under the European charter, they will not be able to exercise them after we leave.
ParlaMint-GB_2017-11-21-commons.u470	The hon. Lady does my colleagues a great disservice. The rights that my colleagues described as otiose were, for example, the right to petition the European Parliament or the right to stand in EU Parliament elections. I think she is also being unfair to the Home Office, which has made it very clear that the letters to which she refers were sent out by mistake and did not accurately reflect the position Nothing that the hon. Lady has said takes away from the point that the charter of fundamental rights contains a third category of rights that may not have protection. I am encouraged that the Government are going to undertake the exercise that has been mentioned, which they need to do, before Report. It is important that the Committee takes very informed decisions about where the gaps are. For that reason, I very much support amendment 10.
ParlaMint-GB_2017-11-21-commons.u471	This situation has evolved over a number of years, and it continues to do so. I do not want to introduce too much of a partisan element into the debate, but I want to give an example of how the situation has changed over the past few years. When we debated the Lisbon treaty in this House in 2008—something that I was actively involved in at the time—the policy of the then Labour Government was that the charter should not be justiciable in the United Kingdom’s courts. In fact, the then Government were at great pains to stress—
ParlaMint-GB_2017-11-21-commons.u472	Is this an intervention?
ParlaMint-GB_2017-11-21-commons.u473	It is. The then Labour Government said that they had a protocol that specifically ruled that out. That is how much things have changed.
ParlaMint-GB_2017-11-21-commons.u474	There has been much misrepresentation in the House of the protocol, but it is quite clear what it said: the rights contained in the charter were existing rights. In other words, the charter did not create any new rights that had not previously existed. The position of those on the Treasury Bench is that the rights are of long standing, and they apply to UK citizens. I am very keen to ensure that where those rights may not be adequately protected, the gaps are filled. But to say that protocol 30 was an opt-out, which is how it has been portrayed in the debate, is, quite frankly, inaccurate and not right.
ParlaMint-GB_2017-11-21-commons.u475	The hon. Lady is being generous in giving way. Can she expand on how she sees us getting from our current position to the point at which the Human Rights Act includes the rights that she thinks it should include? What sort of transition period does she envisage, and how will the rights be protected in the interim?
ParlaMint-GB_2017-11-21-commons.u476	I very much hope that those on the Front Bench will go away and undertake their promised exercise, from which we will be able to see exactly where the gaps are and where the third category of rights may fall. It seems to me ridiculous that we are going to bring over 12,000 regulations covering everything from fridges to bananas, but we are not going to deal with some of the most fundamental and basic things that guarantee citizens certain levels of protection. That is the fundamental principle, and it is why I support both amendments 10 and 8.
ParlaMint-GB_2017-11-21-commons.u477	Does my hon. Friend agree that it is really important, given the many concerns about the Bill, that we make it absolutely clear, as she quite rightly points out, that we have a very proud history on human rights in this Parliament and in this country? The idea that this Government are in some way taking away rights from people is simply not true, and it is very important for all of us to report this, especially to our constituents, with great accuracy.
ParlaMint-GB_2017-11-21-commons.u478	I entirely agree with my right hon. Friend. In fact, I could not have put it better myself. In that regard, I adopt everything she says This is important because we have been publicly vilified for tabling amendments to the Bill. Debates such as this illustrate very dramatically to our constituents why it is so important to undertake a democratic process, which sometimes involves tabling probing amendments—I know amendment 8 is such an amendment—so that we can look at, consider and debate these issues and, I hope, come to consensus across the House. I know other Members wish to speak. These are incredibly important matters, and I am waiting to hear what Ministers say about how they will approach them.
ParlaMint-GB_2017-11-21-commons.u479	I thank the hon. Member for Eddisbury (Antoinette Sandbach) for her speech, which showed her great experience and knowledge from her many years practising in the legal profession. I have heard many other Members from both sides of the Committee who have eminent knowledge in this area—they have spoken in this and previous sittings and will speak in others—not the least of whom is my right hon. and learned Friend the Member for Holborn and St Pancras (Keir Starmer), who is in his place. He studied in the school of law at the University of Leeds; I studied in the school of computing at the University of Leeds, and I hope to apply that knowledge later in my contribution Opposition Members are looking to the Bill to ensure that retained EU law within UK law keeps us aligned with EU rights and regulations. I am going to outline my concerns about the Government’s decision to exclude certain elements of EU law through the EU withdrawal process. For instance, it makes no sense whatsoever to me to exclude from that process the charter of fundamental rights. Where is the analysis of the effects of removing the charter from our law? What safeguards are in place to ensure that we are not creating a legal chasm that has unknowable effects on individuals and businesses Article 8 of the charter covers the protection of personal data—the right to privacy and the right to data protection, which serve as the foundation of the EU’s data protection law. Getting rid of article 8 could prevent businesses from building customer profiles across the EU, which will directly harm the ability of small companies to compete when selling their products on social media platforms, an area in which the UK has seen huge growth. I am very pleased that my right hon. Friend the Member for East Ham (Stephen Timms) has tabled amendment 151 on this matter. The charter is fundamental to our response to the Government’s failures on clean air, an issue that is engulfing many cities across the UK, not least my city of Leeds. Article 37 ensures that people have recourse to the courts when there are environmental breaches. In fact, the UK has been sent a final warning that it must comply with the EU air pollution limits for nitrogen dioxide or they will face a case at the European Court of Justice. In the Environmental Audit Committee, on which I sit, the Secretary of State for Environment, Food and Rural Affairs could not articulate what powers and mandate a new UK environment protection agency would have to replicate the loss of article 37. He said that “we will consult on using the new freedoms we have to establish a new, world-leading body to give the environment a voice and hold the powerful to account. It will be independent of government, able to speak its mind freely.… We will consult widely on the precise functions, remit and powers of the new body”— no definition there. He also said: “We also need to ensure that environmental enforcement and policy-making is underpinned by a clear set of principles”— no definition of those principles. How can we be satisfied with an EU withdrawal process that does not provide for our leaders to be accountable for their environment failures? My constituents voted overwhelmingly to remain in the EU and do not expect to lose the rights provided by the charter of fundamental rights Many of those rights, as has been pointed out, are well established in UK law, but many others are new rights that have been introduced since our membership of the EU and the signing of the Lisbon treaty. Will the Government argue for each of those rights in turn in the House, or are we to take it on trust that they will be retained and that we will continue to enjoy them post-exit day? Attempting to scrap the charter is cowardly and speaks to the suspicions of people up and down the country that the Government are not working for them but instead working for the hardest possible Brexit.
ParlaMint-GB_2017-11-21-commons.u480	There have been a number of powerful speeches from Members on both sides of the Committee on this important issue. I shall be as brief as I can, but I want to begin by picking up the point made by my hon. Friend the Member for Eddisbury (Antoinette Sandbach). This is what we are supposed to be doing in this House. This is about proper parliamentary scrutiny. I do not care about the views of writers of newspaper headlines. If any one of us stands up and seeks to scrutinise the Bill to improve it, we are doing our duty by our constituents. Anyone who thinks that doing so is somehow opposing either the Bill or the wishes of the electorate has precious little knowledge of—or, even worse, no respect for—our parliamentary processes In an endeavour to seek to improve the Bill and assist the Government, I supported a number of amendments tabled by my right hon. and learned Friend the Member for Beaconsfield (Mr Grieve) and others, and I stand by that. I hope—I get the impression from the spirit of what has been said—that the Government recognise those issues and will find a means to take them forward constructively. That is in everyone’s good interests, but I want to reinforce as swiftly as possible the significance of that. The Government’s position in relation to the protection of human rights has been grossly mischaracterised by some Opposition Members. That does the debate no good. I do not believe for a second that it is the Government’s intention to diminish rights protection. Equally, it is important that we get right the way in which that is protected. I hope that my hon. and learned Friend the Solicitor General will reflect on that I particularly want to refer to Francovich litigation, because this is a classic case of making sure that we do not inadvertently do injustice to people as we take necessary measures in the Bill to incorporate existing European law into our own. No one has a problem with that, but it is not right to deny people the ability to seek effective remedy for a course of action that arises under retained law. The whole point of having sensible limitation Acts is to prevent people from being denied a remedy with the passage of time when they have done nothing to deserve that. We need a bit more clarity—for example, if there is a pre-existing right to a course of action that is available until the moment we leave the European Union, it ought to be possible for someone, once they have become aware of that course of action, to pursue it through our courts.
ParlaMint-GB_2017-11-21-commons.u481	I agree entirely with my hon. Friend. While the Government have made an argument that there is a problem because of the international law aspect in such a piece of litigation going all the way to the European Court of Justice, there can be no argument that the same rules that applied when we were in the EU should apply to any such piece of litigation, even if the end-stop is our own Supreme Court. It is perfectly easy to do, and the Bill has to be altered to allow that to happen.
ParlaMint-GB_2017-11-21-commons.u482	The case that my right hon. and learned Friend makes is completely unarguable. There is no answer to that thus far from the Government, and the only answer is to change and improve the Bill. To fail to tie up that clear, apparent and recognised loose end in the Bill could have the effect, almost by negligence or a measure of inadvertence, of denying UK citizens rights they might otherwise have. That would seem to me to be almost verging on the disreputable. I do not believe that the Ministers on the Treasury Bench wish to do that for one second and I know they will want to put it right. I hope that they will make it clear that it is the Government’s intention to make sure that that lacuna is resolved.
ParlaMint-GB_2017-11-21-commons.u483	On amendment 10, I am sure that my hon. Friend observed what was said about the absence of reference to paragraph 5 of schedule 1, which deals specifically with the question of interpretation. Does he also agree that one of the greatest dangers is the idea that the Supreme Court, of its own volition after we have left, will be able to disapply any legislation? Does he not agree that that is a fundamental principle, too?
ParlaMint-GB_2017-11-21-commons.u484	I think the most important principle is legal certainty. It may well be very sensible for us to start to remove, as soon as possible, bits of retained law that we do not want to keep, but it seems to me to be equally implausible to retain something without following through on the logic from whence it comes. I recognise my hon. Friend’s point, but the issue, as my right hon. Friend the Member for West Dorset (Sir Oliver Letwin) pointed out, is one of the Bill’s own making. I hope that the Government will table an amendment—before the Report stage—to remove these internal contradictions sooner rather than later. I think we all want to be in the same place, but justice requires not only independence of the courts but a proper framework in which it can operate. Above all, it requires certainty. The Bill as it stands runs the risk of creating uncertainty, and that cannot be in anybody’s interest I have been struck by the tone of the responses we have had from the Government Front Bench so far, but it is really important to stress that this is a matter of very significant principle. We wish to give the Government the best possible fair wind. I have no doubt whatever about the intentions, credit and integrity of the Solicitor General, who will reply to the debate shortly. What he says will weigh very heavily with many of us. I am sure he will do something that is constructive and helpful, and will help to improve the Bill. This is an important point that I wish to put on the record, because if there is not something of that kind, we will have to return to the issue as the Bill progresses. I hope that that will not be necessary. I believe it will not be necessary, but it is important to stress how fundamentally significant it is. These matters may seem technical, but they are vital to the underpinning of a sound piece of proposed legislation going forward.
ParlaMint-GB_2017-11-21-commons.u485	I support those amendments that seek to ensure that the charter of fundamental rights is not exempted when we transfer powers from the EU after Brexit. Like many people I expect, I have received a lot of correspondence from constituents, and I wanted to start by reading from one—because time is short I will just read the last section of a letter from one of my constituents, Andrew Connarty: “I feel that the EU and its legislative and judicial bodies protect me as a citizen and have a process of checks in place to protect my human rights, my legal rights and provide me with security. A lot of conversation in the media covers the rights of EU citizens in the UK who are foreign nationals, but what about the rights of EU citizens in the UK who are British nationals?” Andrew Connarty is one of the great number of people in this country who are fearful of what is about to happen. For them, the process of leaving the EU is not some great liberation or removal of an alien superstate that oppresses them and over-regulates them. They see this as a loss of something of themselves; they see themselves as being diminished and lessened by this process. Some on the Government Benches will say, “Well, that view does exist, but it is the view of a small liberal elite”. Indeed, a Member earlier tried to taunt a colleague by suggesting that the vote for remain in her constituency could not possibly have been motivated by concern about the charter of fundamental rights. I accept that the great mass of people are probably completely unaware of what particular rights we are talking about, but that does not mean they are unconcerned about them. Joni Mitchell probably summed it up best with the line, “you don’t know what you’ve got ‘Till it’s gone.” The reason is that by their very nature political rights do not put obligations on the rights holder—they do not have to be defended and claimed every day; they put obligations on everyone else. We all have to respect the rights of others. In particular, private corporations and public institutions have to respect the rights of others. It is not until they are changed and that relationship alters that people understand that something has been taken away from them. That is why it is absolutely vital that we educate people about the process now happening There was some debate about whether the rights in the charter are substantial at all, about whether they mean very much and about whether they are covered elsewhere in legislation. In 2006, this Parliament established the Equality and Human Rights Commission to advise us on such matters. I have read its briefing—I suspect most have—in which it cites clear examples of articles in the charter that are not replicated in other forms of legislation and states that, if the charter is not transferred or incorporated into British law, these rights will be lost. They include—I will not read them all: article 22 on child labour; article 8 on the right to be forgotten on the internet; article 26 on independence for disabled people; and article 24 on the access of children to both parents. These are rights that we have now that we will not have if the charter does not come over post Brexit It is not necessary to lose these rights in order to achieve Brexit. I say to the Brexiteers: I am not one of you but you can have Brexit without losing these rights. It is entirely possible. We do not need to do this, so why are we discussing it at all? The Minister said earlier that it makes no sense to have the charter if we are not a member of the EU, because it refers to the EU, yet the entire canon of European law is being taken over and incorporated into British statute, and this charter goes along with it to give citizens rights in respect of it. It makes total sense, therefore, to bring the charter over in the process of repatriating these powers There has been talk that it would be silly to bring the charter over because it would create anomalies and inconsistencies with other parts of the Bill, but the Bill already recognises that there are a million anomalies in the process and makes provisions to deal with them. We wonder, then, what is so special about the charter that it cannot happen there, too. Leaving that to one side, however, the most telling argument, as colleagues have said throughout the last six hours, is surely that it is operational at the minute. Why is our legal system not grinding to a halt under the pressure of these contradictions if they are so great? The truth is they are not so great. It works at the minute, and there is no reason it could not continue to work beyond 2019 In the absence of a rational argument for the retention of clause 5 and schedule 1, I am compelled to find myself reaching the same conclusion as the right hon. and learned Member for Rushcliffe (Mr Clarke): what is happening here is pure politics. There are those on the other side who will be satisfied by being thrown this bone, and, as the right hon. and learned Gentleman put it himself, the idea of being able to get rid of a provision that includes both the word “Europe” and the word “rights” creates a double salivation, but I do not think that it just about sating those who are so Europhobic that they will get pleasure from this; I think there is something else going on as well The hon. Member for Eddisbury (Antoinette Sandbach), who is no longer in the Chamber, said earlier that the Government did not intend to remove or weaken our human rights, and I take that at face value. The Government have certainly not come here and said that that is their intention. In fact, no Members—or almost none—have said today that they want to remove people’s human rights, to weaken protection at work, or to lessen consumer protection laws in this country, although I rather fear that the hon. Member for Gainsborough (Sir Edward Leigh) nearly let the cat out of the bag when he referred to “the wrong people” having rights in the charter The hon. Gentleman talked about the repatriation of powers so that he could have “real human rights” in this country. I dread to think what he means by “real human rights”. I find him an honourable fellow and I am sure that he means no malintent, but I know that there are plenty of people in our society and in our community who will take advantage of any roll-back of civil and human rights protection to ensure that our religious and political freedoms are constrained so that they can adhere to theirs. I think we need to be eternally vigilant, and I hope very much that the Government will feel able to think again I say this to those in the centre ground of the Tory party: “If you are just trying to keep the good ship together and keep every faction on board, and if you think that by giving this concession on human rights you will shore up the Government’s support, remember that your former leader David Cameron thought he would be able to do that by having a Brexit referendum in the first place, and look how that has worked out.” I sincerely say to them, “Once bitten, twice shy. Please think again.”
ParlaMint-GB_2017-11-21-commons.u486	It is a pleasure to follow the hon. Member for Edinburgh East (Tommy Sheppard). Let me take this opportunity to assure him yet again that our commitment to rights and freedoms remains absolute. I spent nearly 20 years at the criminal Bar dealing with the liberty of the individual. Indeed, I think I was a human rights lawyer before we even coined the phrase, as were many other Members on both sides of the House The point has already been made that our rights and freedoms long pre-date modern developments, but modern developments have no doubt helped to sustain, improve and enhance the range of those freedoms. The fundamental question that we seek to ask about the charter is whether, in the final analysis—as we are no longer to be members of the European Union—it adds anything relevant or material to the sophisticated and developing body of law that has evolved over generations. I do not think so, and I have reached that conclusion after extremely careful thought. It is tempting, after a long debate, to try and treat this as a Second Reading wind-up, but we are far from that. Other Members are anxious to take part, and I am mindful of the time. I will therefore be true to the principles of debate in Committee, and deal with schedule 1, which I hope will be agreed to. In doing so, however, I will address the various amendments that have been tabled on pages 8 to 12 of the amendment paper—which is still the same size although we are now on day three of the Committee stage, and I am pretty confident that that will remain the case.
