ParlaMint-GB_2017-01-10-commons.u1	1. What recent assessment he has made of the security and humanitarian situation in Yemen.
ParlaMint-GB_2017-01-10-commons.u408	With regard to the Birmingham situation, I am very happy to have a conversation with the hon. Lady outside the Chamber. I think that she may have slightly misunderstood what is happening, and I am happy to give a bit more detail about what is happening with the legal aid process.
ParlaMint-GB_2017-01-10-commons.u409	I am only too aware that the Minister will almost certainly tell me that the legal aid, through the Legal Aid Agency, has been granted to two of the seven families of complainants. Although I am more than happy to meet the Minister outside of here, I am going to wager that I know a bit more about it than perhaps he does. I would be delighted to be proven wrong—in fact, the Home Office has heard our requests for Hillsborough-style funding—and, if I am, I will stand on every single platform I can to say that I was wrong and the Minister knew more than me. So I look forward to that I will conclude by saying that we all want something better and we all want victims to be treated better, and the hon. Member for Cheltenham has shown with passion how that can be realised. But unless we make sure our regulations are enacted, what we do in this place is slightly for nothing, so I ask the Government to look again at the amendments around victims’ rights.
ParlaMint-GB_2017-01-10-commons.u410	In the last Parliament, I was totally politically incontinent—in and out of all sorts of Lobbies, voting with the Government, voting against the Government and voting with Labour. I have really tried to make sure that, in this Parliament, I was only in one Lobby—the Government Lobby. I have managed that loyally for the past 18 months, and I am just so disappointed that the Government are not willing to accept Lords amendment 96, because equality of representation is absolutely critical I spoke in this place in a previous Parliament about the terrible tragedy of deaths in custody—deaths in detained environments. Let us look specifically at deaths in police custody. If a person dies in police custody, there is obviously a coroner’s inquiry, but there is total inequality of representation at that inquiry. The family of the deceased are up against the state, the police and their legal representation. That legal representation is given to the police without question, and it is funded without question, whereas the families of the deceased, at a time of huge emotional turmoil, have their finances pored over with a fine-toothed comb—it is not just the finances of the parents, but the finances of siblings, aunts and uncles, and even cousins—to see whether the family can bear the cost of their legal representation. That is entirely unfair; it is not just The Lords amendment is very sensible in its scope, and I would hope, even at this late stage, that the Government—if for no other reason than to keep me out of a Lobby that I do not really want to be in—might consider accepting it, so that we can all finish the evening on a very happy and unified note.
ParlaMint-GB_2017-01-10-commons.u411	I do not think that it is going to be a very unified note by the end of the day, and I think there was an element of irony in the contribution by the hon. Member for Broxbourne (Mr Walker). I pay tribute to the hon. Member for Cheltenham (Alex Chalk) and my hon. Friend the Member for Birmingham, Yardley (Jess Phillips) for their campaign on stalking. The legislation has changed over the years, particularly since 1997, and it is good that this issue is now recognised for the terrible harm that is done to many victims I want to talk primarily—this is a bit of a smorgasbord debate—about the Leveson issues and amendment 24, which I wish was not necessary. However, it is necessary, and it has been put on the amendment paper only because their lordships and a large number of us in this House are distrustful of the Government’s intention in relation to what happened over Leveson I believe that it is necessary to have the full Leveson—that is not two Leveson inquiries, but one Leveson inquiry, some of which could be done before the criminal investigations were completed, and some of which could not be done until the criminal investigations were completed. That was always the promise. It was never, “We will think about having Leveson 2 once we have come to the end of the criminal investigations; it was always said from the very beginning that there would be one inquiry with two parts and that the second part would happen. In fact, the Prime Minister, in the quote given by my hon. Friend the Member for West Ham (Lyn Brown), said those words the day after Leveson 1 had been produced. So Ministers have absolutely no excuse for turning round now and saying, “Oh no, no, we never really intended to proceed with Leveson 2.” Why does that matter? Why is it important? The truth is that we are talking about corruption in one of the organisations of the state that matters most to our constituents and to the rule of law in this country: the police. I am sure the vast majority of us agree, given the little bits and pieces that we have managed to glean from Leveson 1, that there was a time when the Metropolitan police, to all intents and purposes, were a partially owned subsidiary of News International. Metropolitan police staff went to work for News International. When they had finished working for News International, they went back to work for the Metropolitan police. There was a revolving door. On the very day that the police decided not to continue with the investigation into what had happened at the News of the World, the leading investigator was having dinner with Rebekah Brooks.
ParlaMint-GB_2017-01-10-commons.u412	Section 40 should not be introduced. To say to 90% of the local, regional and national press that they have to be forced into a group they do not want to join is bullying of the worst kind. If it were to happen in other countries, the Council of Europe would probably say it was interference in the free media William Hone, whose life is described in the book “The Laughter of Triumph”, defied criminal libel law. We should remember that our press basically got its freedom from that moment, when ordinary people on juries refused to convict because they said that the media ought to have the right to lampoon, to be rude and to investigate. I think that people ought to ask the question: what would be the effect of section 40? Would it increase investigative journalism? No, it would not. It would be a good idea if those backing IMPRESS and section 40 gave a list of successful and wrong defamation cases, including of leading politicians who denied they were drunk overseas and various other criminals who later turned out to be guilty of the things they were accused of by the media We rely on the media to find out the things few people know about and make them available to all. The whole effect of section 40 will be to chill the opportunity for the media to investigate and report. That is why I believe this House would be wrong to force the Government to bring in section 40. I hope that we do not and I hope that those in favour of it will find other ways to pursue their own aims.
ParlaMint-GB_2017-01-10-commons.u413	I rise to support, as strongly as I possibly can, the Government’s amendment in lieu of Lords amendment 134. It recognises the force of the arguments laid out in the report by my hon. Friend the Member for Cheltenham (Alex Chalk) and I last year, “Stalking: the Case for Extending the Maximum Sentence”. The report summarised the work of our researchers. Through them, we met victims, stalking charities, academics and police specialists. Everything we learned confirmed our initial instinct that there are a small number of very dangerous stalkers, such as my constituent Raymond Knight who pursued Cheltenham resident and Gloucester GP, Dr Eleanor Aston, to the point of nervous breakdown I pay tribute to the Government for accepting our report and its single recommendation of doubling the maximum sentence for stalking from five to 10 years, for amending the appropriate sections of the Crime and Disorder Act 1998 on racial and religious aggravated harassment in line with the change to the maximum sentence for stalking, and for outlining in correspondence additional training that will be part of the measures to deal with the mental health issues of serious stalkers. I know the Home Office and the Ministry of Justice have worked closely on this together. I am grateful to both Ministers here today for their action I also want to thank Gloucestershire-based Baroness Royall in the Lords for her commitment and contribution, and all those who informed us and shared harrowing experiences, including a constituent and her family. I would like to quote from her 16-year-old daughter, who was so egregiously stalked. She told us that the stalker “broke into my house one night…all the knives in the knife stand were gone…I was sure I was going to die.” In this particular case, my constituent and her family prefer to remain anonymous, not least because my constituent has been moved by the police to a safe house far from her home and her own children I am extremely grateful to all those who informed us, educated us and motivated us. I suspect the work I have done with my hon. Friend the Member for Cheltenham means that the neighbouring constituencies of Cheltenham and Gloucester have not worked so closely since the creation of the Cheltenham & Gloucester building society —now, alas, long since gone. It is for a good cause that we come together in support of the Government’s change of law The Government’s amendment in lieu will give judges the flexibility they need. As Dr Aston has said, victims will be able to sleep more easily when the worst stalkers are sentenced and the stalkers themselves will better understand the seriousness of their crime and receive more help in resolving what is a severe obsession and mental health issue. Of course, as the hon. Member for Birmingham, Yardley (Jess Phillips) pointed out, that will not in itself stop stalking, but it shows that victims and judges are being heard, that MPs and ultimately the Government listen and that laws can be changed so that sentences better reflect the harm that a crime can inflict on innocent victims, most of whom, as in the instance that inspired my neighbour and me, are women. Ultimately, justice is only as good as the laws we adapt and the way in which they are implemented. In that context, I pay tribute to the Prime Minister, who made stalking a crime on the statute book when she was Home Secretary, and to the current Home Secretary, who has introduced protection orders against stalkers I will finish by returning to where this campaign started: the judge and the victim in Gloucester Crown court. I would like to thank Dr Ellie Aston for inspiring us, for being strong and for having faith; other victims for opening their hearts and sharing their stories; stalking charities, such as the Suzy Lamplugh Trust, the Network for Surviving Stalking, Protection Against Stalking and Paladin; and the Hollie Gazzard Trust, the police and the University of Gloucestershire, which happens to be a leader in research in this sad area. This part of the journey for justice for victims of stalking is now close to over. The hon. Member for Birmingham, Yardley has reminded us that there will always be other issues to be raised and resolved, but today’s amendment in lieu deserves everyone’s support.
ParlaMint-GB_2017-01-10-commons.u414	The whole House listened with great respect and interest to my hon. Friends the Members for Cheltenham (Alex Chalk) and for Gloucester (Richard Graham), who have brought to the attention of the House and the country the appalling consequences of stalking. I join others in saluting their efforts to persuade the Government to recognise the gravity of the crime and in reaching this result tonight, which we can all applaud I thank the hon. Member for Rhondda (Chris Bryant) for mentioning my intervention on the Minister about section 40 and Lords amendment 24. I will not vote for the amendment tonight, because the Government have agreed to a consultation, and I think it right that that process run, but as I said to the Minister earlier, I hope that the Government will not be intimidated by the campaign by the newspapers that the hon. Gentleman referred to. The newspapers seem struck by an extraordinary sense of paranoia and a feeling of vulnerability, when we all know, from the many cases that have appeared, that they are in the driving seat and have power without a lot of responsibility Insufficient attention has been paid to the Leveson inquiry and the subsequent report, which was a detailed and considered piece of work. We should do what the then Prime Minister, David Cameron, said that Parliament should do. Since the Aldershot News & Mail was unwilling to publish my article today, perhaps I can give the House the benefit of it.
ParlaMint-GB_2017-01-10-commons.u415	My hon. Friend should place a copy in the Library.
ParlaMint-GB_2017-01-10-commons.u416	My hon. and learned Friend suggests that I put the article in the Library, but when he hears what I have to say, I think he might be better informed, if not wiser, for I cannot account for his wisdom—he is a great man.
ParlaMint-GB_2017-01-10-commons.u417	Division!
ParlaMint-GB_2017-01-10-commons.u418	He seriously is a very great man I wrote this: “I believe in a free press but I also believe in a responsible press. Sadly, the newspapers are becoming increasingly paranoid about what they see as an attack on them and are refusing to accept the recommendation of the latest inquiry under Lord Justice Leveson that an independent regulator be established. Leveson was set up after an appalling series of intrusions into the private lives of people, which included phone hacking on an industrial scale.” Milly Dowler’s body was found 200 yards from the boundary of my constituency in a case that really struck the public as appalling.
ParlaMint-GB_2017-01-10-commons.u419	Phone hacking is brought up again and again by colleagues who, in my view, want to censor the press. Phone hacking is a criminal offence, for which people have gone to jail. There is no need for any further laws.
ParlaMint-GB_2017-01-10-commons.u420	I have huge respect for my hon. and gallant Friend, but the fact is that the inquiry would not have taken place if phone hacking had not been discovered on what I have described as an industrial scale. People’s engagement with it was utterly immoral, and some went to prison, following legal action, which I think is fine My article continues: “It is hard for those who have not experienced an assault by the media to appreciate the level of distress it causes. I know because some 30 years ago, together with my then colleague Neil Hamilton, I had to sue the BBC Panorama programme for libel—which we won”— and had the director-general of the BBC fired— “but at the risk of bankruptcy (and loss of our seats in Parliament) if we lost.” For the record, our costs—Peter Carter and partners were our lawyers—were something in the region £273,000. So I say to my hon. Friend the Member for Worthing West (Sir Peter Bottomley) that it is all very well for those who have got money. They are able to access justice, but this is all about providing a remedy for those who do not have money and cannot afford to undertake that sort of action. I continue: “Since 1945, there have been no less than 5 Royal Commissions and enquiries to secure a better and cheaper form of justice for those maligned by powerful media barons.”
ParlaMint-GB_2017-01-10-commons.u421	It is worth bearing in mind that when it came to suing the Metropolitan police to try to ensure that it gave the media information about what had happened to me, my costs were £380,000. My costs for suing Rupert Murdoch were £480,000. In both cases, because it was an no-win, no-fee arrangement, I did not have to pay anything. However, those no-win, no-fee arrangements are no longer available in these cases.
ParlaMint-GB_2017-01-10-commons.u422	I agree with the hon. Gentleman’s point I was mentioning the five royal commissions and inquiries since 1945. The article continues: “Time and again, reports threatened new laws if the industry failed to sort itself out, time and again the industry failed. In his 1993 report, Sir David Calcutt, QC said of the then regulator, the Press Complaints Commission: ‘It is not...an effective regulator of the press...It is, in essence, a body set up by the industry, financed by the industry, dominated by the industry, and operating a code of practice devised by the industry and which is over-favourable to the industry’ In 2012, Leveson recommended that newspapers should continue to be self-regulated and that the Government should have no power over what they publish. However, he also proposed a new press standards body created by the industry with a new code of conduct. The new self-regulatory body should be underpinned by a law to provide for a process to recognise the new body and ensure it meets certain requirements. It should also enshrine in law a legal duty to protect the freedom of the press and to ‘provide a fair, quick and inexpensive arbitration service to deal with any civil complaints about its members’ publications’. Ofcom should act in a verification role to ensure independence and effectiveness.” There we have it. There is a proposal on the table that IPSO is perfectly at liberty to take up in respect of a cheap arbitration service. The other point is that it should not be dominated by former press people, but that is exactly what IPSO is all about. I am not specifically advocating IMPRESS, but I see no reason why IPSO should not be able to organise itself in such a way that it is compliant. Instead, it has set up a body dominated by former editors, which does not meet the Leveson conditions. The Government are right to consult, but I really do not believe that the newspapers have anything to fear from these proposals. I believe that they will be in the interests of the press but, above all, they will provide a remedy for those who cannot afford to seek a remedy. Surely our responsibility is to remedy injustice.
ParlaMint-GB_2017-01-10-commons.u423	My hon. Friend knows how much I return his respect, and he knows that I would normally regard him as an infallible guide to almost everything in the planet, but in this instance I think that suggesting that IPSO is dominated by press editors when its presiding spirit is Sir Alan Moses—Lord Justice Moses, a very fine judge who is vigorously and fiercely independent—is over-emphasising the point.
ParlaMint-GB_2017-01-10-commons.u424	I am grateful for my hon. and learned Friend’s belief in my infallibility, and I assure him that he should not be misguided, because I am infallible in this instance as well. Let me respond to his point by saying that although there may be an eminent judge in the driving seat, the fact is that the membership is dominated by press and former press people. They are in the majority.
ParlaMint-GB_2017-01-10-commons.u425	That is not true.
ParlaMint-GB_2017-01-10-commons.u426	It is true. Seven of the 12 are former press people, and that does not meet the Leveson conditions. Let us just meet the Leveson conditions: then we shall all be happy.
ParlaMint-GB_2017-01-10-commons.u427	It is a pleasure to speak in the debate, and, in particular, to follow some of the passionate speeches we have heard. I intended to focus on Lords amendments 136 to 142, but my thoughts have been drawn to comments that have been made about the press in the context of other amendments We have heard about the Aldershot News & Mail, but each week thousands of homes in Torbay receive a publication that reports on local news and local issues and gives the odd opinion on them. It is called “my weekly e-mail update”, and is subject only to libel laws, and to what I am happy to talk about and defend as the local Member of Parliament I think we should bear it in mind that we are living in a completely different era, when more and more of the media is moving online. There can be no such thing as a press regulator when there is no press—when websites can be based anywhere in the world and it is difficult to track them down even under our own libel laws, let alone regulate them. The era when people walked down to the newsagent each morning and again each evening to buy a local newspaper has pretty much come to an end. The fake news stories about which people talk—especially in connection with recent elections in the United States—were not put out by newspapers. They were not published by print media; they were published by various people online. There are websites that are effectively “clickbait”, featuring misleading headlines that people will merrily share or stories that do not really get to the nub. A story involving an hon. Member was recently circulated online. Anyone who knew the facts would know that it was flagrantly misleading, but that would not be clear to people who just read the headline online. Will that story be affected by press regulation? No. It is nothing to do with press regulation, because it is not printed material When we debate these matters, we must be aware that the era when only a press publication could circulate a story has disappeared. We should think about what we are doing when it comes to a special system that puts them at a disadvantage, given that, increasingly, they are no longer as dominant as they were. It is more likely that local newspapers will close than that they will find themselves being the arbiters of all opinion. Most constituents are more than able to use their own common sense and take many of the claims that they see both online and in the print media with a pinch of salt, but we have libel laws, and we need to remember that.
ParlaMint-GB_2017-01-10-commons.u428	I have heard many times the argument that the libel laws are there, and that it is all very fine and dandy. The truth is, however, that the people of Hillsborough had no legal remedy whatsoever. They had no opportunity to respond to the lies—not libels, because the people concerned were dead—that were told about them for many, many years. That is why we need a proper press regulator that is independent of Government, independent of politics, and independent of the proprietors.
ParlaMint-GB_2017-01-10-commons.u429	The fact is that someone who wanted to spread mistruths today would do it on the internet, and that would not be covered by either of the proposed systems of press regulation. We would probably now see a story of that type circulating on the internet, whereas in the 1980s the internet was something that a few universities used, and the worldwide web was something that United States military had developed for the purpose of its own communications in the event of world war three. It was not as we see it today. That shows why we need to be conscious of today’s position on the media and legislation. The industry, in many cases, particularly the local media, is struggling to survive and is in decline and we do not want to end up throwing out the baby with the bathwater because of the horrendous practices of one or two newspapers, in particular The Sun in that instance I wanted to talk mainly about amendments 136 to 142. I listened with interest to the hon. Member for Birmingham, Yardley (Jess Phillips). She has a valid point when she says it is easy to put things that sound marvellous and fantastic on to goat skins, but the difference that makes on the ground is another matter. That is why I agree with the Government’s motion to disagree with the Lords amendments Some of the provisions of Lords amendment 137, for example, are relatively vague. “Adequate notice” is not defined. There is also the provision potentially making the police and other authorities liable for any “unnecessary delay”; how can the police be held liable if it is the defence that engages in delay? The judiciary have the role of preventing court cases from being unnecessarily delayed.
ParlaMint-GB_2017-01-10-commons.u430	The whole point of these amendments is that all the actors in the criminal justice system—the courts, the CPS, the defence, or the police—have a responsibility. These provisions would make the monitoring of how well they are doing more robust. It does not matter who is to blame; what we want is the victim to be given the information.
ParlaMint-GB_2017-01-10-commons.u431	The amendment talks about ensuring that victims of crime are “not subjected to unnecessary delay”; it does not talk about monitoring. I accept that if we were looking at having a system of guidance, for instance, proposing “must ensure” would be putting something on to the statute book. For me, ensuring victims of crime are supported through the court process would be more beneficial than these amendments. In addition, people now have police and crime commissioners whom they can hold to account for the work they do This is a large group of amendments and we could spend quite some time talking about it. I do not believe that adding these amendments to the Bill is the right way forward. We should look at having a properly consulted-on system that does not have unintended consequences. That is why I agree with the Government motion to disagree with the Lords amendments.
ParlaMint-GB_2017-01-10-commons.u432	I will not delay the House for long. I want to heap praise on the Secretary of State for not giving in to the pressure of the media moguls, and, although we are putting a consultation out, we are determined that no grass shall grow. I want her to be very clear that we truly appreciate what she has done Colleagues who are unhappy about amendment 24 ought to pay more attention to the brilliance of my right hon. Friend the Member for West Dorset (Sir Oliver Letwin), who has put together a fantastic plan for dealing with this thorny issue. If they gave it their full attention, they would, like me, want to see section 40 implemented The Press Recognition Panel is completely independent, and given amendment 24 and the concerns being shown by their lordships—
ParlaMint-GB_2017-01-10-commons.u433	Will my hon. Friend give way?
ParlaMint-GB_2017-01-10-commons.u434	I will be delighted to give way to my hon. Friend.
ParlaMint-GB_2017-01-10-commons.u435	I am so sorry to disagree with my hon. Friend, but the Press Recognition Panel is not independent; it is the creation, under a royal charter, ultimately of the Crown and therefore of the state.
ParlaMint-GB_2017-01-10-commons.u436	It is still independent because it does not choose who and what is the regulator; it determines only that the regulator is independent. It is perfectly acceptable. I know my hon. Friend is very keen to defend the press, but this whole instrument does exactly that My hon. Friend the Member for Aldershot (Sir Gerald Howarth) emphasised the point that the local press in particular would be very vulnerable if it was not regulated—[Interruption.] Yes, it would. The regulator will protect it from having to pay the costs. This is why colleagues should really study what my right hon. Friend the Member for West Dorset has put together. It is much, much better than they might originally have thought.
ParlaMint-GB_2017-01-10-commons.u437	I had not intended to take part in the debate, but I want to say a few words about Lords amendment 24. A lot of the debate so far seems to have been about whether section 40 should be implemented, but that does not actually have anything to do with Lords amendment 24, which is specifically about whether there should be a further inquiry into the behaviour and performance of the police in relation to their dealings with news organisations Leveson 2, as it is now colloquially known, has been put on hold until the conclusion of all the criminal cases, and the amendment rightly recognises that it would be wholly wrong to have any kind of inquiry that could jeopardise criminal prosecutions. However, most of those prosecutions have now been concluded and it is worth looking at the outcomes of those prosecutions when deciding whether there is a case for proceeding. Operation Elveden, which was the police investigation into corrupt payments from newspaper organisations, overwhelmingly resulted in the acquittal of the journalists who had been charged with those offences. I think only two journalists were convicted; the vast majority were acquitted. We need to bear that in mind, because the suggestion that there was a massive corrupt relationship has not proven to be the case The hon. Member for Rhondda (Chris Bryant) talks about the importance of weeding out police corruption and of having confidence in an institution of the state. I completely agree with him on that. I want to refer briefly to the case made by the relatives of Daniel Morgan when considering whether there should be a further inquiry. I have every sympathy with the family of Daniel Morgan, who was murdered, because there was considerable evidence of police corruption. I can entirely understand their wish to have his killers brought to justice. A Home Office panel is examining that case at the moment, and we await its conclusion. It may well be that further action needs to be taken to deal with police corruption, and I shall wait to see what the panel concludes. Let us bear in mind that the Leveson inquiry was an inquiry into the culture, ethics and conduct of the press. It was not an inquiry into police corruption The main issue that has dominated the debate has been the implementation of section 40, which is not covered by this amendment. I share the views that have been extremely well expressed by my hon. Friends the Members for Worthing West (Sir Peter Bottomley) and for Torbay (Kevin Foster). However, the Secretary of State has set up a consultation. It concluded today, but it will take some considerable time before the results are made public. I believe that there has been a very substantial response to the consultation, so I do not expect the Government to be in a position to announce any conclusions about the implementation of section 40 or about whether there should be a further inquiry until that work has been done. I suspect that it will take several weeks, if not months. It seems entirely premature to table an amendment requiring the Government to commit now to a further inquiry when we have not even begun to assess the results of the consultation. For that reason, I strongly oppose Lords amendment 24.
ParlaMint-GB_2017-01-10-commons.u438	I support Government amendment (a) in lieu of Lords amendment 134. Having heard the hard-hitting accounts of my hon. Friends the Members for Cheltenham (Alex Chalk) and for Gloucester (Richard Graham) in their report on stalking, no one can be left in any doubt that the Government amendment should be carried Turning to Lords amendment 137, having represented the police and the prosecutorial authorities as a barrister, and having represented victims both as a barrister and as a Member of Parliament, I hope I can see the situation from both angles. I am entirely supportive of the victims code. Victims have generally been empowered since the code came into force as a result of steps taken by the previous Labour Government, and the beefing up carried out by the coalition Government and the Government of today My concern about Lords amendment 137 is that it would make the police and prosecutorial authorities responsible, and in some cases financially liable, for breaches of the victims code, even if they are not directly responsible. Under new subsection (3)(a), for instance, the police or the CPS could become responsible to a victim for delays caused not by them but by a third party, such as the defendant. Under new subsection (3)(b), the CPS could be held responsible if a defendant, or indeed another party over whom it has no control, treats a victim with a lack of “dignity and respect”. That often happens in the courtroom when a defendant gives evidence, or even through how a defendant instructs their lawyer to present their case, but that is a matter for the judge, not the prosecutor, to control New subsection (10) is even more concerning because it would require the Home Secretary to “take steps to ensure that victims of crime…have access to financial compensation from public funds for any detriment arising from the criminal case concerned” That is not necessarily a detriment caused by the prosecuting authority, and there is no requirement of bad faith, recklessness or negligence on behalf of that authority. That is a big step both in principle and in practice. It is a big step in principle because it appears to impose a liability on one body for the actions of a third party over whom it may have no control, and it is a big step in practice because it exposes the police and prosecuting authorities to a significant financial burden at a time when we regularly have debates in this House on the need for greater funding for the police and the CPS. Paragraph 128 of the explanatory notes on the amendments explains that “potentially significant” financial burdens are attached Although I am an enthusiastic supporter of the victims code and the need to give victims the very best support, imposing a broadly defined liability—indeed, a financial liability—on the police and the CPS is not the right way to proceed without more thought about furthering the aims of the code. More thought is needed, and I am pleased that the Government will be introducing their own proposals to give effect to our manifesto commitment for a victims’ bill of rights. I am sure that that work will take account of the excellent work of the hon. and learned Member for Holborn and St Pancras (Keir Starmer) and his commission. I pay tribute to his work and to all the people involved, including a number of my constituents Question put, That this House disagrees with Lords amendment 24 The House proceeded to a Division.
ParlaMint-GB_2017-01-10-commons.u439	I must remind the House that the motion relates exclusively to England and Wales. A double majority is therefore required.
ParlaMint-GB_2017-01-10-commons.u440	I must remind the House that the motion relates exclusively to England and Wales. A double majority is therefore required.
ParlaMint-GB_2017-01-10-commons.u441	I must remind the House that the motion relates exclusively to England and Wales. A double majority is therefore required.
ParlaMint-GB_2017-01-10-commons.u442	I beg to move, That this House agrees with Lords amendment 1.
ParlaMint-GB_2017-01-10-commons.u443	With this it will be convenient to take Lords amendments 2 to 23, 25 to 95, 97 to 133, 135, 143 to 158, 160 to 301, 303, 304 and 306.
ParlaMint-GB_2017-01-10-commons.u444	I am conscious that this group covers approaching 300 Lords amendments, even if many are of a technical nature, and I appreciate that hon. Members would no doubt like me to go through all 300, but time is short, so, tempting as it might be, I will confine my remarks to the most significant amendments, so that other hon. Members may have an opportunity to speak On Report, way back in April and June of last year, a number of my hon. Friends tabled amendments worthy of further consideration. The Lords amendments follow up on that work. My hon. Friend the Member for Cannock Chase (Amanda Milling) argued that when a police and crime commissioner took over the governance of a fire and rescue authority, the title of their office should be amended to reflect their new and expanded responsibilities. Lords amendment 215 provides that in such circumstances the legal title of the PCC will become police, fire and crime commissioner. My hon. Friend the Member for The Cotswolds (Geoffrey Clifton-Brown) proposed a number of sensible further improvements to our firearms licensing regime, and I am pleased to say that Lords amendments 111 to 113 give effect to three of his helpful suggestions My hon. Friend the Member for Selby and Ainsty (Nigel Adams) highlighted the dangers to music festival goers as a result of the irresponsible discharging of fireworks, flares and smoke bombs in the often confined space of a festival venue. Lords amendment 114 would tackle such reckless behaviour by making it an offence to possess a pyrotechnic article at a qualifying musical event. As my right hon. Friend the Secretary of State for Culture, Media and Sport indicated in April, we will ensure that this new offence is in force for this year’s festival season. My right hon. and learned Friend the Member for Harborough (Sir Edward Garnier) sought to strengthen police powers to require the removal of disguises where there was a threat to public order. Lords amendment 94 will enable the required authorisation by a senior officer for the exercise of such powers to be given orally where it is impractical to confer the authorisation in writing Other Lords amendments respond to points raised by Opposition Members. The hon. Member for West Ham (Lyn Brown) expressed concerns about PCCs taking on the governance of fire and rescue authorities. In response to similar concerns raised in the Lords, amendments 193 to 199, among others, strengthen the process by which a PCC brings forward a proposal for the creation of a PCC-style FRA to ensure that it is as robust and transparent as possible. She separately argued for a strengthening of the Licensing Act 2003 by putting cumulative impact assessments on a statutory footing. We agree, and Lords amendment 117 does just that Lords amendments 30 to 33 deliver on the commitment given by my predecessor on Report to amend the Bill to allow disciplinary action to be taken against former police officers outside the normal 12-month period following retirement or resignation in the most serious and exceptional cases. Lords amendments 36 to 42, among others, respond to representations from the Independent Police Complaints Commission and, indeed, from Opposition parties that the reformed organisation should retain the word “Independent” in its title. As a result of these amendments, the reformed IPCC will henceforth be known as the Independent Office for Police Conduct. This will help to reinforce public confidence that the reformed organisation will be fully independent of those it regulates On Report, the hon. Member for Stockport (Ann Coffey) argued that the current law requiring a coroner’s inquest in every case where a person dies under a deprivation of liberty safeguard, even where the death was from natural causes, caused unnecessary upset to bereaved families.
ParlaMint-GB_2017-01-10-commons.u445	I wish to say how welcome amendment 135 is. As the Minister said, my hon. Friend the Member for Stockport (Ann Coffey) was particularly aware of the pressures this was placing not just on coroners but on social services. I am also extremely glad that my hon. Friend the Member for West Ham (Lyn Brown) on the Front Bench is, as I understand it, supporting the amendment as well.
ParlaMint-GB_2017-01-10-commons.u446	I thank the right hon. Lady for her remarks. Yes, we agree, and amendment 135 therefore removes the automatic requirement for a coroner’s investigation in such cases. There will be a continued duty on a coroner to investigate any death where there is a suspicion that it might have resulted from violence or unnatural causes or where the cause of death is unknown Last, but certainly not least, and importantly, Lords amendments 124 to 132 would right the wrongs suffered by gay and bisexual men who were for centuries persecuted under homophobic laws for conduct that society now regards as normal activity. These amendments will confer an automatic pardon on deceased individuals convicted of certain consensual gay sexual offences that would not be offences today, and on those persons still living who have a conviction for such an offence that has been disregarded under the terms of the Protection of Freedoms Act 2012 The amendments will also enable the disregard scheme to be extended, by regulations, to cover other abolished offences used to target homosexual activity, including the offence of solicitation by men under section 32 of the Sexual Offences Act 1956. These provisions will extend to Northern Ireland as well as to England and Wales, with the Scottish Government having separately announced its intention to bring forward legislation in the Scottish Parliament At this point, I want to take the opportunity to apologise unreservedly, on behalf of the Government, to all those men who will receive a pardon. The legislation under which they were convicted and cautioned was discriminatory and homophobic. I want to make sure that all who were criminalised in this way and had to suffer society’s opprobrium, and the many more who lived in fear of being so criminalised because they were being treated in a very different way from heterosexual couples, actually understand that we offer this full apology. Their treatment was entirely unfair. What happened to these men is a matter of the greatest regret, and it should be so to all of us. I am sure it is to Members across the House. For this, we are today deeply sorry This is an historic and momentous step, one of which we can all be justly proud. I pay particular tribute to the Under-Secretary of State for Justice, my hon. Friend the Member for East Surrey (Mr Gyimah), who is the Minister responsible for prisons and probation, for the work he has done in government to make this happen. For his campaigning from the Back Benches, I would particularly like to mention, among others, the hon. Member for East Dunbartonshire (John Nicolson) These Lords amendments improve and enhance the Bill, so I wholeheartedly commend them all to the House.
