ParlaMint-GB_2017-01-11-commons.u1	1. What recent assessment she has made of the effectiveness of her Department’s work in Tajikistan.
ParlaMint-GB_2017-01-11-commons.u424	There have been very many excellent and constructive contributions to this debate. I welcome the valuable input from those who have real life experience in the NHS. In particular, I congratulate my hon. Friend the Member for Lewes (Maria Caulfield) on her excellent speech. It was very disappointing indeed to see an Opposition Member behave with such disrespect for a fellow Member during that speech. We all owe a debt of gratitude to those on the frontline. None of them would thank us for reducing this debate to an ill-tempered party political act of posturing I know there are many sensible Opposition Members who fully understand that no complex problem is ever solved by just increasing funding in response to ever-increasing demand. There are some very strong Opposition Members who want to work in a constructive fashion with Members across the House to tackle the challenges our NHS faces. I welcome that. The right hon. Member for Don Valley (Caroline Flint) is one such sensible Member. She made a point earlier this week, on the BBC Radio 4 programme “Westminster Hour”, that it is not even electorally advantageous for the Labour party to treat the NHS in the way it so often does—we have just heard an example of it. It is for the benefit of all our constituents that we must all encourage a more constructive approach The four-hour target was introduced for those with urgent health problems. I am sure that all Members agree that those in need should get access to care as soon as possible, and not find their needs eclipsed by someone with a minor ailment just because targets must be met. The Secretary of State has spoken this week about his commitment to protecting the four-hour promise for those who need it, and he is absolutely right to say this, because today, if we talk to those who work in our local A&Es, as all Members do regularly, they often say that there are people going to A&E who do not need to do so, and clinicians will express the desire to be able to prioritise need, rather than simply meeting targets As a constituency MP, I fully understand that it can be incredibly difficult to see a GP when one wants to, and it can be equally difficult to navigate the system—ringing at the right moment to get an appointment on the right day—but the answer is not simply to circumnavigate the system and turn up at A&E to get fast-tracked irrespective of need. We should not be encouraging the expectation that whatever the ailment, no matter what the demands on A&E staff, if someone goes to A&E, they will get seen within four hours. If people are going to A&E who do not need to be there, why are we offering them the four-hour service I would be grateful if the Minister told us more about what can be done to tackle this issue. Perhaps he could mention what proposals there are for GPs in A&E or different mechanisms for triaging or managing the expectations of our constituents. What matters most is that those in need get access to the appropriate treatment as soon as possible. That is what the target is for. It must be about safety for those with critical and urgent health conditions We must never lose sight, either, of the fact that our health and wellbeing are often dependent on our lifestyle, and with the right help and support we can all make the right choices to help us live healthy and happy lives. Diet, stress management, sleep hygiene, exercise, alcohol use and smoking are all key determinants of our physical and mental health and wellbeing. I would like a much greater emphasis to be placed on self-care and self-help, because we can all play our part and because no amount of funding will ever compensate for a lack of self-care Yes, we need to take a grown-up and honest approach to this incredibly important issue, which matters to all of us who have spoken so passionately today—I respect the passion of all Members on both sides of the House—but we must avoid falling into the trap that some have fallen into today of approaching this debate in a way that lets ourselves and the House down and does not benefit those we most wish to assist. So, yes, let us keep on exploring a sensible and collaborative approach, as articulated so eloquently by the right hon. Member for North Norfolk (Norman Lamb) and my hon. Friend the Member for Totnes (Dr Wollaston), who has echoed the sentiments of others and is doing excellent work in working together across the House. None of us should ever play politics with the NHS; it matters far too much for simple games.
ParlaMint-GB_2017-01-11-commons.u425	It is a pleasure to follow the hon. Member for Telford (Lucy Allan). I have not heard her speak before, and I look forward to hearing many more speeches from her in the future, but I completely disagree with her implication that we are letting ourselves, the House and our constituents down by standing up and championing health services in our constituencies. It is an essential part of our work and the reason many of us sought election to this place, particularly those such as my hon. Friend the Member for Tooting (Dr Allin-Khan), who has such relevant experience of this subject and made a tremendous speech. I listened with great interest to what she had to say, and I think that Ministers ought to be doing the same We have had a lot of debate about whether the NHS is in crisis and whether it is a humanitarian crisis, an ordinary crisis or a winter crisis. I looked the word up and found that a crisis is “a period of intense difficulty or danger”, which strikes me as a good description of where the NHS is today. Intense difficulty is what I am seeing in my local hospital, and it is what my constituents are coming to tell me about. I have been an MP for nearly seven years, and I keep track of the topics people come to talk to me about in my local surgeries. I am sure many of us do that; it is not hard to do. Someone comes to see me every week either about an experience at the hospital or, more often still, because of an experience in adult social care. That is not something that has occurred suddenly over the last few weeks; it has been growing over time. I would say that the crisis we are witnessing today has been long predicted and is something that we have all felt happening over time The Government have chosen—they made a decision—not to act to prevent the worsening of the crisis, which is why there is such anger on the Opposition Benches. When a quarter of patients wait longer than four hours in A&E, that is a crisis. I do not really care whether they are there with an minor ailment or a more serious one, because four hours is too long to wait. The fact that people are there with minor ailments is a very clear demonstration of the problems that exist elsewhere in the system When people cannot get a GP appointment they sometimes phone 111, and, more often than not, they will be directed to A&E. I think we need a selection of services available at a central point, whereby if people need a GP, they can see a GP; if they need a practice nurse, they can see a practice nurse; and if they need to be admitted, they can be admitted.
ParlaMint-GB_2017-01-11-commons.u426	In an effort to reassure her colleagues, I want to ask a genuine question—one that I would have asked the hon. Member for Tooting (Dr Allin-Khan). What impact does the hon. Lady believe the 2004 GP contract has had on out-of-hours care? This seems to be the nub of many of the issues discussed this afternoon.
ParlaMint-GB_2017-01-11-commons.u427	The GP contract was changed in 2004, but I did not notice the sort of issues that we face today until far more recently. I am not a scientist or a doctor, but I understand cause and effect, and it does not ring true to say that something that happened six years prior to the change in government can be blamed for something that is happening six years after the change in government. I am not saying that there were no consequences, but I believe that ample opportunity has been provided to put measures in place that would have prevented us from being where we are now The hon. Lady’s intervention leads me nicely to my next point, which is about the Secretary of State. I had not intended to speak today, but I was so frustrated listening to him on the “Today” programme, trying to blame anybody but himself, that I decided to do so. He has a pattern. The first thing he does is blame the Labour Government, who were in government until 2010. His party has been in government since then, but he will blame Labour for anything he possibly can. He will find something that happened, perhaps at a particular trust and say that that is why something has gone wrong today. If that does not work and cannot be evidenced, he will say, “Well, that particular trust is a basket case. It is the trust’s fault or the fault of the local managers and local clinicians who have not organised themselves right.” If that does not work, he will then blame the public, and tell them that they are going to the wrong place, accessing their care in a way that he does not think they should. He might call them “frequent flyers” or point to a problem that is the public’s fault. He will say, “They do not look after themselves properly; it is clearly their fault.” If that does not work, he will blame the local council, and I think that is the worst thing that I have heard him do—blame the local authority My local authority has prioritised adult social care, but the pressures are not going away. They are going to get worse and more difficult to manage—and it is running out of things to cut. It is closing our central library in Darlington and making other hideous cuts, and I do not know where the next round will come from.
ParlaMint-GB_2017-01-11-commons.u428	I am sure the hon. Lady agrees that it is incumbent on us all to discuss the future of our NHS and our healthcare services responsibly. Does she not accept that when the Secretary of State is talking about where people go for their services, it is not a question of blame? We ought to move away from that blame culture. However, there is a benefit in trying to educate people. If their illnesses are not best served by A&E departments and are best served elsewhere, they ought to realise that they should go elsewhere. That would help us all. It would help the people who are seeking the services, and it would help the people who are providing them.
ParlaMint-GB_2017-01-11-commons.u429	Yes indeed, so why does the hon. Gentleman not say that to his right hon. Friend the Secretary of State? He is the one who is blaming people, not me. I should welcome a programme that involved explaining to people and making it easier for members of the public, including me, to decide where we should go when we need assistance One solution that the Government have come up with seems to involve watering down the four-hour target, although, interestingly, not even Conservative Members seem to be able to agree on—or explain—what change will be made, or even whether there will be a change. Their other solution is to close A&E departments, and, as part of the STP, the A&E department at Darlington memorial hospital is one of those that may be downgraded or closed. I do not think the local community will accept that. Part of our purpose in doing our job is to give a voice to local communities, but, so far, our local community has been completely shut out of the STP process. We would not have even known what was contained in the plan had it not been leaked by Hartlepool Borough Council on its website. That is a shocking way in which to conduct a dialogue with a local community In parallel with the STP process is the Better Health programme, which started about three years ago and which operates in the region that contains my constituency. I was shocked to discover from responses to parliamentary questions that local health managers had spent £4.6 million that could and should have been spent on frontline health services for my constituents on a consultation on whether or not to downgrade A&E. I could have spent that money a great deal better, and I could also have told those health managers what the local population thinks about the proposal. They are very angry and upset about it, and it is right for us to express such anger, disappointment, outrage and fears for safety in the House Many Members have spoken about their families and relatives today. My hon. Friends the Member for Chesterfield (Toby Perkins) and for Workington (Sue Hayman) spoke about their fathers. My dad died in 1994. He had had a heart condition. He was 48, and I was 20. Since then, I have taken a keen interest in cardiac health and services for people with heart disease. I was shocked to find that, before 1997, it was not uncommon for people to die while waiting for heart treatment and that people would often wait 18 months. The Labour Government changed that: we made it a matter of weeks, and we saved countless lives as a consequence When people say that the Labour party did not do a good job with the NHS, and when Conservative Members try to imply that we have a fake, dewy-eyed, sentimental attachment to the NHS, they are completely wrong to do so. We will fight for the NHS. We created it, but we also did a good job running it in government. We saved lives, cut waiting times and introduced targets, and that made a difference. It made things better for patients. We will never stop making that case, in the House and outside.
ParlaMint-GB_2017-01-11-commons.u430	Order. I am afraid that this is rather unfair on those who have waited all day and have not yet spoken, but some Members have taken much more than seven minutes, and I must now reduce the time limit to five minutes.
ParlaMint-GB_2017-01-11-commons.u431	I pay tribute to all who work in our national health service and welcome this important debate. I hear the Secretary of State not blaming, but looking for solutions; that is more what we should be about. I have called for an honest debate about the NHS since I came to this place. The NHS is 70 years old next year, and if it is going to reach 100 we need to look after it But I want to start with the positive. My own hospital, West Suffolk, saw a 20% increase between Christmas and new year in the number of patients admitted. Those patients were poorly—very poorly; that point was made earlier. The hospital had prepared a resilience plan for a 5% uplift in patient numbers, but it has coped spectacularly well. To refer to a point made by the hon. Member for Tooting (Dr Allin-Khan), who is no longer present, people come into A&E with ingrowing toenails and dry skin, and it is important that we make sure we see the most poorly people in the most appropriate way and use resources most effectively My constituency has the second oldest population in the country. There is an ageing population with comorbidities, and in the next 10 years the number of those aged 85-plus will rise by 45%, so the allocation of resources as we go forward is important But my hospital has been one of the most resilient in the east, at 85%, and its resilience is in most part due to its fantastic staff. West Suffolk hospital has been innovative. It pays for 20 beds in Glastonbury court, a facility owned by Care UK to provide a step-down facility. In January, it will be doing a bridging care service with the councils. Improvement will come through prevention and integration, and not always by shouting for more money My hon. Friend the Member for Faversham and Mid Kent (Helen Whately) said that what we need is good integration. Good working in Suffolk needs to be copied. As my hon. Friend the Member for Wells (James Heappey) and the hon. Member for Central Ayrshire (Dr Whitford) said, STPs need to be looked at as a force for good, and I urge Labour not to knock them, but to work with them. They are clinician-led, which is what everybody was asking for We cannot have everything we want in life—we never can—and we cannot have everything we want out of the NHS. That is why we need an honest conversation. With rising expectations and an ageing population, the private sector has been in use in the NHS since 1948. If we are going to get more bang for our buck, we should perhaps look at parts of the private sector, to be able to enhance what we give patients through these critical periods.
ParlaMint-GB_2017-01-11-commons.u432	My hon. Friend is absolutely right about the need for a grown-up debate about integration and about learning from best practice. Does she share my concern that as Labour Members fan the flames of their artificial indignation, all they are doing is proving yet again that they are either unwilling, ill-equipped or ideologically—
ParlaMint-GB_2017-01-11-commons.u433	Thank you. Jo Churchill.
ParlaMint-GB_2017-01-11-commons.u434	I agree in that since we last debated this with the Opposition on 23 November, apart from asking for £700 million to be brought forward, they have put forward very little in the way of tangible plans. We are talking about everybody here, and just slinging bows and arrows across the Chamber will not get us to the solution we need If this is about money, why do some areas do better than others? It is actually about the allocation of resources and good leadership. I have received three letters about good healthcare. A resident in my constituency saw the GP on 28 October, the consultant on 8 November, and had their operation on the 29th. That was at my district general hospital that used the private facility locally to enhance the patient experience We need a long-term solution. I am pleased that the Prime Minister has spoken about tackling the difficulties of mental health. The right hon. Member for North Norfolk (Norman Lamb) has championed that and shares a mental health trust with me. I am pleased to see that another 49,000 people are being treated for cancer—that is something that I came to this place to champion—and another 822,000 people are receiving specialist cancer treatment. We have seen huge increases in demand, and we need to admit that we cannot just carry on. There have been advances in drugs, but we need to take into account comorbidities and an ageing population We need to understand what is wrong, and we will do that by having better data throughout the system. The Richmond Group wrote in support of my private Member’s Bill that information held in healthcare records has a huge potential to provide better care and improve health service delivery within the service. Paramedics have asked me for better access to data so that, when they find someone on the floor, they will know what meds they are on and what the most beneficial treatment would be. GPs want their information to flow through the system to help social care and the hospital sector. Pharmacies need to be able to read and write, and those working in social care need to be able to look at someone’s pathway. Patient outcomes should be the thing that we are all talking about, but we have to make decisions. At the centre of all this, we need to support those colleagues who are working above and beyond at this time. We need to behave in a grown-up, responsible way, just as they are, in caring for our NHS.
ParlaMint-GB_2017-01-11-commons.u435	The fact that an organisation as highly respected as the Red Cross should describe our NHS as facing a “humanitarian crisis” is absolutely shocking. It goes to the heart of this Government’s failure to provide a reliable, properly resourced national health service free at the point of need. That should be a source of shame for the Government. Reports last week that two patients died on trolleys in corridors—one having waited 35 hours to be seen—are truly shocking. Can this really be the face of the NHS in England in 2017? Under the Tories, it seems that it is. The Health Secretary responded by suggesting that the four-hour target should apply only to the most urgent cases and that it was estimated that 30% of patients in A&E did not really need to be there. In other words, he blamed patients and suggested a downgrade of A&E services. He should hang his head in shame It is this Tory Government who have decided to cut funding to the health service, asking it to make savings of £22 billion. In Cheshire and Merseyside, the NHS has to find savings of £l billion. Wirral clinical commissioning group calculates that it will have a £12 million deficit for the year 2015-16, nearly a third higher than the original £9 million forecast, but NHS England has asked it to maintain the forecast at £9 million. I would be interested to hear why this curious request has been made. Patients in Wirral West are concerned about the impact that these savings—or cuts—will have at Arrowe Park hospital and in general practice, and they are right to be concerned. The biggest financial squeeze in the history of the NHS is putting services at risk Let us be clear: there is nothing inevitable about these Tory cuts. This is a political decision and it is being used to drive through changes including the introduction of accountable care organisations, borrowing a model from America where such organisations are used to deliver private insurance-based healthcare. An NHS manager from my constituency has written to me saying: “The STPs and national policy are currently pushing for a redesign of services—primary care at scale and a move to make system-wide organisations. The real punch line is there is no funding to make these changes. Locally there is talk about an Accountable Care Organisation for Wirral—meetings of senior managers across health and social care are being held on almost a weekly basis to create a roadmap for this to happen. With no money with which to do it. Having fragmented services and finally recognised the failure and destruction caused by the faux ‘internal market’ in the NHS, they are now making services use what pitiful resources they have to try and put it all back together. I truly despair that there will not be an NHS this time next year.” That is a stark warning and a damning indictment of the Government’s failure. The Secretary of State should be addressing the crisis by giving the NHS and social care the funding they need, to make up for this crisis of the Government’s own making around access to GP appointments, a failure to train enough nursing staff, a failure to fund social care, and cuts to community pharmacies when communities need them most I have long been aware of the Tories’ agenda for the national health service. The Health and Social Care Act 2012 opened it up to the private sector, so that profit-hungry companies can cherry-pick the work that they want to deliver and allowed NHS hospitals to give half their beds to private patients. I believe that this Government and previous Tory Governments are seeking to move us to a two-tier system in which those who can afford to do so have private health insurance and the rest are left with a bargain-basement NHS. The arc of NHS history during the Tories’ time in office since the Thatcher period shows this, and we now appear to be reaching the end game The Government are cutting the supply of healthcare in the public sector to create demand in the private sector. The Secretary of State may believe in an ideological drive to introduce a system in which the individual pays their own way through individual private insurance—he is of course entitled to that view—but that is an entirely different concept from a national health service, of which Labour Members are so proud. He must be honest about that. In the process of trying to transfer us to a two-tier, insurance-based model, did he not pause to think about the human suffering he would unleash in the process? Patients wait for hours on trolleys while anxious relatives watch on helplessly, and dedicated staff are stressed out day after day Now is the time for a decision. It is not too late for the Government to review their approach. They can face the facts and admit to themselves that English people want a state-managed, state-funded national health service that is free at the point of use and paid for through direct taxation—just like the one created after the second world war by a Labour Government with such vision and which became the envy of the world. The Government should swallow their ideological pride and say, “Okay, we get it. We will fund the national health service.” Anything less will be a betrayal of all that the NHS stands for.
ParlaMint-GB_2017-01-11-commons.u436	We need to look afresh at the entire health and social care pathway, which is why I am delighted to be able to contribute today. From visiting the pharmacist, to attending a GP appointment, to spending time in hospital, whether planned or through A&E, to being able to reside beforehand and afterwards at home or in a care home, we need to find the most efficient and dignified way to treat and look after people. We must avoid using one treatment centre as a default option—that is not the best option either for the individual or for the public purse—because it is the only one available owing to difficulties with individual funding pots, opening hours or lack of access to better forms of provision. We must also be encouraged to speak freely about the pressures in the system and to provide ideas. It has frustrated me for years that anyone who thinks aloud about ideas that could change health and social care for the better is denigrated as seeking to harm it when the opposite is true To that end, I listened with interest to the Secretary of State’s interview on Radio 4 on Monday morning. It struck me as measured and thoughtful about new ideas. I was particularly interested in the suggestion about how we could deliver more capacity in the GP system, because an increasing number of people attending A&E are neither accident victims nor in need of emergency treatment; they do, however, need some form of medical intervention, as the Secretary of State mentioned. It was then thoroughly depressing to read the Secretary of State’s words taken out of context. I hope that he will continue to think outside the box and that all Members will recognise the benefits of his so doing Speaking of ideas, I have the following suggestions for each of the treatment centres in the health pathway, starting with pharmacies. In the event that we have too many pharmacy clusters, I completely agree with the need to ensure that they are spread out across the country, with the money saved being recycled. At the same time, we should find ways to help pharmacies deliver more interventions to free up capacity at GP surgeries. We must do more to signpost patients to pharmacies before they go to their GP. A recent report costed common ailment treatment in community pharmacies at £29 a patient. The cost rises to £82 for GP practices and to £147 for A&E. Treatment results across all three were equally good. The research estimated that 5% of GP consultations for common ailments could be managed by community pharmacies, equating to more than 18 million GP consultations that could be diverted I was buoyed by the Secretary of State’s suggestion that more GPs should be placed in A&E departments and in care homes. The new NHS pilot requiring GPs to undertake weekly ward rounds in care homes is the right type of thinking to prevent emergency treatment in our hospitals. I welcome GP surgeries opening on Sundays, but surely only one surgery in each area needs to be open. I do not believe that having all GP surgeries open seven days a week is a good use of scarce resources, in the same way that Government funding of two pharmacies across the road from each other is not a good use of such resources I have long taken the view that we need to find ways to free up our GPs’ time, so that they can focus on the patients who need them most. There are too many wasted or cancelled appointments because the service is free. If there was a cost to unjustifiably failing to keep an appointment, it may demonstrate how precious this resource is—just as NHS dentists would charge for a missed appointment when I was younger Some of the reforms of pharmacies and GPs are designed to ensure that patients only attend A&E if they have had an accident or in an emergency, which is clearly not the case for some who are now attending. We are also facing demand for hospital places because of a need to reform the way we look after an ageing population Time does not allow me to talk about social care, which is so important in my constituency, but the Government’s delivery of more social care funding before Christmas is welcome. However, it is crucial that we question the operating model in social care. The NHS benefits from a national funding programme, but social care is largely the responsibility of local authorities and local rate payers in areas where retirement rates may be high but employment and council tax receipts are not. We have to think radically to ensure that we get the best out of our health and social care system. To do so will not only make resources stretch further but will deliver innovation that improves the lives of the sick and infirm, who are most in need of our care.
ParlaMint-GB_2017-01-11-commons.u437	Two days ago, the Health Secretary read out a statement in this Chamber on the crisis in our NHS. His answer to his Government’s failure to meet A&E waiting time targets is to downgrade those targets, rather than seeking to take any action to treat the malaise at the heart of our NHS The Health Secretary heaped praise on our hard-working and dedicated NHS staff—praise they richly deserve—but it will ring hollow with many of them. I speak from years of experience working in the NHS as a clinical scientist with staff of all grades, skills and experience. The simple truth is that NHS staff are demoralised, and, as I said two days ago, they continue to work with care and compassion in spite of, not because of, his action Since that statement, I have been inundated by NHS staff wanting to tell me their stories: of how the service they were once proud to work in is now in perpetual crisis; of the strain of wanting to do their best for their patients but being prevented from doing so because of short staffing, overcrowding, delayed discharges and underfunding; of the emails they get from Ministers demanding to know what they will do about the failure to meet targets; and of their listening to the same Ministers telling the public that the NHS does not have a problem Health managers are saying that we have a perfect storm of ageing patients who need more care just at the time when social care has been cut to the bone, leaving hospitals to pick up the pieces. An A&E doctor at Manchester royal infirmary told me: “Crisis is the new normal” The doctor said that it has become usual to have 10 patients waiting in a corridor In my constituency of Heywood and Middleton, the Pennine Acute Hospitals NHS Trust has just been the subject of a damning report revealing appalling neglect in maternity care that led to the avoidable deaths of mothers and babies. The trust had the most 12-hour A&E waits in October and the second most cancelled urgent operations in November. In December, it was forced to divert ambulances 14 times in total, one of the highest figures in the country Social care across Greater Manchester faces collapse. That is borne out by the delayed discharge figures for Greater Manchester, which doubled in the year to October. Greater Manchester asked for £200 million for social care in the autumn statement, but the issue was not even mentioned. Some see Greater Manchester’s devolved healthcare system as a solution, but even its chief officer, Jon Rouse, says that although devolution can help closer working it is not “magic dust”. I remind the Health Secretary of the NHS constitution for England, which was updated in October 2015 and establishes the principles and values of the NHS in England. It sets out rights to which patients, the public and staff are entitled, and it sets out pledges that the NHS has committed to achieve. Enshrined in the constitution is the patient’s right to be cared for in a clean, safe, secure and suitable environment and their right to be protected from abuse and neglect—in other words, not to have to wait in an A&E corridor Patients and the public have the right to be involved in the planning of healthcare services, in changes to the way that healthcare services are provided and in decisions affecting the operation of those services. For NHS staff, one of the pledges is to engage staff in decisions that affect them and the services they provide, yet I see precious little evidence of staff, patients or the public having any input into the 44 STPs covering the regions of England, which appear to have been drawn up behind closed doors and are shrouded in secrecy. Their impact on healthcare in our regions could be huge, but where is the public involvement Patients are being failed on this Government’s watch and their rights to safe care are being neglected. All the Health Secretary has for NHS staff is the occasional flurry of warm words, yet the war he waged over the junior doctors’ contract showed his real attitude towards NHS staff. Nye Bevan said: “no government that attempts to destroy the Health Service can hope to command the support of the British people.” That is from Bevan’s book of essays “In place of Fear”. Sadly, the current Health Secretary has managed to achieve “replacing the fear”.
ParlaMint-GB_2017-01-11-commons.u438	I want to start by paying tribute to our hard-working staff in the NHS and those in the care sector. The best way to thank those staff would be by giving them the resources they need to do the job we want them to do I welcome the contributions made by hon. Members today, particularly the moving contribution from my hon. Friend the Member for Chesterfield (Toby Perkins), who bravely told us about the personal catastrophe for him and his family when his father was sent home from a pressured A&E, sadly to die from an aneurysm. My hon. Friend the Member for Workington (Sue Hayman) was able to tell us about the happy death her father had with the end-of-life care at the local community hospital The hon. Members for Central Ayrshire (Dr Whitford) and for Totnes (Dr Wollaston) both emphasised the complexity and frailty of patients needing care in the winter months. We should remember that in terms of the scale of pressures facing the NHS. Both those Members supported the four-hour target for A&E as a barometer of the wider system pressures in the NHS: a measure of how the system is managing to process those frail and complex patients. My right hon. Friend the Member for Doncaster Central (Dame Rosie Winterton), as a former Minister for emergency care, urged the Government not to give the NHS the impression of giving up on the four-hour target, as that sends the wrong message. At our NHS leaders’ summit yesterday, we heard a real concern that, for instance, parents might be discouraged from taking their children to A&E Conservative Members have cited both Simon Stevens and Chris Hopson in support of their claims on NHS funding, but I would like to update them, because in the House this afternoon Simon Stevens said that “we got less than we asked for” and that the Government are “stretching it to say the NHS…got more” He also said that it does not help anybody to pretend there are not financial gaps. Chris Hopson, of NHS Providers, said: “No, we don’t believe the NHS has got all the money it needs” and that the NHS is not sustainable on current funding I turn now to the pressures on the NHS caused by social care. The crisis in our hospitals has been made much worse by the Government’s continued failure to fund social care properly. The care crisis is caused by insufficient funding in the face of growing demand, and Ministers have ignored warnings from a wide group of doctors and from leaders and professionals in the health and care sectors. The Government failed to produce a single penny of extra funding for social care in the autumn settlement. Then they told us that extra funding was being made available for social care in the local government funding settlement, but this was not the extra funding so desperately needed from central Government—what Ministers did was to shift the burden on to council tax payers. That was made worse by the fact that the £240 million adult social care grant was actually money recycled within local government budgets, from the new homes bonus. One third of councils will be worse off as a result of this settlement; my own local authority, Salford, will have £2.3 million less in its budgets. This is not a boost to social care What health and social care leaders had pleaded for was for Ministers to bring forward funding promised for 2019 to address the current crisis in social care, and that is what today’s motion proposes. That would provide some breathing space, which is needed because the lack of social care means that thousands of older people are stuck in hospital waiting for a care package in their own home. That was the most common cause of delayed discharges caused by social care. More than a third of the record 200,000 delayed days most recently reported were due to lack of social care. Being stuck in hospital not only affects patient morale and mobility; it increases the risk of the patient getting hospital-acquired infections. The major impact, though, is the knock-on effect on people in A&E who are waiting for a bed for an emergency admission Health Ministers like to blame local authorities for the lack of social care, but there are problems with that. When NHS chief executive, Simon Stevens, gave evidence to the Communities and Local Government Committee’s recent inquiry into social care, he was asked by the Chair, my hon. Friend the Member for Sheffield South East (Mr Betts), what extra resources would be needed if every local authority performed as well on delayed discharge as the best local authority. He said: “Even having sorted that out, if we have a widening gap between the availability of social care and the rising number of frail old people, that is going to show up as extra pressure on them, their families, carers and of course the NHS.” Of course we want to reach a position where the best practice in tackling delays is spread throughout the country, but Ministers have to start to reflect on what their Government have done through the cuts they have inflicted on local authority budgets. Figures from the Local Government Association show that the hardest hit local authority has had cuts to its budget of 53% over the past five years; the average cut is 39% The budget cut for Surrey was at the lower end of the scale, at 29%. Even so, the cabinet member for social care in Surrey, Councillor Mel Few, wrote a letter to The Guardian about the issues faced by his local authority. He said: “The Care Quality Commission is not the only organisation with worries about inadequate adult social care funding and the impact on already clogged-up hospitals.” He went on to say that although the social care precept was “a welcome move, it falls many millions of pounds short of what is needed now—let alone in two decades.” I suggest that the Health Secretary and the Chancellor talk to social care leaders such as Councillor Few to understand the needs that they see in local communities and the impact of the lack of social care on NHS hospitals. Ministers have been warned and warned about the impact of cuts on social care, but they have ignored those warnings. The Royal College of Emergency Medicine has said that emergency care is “on its knees…mainly due to a lack of investment in both social and acute health care beds”.
ParlaMint-GB_2017-01-11-commons.u439	Will the hon. Lady give way on that point?
ParlaMint-GB_2017-01-11-commons.u440	No, I will not The BBC has reported that last week there were 18,000 trolley waits—that is, people waiting on a trolley in a hospital corridor—of more than four hours, and there were 485 cases of patients waiting more than 12 hours. My hon. Friend the Member for Preston (Mr Hendrick) rightly said that we do not even know the figures for patients waiting in corridors, or being treated and waiting on a chair because of a lack of trolleys The figures do not tell us about the misery for patients and their family members waiting with them. Last night, a senior A&E consultant said on “ITV News” that patients can be left with absolutely no dignity during these waits. He said: “We have got patients with severe illnesses on chairs receiving drips, antibiotics, medications, and patients with cardiac problems on chairs because there are no trolleys for them to go on to.” The senior doctor talked about patients who were left unable to move off their trolleys or who were stuck on chairs and about a lack of shutters and blinds, meaning that patients can be left in full view of others while they are being treated. He also reported that some patients were incontinent in front of relatives and strangers because hospital staff could not reach them in time. He said: “Patients have absolutely no dignity left.” That is what the lack of social care and acute beds can lead to. How would any of us feel if that was our relative? The situation may get worse with the expected cold weather, when more major incidents may be declared and more hospitals are put on black alert—the most severe warning level, which means that they cannot cope with the number of patients Downgrading the four-hour waiting time target for A&E misses the point that the problems in emergency departments are a symptom of a much wider problem. As has been discussed in the debate, that four-hour target is a proxy for patient safety. It is miserable for a sick patient to lose their dignity through being incontinent during a trolley wait in a hospital corridor. It is also miserable and frightening for a vulnerable patient to be discharged in the middle of the night to a cold home with no care package. That is why we repeat in the motion our call for the Government to bring forward £700 million of the funding promised to social care in 2019 to help the NHS and social care systems to cope with the extra pressures this winter. We are also calling for a new, improved settlement for the NHS and social care to be included in the Budget in March, so that we avoid this sort of crisis in future Staff in emergency departments are at the sharp end of saving lives. Many other NHS staff save lives, too, but A&E staff are so directly on the frontline. Whether they are working in people’s homes or in care or nursing homes, care staff make a huge difference to the lives of millions of older and vulnerable people, people with disabilities and people with mental health conditions. Those should be the best jobs in the UK, but without the right investment in the funding they need, the people doing them feel undervalued and overstretched. I urge Members to vote for the motion tonight.
ParlaMint-GB_2017-01-11-commons.u441	I am pleased to follow the hon. Member for Worsley and Eccles South (Barbara Keeley) and to be able to close this debate. I thank all 34 hon. Members for their contributions, some of whom—mostly those on the Government Benches—managed to rise above party politics and make some constructive comments I join my right hon. Friend the Secretary of State in thanking the 2.7 million staff working in our NHS and social care system. As the Prime Minister said earlier, we recognise that they have never worked harder to keep patients safe, with A&Es across the country seeing a record number of patients within four hours in one day last month Regrettably, after five and a half hours of debate and criticism from Labour Members, we have heard little, if anything, about how to provide solutions to the challenges that our A&Es face Once again, the Opposition have touted more funding as their only answer to solve public sector challenges. In fact, they have pledged to raise corporation tax eight times, promising an unspecified amount from an unspecified source. That will not help our NHS and it will not fool the public. There is much to do to protect the system and ensure a sustainable future, but it is this Government who have plans in place to get through this extremely challenging period and sustain the NHS for the future The shadow Secretary of State, the hon. Member for Leicester South (Jonathan Ashworth), spoke for about three quarters of an hour without making a single suggestion about how to solve the problems that face the NHS—not one. He should have stayed to listen—he may have done and I apologise if I did not pay enough attention to his presence in the Chamber The former Health Minister, the right hon. Member for Doncaster Central (Dame Rosie Winterton), asked specifically for community pharmacists to be paid for providing minor ailments services. I am pleased to be able to tell her that that is precisely what we are doing. The Under-Secretary of State for Health, my hon. Friend the Member for Warrington South (David Mowat), was discussing that only this morning in Westminster Hall, and I regret to say that not a single Labour Member was present to hear what he had to say. [Interruption.]
