ParlaMint-GB_2017-02-21-commons.u1	1. When he next plans to meet the US Secretary of State.
ParlaMint-GB_2017-02-21-commons.u111	I welcome my right hon. Friend’s commitment to NATO, but does he not find it as depressing as I do that while other EU countries are completely obsessed with creating an EU defence identity, they are failing miserably to meet their NATO requirement of spending a minimum of 2% of their GDP on defence? Is not the foot-dragging by Germany, the richest country in Europe, and its refusal to honour that commitment until 2024 particularly perverse?
ParlaMint-GB_2017-02-21-commons.u112	We continue to make it clear that nothing should cut across NATO’s role as the cornerstone of European defence. Other parties’ contributions being fairly distributed to NATO would make sure that NATO can remain the force it needs to be.
ParlaMint-GB_2017-02-21-commons.u113	The Foreign Secretary mentioned the sanctions against Russia over its actions in Ukraine. Will the Minister confirm that even when we leave the EU it will be open to us to democratically agree such sanctions with the rest of the EU where it is in our mutual interest?
ParlaMint-GB_2017-02-21-commons.u114	That is not specifically a question about defence policy, as on the Order Paper, but none the less I can reassure the hon. Lady that the answer is yes. Some kind of parallel structure for implementing sanctions will be required and I am sure will be agreed.
ParlaMint-GB_2017-02-21-commons.u115	11. What recent assessment he has made of the progress of the transition to civilian democratic rule in Myanmar.
ParlaMint-GB_2017-02-21-commons.u116	Burma has made welcome progress towards democracy since embarking on reforms in 2011. It has lifted media censorship and released political prisoners, and held legitimate elections in 2015. The military remains powerful, however, and under the constitution is granted 25% of the seats in Parliament. Clearly, we want to see a transition to full democracy.
ParlaMint-GB_2017-02-21-commons.u117	The National League for Democracy, in power at the moment, continues to lock up those of its own activists who have spoken against the excesses of Burma’s military and its treatment of ethnic minorities. Will the Minister make it clear to the Burmese Government that it cannot be recognised as genuinely democratic if it keeps putting its critics behind bars?
ParlaMint-GB_2017-02-21-commons.u118	Human rights are vital, of course, and we always ask any Government to make sure that they are observed. More broadly, the issues right now are stopping the violations, securing humanitarian access and delivering accountability in parts of Burma where it is lacking, and those are precisely the points my right hon. Friend the Foreign Secretary pressed the Burmese Government and the military on when he visited Burma last month.
ParlaMint-GB_2017-02-21-commons.u119	Burma’s Rohingya Muslims were banned from voting in last year’s elections, and have since been excluded from dialogue between the military and other ethnic minority groups. Endemic violence against the Rohingya has recently been described by UN officials as ethnic cleansing that may amount to crimes against humanity. Did the Foreign Secretary raise the plight of the Rohingya with Daw Suu and the generals on his recent trip to Burma?
ParlaMint-GB_2017-02-21-commons.u120	Yes, he most certainly did.
ParlaMint-GB_2017-02-21-commons.u121	T1. If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2017-02-21-commons.u122	By the next time I answer questions in the House, the Government will have invoked article 50. My priority for the rest of the year therefore will be to ensure the smoothest and cleanest possible departure from the EU consistent with maintaining close co-operation with our European friends. I shall also strive—the Opposition can never achieve this—to work alongside the new US Administration as we deal with common challenges posed by Russia and the crises in the middle east.
ParlaMint-GB_2017-02-21-commons.u123	In July 2015, the highest court in Colombia decided that Her Majesty’s Government had discriminated against its embassy employee, Mr Darwin Ayrton Moreno-Hurtado, on the basis of his ethnic identity and religious convictions. The court ordered his immediate reinstatement, yet Her Majesty’s Government stubbornly continue to refuse to obey the court in Colombia. Does the UK Government not take seriously the judicial decisions of courts in Colombia, or do they not take seriously the need to cease ethnic and religious discrimination against their employees in Columbia?
