ParlaMint-GB_2017-12-21-commons.u1	1. When she plans to announce her decision on a new location for Channel 4.
ParlaMint-GB_2017-12-21-commons.u460	There are three remaining would-be Back-Bench contributors. The Front-Bench winding-up speeches must begin no later than 4.27 pm. Members can do the arithmetic for themselves.
ParlaMint-GB_2017-12-21-commons.u461	I commend the perseverance of my hon. Friend the Member for Kingston upon Hull North (Diana Johnson) in pursuing this contaminated blood scandal. Like others, Mr Speaker, I wish you and everyone a very happy Christmas, but the topic I wish to raise is a bit less merry Jobcentres are evaluated on the basis of benefit off-flow. Plaistow jobcentre, which was, until its closure in October, in the constituency of my hon. Friend the Member for West Ham (Lyn Brown), who is in her place, had a poor record. A new manager, Tony Sutton, appointed in May 2013, and a new deputy, Nazia Goci, were determined to raise benefit off-flow. A very troubled employee at the jobcentre, a constituent of mine, came to see me in September 2013. She described “awful working conditions”, and “unfair benefit sanctions” harassing people off benefits. I alerted the Department, and a senior official visited the jobcentre in October. I was grateful for that, but I understand that staff were banned from expressing concerns to him. He reported that everything was fine I was told that it was common to ask people to sign on for their benefit claim at irregular dates, in the hope they would forget to do so one week and their claim would then be closed; and that advisers were told to sanction a claimant if they called them on their mobile twice and they did not answer. In June 2014, I met for the first time my constituent Nasima Noorani, a personal adviser at Plaistow jobcentre, and Jannat Mirza, a team leader. They had been sacked from Plaistow the month before. A number of former staff there, not those I have mentioned, told me of a practice introduced by the new management. It was designed, in particular, to avoid people reaching 52 weeks in their jobseeker’s allowance claim, because at that point they would have had to be referred to the Work programme. There was immense pressure on staff to stop this happening and to stop referrals taking place. The procedure, which I am told was used repeatedly from mid- 2013, was that as people approached a deadline they would be taken off benefit and paid instead the same amount of cash from the flexible support fund for a couple of weeks, on a pretext—for example, to pay for a travelcard to get to a non-existent job—and then signed back on to JSA again a short time afterwards. Claimants got the same amount of cash and benefit off-flow went up by one However, claimants’ housing benefit was affected. One of the people on the receiving end of this, whom I know, complained about it. As a result, Naseema Noorani and Jannat Mirza were sacked. The claimant who complained, and all the staff I have discussed this with, are quite clear that those two employees were not the guilty parties. Naseema Noorani was the adviser who initiated the flexible support fund payment, but she only saw that claimant that morning because a colleague was late. It was made clear by managers that this was what she should do; the FSF payment was specified in a post-it note already on the claimant’s file. Jannat Mirza had no involvement at all. She merely authorised the use of a form for a slightly different purpose from usual. No action was taken against other staff who specified how much should be paid and who authorised the claim; nor against the managers. Naseema Noorani and Jannat Mirza were clearly scapegoats to cover up malpractice by more senior colleagues Jannat Mirza, unable to afford representation, lost an unfair dismissal claim. The tribunal seems to have done a cut-and-paste job on the Department for Work and Pensions’ submission, and made no serious attempt to address what had really happened. Naseema Noorani did not even try to claim. Since 2014, nobody has been able to tell me any possible gain from the fraud to the staff who were sacked. Others, however, had a clear career incentive to boost benefit off-flow. I have pursued this for three and a half years. Unable to remedy the injustice—and one of the two women is still out of work after more than three years—I simply want to place on the public record an account of what really happened Poorly designed numerical targets gave big incentives to managers, and in this case, as has perhaps occurred in others, they succumbed to temptation to bend the rules for their own advancement. As well as holding the managers to account, Ministers need to reflect on what went wrong and on the very high price paid by wholly blameless employees and large numbers of benefit claimants.
ParlaMint-GB_2017-12-21-commons.u462	This time last year, my single, a Band Aid cover named “National Living Rage”, rocketed up the Christmas charts, highlighting the plight of workers and the national scandal of low and unfair pay in Britain. There are many matters of sincere importance to be discussed before the forthcoming Adjournment, but this Christmas there are perhaps few as critical, heartbreaking and lamentable as the fact that 128,000 children will wake up homeless on Christmas morning. I cannot help but wonder how closely my two recent Christmas campaigns are linked, because more than half the homeless households in London are in work It would take a heart of stone to consider childhood homelessness on any scale to be acceptable. I was simply astonished to hear the Prime Minister seem to justify this crisis in Prime Minister’s questions yesterday by remarking that these children are not rough sleepers. Maybe not, but these children will wake up on Christmas morning in B&Bs, in hostels, or in the heart of a working industrial estate in my own constituency of Mitcham and Morden.
ParlaMint-GB_2017-12-21-commons.u463	I have not seen children sleeping rough, but I have certainly seen children under the age of 12 in hostels that churches run to keep people off the street. For me, that is the lowest level “roof over head” that there is. It is not a big step away from sleeping on the street.
ParlaMint-GB_2017-12-21-commons.u464	I completely agree with my hon. Friend. Consider Sarah’s family, who live in temporary accommodation in Mitcham. They will not have a Christmas dinner because they have no facilities to be able to cook one. They will not have a Christmas tree because their room does not fit anything other than the bed that the four of them share. They will not have any presents because every penny possible is being put aside so that one day they will have enough for the extortionate deposit that is the golden ticket needed to enter the private rented sector. In fact, I will be amazed if Father Christmas is even able to find Sarah’s family, because hers is one of the 22,000 families that have been moved out of their home borough, often without the receiving local authority being made aware of their arrival. When that happens, I am in no doubt that their safety cannot be guaranteed Recent freedom of information requests by the Children’s Rights Alliance for England have astonishingly discovered that almost a quarter of temporary accommodation is inspected by local authorities only once tenants have left. Worryingly, nearly two thirds of local authorities said that they did not even seek advice from their safeguarding service when they placed families in B&Bs or temporary accommodation. These are the realities faced by the 79,190 families in temporary accommodation in England today. Of course, those figures do not even account for the 9,000 rough sleepers on the streets of our constituencies, or for the 56% of 16 to 25-year-olds in the UK who say that they have family or friends who have sofa-surfed There can be no doubt about the responsibility for the country’s deplorable housing crisis. The report published yesterday by the Public Accounts Committee stated explicitly that the Department for Communities and Local Government has had an “unacceptably complacent” attitude to the reduction of homelessness. The Department’s current plans to tackle the issue were said to address only the tip of the iceberg, and there is an unacceptable shortage of realistic housing options for the homeless. Of course, most of us knew that already The last time that the Government target of building 300,000 new homes in one year in England was achieved was almost half a century ago, in 1969. The difference back then was that councils and housing associations were building new homes. But a solution is right here, in our hands: we must give councils the right to build as well as the right to buy. The private sector has never reached, and does not have the inclination to reach, the Government’s targets. For example, last year, only 121,000 permanent dwellings were completed by private companies; meanwhile, just 1,840 were completed by local authorities If the Government target of building 300,000 new homes is to be achieved, councils simply have to play their part, which is why I am calling on the Government to grant local authorities the right to build and the right to buy so that housing can be let to families on low incomes at social housing rents. A home to live in should appear on no child’s Christmas wish list. Father Christmas is simply not in a position to influence the budgets of local authorities, but the Government are, and on behalf of the 128,000 homeless children across the country, I sincerely hope that this will be their last Christmas morning without a place to call home.
ParlaMint-GB_2017-12-21-commons.u465	As always, it is a pleasure to be called to speak. Just as an introduction, let me quickly focus on the real meaning of Christmas. It is about not the actual date, but the remembrance. The very word “Christmas” means a Christ celebration. This is a time that has been set aside for people around the world to remember the fact that Christ gave up his divinity to come to earth in human frailty as a baby, to grow up tempted and tested, as each and every one of us has been, and ultimately to be the key part in God’s plan of salvation for every person on this planet through his death and resurrection. There is no point in Christmas if we do not have an Easter, and I am very pleased to celebrate them both This is a time when people of every nation, tribe and tongue have time to recognise not a date, but a promise fulfilled; not a time of birth, but an offer of a new birth to all who believe and accept Christ; not a birth certificate, but a plan from a loving God to a most beloved people. That is what Christmas is really all about. I love Christmas as a time to remember what the Lord did for us. I know that Christians throughout the world are joining me and others to thank God for the real meaning of Christmas At this time of year, we must also remember those across the world who, due to persecution and deliberate verbal and physical abuse, cannot go to their church and worship God as we can. I urge people inside and outside this House to pray for those people and to keep them very much in their thoughts In the short time that I have, I will mention a scripture text that I received, “Labour for the night cometh”. I thought very much about what I wanted to say. I know others have talked about this, but I very quickly want to focus on the volunteers and say a most sincere thank you to the people in our communities who work day and night, week day and weekend, sacrificing themselves nine-to-five, indeed a lot more, to provide help and assistance to people throughout the UK. They will not be able to spend the whole day at Christmas with their family, as they will be taking care of other people’s families. I am also thinking of NHS staff, healthcare staff, auxiliaries, porters, cleaning staff, GP services, lab technicians, and members of the Police Service of Northern Ireland, the police services, and the intelligence agencies. They do not sleep in their beds so that we can sleep in ours. I am also thinking of the fire service, the prison officers and all the staff in the road services. There are also those in uniform, whether in the Royal Navy, the Army or the Air Force. People posted in other parts of the world will not be close to their families. We should take a moment to think of all of them I also wanted to take this time to highlight the fact that our nation would not work the way that it does without the help and support of the literal army of volunteers who daily give their time and energy to make a difference and help people throughout this land. We simply could not live our life without them We live in a nation of givers: people who give charitably and generously throughout the whole year. It always makes me feel very, very proud to be British when I think about our giving mentality. I know that people in Northern Ireland perhaps give above the national average, but everybody, in all regions of the United Kingdom, gives and we should keep that in mind I am also very conscious of the fact that I should mention a few charities. I do not have time to go through them all, but let me mention very quickly the food banks and the people who work for them. There are 1,235 Trussell Trust food banks and 700 independent food banks. Staggeringly, volunteers do almost 3 million hours of unpaid work each year. That is equivalent to a basic wage of some £22 million. That is what the volunteers in the food banks do for us. We should consider that, as well as having this mainly volunteer-based support, this one sector has thousands who donate to food banks to help people in their communities. We all make a contribution to that At this Christmas time, I want to express my sincere thanks to all those who, throughout the year, have volunteered and helped out in churches and community groups in my constituency of Strangford and in the rest of our great United Kingdom of Great Britain and Northern Ireland. Our society simply would not work without people going out of their way to help others. That selflessness is so clear at Christmas as we hear of people donating to the food banks, of churches providing gifts, of people carol singing to the elderly and of people inviting neighbours and relatives to eat with them Christmas is very much about families. Mr Speaker, you will have your family with you at Christmas time, and I wish you every enjoyment with that. All of us will hopefully have our families around us as well, but there are those who do not have families, and we should be ever mindful of them I offer my most sincere thanks to everyone who has played a part in making someone’s life better this year—whether that is the Salvation Army helping individuals or the homelessness organisations that hon. Members have mentioned. We all have a focus on people, because we all try to work on behalf of our constituents I thank you, Mr Speaker, for your patience with us all in this House. It is quite something. I know that I have said this many times, but I do say it with sincerity. In fact, you probably show more patience to me than to anybody else. Next year, I am really going to try not to use the word “you”. I will endeavour to make that happen; it has only taken me seven years to remember and I will try to remember it in the year to come, if we are spared As other hon. Members have said, the right hon. Member for Chorley (Mr Hoyle) is very much in our thoughts. We keep his family very much in our minds and our prayers at this time I thank the other Deputy Speakers, who—like you, Mr Speaker—treat us very fairly, with so much patience and kindness. Mr Speaker, you are very much a champion of the Back Bencher. As a Back Bencher who has no aspirations to be anything other than a Back Bencher, I particularly enjoy the opportunity to participate in the debates in this House I thank the Hansard staff, who have been able to understand my accent and my Ulster-Scotsisms, which have actually been quite challenging for me at times, so they must be much more challenging for anybody else. I also thank all the staff, including security, who look after us in the House I hope that all hon. and right hon. Members in this House, Her Majesty, the Prime Minister, Her Majesty’s Government and Her Majesty’s Opposition have a very merry Christmas and a happy new year. I also publicly wish my constituents in Strangford, who I have the privilege to represent, a merry Christmas, and a happy and blessed new year.
ParlaMint-GB_2017-12-21-commons.u466	The hon. Gentleman has spoken in the spirit that we have come to expect from him, and it is hugely appreciated.
ParlaMint-GB_2017-12-21-commons.u467	What a pleasure it is to follow the hon. Member for Strangford (Jim Shannon), who has been a real source of encouragement in his fellowship to me since I joined the House; I pay tribute to him I am grateful for the opportunity to contribute to this debate before the Christmas adjournment. Before doing so, I would like to express my best wishes to the whole House, particularly the staff of the House, who have been incredibly welcoming to new Members. I hope they have a very happy and peaceful Christmas When I volunteered to sum up this debate for the Scottish National party, I was not quite aware of what I was letting myself in for. We have heard 16 Back-Bench contributions, from my hon. Friend the Member for Edinburgh North and Leith (Deidre Brock), the right hon. Member for East Ham (Stephen Timms), and the hon. Members for Harrow East (Bob Blackman), for Keighley (John Grogan), for Mole Valley (Sir Paul Beresford), for Caithness, Sutherland and Easter Ross (Jamie Stone), for Beckenham (Bob Stewart), for Ealing Central and Acton (Dr Huq), for Southend West (Sir David Amess), for West Ham (Lyn Brown), for Mid Worcestershire (Nigel Huddleston), for Ilford South (Mike Gapes), for Stafford (Jeremy Lefroy), for Kingston upon Hull North (Diana Johnson), for Mitcham and Morden (Siobhain McDonagh) and, of course, for Strangford (Jim Shannon). This has been the most wide-ranging debate that I have ever seen in this House. I pay tribute to the hon. Member for Southend West, who managed to get 25 or 26 different topics into six and a half minutes, which will be a real challenge for me next year I also place on the record my sincere thanks to my constituency staff—Derec, Carolann, Emily, Ross, Laura, David and Michelle—for all their hard work since my election in June. Their support has been invaluable and I am truly indebted to them Mr Speaker, the turn of the year is normally an opportunity for us to reflect on the year just past. However, with your indulgence, I want to look forward to 2018, particularly to some of the major challenges coming down the track for my city of Glasgow. On Friday last week, I had a meeting with Easterhouse Housing and Regeneration Alliance, which is a coalition of eight independent, community-based social housing providers in Greater Easterhouse. Before going any further, I pay tribute to the staff and directors of those eight housing associations, because our housing associations in the east end of Glasgow are more than just that: they are the backbone of the community, and go well above and beyond the role of a registered social landlord. It is important that that point is placed on the record and that our sincere thanks are expressed to all housing associations, which are so often the glue that holds our community together When I met EHRA staff last week, they expressed some serious concerns about changes emanating from the Department for Work and Pensions next year that will, quite frankly, be a hammer blow to the city of Glasgow—and a double blow at that. Ministers have already signalled their intention to close half of Glasgow’s jobcentres, with three out of the four jobcentres in Glasgow’s east end due for the axe. As its stands, jobcentres in Easterhouse and Parkhead, as well as in Bridgeton, in the constituency of my hon. Friend the Member for Glasgow Central (Alison Thewliss), will all be closed and relocated to Shettleston. Nowhere in the UK is being as disproportionately impacted by jobcentre closures as Glasgow’s east end—an area that has an unemployment rate double the UK national average I am afraid that, despite countless written questions, correspondence and a face-to-face meeting at Caxton House, the Employment Minister has repeatedly failed to take account of the profound concerns expressed by myself and the whole community in Glasgow’s east end. That includes our three east end Tory councillors, who also oppose these closures.
ParlaMint-GB_2017-12-21-commons.u468	As my hon. Friend says, the jobcentre closures are affecting the whole city of Glasgow. Is he particularly concerned, as I am, that Ministers have not been very reassuring on whether this will be the last round of closures, and that there is a real risk that, further down the road, the city could lose even more of its jobcentre provision?
ParlaMint-GB_2017-12-21-commons.u469	I am grateful to my hon. Friend for that intervention. He is absolutely right. The fact that Ministers have not clarified that point should be sounding alarm bells in our city, and I very much join him in expressing that concern However, it is not too late for the Government to drop these plans. They should conduct a full equality impact assessment. When they do, they will see for themselves the profound challenges posed by sanctions, poor transport connections and the deep-rooted issues of territorialism and gang violence that still exist in our city The second issue of concern expressed to me by the EHRA relates to universal credit. The social destruction that is universal credit is due to be unleashed on Glasgow next year, and it is crystal clear from the debates we have had in the House that it is simply not working. More than that, it is fundamentally flawed, and the tweaking around the edges that we saw during the Budget simply is not enough. Major concerns still exist—among not just politicians on both sides of the House but housing associations in the third sector—as to how universal credit is due to be rolled out, particularly in Glasgow Every day, evidence is mounting that universal credit is creating social destruction as it continues to roll out across these islands. The reduction from six weeks to five weeks, although welcome, is not enough. The wait for the first payment of universal credit is pushing people into rent arrears, debt and crisis, and we know that 25% of claimants are even waiting longer than six weeks—and that is according to the Department for Work and Pensions I am afraid that the manner in which the Tories have rolled out universal credit is completely opposed to their stated intention of making it mirror a salary. The refusal to halt the roll-out is nothing more than arrogance, and we see that the Conservative party is wedded to this ideological flagship welfare cut, despite the misery it is causing in our local communities Citizens Advice Scotland has said that evidence from five bureaux in areas where universal credit has been fully rolled out has shown an average 15% rise in rent arrears issues, compared with a national decrease of 2%, and an 87% increase in crisis grant issues, compared with a national increase of 9%. Citizens Advice Scotland has also analysed over 52,000 cases it has seen and has concluded that those on universal credit would, on average, appear to have less than £4 per month left to pay all their creditors after they have paid essential living costs—that is not something we should be condoning in the House Finally, the Trussell Trust has reported seeing a 17% increase in food bank usage in areas of full universal credit roll-out—more than double the national average. My own local food bank—Glasgow NE Foodbank, run by Tara Maguire—is already at breaking point. The full universal credit roll-out in Glasgow could well be the straw that breaks the camel’s back. That is why I am very much calling today for the roll-out of universal credit to be halted and abandoned entirely in Glasgow If there is one thing I have learned in my time in this House, it is that the Government have difficulty listening. We see that with Opposition day debates and with the power grab they are trying with the Brexit Bill. So if I may, I would, in the spirit of Christmas, urge Ministers to come back to the House with a new year’s resolution to listen and to act in the interests of our communities. They can start doing that by abandoning the proposed closure of Glasgow’s jobcentres and halting the universal credit roll-out in Glasgow.
ParlaMint-GB_2017-12-21-commons.u470	I did promise the House brevity, as I am aware that colleagues will want to return to their constituencies and families for Christmas and, indeed, to start some Christmas shopping—those of us who have not managed it. I spotted some Ministers in the House of Commons shop this morning, so I know we are all a little behind With the Prime Minister, the Defence Secretary, the Foreign Secretary, the Trade Secretary and the Business Secretary all in Poland, and with the First Secretary resigning, I wonder whether my opposite number, the Deputy Leader of the House, feels that he is here starring in the remake of “Home Alone” this Christmas. I enjoy working opposite him; he has been very supportive. I wish him well in his endeavours. I think the Government are in safe hands with him in the coming weeks Brexit is the biggest issue of our time, and it is right that we have concentrated so much of our time in this place on that subject. We have had over 64 hours of debate on the EU (Withdrawal) Bill. Over 300 amendments have been tabled and there have been 14 reports by 10 different Committees. There have been 43 votes in total, and we have won one—but a very important one. As many colleagues have said previously—you have endorsed this, Mr Speaker—it is crucial to the functioning of our parliamentary democracy that all Members vote according to their judgment of the best interests of their constituents. The outcome on amendment 7 has therefore been reassuring for all democrats I would never have thought that I would be pleased to be surrounded by so many eminent lawyers and scholars of “Erskine May” in the past few weeks, but it has been very interesting. I have found it quite a treat to witness colleagues pursue so ingeniously every legislative avenue to take back control to this place. I have learned a lot. I have learned about Humble Addresses, and I am now almost clear on the difference between a sectoral analysis and an impact assessment.
ParlaMint-GB_2017-12-21-commons.u471	You could make a lot of money out of that.
ParlaMint-GB_2017-12-21-commons.u472	I could have done if I had chosen a different career We owe many right hon. and hon. Members who have pored over every detail of the Bill, their advisers, and, indeed, the Clerks of this House a huge debt of gratitude. I sincerely hope that they have some lighter reading over the Christmas period While we have been talking a lot about Brexit, Members have participated in debates on other really important subjects here and in Westminster Hall. We have heard from colleagues, particularly here, about the roll-out of universal credit, which has been discussed again this afternoon. This policy is having a huge impact on families struggling to make ends meet, whom we particularly think about over this Christmas period. All of us, regardless of party, have a huge number of constituents who are affected. I know that my colleagues will share a commitment to do all we can to help mitigate the impact of this when the House returns in the new year During this interesting debate, many hon. Members have raised issues close to their own hearts and their own constituencies. It has been a fairly sombre debate with so many important issues being raised. It has illustrated the fact that regardless of which side of the House we sit on, our constituents often face the same issues, and we do share work and support each other across the House to make things better for people We have heard from the hon. Member for Harrow East (Bob Blackman), my hon. Friend the Member for Keighley (John Grogan), the hon. Member for Mole Valley (Sir Paul Beresford), the hon. Member for Caithness, Sutherland and Easter Ross (Jamie Stone), the hon. Member for Beckenham (Bob Stewart), my hon. Friend the Member for Ealing Central and Acton (Dr Huq), the hon. Member for Southend West (Sir David Amess), my hon. Friend the Member for West Ham (Lyn Brown), the hon. Member for Mid Worcestershire (Nigel Huddleston), my hon. Friend the Member for Ilford South (Mike Gapes), the hon. Member for Edinburgh North and Leith (Deidre Brock), the hon. Member for Stafford (Jeremy Lefroy), my hon. Friend the Member for Kingston upon Hull North (Diana Johnson), my right hon. Friend the Member for East Ham (Stephen Timms), my hon. Friend the Member for Mitcham and Morden (Siobhain McDonagh), the hon. Member for Strangford (Jim Shannon), and finally—well volunteered—the hon. Member for Glasgow East (David Linden): they should have told you what you were letting yourself in for We have heard about a huge range of subjects. I did not know that it is the 50th anniversary of Crisis, which the hon. Member for Harrow East talked about. The theme of transport occupied my hon. Friends the Members for Keighley and for Ealing Central and Acton. My hon. Friend the Member for Keighley made an excellent point on behalf of sports fans, workers, shoppers and theatre-goers travelling on Boxing day. Like me, my hon. Friend the Member for Ealing Central and Acton is well advised on transport matters by a son who is very keen on these subjects. She made a good point about the impact of welcome infrastructure projects on her constituency with regard to HS2, and the importance of small businesses My hon. Friend the Member for West Ham again demonstrated the range of passionate campaigns that she has pursued in this place. She is held in huge respect across the House for that work. We heard about three of the campaigns that she will be pursuing. She has already managed to elicit some response from the Government Front Bench on that work I first heard my hon. Friend the Member for Ilford South speak at a Labour party event when I was a young child in the late 1980s—he talked about defence and international affairs and was hugely impressive. He is hugely knowledgeable on these subjects. Today he spoke, again with great passion, about British citizens here and abroad. Long may he continue to do so, on behalf of the people of Ilford South My hon. Friend the Member for Kingston upon Hull North is the embodiment of the phrase “must persevere”. I remember being here to hear the good news that she shared about the campaign in July, and I am shocked to hear that she has had to pursue the work down every single avenue. As she said eloquently, she will persist on behalf of those families My right hon. Friend the Member for East Ham—he is very knowledgeable, and I always listen attentively when he talks about these matters—raised some terrible accounts of activities that are going on in Plaistow jobcentre. I know that he will pursue the matter with Ministers My hon. Friend the Member for Mitcham and Morden reminded us of the production last year of her record, which we all very much enjoyed. She is pursuing relentlessly another Christmas campaign on behalf of homeless children, for whom she has been working so hard. She is another dedicated campaigner, who has been a constant source of good advice and support to me and to many other hon. Members I am sure everyone will join me in thanking all those across the country who, despite enormous pressure on local services, continue to work so hard over this period to provide the vital services that our communities need. To our servicemen and women, to those who keep our public places clean and to all public servants I express heartfelt thanks for all that they do. If I may, I would like to touch on my own constituency, Bristol South, and pay tribute to all the GP surgeries and to the staff at South Bristol Community Hospital, who will be providing vital care to people over this period In keeping with the Christmas tradition, let me say that the red, red robin keeps bob, bob, bobbing along, and I take this opportunity to say well done to Bristol City on their 2-1 win last night against Manchester United at Ashton Gate. Never have I met so many fans of not wanting Manchester United to win as I did in the Lobbies last night. I am not a regular football fan, although I enjoy going to the occasional game and watching. But I work very closely with the club, which is based in my constituency and which makes a huge contribution to the local community. We have heard about how many other football clubs across the country do similar work. Well done to Bristol City, and I hope that they have some rest over the period before the next game with Manchester City. It is a shame that the draw did not turn out differently, Mr Speaker, because I would have enjoyed welcoming you back to Bristol South to watch the game if Arsenal had been drawn I am looking forward to spending some family time in Bristol, and I am sure that my family will be pleased to see me. As the hon. Member for Mid Worcestershire said, this job is not easy, and our families support us very well. I hope that many hon. Members will have time with their families. I will be catching up with “The Crown”. I am a huge fan of the series, and I am hoping that I might be able to polish my accent a little bit by the end of it. I am hoping to catch up with “The Last Jedi”, which I have not seen yet. If any hon. Members have not seen “Paddington 2”, I would thoroughly recommend it. It carries some heart-warming messages about the importance of being an inclusive and caring society that we could all take away with us Bristolians will have the opportunity to visit my constituency to watch “Beauty and the Beast”, which is being performed in the Tobacco Factory theatre. It is a reminder that in the often cruel times in which we live, beauty and, indeed, beastliness are only skin deep. On that note, I wish all my colleagues, and colleagues from across the House, a safe, happy and peaceful Christmas. I look forward to continuing to work with them all in the new year and, of course, welcoming in a new Labour Government.
ParlaMint-GB_2017-12-21-commons.u473	The hon. Lady’s speech was going so well until that last point; I really do not think that that is likely to happen I welcome the hon. Lady’s comments. She started by mentioning how many Ministers from Her Majesty’s Government were abroad in Poland at the moment. May I assure the House—and you, Mr Speaker—that I am not the only one left, as you can see from the Front Bench? I think the stock markets may still be open, so I do not want to alarm them. I am not in charge.
ParlaMint-GB_2017-12-21-commons.u474	Shame!
