ParlaMint-GB_2017-10-30-commons.u1	1. What steps he is taking to support economic growth and job creation in coastal communities.
ParlaMint-GB_2017-10-30-commons.u460	I rise to support the Bill. Having recently served on the Finance Bill Committee, one realises that there is a beauty in brevity, and the two pages of this Bill are indeed beautiful. They are beautiful in what they seek to do, which goes to prove that a Bill does not have to be large in stature to be effective During my time in the reserve forces, I interacted with a number of friends and colleagues in the Regular Army and the regular services who dealt on an uncomfortably regular basis with members of their service going to them as their officer to say, “Boss, I am going to have to leave because my recent service has been very intense and if I want to keep my family together, I am going to have to enter ‘First UK Civ. Div.’”. In this place, we would call that civilian employment. I know that a number of my colleagues were hugely disappointed, but they understood that these soldiers, sailors and Air Force personnel would have to put their family first, and they reluctantly let them go. That was the right thing for these people to do, but unfortunately it was a loss to the service It is worth remembering that the patterns of military service we are now used to were put in place at a time when a single employer for life was the norm in civilian employment, and the idea that the bloke would go off to earn all the money for the family and the wife would be happy to stay at home looking after the children was also the norm. The world of work in the civilian sphere has changed beyond recognition. It is now perfectly normal to have two working parents in a household. It is now perfectly normal for the woman in the household to have the more significant and high-earning job, and for the man in the household to be the one who bends their working life around the needs—[Interruption.] Of the wife, indeed. There are plenty of examples in the Chamber this evening of that happening, yet until this Bill is passed it will still be the norm in this area for the woman in a relationship to have to sacrifice her career for that of her husband. Surely in 2017 that should no longer necessarily be the case I was struck by the point made by the hon. Member for Stoke-on-Trent North (Ruth Smeeth) that we have few women in very senior roles in the armed forces. That is a shame, and it weakens us at a point in time when we now recognise that the diversity of experience and knowledge is an important element in successful planning for not just operations, but the background work in which our armed forces take part. One Opposition Member made the point—I apologise for not recalling who it was—that it is not enough just to pass this Bill, important though it is; it is also important that we drive through a cultural change in the armed forces. The hon. and gallant Members who have served will know that there is an unwritten rhythm to the perfect military career. Someone becomes a platoon commander at a certain age and a company second-in-command at another, they go to staff college at this point and then become a brigade chief of staff, before going on to command a sub-unit and then hit other markers at other points. That is the route to high command in the armed forces. It is great for completely flexible men, but it is much harder to hit those career markers if you need to take time off to have children, and that massively disadvantages women Hopefully the Bill will become an Act, after which the acme of its success will be that if a man needs to take time off from that career rhythm to support his family—his children, an elderly relative or whoever it might be—he still feels that he has as much chance of getting to high command, should his talent lead him there, as a woman. As the hon. Member for Plymouth, Sutton and Devonport (Luke Pollard) said, there must be no stigma for either a man or a woman in taking advantage of flexible working.
ParlaMint-GB_2017-10-30-commons.u461	Does the hon. Gentleman agree that the cultural change we need to see is a senior officer being the first person to access flexible working? That would send the right message to the rest of the force about how the changes should be implemented and how we should operate.
ParlaMint-GB_2017-10-30-commons.u462	That is not something I had thought of, but it is an important point. If not someone at a very senior rank—there might be the implication that they had already cashed in their chips so were fine—I would love it and it would be interesting to see one of the potential high fliers take up flexible working. Those Members who have been involved in one of the numerous all-party groups on the armed forces all have a little shopping list of the people who could be the service chiefs of the future. Were one of those marked people, the future high fliers, to say, “I’m going to take advantage of this and send a really powerful signal that it will not carry any stigma”, that would be important I hope that the Bill will drive a change in attitudes towards service leavers. While I was waiting to speak, I took part in an exchange on social media in which someone reminded me that traditionally the armed forces have not been very good at dealing with people on their way out. I have always been massively frustrated by that, because those people are the recruiters of the future. It is remarkable that someone who might have had decades of happy service, whether in dark blue, light blue or green, and who could have gone on to become a fantastic recruiter for their branch of the armed forces, could get messed about so comprehensively in their last few weeks and months of service that when they finally hit civvy street the only thing they have to say is what an awful experience they had. That seems a massive waste. Perhaps, through this model of flexibility of service, the armed forces will get better at dealing with people as they move from full-time service to part-time or flexible service, from part-time service to reserve service, and from reserve service to civilian life, in such a way that those people become and remain powerful recruiters for their branch of the armed forces The changes in the Bill will need careful management, but this agenda should not be avoided just because of that. We will need to make sure that flexible working is not used as a way to duck out of a particularly bad potential deployment—we all know that there are good and bad deployments. We must also make sure that the availability of flexible working is well communicated throughout people’s service life, so that they have thought about it before they need to do it, rather than just afterwards. I do not want to see anyone else sacrifice either their career because of their family or their family life because of their career. The Bill is a big step forward and I commend it to the House.
ParlaMint-GB_2017-10-30-commons.u463	It is a great pleasure to speak in this debate. Having heard from my hon. Friend the Member for Torbay (Kevin Foster) about his grandfather’s naval experiences and from my hon. Friend the Member for Braintree (James Cleverly) about his Army background, I am going to bring a little Air Force balance to the debate. I have to take this opportunity to mention both my grandfather Albert Robert Newitt, who was known to everybody as Dennis, and my great-uncle Basil Newitt. They were the bomber brothers of my family and were, respectively, a Wellington navigator and a Lancaster bomb aimer Times have changed immeasurably since then. We are now in an age of high technology. Crucially, as my hon. Friend the Member for Braintree rightly mentioned, we are no longer talking about a job for life. People now know that they have choice in their employment experience, and they will take it. It is in that world that we compete today, and that the armed forces must also compete. The armed forces are not immune to those pressures of childcare and job flexibility. Although there is no doubt that a career in the armed forces is loved—those who serve today will no doubt confirm the camaraderie and excitement that they experience—unique pressures do exist. There is the fact that people are moved around without any say in their own living accommodation. That is very off-putting for some, particularly those who have families. That of course leads to a unique job retention crisis Suffice it to say that I support everything that this Bill is trying to do. I look forward to further discussions at a later stage.
ParlaMint-GB_2017-10-30-commons.u464	I thank my hon. Friend the Member for Witney (Robert Courts) for his contribution to this debate. As Members on both sides of the Chamber will agree, those who serve, or who have served in the armed forces of our United Kingdom, some of whom now sit on the Benches in this House and who have made full contributions to this debate using their experience and knowledge, should be continually supported throughout their career. An individual who chooses to risk their life for their country will always have the backing and support of this Government The package of reforms in our armed forces people programme demonstrates our commitment to service personnel and this Bill ensures that, like those in other industries, they have greater flexibility around how they balance both work and life. Although discretionary flexibility in working has been in place since 2005, there is no ability for regulars to work part-time or have a guarantee that they will not be liable for extended overseas deployment. This Bill ensures that those practices will indeed be formalised. The arrangement works well in other countries. Although the UK leads the way in many areas, we must continually seek to learn from other countries that have successfully implemented policies that we too could benefit from adopting We must never forget that, like each one of us, armed forces personnel bear personal responsibilities—whether that be a family, elderly relatives or ill health in the family. As with other careers, we must ensure that we make a role in our armed forces as accessible as possible and open to the widest possible pool of talent I had the great pleasure of visiting RM Condor, in my constituency of Angus, and was struck by the high proportion of marines who came from hundreds of miles away to serve in Arbroath. It is right and proper that we in this House give those marines the flexibility they need to deal with the challenges in their home lives—often many miles away from their base As other Members have mentioned, further flexibility will encourage more recruits in their late 20s and early 30s and may well move us closer towards the model adopted in the Netherlands, which the hon. Member for Glasgow North West (Carol Monaghan) mentioned. Obviously, I feel passionately that we need to encourage more females and seek to reach that target of 15% by 2020. No career should be skewed towards one gender, and it should not be easier for a male or a female to carry out any role One of the most important factors that will drive personnel to take advantage of the flexible working hours is supporting a family. A role in the armed forces and being a visible parent will no longer be mutually exclusive. Although the jobs market in the United Kingdom is increasingly competitive, careers in the public service must also adjust and modernise. As Members have suggested, there have been societal changes to which we must adapt, although operational capability must be at the forefront of the MOD’s decisions on any applications I cannot overestimate the positive outcomes of this Bill. It outlines this Government’s commitment to modernising our working practices, making careers in the armed forces more accessible and workable in modern life, supporting diversity within the workforce, and alleviating strain and external pressures for personnel. Each and every one of these attributes will positively influence the working environment, morale and readiness of our armed forces. We must never forget these service personnel, who sacrifice much more in their service than you and I, who deserve to be able to live a family life as far as possible just like you and me and to feel their selfless commitment is appreciated just as you and I would ask. That is exactly what the Bill achieves. I am delighted to welcome it for the benefit of the Royal Marines in my constituency of Angus, and for all those who so nobly serve in the armed forces across our United Kingdom.
ParlaMint-GB_2017-10-30-commons.u465	This debate has been an interesting one with a considerable amount of consensus. It has clearly shown how much our armed forces are valued in this House We heard from a range of Members, not least the Chair of the Defence Committee, the right hon. Member for New Forest East (Dr Lewis), who reminded us of concerns about retention and the need to avoid bureaucracy and entertained us with the lyrics of a Glee Club song, “Part-time Submarine”. However, I think that I share with other Members a slight disappointment that he did not actually sing the tune My hon. Friend the Member for Chesterfield (Toby Perkins) mentioned his pride in our armed forces, his many exchanges with personnel including through the armed forces parliamentary scheme and his concerns about the impact of pay on morale. I think that we received an invitation to a service of private thanksgiving in Chesterfield on the Thursday after Remembrance Sunday My hon. Friend the Member for Stoke-on-Trent North (Ruth Smeeth) highlighted concerns about retention, the future accommodation model and particularly about CarillionAmey, which a number of hon. Members mentioned. She expressed concerns that only 10.2% of our armed forces are women. As she said, that simply is not good enough. I am sure that is a sentiment with which the whole House will agree The hon. Member for Glasgow South (Stewart Malcolm McDonald) said that we need a debate on pay and an end to the pay cap. The right hon. Member for Rayleigh and Wickford (Mr Francois) spoke about his study into recruitment and retention and his 20 recommendations. He also had concerns about the future accommodation model My hon. Friend the Member for Glasgow North East (Mr Sweeney) spoke about his own experience of joining what was the Territorial Army, and highlighted the need for more formal structures between the reserves and the regulars. He also mentioned the concerns that many reservists face with employment and the need for protected status My hon. Friend the Member for Plymouth, Sutton and Devonport (Luke Pollard) talked about the progress that has been made in the armed forces, particularly for LGBT and BAME people and for women. He also mentioned the need to look at pay. He commented that it is vital to recruit and retain personnel to match the investment in the new platforms and equipment, and he said that the Government need to address the personnel shortage We heard from the hon. Members for Aldershot (Leo Docherty), for Chichester (Gillian Keegan), for Tonbridge and Malling (Tom Tugendhat), for Cannock Chase (Amanda Milling), for Glasgow North West (Carol Monaghan), for Rochester and Strood (Kelly Tolhurst), for Torbay (Kevin Foster), for Witney (Robert Courts), for Braintree (James Cleverly) and for Angus (Kirstene Hair)—I hope I have not left anybody out—many of whom gave examples of interactions with armed forces personnel, sacrifices of family life and the impact on the work-life balance As hon. Members across the House are aware and as was highlighted by my hon. Friends the Members for Llanelli (Nia Griffith) and for Cardiff South and Penarth (Stephen Doughty), we are facing a crisis of recruitment and retention in our armed forces and something must be done to get to grips with it. The measures in the Bill are part of the new employment model programme that has been established to improve the offer for members of our armed forces and that is looking at four policy areas: pay and allowances; accommodation; training and education; and terms of service. I hope that the Minister will mention in his reply progress being made in other areas, particularly pay, as well as accommodation. Access to good-quality, affordable accommodation is an important part of the overall offer. The lack of detail surrounding the future accommodation model is concerning to many personnel, so I hope the Minister will update us on that As my hon. Friend the Member for Llanelli said, we welcome the principle of flexible working in our armed forces. Anything that makes service life more compatible with personal and family life is a good thing, as in any profession. As has been highlighted during the debate, there are already ways in which members of the armed forces can work flexibly, including compressed hours, late starts or early finishes and working from home. It is the notion of part-time working that is the new element in the Bill, and we still need a number of questions answered about the details of the scheme and how its various aspects will work in practice Let me turn to some of the practicalities. Service personnel will have to apply to a competent service authority. Will this be someone who knows the personal circumstances of the individual service member, so that they can make a more nuanced assessment, or will it be somebody removed from them, and if so, will the applicant’s commanding officer make a recommendation alongside their application? Or will applications be anonymised, so that there can be no conscious or unconscious bias on the part of those making the decision Will there be clear limits on the number or percentage of those working part time that any specific regiment can have? If somebody applies after that limit has been met, will they automatically be rejected? What will the process be when it comes to the right of appeal? Will there be a timeframe? Will there be a body to deal with that specifically Several Members in the other place highlighted the term “part time” as potentially problematic, given that it could imply a service member’s commitment is only part time. Do the Government have any plans to re-examine that term? I am slightly concerned that the Government have not fully envisaged exactly how some of the elements will work, so I hope that the Minster will be able to clarify some of those concerns this evening With regard to the other aspect of the Bill—the limits to separated service for defined periods—the results of this year’s tri-service family attitude survey, which was released just last week, revealed the lack of support spouses and families feel they receive on deployment. There have been decreases in satisfaction with the types of support before operational tours. There have also been decreases in satisfaction with support during and after deployments. One in three spouses did not know where to go for service-provided welfare support while their partner was deployed. More disappointingly, over half of service families do not feel valued by the services. We know how significant families are to the forces community, so it is important to ensure they know how valued they are, and I think that all of us in the House would like to express that today Alongside the option to limit deployment, will the Minister tell the House what the Government are doing to improve support and access to support for families while their service member is away on deployment? What are they doing to improve the relationship between families and the forces? I hope that we can iron out in Committee the details I have mentioned, and I look forward to working with the Minister during that process I will finish by saying, as did my hon. Friend the Member for Llanelli, that we are prepared to support the Bill, but if we are to do so, the Government must be prepared to amend it to give a fair pay rise to our forces personnel or to allow the pay review body to conduct an in-year review without the cap in place. For the Bill to improve recruitment and, crucially, retention, it needs to be supported by investment in our personnel, and I hope the Government will put their money where their mouth is and invest in our servicemen and women.
ParlaMint-GB_2017-10-30-commons.u466	Despite the time constraints, we have had a welcome, constructive and largely agreeable Second Reading debate. I am grateful for the contributions from both sides of the House, and I am pleased to have the opportunity to respond to some of the points made As the Secretary of State said in opening the debate, while we are investing in equipment—in new ships, submarines, aircraft and armoured vehicles—we must also continue to attract and retain the people not only to use that equipment but to learn the skills to leverage its capabilities fully, to ensure that, strategically and tactically, we can continue to meet our defence, security, humanitarian and diplomatic obligations Ultimately, this is about people; it is about those in uniform who defend these shores and our security interests abroad. It is about those in uniform whom we call on to respond to new threats and challenges, such as a resurgent Russia, or to provide humanitarian support in the Caribbean. It is those in uniform—their capabilities, their leadership, their courage and their commitment—who truly reflect our operational effectiveness. However, to attract the brightest and the best, we must recognise the modern context in which recruitment and retention take place Just as our equipment and tactics advance and modernise, so too must our offering in terms of what it entails to wear the uniform and serve in the Royal Navy, the Army or the Royal Air Force. As the Secretary of State stated, we are now committed to an ambitious programme to advance our personnel policies, and this Bill is an important step towards a more modern lifestyle for our armed forces. Under our armed forces people programme, there are four key strands: first, our new joiners’ offer, developing a new employment offer that better meets the expectations of future recruits; secondly, our future accommodation model, advancing the housing options available both to single and to married personnel, including home ownership; thirdly, the enterprise approach, with a better harnessing of the transition between public and private sector, specifically for those with engineering and high-tech skills; and finally, offering greater flexible engagement through this Bill There is not enough time to do justice to all the contributions we have heard, but I join the hon. Member for Merthyr Tydfil and Rhymney (Gerald Jones) in congratulating those who have spoken. The Opposition spokesperson, the hon. Member for Llanelli (Nia Griffith), who supported the Bill in general, spoke about some of the challenges that our armed forces face to do with childcare, partner illness and so forth. I am pleased with the general tone that she adopted, which was reflected across the House My right hon. Friend the Member for New Forest East (Dr Lewis), the Chair of the Defence Committee, almost broke into song; I think that the House is probably grateful that he did not. Other contributions from across the House highlighted the importance of supporting the people who make our armed forces work.
ParlaMint-GB_2017-10-30-commons.u467	Will the Minister give way?
ParlaMint-GB_2017-10-30-commons.u468	I will not give way because of the time, and I would like to make some further comments As has been said, this small but important Bill will help to modernise our armed forces, and it forms part of a package of measures to maintain the attraction of serving our country. Without exception, all Members, from the opening speech by the Secretary of State onwards, stressed the respect that our armed forces command both here in the UK and abroad.
ParlaMint-GB_2017-10-30-commons.u469	On a point of order, Mr Deputy Speaker. I am slightly bemused. Can you confirm whether we have until the moment of interruption for the Minister to continue his remarks?
ParlaMint-GB_2017-10-30-commons.u470	That is not a point of order, but there are 33 minutes to go.
ParlaMint-GB_2017-10-30-commons.u471	As I said, without exception, all Members from across the House came to support the people in our armed forces today For centuries and across continents, our armed forces have been respected—indeed, revered—for their grit, tenacity and courage. When we define who we are as a nation—our standards, our values, our tolerance, our interests and our aspirations—they are neatly interwoven with the reputation of our armed forces and the role that they play on the nation’s behalf.
ParlaMint-GB_2017-10-30-commons.u472	Will the Minister give way?
ParlaMint-GB_2017-10-30-commons.u473	I will not give way—I have made that clear The Secretary of State spoke, as did others, of our armed forces being the best in the world. The professionalism and capability of our personnel remains the exemplar on which other nations, both friend and foe, rate the professionalism of their armed forces. In this place, we often refer to Britain’s global influence as the world’s leading soft power, with the ability to pursue a transparent agenda to help shape the world around us as a force for good through our influence, commitment, political values and foreign policies. That international respect works only if it is underlined by the recognition that it is backed by the hard power that can be called on to support, to lead, to stabilise, or, where necessary, to intervene. Who do we call on to step forward? It is those who are in uniform. This is not just about attracting the brightest and the best in an ever-competitive domestic environment; in a fast-changing and challenging world, it is about retaining the professionalism of our armed forces that helps us to continue to play a critical role as a force for good on the international stage. It is therefore right that we advance our offering to attract the brightest and the best. That is exactly what this Bill, sitting with the other measures that I have outlined, attempts to do Question put and agreed to. Bill accordingly read a Second time. Armed Forces (Flexible Working) Bill [Lords] (programme) Motion made, and Question put forthwith (Standing Order No. 83A(7)), That the following provisions shall apply to the Armed Forces (Flexible Working) Bill [Lords]: Committal (1) The Bill shall be committed to a Public Bill Committee Proceedings in Public Bill Committee (2) Proceedings in the Public Bill Committee shall (so far as not previously concluded) be brought to a conclusion on 14 November (3) The Public Bill Committee shall have leave to sit twice on the first day on which it meets Consideration and Third Reading (4) Proceedings on Consideration and any proceedings in legislative grand committee shall (so far as not previously concluded) be brought to a conclusion one hour before the moment of interruption on the day on which proceedings on Consideration are commenced (5) Proceedings on Third Reading shall (so far as not previously concluded) be brought to a conclusion at the moment of interruption on that day (6) Standing Order No. 83B (Programming committees) shall not apply to proceedings on consideration and up to and including Third Reading Other proceedings (7) Any other proceedings on the Bill may be programmed.—(Chris Heaton-Harris.) Question agreed to.
ParlaMint-GB_2017-10-30-commons.u474	With the leave of the House, we will take motions 3 to 9 together Ordered, Administration That Sir David Amess, Sir Paul Beresford, Sarah Champion, John Cryer, Michael Fabricant, Colleen Fletcher, Mrs Pauline Latham, Jessica Morden, Mary Robinson and Mark Tami be members of the Administration Committee. European Scrutiny That Sir William Cash, Douglas Chapman, Steve Double, Richard Drax, Mr Marcus Fysh, Kate Green, Kate Hoey, Kelvin Hopkins, Darren Jones, Mr David Jones, Stephen Kinnock, Andrew Lewer, Michael Tomlinson, David Warburton and Dr Philippa Whitford be members of the European Scrutiny Committee Finance That Mr Clive Betts, Chris Bryant, Geoffrey Clifton-Brown, Neil Gray, Mr Lindsay Hoyle, Helen Jones, Stephen McPartland, Mark Menzies, Sir Robert Syms, Mark Tami and Mr William Wragg be members of the Finance Committee. Human Rights (Joint Committee) That Fiona Bruce, Ms Karen Buck, Ms Harriet Harman, Jeremy Lefroy and Mark Pritchard be members of the Joint Committee on Human Rights National Security Strategy (Joint Committee) That Margaret Beckett, Yvette Cooper, James Gray, Mr Dominic Grieve, Dan Jarvis, Dr Julian Lewis, Angus Brendan MacNeil, Robert Neill, Rachel Reeves, Tom Tugendhat, Stephen Twigg and Theresa Villiers be members of the Joint Committee on the National Security Strategy. Statutory Instruments (Joint Committee) That Dan Carden, Vicky Foxcroft, Patrick Grady, John Lamont, Lee Rowley, Sir Robert Syms and Derek Twigg be members of the Joint Committee on Statutory Instruments. Procedure That Nick Smith be a member of the Procedure Committee.—(Bill Wiggin, on behalf of the Selection Committee.)
ParlaMint-GB_2017-10-30-commons.u475	rose—
ParlaMint-GB_2017-10-30-commons.u476	Order. The full words of the hon. Lady should be heard. In the inexplicable circumstance of colleagues not wishing to hear her observations, we shall wait until all who are present clearly do, and until they are attending to the Adjournment debate speech, rather than—I say this to the hon. Member for North Wiltshire (James Gray) and the right hon. Member for New Forest East (Dr Lewis)—engaging in their own private conversation.
ParlaMint-GB_2017-10-30-commons.u477	Thank you, Mr Speaker. That is very kind. I know that we have plenty of time for this debate, but I will not detain the House for longer than is necessary Tonight I raise an issue that is unlikely to attract a great deal of parliamentary attention. However, for many people in Burncross in my constituency, the loss of their post office is a major issue that threatens serious disruption to their everyday lives. Indeed, it is such an issue that within days of the announcement that their well-used post office was to close, I received a petition from more than 1,400 local residents asking me to help Burncross is situated between the small town of Chapeltown and the old pit village of High Green. It is a residential area characterised predominantly by semi-detached homes of mainly private tenure, along with a smattering of local authority homes and some sheltered housing. The area is mixed demographically, but one of its principal characteristics is a higher than average proportion of residents who are eligible for an old age state pension. In other words, those who are most likely to need accessible postal services, and least likely easily to traverse large distances over Sheffield’s renowned hills to access them, are most likely to be hit by the closure. That is especially true in view of the comparatively poor public transport connectivity in the area The area, nestling as it does between High Green and Chapeltown, suffers from a lack of retail establishments of its own. For years, however, Burncross has enjoyed the presence of a Costcutter, which has also housed the post office. The supermarket has become an important part of the fabric of the area. It has been there for all the years that I have been the Member of Parliament for Burncross, and it was there for many years before that The post office has been well used, with some 1,200 transactions a week. It operated at a profit, and in 2014 it was upgraded in the network transformation programme into a new “main style” branch. I believe that that reflects its importance to the post office network. In July this year, however, it was announced without warning that the post office would close imminently, and not because the Post Office considered it to be a failing outlet, as is often the case. This debate does not represent a criticism of the Post Office, or, one may be surprised to find, the Government The reason for the closure was that the freehold owner of the building that housed both the supermarket and the post office decided to redevelop the site and construct a new, larger premises. That, one would imagine, could only be a good thing. Costcutter, however, decided at that point not to renew its lease arrangements and has opted out of running its business from the new premises. The upshot is that the Co-op has entered into an agreement with the owners of the building to run one of its supermarkets from the location, but its plans for the store do not include a post office Like any good constituency MP, I have spoken to both the Co-op and Post Office Counters about the loss of the service. While Post Office Counters is sympathetic and supports the ongoing provision of postal services in the area—it totally understands the distance that local people will have to travel if they can no longer enjoy the service—its view is that there is nowhere large enough or suitable in the area, apart from the premises soon to be taken over by the Co-op. I am afraid that my conversations with the Co-op—I say this as a member of the Co-op movement—have been very disappointing.
ParlaMint-GB_2017-10-30-commons.u478	I congratulate the hon. Lady on her campaign to try to retain the post office. I have been involved in many such cases across the water in my own constituency, and we have tried very hard to find alternative premises for post offices. On occasion, the Post Office can give grants to the potential shop owner to increase the size of a property and make it more acceptable. Has she been able to follow that up as a possible solution to her campaign?
ParlaMint-GB_2017-10-30-commons.u479	I do not think that that is an option, given that the new premises are already larger than the old one in which the post office was housed. That is not really the issue, as I shall establish in a moment As I have said, my conversations with the Co-op have been very disappointing. The company allows many postal concessions in its stores throughout the country, and it has such an arrangement in a store in the town of Stocksbridge in my constituency, but it has flatly ruled out giving a concession to run a post office in the new store, which opens next month At this point, we need to remember that the post office in the old store was profitable and would no doubt continue to be so, with 1,200 transactions a week. I suspect the reason for the Co-op’s decision is related to a calculation that profit margins for grocery items outweigh those that can be gained from postal services. While I appreciate that the Co-op is a business that has to make a profit in order to be sustainable, it is important to bear in mind the unique selling point of the brand in communities up and down the country. This USP is, of course, its collective roots and its unique position in our social history as a retail business firmly established in the ethics of serving the interests of its customers, who are of course its shareholders, too Indeed, given the depth of feeling made so palpable by many of my constituents about the threat to their postal service, I think the Co-op may well succeed in scoring an own goal. Many Burncross residents are saying that they will never forgive the Co-op for, as they see it, taking away their post office. I warn the Co-op now that when Sheffielders decide they are going to dig their heels in, they really dig their heels in. My constituents feel neglected by movements beyond their control: an owner of a property who sees an opportunity to increase profits by redeveloping the premises; a leaseholder in the form of Costcutter not wanting to pay the extra rent that will no doubt be due because of the redevelopment, which is fair enough; and a new leaseholder who intends to use the extra space for what it sees as more profitable purposes, no doubt in part to service the extra rental charges due on the redeveloped store The real tragedy of all this, however, is that the customers of Costcutter and the old post office were satisfied with the store that was there. It provided all the services the local community wanted. Now they have lost perhaps some of their most cherished services—the collection of their hard-earned pensions being one of them—in the pursuit of higher profit margins To bring my remarks to a close, I appreciate entirely that the Minister will probably say that these are commercial decisions and there is therefore very little she can do, but I am not sure we should just settle for that. My constituents stand to lose permanently what they know to be a vital service—not for the normal reasons of the service not being sustainable, but because a business does not want to allocate space for it since it sees a better opportunity for the use of that space. In such circumstances, surely there should be a role for Government, national or local, to intervene. Ideally, the Government need to be able to act as brokers, incentivising partnerships between organisations to secure the amenities that communities such as Burncross so desperately need. In this instance, of course, it would be something as simple as a post office counter in a grocery store—the very provision that we have often decided is the most sustainable way to make sure that postal services continue to be delivered in a given area Can I ask the Minister, therefore, if she will review how concessions, such as those found in supermarkets, are awarded? Can she examine what help Government can give to make sure postal services are provided in circumstances such as those in Burncross? Given that postal services often and increasingly have to compete for space alongside other uses, how can public authorities, working with the Post Office, make sure the public good element of postal services is taken into account when commercial retail decisions are made? My constituents are losing their postal services and cannot possibly be expected to access alternative post office outlets easily, given the distance involved and the particularly hilly nature of the area—and that is particularly the case for the elderly population. Surely Parliament and the Government should be about giving a voice and a say in society to such people, giving the voiceless a voice. I hope the Minister takes note of that in her responses Although the circumstances of Burncross losing its post office are local and not that important to the rest of the world, similar stories are being played out across the country, with profit being put before the public good. It is only when those are added together that they start to look like something more important, and then often it is too late for us politicians to do something. Today it might be a community post office in Burncross that loses out; tomorrow it will be another one in another constituency, until eventually the network starts to look like a pale shadow of its former self. Then it will be too late. I look forward to the Minister’s response.
ParlaMint-GB_2017-10-30-commons.u480	I congratulate the hon. Member for Penistone and Stocksbridge (Angela Smith) on securing this debate on post office services in Burncross and for the hard work that she has done in trying to secure their continuation. She has clearly set out the importance of post office services to her community and I fully appreciate the concerns that she has raised The Government recognise the important social role that post offices play in communities across the country, and that is why we will have provided nearly £2 billion to maintain, modernise and protect a network of at least 11,500 branches across the country, far from all of which are profitable. Today, the 11,600 post office branches in the UK form the most stable network that the Post Office has enjoyed for some time. That is because the Post Office is transforming and modernising its network, thanks to that investment from the taxpayer, which has enabled the modernisation and transformation of more than 7,000 branches The network is at its most stable for a generation, and customer satisfaction has remained high. I understand that apart from the critical problem in this particular area, the hon. Lady’s constituency has benefited from four out of its 15 branches now opening on a Sunday and almost 1,000 additional opening hours a month—[Interruption.] I understand that that is no comfort to the particular constituents she has mentioned, and I will come on to address the points that she made about that locality Post offices are crucial to the many millions of customers, including hundreds of thousands of small businesses, who use the service daily to access the Post Office’s diverse range of services, including banking services. I completely understand the difficulty and the frustration that communities face if there is a loss of post office services. We of course hope that the loss we are debating tonight is temporary The hon. Lady spoke passionately about her concerns for post office services in the Burncross community. I fully understand the points she made about the local area having many older people who would find it difficult to travel to Chapeltown or High Green, particularly given the limited public transport in the local area. I know that the Post Office apologises to its customers and the community for the huge inconvenience caused by what I hope is a temporary closure. Both I and the Post Office recognise the need to restore post office services to her community as soon as possible Hon. Members will be aware that the vast majority of post offices in the network are now independent small businesses operating as agents of the Post Office, so while the overall network position is very good, individual small businesses can face problems like any other. These sometimes lead to temporary closures. As the hon. Lady acknowledged, temporary closures are often beyond the direct control of the Post Office. The Post Office has not chosen to close this branch, but local development and the demolition of existing premises has resulted in the current position. The Post Office is working hard to find a solution that will allow it to restore services to the community. I will certainly work with the Post Office and the hon. Lady to redouble efforts to find an alternative site for the post office service her residents deserve. I am aware that the Post Office met the hon. Lady to discuss the matter and that it has also met local councillors It is very unfortunate that the Co-op has indicated it no longer wants to take on the post office. I share the hon. Lady’s deep disappointment in the decision made by the Co-op, especially, as she said, considering its founding principles. Unfortunately, the Post Office cannot force a business to take on a post office if, for whatever commercial reasons, it does not wish to do so. However, the Post Office has and will continue to look for willing partners who are keen to take a post office on as a part of their business in her community The hon. Lady spoke about the unique public good of the Post Office in communities up and down the country. This is absolutely one of the key points the Post Office makes when it advertises its branches and when it speaks to potential new operators. The strength of its history and social purpose cannot be underestimated, and it can have a very positive impact on a business. It is also taking steps to develop its business offer, with particular reference to banking services, which it is improving all the time. Considering the large numbers of high street bank branches that are closing around the country, this has the potential to sharpen up the offer the Post Office makes not just to its customers and small businesses that patronise its branches, but to the business partners that take on a post office branch or counter. This is also something we must push The Association of Convenience Stores recently published the “Local Shop Report 2017”, which ranked post offices first in terms of having a positive impact on their local areas. These are all selling points that we have to make to potential new partners. There are, of course, commercial benefits too. It offers day-to-day banking for 99% of personal account customers, as well as businesses. It is also the UK’s number one for foreign exchange and the leading provider in the mails market. Some 73% of customers say that the post office is their main reason for visiting a partner store and 78% of people using the post office bought something else in the retail outlet that played host to the post office counter To keep post offices in our communities or—as in the hon. Lady’s case—to reopen a service, we must ensure that running a post office continues to be an attractive and commercially sustainable proposition. The Government believe that this is the case. More than 90% of branches are now run by independent business operators and retail partners. The success of the network’s transformation programme, which has seen 2,000 new operators taking on and running post office branches, demonstrates that operating a post office continues to be an attractive offer to many independent and retail businesses. I can only assume that she and the Post Office have been unable to get that message across to the Co-op in her constituency.
