ParlaMint-GB_2017-02-01-commons.u1	Object Bill to be read a Second time on Wednesday 8 February.
ParlaMint-GB_2017-02-01-commons.u308	I will start by putting my cards on the table. I loathe and detest this Tory Brexit. I despair of what this Tory Brexit would do to my beautiful country This is, as we know, to be the hardest of hard Brexits, with cuts yet unimaginable and consequences yet unconceived—and for what? If we were doing this for some lofty ideal or grand purpose, like maybe addressing global poverty or some of the huge issues of injustice around the world, that might make it just about palatable, but no—we are doing it because the UK does not like immigration. That is the cold, beating heart of this bad British Brexit, and it underpins absolutely everything concerning our departure from the EU. It takes precedence over everything else, and all other considerations are merely consequential. The fact is that we live in an interconnected, globalised world where the movements of people have never been so profound, sometimes fleeing from persecution, or perhaps exchanging skills and ideas. Yet we are asked to believe the myth that a Brexitised UK will beat back this historic tide like some sort of Farageous Canute. I actually laughed out loud when I heard all the guff about a global UK. A global UK is the last thing the Tories want to create—they are trying to create a drawbridge UK Look at the response from the rest of the world: when they are not laughing at us, they are simply taking pity on us. As the Foreign Secretary goes out of his way to insult the very people we have to negotiate with, they are thinking of nothing other than the hardest of conditions to deter anybody else from considering leaving. The negotiating position seems to be to threaten our EU partners by saying that we will indulge in even further economic self-harm if they dare look after their own interests. Apparently we are even considering turning the UK into some sort of offshore deregulated tax haven if the EU actually thinks about looking its own interests. That’ll show them, won’t it It is not just the fact of leaving the EU that concerns me, ghastly enough though that is: it is the new ideology—the new world view—that has hastily been designed to accommodate this new splendid isolation. I see a Brexitised Britain as a world of weird, ’50s nostalgia and antipathy to foreigners—a reality that will feel very much like the pages of a Daily Mail editorial. People of Britain: work as if you live in the early days of a UKIP UK, because that is what is coming Scotland, of course, did not want any part of this, yet we have to be driven off the cliff edge with the rest of the United Kingdom. What we have now, though, is options. We have presented a plan to stop Scotland indulging in the worst of this madness. If that is not listened to, we have every right to reconsider our membership of this United Kingdom.
ParlaMint-GB_2017-02-01-commons.u309	When the results came through on 24 June, I must admit that my emotion was one of great sadness, and it continued for some time. I was sad not just, as the hon. Member for Cambridge (Daniel Zeichner) has said, because of the economic consequences, potential or not—I believe that in the medium to long term, this country has a stable and prosperous economic future—but because of the divisions created between us and our European partners and allies, as well as the divisions in our own country. It is absolutely vital that we come together and rebuild the social capital that was lost We have to do that by building on the decision we will take tonight. Whether we know that a decision is right or wrong, we can ensure that the next decisions we take are the best possible decisions for our country and people. That demands that we involve all the peoples of the United Kingdom, whether they are from Northern Ireland, England, Scotland or Wales. It also demands that we immediately reassure European Union citizens in this country of their rights here, just as we would expect other EU countries to reassure our own citizens. That is a matter of moral decency It is important that we fight very hard to retain those institutions that are not, in effect, part of the European Union, which we are leaving, but that are vital, technically and in so many other ways, for our general wellbeing and the health of our economy. I am referring to institutions such as Euratom and the European Medicines Agency It is vital that we all work incredibly hard. We—certainly in my party—have put the country in this position; it is our duty to get out there and ensure that we have the best possible arrangements. That does not mean writing newspaper columns saying how wonderful it is; it means getting out there and doing the hard work, treating people with respect and building up those relationships that have been perhaps more than a little bruised over the past few months It is also vital that this place—not the Government or the European Parliament alone—have the sovereignty to make a decision about our future relationship with Europe. Finally, I hope that we will conduct the debates with honesty and clarity, not with bombast.
ParlaMint-GB_2017-02-01-commons.u310	It is an honour to speak in this debate. Last Friday, celebrating my first 100 days as an MP, I spoke to a room of 50 dedicated activists and members at my constituency Labour party meeting. I am proud that we were able to talk frankly and honestly about this vote. Many had spent months knocking on doors and delivering leaflets alongside my predecessor, Jo Cox, advocating that people should vote remain, while others in the room had voted another way.
ParlaMint-GB_2017-02-01-commons.u311	I am sure that Jo Cox and her family will be in the thoughts of the whole House when we vote on the outcome of the referendum.
ParlaMint-GB_2017-02-01-commons.u312	Absolutely. I appreciate my hon. Friend’s comments I voted to remain. As I spoke and listened to my friends and colleagues, it was difficult and occasionally emotional as I explained that I felt that it was my duty to respect democracy and vote in favour of triggering article 50. Batley and Spen voted 63% to leave. The people have spoken and I must listen. However painful this is now, we are leaving the European Union. It is my duty to listen to everyone, to move on from the labelling of people as leavers and remainers, and to get the best deal for everyone Batley and Spen was once a powerhouse of manufacturing. Men and women left school and went to work in the mills, but things move on and now we are celebrated for beds and biscuits. The mills are now shopping centres, offices and flats; in some cases, they have fallen into disrepair. Jobs for life have been replaced by the gig economy, and far too many of my constituents are on low pay and in insecure work. People have not seen a significant improvement in their standard of living for decades. The have been left behind by globalisation, and I have no doubt that financial insecurity and a sense of abandonment contributed to the leave vote. That said, my constituents did not vote to give this Government a blank cheque. They did not vote to lose jobs, to have their rights at work watered down or to lose maternity and paternity pay, human rights or LGBT rights There are lessons to be learned from the creative industries, in which I formerly worked, and their voice must be heard in the upcoming negotiations. In evidence given to the Culture, Media and Sport Committee in October 2016, Directors UK told us that the UK is the third largest supplier of films and the second largest producer of television in the world. In the fast-paced area of video games, we are constantly at the cutting edge. The creative economy accounts for one in every 11 jobs. However, it is fair to say that a vote for exiting the EU was not what the industry at large wished for. A survey conducted by the Creative Industries Federation ahead of the referendum found that 96%—
ParlaMint-GB_2017-02-01-commons.u313	Does my hon. Friend agree that the point she is making is that the creative industries are not just about here, but about the places that we represent in the north, which are leaders in this area?
ParlaMint-GB_2017-02-01-commons.u314	I thank my hon. Friend for that point. It is absolutely true that the creative industries are among our biggest expanding industries locally, and we must support them at every opportunity. If we lose free movement of labour, we could easily lose a pipeline of highly skilled creatives. If that happens, we must develop a domestic training and education system that fills the skills gap in the creative industries. Of course, the time to debate such details will come later. First we must vote to move the process on, not with angry denial or blind optimism but on a mission to be vigilant about the rights of those who have the least and those who support people in the greatest need.
ParlaMint-GB_2017-02-01-commons.u315	It is a pleasure to follow the hon. Member for Batley and Spen (Tracy Brabin). On this Bill, we have both come to a similar decision. In the run-up to the referendum, I believed that the considerable short-term risks of leaving the European Union outweighed the unquantifiable future benefits, but I underestimated the deep mistrust of the European Union. The people have decided to leave. I must respect that decision, and I will support this Bill The hard work now begins. For example, how do we access the benefits of free trade and the inspection-free transfer of goods from outside EU structures such as the single market and the customs union? Some believe that nothing is possible, and that the alternative to working for success is to hope that things go badly—even to will it—to be ceaselessly critical and, ultimately, to achieve only an echo of Private Frazer’s lament, “We’re all doomed.” Although none of us has perfect foresight, I am absolutely confident that we will have much greater success in lining up future free trade agreements than some Members have suggested The negotiations will begin soon. In my view, we need an agreement in which we are generous to Europeans living here, enthusiastic in our continuation of academic and research co-operation, and resolute in our solidarity with Europe on defence and security. In that agreement, we must be practical about ways of controlling immigration but welcoming to skills, tourists and entrepreneurs; we must be free of the European Court of Justice, but never compromise on standards or the rule of law; and we must be adventurous in pursuing our own trade deals, but never underestimate the importance of free trade and easy customs clearance in all that we do with Europe. That is what I hope the Government’s White Paper will lay out. I hope that it will bring our one nation of diverse parts together. Whatever our concerns about the journey, we should start positively, not cynically.
ParlaMint-GB_2017-02-01-commons.u316	I start by paying tribute to Gina Miller, a courageous woman who fought for our constitution, our laws and our values. She found herself and her family subject to a hideous campaign from the media and the public, for the crime of simply being a democrat. She prevented an ill-equipped Government from over-reaching themselves and forcing through their own vision of Brexit without the views of parliamentarians being heard. She has acted fearlessly and without reward, and parliamentarians and democrats across the country all owe her a huge Hon. Members will know that I introduced a Bill to safeguard in primary legislation all the workers’ rights derived from European Union legislation after the withdrawal of the UK from the EU. Unfortunately, it was blocked, and we had over four hours of discussion about favourite radio programmes in relation to a handout Bill, so I hope that the Government tune in this time. I realise that days next week have been allocated to discuss amendments in groups, but as I understand it, there is no guarantee that mine will be discussed. I therefore want to highlight them now to demonstrate their importance during the negotiations. People in this country deserve to know that their rights at work will not be thrown away.
ParlaMint-GB_2017-02-01-commons.u317	Does not my hon. Friend’s point show, as does the fact that hon. Members are now restricted to just three minutes per speech, how outrageous it is that the Government are allocating just three days for detailed scrutiny of the most important Bill this country has faced in our lifetimes?
ParlaMint-GB_2017-02-01-commons.u318	The Bill is certainly very difficult and there are lots of complex issues. I am sure that many Members on both sides of the House would appreciate having longer to discuss these issues New clause 9 would require the Government to produce a plan to ensure that EU workers’ rights will be maintained in United Kingdom law before withdrawal from the EU. I wonder whether we will see such a plan in tomorrow’s White Paper. New clause 10 would make provision for EU workers’ rights to continue in force in the UK on exit day, subject only to changes made by primary legislation. New schedule 1 would place in primary legislation each EU directive on workers’ rights The amendments are front and centre of many working people’s concerns about an increasingly unstable labour market. There are protections against discrimination, and for the rights to rest breaks, paid holiday and leave for working parents. These protections have become the accepted minimums for reasonable employers and have been woven into the fabric of the employment relationship. On the steps of Downing Street in July, the Prime Minister referred to those who have a job, but do not always have job security. They are the millions of agency workers in the care sector, the retail industry, the security industry and in our factories. They rely on these protections to enjoy the same wages and holiday entitlements as permanent workers, and in turn they get equal access to facilities, vacancies and amenities Some have been reassured by the Government that Brexit will not undermine workers’ rights, but the comments made by my hon. Friend the Member for Walthamstow (Stella Creasy) demonstrate that that is not the case. If it is the case, however, I look forward to my amendments being added to this Bill, if only to add just a little more detail Despite being on the other side of the debate, I accept that the British public voted for Brexit, but I urge the Government to recognise that they did not vote for more insecure contracts, less safe workplaces or anything less than they currently have by way of protection in their jobs.
ParlaMint-GB_2017-02-01-commons.u319	I would like to take this opportunity to send my condolences, and I am sure those of many colleagues, to the family of one of my constituents who has passed away today—a great Yorkshireman, Sir Ken Morrison of Morrison Supermarkets. Our thoughts are with his family. It is a great pleasure to follow the hon. Member for Great Grimsby (Melanie Onn). I absolutely support her call for the protection of workers’ rights, as do many of my Conservative colleagues I have listened carefully to many fine speeches during the past two days, and none was finer than that of my right hon. and learned Friend the Member for Rushcliffe (Mr Clarke), who articulated so well the benefits of peace and prosperity that we have secured through our membership of the European Union. I must say, however, that I disagree with his conclusion, because I feel it is incumbent on me to vote to invoke article 50. Quite reasonably, the public believe that we as politicians have not been listening to their fears regarding sovereignty, democratic accountability and, most of all, immigration. I believe it would be disastrous if we did not support the public’s wish to leave the European Union In business, people often have to take a certain route, probably against their better judgment. The most important thing that they should always do in such circumstances is not to worry too much about whether they have made the best decision, but make the best of the decision they have made I have listened to SNP Members who have spoken about wanting a meaningful vote. By that, I think they mean a veto—as one of my hon. Friends said—over whether we should actually leave the European Union at all. If that is what they mean by a meaningful vote, I cannot think of a more effective device for getting us the worst possible deal from these negotiations.
ParlaMint-GB_2017-02-01-commons.u320	Does my hon. Friend agree that the British public were told there would be no second-guessing or second bites at the cherry? This was not a bargaining position, but a vote on a decision to be made and taken by the Government.
ParlaMint-GB_2017-02-01-commons.u321	Absolutely. I could not agree more with my hon. Friend. It is a shameful device to try to keep us in the European Union via the back door. A no vote by Parliament would lead us to remaining and that is in the interests of the negotiators in the European Union. We need to show confidence There is still time for the European Union to listen to the fears of other countries. The United Kingdom has made its decision, but other countries have concerns. In France, Netherlands, Germany and Italy, there is great discontent with many of the EU’s rules, regulations and restrictions. It is so important that we get not only the best possible deal for the United Kingdom, but the right deal for the European Union. The EU needs to see the shifting sands and listen to people’s fears while there still is a European Union. I believe that the fragmentation of the EU would be the biggest economic and national security risk we could possibly face. It is time for Brussels to listen to the people and reform before it is too late.
ParlaMint-GB_2017-02-01-commons.u322	I am often asked by English Members why it is that I support pulling Scotland out of the UK but keeping it in the European Union. It is a good question, because Scotland is no stranger to the idea of sacrificing a degree of independence for interdependence. Indeed, that is the argument that underpins Unionism. When Scotland surrendered its national Parliament in 1707, it was to join a prototype European Union: the United Kingdom. Two countries which had been at war for centuries pooled sovereignty, allowed the free movement of people and created a common trading area, locking our economies together with the aim of ending conflict. The price was complete Scottish independence Across the North sea, there is a very similar country: Denmark. Both countries have populations of about 6 million. They are largely urban, but with significant rural populations. Both have large coastlines. However, when Denmark chose to sacrifice some sovereignty upon joining the EU, it retained much that we have lost, or will soon lose, in the UK. Denmark finds itself today in the single market and a member of the customs union, and it is able to enjoy all the benefits they bring. Denmark also remains in control of its own defence policy, its own foreign policy and its own fiscal policy. There, in a nutshell, is the difference. Within the UK, Scotland controls none of those.
ParlaMint-GB_2017-02-01-commons.u323	The hon. Gentleman is making a very good speech. On controlling economic policy, I am intrigued. Given that the SNP advocates independence if it does not get its way on this issue, can he confirm whether the SNP believes his country should then join the euro?
ParlaMint-GB_2017-02-01-commons.u324	No, I believe Scotland should hold a referendum whether we get our own way on this or not. I believe in independence whatever the outcome of the vote tonight. [Interruption.] An hon. Member with an incredible degree of prescience announces that we lost the referendum. I am not sure whether that takes our debate very much further, but I am happy to acknowledge, sir, that we did indeed lose the referendum. We will win the next one, however During Scotland’s referendum on independence, it looked like some of this might change. The Prime Minister assured Scotland that we were a family of nations. Membership of the EU was sold to the Scottish electorate as one of the defining benefits of remaining within the United Kingdom, which must be a cruel irony on the day that we are debating this I am intrigued by what the Prime Minister means when she says that we are equal partners. What kind of equality is it when England, 10 times our size, attempts to compel us against our will? That is not equality as I understand it.
ParlaMint-GB_2017-02-01-commons.u325	My hon. Friend is putting the Prime Minister right on a couple of matters. Would he also care to put her right on her oft-repeated mistake in seeming to suggest that the SNP wants to take Scotland out of the EU, and then perhaps some of the scribblers on the Government Back Benches could pass it on to her?
ParlaMint-GB_2017-02-01-commons.u326	Members will be flabbergasted to learn that I agree with my hon. and learned Friend. We see a key part of our future lying in the EU The Prime Minister, mentioned there with such great affection, chose to visit Edinburgh on her first trip to Scotland, and it was a visit full of visual symbolism. She called on the First Minister, and while they did not hold hands, the Prime Minister said all the right things, including that she was willing to listen to options on Scotland’s future relationship with the EU. Well, what is the point of listening if everything said falls on deaf ears? It is not consultation My colleagues, my constituents and people throughout our country want to be part of an outward-looking, cosmopolitan Scotland. We want to be part of a union that is a community of nations and which respects diversity and autonomy. Members on the Conservative Benches profess to love the Union that binds Scotland and England, but the union that is dying is not the EU, with its long queue of candidate countries, but the UK. Margaret Thatcher may have begun the dismemberment, but historians will, I suspect, judge that today Conservative Members delivered the coup de grâce—as our continental partners would say.
ParlaMint-GB_2017-02-01-commons.u327	It is a pleasure to follow the hon. Member for East Dunbartonshire (John Nicolson), who is a passionate advocate of Scottish issues. It is a pleasure also to see that you have recovered from the curried nut incident last night, Madam Deputy Speaker I am afraid that this is a speech I never wanted to give and a Bill I never wanted to see, but I feel compelled to speak in this historic debate. Having listened to the debate over the last two days, and harking back in particular to the speech of my right hon. and learned Friend the Member for Rushcliffe (Mr Clarke) and his quote from Edmund Burke, I know that the decision I take must be in the interests of my country—for us to do anything else would lead to unimaginable consequences. My hon. Friend the Member for Wellingborough (Mr Bone) was also quite right that we have to put country first, constituency second and party last. That is why I have come to the decision I have on the Bill Hon. Members will know that I campaigned passionately on behalf of the remain campaign, and the majority of Bath residents—70%—voted, like me, to remain inside the EU. I have not changed my views, and rest assured I will continue to advocate them. Like other hon. Members, I have received thousands of emails and letters, from those on both sides of the debate, on whether I should vote to trigger article 50 and allow the Government to begin the formal negotiations. However, the referendum campaign was fought, the vote was held, the turnout was high and the public gave their verdict. The country voted to leave the EU, and it is the democratic duty of this sovereign Parliament and Government to ensure we do just that Had the result been in reverse, I would have hoped that the leave campaign respected the democratic decision of the British people in exactly the same way. It is incumbent on us all to come together as one nation to seek the best possible deal with the EU—a new partnership between an independent, self-governing, global Britain and our friends and allies in the EU. I have called consistently for a White Paper, which I am pleased will be published tomorrow, as I want to ensure that my constituents and, in particular, my businesses, which have been somewhat ignored in our debates, can more systematically feed in their views. If we are to leave the EU, we must not delay any further. To do so would frustrate our European friends and allies and probably weaken our negotiating hand. I would like clarity soon from the Government about the final vote. Given that the Supreme Court ruled to ensure the introduction of this Bill, I wonder how it would rule if the Government used the prerogative to approve no deal I will vote to trigger article 50 tonight, and I implore all Members to do the same.
ParlaMint-GB_2017-02-01-commons.u328	Given the time available, I shall restrict my brief remarks to two issues that are impacted by Brexit: EU nationals; and the single market in aviation, which is an important issue in my constituency The 3 million EU nationals and their families living in the UK are understandably extremely concerned. Instead of getting straight answers from the UK Government, EU nationals living in the UK have heard only empty rhetoric and weasel words from the Tories. Johanna Kettunen is one of my caseworkers in my constituency office. Born in Finland, she has lived in Scotland for over seven years, studying at Glasgow University, and she has made Scotland her home. She is extremely upset that she is being used as a bargaining chip by this callous Government in a Tory Brexit game that gey few in Scotland wanted to play in the first place As with many other Members, a large number of my constituents have been getting in touch with me to allay their fears that Brexit might rip their families apart. This is a clear indication that the ongoing uncertainty about EU immigration and the right to remain are already harming the UK, and it will continue for as long as the Tories refuse to confirm the right of EU nationals to stay in the UK Article 50 and exiting the EU will impact not only on EU nationals, but on businesses across these islands. One sector that has not been given the attention it deserves throughout the Brexit debate is the aviation sector. This vital part of the economy contributes £1 billion a week to UK gross domestic product and £9 billion in taxation. The UK has the third largest aviation sector in the world, which is largely the result of the European single aviation market and the open skies agreement between the US and the EU By leaving the EU and the EEA, the UK walks away from these hugely important agreements—agreements that account for a clear majority of UK aviation traffic. Regional airports are vital for connectivity within Scotland, but the Tories’ reckless gamble with our EU membership has caused serious uncertainty for these airports, which could cause a serious detrimental impact on the Scottish economy In contrast, the SNP Scottish Government are working hard to ensure Scotland’s aviation sector is a success, despite Brexit, committing to halve air passenger duty by the end of 2021. So, not for the first time, we know what the Scottish Government plan to do with the powers within their remit, but what of the UK Government Will the Minister tell us in his summing-up whether the UK plans to remain part of the European aviation single market? If not, can he guarantee that transitional arrangements will be agreed to ensure that UK airlines and airports are not put at any competitive disadvantage as regards their European counterparts? Will he further assure us that the UK will remain part of the open skies agreement with the United States? The 5,200 people in Renfrewshire in and around Glasgow airport, and the 1 million across the UK whose jobs rely on a thriving aviation sector are watching and expect an answer The Prime Minister needs to act now and give UK businesses and EU citizens living in the UK a cast-iron guarantee that their status and rights will be protected. If she does not, she will leave us no choice but to offer a different path to those living and working in Scotland through “voting yes”—yes to be an outward-facing member of the international family of nations; yes for our children’s future; yes for Scotland; yes to independence.
ParlaMint-GB_2017-02-01-commons.u329	I agreed with the right hon. Member for North East Bedfordshire (Alistair Burt) when he said that this was a debate he hoped would never happen, and a vote he hoped would never happen. I am a strong remainer, and I campaigned hard for us to stay in the EU. I still think our future would be better within it, but I recognise the result of the British people who voted for Brexit. I also recognise, however, that my Durham constituency, in line with many university cities, voted strongly to remain I was worried about the result on 23 June. The north-east has only 1.6% of the population who are foreign-born, and hardly any of them live in Durham, yet in the campaign immigration was the most commonly cited reason for voting leave. It arose because people felt that their views were not being taken into account and that their access to jobs and services was diminishing—not least because of the austerity policies of other parties, which took vital resources out of our most impoverished communities I think that we failed to address those concerns in this House. We obviously have to tackle xenophobia and racism, and we have to change our immigration policies. I hope we find a way of doing that without simply withdrawing from the single market, which will create as many problems as it solves. We have also had four decades of negative press about Europe, and it was impossible to overturn it within a few months and make the positive case not only for the EU but for upholding human rights and active participation in global institutions that do so much to maintain peace and to create prosperity in the world. I hope we shall continue to take the international, outward-looking approach that is necessary, and reject the policies of Trump and isolationism I was very pleased that my constituents voted to remain, because the impact of Brexit on the north-east will be huge. We have a positive balance of trade, with 58% of our exports going to Europe, but we have no idea whether that will continue if trade barriers arise. We need to hear more from the Government about what will happen to our automotive industries, our universities, our advanced manufacturing, and businesses that are receiving money from the European social fund and the European regional development fund. That would help to create some stability. Our young people, most of whom voted to remain, also need to hear how the Government will deliver a more prosperous country. That is why I think we should adopt Labour’s amendments, and ensure that we have a vote on the final Brexit deal I know that my constituents voted to remain, but I recognise that the country voted for Brexit, and I shall abstain in this evening’s vote.
ParlaMint-GB_2017-02-01-commons.u330	Last summer I walked through the fields of the Somme and along the beaches of Normandy. Doing that, one cannot but ask oneself, “How did we get here?” History teaches us that it was the result of a failure of institutions, economics and relationships, and the rise of populism and nationalism. Because of that, I was, and still am, inspired by Europe and what it has achieved, for all its faults, many of which were rightly mentioned during the referendum. To the eastern European states during the cold war, it represented an alternative to the ethnic slaughter in the Balkans, and presented opportunities for hope I understand and respect the vast majority of those who voted to leave the European Union, many of whom were members of my own family and people in my own constituency. However, my constituents voted overwhelmingly to remain. Because of my constituents, because of my conscience and because of the facts that I see before me, I shall vote against the triggering of article 50, for the amendment, and also against the programme motion. The debate has been far too curtailed. No doubt the Bill will proceed to a Committee stage, and I shall also seek to amend it then. The result will reflect the referendum. I shall do that not out of disrespect, but out of duty: a duty to stand up for my constituents, to stand up for the 48%, and to stand up in this sovereign Parliament and challenge the Government and their approach The Government have no plan, unlike the First Minister of Wales, who has set out a cross-party plan. They have provided no guarantees that Wales will not be left worse off, and no guarantees of the unfettered access to the single market that is so crucial to businesses and jobs in my constituency. They have provided no assurances that powers will not be taken away from Wales, or that our rights will not be removed. They have given no reassurances to EU citizens living and working in our public services in my constituency We are told to be optimistic. I have no doubt that the British and Welsh people will find their way through, however difficult things become—we have done that so many times before—but I must be honest. I fear that the concerns that people rightly express about immigration are far from being resolved, and will not be resolved by our leaving the European Union. I fear that many who felt left behind will continue to feel left behind while we have a Government who are advocating a bargain basement, tax haven, race to the bottom economy, and are running across to the United States and throwing themselves before President Trump. I fear that the poorest will continue to suffer, and what then? Who will be blamed next The Prime Minister said today that she was a leader, but the truth is that she is a follower. She is following the siren calls of a select group on her own Benches to a hard, reckless Brexit. Instead of trying to bring the country together, she is now following the lead of a President whose values she does not share in a desperate scramble to make up for the gambles of her predecessor. We are at a turning point—that is certain—but whatever the result of the referendum, there is not only one route forward. We have a choice when it comes to where we head in the future, and we must think very hard about that choice.
ParlaMint-GB_2017-02-01-commons.u331	The hon. Member for Nottingham North (Mr Allen), who is not in the Chamber at the moment, spoke about the future. The Bill will have huge impacts on future generations, affecting the prosperity of our children and our young men and women. That is thrown into particularly sharp focus in the highlands. For generations, young people left the highlands to seek further education and to seek their future, until we had a Scottish Parliament and benefited from the engagement of the European Union The University of the Highlands and Islands is celebrating 20 years of EU co-operation, which has allowed us to have that much-needed symbol in the Highlands—a physical university campus in Inverness. Among other things, our co-operation with Europe has helped to reverse the decline that I mentioned. So, too, have EU nationals, and I was struck by the words of the hon. Member for Hampstead and Kilburn (Tulip Siddiq), because I agree that these people who come to our country to add to it are our friends and neighbours, and they deserve to be treated as such However, with the direction that the UK Government are taking, that all changes. The UK is scrabbling about for deals—any deals—with no stone unturned, no matter who is underneath it. Holding hands with Trump, legitimising his symbolic exclusion, his walls and his rising xenophobia, and shaking hands with Erdogan—all this is clearly saying that it is weapons before weans, dogma before doctorates. The alternative to a rock-hard Brexit is a change of course, if not for the UK, then for our universities, for people who will be put in a really difficult position, such as those in Gibraltar, and, of course, for Scotland, where 62% of people and 100% of council areas voted to remain. There is a choice for this Parliament.
ParlaMint-GB_2017-02-01-commons.u332	Has my hon. Friend noticed a shiver running along the Labour Front Bench looking for a spine to run up?
ParlaMint-GB_2017-02-01-commons.u333	I thank my hon. Friend for his contribution. I hope Labour Front Benchers and other Labour Members will follow the example of some of those I have referenced tonight and vote against article 50 If there are exceptions on borders for Ireland, and exceptions for Nissan and the City, this is a matter of choice—it does not have to be a rock-hard Brexit. People in the highlands and elsewhere in Scotland want hope for the future. They want future conditions to reflect our nation: they want a big-hearted, open-minded, co-operative future where all who contribute to a better society, wherever they come from, are valued. They want an enlightened future, not an insular little Britain hand in hand with those who would drag us into the darkness.
ParlaMint-GB_2017-02-01-commons.u334	I will vote against triggering article 50 tonight as a patriot who believes in Britain, and as a democrat who believes profoundly in parliamentary democracy. I will do it in the interests of my children, my constituents and my country, and in support of my convictions, because I do not believe that the Brexit course we are set on will make Britain a more prosperous, fairer, more equal and more tolerant country. To the contrary, it will make our politics meaner and our country poorer Despite all the optimism and jingoism we have heard from those on the Government Benches in the last two days of debate—there have been many terrific and many difficult speeches—I cannot credit the notion that the best way to make Britain a successful global trading nation is to withdraw from the most sophisticated global market the world has ever created. I cannot believe, standing here in London, in the heart of the most global, cosmopolitan trading city the world has ever seen, that we will enhance our chances of improving our economy by cutting off this city from the other great cities around Europe I cannot believe that our economy will improve, and I cannot believe that the constituents I represent will be well served. In fact, if the hard Brexit—the rock-hard Brexit—proposed by the Prime Minister comes to pass, I am convinced that it will be constituents such as mine, in working-class communities in this country, who will be hit hardest. And if the alternative version that she is threatening Europe with comes about, they will be hit harder still However, the biggest reason why I will vote against article 50 tonight is not the economy—we have made too much of that—but the values that are in jeopardy in our country and across the world. We are a liberal, plural, tolerant, European enlightenment economy and society, and the great British values that Labour has spoken for for so long are at risk today. This Brexit vote began with immigration. The man in charge of leave said it was their baseball bat, which they simply needed to pick up to win the vote. It has ended with the right hon. and learned Member for Rushcliffe (Mr Clarke) saying that the Tory party is now an anti-immigrant party, and with the Prime Minister hand in hand with a racist President of the United States. Are those my values, or are my values those of Angela Merkel, who had to ring up the President to tell him he was wrong? I know where I think this country stands on that issue, and I know that, unless we think again, we are going down a very, very dangerous path.
ParlaMint-GB_2017-02-01-commons.u335	I want to make a few brief points about this Bill. Of course, Wales is a net beneficiary of the EU, receiving £245 million, or £79 per person, more than we pay in. In rural constituencies such as mine, that funding makes an impact way beyond what this figure implies. For rural communities, the common agricultural policy is the most important financial contribution that the EU makes, yet the Conservative party stands ready to switch off these vital support mechanisms that are essential to our already struggling isolated communities, with no indication of how it will make good the damage, or even whether it intends to I shall spend a few sentences exploring the increasingly divisive and much-misused word “freedom”. It was its antonym, “control”, that dominated the leave campaign’s market-tested propaganda, but it was an almost messianic pursuit of this most emotive of concepts, freedom, that drove us to break free from Brussels. [Interruption.] “Freedom to” and “freedom from” are the opposing and disputed understandings of liberty that have arguably underpinned the political divide for centuries. However, if we strip away much of the leave campaign’s divisive and reprehensible rhetoric, we find that it is its dogmatic belief in a freedom from Brussels that catalyses its distrust of the EU. In its polarised, simplistic view, now that we are free from the Eurocrats, once again the sun will never set on our shores. [Interruption.]
ParlaMint-GB_2017-02-01-commons.u336	May I just say to the hon. Lady that I think it is a great discourtesy that she is not being listened to by some in this Chamber, because I find her speech very good indeed?
ParlaMint-GB_2017-02-01-commons.u337	I am most grateful for that intervention. We do not have many days to discuss this, and there are many of us who have waited in this Chamber all the while to do so, as we were required to. The least we can do is listen to each other’s contributions From what are we truly free? From workers’ rights and employment protections; from greater unity with our friends and neighbours; from free trade; and from progress. In reality, our so-called freedom from the EU will undermine our freedom—our freedom to achieve our potential. Our businesses will no longer have the freedom to export and import the goods we rely on. Our children will face greater challenges if they are to work and live in the countries that we have had the unfettered freedom to enjoy. The freedom to take back control? We have gained nothing but the illusion of control My party will always work in the national interest of Wales. My colleagues and I will therefore vote against this Bill on the grounds that this Government have failed to ensure Wales’s national best interests. Our economy and the role of devolved legislation are disregarded in this Bill. I am confident that the people of Wales did not vote for poverty and did not vote for our economy to bear the brunt of Brexit.
ParlaMint-GB_2017-02-01-commons.u338	One of the more bizarre aspects of the discussion that has taken place since the referendum is the way in which the people who won the referendum have tried to explain what it means by reference to the arguments of those who lost the referendum. Thus we are told that, even though it was not on the ballot paper, the vote is a vote to leave the single European market because David Cameron suggested that it might be. I did hear David Cameron suggest that, but I also heard the leave campaign accuse him of hyperbole and mendacity every time he did so, and say that it was not true. There is a real possibility in this country that the political right might hijack that mandate from 23 June last year and use it to reconfigure our society and economy in a way that most right-minded people in this country would find abhorrent. What stands between them and that outcome is this Parliament. That is why it is so important that we should not give this Government a blank cheque—carte blanche to do as they will, as they try to interpret what happens next. That is why we should vote for the reasoned amendment tonight and say that we will not fire the starting pistol until the Government have explained to us the consequences of making that decision I very much welcome the support of other parties and of many Labour Members, but I want, in the dying moments of this debate, to implore those on the Labour Front Bench to reconsider their attitude and not to give the Tory Government a blank cheque on this matter. That is not the historical responsibility of the Opposition. It is not the democratic requirement of the Opposition. Please do not do it.
ParlaMint-GB_2017-02-01-commons.u339	As I have been sitting here, I have heard from yet another worried EU national in my constituency. Does my hon. Friend agree that this Government, who seem to be well behind the curve on everything at the moment, really need to sort this out, to treat our European friends and neighbours with dignity and respect, and to listen to the Scottish Government?
