ParlaMint-GB_2017-03-01-commons.u1	1. What recent discussions he has had with the Scottish Government on taxation powers.
ParlaMint-GB_2017-03-01-commons.u338	Will the hon. Gentleman confirm that Ministers will look on such applications in a positive light, rather than looking at the case made with a view to rejecting it?
ParlaMint-GB_2017-03-01-commons.u339	I can confirm that. Our approach will be one of glass half full rather than glass half empty. We are not trying to get in the way of authorities or others that wish to improve their bus services. The whole point of the Bill is to provide a suite of enabling powers so that authorities can do what is right for their area to put more passengers on buses and provide better networks. We will certainly view all conversations positively As my right hon. Friend the Secretary of State made clear, benefits for passengers will need to be at the heart of any authority’s application for franchising powers. Governance, geography and evidence will be critical if authorities are to apply successfully for franchising status. I do not agree with colleagues, including the hon. Members for Middlesbrough (Andy McDonald) and for Nottingham South (Lilian Greenwood), who believe that bus franchising powers should be available to all authorities throughout England automatically My right hon. Friend the Member for Chipping Barnet (Mrs Villiers) recognised the very real risks to investment by bus operators that will be created if franchising powers are made automatically available to all local authorities, and the chilling effect that that might have on operators and bus manufacturers such as Wrightbus. I am aware of the quality of that business’s products. My right hon. Friend made her point clearly, drawing on her experience. I agree with the concerns highlighted, which is one reason why we will seek to reverse the changes made in the other place I assure my right hon. Friend the Member for Chipping Barnet that, as my hon. Friend the Member for Bolton West recognised, the Bill requires franchising authorities to consider how, in conducting their procurement process for franchising contracts, they will facilitate the involvement of small and medium-sized operators. We—and, I hope, every directly elected Mayor—want to ensure that such operators thrive if franchising is implemented. We have made that clear in the Bill I have been interested to hear the range of views about municipal bus companies. I agree with the hon. Member for Nottingham South and others who highlighted that those that have survived deliver great services to their passengers. I believe that there are seven municipal bus companies in England, and I saw one for myself yesterday on a visit to Reading. However, on the whole, private sector bus operators have delivered our local bus services for the past 30 years. We want to ensure that we strike the right balance, with commercial operators continuing to innovate and deliver good services for passengers The Bill provides local authorities with substantially more opportunities to influence the provision of local bus services in their area, whether through partnerships or franchising, and we are therefore still of the view that commissioning and the provision of services should be kept separate Many colleagues asked about rural services. Through franchising and partnership, the Bill will work for every area of the country—urban and rural. I assure my hon. Friend the Member for North Warwickshire (Craig Tracey), who is a great champion of rural bus services, that the Bill’s partnership powers allow local authorities to work with operators to improve the co-ordination of services, for example to link bus and rail services more closely. A good example of that is under way in Cornwall, which is already working in partnership with operators to ensure that rural areas have bus links to key shopping or employment centres at the right times of day. That is a positive development, which already uses the powers in the Bill. The local operator has invested in its fleet and increased its profitability and patronage in the area Several authorities are also planning bus services alongside community transport services and other types of transport, such as home-to-school or patient transport, so that rural connectivity is maximised. That is the sort of innovation that we need across the country and that we are encouraging through our Total Transport pilot scheme, to which the hon. Member for Nottingham South referred. The Government are a strong supporter of community transport My hon. Friend the Member for Somerton and Frome (David Warburton) was right to highlight clause 19. When routes are withdrawn, such as the 116 that my hon. Friend the Member for North Warwickshire mentioned, we want local authorities to have the information they need to decide whether and how to provide replacement services. That is exactly what clause 19 aims to achieve I do not agree with the hon. Member for Liverpool, Riverside that bus routes should be designated as assets of community value. As the Government explained in our response to the Select Committee report, that would force operators to continue to operate a service for six months, potentially at huge cost, which could act as a disincentive for operators improving or maintaining services, especially in rural areas I should like to challenge the myth, which has been perpetrated in the debate by some colleagues, that bus services were flourishing before deregulation in the 1980s and that the decrease in bus passengers started at deregulation. I have gone back and looked at the data. In the 30 years between 1955 and 1985—30 years prior to deregulation—the number of passenger journeys on local bus services in Great Britain fell on average by 2% a year. Since deregulation, the fall has gradually reduced, at an average of just 0.2% a year. The number of passenger journeys fell from 15.5 billion in 1955 to 5.5 billion in 1985. One thing has been clear in the debate: all hon. Members want that trend reversed and for passenger numbers to increase Many colleagues mentioned buses and air quality. I have absolutely no doubt that buses can be a critical ingredient to improving an area’s air quality. As parts of a partnership or franchising area, authorities will be able to specify the emission standards of vehicles. In fact, the Government introduced amendments in the other place to make that clearer. We have supported and will continue to support bus companies with grants to encourage the take-up of low-emission vehicles. Low- emission buses are critical to putting in place good integrated transport systems with low emissions The hon. Member for Liverpool, Riverside mentioned the Traffic Management Act 2004. I agree that congestion is a problem that has an adverse impact on local bus services. However, the Government and I remain to be convinced about the case for giving all authorities the powers to install a raft of new cameras on yellow box junctions or elsewhere. In the past few days, I received a letter from a councillor who said that doing that would be a great idea because it would help with council revenue collection, which was exactly what we did not want to hear My hon. Friend the Member for Bath asked about tourist buses. As far as I am aware, any arrangements that are already in place can continue unchanged, but I will check that and write to him to confirm it We have covered many issues, but I am sure that my speech from the Dispatch Box and hon. Members’ comments have touched on only some of the issues that we will cover in Committee, which I look forward to. The Bill enables improvements where they are needed. It has also been clear from the speeches made by colleagues on both sides of the House that they have been thinking about how the new powers in the Bill will be used to improve services in their areas, which is great and exactly what we want The bus industry has made huge strides in making the experience of bus travel more attractive. Many buses have free wi-fi, as well as CCTV and USB charging points. The vast majority of buses are now accessible Last year, more than 4.65 billion bus passenger journeys were taken in this country, which was three times as many journeys as on the entire rail network. Buses are as relevant now as they have ever been. I see them playing a very important part in all our transport futures. All good public transport systems will have buses at their heart. There is no shortage of energy, effort and investment in the sector to support a growing bus industry. The purpose of the Bill is to continue that great work to the benefit of bus passengers, and I commend it to the House Question put and agreed to. Bill accordingly read a Second time. BUS SERVICES BILL [LORDS] (PROGRAMME) Motion made, and Question put forthwith (Standing Order No. 83A(7)), That the following provisions shall apply to the Bus Services Bill [Lords]: Committal (1) The Bill shall be committed to a Public Bill Committee Proceedings in Public Bill Committee (2) Proceedings in the Public Bill Committee shall (so far as not previously concluded) be brought to a conclusion on Tuesday 21 March 2017 (3) The Public Bill Committee shall have leave to sit twice on the first day on which it meets Proceedings on Consideration and up to and including Third Reading (4) Proceedings on Consideration and proceedings in legislative grand committee shall (so far as not previously concluded) be brought to a conclusion one hour before the moment of interruption on the day on which proceedings on Consideration are commenced (5) Proceedings on Third Reading shall (so far as not previously concluded) be brought to a conclusion at the moment of interruption on that day (6) Standing Order No. 83B (Programming committees) shall not apply to proceedings on Consideration and up to and including Third Reading Other proceedings (7) Any other proceedings on the Bill (including any proceedings on consideration of any message from the Lords) may be programmed.—(Andrew Griffiths.) Question agreed to. BUS SERVICES BILL [LORDS] (MONEY) Queen’s recommendation signified. Motion made, and Question put forthwith (Standing Order No. 52(1)(a)), That, for the purposes of any Act resulting from the Bus Services Bill [Lords], it is expedient to authorise: (1) the payment out of money provided by Parliament of any increase attributable to the Act in the sums payable under any other Act out of money so provided; and (2) the payment of sums into the Consolidated Fund.—(Andrew Griffiths.) Question agreed to. Business of the House (7 March) Ordered, That, at the sitting on Tuesday 7 March, the following shall apply to proceedings on the motion in the name of the Prime Minister relating to the Chair of the UK Statistics Authority and on the motion in the name of Mr David Lidington relating to Standing Orders (Public Business)— (1) proceedings on each motion may be entered upon at any hour and may continue, though opposed, for one hour; (2) the Speaker shall put the Questions necessary to dispose of each motion not later than one hour after the commencement of proceedings on that motion; (3) such Questions shall include the Questions on any Amendments selected by the Speaker which may then be moved; and (4) Standing Order No. 41A (Deferred divisions) shall not apply.—(Michael Ellis.) Use of Welsh Language in Parliamentary Proceedings Resolved, That this House— (1) notes the Fourth Report of the Procedure Committee, HC 816, on Use of the Welsh language in the Welsh Grand Committee at Westminster, which builds on more than twenty years of use of the Welsh language in parliamentary proceedings in Wales and at Westminster; (2) resolves that:— (a) whilst English is and should remain the language of this House, the use of Welsh be permitted in parliamentary proceedings of Select Committees and of the Welsh Grand Committee held in Wales and at Westminster; (b) reasonable notice, as determined by the Chair of the relevant committee, shall be given in advance of any proposed use of the Welsh language so as to allow the necessary arrangements to be made; (c) the Chair shall have power to insist that points of order are made in English; and (d) the Official Report shall record contributions made in the Welsh language together with their English translation; and (3) accordingly rescinds the Resolution of 5 June 1996 (Language of Parliamentary Proceedings).—(Michael Ellis.)
ParlaMint-GB_2017-03-01-commons.u340	I wish to present a petition signed by 1,587 local residents of Leicester East. It was collected by Councillors Luis Fonseca, Jean Khote, Abdul Osman and Sue Hunter, as well as many others. I declare an interest as the centre was named after my late mother, Merlyn Vaz, who was a local councillor in Leicester and widely regarded as a pensioners’ champion. The Merlyn Vaz health and social care centre is not closing, but a proposal exists to close the walk-in facilities that operate from it. I am afraid that if these proposals are enacted, it will turn our walk-in centre into a drive-by centre. The walk-in centre was opened in 2009. Since then, 156,089 patients have walked through its doors, including 22,179 in 2015-16. Our hospitals are already overstretched, and the closure of our much-needed walk-in centre will only push them to the brink of collapse The petition states: The petition of residents of Leicester East, Declares that Leicester City Clinical Commissioning Group plans to remove the existing Walk-in element of the service from Merlyn Vaz Health and Social Care Centre which would have a detrimental effect on the local community and other members of the public who use the "out of hours" facility, especially on the elderly and vulnerable people who do not have easy access to transport but are able to walk to the Merlyn Vaz Health and Social Care Centre The petitioners therefore request that the House of Commons urges the Government to encourage Leicester City Clinical Commissioning Group to reconsider their decision to remove the existing Walk-in element of the service from the Merlyn Vaz Health and Social Care Centre And the petitioners remain, etc [P002021]
ParlaMint-GB_2017-03-01-commons.u341	I wish to raise the issue of the funding of the Equality and Human Rights Commission. I thank the Minister for agreeing that the hon. Member for Birmingham, Erdington (Jack Dromey) can also address the House. He has valuable experience not only in the trade union arena but in this arena, having served on the board of a predecessor body It is pertinent that we discuss this issue today. Not only is it Ash Wednesday and the day when we celebrate the patron saint of the great nation of Wales, but as my good friend Ryan McMullan, a former colleague on Glasgow City Council, told me, it is also Disabled Access Day. Perhaps we can touch on those issues later I have been pursuing a debate on this urgent issue, but I am profoundly disappointed at the actions that have created the need for one. As a result of cuts to the funding of the commission, workplace relations have suffered and individual employees have been unfairly treated. This morning I visited the picket line of PCS and Unite members in London who are on their sixth day of industrial action That a Government-sponsored, Government-funded body with a remit set by this Parliament with the specific mandate to “challenge discrimination, promote equality of opportunity and to protect and promote human rights” should on 9 February 2017 callously sack 10 PCS and Unite members by email while they were on strike and give them less than one day’s notice to clear their desks is unheard of in the public sector.
ParlaMint-GB_2017-03-01-commons.u342	I am attending tonight’s debate after I was made aware of this very serious situation. Is the hon. Gentleman really telling the House that the body established by the Government to look after, safeguard and monitor the rights of the citizens of this country is acting in such a scandalous way? If it is, does he not think that this is a clear road map of where this Government are taking the trade union movement and its rights in this country?
ParlaMint-GB_2017-03-01-commons.u343	Yes, I do have concerns about how the Government are conducting industrial relations across the board and about their attacks on the trade union movement, as we saw during the passage of the Trade Union Bill The treatment of the workers concerned is not only harsh, but I would argue potentially discriminatory and contrary to everything the organisation is tasked by this House with delivering. By imposing pay in lieu of notice and terminating the employees’ contracts, those employees can no longer actively search for redeployment within their existing organisation or within the civil service where they would get priority access to vacancies.
ParlaMint-GB_2017-03-01-commons.u344	I congratulate the hon. Gentleman on securing this debate. Does he agree that this will also be expensive for the public purse? For six months, we will be paying these people to stay at home while, as I understand it, the EHRC will be plugging staffing gaps with expensive consultants.
ParlaMint-GB_2017-03-01-commons.u345	The hon. Lady serves with me on the European Scrutiny Committee, and she is quite correct in her analysis Continuous service has been broken, so if the employee were to secure a job in the civil service, the break would have a directly negative impact on their pension and any future severance pay. I note that two directors were also served notice, but pay in lieu of notice was not imposed and they remain on the payroll. To date, the commission has not offered any of those at risk of compulsory redundancy alternative employment, which is a statutory requirement. I hope that the Minister will confirm today whether he will intervene on this matter and ensure that all those employees, now numbering 12, will be reinstated.
ParlaMint-GB_2017-03-01-commons.u346	The organisation was set up in the first place through pressure from the trade union and labour movement on human rights and workers’ rights. We have seen two good examples of where the Government are going with Brexit. We have had the Trade Union Bill, which had to be modified through pressure from the Opposition. What do we now expect when the Government come back with their Brexit package and we pull out of Europe? What is going to happen to workers’ rights then, bearing in mind that the Government have done away with legal aid in certain instances?
ParlaMint-GB_2017-03-01-commons.u347	The hon. Gentleman is correct that concessions were given to the Opposition, but I think the Government are backtracking on them, as we saw in a Delegated Legislation Committee, with trade unions now being forced to have additional conferences to meet requirements in the new legislation.
ParlaMint-GB_2017-03-01-commons.u348	I, too, congratulate the hon. Gentleman on securing the debate. Will he confirm that another thing on which the Government are backtracking is the funding for this organisation? During a year in which hate crime has doubled in this country, we have seen the funding and staffing of the commission cut by 25%. Does he agree that it is extraordinary that the body that is supposed to be the watchdog on behalf of the Government in respect of disabled people’s rights—it is one of this country’s most important watchdogs—is sacking disabled workers at a day’s notice?
ParlaMint-GB_2017-03-01-commons.u349	I agree wholeheartedly, and I shall come back to these points in detail later. If the hon. Gentleman would like to intervene again then, I would be more than happy to give way I invite Members to look closely at who was chosen for compulsory redundancy and who was then sacked by email, as highlighted in early-day motion 944. Of the 10 sacked members, seven are black or minority ethnic, four are Muslim and six are disabled. I hope that no one will challenge the arithmetic on that, as it is possible to have overlapping identities As I understand the situation, one of the dismissed staff members was an Army veteran whose motorised wheelchair was taken away the day after he received his redundancy notice. Three of the sacked members held elected roles on their union’s branch executive committee and one was a trade union negotiator who was leading talks to protect employees from compulsory redundancy This issue raises concerns about blacklisting and trade union victimisation throughout the ongoing restructuring process. It is also not difficult to conclude that certain types of employees have been targeted and potentially discriminated against. Not only is that utterly wrong in and of itself, but astonishing that it should come from the Equality and Human Rights Commission.
ParlaMint-GB_2017-03-01-commons.u350	rose—
ParlaMint-GB_2017-03-01-commons.u351	rose—
ParlaMint-GB_2017-03-01-commons.u352	There seems to be a choice. I give way to my fellow member of the European Scrutiny Committee.
ParlaMint-GB_2017-03-01-commons.u353	The hon. Gentleman is making a really powerful case. Will he comment on the impact that this is likely to have on other employers’ behaviour when they see the body charged with upholding the highest of standards getting away with this kind of conduct?
ParlaMint-GB_2017-03-01-commons.u354	That is an excellent point. When the commission is seen to be conducting itself in this way, it sends out a very dangerous message to rogue employers.
ParlaMint-GB_2017-03-01-commons.u355	Will the hon. Gentleman also comment on the impact of these sackings on the Government’s stated aim of halving the disability employment gap in this country, given that five of the sacked people are disabled?
ParlaMint-GB_2017-03-01-commons.u356	It shows that the Government say one thing in public and do another thing in private. That is the only message that we can take from this This is in the realms of “you really couldn’t make it up.” The Government cannot absolve themselves of any responsibility for this surreal situation. Increasingly, ministerial responses on this issue are becoming a little tetchy, and along the lines of, “This isn’t really anything to do with us.” As I have said before, something that is Government sponsored and Government funded is publicly accountable. That is what we are doing today—giving parliamentary scrutiny to an organisation that is not acting in the spirit of its own ethos and stated aims The strike was called because people were at risk of compulsory redundancy, even though more than 30 commission vacancies remain unfilled. A restructuring process has been driven by severe budget pressures: a 25% cut over the next four years comes on top of a 70% cut in real terms since 2010. That was confirmed by House of Commons Library research, which was commissioned by the hon. Member for Brent Central (Dawn Butler). The Equality and Human Rights Commission has been described as facing collapse.
ParlaMint-GB_2017-03-01-commons.u357	Does the hon. Gentleman share my concern that, with 25% cuts, there is a risk that human rights legislation will, in all honesty, exist only on paper and that, in fact, human rights will effectively be hollowed out? Will he be pressing the Government to give evidence on that?
ParlaMint-GB_2017-03-01-commons.u358	I agree with the hon. Lady. It comes back to the point of whether legislation can be enforced. Looking at this in context, we can see a rise in hate crimes and a dramatic reduction in the number of people taking cases to employment tribunals. There has also been a 71% drop in the number of cases challenging sex discrimination, a 58% drop in race discrimination cases, and a 54% drop in disability discrimination cases. Surely that all adds up to a mismatch between workload and resource. When the commission is only employing three caseworkers to provide advice and representation to the victims of discrimination and human rights abuses in England, Scotland and Wales, it calls into question the ability of the organisation to tackle discrimination and enforce the law Although the stated strategic aims and objectives of the commission are sound—I particularly agree with the aim of improving capability through investing in its people—there is a huge question mark over organisational capacity, particularly in the light of confirmation of the funding picture for the future. On 24 February, the Government Equalities Office confirmed funding for the remainder of the spending review period until 2019-20. It confirmed that the cuts are to continue and that year-on-year funding is to decline from £20.4 million in 2016-17 to £17.4 million in 2019-20. As the need for support for individuals experiencing discrimination in all its poisonous forms grows, this Government have cut deeper into an already challenged organisation I was curious to test the Government’s support for ensuring a sustainable future for the commission, so I tabled a written question last December as to how and whether the Government are publicising the existence of the organisation. The ministerial response was: “My Department promotes the EHRC’s functions where appropriate in the normal course of its own activities but since 2010 has not spent anything on advertising its services.” A more suspicious person than myself might suspect the Government of seeking to suppress demand for the commission’s services, making the case for further funding cuts. Will the Minister confirm that the Government will now advertise the commission’s services publicly In response to the publicity and scrutiny given as a result of poor handling of its workforce and trade union relationships, it is interesting to note that the commission in its briefing note to Members has stated: “It would enhance the Commission’s independence if we were able to table reports directly in Parliament”, and that “we consider that Parliament should be afforded a greater role in setting the Commission’s budget, as is the case for other independent bodies such as the Parliamentary and Health Service Ombudsman and the Electoral Commission.” I welcome the news that the organisation is open to being held to account for its use of public money by a parliamentary Committee and am interested to hear what the Minister thinks of that proposal. This could provide a way forward, and if the Government were also to take responsibility for resolving the hasty and unorthodox manner in which hard-working, dedicated public servants have been treated, a more positive outcome for the organisation and the individuals concerned could be achieved It will be disappointing if the “arm’s length” rationale is deployed again today. It is often used by another organisation I am very familiar with, Glasgow City Council, where all too often the administration’s councillors claim that poor industrial relations and resolving disputes are somehow outwith their control. Budget decisions and damaged employee relations as a result of poor consultation, communication and negotiation are ultimately the responsibility of elected members, whether local or national. Claiming that these issues are decided on and actioned by forces that cannot be held to account, or directed by those of us who are elected by the people, is an exceptionally weak argument Fundamentally, what is at stake here is whether equalities and human rights issues are at the heart of the Government’s ethos or not. Actions at the moment are at variance with stated aims and objectives, and many more people in this country stand to be affected if the commission’s capacity to deliver is being run down, whether by accident or design. I look forward to the Minister’s response.
ParlaMint-GB_2017-03-01-commons.u359	I congratulate the hon. Member for Glasgow South West (Chris Stephens) on securing this debate. Like him, for me, combating discrimination and inequality has been a lifelong cause, in my case dating back to my boyhood, when I discovered, to my shock, from my Irish father that when he first arrived in this country seeking lodging houses in Kilburn and Cricklewood, iniquitous signs were put up saying, “No dogs, no Irish.” For me, this is a cause that I fought in the world of work, taking on bad employers who were discriminating against people, but also challenging practices within the trade union movement. I remember being involved in a battle back in the 1980s against one particular branch of refuse collectors in London who would not allow any black refuse collectors to be employed. We said, “You’re not on,” we took it on, and we changed it Likewise, there was the battle within our own ranks to change the image and agenda of the trade union movement on equalities for women. I used to be described in the old T&G as an “honorary sister.” Like the hon. Gentleman, this is a cause that I am passionate about In parallel to the big changes that have been won over the last 30 years, there has been the transformation of the image and agenda of politics, and, indeed, the make-up of this place. As my right hon. and learned Friend the Member for Camberwell and Peckham (Ms Harman) regularly reminds me, when she was first elected to this House its membership was 97% men I actively worked with all the predecessor bodies: the Equal Opportunities Commission, challenging those employers denying people equal pay; the Commission for Racial Equality, challenging those employers who were discriminating in employment; and the old Disability Rights Commission, challenging employers who treated disabled workers shamefully, and those who—this happened often—refused to employ disabled workers despite requirements on them, and who failed to adapt workplaces so that disabled workers could fulfil their potential Then the Equality and Human Rights Commission was established. I could give numerous examples of its work, but I will give just one. When I was deputy general secretary of the union, we had a big focus on the red and white meat industry, which had 40,000 employees. The main customers were the supermarkets, which were abusing their market power to drive down costs along the supply chain. In factory after factory, that led to a two-tier labour market. There were more and more agency workers—overwhelmingly migrant workers—on poorer conditions of employment, and the number of full-time, directly employed workers on better conditions of employment was falling. That often led to toxic conditions and damaged the social cohesion in workplace after workplace and community after community I persuaded the then chair of the commission, Trevor Phillips, to launch an inquiry into that discriminatory pattern in the meat industry. It produced a powerful report, and I will never forget being at the summit that was then convened by the EHRC, at which the commission told the supermarkets that if they did not change their procurement practices and end the shameful discrimination in their supply chain, it would take enforcement proceedings against them. The supermarkets are not all that they should be—that is for absolute certain—but some welcome changes were made. They could not wash their hands of responsibility for what they had created My experience of the predecessor bodies and the commission has been that they did not always get it right, did not always do everything I would have liked them to do, and did not always bind others in quite the way I would have liked, but they were powerful, effective champions of equality with a dedicated staff fighting that most noble cause of tackling discrimination The position that we have now reached is nothing short of scandalous, just when hate is on the march. It is on the march against black, Asian and ethnic minority people, against the disabled and against women. The signs of what is happening in our country are profoundly disturbing. We have never needed a strong Equality and Human Rights Commission more, but it is now being reduced to a rump of its once great self. It is quite extraordinary that its budget has been reduced from £70 million in 2007 to £17 million now. Likewise, the number of staff is also being reduced to a rump, rendering the commission increasingly ineffective. The staff are being treated shamefully. I know some of the staff in the Birmingham office, including my good friend Zahid Nawaz. He has done outstanding work for the predecessor bodies and the commission for 17 years, but he and others were treated shamefully when they were sacked in circumstances that I would not expect from a bad employer, let alone the Equality and Human Rights Commission The commission has acted badly and shamefully, and it must think again. It should suspend the dismissal notices issued to the individuals concerned. It should also do something that it has as yet failed to do, which is talk to all the stakeholders with whom it operates about the kind of commission they want for the future. I know, having spoken to some of them, that there is an overwhelming sense of deep concern about what is happening. Fairness and the cause of tackling discrimination demand nothing less I turn now to the Minister for Universities, Science, Research and Innovation, the hon. Member for Orpington (Joseph Johnson), who is a reasonable man. I am not sure that I would say that about every Minister. The Government cannot wash their hands of responsibility for what is happening to the Equality and Human Rights Commission because the enormous cuts that are being made are at the heart of all this. As the hon. Member for Glasgow South West said, the Government cannot talk about their commitment to the principle of equality while at the same time cutting the EHRC, making it more difficult for people to go to employment tribunals and robbing citizens of their ability to have their rights enforced and of the protection of the EHRC, which is needed now more than ever. The commission has a responsibility and it must act, but above all, the Government have the key responsibility and they too should act.
ParlaMint-GB_2017-03-01-commons.u360	I begin with an apology on behalf of the Under-Secretary of State for Women and Equalities, my hon. Friend the Member for Gosport (Caroline Dinenage), who is unable to respond to this debate due to other business. However, I am here and happy to respond on her behalf. I thank the hon. Member for Glasgow South West (Chris Stephens) for securing this important debate. It is timely as it allows me the opportunity to confirm the budget agreed with the EHRC for the remainder of this spending review period, something which has been of interest to many hon. Members Before I move on to provide greater detail, I want to take a moment to remind ourselves of the wider context of Government fiscal controls. At the beginning of the last Parliament, as hon. Members will remember, the Government inherited the largest deficit in the post-war period. The EHRC’s position needs to be seen against that background and against the significant spending reductions that apply to central Government, including making over £20 billion of savings by 2019-20. I can confirm that the EHRC’s settlement for this spending review period amounts to a total budget of £20.4 million for 2016-17, £19.3 million for 2017-18, £18.3 million for 2018-19, and £17.4 million for 2019-20, equating to a 25% reduction across the spending review period since 2015-16. Obviously, and as the hon. Member for Glasgow South West made clear, reductions in the EHRC’s budget stretch across a longer timescale than just this spending review. With its settlement now confirmed, the EHRC will have had an approximate budget reduction of 68% between 2010-11 and 2019-20.
ParlaMint-GB_2017-03-01-commons.u361	rose—
ParlaMint-GB_2017-03-01-commons.u362	rose—
ParlaMint-GB_2017-03-01-commons.u363	If hon. Members give me some time, I will supply some context for the reduction, most of which we did not hear from the hon. Gentleman.
ParlaMint-GB_2017-03-01-commons.u364	I am grateful to the Minister for giving way. In the context of a current budget deficit of around £68 billion, is he seriously telling the House that cutting the EHRC’s budget by 68% down to £17 million is really necessary or relevant?
ParlaMint-GB_2017-03-01-commons.u365	The context that I am about to provide will help hon. Members understand in more detail why cuts of that magnitude were appropriate. If the hon. Member for Glasgow South West bears with me, I am sure that I will answer the question that he was about to ask First, when the EHRC was set up in 2007, it had an extraordinarily high budget to facilitate the merger of three previous bodies—the Equal Opportunities Commission, the Commission for Racial Equality, and the Disability Rights Commission—into a new body. The budget was simply not right for the organisation during its infancy. In 2007, the EHRC had a budget of £70 million, which was an astonishing £20 million more than the combined budgets of the three previous commissions. The EHRC never managed to spend more than £62 million in any year. Indeed it often struggled to spend its allocation, reporting significant and repeated underspends. In June 2010 for instance, the EHRC budget was reduced in-year from £62 million to £55 million. However, the EHRC’s actual expenditure in 2010-11 was £48 million, of which £16.3 million, or 35% of its budget, was spent on its corporate costs Secondly, those with longer memories will acknowledge that the organisation was poorly managed at the time and had poor spending controls, as a result of which its first three sets of accounts were all qualified. That inevitably called into question its financial controls and the amount of funding that it should be given Thirdly, Members should be aware that the EHRC’s budget reductions have simply reflected changes to its range of functions. A number of significant functions have been repealed, or are no longer funded, to help it concentrate on its core remit. Most notably, the EHRC has stopped its large grants programmes, which had been mismanaged and cost several million pounds. The EHRC also lost its helpline, which cost £2.5 million a year, and its conciliation role in service provision. Those functions ceased in 2012-13 and were costed at £10.1 million or 21% of the EHRC’s budget at the time Those changes were considered in the review of public bodies conducted by the Government in 2010, and it was decided that the EHRC should be “retained but substantially reformed”. In March 2011, the coalition Government accordingly set out plans to reform the EHRC in the consultation document “Building a Fairer Britain: Reform of the Equality and Human Rights Commission.” The current Prime Minister, who at the time was Minister for Women and Equalities along with her Liberal Democrat coalition partner Lynne Featherstone, set out proposals “to transform the Equality and Human Rights Commission into a valued and respected national institution.” A comprehensive budget review was set up in 2012 to identify the minimum level of funding needed for the commission to discharge its statutory functions effectively, in accordance with the provisions of the Equality Act 2006. The review concluded that steady state funding of £17.1 million would be adequate for the commission to continue to fulfil its statutory functions.
ParlaMint-GB_2017-03-01-commons.u366	The Minister seems to be suggesting that the £17.4 million budget for 2019-20 is only to support the commission’s core statutory functions, which I understand is the direction of travel. Will he confirm that, in previous years, the commission received up to £7.8 million of funding to support its wider functions?
ParlaMint-GB_2017-03-01-commons.u367	The EHRC is receiving money in excess, although modestly so, of the minimum amount regarded as necessary to support its statutory functions. The hon. Gentleman is correct.
ParlaMint-GB_2017-03-01-commons.u368	I understand the Minister’s point about focusing the commission on its statutory and strategic functions, but how can he be confident that it has the resources to do that well when we know that many local authorities are failing to comply with the public sector equality duty and that the Government are the subject of a number of significant criticisms from UN bodies for failing to comply with our obligations under socioeconomic and other rights treaties?
ParlaMint-GB_2017-03-01-commons.u369	Work was undertaken in the last Parliament to assess the minimum level of adequate funding necessary to ensure that the commission is in a position to discharge its statutory functions. As I said earlier, the review concluded that steady state funding of £17.1 million would be adequate The hon. Member for Glasgow South West mentioned staffing reductions, which I recognise is also a concern of other hon. Members. As an independent body, it is for the EHRC to determine the level and structure of its staffing, which includes defining the appropriate grading and staff numbers. The commission has had to make difficult decisions in order to deliver value for money in its use of public funds while also ensuring that it is furnished with the right complement of skills and experience. Once the commission has concluded its restructuring under the target operating model, the total number of posts will be 179 The hon. Member for Pontypridd (Owen Smith) asked about the impact of the EHRC’s restructuring on the Government’s goal of halving the disability employment gap. In terms of actual redundancies, the restructuring affects six disabled staff members. More widely, the EHRC retains good links with disabled groups, is continuing its work on disability issues and is working with disabled groups specifically to improve its enforcement work on disability discrimination cases The Government are also working generally to combat hate crime. Other hon. Members asked about the impact of the restructuring on the commission’s ability to deal with instances of hate crime. The Government are working generally with the police to provide a breakdown of data on religion-based hate crime to help them target resources and increase understanding. We recently published the hate crime action plan, in July 2016, and are now delivering locally based projects to tackle hate crime. We have announced additional funding for communities to increase reporting, with £2.4 million to protect places of worship and £900,000 to support community projects. We are engaging with groups to ensure we understand the public’s experience of hate crime and make it easier for victims to come forward Let me turn specifically to points made by the hon. Member for Birmingham, Erdington (Jack Dromey). Although the EHRC needs to have due regard to fostering good relations, it is not a criminal enforcement agency, as he knows, and it has no role in prosecuting offenders or ensuring compliance with the law in this area. Therefore there will be no impact on the Government’s ability to tackle hate crime.
ParlaMint-GB_2017-03-01-commons.u370	The Minister is saying that the commission does not have duties in terms of dealing with criminal behaviour, but he has yet to comment on how staff were treated. They were dismissed with one day’s notice and told to clear their desks. Does he believe that that is appropriate?
ParlaMint-GB_2017-03-01-commons.u371	rose—
ParlaMint-GB_2017-03-01-commons.u372	rose—
ParlaMint-GB_2017-03-01-commons.u373	I will take another intervention on the same point and then I will deal with one from the hon. Member for Pontypridd.
ParlaMint-GB_2017-03-01-commons.u374	I thank the Minister for giving way. I just want to add to what my hon. Friend said. The Minister seemed to be alluding to a strategic review of what the commission needs to do to carry out its core work, so how does sacking people by email and sending them home comply with the strategic review? There is no way that can be a skills-based assessment.
