ParlaMint-GB_2021-02-09-commons.u1	What steps his Department is taking to support UK research and development.
ParlaMint-GB_2021-02-09-commons.u354	It is a great pleasure to follow the hon. Member for Dundee West (Chris Law). I thought his Hobbesian description was somewhat negative given that Hobbes was talking about civil war and the separation of the kingdom into different parts, whereas what the Government have achieved through one of the areas that is essential to the planned integrated review—that is, of course, science —is really quite remarkable If we look at the achievements of Kate Bingham, we see that the Government have delivered something fundamental to the future strategic strength of our entire nation: the deployment of science and innovation alongside enterprise and—yes—finance to make the whole much greater than the sum of the parts. This is a fantastic achievement in the face of a virus that is affecting the entire world, and it will no doubt deliver an enormous amount for the entire globe, as we will see that the innovation and development we have achieved in the United Kingdom will become something of a gift to all. That leads me to the second area that is essential for our integrated review to be successful: technology. From AI to quantum computing, the achievements of our start- up nation and our universities are going to be fundamental to ensuring our strategic strength and depth into the future. That is why so many of us have been passionate advocates for the Government’s National Security and Investment Bill and are absolutely supportive of its aims —although some of us would rather make a few tweaks. The Bill is essential to the development of the future of our green economy. Whether in hydrogen energy, about which many of us are passionate because of China’s domination of the battery industry, or other areas, there are many technologies in which we are already leading That brings me to the element on which I am afraid the Government really could do more. They really do need to publish the integrated review. They have the most fantastic team in No. 10—led by someone who was an adviser to the Foreign Affairs Committee, so I admit to a bias there. The Government could easily publish a fantastic report on how they see this issue going forward. Bringing together the full arms of the state—all the institutions that the British people have at their disposal—is exactly what we need if we are to be able to fight our corner in the coming decade. The world is changing, the rules are changing and the norms are changing. We set the standards by encoding into written law the norms that we grew up with over the past 200 years. Other countries are, quite understandably, encoding their own standards into the electronic code that now runs our lives. As that is becoming cheaper and cheaper, we are seeing technological decoupling and a reversal of some of the globalisation that was achieved in the late 1990s This is a moment of challenge for all of us, but I think Britain can succeed. Britain is not only at the heart of a networked world, with some of the best, oldest and strongest alliances around the world—we also have the people. We have the diplomats and the aid workers. We have the soldiers, sailors, airmen and marines. We have the businesses, the finance houses, the innovators, the farmers and so many more who can generate that kind of lead. Indeed, our scientists and our NHS are demonstrating it today. What we need now is not a new orchestra. We need the conductor to set out the tune, so that we can all play it, because Britain will succeed if we know where we are going.
ParlaMint-GB_2021-02-09-commons.u355	I am pleased that we are having this debate and that there will be a review of foreign and defence policy that includes foreign affairs, defence and international aid. But it is a great shame—in fact, it is more than a shame; it is terrible—that on 19 November 2020, the Prime Minister announced that defence expenditure would rise to 2.2% of GDP and that an extra £24.1 billion would be spent over the next four years, and at almost the same time he announced a reduction in the aid budget from 0.7% to 0.5% of GDP and the closure of the Department for International Development, which was subsumed back into the Foreign Office, where the Government always wanted it to be. That is a great shame and a terrible message to the rest of the world This review needs to concentrate on the issues that face the world as a whole. The covid pandemic has shown just how dangerous this world is and just how dangerous the threat of another pandemic is, which is now seen as a tier 1 threat. The Government were advised in 2008 of the need to prioritise preparations for dealing with a global pandemic. The shortages of personal protective equipment and everything else show that they absolutely did not do that. The introduction to that report quite rightly says, on page 3, that we should look at the “drivers” of conflict. The wars in Afghanistan, Iraq, Libya, Syria and now Yemen have led to an unprecedented number of refugees around the world. Some 65 million people—fellow citizens of this planet—have no home of their own and no secure place to live. They want to contribute to the world’s future If we are to have a rational review of what we are to achieve in the future, we must surely look at the issues facing the security of the planet, which obviously means our own security at the same time. One of those issues is global inequality. The gap between the richest and the poorest was, at the best times, beginning to close, but because of the economic slowdown due to the coronavirus, it is likely to get wider and wider. More people will be short of food, and more people will be leading insecure lives, and that will be the driver of the terrorists and threats of tomorrow Later this year, COP26 will meet in Glasgow, where I hope we will come to an agreement that we will get to net zero by 2030. That means that the priority for all of us should be looking at the issues that face the world—refugees, global poverty, environmental disaster and, of course, trade supplies and food chains for the future; we are a trading nation, and we need to be sure that we can still trade and buy things from elsewhere. We have a very big job on our hands, and I hope the review takes all those issues on board The last thing I would like to say in the few seconds I have left is quite simply this. The threat of a nuclear war has now been downgraded to tier 2. The treaty on the prohibition of nuclear weapons—the global ban—has been supported and signed by 86 nations and ratified by 52. Opinion polls show 59% support in this country for signing it. The global network of Parliamentarians for Nuclear Non-proliferation and Disarmament shows the importance of it. When the non-proliferation treaty comes up for review, let us make a positive contribution and a real effort to bring about a world free of nuclear weapons in the future. Let us concentrate on human rights, poverty and the issues that face us, because that will ultimately make us more secure.
ParlaMint-GB_2021-02-09-commons.u356	It is a pleasure to follow the right hon. Member for Islington North (Jeremy Corbyn). In 20 years, we have not agreed on very much, but I was born in his constituency in Crouch End I want to make two principal points about the integrated review. The first is about Ministry of Defence procurement, which has frankly become a basket case. The National Audit Office and the Public Accounts Committee have produced numerous reports in recent years outlining the chronic failures in the MOD’s procurement function. One recent NAO report highlighted that of the 32 major projects managed by Defence Equipment and Support, only five are running to schedule, and many, as well as being late, are also running considerably over budget. The latest NAO report on the equipment plan, published on 12 January, confirms yet again that the plan is unaffordable within the MOD’s budget, and that the affordability gap is widening One procurement after another is now in serious trouble. The Ajax recce vehicle, Astute submarines, the Crowsnest airborne early warning platform, the Challenger 2 upgrade, the Warrior capability sustainment programme —the list goes on and on, and yet nothing ever really changes. The procurement bureaucracy ploughs on regardless like a giant super-tanker, but one that is probably 40% over budget and five years late The increase of the defence budget by £4 billion a year over four years—a roughly 10% increase—is very welcome indeed. Nevertheless, unless we can seriously reform procurement, it will be the equivalent of simply handing large wodges of cash to a chronic alcoholic. About 40% of the entire defence budget is now spent on equipment, including support, yet DE&S at Abbey Wood is persistently incapable of managing its contractors properly and efficiently. If we cannot grasp that nettle once and for all in this review, the whole exercise will have been largely a complete waste of time Secondly, if because we cannot cut the Gordian knot of defence procurement, we look for savings elsewhere by slashing the Regular Army, that will only compound the error, as the deputy Chairman of the Committee, the right hon. Member for Warley (John Spellar), made so plain. There is really little point in Ministers promulgating the concept of global Britain and punching above our weight on the world stage if at the same time we are reducing our Regular Army to 72,000 and discarding some of the best line infantry battalions in the world as a result The new Biden Administration are already very worried about that, and from what I hear privately they have a perfect right to be. This is now a very live issue—75,000 versus 72,000. I understand that no final decisions have yet been taken, so I appeal to Ministers to draw back before it is too late and reject the 72,000 proposal while there is still time As Kipling famously reminded us: “For it’s Tommy this, an’ Tommy that, an’ ‘Chuck him out, the brute!’ But it’s ‘Saviour of ’is country’ when the guns begin to shoot” Let us not destroy some of the finest line infantry in the world simply because we lack the moral courage to fundamentally reform the way we buy their kit.
ParlaMint-GB_2021-02-09-commons.u357	It is a pleasure to speak in this debate. The UK’s departure from the EU and the upcoming publication of the integrated review has prompted a great deal of thinking about the role of the British state in the world. To date, far too much of the political discourse in this House has been based on empty slogans such as “global Britain” and “Empire 2.0”. Much of that vein of British nationalism is based on the misguided concept of superiority—hence the glib use of phrases such as “world-beating” and “best in the world” by Ministers and media propagandists I fear that the grand illusions that drove much of the Brexit debate will drive the UK’s foreign policy in a direction that is foolishly based on the exercise of military power. For example, sending an aircraft carrier and an accompanying strike group to the South China sea to showcase carrier capability seems a bizarre strategic decision when it comes to defence and security priorities. Instead, I urge the British Government to forget their superiority complex, stop wasting billions on weapons of mass destruction and realise that, in the real world, it is through working with others that policy objectives can be best achieved That brings me to where I believe the British state should prioritise future investment. The essence of our defence policy must be security. I do not believe the British state faces any prospect of invasion from another state; rather, the security threat comes from terrorism and cyber-warfare. A mass-casualty event in the UK is far more likely to come via the use of a terrorist dirty bomb using nuclear, chemical or biological technology than via a state-sponsored missile strike I share concerns that the trade and co-operation agreement between the EU and the UK could reduce the resources available to law enforcement agencies to tackle those threats following the loss of access to Europol, Eurojust and the second Schengen information system. Access to such systems would be far more effective in identifying and neutralising sporadic terrorist threats than any nuclear bomb, warship or tank Misguided foreign policy adventures diminish domestic security and create long-term instability in those regions where wars are waged. The review should therefore address not only how the British state can enhance its defence capabilities in the true sense of the word, but how the UK can collaborate with countries across the world to support peace and stability It is that final question—how the British Government promote peace and stability—that is, for me, at the very heart of what we are debating today. This review gives the Government an opportunity to set out a vision of a globally responsible Britain using soft power to promote access to global education, support diplomatic missions to find solutions to global tensions, and combat environmental degradation That is critical at a time when covid-19 is reversing decades of global progress in supporting vulnerable communities across the world. UNICEF reports that 6,000 more children are at risk of dying each day due to the impact of the pandemic on health services in low and middle-income countries. By the end of 2020, there had been an estimated 14.3% increase in the number of severely malnourished children. We have not heard too much about how the review will outline how UK aid will be used to support interventions to tackle these issues, other than being a blueprint for wasting billions on flag- waving exercises designed to shore up the Conservative base I will finish by quoting the Guardian columnist Simon Jenkins: “Sovereign countries change not from without but from within. Short of horrendous wars, they change when their rulers know they must… If Britain really feels the need to set the world to rights it will do so by example, and no other way.” Diolch yn fawr iawn.
ParlaMint-GB_2021-02-09-commons.u358	Our adversaries are changing, the characteristic of warfare is changing, and our military is modernising to combat emerging hard and soft threats, but that will take decades to evolve, and in the meantime we still need boots on the ground. A string of previous defence and procurement reviews have been throttled by lack of funding, but with the announcement of a £24 billion increase in defence spending, I want to see ambition matched by British global aspiration In 2018, the national security capability review identified that disease and natural hazards posed a real threat to the UK. How right it was. Therefore, this integrated review must incorporate a fresh analysis of the type of risk and geopolitical competition that that will cause and, equally, what role we want the military to play in it During this pandemic, civilian authorities have requested military support on 441 occasions. In Wales, the military has propped up the vaccine roll-out programme, and the number of military personnel embedded in NHS Wales doubled as of last week. The health board serving my constituency of Wrexham has just been afforded logistical planners to assist with expanding the efficiencies of the vaccination centres. That role is vital to protect the public and, by extension, national stability and security Let us look at the number of military personnel currently diverted to other duties: 14,500 on winter support; 4,500 on military aid to the civil authorities; three battalions on standby, and a further 5,000 personnel working behind the scenes. Without doubt, such prolonged support will impact military resilience and strike capability. I would like to see that threat addressed in the integrated review, along with a reassurance that personnel numbers will reach their target and will not be reduced I anticipate that the integrated review will identify opportunities in the modernisation of defence in order to create skilled jobs and drive exports. That will facilitate the Government’s agenda to level up and build back stronger. Certainly, the defence industry and supply chain is vital, and nowhere more so than in Wales. In addition to the presence of military personnel, the next generation of the Army’s Ajax armoured fighting vehicle is made in Merthyr, and components for the Boxer in Cardiff. In north-east Wales, MOD Sealand is the global F-35 maintenance hub, and the Shadow aircraft will be supported by Raytheon, in addition to the work undertaken at Qioptiq That all creates significant prosperity—more than 7,500 jobs—with the procurement spend in Wales increasing by 11% to £1 billion. That has been achieved because we are one United Kingdom, and the Conservatives are the party of defence. Wales’s defence footprint is vital, but our armed forces and defence industry need certainty. Certainty comes with the integrated review, which I hope will be published sooner rather than later.
ParlaMint-GB_2021-02-09-commons.u359	It is almost a year since the Prime Minister launched his integrated review into the UK’s international policy, and how the world has changed since then. The review is supposed to map out how the levers of our diplomatic, development and defence policy work together, providing a truly integrated international strategy for the decades ahead, but despite assurances that it would be published last autumn there is still no sign of it. We have, however, seen a drip of premature announcements linked to the review about increases to defence spending, reductions to development spending, and of course the merger between DFID and the FCO last summer To make such a momentous decision as a merger before completing the review denied many external stakeholders the opportunity to contribute evidence, and pre-empted the review’s conclusions. It was a deep mistake and will have long-term consequences. By cutting UK aid spending to 0.5% of gross national income from 2021 onwards, the Government have broken their promise that the integrated review would be underpinned by an ongoing commitment to spend 0.7% of UK GNI on official development assistance. Reducing our spending at a time of increased global need while our allies in France and Germany seek to increase their development spend sends a message of a country backing away from solving problems and sharing burdens, rather than taking the lead in finding solutions In normal times, we would be talking about how to ensure that our aid budget is reaching the people most in need of it, whether it is delivering value for money, and whether it is sufficiently transparent. We need to get back to those conversations. I am pleased that the Government plan to publish a new development strategy, born out of the conclusions and objectives that will be set out in the integrated review. That new strategy will provide an opportunity for the UK to cement its commitment to poverty reduction and the attainment of the sustainable development goals. The International Development Committee, which I chair, is keen to contribute to that new strategy, ensuring that it draws upon the views of stakeholders from across the world When the Foreign Secretary spoke to my Committee last month, he told us of his vision for the UK to be an international leader in conflict and dispute resolution. To undertake that role with credibility we must first remove the contradictions that persist in our international policy. How can the UK take the global lead in tackling climate change but continue to support the use of fossil fuels through UK Export Finance? How can we share our commitment to providing quality education for girls when one of the first casualties of aid cuts was a girls’ education programme in Rwanda? How does it make sense for the UK to be rightly providing humanitarian assistance to Yemen yet continuing to sell arms to the countries that use those weapons on the Yemeni people The integrated review is our chance to tell the world what sort of country the UK wants to be. I want it to be one that promotes peace, equality and prosperity for all, so I have to ask: when will the integrated review be published?
ParlaMint-GB_2021-02-09-commons.u360	Politicians have never really come to terms fully with globalisation. Perhaps it is the inevitable loss of sovereignty that provides the reticence, but it is a reality. We live in a world that is more interdependent and interconnected than at any time in history. Examples of the impact of that are all around us, from the financial crisis to the effects post 9/11 and the covid pandemic. Events in other parts of the world ricochet quickly to wherever we are, to the extent that the concept of “over there” is almost redundant, because whatever risk is over there today will be over here tomorrow, whether that risk comes from terrorism, economic issues or, as now, a public health emergency We need to have a proper response to the reality in which we find ourselves. I draw a distinction between globalism—the idea of global government—and globalisation, which is an economic reality. One is a pipe dream and the other is the situation that we must address today. We require multilateral co-operation in a much more concerted way than we have in the past and we have to have better institutions. Many of the institutions on which we depend today for global co-operation were designed for a very different world. The United Nations, the Security Council, the World Bank, the International Monetary Fund, the World Trade Organisation and the World Health Organisation all need to be brought up to date, and Britain can play a lead in that We need to be at the centre, and we are well placed. We have a permanent seat on the Security Council, and we are in the G7 and the G20. We are at the heart of the Commonwealth. We are a key member of NATO and a big contributor to the World Bank and the IMF. All those have already put Britain in a key position to help Post Brexit, we need to remodel Whitehall to reflect the reality of the change, whereby risk is multifactorial, and defence, economic security and commodity security, including water, are all risks that need to be addressed together. I sat on the National Security Council, which was supposed to take a wider view of risk, but it is all too easy for it to become focused on short-term threats to national security rather than take a wider strategic view of longer-term threats Issues such as NATO are ongoing problems. The underfunding of NATO by many of its European members needs to be addressed—and they need not think that a change in the American presidency is going to give them much of a breather at a time when the patience of American taxpayers has been sorely tested for far too long. We need to take a strategic view not only of our own interests, but of the interests of those whose world view competes with ours. That is particularly true when the Chinese Communist party is trying to create a more permissive environment for totalitarianism and when we need to create one for democracy, freedom and the rule of law I end with a short story. When I was Defence Secretary, I asked a senior official at the Élysée Palace why during the cold war we were happy to use the word “better”—freedom was better than tyranny, capitalism better than state planning and democracy better than totalitarianism—but we were reticent during the Islamic threat to say that religious toleration was better than imposed orthodoxy, that equality for women was better than their being second-class citizens and that democracy was better than theocracy. The answer that I got was, “I think that today we can only say that we are different, not better.” If we believe that what we stand for is only different and not better than the alternatives, how can we lead? We either have to shape the world or be shaped by it. I believe that the values we hold are the key to that better future.
ParlaMint-GB_2021-02-09-commons.u361	Just last night, we heard from ITV News that there is a new component: the defence White Paper—something that had not been raised with us on the Defence Committee and none of the witnesses at our integrated review inquiry had seriously raised. In the press reports this morning, submissions from the Australian and German Governments raised their own defence White Papers, but it seems odd that the first we are hearing about it in a UK context is a month before the White Paper is published The Committee’s report on the integrated review was called “In Search of Strategy”; I do not think I am the only one still looking for that strategy. It is, of course, important at this point to reiterate what I and many in Scotland will be looking for in the review. It will come as no surprise to anyone who has heard me witter on about it that our north Atlantic neighbourhood must be central to this integrated review: it is the geography and location that defines our future, just as it has our past. That would, of course, seem logical except that it played no part in the 2015 SDSR, and the UK’s neglect of its own backyard is an ongoing worry for those who see all the emphasis in this review being about an Indo- Pacific tilt The second plea that I would like to make is on behalf of the defence people who will undertake this strategy. It is clear from the evidence presented in the comprehensive spending review that the extra cash for defence announced in November is going to find its way principally to ensuring that the MOD can just about tread water with its equipment plan, while the day-to-day budget remains stagnant For those on the Government Front Bench who will talk about “efficiency savings”, let me say that anyone who has read the National Audit Office reports knows that those are illusionary; yet again, this will be fiscal restraint built on the backs of those who serve in our armed forces, and their terms and conditions, housing and wages, all after almost a decade of previous lost real-terms savings. This is unsustainable My country is going to be an independent member of the European Union and NATO in the coming years, and much as it will come as a surprise to those who have not been paying attention, this Scottish nationalist at least wants to see our largest neighbour and closest friend have a strategy that its people and its Parliament can understand and buy into. I do not expect anyone on the Government Benches to want to get this right for those reasons, but today I do live in hope.
ParlaMint-GB_2021-02-09-commons.u362	I draw the House’s attention to my interests, which are set out in the Register of Members’ Financial Interests The integrated review is a most important moment and, along with my colleagues, I look forward very much to its publication. It will set out what global Britain means post Brexit, and as many have said, there are undoubtedly huge opportunities for us there. It wires together defence, diplomacy and development, and I want to say a few words about development and the importance of soft power, where, hitherto, Britain has been a global leader Many on the Conservative Benches, as well as across the House, are very much opposed in principle to the reduction in the 0.7% commitment, not only because it was a promise delivered when the former Defence Secretary, my right hon. Friend the Member for North Somerset (Dr Fox), and I were in government, but because it was a manifesto commitment made by every elected Member of this House at the last election, just a year ago. It is incredibly unwise to break that commitment, particularly in the midst of a global pandemic. We all know that covid will never be beaten here until it is beaten everywhere, and the British development budget has helped to do an enormous amount to build health structures, which have been so important. If we are vaccinating people in the northern part of Uganda, it is not just about a vaccine and a needle; it is about health structures, and having clinics, fridges, and adequately trained staff This will be the largest cut that has ever been made in international development spending, and we are the only country contemplating it: the United States has announced that it will increase development spending by $15 billion; France is increasing its level of developing spending above what we are now proposing; and Germany reached the 0.7% figure last year. The 0.7% has gone down so much this year—as of course it rightly does sometimes, because it reflects the state of our gross national income—that £3 billion has already been shaved off the budget. If the 0.5% proposal were to be brought in, we would be talking about another £4 billion, and so nearly half the budget of nearly £15 billion last year. It is wrong in principle to use that to wipe out 1% of the debt we have racked up in the past year. I ask the Government respectfully to think again about this I have a second point I wish to make. I read that the Government are worried about losing a vote on this in the House of Commons and are therefore intending to kick it into the long grass. May I suggest a more constructive approach? Brexit was supposed to bring power back to this Parliament, not to Executive fiat, and I think the Government should put this to Parliament sooner rather than later. The reason for that is, first, that development is long-term; many important development programmes run for three or five years. We see this in the example of the Prime Minister’s excellent proposal that all girls should get 12 years of education. If there is doubt over the budget, it is extremely unhelpful in planning those programmes, which will, by definition, then be much less effective. Secondly, as has been pointed out, the Government may be in breach of the law, because the provisions do not allow for missing the target on purpose. If the Government advance down that particular route, they may well get judicially reviewed. So I urge them to think again about this, perhaps getting the £4 billion they would save by this pernicious and shabby cut from a digital online services tax. Why not let Amazon pay fair tax instead of balancing the books in this way on the backs of the poorest people in the world?
ParlaMint-GB_2021-02-09-commons.u363	I refer the House to my entry in the Register of Members’ Financial Interests. I thank my right hon. Friend the Member for Warley (John Spellar) and the right hon. Member for Bournemouth East (Mr Ellwood) for securing a debate on this incredibly important subject Since coming to power in 2010, the Conservative party has presided over a decade of decline in the field of defence. Successive defence reviews have been used to slash spending, leaving a £13 billion black hole in the defence budget, our armed forces short of service personnel and greatly needed orders being deferred. This all raises troubling questions about the readiness of our armed forces to meet new and fast-changing threats in an ever more volatile world. The Prime Minister is right to recognise that, after so many years of reckless mismanagement, it is time to end the era of retreat. I welcomed the Chancellor’s announcement last autumn of more than £24 billion of additional funding, in cash terms, for defence over the next four years. The Minister must now confirm how much of this additional funding will be used to fill spending gaps caused by swingeing funding cuts over the past decade Of course, the first priority of this integrated review must be to address the needs and wellbeing of our brave service personnel, who put their lives at risk to keep us safe. That means, at long last, putting an end to the scourges of low pay, substandard housing and inadequate mental healthcare. I would also like to know what consideration the integrated review will give to the role that defence spending has to play in supporting domestic manufacturing and improving sovereign capabilities. This is a key challenge for the UK going forward. For far too long, our country’s sovereign capabilities have been undermined by the Government’s tendency to bypass British manufacturers and buy defence projects off the shelf from abroad. One of the most important lessons of the pandemic is that we simply cannot rely on international supply chains to deliver equipment and infrastructure that is vital to safeguarding our national security. It is imperative that the integrated review recognises that, and that the Government take steps to ensure that vital defence projects are designed and delivered by British manufacturers This issue has a special resonance in my constituency of Birkenhead, which is home to the iconic Laird shipyards. In 2019, Cammell Laird was part of a TEAM UK consortium that was successfully shortlisted for the construction of Royal Fleet Auxiliary’s new fleet solid support ships. By building these ships in British shipyards, the Ministry of Defence can guarantee at least 6,500 jobs across the UK, including hundreds at Cammell Laird alone I have been encouraged by what the Defence Secretary and Prime Minister have to say about the role of defence spending in promoting jobs, skills and high-quality apprenticeships at home, but I am concerned that the Government are still failing to deliver. Too many supposedly shovel-ready defence projects have been delayed, jeopardising British manufacturers and jobs. In Faslane this week, members of Unite the union are balloting for industrial action over the future maritime support programme contract process. They fear the contract will be split into smaller components and contractors, which risks undermining collective bargaining arrangements, as well as the delivery of the project. What we need now is action, and that means putting social value and the promotion of economic prosperity at the very heart of the integrated review.
ParlaMint-GB_2021-02-09-commons.u364	I remind the House of my role as deputy chairman of the Defence Growth Partnership. I, too, look forward, as other Members have said, to the integrated review, but I also look forward to the defence and security industrial strategy. I congratulate the Secretary of State on securing a multi-year settlement outwith the one-year spending review, providing a £16 billion increase in defence spending over the next four years. As was made crystal clear in the recent National Audit Office report, the continuing material gap in the affordability of the equipment programme has to be grasped. Allocating adequate capital and then avoiding repeated delays through stop-start decisions to programmes will improve both cost and the delivery schedule I make four quick points on judging the integrated review. The first is whether the increased resources are sufficient to match the Government’s policy ambition to develop the required capacity and capability to maintain credible and effective force structures. The second is whether the review recognises the value of an defence industrial base with sufficient resilience, innovation and sustainable capacity to supply our armed forces with the superior capability that they need, now and in the future. That requires a careful combination of competition and collaboration with industry, providing greater visibility to contractors of potential defence capability requirements. It also requires identifying the contribution of defence and security to the UK economy, as I recommended a few years ago; I am pleased that that is now being stood up through the joint economic data hub, which will help to demonstrate how defence can contribute to prosperity and the Government’s levelling-up agenda Thirdly, in the post-Brexit era the integrated review provides the opportunity to show global Britain taking a leadership role in international capability programmes. Developing export potential for UK defence capabilities by establishing joint requirements with our allies is essential to ensure that our armed forces are at the forefront of innovation, but also encourages industry to co-invest in developing new capabilities. Securing international support for export programmes will require increased co-operation between Government Departments here at home and the simplifying of Government-to-Government engagement overseas Fourthly, I shall be looking for continued investment in innovation—something I championed when in post. All too often, the innovation budget has fallen victim to the annual salami-slice of cutting current programmes to fit departmental spending into the annual budget envelope. That is no way to build confidence with the user community in the armed forces, nor with the potential new suppliers who will come from the technology innovators of the wider commercial world beyond defence, as war-fighting moves into the digital, cyber and space domains I urge the Government to use the integrated review to match capability with ambition and support the UK’s defence enterprise base, to develop world-leading capability and to build on its important contribution to the prosperity of our country and the credibility of our armed forces.
ParlaMint-GB_2021-02-09-commons.u365	I thank the right hon. Members for Bournemouth East (Mr Ellwood) and for Warley (John Spellar) for securing the debate I fear that the review is compromised by the assumptions on which it is founded, not just the assumptions about global affairs—new and unclear threats abound, and old friends of course change leaders—but rather, the assumptions about the very state whose interests the review seeks to safeguard and advance. An effective review must pay due attention, not only to the state of international affairs but to the political and economic environment here in the UK. More than half the population of Scotland now support independence in every poll. More than half the population of Northern Ireland say they want a referendum in the next five years on reunification. Even in Wales, disregarded as the most docile part of the kingdom, support for independence now stands at over 30%. The Prime Minister and his friends might prefer to ignore these humdrum matters in their grandiose consideration of global affairs, but for any international strategy to be worth the candle, it needs a degree of domestic consent Let us suppose for a moment that Scotland, Northern Ireland and Wales choose to remain in the UK. The first finding of the review should be that the centralisation of international engagement in Westminster and in Whitehall will no longer do. So far, this Government have shown themselves wonderfully adept at failing to work with these diverse national interests. They subordinate the Union to the wishes of the largest number. The review should therefore enable proper participation by the four parts of the UK in international affairs, from approving trade deals to consenting to offensive operations by armed forces drawn from, and paid for by, all four parts of the state Plaid Cymru wants Wales to play a constructive international role, from supporting climate action to eradicating want, to striving for peace in conflicts in places like Yemen. The Prime Minister’s view is different and, I am afraid, more than a little confused. He said in this place on 19 November: “We have a chance to break free from the vicious circle whereby we ordered ever decreasing numbers of ever more expensive items of military hardware, squandering billions along the way.”—[Official Report, 19 November 2020; Vol. 684, c. 488.] That is all quite true, of course. That is what he said then, but he followed it up with support for Trident. He has, as we say in Welsh, “Pen punt a chynffon dimau”, which very loosely translates as “A pound in the head but a ha’penny in the pocket”. Change is essential On a local note, the MOD has acquired training aircraft that cannot normally fly over the sea and that make a very loud noise over land. They are based on Ynys Môn. Ynys Môn is, of course, an island; the clue is in the name The time for global pretensions, when foreign affairs were conducted by a Westminster and Whitehall elite, has had its day; and, given its multitudinous failures, quite rightly so.
ParlaMint-GB_2021-02-09-commons.u366	It is something of an irony that the debate is about publication of the integrated review, but I am grateful to my right hon. Friend the Member for Bournemouth East (Mr Ellwood) for convening it and giving us this opportunity At the heart of the review is the need for the UK properly to define its strategic role in the world. What is it that we want to do? In my view, policy follows strategy, so it stands to reason that our global strategy will pave the way for the next generation of integrated foreign, development and defence policy aims to 2030 and beyond. For those in any doubt at all, defence spending is a necessary evil to keep us safe. Today we face a multitude of threats in multiple domains. Some are known to us and some are not, and we are living in an era of constant competition and persistent engagement with our foes, so we need an insurance policy that lies in having some of the most potent military forces in the world—both nuclear and conventional Thanks to the commitment of this Government, with an additional £16.5 billion being pumped into defence over the next four years, the MOD finds itself in the position of being able to think long term with its planning. It provides certainty, security and the confidence to make longer-term decisions. I cannot even begin to scratch the surface of the review in a few minutes, but I want to focus on a number of areas First, we need to better align our foreign policy with our defence policy, so let us clarify that relationship. Cutting overseas aid from 0.7% to 0.5% is not popular, but charity begins at home. I support the decision, albeit with two conditions: that it reverts when we can afford it; and that it comes with a requirement for a comprehensive review of how we spend the money overseas. Let us tighten the relationship between hard and soft power; embed Foreign, Commonwealth and Development Office and MOD advisers within foreign Governments; and make those Governments more accountable for how they spend our money. Let us make better use of military training teams to engage in upstream capacity building, particularly in countries where existential threats continue to hinder progress If we are serious about being a global power, perhaps even east of Suez, our forces need to be truly expeditionary. We must therefore enhance our ability to project force anywhere in the world at unlimited liability and at readiness. Our naval platforms, ro-ro ferries and long-range aircraft, such as the C-17, will need to be augmented We must also never take a risk with the extensive logistic capabilities that we will need to support our combat and combat support arms. The Navy will need more warships, not least to protect our carriers, as quantity does have a quality all of its own. I would also like to see a bigger surface fleet, albeit with less capable platforms, perhaps, but to enhance our global presence. We will also need to invest in our forward operating bases, not just our traditional P jobs in Cyprus, Gibraltar and Ascension, but also further east in Diego Garcia, Bahrain, Singapore and elsewhere. Defence relationships with NATO, the UN, the Five Eyes community, the five power defence arrangements, the EU and through bilateral agreements will also need to be reinforced Lastly, we need a comprehensive defence industrial strategy to support our nascent manufacturing capability. I continue to find it crass that we are investing huge sums in overseas military equipment when we should be protecting jobs and livelihoods at home. We have some of the best manufacturers and integrators on our shores, so let us invest in them by building British, buying British and selling British. I hope that once it is published, the integrated review will be what it needs to be.
