ParlaMint-GB_2021-02-01-commons.u1	What steps his Department is taking to make the most effective use of the defence estate.
ParlaMint-GB_2021-02-01-commons.u248	It is a great pleasure to speak in this important debate. I heard the Health Minister’s contribution. It is very interesting that this is a Home Office Opposition day, but we do not have anyone from the Home Office ministerial team responding to it. I think that is very telling. Just a few days ago, the Home Secretary claimed that she is an advocate of tougher restrictions than those that her own Government introduced in March. I suspect that the reason that there is not a Home Office Minister responding to a shadow Home Office Opposition day debate is that they could not find one willing to speak up for the Government’s policies. The Home Secretary knows that it is her responsibility to protect our borders and keep people safe, and I suspect that she did not want to speak up for the Government’s policies in this area The Health Minister said that the Government need to do everything they can to protect people, but they have failed to do that. Britain has the worst death rate in the world. It has the worst death rate per capita of any major country over the course of the virus. My hon. Friend the Member for Warrington North (Charlotte Nichols) was absolutely right to say that, as an island nation, we should have had a huge advantage over our European counterparts, but it has been wasted by the Government’s policies Going right back to the start, as my right hon. and learned Friend the Member for Holborn and St Pancras (Keir Starmer) has said consistently, the Government have been too slow to lock down and too slow every step of the way. Two weeks before we went into lockdown, we were inviting thousands of football supporters from Madrid to a packed stadium in Liverpool. We had people coming from all kinds of countries that we knew had very serious covid rates, with no checks and balances whatever The Government should not expect anyone to trust them when they say, “We’re taking a proportionate approach. You can believe that things will be okay if you leave it with us,” because every step of the way, things have not been okay when we have left the Government to pursue things as they want. I very much welcome the motion introduced by my hon. Friend the shadow Home Secretary, and I will be supporting it with great enthusiasm.
ParlaMint-GB_2021-02-01-commons.u249	Everyone in this House, I hope, is clear that we have one common aim: to get the virus under control, and in doing so get back to normal as quickly as possible and save as many lives as we can. For every quarter of a million vaccinations, about 1,000 lives are saved. Every day sooner that we get the economy back open saves us about £1 billion, and crucially jobs and businesses will be saved up and down the country We achieve that by doing two things. First, we must vaccinate the people—the most vulnerable first—and drive down the number of deaths and hospitalisations. Secondly, we must control the movement of people and stop the virus spreading. We have done a huge amount in the UK to limit the spread, and I know that many people are very frustrated by some of the restrictions, but there is light at the end of the tunnel. We also have to control the spread from elsewhere. I welcome the measures to ensure that those from red flag countries stay in hotels, but in truth they are just building on what is already in place. For many months, anyone from any country has had to quarantine. Now, given the new variants, it seems sensible that those from the most at-risk countries need to quarantine in hotels. What irks me is the way the Opposition are behaving. The Leader of the Opposition, when in the shadow Cabinet of the right hon. Member for Islington North (Jeremy Corbyn), said at the Dispatch Box: “Why would we want to be outside the European Medicines Agency”?—[Official Report, 31 January 2017; Vol. 620, c. 827.] It was a rhetorical question from a learned Member used to rhetoric in the courtroom. Why indeed? Last year, the shadow Europe Minister, the hon. Member for Hornsey and Wood Green (Catherine West), suggested that opting out of the European vaccine system would be akin to acting like “dumb and dumber”. The Leader of the Opposition posed too clever by half, seemingly unanswerable questions, but now we have a clear answer. Out there in the country they can see why. Britain avoided a bumbling, bureaucratic living nightmare of an EU scheme. Britain’s vaccination rates are four or five times the EU average. Now the Leader of the Opposition pretends he never wanted to be in any EU vaccine scheme, but the public will decide on the facts Today, the shadow Home Secretary comes here to attack the Government, yet he said in a Labour press release on 7 June last year that we must have a “more targeted approach that allows the blunt tool of 14-day quarantine to be lifted” Today, Labour Members have tried to say that it is not hard enough, and that that has always been their position. It is like Labour is trying to conduct a thought experiment with the British people. Schrödinger’s cat has become Starmer’s policy. The British people deserve straight answers at a time of national crisis. That is what they are getting from the Government, and it is a shame that Her Majesty’s Opposition keep flip-flopping all over the place.
ParlaMint-GB_2021-02-01-commons.u250	It has taken over a year for the Government eventually to implement a limited form of quarantine at the borders—a glacial pace of decision making that we can ill afford as the pandemic continues. The recent announcement was yet another half-measure and an all-too-familiar fudge of a thing—half-done, and that badly The evidence, of course, speaks for itself. Countries that locked down comprehensively and promptly have so far had better covid-19 outcomes. The Prime Minister’s “softly, softly” approach prompts the question: whose interest does this Government serve? His alignment with select business interests has distorted public health efforts from the start, from the billions spent on dodgy private procurement contracts to the ill-fated eat out to help out scheme, which helped to raise the tide of the pandemic into the second wave Despite the great effort of the people of the four nations to endure another testing lockdown, the Prime Minister sees fit to allow most travellers to enter the UK without undergoing strict quarantine measures, overruling in the process the wishes of both his Home and Health Secretaries. This policy ignores the risk posed by people arriving from overseas while carrying existing variants from non-high-risk countries, and there is no guarantee that this approach will safeguard against other variants emerging in non-high-risk countries Not only are the new measures weak in their practical application, but they are morally weak as well. It was of course Edmund Burke of the Conservative party who first coined the phrase “geographical morality” to describe the impunity with which the British elite acted abroad in countries under the yoke of the British empire in the 18th century. Under the new broader measures, that concept has been reversed. It is now business leaders and the rich from both home and abroad who can act with relative impunity, free to travel in and out of the UK while the majority of us live on under strict lockdown. The Government cannot shake their commitment to the ideology of hyper-individualism. Whenever possible, they prioritise the liberty of predominantly wealthy individuals above the common good, stubbornly ignoring the truth that covid-19 has laid bare for all to see: the deep interconnectedness of our society and the planet As has been the case since the beginning, these measures are part of a wave of blinkered wishful thinking set once again to come crashing down on the rocks of reality. That reality being that the virus has no interest in notions of individual liberty, and these futile attempts to apply quarantine measures selectively equally mean nothing to the virus. Only strict quarantine for all arrivals and proper support for hospitality and business will see us safely through.
ParlaMint-GB_2021-02-01-commons.u251	The Government must finally act on securing our borders by introducing a comprehensive plan to protect the country against the import of new strains and maximise the effectiveness of the vaccination programme. With that in mind, however, it must not be overlooked that increased border measures come with increased pressure on the aviation industry and staff in the sector Earlier in January, the Home Office imposed a fixed roster on the Heathrow primary control point in what is widely viewed as a rushed implementation that has led to equality concerns, with many staff with disabilities and caring responsibilities unable to work to the new roster. As outlined by my right hon. Friend the Member for Hayes and Harlington (John McDonnell), that led to officers processing passengers at Heathrow passport control points to vote overwhelmingly for strike action over the imposition. Feedback from PCS union members on the primary control point has described the newly introduced fixed roster as a “shambles” and “chaotic”. Additionally, Border Force is currently only spot-checking 10% of all passenger locator forms, which provide the necessary information for quarantine compliance. The Government must ensure that sufficient support and resources are made available so that border staff are able to do their jobs properly Alongside this, the Government must announce a sector-specific support package for aviation. The largest aviation union, Unite, suggests [Inaudible.] already lost their jobs. It is about time that the Government stepped in to put in place a sectoral deal, like they promised, and protect those jobs. The Government must make good on their promises, act fast, and step in where necessary to protect employment and our economy across all sectors. However, this must not be an unconditional bail-out for companies. Tackling climate change needs to be central to this support, both for the aviation sector and for building back greener across our whole economy. I hope everyone across this House will support this motion to ensure a robust plan is in place to protect jobs and set clear commitments to help tackle the climate emergency.
ParlaMint-GB_2021-02-01-commons.u252	It is a pleasure to follow the hon. Member for Jarrow (Kate Osborne). It is a shame that so few Labour MPs applied to participate in their own Opposition day debate: there are only nine on the list, and that is sad. I wonder whether their heart is not really in it The subject of this debate is a matter that affects the constituents of Derbyshire Dales, who have raised it with me on numerous occasions since the commencement of the pandemic. We want proportionate border control: that is essential. The United Kingdom already has some of the strongest measures in the world to prevent new strains of coronavirus from entering the country. At this stage, the restrictions are well balanced and sufficient; they are firm, thought through, and nuanced The Government are focused on protecting the UK’s leading vaccination programme—a programme that we should all be very proud of—and reducing the risk of the new strain of the virus, or any new strain, being transmitted by somebody coming into the UK. That is why the Government announced further action to strengthen these measures. They are also looking at health measures, reducing passenger flow, increased police enforcement, and ensuring that anyone returning from a red-list country completes their quarantine at a designated hotel. This was further improved on 18 January, when all travel corridors within the UK were suspended, meaning that all international arrivals who have departed from, or transited through, any country outside the common travel area in the previous 10 days will be required to self-isolate immediately for 10 days on arrival. This includes British and Irish nationals I am concerned that Labour’s position on borders has swung from one extreme to the other. First, the Opposition criticised the Government for imposing stricter border measures in the summer, then called for quarantine to be ceased, and then claimed that our measures are not strong enough. Once again, Labour is playing politics at a national level—it is good opportunism, but I believe the public see through it, and that they see the flip-flopping on this issue I am concerned by the Opposition’s suggestion that there should be a blanket provision that all arrivals to the United Kingdom should quarantine. Being a lawyer, I look at the words, and this is clearly an ill-thought-through suggestion. There is no mention of exceptions in the wording. There is, of course, a limit on suitable hotels and accommodation, and if the Labour proposal were taken forward, the cost would be very high. Are the Opposition really saying that only those of our citizens who can afford to stay in a hotel can return home? I do not think they have really thought this through. Also, if there are very low-risk countries, are we saying that arrivals from those countries should needlessly spend that time and that money in hotels? There needs to be a sense of proportion The Government have acted swiftly in providing increased support to the genomics industry to help identify new covid variants abroad, for the benefit of mankind as a whole. We are an outward-looking nation—a trading nation—and we are helping the world through this work. It would be inconsistent with this global assistance to impose an unfocused blanket ban, so I will not be agreeing with the motion.
ParlaMint-GB_2021-02-01-commons.u253	Time and again during this pandemic the Government’s incompetence has cost lives. They have been too slow to lockdown, too slow to build an effective test-and-trace system, and too slow to secure our borders. Despite the UK tragically passing the covid death toll of over 100,000 people, the highest in Europe, the Government still have yet to learn the lessons. We must make sure that our borders are secure with a comprehensive hotel quarantine system for all arrivals to the UK. That is why I support the motion The Government have belatedly introduced a partial quarantine system, but that includes only 33 countries. We need a hotel quarantine regime that goes further and covers all countries. The police force is stretched and lacks the capacity to check that travellers are quarantining at home. Since quarantine requirements were introduced on 8 June, only 332 fines have been issued in England to travellers failing to self-isolate. Last November, Sky reported that the police took no action against 1,400 overseas travellers who may have broken quarantine rules. That just goes to show the challenge that the police face in taking enforcement action without a more effective quarantine system We need to learn from other countries on how they have tackled the pandemic and how they have managed to reduce the infection rates and save lives, ranging from Australia and New Zealand to Taiwan, Singapore and Vietnam. Even developing countries have a more effective quarantine system using hotels and other facilities, so the idea that we cannot do this because we do not have the resources is ridiculous and needs to be addressed. As many hon. Members have stated, there are new variants that put the vaccination effort at risk. This month the Health Secretary said: “The new variant I really worry about is the one that is out there that hasn’t been spotted.” Our biggest defence against these new variants is strict border controls through effective hotel quarantine regimes Throughout this crisis, the Government have been one step behind. It is time they took the advice of the chief scientist, who says that the lesson is to go earlier and act fast. It is vital in order to protect the vaccination programme we have set up that we ensure that our borders are secure. We owe a huge debt of gratitude to the scientists, the innovators, the NHS workers and all the volunteers who are vaccinating the population right now. We cannot afford for that work to be undermined by not securing our borders. The Government must act; they should adopt this motion. That is why I support the motion.
ParlaMint-GB_2021-02-01-commons.u254	It is extraordinary to be taking part in an Opposition day debate that is so poorly attended by the official Opposition. This is their opportunity to hold the Government to account on covid security at UK borders, and only nine of their MPs have turned up—nine out of over 50 Back-Bench speakers. I suspect that it is because they know that their leadership does not really have a policy on this issue. In the summer, Labour said that there was too much covid security at the border. In the words of the hon. Member for Oldham West and Royton (Jim McMahon): “Labour—like families and businesses up and down the country—are keen for the government’s quarantine measures to be lessened”. The shadow Home Secretary said that the Government should be “putting in place a more targeted approach that allows the blunt tool of 14-day quarantine to be lifted safely and quickly.” But now there is too little covid security at the border. Far from quarantine being a blunt instrument, more of it is needed. The Opposition are the Goldilocks of border restrictions, swinging between too much and too little, depending on which they believe will generate the most favourable headlines In contrast, this Government have a strong package of covid security measures at the border. We require everyone to present a negative covid test on arrival in the UK. Everyone who travels to the UK must self-isolate for up to 10 days. We have banned flights from the highest-risk areas. British citizens travelling back from these countries will need to self-isolate in a hotel. We are checking the reason for travel at the border. We are increasing enforcement there and increasing physical checks by the police on those self-isolating at home We know that we must act fast to contain new variants, whether they are home grown or from overseas. That is why we saw surge testing rolled out today in areas of the country where the new South African strain has been detected, though I note that none of those found to be infected have travel links to the area. That is why we have thrown the kitchen sink, table, chairs and all the utensils at the UK’s vaccine programme, which is powering on at pace, having to date vaccinated nearly 9 million people There you have it, Madam Deputy Speaker: the Government are working hard to protect their citizens. The Labour party does not know what to do. It does not have a coherent border policy. I know it, the public know it, and even its own MPs know it. That is why so few of them showed up today.
ParlaMint-GB_2021-02-01-commons.u255	Thank you, Madam Deputy Speaker, for the opportunity to take part in this most important debate, as the Minister called it. The Liberal Democrats will support the official Opposition at its conclusion. We agree with the motion, and we welcome the limited steps that the Government have announced, though of course it is, yet again, too little, too late. I would say in passing that there must surely be a limit to the number of times we can hear Government Ministers “welcome this most important debate”—we have had two already today—and then see them decline to put their MPs through the Division Lobbies at the end of it. If it is that important, they should surely take part in the Division at the end It was unfortunate that we did not get to hear from the hon. and learned Member for Edinburgh South West (Joanna Cherry), who was originally on the call list to speak. She has apparently been given the opportunity to spend more time with the national executive committee of her party. Time will tell whether it is an astute move of party management to give her time on her hands, but I am sure that those of us who regularly take part in such debates will miss her contributions from the Front Bench All around the world it is there for anyone who cares to look to see that those who are most successful in tackling the spread of the virus are those who crack down hardest and earliest. Unfortunately, in this country we have a Government that can always be relied on to do the right thing, but only once they have tried everything else. We hear today the news that the South African variant of the virus is now to be found in several United Kingdom communities. It is already too late to keep it out, but it not too late to stem the flow and to mitigate its worst effects The frustration that I have, and that I hear from my constituents time and again, is that the Government are prepared to spend eye-watering sums of money, but then undermine the effectiveness of that by trimming at the edges. If ever there were a case of the ship being spoiled and lost for a ha’p’orth of tar, it is seen in the way in which the Government act. We know—this is the biggest frustration of all—that in a few weeks’ time we will be back here when the Government will do exactly what the Opposition parties are asking them to do today, but by that time we will see the consequences of their misjudgment, which will be measured in lives that have been lost unnecessarily. That, surely, is a tragedy for us all.
ParlaMint-GB_2021-02-01-commons.u256	The failure of the Government to fully secure our borders against covid-19 from the start of the pandemic has undermined the effectiveness of the UK’s public health measures. I support a hotel quarantine system, but it will not be effective in preventing the spread of covid-19 unless it encompasses all arrivals into the UK. The limited quarantine restrictions imposed on travel from only 30 or so countries have come too late and, with 21,000 travellers currently entering the UK every day, are just not sufficient to safeguard the advances being made by the vaccine roll-out We are at a critical point in the vaccination process, and we cannot risk importing covid-19 cases and variants that are resistant to the vaccine While public health must be the priority, alongside greater public health restrictions must come greater economic support for airports. The Australian and New Zealand Governments have backed up aviation shutdowns with thorough aviation-specific support packages, but here in the UK, the Government’s sector support package is half-hearted. Luton airport in my constituency has been hit hard by the pandemic, and the impact is having a cumulative effect on our local and regional economy, as the airport supports more than 10,000 jobs in supply chain businesses As it is owned by Luton Borough Council, significant income from the airport is used to directly fund local services and voluntary organisations. However, Luton airport is only eligible to apply for around £5 million from the recently announced airport and ground operations support scheme, which equates to only 6% of its annual fixed costs—a drop in the ocean. The meagre support offered smacks of a Government who do not fully understand the aviation business cycle and the current precarity of the sector, given the extent of the fixed costs. As the Airport Operators Association states: “With airports effectively closed again by the Government’s travel restrictions, much more significant support is now needed.” Aviation needs Government to commit to extending the business support and job retention schemes, to extending the airport and ground operations support scheme to cover 2022 and to alleviating airports from regulatory and policing charges for 2021-22. To help airports bounce back, there needs to be phased support while commercial activity is rebuilt—support that facilitates the protection of jobs and provides an ideal opportunity to accelerate the transition towards green technology On a final note, with the recent announcement that Public and Commercial Services Union members working for Border Force at Heathrow have voted for industrial action against the imposition of fixed-term rosters, I urge the Transport Secretary to work with the Home Secretary to ensure that the pandemic is not being used as a cover to force through new working arrangements.
ParlaMint-GB_2021-02-01-commons.u257	One of the great pleasures of recent weeks has been to see lines of people queueing up outside in Market Harborough and up in Oadby to get their vaccines against the coronavirus. It has been an inspirational effort, involving everyone from Britain’s amazing scientists to NHS workers—the doctors and nurses who are rolling out the fastest vaccination programme anywhere in Europe. We have now managed to vaccinate more than France, Spain and Italy put together. It is a fantastic effort, where we really are among the world-leaders With that inspirational background in mind, and that success that is bringing us closer every day to getting back to normal—[Inaudible.] Of course there must be support for people in the transport sector who are badly affected by this, and I welcome the fact that somewhere between £2.5 billion and £3 billion of aid has been given to the air transport sector alone, but we are right to tighten the borders to protect the effort we have made on vaccinations It is right that we are bringing in the new 10-day quarantine, with the option to go to five if people—[Inaudible.] I welcome the extra policing—[Inaudible.] I encourage Ministers, in all the different things they are doing, to get things in place and stand ready to go further as appropriate—[Inaudible.] I think that the red list and the hotel quarantine is an excellent idea, and I commend what Ministers are doing there. We are learning from the—[Inaudible.] All have had in common strong health borders, so it is great to see that Ministers will stand ready and will, I am sure, add to that list and tighten that regime further if necessary It is also very good to be bringing in the new requirement that people have to have a negative test within three days of travelling to the UK. Again, let us bring that in —it is an excellent measure—and stand ready to tighten the nut further if necessary. That could perhaps be through, in countries where it is possible, adding a lateral flow test or doing other things to add to the health border Overall, I congratulate Ministers on the decisive steps they are taking. I think it is good to be bringing in these health borders as Britain, now leading the world in vaccinations, tries to get back to normal in a safe way, protecting lives. We have seen today the new South African variant arriving in the UK. That is a warning to us all and shows just why these measures are so desperately needed. I support what Ministers are doing, and I stand ready to support them as they go further and tighten the nut.
ParlaMint-GB_2021-02-01-commons.u258	The covid-19 pandemic has heralded a challenging period for the aviation sector, and the new increased measures announced for the UK border last week will only make this situation more challenging for businesses and jobs in the weeks to come. There is a very clear and pressing need to increase the level of business support for aviation and aerospace companies to help them survive this pandemic. The Scottish Government have provided support to the sector within their available powers. However, the UK Government can and must do a lot more both in helping to strip out the fixed costs for the industry and in allowing the industry to invest and plan for the future My party has been consistent in calling for tough measures to be taken at the UK border in recent months. We now know that UK Ministers are planning to set up a hotel quarantine scheme for people arriving in the UK from 30 red list countries, yet the Home Office has still to provide full detail of the criteria that will be used either to add countries to or to remove them from its list, or of how passengers can be prevented from flying into the UK via a third country to get round the quarantine requirement. This matters. Last May, Sir Patrick Vallance told the Health and Social Care Committee: “One of the things that looks clear is that early in March the UK got many different imports of virus from many different places” All too often throughout the pandemic, the UK Government have been susceptible to magical thinking, taking the path of least resistance only to pay a much heavier price later. With mutations in the virus, there are huge dangers inherent in only partially closing the door, as the UK Government propose. We desperately need to get ahead of this virus with supervised quarantine to allow the vaccination programme to do its job of saving lives. The lesson that we should have learned through this pandemic is that the best way to save lives and to protect jobs is to act early and to act decisively. The SNP has a strong preference in that regard for our having quarantine rules that work right across the UK The Scottish Government cannot unilaterally close the border, but believe that a comprehensive system of supervised quarantine is required. We are acutely aware that any measures taken that are significantly out of line with the rest of the UK might risk displacing travel to other airports, so we very strongly take a four-nations approach. However, we cannot get away from the fact that the UK Government have so far failed to go far enough in closing the door to further infections from overseas, and if the UK Government will not act, then the Scottish Government must. I look forward to hearing tomorrow about the tougher supervised quarantine measures that we judge are necessary to protect public health in Scotland. As so often in the past, where the Scottish Government have led, the UK Government eventually follow. I hope that, in the interests of us all, they are not far behind in doing so.
ParlaMint-GB_2021-02-01-commons.u259	I welcome the news today that the vaccine roll-out to care homes has allegedly been completed. It is a shining light in an otherwise bleak landscape of failures by this Government to get on top of this pandemic, support the NHS, protect livelihoods and save lives. The delay by this Government in implementing effective track, trace and isolate for those travelling to the UK from abroad has left gaping holes in our defences against the virus. These holes risk undermining the progress we have made with our vaccine roll-out. Limiting protective measures to travellers from just a handful of countries undermines the huge sacrifices our communities have made by risking exposing us to potentially vaccine-resistant covid-19 strains as they emerge around the globe. Recent statistics show that about 21,000 people are entering the UK every day, each one risking the introduction and transmission of a dangerous new variant. Under the current policy, by the time new strains emerge, it will already be too late to take action to protect ourselves. This approach has no clear basis in science, and I call on the Government to heed the warnings and expand their quarantine programme to include all travellers from abroad before it is too late I want to take this opportunity to ask the Home Secretary what steps are being taken to resolve the Department’s industrial dispute with Border Force staff at Heathrow airport. They have just voted for strike action, and I would like to state my solidarity with their cause. This action risks further disruption to covid security and protections, and I urge the Home Office to resume negotiations with the PCS to find a resolution to protect our workers and travellers Last month, the National Audit Office found that the £22 billion test and trace scheme had failed to reach enough contacts and that only 40% of tests were returned within 24 hours, which is well below the Government target. The current quarantine checks, which have been outsourced to Sitel, are reaching just 3% of UK arrivals, leaving us effectively completely unprotected and exposed to worrying new strains of covid coming in from overseas. Can the Minister explain exactly what has led to this failure by these companies, what action the Government are taking to penalise those contractors that have not met their responsibilities and what the Government intend to do now to improve these dire statistics? Sitel and Serco have been had millions of pounds out of the public purse The Scientific Advisory Group for Emergencies—SAGE—has warned that our so-called world-beating test and trace system has had only a marginal impact on reducing the spread of the coronavirus. Rather than mobilising existing and effective public health expertise, the Government have chosen to put dogmatic ideology over public health. They have now spent a budget larger than those for our policing and fire services combined, handing out multimillion-pound contracts to big private outsourcing farms that have failed time and again to deliver. We must limit international travel, alongside introducing a support package for the aviation sector focused on employment and environmental protections.
ParlaMint-GB_2021-02-01-commons.u260	We have heard a number of criticisms from the Opposition tonight. In opening, the hon. Member for Torfaen (Nick Thomas-Symonds) said that we had left our country’s doors unlocked. He pointed to the border controls between 1 January and 23 March, when only 273 people were formally quarantined. What he did not say was that, at that time, neither the World Health Organisation nor the chief medical officer or the chief scientific officer were giving any advice to the contrary. In fact, when Professor Whitty appeared before the Health and Social Care Committee on 9 December, he said that he could not have done anything different. He said that the “data streams were incomplete” and that “we did not realise how widespread it was in Europe, because there wasn’t testing in many of the European countries. We knew it was in Italy, but we did not realise how extensive it was in Spain and France for a while. That is an example of lack of information.” So quite what sort of a crystal ball the Opposition think we should have been using has never been made clear When the Government imposed quarantine, the Opposition laid into us again. On 3 June, the shadow Secretary of State for Transport asked the Home Secretary: “Can the Home Secretary explain the evidence she has seen that underpins her decision to introduce a blanket 14-day quarantine”?—[Official Report, 3 June 2020; Vol. 676, c. 878.] Another Opposition Member put it this way to the Home Secretary: “The horse has bolted…She will not be able to screen people at ports, she cannot track them when they leave the airports, she cannot enforce quarantine when people get to their homes…so she will not be protecting anybody.”—[Official Report, 3 June 2020; Vol. 676, c. 876.] Today, when we are taking a targeted approach and enforcing quarantine by placing arrivals from high-risk countries in hotels, we are under attack again. Labour Members say nothing about whether they agree with our policy of requiring all arrivals to produce a negative covid test or our policy of increased police enforcement. They say nothing about what scientific evidence they are relying on to say that we are choosing the wrong strategy At every stage of the pandemic, Labour’s approach has been to look at the Tories and suggest something different. When something goes wrong, it is a Tory failure, and when something goes right, anyone deserves praise but the Tories. To illustrate this, the hon. Member for Torfaen tonight praised the scientists and the many other people responsible for the vaccine programme. Whether the Opposition like it or not, it was Tory decision making, a Tory procurement exercise, a Tory logistical operation and a Tory vaccines Minister that have enabled 9.2 million vaccinations to get into the arms of some of the most vulnerable citizens in this country in a vaccination exercise that has been as moving as it has been magnificent, and this Conservative Government can rightly feel proud of that.
ParlaMint-GB_2021-02-01-commons.u261	I welcome the recent announcements by the Home Secretary to implement additional public health measures at our borders, as recommended to the Government by the all-party parliamentary group on coronavirus, which is chaired by my hon. Friend the Member for Oxford West and Abingdon (Layla Moran), and of which I am a member. However, the Government’s announcement last week was, as we have seen time and again throughout this pandemic, too little, too late. It did not go far enough. The APPG recommends that quarantining at regulated locations should apply to arrivals from all countries, and that testing should be done on arrival at the airport and subsequently. Such measures have proved successful for countries such as Taiwan, South Korea, Australia and New Zealand—just compare their case and death rates with those of the UK. On arrival at the airport, the myriad private options for testing are confusing and the rules are perverse. Just this weekend, I received an email from a Whitton resident who had chosen not to participate in the test to release scheme, because of the prohibitive costs of a private test, and to self-isolate at home for 10 days instead. She was subsequently offered an NHS test as part of a research programme, yet was told that an NHS test delivering a negative result would still require the full 10-day isolation but that exactly the same test provided privately, at great expense, on day five would result in immediate release if negative. I would be grateful if the Minister would comment on whether that policy is based on scientific or medical advice Although the NHS should be praised for making excellent progress with the vaccination programme roll-out, without much firmer controls at our borders it is like having the heating on with the windows open. Today’s announcement is testament to that, and the costs and sacrifices of lockdown are immense, so let us not squander those gains. We will be able to emerge safely from lockdown only with a combination of tougher controls at our borders, a functioning test, trace and isolate system, and vaccination Having a constituency so close to Heathrow, I must make a few remarks on support for the aviation sector, which needs to come with clear environmental conditions. Many of my constituents work in the aviation and travel sectors, and have lost their jobs or been at risk of losing their jobs under draconian fire and rehire schemes, which ought to be outlawed, but which the Government have refused to take action on. The airport and ground operations scheme provides limited welcome relief but does not go far enough and was finally implemented only last week. It is clear that the aviation sector will probably never fully recover, and even then it will take a long time to partially recover. A sector-specific package is needed, with strong green environmental strings attached, alongside a comprehensive programme of retraining and reskilling, and investment in green transport and infrastructure.
ParlaMint-GB_2021-02-01-commons.u262	This issue means a lot to the representatives in Northern Ireland, not simply from the aerospace industry and tourism angle, but because of the very concept of border security. I represent a constituency that has been affected and devastated by the lack of security on the border. Although this is a different battle, the stakes are the same: the preservation of life. Over the weekend, we have seen at first hand the need for this House to regulate our security, safety and access to medication, after the threats of Europe to the supply of vaccines to Northern Ireland. That is not a surprise to me; I have warned in this House before about passing the Northern Ireland protocol, and this is why my colleagues and I voted against it. I am aware that today we must and should focus on health and borders in respect of a different remit, but I could not let a debate that mentioned the UK border take place without crying out for UK parity, and for a redress of the wrongs perpetrated against the UK, and specifically Northern Ireland, by the Northern Ireland protocol. I urge every Member of this House to take responsibility and join us in urging immediate change. When the decision was made to impose UK-wide travel restrictions, I understood and agreed with the rationale, and I joined the queue of MPs frantically contacting the Foreign and Commonwealth Office, as it was known at that time, to get constituents home. I understood the need to provide protection as best as we could so as not to overwhelm the NHS. However, we must also determine restrictions on an individual country basis. It is clear that we must support aviation and aerospace companies now if more strict measures for the border are implemented, which all but close the aviation sector. Airlines will not have the capital to invest in new aircraft, making the road to recovery for the UK aerospace sector harder and longer without Government support. So to help companies plan long-term investment—the Minister referred to this earlier—in the next generation of greener aircraft in the UK, the Government need to present an exit strategy or a road map for the measures at the border limiting overseas travel. We need the Government to back the sector with specific support now or risk the sector falling in the UK We have also been making clear the need for greater co-operation on travel logs from the Republic of Ireland. Although indications have arisen only in the past week that the information will finally be shared, this brings me back to the concerns I have about the traffic flow, which has allowed those with all kinds of variants of covid to cross the border on the Irish side. Although I understand that the Garda Síochána will decide to prosecute those over the border, what has been made abundantly clear is that there is a border that can be enforced when it suits, and safety and the isolation of covid is needed by us all. I ask the Home Office to establish more formalised rules regarding the Irish connections through Shannon and Dublin. If a British person from Newtownards can be questioned for travelling to the mainland for a family funeral, there is a necessity that the same safety measures are in place to stop anyone arriving internationally from Dublin and coming to Northern Ireland I have two requests to make to the Home Office: secure the Northern Ireland border, as it is securing mainland GB; and further, work with other Departments to ensure a thriving aerospace and tourism industry post-pandemic. They are not easy asks, I know, but they are absolutely vital.
ParlaMint-GB_2021-02-01-commons.u263	My constituency is home to Birmingham airport and there is nothing that I would love more than for people to be able to go on holiday, for things to return to normal, and for the airport to be the bustling economic heart of the region that it was before covid. However, that is not the reality that we are in Throughout the pandemic, the health of our country has been at the heart of the Government’s decision making. During the last 12 months, in my view, the Government have taken robust action. I speak of the Government restricting travel from a list of countries in February. In March, the Prime Minister told people to stay at home and to travel only for essential purposes. In May, we experienced further measures, which included a 14-day period of self-isolation for those who travelled back to the UK, passenger locator forms and fines for those who broke the rules. In July, we saw travel corridors introduced, which were kept under constant review. In short, our approach evolved as the scientific data and the global understanding of the pandemic evolved As we continue to move forward towards vaccinating the entire British public, we must take difficult decisions that require tough measures. That is why the latest measures of restrictions were announced, and I support them. It can only be a positive step forward that the police have increased checks to ensure that travellers are complying with self-isolation rules, but the UK continues to refuse entry from a number of countries subject to the travel ban and has introduced of a managed isolation process for those who cannot be refused entry to the UK. This new process, which uses hotels, will require individuals to self-isolate for 10 days. I welcome these new measures, as I believe that they will go a long way to securing the public health of our country As we approach the final days of this pandemic, we must continue to be vigilant against the new strains and rising infection rates. The news of over 9.2 million people having received their first vaccine is extremely encouraging. We simply cannot allow the progress of our world-leading vaccination programme to be hindered. I am sure, however, that Ministers have taken these decisions after much wrangling and it has ultimately been in our national interest. In my view, the Government have taken the right decisions at the right time. Protecting our people and preserving our aviation industry has been paramount, and I will continue to work with the Government as we embark on our path to recovery.
