ParlaMint-GB_2020-05-20-commons.u1	What recent discussions he has had with the Scottish Government on the covid-19 outbreak.
ParlaMint-GB_2020-05-20-commons.u262	Free trade is vital for Britain to have a robust economy, so I welcome the fact that this new Trade Bill gives Britain the opportunity to write a new chapter in our trading history. Free trade provides an environment that encourages fair competition, leading to greater specialisation and increased innovation Over 250,000 UK businesses have tradeable goods and services but do not currently trade internationally. This represents millions of pounds and thousands of jobs that the British economy is missing out on. I have been speaking to Staffordshire County Council and the Department for International Trade to encourage more Stafford-based businesses, both big and small, to explore further exporting opportunities. I welcome this Bill because it sets out a framework for a truly global Britain We are all aware of the devastating impact that coronavirus is having across our communities, from the tragic loss of life to the long-term impact that it is having on our economy and my constituents’ quality of life. I fully support the wide range of measures that the Government have introduced to tackle coronavirus and the unprecedented lengths that the Chancellor has gone to in protecting the economy and supporting people’s jobs In my roundtable with members of the Staffordshire chamber of commerce last week, I was therefore disappointed to hear that jobs across Staffordshire may be at risk. Trade provides a beacon of hope for the future of our economy, and it is imperative that every link in the supply chain is encouraged to grow. Just as coronavirus has demonstrated in such a devastating way how closely we are all connected, it is global co-operation that will be vital to defeating this deadly virus, so we must use the lessons learned from this pandemic to foster more collaboration between nations I welcome the fact that the Government have been working with the World Trade Organisation and the Commonwealth to champion a liberal free trading agenda across the world and to support developing countries in maintaining the benefits of trade for their economies and populations, which is all the more important now that the Commonwealth Heads of Government summit in Kigali, which was scheduled for June—I had planned to attend—has now been postponed If I may focus for a moment on Africa, our two-way trade has enormous value—a total of £35.1 billion of goods and services in 2018, according to the Office for National Statistics—creating sustainable jobs both at home and abroad. I was pleased that our Prime Minister seized this opportunity by hosting the inaugural Africa investment summit in London earlier this year, where he promised to renew our economic partnership with Africa, which contains some of the fastest growing economies in the world Let me explain how trade with Africa directly affects my constituency in the west midlands. Last summer, I visited a Fairtrade co-operative cocoa farm in central Ghana. I saw for myself the jobs that the farm provides, especially for women and the families they support. Not only is it a great Fairtrade initiative, but the beans are used to produce chocolate that is transported throughout the world, including chocolate found in my supermarkets here in Stafford and across the UK. It was concerning to hear that Ghana’s cocoa industry is now facing a $1 billion shortfall in revenue, with devastating consequences for the farmers I met last summer African countries are facing a dual crisis with the impact of coronavirus on their populations and the global economic slowdown, which threatens to undo the hard-fought economic gains of the past 25 years. It is vital that Britain has the opportunity to create its own trade policy that strikes the right balance between encouraging imports of goods that we need and incentivising manufacturing and production on home soil to sell in Britain and export around the world I welcome the fact that the Trade Bill will work hand in hand with a number of other measures, such as the UK global tariff, to usher in a new era of trade. The UK is removing tariffs from goods that it does not produce and that come from developing countries—cotton yarn, for example, is going from 4% to 0%—and at the same time backing British agriculture by applying tariffs on other goods. The Prime Minister has pledged that the UK will be the foremost champion of free trade in the world. I hope that the Trade Bill will boost British goods and ensure that we can encourage others to trade out of poverty.
ParlaMint-GB_2020-05-20-commons.u263	I wish to focus my remarks on what the Bill and the Government’s trade policy means for human rights around the world in terms of our existing obligations and our commitment as a country to stand up against human rights abuses wherever they take place When striking trade deals across the world, many nations use trade to influence human rights policy, yet there is concern that, faced with the need to strike quick deals to demonstrate success in the aftermath of Brexit, the Government will water down human rights protections, particularly when China, India and Russia—all countries with a poor record on human rights—rank within the UK’s top 25 export and import markets China’s deliberate evasion of human rights is well known, with the mass detention, torture and mistreatment of the Uyghur Muslims in particular, along with controls on their daily lives. Russia is also notorious for its weak human rights record, lack of accountability for those in public office and widespread torture and persecution While any abuse of human rights is abhorrent and must be challenged, the Indian Government’s human rights abuses in Indian-occupied Kashmir—well-documented by several human rights organisations, including the United Nations—is particularly important for my constituents in relation to any trade deals with India. As we speak, the region is now almost 10 months into a brutal lockdown that has seen cities, towns and villages placed under what is in effect a siege, with food, water and medicines restricted from entering and civilians restricted from leaving. This lockdown has also seen communications cut on an unprecedented scale, which has prevented any spread of information and left security forces even more unaccountable. With a need for reliable information to restrict the spread of coronavirus, this electronic curfew causes yet more harm Sadly, this experience is nothing new for the sons and daughters of Kashmir. They are routinely subjected to persecution, discrimination and heavy-handed tactics by Indian security forces, with a disproportionate use of force, including the indiscriminate firing of live ammunition and the routine use of pellet guns that have left hundreds of Kashmiris, including children, blind for life. That is to say nothing of the repressive control measures, rapes, tortures and indiscriminate detentions that take place across the region at the hands of the security forces. What is scandalous is that those committing these human rights abuses are immune from prosecution under the Indian Armed Forces (Special Powers) Act, rendering them in effect untouchable, despite their crimes The Indian Government also continue to deny the Kashmiris their right to self-determination, as was mandated by a United Nations Security Council resolution that is now well over 70 years old. There is no prospect any time soon of the vote that will allow them to shape their own destiny, particularly following the illegal decision to revoke articles 370 and 35A. In effect, that decision repeals what little autonomy Kashmir held in its position as a disputed territory at the heart of an unresolved conflict. What the Indian Government are doing in Indian-occupied Kashmir is vile and abhorrent, and it must be called out and challenged We cannot let our desire for trade allow us to ignore this. The Government must not be afraid to put human rights and high standards before trade, especially when it concerns those nations, such as India, with whom we share strong historical, cultural and social ties. In this region in particular, we have both a historical and moral duty, and as is the case with all human rights abuses, it is an international issue, not a domestic one or a bilateral one, that we cannot and must not ignore With time not permitting me to speak longer, let me say in conclusion that while this Bill allows the UK to pursue new trade deals, it must not pursue a new approach on human rights or overturn years of hard work in pursuit of a quick deal that turns a blind eye to human rights abuses, human suffering, the abuse of workers or the watering down of environmental protections. Instead, it must commit to strengthening our human rights commitments and to ensuring that any future trade deal incorporates the highest standards on human rights. At the very least, this means an end to the detention camps in China and to the persecution, discrimination and injustice in Kashmir, with the repeal of the special powers Act and a free, fair and independent plebiscite for Kashmiris to decide their own future, in line with the United Nations resolutions that this House has an absolute duty to uphold.
ParlaMint-GB_2020-05-20-commons.u264	The last speaker from the Back Benches is Fay Jones.
ParlaMint-GB_2020-05-20-commons.u265	Thank you very much, Madam Deputy Speaker. It is an honour to have been called to speak in this debate, and to be called last The Bill before us today is one of continuity, which during these uncertain times will provide reassurance to many of the hard-working rural businesses in my constituency of Brecon and Radnorshire. The Bill builds on two manifesto commitments on which I was elected: to protect the national health service and to protect our farmers from substandard imports. Trade is the cornerstone of our economy, and ensuring that stability is maintained as we leave the transition period is paramount. With our exit from the European Union, there has never been a better time to broaden our horizons and to seek opportunities as an independent trading nation. Constituents have contacted me recently to voice their concerns about the Bill and the fact that the national health service could be vulnerable to privatisation when the UK joins the Government procurement agreement in its own right. I am certain that it will come as great reassurance that the Bill makes it clear that the UK’s GPA coverage does not and will not apply to the procurement of UK healthcare services Every day we are reminded of the overwhelming importance of our national health service and the services that it provides, and I want to take this opportunity to thank all those working on the frontline, particularly in Brecon and Radnorshire. I am glad that no part of the Bill will change the way in which we deliver our healthcare provision in the UK. It is clear that the NHS will remain a public service that is free at the point of use, paid for by taxation and fundamentally working for the benefit of the public Brecon and Radnorshire is home to some of the greatest farmers in the country—arguably some of the best in Europe. This morning I had the pleasure of talking to the young farmers clubs of Brecknock and Radnor—or rather, they did most of the talking. Representing a constituency that revolves around farming, I want to ensure that those young farmers have a bright and prosperous future. Their high-quality produce is more than a tradeable commodity; it is a source of deep pride, to them and to me. Their commitment to the highest standards of animal welfare and food production is very inspiring and should be championed at every opportunity, especially as we deliver on signing new and ambitious trading agreements around the world I firmly welcome the Government’s commitment to ensuring that we will not compromise on our standards when pursuing future trade deals, as that would inevitably lead to a decline in our prized agriculture sector—something that I cannot accept. I wholeheartedly echo the comments of my neighbour and hon. Friend the Member for Montgomeryshire (Craig Williams), who called for greater engagement with the farming community on the Bill. I know that the Minister will give consideration to that. I am grateful that the Secretary of State confirmed yesterday that she is happy to visit one of the seven livestock markets in my constituency, and I look forward to welcoming her as soon as possible With the creation of a new independent body, the trade remedies authority, businesses and producers in the UK can have confidence that as we secure the benefits of global free trade, we can simultaneously provide a safety net for our domestic industries. As our trade remedies are currently maintained by the European Union, it is imperative that the authority has the necessary powers to protect UK producers against unfair trading practices such as unfair subsidies and dumping, and I wholeheartedly support those aims The Bill will ensure that we are able to roll over our current trading arrangements. Now, as an independent nation, we have the chance to reaffirm and expand our agreements. We are limited only by our ambition. Rural mid-Wales needs every opportunity to trade our produce and services around the world. Driving jobs and economic growth through international trade is crucial and a priority of this Government, but I urge Ministers to give rural entrepreneurs as much of a fighting chance as their urban counterparts. Our message is clear: an independent Britain will be open for business, and across Brecon and Radnorshire we are willing and eager to play our part.
ParlaMint-GB_2020-05-20-commons.u266	We now go to Bill Esterson to wind up the debate for the Opposition.
ParlaMint-GB_2020-05-20-commons.u267	Labour believes in free and fair trade. International trade will play a vital role in how we recover from the biggest economic shock since the second world war, but we cannot return to a system of unscrutinised trade deals that open the door to lower living standards and higher carbon emissions. The Bill should provide a framework for trade policy, create a trade remedies regime that works for the whole country and give people the confidence that trade deals will be properly scrutinised by MPs and civil society, but it does very few, if any, of those things International trade agreements have the potential to undermine our public services, favouring foreign multinationals eyeing up our NHS, for example. They can be used to undermine workers’ rights here and abroad, and to damage food safety and animal welfare. They can prevent action to tackle the climate emergency. That is why there is so much concern about the Bill and why the lack of scrutiny envisaged under it is wrong—wrong for the agreements covered by the Bill and wrong because of the precedent it sets for future trade agreements, such as that with the United States. My hon. Friend the Member for Wirral West (Margaret Greenwood) was one of a number of Members who expressed similar concerns. My hon. Friend the Member for Bradford East (Imran Hussain) called for human rights to be strengthened, and not ignored, as part of trade negotiations My hon. Friend the Member for Bristol North West (Darren Jones) gave an excellent analysis of the case for investment in our manufacturing base, which of course requires a trade remedy system that acts in the long-term interest of manufacturers and does not give equivalent importance to temporary consumer gains from unfairly subsidised imports. In fact, the hon. Members for Dudley North (Marco Longhi) and for Stoke-on-Trent Central (Jo Gideon) gave perfect examples of what can go wrong when low prices for consumers are put first, only to see workers in domestic manufacturing lose their jobs The hon. Member for Dundee East (Stewart Hosie) was right when he said that trade agreements are about much more than trade. He also highlighted the lack of engagement with the devolved Administrations My hon. Friend the Member for Brent North (Barry Gardiner) did an excellent job of scrutinising the Bill last time around, as the then shadow Secretary of State. His description today of the weakness of the trade remedies system and what he called the Government’s view of Parliament as “an inconvenience” was again an excellent analysis of all that is wrong with what he called “this disastrous Bill” In last week’s Agriculture Bill, the Government blocked attempts to lock in food standards, and environmental and animal welfare protections. In a framework for international trade, rights and standards should include those proposed last week—not just food safety standards, but standards that do not deliver an unfair advantage from the cheaper production that results from insanitary conditions for livestock and often the use of GM foods to boost yields. The hon. Member for Tiverton and Honiton (Neil Parish) said that he was told last week that those were matters for the Trade Bill—perhaps the Minister will tell us whether that is true On continuity agreements, we told the Government what would happen when they tabled a similar Trade Bill to that in the last Parliament. We said then, and we say again now, that the new agreements need to be properly scrutinised by Parliament, by the devolved nations and by civil society. Twenty of the existing deals remain to be signed. Why? Because the third countries want better deals—deals that need proper scrutiny, the scrutiny so far absent from the 20 deals that have been signed already What is proposed is undemocratic. While we were part of the EU, the European Parliament carried out scrutiny and voted on new trade agreements. That scrutiny process has been deleted with nothing in its place. I hope that the Minister for Trade Policy, the right hon. Member for Chelsea and Fulham (Greg Hands), will take note that his hon. Friend the hon. Member for Huntingdon (Mr Djanogly) quoted promises of a new scrutiny regime made by this Government. He called for more scrutiny, not less My hon. Friend the Member for Preston (Sir Mark Hendrick) made similar comments, and my hon. Friend the Member for Belfast South (Claire Hanna) made the same point in the context of the way in which trade is a reserved matter with the potential to cut across delegated powers in the nations of the UK Labour believes that MPs should have unrestricted access to negotiating texts as they are formulated, with the power to analyse those texts with the technical experts of their choice. As the House of Lords European Union Committee has warned mere “accountability after the fact” for Government negotiators does not represent “a sufficient basis for” meaningful “parliamentary scrutiny”. The devolved Governments, employers and unions should also be fully engaged When the Minister responds in a moment, will he tell me whether he has considered how the proposed parliamentary scrutiny and approval of trade deals in the UK compares with that in Australia, which the Secretary of State in her speech said was a model of free trade? While he is about it, will he tell us about the systems in the United States, in New Zealand and in other similar democracies? Finally, I ask him what the Government have to fear about emulating the level of consultation, evaluation and affirmation of trade deals that we see in those countries.
ParlaMint-GB_2020-05-20-commons.u268	I call the Minister, whom I ask to take no more than seven minutes, please.
ParlaMint-GB_2020-05-20-commons.u269	It is a pleasure to respond to what has proved to be a spirited and well-informed debate. The Bill provides us with the opportunity to come together to shape a piece of legislation that will underpin and enable our country’s prosperity in the years to come up. Members from all significant parties and parts of the UK made valuable and considered contributions this afternoon The House will be aware that I was the Minister responsible for taking the Trade Bill through Committee during the previous Parliament—as alluded to by the hon. Member for Brent North (Barry Gardiner)—in my previous role in the Department for International Trade, so I stress that I am a continuity Minister for a continuity Bill. Nevertheless, my involvement in this latest Bill has been limited until relatively recently, so I pay tribute to my right hon. Friend the Member for Bournemouth West (Conor Burns), who has done great service in engaging in constructive dialogue with colleagues from across the UK, as well as with key Opposition figures in both this Chamber and the other place, to bring the Bill back to Parliament Members have raised a number of important issues; I will try to answer as many of their questions as possible in the short time available. I am happy to write to Members to follow up on any further points, if any Members feel that to be necessary. I will also be holding a virtual “open door” session for all MPs on 4 June, when I can answer any further questions that they may have Before I turn to the issues, let me remind the House of the purpose of the Bill: it will enable the UK to implement our obligations in the trade agreements that we have signed and will sign with countries that already had trade agreements with the EU at the point at which the UK left the EU, on 31 January 2020. It will also enable us to implement our obligations under the WTO agreement on Government procurement, create the Trade Remedies Authority, and enable us to have data-sharing powers to assist in trade Let me respond to some of the individual points made. We welcome the right hon. Member for Islington South and Finsbury (Emily Thornberry) back to the Dispatch Box. Most extraordinarily, she said that the Bill was “not worth the wait”. She should try telling that to UK companies that are already participating in the $1.3 trillion global procurement market as a result of the GPA. She should try saying “not worth the wait” about the £207 billion-worth of UK trade with those countries with which we are signing continuity agreements. She should try telling that to those companies and jobs that depend on a strong trade-defence regime in this country to protect against unfair trading practices. The Bill is well worth the wait The right hon. Lady asked about human rights; none of the 20 agreements signed so far contains any weakening of human rights commitments. There was no termination clause in underlying EU agreements, which is all we are seeking to replicate in the Bill. All the continuity agreements that the UK has signed so far have been laid before Parliament under the Constitutional Reform and Governance Act 2010 process—a process that the right hon. Lady voted for, when she was a Labour Member of Parliament, supporting her Government of the time Let me turn to some of the other points raised. It was fantastic to hear my right hon. Friend the Member for North Somerset (Dr Fox) talking about trade, welcoming the UK global tariff and discussing WTO reform, the rules- based system and his continuing interest in the WTO. My hon. Friend the Member for Huntingdon (Mr Djanogly) asked whether any countries did not want a deal with us; the answer to that is no. I am happy to meet him again, as I did during the progress of the previous Trade Bill, to discuss his other points My hon. Friend the Member for Folkestone and Hythe (Damian Collins) made an important point about the US section 230 and how it is dealt with in the United States-Mexico-Canada agreement. I know he has had repeated assurances from the Secretary of State but, again, I am happy to meet him to discuss these issues. We heard an excellent speech from my hon. Friend the Member for Montgomeryshire (Craig Williams), talking about high-quality produce in rural Wales. It is worth pointing out that, although it is not covered in this Bill, the prospective US free trade agreement is a great opportunity for farmers in his constituency to be able to sell Welsh lamb into the US for the first time, and a great opportunity for Welsh cheese We also heard excellent speeches in support of free and global trade from my hon. Friends the Members for Witney (Robert Courts), for Stafford (Theo Clarke), for North East Derbyshire (Lee Rowley), for Burnley (Antony Higginbotham), for Dudley North (Marco Longhi) and for Truro and Falmouth (Cherilyn Mackrory). We heard from the hon. Member for South Antrim (Paul Girvan), who wants Northern Ireland to benefit from all UK trade deals. That is absolutely clear in the withdrawal agreement and it is one of our commitments. The hon. Member for Belfast South (Claire Hanna) asked how many have already been rolled over. The answer is 20 We heard from two of our brilliant trade envoys. My hon. Friends the Members for Gloucester (Richard Graham) and for Fylde (Mark Menzies) asked about trade with Latin America, CPTPP and ASEAN. Those are all vital. We heard important points from my hon. Friends the Members for Stoke-on-Trent Central (Jo Gideon) and for Brecon and Radnorshire (Fay Jones) about important industries in their constituencies. The hon. Members for Brent North (Barry Gardiner) and for Sefton Central (Bill Esterson) gave continuity speeches for a continuity Bill Finally, this Bill is a pragmatic first step in the Government’s independent trade policy, ensuring stability now while building a bridge to the outward-looking, internationalist, truly global Britain that we envisage for our future. I urge hon. Members to reject the amendment and I commend the Bill to the House.
ParlaMint-GB_2020-05-20-commons.u270	Order. I must now conclude the debate and put the questions in accordance with the order of today. Before I put the question, I confirm that Mr Speaker’s final determination is that remote Divisions will take place on the reasoned amendment and on Second Reading. There is therefore no need for me to collect the voices or for Members present in the Chamber to shout aye or no. I remind the House that the first vote is on the reasoned amendment, in the name of Keir Starmer. The question is that the amendment be made, and it falls to be decided by a remote Division. The Clerk will now initiate the Division on MemberHub.
ParlaMint-GB_2020-05-20-commons.u271	The remote voting period has now finished. I will announce the result of the Division shortly. As the next question is contingent on the outcome of this Division, I will suspend the House for five minutes.
ParlaMint-GB_2020-05-20-commons.u272	I can now announce the result of the remote Division Question, That the amendment be made.
ParlaMint-GB_2020-05-20-commons.u273	We now come to the Question, That the Bill be now read a Second time. The Question falls to be decided by a remote Division. The Clerk will now initiate the Division on MemberHub Question put. The House proceeded to a remote Division.
ParlaMint-GB_2020-05-20-commons.u274	The remote voting period has now finished. I will announce the result of the Division shortly. As the next Question is contingent on the outcome of that Division, I suspend the House for three minutes.
ParlaMint-GB_2020-05-20-commons.u275	I can now announce the result of the remote Division that has just taken place Question, That the Bill be now read a Second time.
ParlaMint-GB_2020-05-20-commons.u276	The announcement was made to the House earlier this afternoon regarding the provisional determination that a remote Division would not take place on the following questions relating to the programme motion and money resolution. That is also the final determination TRADE BILL (PROGRAMME) Motion made, and Question put forthwith (Standing Order No. 83A(7)), That the following provisions shall apply to the Trade Bill: Committal The Bill shall be committed to a Public Bill Committee. Proceedings in Public Bill Committee (2) Proceedings in the Public Bill Committee shall (so far as not previously concluded) be brought to a conclusion on Thursday 25 June 2020 (3) The Public Bill Committee shall have leave to sit twice on the first day on which it meets Proceedings on Consideration and up to and including third Reading (4) Proceedings on Consideration and any proceedings in legislative grand committee shall (so far as not previously concluded) be brought to a conclusion one hour before the moment of interruption on the day on which proceedings on Consideration are commenced (5) Proceedings on Third Reading shall (so far as not previously concluded) be brought to a conclusion at the moment of interruption on that day (6) Standing Order No. 83B (Programming committees) shall not apply to proceedings on Consideration and up to and including Third Reading Other proceedings (7) Any other proceedings on the Bill may be programmed. —(Iain Stewart.) Question agreed to. TRADE BILL (MONEY) Queen’s recommendation signified. Motion made, and Question put forthwith (Standing Order No. 83A(7)), That, for the purposes of any Act resulting from the Trade Bill, it is expedient to authorise the payment out of money provided by Parliament of any expenditure incurred by a Minister of the Crown, government department or other public authority under or by virtue of the Act.—(Iain Stewart.) Question agreed to.
ParlaMint-GB_2020-05-20-commons.u277	We now come to the motion on the membership of the Liaison Committee. Mr Speaker has selected amendment (a) in the name of the right hon. and learned Member for Camberwell and Peckham (Ms Harman). The provisional determination is that a remote Division will take place on the amendment if it is moved. The provisional determination is that a remote Division will not take place on the main motion, as amended or not, as the case may be. I call the Leader of the House, Mr Jacob Rees-Mogg, to move the motion, and I ask that he speak for no more than four minutes.
ParlaMint-GB_2020-05-20-commons.u278	I beg to move, That – (1) With effect for the current Parliament, notwithstanding Standing Order No. 121 (Nomination of select committees), the Members elected by the House or otherwise chosen to be chairs of each of the select committees listed in paragraph (2) shall be a member of the Liaison Committee; (2) The committees to which paragraph (1) applies are: Administration; Backbench Business; Business, Energy and Industrial Strategy; Defence; Digital, Culture, Media and Sport; Education; Environmental Audit; Environment, Food and Rural Affairs; European Scrutiny; European Statutory Instruments; Finance; Foreign Affairs; Future Relationship with the European Union; Health and Social Care; Home Affairs; Housing, Communities and Local Government; Joint Committee on Human Rights (the chair being a Member of this House); International Development; International Trade; Justice; Northern Ireland Affairs; Petitions; Procedure; Privileges (the chair not being the chair of the Committee on Standards); Public Accounts; Public Administration and Constitutional Affairs; Regulatory Reform; Science and Technology; Scottish Affairs; Selection; Standards; Statutory Instruments; Transport; Treasury; Welsh Affairs; Women and Equalities, and Work and Pensions; (3) Sir Bernard Jenkin shall also be a member, and the chair, of the Liaison Committee. I thought you were going to say, “Without hesitation, deviation or repetition,” in honour of the late and much- lamented Nicholas Parsons, Madam Deputy Speaker. I am sure that the whole House will welcome this debate. There has been an unfortunate delay in setting up the Liaison Committee, a situation that I seek to resolve so that the Committee can start its work this Session The House will be aware that this motion was objected to, and that we have since needed to delay bringing the motion back until such time as we could consider it properly, including having the ability to divide on the matter if needed. This motion establishes the Liaison Committee, a long-standing Committee of this House. The Committee brings together the Chairmen of Select Committees to an important forum, which takes evidence from the Prime Minister on matters of public policy and supports the House to scrutinise legislation and other policy proposals. The Government look forward to continuing their constructive working relationship with the Committee, particularly on issues such as pre-legislative scrutiny of Government Bills The motion specifies the membership of the Liaison Committee, and that my hon. Friend the Member for Harwich and North Essex (Sir Bernard Jenkin) should chair the Committee. As he is an experienced and respected former Select Committee Chairman, I would hope that he carries the support of the whole House to take on this role. It is my opinion that my hon. Friend has significant relevant experience in this area, in view of his previous experience chairing the Public Administration and Constitutional Affairs Committee and his long career as a Member of this House. Since his election in 1992, he has never viewed himself as a vassal of the Whips, and I am sure that Ministers who appeared before my hon. Friend in his previous role as a Committee Chairman can attest to his independence and thoroughness in robustly holding the Government to account.
ParlaMint-GB_2020-05-20-commons.u279	Why not have an election for the job?
ParlaMint-GB_2020-05-20-commons.u280	We are having an election; there may be a Division—
ParlaMint-GB_2020-05-20-commons.u281	Order. The right hon. Gentleman will not interrupt.
ParlaMint-GB_2020-05-20-commons.u282	Thank you, Madam Deputy Speaker. I turn to the amendment in the name of the right hon. and learned Member for Camberwell and Peckham (Ms Harman) and others. It seeks to limit the eligibility of those who can chair the Committee to existing Select Committee Chairs. The Government have chosen to put forward a distinguished Member to chair the Liaison Committee. It is for the House to decide—extending the degree of democracy—whether it agrees the Government’s motion and thereby approves my hon. Friend’s appointment. In this way, the motion is the most democratic way of providing a mandate for the Chairman of the Liaison Committee It is worth noting that it has not always been the case that the Committee has elected its own Chairman from among the ranks of Select Committee Chairs. In fact, as recently as 2010, when the right hon. and learned Member for Camberwell and Peckham was Leader of the House, a Member who was not a pre-existing Select Committee Chairman was the Liaison Committee Chairman, in accordance with an earlier, similar motion agreed by the House The Government respect the work of the Select Committees of this House and their independence in holding the Government to account. Today’s motion will allow the Liaison Committee to begin its work. As is right, the House can now decide whether the motion is agreeable, including whether the chairmanship be taken up by my hon. Friend the Member for Harwich and North Essex. I hope we can achieve a resolution today and allow the Liaison Committee to begin its important work in scrutinising the Government and supporting other Committees in this House. I commend this motion to the House.
ParlaMint-GB_2020-05-20-commons.u283	Thank you. We have a very short time left for this debate, so I must ask that every speaker now takes no more than three minutes. I call Valerie Vaz, who is asked to speak for no more than three minutes.
ParlaMint-GB_2020-05-20-commons.u284	I thank the Leader of the House for putting forward the motion. We support the setting up of the Select Committee but we do not support paragraph (3), and I will speak in favour of amendment (a) standing in the name of my right hon. and learned Friend the Member for Camberwell and Peckham (Ms Harman) and others. There are three reasons. First, on composition, “Erskine May” says: “The Liaison Committee…comprises the Chairs of all the principal select committees.” In their helpful book, “How Parliament Works”, Rogers and Walters confirm that on various pages. There are references to the Liaison Committee being made up of the Chairs of all the Select Committees. Page 216 of our Standing Orders, on rules and procedures of the House, states what is in order in the membership of the Select Committee, and it does not mention a spare person. Does the Leader of the House really think that we should abide by all the other rules but not that one That brings me to my second point, which is Standing Order No. 145 on the work of the Liaison Committee, which says that it considers general matters in relation to the work of the Select Committees, chooses the reports on estimates days, and considers other work of Select Committees and how they function. Can the Leader of the House say how a person who is not currently a Chair of a Select Committee can carry out that work Most importantly, being the Chair of a Select Committee carries great responsibilities. There are duties, responsibilities, and most of all, accountability to other members of the Committee. The proposed nominee has none of that. This also says to Chairs of Select Committees: “You were elected by the House but you are not good enough, so the Government will appoint a Chair. Your say does not matter, and, by the way, we will tell you who it is. No one else need apply—the Government have picked their man.” Previously, there has been cross-party support for Chairs of Select Committees. I think that the £16,000, approximately, that is going to be paid to this Chair could be put to better use: perhaps it could go towards hiring an apprentice. The Leader of the House talked about democracy. This is not democracy; it is autocracy. It offends against precedent, it offends against what is the right thing to do, and it offends against everything this House stands for. I support the amendment.
ParlaMint-GB_2020-05-20-commons.u285	The Liaison Committee is the only Committee that directly holds the Prime Minister to account, and accountability is all the more critical during the current crisis. If the House appoints me as Chair this evening, my first priority will be securing a date to take evidence from the Prime Minister as soon as possible—and Parliament is entitled to insist on this The Liaison Committee exists only to support and strengthen the other Committees, particularly when they are the only means of full scrutiny of the Government at this time. Individual Committees can only scrutinise their Departments, but in this crisis I have been giving thought to how the Liaison Committee can strengthen whole-of-Government scrutiny. It is in areas requiring cross-departmental co-operation where failures have been causing most public concern. Policy on care homes spans Health and Local Government. The reopening of schools is Education-led but it must work with the Treasury, Health and Local Government. Quarantining of international travellers is a Transport lead, but working alongside Home Office, Health, Business and the Department for Environment, Food and Rural Affairs. Health is relying on other Departments for the recruiting of trackers and tracers. Most importantly, the strategy for leaving the lockdown covers every Department. Scrutinising cross-cutting programmes is now vital, and the Liaison Committee could take a pivotal and unique role in this I appreciate others’ concerns in this debate, but if the House so decides I will serve as Chair independently and impartially. I am grateful to many in all parts of the House, including my right hon. Friend the Leader of the House, for not doubting me in that. I have no wish except to serve this House and the Committee. Committees require Ministers and officials to be open, to bring out truth and to increase understanding within Government, as well as more widely. This is the only way to promote learning and improvement, and this principle will be my guide.
ParlaMint-GB_2020-05-20-commons.u286	I also wish to support the amendment. It is a fundamental tenet of democratic systems that the legislature should be separate from the Executive. Our role as an elected Chamber should be to make laws and scrutinise how the Government implement them. Our ability to do that depends upon having people who will speak out with independent mind and be prepared to criticise the Government, even when they might be in the same party Our Select Committee system is not perfect, but time and again, Committee reports have held the Government to account and even led to a change in policy. To their credit, these reports have often been fronted by Chairs who belong to the same party as the Government. This process is built upon Committees and their Chairs being appointed by Parliament—by elected Members— rather than by the Government. Put bluntly, if someone owes their position to an appointment by the Government of the day, they will be unlikely to be as forthright in their criticism of that Government. Few people bite the hand that feeds them The Leader of the House’s proposal will fundamentally change the relationship between Parliament and Government. This has nothing to do with the individual concerned, but everything to do with how he is appointed. If this goes through and the Committee is led by a Government placement, it effectively means that they will be marking their own homework Many Parliaments have an Executive—in mainland Europe, it is commonly called a bureau—that can act when Parliament is in recess or otherwise unable to meet. We do not, and I wonder whether our experience of the current emergency should lead us to conclude that we might have been better prepared if we had. Some will feel that the Liaison Committee might fulfil that role, but if anyone hopes that the Committee might act as some sort of interlocutor between Parliament and Government, this proposal will fatally compromise that ambition. A body led by a Government appointee who relies upon not distressing the Government in order to keep that job cannot and will not speak up for a critical or inquisitive Parliament Earlier today, we considered the Government’s proposals to abandon any facility for Members to take part in parliamentary proceedings remotely during the current health emergency. Agreeing to that was a mistake that we will come to regret. Preventing MPs from working from home will reduce, not enhance, their ability to scrutinise the Government. It will effectively disbar and discriminate against those who are sick or vulnerable, and it will force others to choose between representing their constituents or putting their health and the health of others at risk There is a pattern emerging here. It shows a Government trying to mute criticism by procedural means, a Government running scared of accountability, and it is not a good look. This proposal should be rejected and the Liaison Committee should be allowed to get to work and elect a Chair from among its members, all of whom have been elected by and are accountable to this Chamber. To do otherwise—
ParlaMint-GB_2020-05-20-commons.u287	Thank you.
