ParlaMint-GB_2020-09-02-commons.u1	What recent assessment he has made of the strength of the economy in Northern Ireland.
ParlaMint-GB_2020-09-02-commons.u394	I am disappointed that, having come back thinking that we might move on and be able to accommodate more Members within this Chamber, we seem to be where we were in the summer. We are here to lead. We are expecting schools to go back, universities to go back and people to go back to work. With 650 MPs and only 50 allowed in the Chamber, that inevitably restricts the ability of Members to represent their constituents. We live in a difficult time. We also live in a time when Government legislation undermines the civil liberties of many people. We have certain areas of our country in local lockdown, yet those Members of Parliament are restricted in their ability to come to this Chamber because of how we are operating at this moment I am disappointed that the motion, had it come at 7 pm, would have been without debate and for an extension until November. We already see the number of cases reducing and the number of deaths and hospital admissions falling, and yet we will continue with the existing arrangement for several more weeks.
ParlaMint-GB_2020-09-02-commons.u395	I apologise for contributing from the Opposition Benches, but there is no room anywhere else. Does my hon. Friend believe that the measures we are taking are proportionate, given that in the last two weeks of July five times more people died of seasonal flu, outside the season, than of covid-19? When we had Hong Kong flu, it carried off 80,000 people. Did we behave in this ridiculous way?
ParlaMint-GB_2020-09-02-commons.u396	It is interesting that my right hon. Friend is over there, given the ten-minute rule Bill we had today. The key point is that we should be making progress. If the Government wish to continue, as they do, with the current arrangements, they should not go to November. The arrangements should come back to the House on a more regular basis to be debated and tested, because they affect the civil liberties of our constituents. If the House is willing to go along with them, fine, but just to shut debate down until the beginning of November is wrong. I hope that the Leader of the House, who has been a strong defender of the rights of Back Benchers in this House, comes back and tests the opinion of the House more regularly. I have to say that Back Benchers are restless; they do not have the say that they should have.
ParlaMint-GB_2020-09-02-commons.u397	I agree with much of what my hon. Friend says and I think it is very good that we are actually having a debate on this matter. My right hon. Friend the Leader of the House will know that I felt strongly that we needed a debate on this matter, but I hope that he can confirm that, if the Government guidance on social distancing and other matters changes before 3 November, he will give the House an opportunity to consider what changes we could make at that time to the way our sittings proceed, based on that revised Government guidance.
ParlaMint-GB_2020-09-02-commons.u398	My right hon. Friend makes a very good point, but I also make the point that this is the Parliament of the nation, and we should be deciding the guidance for what our citizens have to do, rather than it go through by edict or statutory instrument without proper debate. We need to be debating these issues and we are not doing so. At the moment, I do not think this House is in a position to call itself a proper Parliament. If we are to proceed in this way, the House ought to consider the motion on a more regular basis with a debate, and the Government should on those occasions put forward the reasons why we should stay as we are. As many Members have said, there are many big issues out there that we should consider, and I think that Parliament is going down a cul-de-sac by supporting this motion.
ParlaMint-GB_2020-09-02-commons.u399	I very much agree with my hon. Friend the Member for Poole (Sir Robert Syms), and also with my right hon. Friend the Member for Haltemprice and Howden (Mr Davis), because this motion is over the top. It was only at the end of July that we agreed to extend the arrangements until the end of September. What has happened since the end of July that has caused us now to feel the need to extend them until the beginning of November The motion is consistent with the knee-jerk way in which the Government are dealing with many of our constituents. Take, for example, last Saturday when at 24 hours’ notice the Government introduced an extension to the restrictions on evictions of tenants from 20 September until March of next year. That six-month extension was implemented without any impact assessment and without any notice. Now we are talking about having a much longer period of notice before we introduce changes to the way in which we operate in this House. My right hon. Friend the Member for Haltemprice and Howden made an excellent point in saying that we are on the cusp of being able to have a testing regime of the type that was spoken about by the Secretary of State for Health and Social Care yesterday He said that a 90-minute testing regime would soon be in place. If that is in place in the next two or three weeks, which I very much hope it will be, that would negate completely the purpose of the motion before us I hope that my right hon. Friend the Leader of the House, who is generally a great facilitator of parliamentary and legislative scrutiny, will agree that although the motion is likely to go through this evening there will, notwithstanding what is in the motion, be a review in which the Procedure Committee will be able to express its own opinion, so that we can take into account the emerging evidence and the ability to provide us all with tests. If we were all tested and those tests were pretty accurate, we would be able to set a much better example to those people who are going back to schools, the people we are encouraging to go back to factories, the people we are encouraging to get back on to public transport I will not speak at greater length now because I have a very similar subject on legislative scrutiny for this evening’s Adjournment debate and I would not want to eat into my own time.
ParlaMint-GB_2020-09-02-commons.u400	I am extraordinarily keen that the House should get back to normal operation. Hon. and right hon. Members may remember that when we reduced the hybrid Parliament on 2 June, it was perhaps not the most popular motion I have ever brought forward to this House—that there was at that point considerable reluctance to limit hybridity. But I thought it was fundamentally important that we set the lead for the nation. We have in fact been back at work in this place since the beginning of June, and we have been primarily physical from that point; and I think that has led the way I would encourage hon. and right hon. Members to look at what the motion actually does, rather than what they fear it does. We have the limitation on Members sitting in the Chamber, being physically present, but that is under a motion that says, under “Participation in Proceedings”: “The Speaker…may limit the number of Members present in the Chamber at any one time” That does not set the number at 50; the number is not set in stone. These arrangements—the little cards that replace our prayer cards—are not under Standing Orders; they are at the discretion of Mr Speaker, on the advice of Public Health England. The Commission discussed with Public Health England, the last time they visited us, how we could change that; how, with the change to three and a quarter feet, we could have more people in the Chamber, and the Commission said we could do that, on the advice of Public Health England, if we made our speeches sitting down and wore masks. Now, I must say to this House that my personal opinion is that it would be far worse to allow a few more people in here, and to sit down with masks on our faces to try and orate, in a most ludicrous fashion. My right hon. Friend the Member for Haltemprice and Howden (Mr Davis) is one of the most distinguished orators in this House, and I think he did himself a disservice when he said that his speeches were received now, in this Chamber, as if it were a very quiet Adjournment debate. I think that, with 50 in the Chamber, Members can have an effect on the mood of the House. Yes, it is not the same as that packed and bustling Chamber that we get for the Queen’s Speech and Prime Minister’s questions, but look around: here we are, on a Wednesday afternoon, and the House is not full. There are spare seats, even with social distancing. Many of the people who watch our proceedings know that actually, with a few exceptions, this is broadly as full as the Chamber usually is. It is not that all the 400-odd seats are taken every day; it is that there are a few occasions when the Chamber is full, and those few occasions, I absolutely accept, are less exciting than they normally would be. But it does not mean there is no holding to account. It does not mean there is no representation of our constituents.
ParlaMint-GB_2020-09-02-commons.u401	I am listening to the Leader of the House and of course he is right to talk about this Chamber—this House of Commons—and it is about this House of Commons, but I wonder whether he would address the point raised by the hon. Member for Westminster Hall, otherwise known as the hon. Member for Strangford (Jim Shannon), about Westminster Hall, about the Backbench Business Committee, about the Petitions Committee, about the tapestry of debate in this place. Having been a Minister—a Public Health Minister, who spent most of his life in Westminster Hall answering debates—I know that is what keeps Ministers honest. That is what means that you have to be on top of your brief. Parliament is missing that tapestry, and therefore it is missing scrutiny—and not just on covid. There are many other issues that this place is missing out on because we have hobbled this place, and we are living a lie to the public at the moment. We have never worked harder, but we are not working hard here in SW1.
ParlaMint-GB_2020-09-02-commons.u402	I gave the good news to the House at the last session before the recess that Westminster Hall will be coming back in October, and I believe that private Members’ Bills will be coming forward next week, so we are getting back to the normal pattern. I do not wish to pre-empt my statement tomorrow by indicating thoughts about Backbench Business days, but Members should listen carefully, as there may be good news on that We are back at work in this place. Many of us, I among them, have brought our staff back into the office from 1 September. Mr Speaker has rightly asked that we limit that to two members of staff, and I encourage Members to follow that, but we are back at work in SW1 and the opportunities for holding to account are there. Let me point out that when we brought forward the earlier proposals that we are now renewing, or in the emergency debate afterwards, I took more than two dozen interventions, if my memory serves me right, from Members concerned about what was happening. If that is not scrutinising Ministers at the Dispatch Box, I do not know what is.
ParlaMint-GB_2020-09-02-commons.u403	I am a little surprised that the Leader of the House tried to draw a comparison between the presence of Members in the Chamber when we are having a debate in the later part of the day and the spontaneity of oral Question Time, which has been lost completely. I accept that he has done his best, as have the Speaker and the Deputy Speakers, to get as many people as possible into oral questions, remotely, as well as in person, but spontaneity has gone nevertheless and if a Member is unlucky in a ballot, their voice is silenced.
ParlaMint-GB_2020-09-02-commons.u404	I am very keen that more Members should be present, and I would say that these motions are permissive—they are not compulsory; people do not have to appear remotely. However, it seems sensible to keep the opportunity for remote participation, because some Members may prefer to appear remotely if the area they represent is in a local lockdown. They would not be obliged to, because there is an absolute right to attend Parliament, but they may prefer that in those circumstances, and that ought to be facilitated. It ought to continue until we are confident that there will not be further local lockdowns. That is a reasonable position to have. It may be that the House will think that it should be more tightly drawn, but I do not think that is the consensus of the House at the moment. Members do not have to appear remotely, and I certainly encourage them to be here in person.
ParlaMint-GB_2020-09-02-commons.u405	I do not think for a moment that we should do away with the ability of vulnerable Members to take part remotely, be it through voting or taking part in debate—it is too soon for that. There is no doubt about that. However, I wish to come back to the point about spontaneity and controversy in this House. Everything my right hon. Friend said before, resting on Public Health England and other “august” authorities, depended on ignoring what my hon. Friend the Member for Christchurch (Sir Christopher Chope) and I have said about testing. If this House undertakes proper testing—it is now technically possible to test, in 90 minutes, every Member of the House every day, if need be—this House could return to being what it was before, in short order.
ParlaMint-GB_2020-09-02-commons.u406	The problem with testing is that it tells us only whether someone has this virus; it does not tell us whether someone is in the process of developing it. Therefore, as I understand it—I am not pretending to be the Health Secretary—if someone tests negative in the morning, they may, none the less, have caught it the night before and be positive by the vote at 10 pm. Therefore, much as I wish that what my right hon. Friend was saying were the case, I do not think it is as straightforward as that.
ParlaMint-GB_2020-09-02-commons.u407	rose—
ParlaMint-GB_2020-09-02-commons.u408	I am delighted to give way to my new socialist friend.
ParlaMint-GB_2020-09-02-commons.u409	With the greatest respect, that is an argument against the effectiveness of testing in any form, anywhere. Either we are going to accept the testing regime and live accordingly, or we are completely lost.
ParlaMint-GB_2020-09-02-commons.u410	As I am sure my right hon. Friend is aware, the point of the 14-day quarantine is that after 14 days it is clear that you have not been infected and that a test indicating that you are clear will mean that you are completely clear. However, people who have the illness need to self-isolate for only seven days until the symptoms have cleared up, because after that point they are not infectious. Those two differentials show that the testing regime is worth using and also that it does not show that you haven’t got it until you have got it, if my right hon. Friend follows what I am saying The key points here are not only that we are getting back to work in this House, but that we were already back at work. We led the way. The letters that came into my office about what we were doing in June bear some reading. People did not think we were necessarily wise to be leading the way as we did, but we are back. We are firmly back. We are physically voting, and most business in this House takes place physically rather than virtually. None the less, to protect some vulnerable people, and to consider the situation of the nation as a whole, we have maintained some facilities voluntarily used by Members to allow for remote participation in some of our proceedings, and we are maintaining social distancing within the Chamber, which is in line with Government advice A number of hon. and right hon. Members have asked whether that can be changed before 3 November, and the answer is yes, of course it can. If the advice of PHE changes, Mr Speaker can change the arrangement of the House under this order immediately. There would need to be no delay and no debate. This is a facilitating motion to allow us to keep up with the best recommendations from PHE. I note that my right hon. Friend the Member for Haltemprice and Howden does not have much confidence in that organisation, but I would ask him where else the advice is going to come from. Who are we going to take the advice from? I think we have to take it from the responsible Government body.
ParlaMint-GB_2020-09-02-commons.u411	Would the House authorities and the Leader of the House also look at the question of whether we can optimise the use of the seats we have? Why do we have to keep to the rule that we cannot speak from certain seats, when we are desperately short of seats and want more people to spontaneously join in the debate?
ParlaMint-GB_2020-09-02-commons.u412	My right hon. Friend has a record of making important and valid points in the Chamber, and that one is absolutely spot on. We must of course look at whether we can use those seats. As I look up to the Galleries, I note that according to “Erskine May” it is still possible to speak from the Galleries. It might upset the broadcasters a little, but I am not sure that that is everybody’s concern. If my right hon. Friend went up to the Gallery and sang “Rule, Britannia!”, I wonder whether the broadcasters would find a way of recording and broadcasting it. Perhaps he would like to do that I want to reassure the House that I, perhaps as much as anybody in this Chamber, want to get back to normal. I, as much as anybody in this Chamber, think it is right that we have been leading the way for the nation as a whole, but this motion is not as bad as it seems. It is permissive, not compulsory. It allows discretion, and it will allow the numbers to increase. Yes, it runs till 3 November, but bear in mind that proxy voting will come up for review before the end of this month. This is not the only time we will be able to discuss this and to think about it, but this seems to me to be the right step to be taking this evening Question put and agreed to.
ParlaMint-GB_2020-09-02-commons.u413	I rise to present a petition on behalf of my constituents of the North Ayrshire and Arran constituency and I do so under great advice from huge numbers of them The petition states: The petition of residents of the constituency of North Ayrshire and Arran, Declares that the House of Lords is unrepresentative of and unaccountable to the general UK population, over which it makes decisions and casts votes on important issues; expresses concern at the recent creation of 36 new life peers, increasing the size of the House of Lords to nearly 800 Members, despite the Government’s commitment to reducing the size of the House of Lords; notes that the House of Lords is the largest parliamentary chamber in any democracy; further notes that the House of Lords is one of very few parliamentary bodies in the world with reserved places for members of the clergy— Iran being the only other example— further notes concern over the number of peers that fail to speak in the chamber yet are able to claim expenses, for example in 2016-17 when 115 peers failed to speak even once yet still claimed £1.3 million between them; and further notes concern over the high proportion of members of the House of Lords who were, before their elevation, significant donors to political parties The petitioners therefore request that the House of Commons urges the Government to abolish the House of Lords in the interests of democracy, accountability and transparency And the petitioners remain, etc [P002592]
ParlaMint-GB_2020-09-02-commons.u414	I rise to present this petition on behalf of Terry Holt who owns the Pride gym in Low Moor and other gym and fitness facility owners in my constituency and across Bradford The petition states: The petition of residents of the United Kingdom, Declares that the continued closure of gyms and fitness facilities in Bradford only is having a grave impact on a vast number of businesses and members, creating a desperate situation with consequences beyond what is being appreciated by those in power; notes that businesses in Bradford that are currently closed have received no additional support during the extra four weeks and are closed at their own cost; further declares that, after over four months of closure, any recovery from these closures becomes more unlikely by the day; further notes that gym members are being forced to travel into neighbouring districts causing a counter intuitive effect in social mixing, and in turn increasing the transmission risk; further declares that Bradford is currently facing an obesity, diabetes and mental health crisis which these facilities are at the forefront of fighting; and further declares that the nature of these closures was based on now out-of-date advice, and not on more recent data that is available and shows that the measures gyms are putting in place greatly mitigate any risk to almost zero The petitioners therefore request that the House of Commons urges the Government to allow gyms to reopen in the Bradford district according to COVID-secure guidelines And the petitioners remain, etc [P002593]
ParlaMint-GB_2020-09-02-commons.u415	I shall start with some quotes from my constituents about the Government: “The most inept and incompetent administration in my lifetime.” “Incoherent and indecisive.” “Authoritarian and arrogant.” “Inconsistent and incomprehensible.” “Socialist in all but name.” As these criticisms become increasingly difficult to rebut, it is indeed essential that the Prime Minister gets a grip. The constructive purpose of this debate is to remind the Government that one key tool to enable them to get a grip is to use regulatory impact assessments as part of the policy-making process A regulatory impact assessment is a well-established, internationally acclaimed toolkit for good policy making. It facilitates transparency and public accountability, promotes democratic discussion by enabling potential possible policy options to be evaluated and compared. It prevents the inconsistency that arises from knee-jerk reactions and policies being developed on the hoof It helps to ensure that sudden changes are the exception and are made in response to changes in hard evidence rather than in response to the chorus of a single-issue pressure group—and I think it is probably fair to say that the covid alarmists are the most successful pressure group in British history. If, for the past six months, the Government had been using this toolkit, it would not have been possible for commentators to observe, as one did on Sunday: “Britain has become a paradise for those who like to answer questions with ‘rules is rules’; even when they’re clearly made up on the spot or nonsensical.” Allowing beard and eyebrow trimming for men but not eyebrow treatments for women was but one ridiculous example Most fair-minded observers supported the Government’s initial response to the covid-19 pandemic. The Government had no option but to make their priority ensuring that our hospitals were able to treat all those seriously ill as a result of covid-19. Our NHS was not as well-prepared as it would have been if the recommendations of Exercise Cygnus had been implemented. Cygnus was a brilliant initiative to war-game a serious epidemic of respiratory illness in order to identify where investment was needed to fill the gaps and thereby ensure an effective response. Tragically, Public Health England did not learn the lessons identified and failed to put the recommended preparatory work in place. We, the public, have been denied access to the full results. It remains a mystery to me as to why the Government are so defensive about the whole matter—and have indeed been dodging parliamentary questions that I have put down on the subject.
ParlaMint-GB_2020-09-02-commons.u416	The hon. Gentleman often brings things to the House that are very important, and this is certainly one of them. Does he agree that impact assessments, if produced reliably, can form a critical element of the better regulation agenda? Regulatory impact assessments need to be the right foundation and the right basis to ensure that legislative scrutiny is not just a checklist but is instead an effective mechanism. I think that that is what he was referring to.
ParlaMint-GB_2020-09-02-commons.u417	The hon. Gentleman has given a brilliant summary of my Adjournment thesis. He is saying that this should not be a tick-box exercise but that clear evidence should be presented that can then lead to proper debate and facilitate scrutiny, and that is what this is all about. I hope the Government are still wedded to that, because their better regulation unit has had consultations and is, I think, still taking the line that we need to have proper regulatory impact assessments. The purpose of this debate is to try to get some more assurance from the Government that they are going to apply these principles not just to covid-19 but to other regulatory measures that are, at the moment, being brought in with far too insufficient scrutiny Tomorrow it will be six months since the Department of Health and Social Care policy paper on coronavirus was published. This action plan, as it became, on which the Coronavirus Act 2020 was based, envisaged four phases: contain, delay, research and mitigate. The delay phase was to “slow the spread in this country, if it does take hold, lowering the peak impact and pushing it away from the winter season” Because of the emergency timetable, the legislation had the sketchiest of regulatory impact assessments, without any cost-benefit analysis. But who would have thought that none of the regulations being made under that primary legislation would be properly evaluated before implementation? I certainly hoped that that would happen, but it has not The basic steps in the RIA process should involve consultation and an assessment of the nature and extent of the problems to be addressed. There should be a clear statement of the policy objectives and goals of the regulatory proposal, which should include the enforcement regime and strategy for ensuring compliance. Alternative courses of action should be identified, including any non-regulatory approaches considered as potential solutions to the identified problem. There should also be a clear outline of the benefits and costs expected from the proposal and identified alternatives. The conclusion should not only identify the preferred solution but explain how it is superior to the other alternatives considered. Finally, there should be a monitoring and evaluation framework set out describing how performance will be measured Although the processes I have set out could not be embarked on in the immediate emergency of introducing lockdown, they should surely form an inherent part of the process of easing lockdown, and ensuring consistent and timely relaxations of the regulations. It is the failure to do this that has resulted in sudden and contradictory changes to the regulations This has also led to unacceptable mission creep, which increasingly embodies a gradual shift in objectives. Hon. and right hon. Members will remember that the original objective was to enable the NHS to provide the best care to all the victims of covid-19 who needed it. That clear mission has now widened into a mission to suppress the spread of covid-19 as an end in itself, regardless of the cost. The irony is that, in allowing the original objective to be blurred, the important subsidiary objective of preventing the virus peaking again in the winter is being put in jeopardy. The easing of lockdown has, sadly, become a veritable shambles. While the number of deaths from covid-19 has mercifully plummeted from its April peak, there has not been a corresponding relaxation of the emergency regulations. I shall refer later to the OECD principles of best practice for regulatory policy, but one of the key principles is: “Proposed solutions should be appropriate to the risk posed, and costs identified and minimised.” In the statement he made yesterday to the House, the Secretary of State for Health said that there are now “60 patients in mechanical ventilator beds with coronavirus”.—[Official Report, 1 September 2020; Vol. 679, c. 23.] This compares with 3,300 at the peak of the epidemic, and he then said that the latest quoted number for reported deaths is two in one day. Today, The Sun newspaper has calculated from these figures that the odds of catching covid-19 in England are about 44 in 1 million per day. Economist Tim Harford, who presents what I think is one, if not the only, good programme on the BBC—the statistics programme, “More or Less”—has said: “Covid-19 currently presents a background risk of a one in a million chance of death or lasting harm, every day.” While age, gender, geography, behaviour and other aspects affect the risk, it is now far lower than the risk of death or serious injury in a motor accident. On average, five people continue to be killed each day on our roads, yet I have not yet heard from the Government any proposals to ban people from driving because of the risks associated with so doing One sure way of ensuring consistency would be to impose the discipline of a regulatory impact assessment on each and every continuing restriction, so that the justification for loss of personal liberty could be evaluated against the alleged benefits. It is not too late for this to start, and I hope that the Minister, in responding to this debate, will provide an assurance that the forthcoming six-month review of the legislation will include a full regulatory impact assessment and an evaluation of the performance of the emergency regulations introduced The public would then be able to see the evidence about whether the decisions taken were correct. For example, was closing schools and setting back the education of the covid regeneration a proportionate and necessary measure? Was the postponement of 107,000 weddings across the United Kingdom justified? Could any of the 4,452 weddings which should have taken place last Saturday have been permitted? Why can people sit safely side by side with strangers on an aircraft, but not at a wedding breakfast or in a church, a theatre or a concert hall—or even in this Chamber Why was the World Health Organisation advice, which was originally that there should be 1 metre social distancing, not applied from the outset? We introduced a 2-metre or 6-foot rule, but that has now been modified with the 1 metre-plus rule, but at the same time the additional safeguards required for the 1 metre-plus situation are being applied to the 2-metre situation, which is creating all sorts of problems, conflicts and uncertainties for our constituents Is it protecting the NHS to create a situation where, as was revealed in The Times on 27 August, 15.3 million people are now on the hidden waiting list for treatment? Is it reasonable that we should try to prevent two deaths a day and keep 15.3 million people on waiting lists for treatment, with all the dire consequences that flow from that? Madam Deputy Speaker, I do not know whether you were listening to the Secretary of State for Health when he made his statement yesterday, but in my view his responses on the issue of NHS waiting lists were the weakest and least convincing parts of what he had to say Is the continuing economic cost of lockdown now disproportionate to the benefits? Well, let us have an exercise and see. Let us see the data presented, so that we can have a proper debate about it. I raised the importance of regulatory impact assessments in public policy making with the Leader of the House at business questions on 2 July. It was his response on that occasion which caused me to apply for this Adjournment debate, which I am delighted that we are having this evening. I said that we would be able to achieve much more consistency in Government advice with regulatory impact assessments. The Leader of the House, however, argued that “if we spend too long doing all this, by the time we have done it we have moved on to the next stage of the lockdown.” He accused me of “calling for bureaucratic folderol”, which would inhibit moving “at a pace to ensure that things happen in a timely manner”.—[Official Report, 2 July 2020; Vol. 678, c. 534.] Would that they were. But I must correct the Leader of the House, because, far from being the worthless trifles described in the expression “folderol”, regulatory impact assessments are fundamental to ensuring that we make the right decisions as legislators It is incredible that, instead of lockdown continuing to be relaxed, new restrictions on freedom, such as mandatory face coverings, have been introduced. The consequence is that I detect a growing atmosphere of gloom and foreboding as we see winter approaching: no vaccine availability for many months; the economy in a worse state than most of our competitors; and the prospect of the resurgence of the pandemic coinciding with the flu season. I do not like the expression “waves” because it makes it seem as though we are talking about something equivalent to the Atlantic rollers so much enjoyed by our former Prime Minister and colleague, David Cameron. We are not talking about waves. We are talking about the potential resurgence of the pandemic—not everywhere, but in particular hotspots This scenario demands a rational evaluation of conflicting risks to the economy and public health, together with a cost-benefit analysis, and now is the time for the Government to reinstate the intellectual rigour of the regulatory impact assessment process. Sooner or later, the incredible economic cost of the Government’s failure to remove lockdown restrictions in a timely and effective manner will become apparent. If that coincides with the Government asking their natural supporters to pay the price for their failure through higher taxes, the political consequences will indeed be dire. It is for that reason that I commend to the Government what the OECD says about regulatory impact analysis. It describes it as an “important element of an evidence-based approach to policy-making…that…can underpin the capacity of governments to ensure that regulations are efficient and effective in a changing and complex world.” I will not read from the whole OECD regulatory impact assessment report on best practice principles for regulatory policy, but it extends to about 40 or 50 pages and is extremely well researched and documented. As I understand it—the Minister will correct me if I am wrong—these principles are supported by the Government; the trouble is that they do not seem to be being implemented by the Government and by Government Departments. I hope that in his response the Minister will tell us what he is doing to try and put that right The Government should revert to following their own “better regulation framework” established under the Small Business, Enterprise and Employment Act 2015, which requires that “A RIA should be prepared for all significant regulatory provisions as a standard of good policy making and where an appropriate RIA is expected by parliament and other stakeholders.” The interim guidance issued in March this year sets out a general threshold for independent scrutiny of regulatory impact assessments and post-implementation reviews, where the annual net direct cost to business is greater than £5 million. It calls on Government Departments to undertake proportionate cost-benefit analysis to inform decision making The trouble is that this is not being done, and I will give just one topical example, to which I referred in my brief comments in the previous debate. Under the Coronavirus Act 2020, there was specific primary legislation saying that residential tenancies should be protected from eviction until 20 September this year. On Friday last week—27 August—regulations were made extending that period from 20 September for another six months. The regulations came into force on 28 August, which was last Saturday, the very same day that they were laid before Parliament. Regulation 1(2) says: “These Regulations come into force on the day after the day on which they are laid” Those regulations have caused a storm of protest from residential landlords in my constituency; they are apoplectic about the fact that they are not going to be able to recover possession of their premises. Notwithstanding the contractual agreements they have entered into with their tenants, they are not going to be able to recover their premises until 31 March 2021 It says in the explanatory notes to the regulations that they amend schedule 29 of the 2020 Act. This is primary legislation being amended by subordinate legislation subject only to the negative resolution procedure, and so one might have expected that there would be a regulatory impact assessment or something which would indicate to us, on behalf of our constituents, that the Government have thought this whole process through, but that is not there, and instead there is a little note which says: “A full impact assessment has not been produced for this instrument due to the temporary nature of the provision.”
ParlaMint-GB_2020-09-02-commons.u418	I thank my good friend for allowing me to intervene. In my constituency I have a huge backlash from residential landlords about this extension. I find it almost impossible to believe that the Department has not done an assessment of this, and I make the assumption—perhaps my hon. Friend or the Minister will correct me—that an assessment was done. I cannot believe that civil servants and decent Ministers would have made such a decision without actually looking at it, as this is a really bad thing for people who are trying to provide accommodation, because they see no good in this whatsoever; in fact it is extremely bad.
ParlaMint-GB_2020-09-02-commons.u419	I agree with my hon. Friend. One would have expected that an assessment was carried out—we will hear from the Minister in a minute whether there was—but what was so extraordinary is that it was only a week or two before the U-turn of last week that we were being assured by Ministers that there was no proposal to extend the application time for these regulations. I imagine that when Ministers were briefing that, they had not done any work suggesting that they wanted to extend the regulations, and then, at the last minute—perhaps as a result of the pressure group behaviours to which I referred—the Government just changed their mind. They had imposed this regulation at enormous cost, but we do not know what cost, because there is no estimate of that.
ParlaMint-GB_2020-09-02-commons.u420	It makes us look like clowns.
ParlaMint-GB_2020-09-02-commons.u421	I hope that that is on the record—it makes us look like clowns. That is why I hope that we can persuade the Government to reform their ways. It is also extraordinary that the excuse should be put forward that this is a temporary arrangement and that is why there is no need for a regulatory impact assessment. That is not set out anywhere in any of the books on this, and it is a novel interpretation of what should be happening Switching away from the regulations directly related to coronavirus, I have received support for raising this issue from the Internet Association, which is the only trade association that exclusively represents leading global internet companies on matters of public policy. The organisation responded to the Government’s invitation when they went out to consultation in June inquiring about the reforming regulation initiative. It said, “Regulation in the digital sector has a wide range of potential impacts which extend beyond traditional economic impact analysis. As a matter of course, the Internet Association recommends that Government Departments and regulators undertake a wider impact assessment of their proposals covering not only the economic impact, but also issues such as technological feasibility and impacts on freedom of expression and privacy.” It goes on to say that “there have been a number of recent policy and regulatory initiatives in the digital sector where it has not been clear whether an impact assessment has been conducted and/or the impact assessment has not been published for external scrutiny.” It gives an example of the Department for Digital, Culture, Media and Sport/Home Office online harms White Paper. The Internet Association believes that wider regulatory impact assessments, as specified, should be required for major digital policy and regulatory initiatives. Therefore, this extends into that field also, as it does to all legislative and Government policy making—or it should do—and I hope that we will be able to get ourselves back on track The interim guidance to which I refer, which was published in March this year, referred to the Government considering how best the better regulation framework can be delivered “more effectively over the course of this Parliament”. Now is the time, surely, to take some action. As their first step, the Government should promise that the six-monthly review of the Coronavirus Act 2020 will be accompanied by a full post-implementation review and that a full cost-benefit analysis of those emergency regulations that it recommends should be kept in place. I hope that the Minister will announce that he is going to do that tonight and thereby help to restore public confidence in the Government’s decision making and the ability of Parliament to scrutinise it, because that is fundamental. I am grateful for the opportunity to put this point to the House.
ParlaMint-GB_2020-09-02-commons.u422	I am grateful to my hon. Friend the Member for Christchurch (Sir Christopher Chope) for bringing this important issue to the House. Parliamentary debate and the exchange of views reflect the importance of parliamentary scrutiny When a policy decision is made, it is informed by an assessment of the potential impacts of a range of different policy options. The evidence and analysis informing these decisions will inform consultation and engagement with stakeholders, and for legislative proposals, it is usually presented to Parliament in a regulatory impact assessment alongside the legislation. In the UK, regulatory impact assessments present the outcomes of evidence-based processes and procedures that assess the economic, social and environmental effects of public policy on businesses and wider society. Their use has contributed to better policy making and reduced the cost to business, which is so important Our commitment to conducting such impact assessments remains strong. The analysis that goes into impact assessments ensures that Government consider the need for and likely impact of new regulations to support legislative change. They ensure that we consider how regulation will affect the operation of markets and best enable businesses to innovate, and, in line with the subject of this debate, they inform parliamentary decision making Where Government intervention requires a legislative or policy change to be made, Departments are expected to analyse and assess the impact of the change on the different groups affected. That is generally published in the form of a regulatory impact assessment. However, attempts to conduct regulatory impact assessments for public policy making, particularly in the current climate of the coronavirus pandemic, could be problematic. That is because responding to emergencies requires legislation to be introduced at a much greater pace than during normal times The Coronavirus Bill, introduced in March this year, provided powers needed to respond to the coronavirus pandemic. The powers enabled the Government to introduce temporary emergency legislation to respond to the pandemic. To allow the Government to deliver at the required pace, formal regulatory impact assessments are not required for better regulation purposes for the temporary measures put in place in response to the pandemic. Further flexibility in the approach to impact assessments is appropriate where permanent measures need to be enforced urgently. My hon. Friend mentioned some specific examples where we have assessed the impact in a different way. He is right to talk about the importance of regulatory impact assessments. Some of the guidelines that he mentioned fall within my area. The specific residential landlord and tenant issue that he mentioned falls to my colleagues in the Ministry of Housing, Communities and Local Government, but in terms of the commercial Landlord and Tenant Act 1954 changes, we found from listening and speaking to businesses over a period that some companies that were struggling to pay their rent were being wound up by some landlords, so we acted This is on the basis of detailed, long-standing conversation and engagement with businesses on both sides of the debate. In my short time as a Minister, I have had around 500 meetings with, I estimate, 3,000 to 4,000 businesses, so I think I have a reasonable handle on retail, hospitality, weddings and the beauticians who do eyebrows and beard trimming that my hon. Friend mentioned. It is a source of great regret that we are unable to allow wedding celebrations of more than 30 people to occur at the moment. I have seen at first hand and heard from people in the wedding sector, which is an enormous contributor to the UK economy, how badly they are suffering as a result.
