ParlaMint-GB_2020-12-08-commons.u1	What steps his Department is taking to increase prison capacity.
ParlaMint-GB_2020-12-08-commons.u404	This debate has been far more entertaining than I imagined it would be at the start. We have seen some real squirming on the Government Benches, particularly from the Minister and some unsettled Members who have steadfastly supported Brexit for quite some time. One of the best pieces of gymnastics I have heard today has been from the Government Bench: it has to be the rejection of the idea of the Prime Minister’s oven-ready deal. It reminded me of William Hughes Mearns, who said—well, he didn’t; I am reimagining—“Yesterday upon the table, they had a deal that wasn’t there. It wasn’t there again today. Oh, how they wish that deal would go away.” The Minister said at the start of the debate that he was not even briefed on his own Government’s announcement; he did not know the news coming through that affected what we are debating.
ParlaMint-GB_2020-12-08-commons.u405	As you will be aware, Madam Deputy Speaker, I said no such thing. In fact, I responded and outlined the relevance of the statement to the speech and the debate. What I said was that I had no privileged access, since I am not myself a member of the committee that discussed this item, but that the Minister concerned would be coming to the Chamber to discuss it tomorrow.
ParlaMint-GB_2020-12-08-commons.u406	Hansard will confirm whether or not he said he was not sighted on the Government’s announcement this afternoon. Even if we take him at his word, he comes here woefully ill prepared to tell us what might be in the Bill; he can tell us some things that will not be in there because of that announcement this afternoon, but he cannot tell us what will be in there. We are none the wiser as to what might be in the detail, which my hon. Friend the Member for Glasgow Central (Alison Thewliss) so forensically went through earlier. He could have given a lot more detail on the issues that will be affected. We just do not know what is going to come forward. It is not clear. It is good to know that the lawbreaking clauses that might have been contained in the United Kingdom Internal Market Bill will no longer be contained in this Bill. Of course, they should never have been in this Bill or the internal market Bill. While we welcome their going, that situation should never have occurred in the first place The Minister talked about giving confidence and certainty and meeting the commitments to the people of Northern Ireland, but there are still serious issues for the supply chain. It is a dry term, “the supply chain”, but it has direct effects on people’s lives. It means goods, food and essentials being available to people’s families and, of course, to sustain businesses. My hon. Friend the Member for Kilmarnock and Loudoun (Alan Brown) talked earlier about the evidence given to his Committee about systems that were simply not in place. The Minister cannot claim that access will be unfettered in those circumstances, because even with a low deal, there is a clear probability of critical shortages and delays. People’s lives will be affected, in some cases severely, amid what is, let us not forget, a global pandemic The Northern Ireland Retail Consortium has naturally welcomed the news today, but it points out that there are still major problems ahead, as is the case in Scotland. It has published new research from its Brexit working group showing that the majority of businesses could not and will not be prepared in time. They include food producers such as those in the Northern Ireland meat industry We have also heard from the Road Haulage Association. It has to be said—a former Transport Minister, the hon. Member for Harrogate and Knaresborough (Andrew Jones), is sitting across from me just now—that the association has been raising concerns about this, year after year. It has known what is coming in logistical challenges. Even with a deal there will be delays, and delays mean shortages, so spare a thought for the Road Haulage Association. It should have been central to the Government’s planning. Its members are the experts on logistics; they are the people who know on a day-to-day basis what needs to be done, yet they have been ignored by this Government pretty much all the way through, save for some platitudes and some “There, there, things will be okay” comments. Those people should have been at the heart of these preparations It is rare for me to agree with anything that the hon. Member for Stone (Sir William Cash) has to say, but I have to agree with him that what we are being asked to debate today is impossibly vague. As far as I can see, the Ways and Means resolution in its present form, even after the Government’s announcement today, still contradicts the withdrawal agreement. So unless the Minister can clarify that that is not the case, we will have to assume that it is still the case at hand. Northern Ireland, like Scotland, never voted for this Brexit shambles, yet families and businesses there will both feel the effect The Minister said earlier that it was inappropriate to say that the Tories had sold devolution down the river. Well, apart from being tellingly sensitive, he has obviously also not been sighted on the United Kingdom Internal Market Bill clauses that still remain. People in Scotland are not daft. They see what this Government are doing. They see what is going on, and that is why, soon, they will choose to take their own place in their own future with an independent nation.
ParlaMint-GB_2020-12-08-commons.u407	It is a pleasure to speak in this debate today. I have been listening to the debate from the start with some interest, and there have certainly been some vigorous contributions. I must say that I was presented with some hope by my hon. Friend the Member for Harrogate and Knaresborough (Andrew Jones) when he spoke to the actual motions. I was nearly aghast, because for me this debate has felt a bit like groundhog day, to be honest. Twelve months ago, like all of us in this House, I was out there pounding the streets in my constituency, 70% of which had voted to leave the European Union. There had been a Labour MP there for some 90 years. I was there as grown men were breaking down and crying on their doorsteps because everything they believed in had been completely betrayed and abandoned. They had been told that they did not understand what they had voted for, that they had no comprehension of the impact of what they had done, and that as a result, they did not really deserve to have their voices heard. That is why I am here today; it is because of how they felt I will now get to the core of the motions. Hon. and right hon. Members have talked in much depth, and I want to talk about the VAT implications, particularly for my retailers, and about motion 4 on the Order Paper. My hon. Friend the Member for Harrogate and Knaresborough made a very detailed interrogation of these regulations, and he was right. This is about ensuring that our high streets, our domestic retailers, can have a balanced playing field as we move forward These regulations are needed either way, because we have to accept the fact that we have left the EU and that on 1 January we will have a new relationship, whatever that looks like. My constituents, leave or remain, want a deal. They want to ensure that this is done. There is no denial about that. We want to get this done in the right way. We want that consistency; we want to ensure that traders can carry on. I represent an area that has a significant manufacturing and advanced engineering base. We want to be sure that our manufacturers and engineers can still have access to those markets, that it can be done in the right way and that they know where they are and where they stand I completely stand with the Government in their commitment to ensuring that we get there, but, as right hon. and hon. Members have said, it is a historical fact, which we know from previous negotiations such as these, that they go to the eleventh hour, and political bluster and back and forth often characterises them. I am absolutely behind the Government in their attempts to ensure that we get that deal, because my manufacturers and my businesses need it Coming back to the point on VAT, which has been raised consistently throughout this debate, we have seen the impact of the covid-19 pandemic, and let us just for a moment remember what we are talking about with these motions. We are talking about real people. We are talking about their livelihoods. We are talking about how they provide for their families It might seem quite abstract when we talk about ways and means resolutions and what they mean, because at their heart is the technical and administrative way in which revenue is raised. They are very technical motions, and I do not think they are going to garner a wide audience at five minutes past 5 in the afternoon—although we never know; some of the speeches today have certainly garnered some interest. However, at the core, this is about those individuals we are here to represent, about those families, and about ensuring that businesses, particularly on our high streets—as right hon. and hon. Members who have spoken to these motions have stated—are able to carry on. As we come through this period into next year, it will be vital to ensure that we can have communities that thrive again and that we get beyond this. The fact is that life is going to move on. We are going to have to go into 2021 and carry on with our lives. We will have to move forward, whatever our nation looks like; I appreciate there are divergent views across the House on how that will look in one way or another, but we must ensure that we can function, that our constituents can carry on with their lives and that business can carry on, and that is what these motions are about. At their heart is the practicality of ensuring that we can raise revenue, that we can follow through those taxes and that our VAT system works To pick up a point that my right hon. Friend the Member for Wokingham (John Redwood) made, we have real potential now, with our VAT freedoms coming back to us, to do some really innovative things. A prime example would be zero VAT on sanitary products; that has been a huge campaign, and I pay tribute to the people involved in it. That is something that we can ensure carries on. Equally, on digital books and services, we can ensure that, in areas such as mine with some of the highest levels of child deprivation, we close the digital gap and ensure that educational opportunities are there People might think that these things are minutiae and that they are abstract compared with everyday life, but they are not. They are at its core. We do not hear about them and we do not talk about them often, but they are there and they have an impact on every single one of our communities, from Princes End in my constituency to Aberdeen, Broadland, Harrogate—even Doncaster, Madam Deputy Speaker. They have an impact on everyone We talk about the importance of these resolutions and why we must get them through, and that is about ensuring that ultimately, as we move forward, we can operate a tax system that is efficient and that can carry on and that, as we look forward to 2021, as life goes on beyond these debates that have plagued us now for four and a half years and as we finally respect the decision that was taken by 70% of my constituents in 2016, we can do so in an efficient way that works for everyone. I will be supporting these resolutions today, and I commend my right hon. Friend the Minister for bringing them forward.
ParlaMint-GB_2020-12-08-commons.u408	I add my comments to those of my hon. Friend the Member for West Bromwich West (Shaun Bailey), with his optimistic tone. I, too, am optimistic about the future; despite the fact that I have never looked at Brexit through rose-tinted spectacles, I have never argued that this country cannot succeed economically outside the European Union. I welcome some of the measures in this proposed Bill, particularly on creating a fairer and more level playing field for our small and medium-sized enterprises—I draw the House’s attention to my entry in the Register of Members’ Financial Interests Before talking about that, however, I would like to talk about the national interest. I think it was Churchill who said that in our parliamentary duties we should put country first, constituency second and party third, yet all I have heard from the Opposition and the SNP today is putting their party interests first.
ParlaMint-GB_2020-12-08-commons.u409	What the hon. Gentleman is missing is that we have a different definition of nation, and our interpretation of Scotland’s national interest is quite different from the UK’s national interest that he sees.
ParlaMint-GB_2020-12-08-commons.u410	I have heard quite a lot the argument that Scotland did not vote to leave the European Union, but that is not how the votes were added up. This was a national, United Kingdom vote. Those were the terms of the referendum, which were voted for in this House. That is how the entire nation voted, and we are leaving the European Union. Some of us will be less happy about that than others, but nevertheless, that is what we are instructed to do and what we should do For the Opposition, the hon. Member for Houghton and Sunderland South (Bridget Phillipson) said time and again that the Government were irresponsible in these negotiations. Can I just remind her that there are two sides to this negotiation? There are two sides, and I would ask which side she is on, because she is not representing the national interests in the way she is discussing these matters and blaming the Government for being in this position at this stage. Of course—and I am in business today—every business in this land would have liked the situation to be done and dusted last June, as we had hoped. However, there are two sides to this negotiation, and it has to be said that the European Union has been difficult in these negotiations If the hon. Lady does not believe my words about that, she should listen to one of the most reliable commentators on her Benches, the right hon. Member for Leeds Central (Hilary Benn), in his speech on 14 September. He was talking about the United Kingdom Internal Market Bill, and he said that “I have to say that I have some sympathy with the Government’s argument: exit summary declarations should not be required for goods moving from Northern Ireland to GB. When Wrightbus sells one of its wonderful buses to a transport operator in the UK, why is the form needed and what is the EU going to do with the form?” On goods at risk, he said that “surely it is possible to reach a pragmatic solution, because a lorry load of goods destined for a supermarket in Belfast can hardly be described as being at risk of entering the European Union.”—[Official Report, 14 September 2020; Vol. 680, c. 64.] Yet those are some of the matters that the European Union was negotiating on or on which it was trying to negotiate hardball I ask again: who does the hon. Lady think, and who does the hon. Member for Glasgow Central (Alison Thewliss) for the SNP think, is being difficult in this negotiation? Is it purely the United Kingdom? Of course it is not. Why are there no words of criticism for the European Union’s position and for leaving it this late before agreeing what should be a simple trade deal to arrange and negotiate? It has negotiated similar trade deals with many other countries around the world, and we start from a similar position with our regulations and customs duties.
ParlaMint-GB_2020-12-08-commons.u411	Identical.
ParlaMint-GB_2020-12-08-commons.u412	From an identical position. This should have been an easy trade negotiation, but of course it is not, for the reasons that we know. Of course, there is politics behind this negotiation, and the politics in this place should be united on one side, in the UK’s national interests, but they are not. Too often, Opposition Members have represented the European Union’s negotiating position in these negotiations.
ParlaMint-GB_2020-12-08-commons.u413	Of course, it was the United Kingdom Government who were threatening to break international law. Does he have any similar examples from the European Union, or is it simply a one-way street as far as he is concerned?
ParlaMint-GB_2020-12-08-commons.u414	The hon. Member makes a fair point, but I would point him back to the political declaration, which sat alongside the withdrawal agreement, within which there were clear commitments from the European Union to agree an ambitious free trade agreement. He must accept, as commentators on that side of the fence—on the Opposition Benches—have also said, that it is clear the European Union has been difficult in these negotiations, and more difficult than perhaps many had anticipated. It is clearly in the European Union’s interests and their constituents’ interests to agree a free trade deal without this kind of last-minute drama.
ParlaMint-GB_2020-12-08-commons.u415	On that point, I am sure my hon. Friend will, like me, have seen in the press German car manufacturers begging the German Government and saying, “We’ve got to get this done. The European Union has got to get it done.” Equally, French fishermen have been doing the same with President Macron. Surely our European cousins and partners get this—that it is a bilateral thing that the European Union needs to do—but why do the Opposition seem not to get that? Perhaps he could enlighten me.
ParlaMint-GB_2020-12-08-commons.u416	Of course, the European Union is negotiating in its interests and is obviously trying to protect its interests in that negotiation, but one thing the European Union has done much better than we have on this side of the channel is negotiate with one voice. In this place, we have not—we absolutely have not—and that has undermined the UK’s negotiating position. If the Opposition think that the European Union does not hear what this place says, that is clearly a naive position. If the Opposition think that the European Union does not hear what this place says, that is clearly a naive position. I would argue, at this very late stage, that we work together, cross-party, to try to bring about a situation where we can get the free trade agreement that we all know is possible and can be delivered within the timescale we have left.
ParlaMint-GB_2020-12-08-commons.u417	The hon. Gentleman is making an interesting point about working cross-party. We entered into this in the spirit of cross-party working. The Scottish Government put forward constructive proposals on cross-party working that the UK Government rejected. For a long time during this process, it has been his own party that has been undermining his Government’s negotiating position. Does he not accept that that has been part of the problem?
ParlaMint-GB_2020-12-08-commons.u418	No, I do not. The UK Government have to take a number of matters into consideration. They have a collective position. Clearly, we cannot always get exactly what we want in terms of negotiation. My point is that we could have done better in these negotiations and there could have been less drama around them. The fact that these negotiations are concluding so close to the deadline for businesses has been brought about partly because of the divided nature of this Parliament. The hon. Lady and the Opposition should take responsibility for that position. My point about a fair and level playing field is about the fact that many of our small businesses in the UK compete with online platforms—online marketplaces, as they are called—such as Amazon and eBay. How can it be right that for so long many of those small businesses have been competing at a 20% disadvantage? Many retailers selling into the UK are not paying VAT on those sales. I am pleased that the Government have acted on this and closed the loophole. They have closed a number of loopholes in recent years through measures such as the digital services tax and the diverted profits tax. This creates the fairer and more level playing field for the rest that I very much welcome. There is one more loophole that we could close, not in this legislation, but in the Financial Services Bill, which is going through Parliament at the same time Country-by-country reporting would also have a profound effect in closing loopholes that some companies are using to divert profits out of this country.
ParlaMint-GB_2020-12-08-commons.u419	The Government are making an important point in this Bill in starting to look at online retailers facilitating the sale and that is making a difference, particularly with international trade. Does my hon. Friend agree that this should be expanded beyond just VAT into things like the extent of producer responsibility and other aspects of international trade?
ParlaMint-GB_2020-12-08-commons.u420	Yes, I do. We all know that the best way of driving down prices and driving service for our consumers—our citizens—is through a free, competitive marketplace. Our job, wherever we can, is to let that marketplace do its work. Our job is also to make sure that it sits on a fair and level playing field. My hon. Friend, in talking about regulation for some of the retailers—some of the UK businesses but not businesses abroad—makes a very sound point that the Government should consider Going back to country-by-country reporting, let me give an example. Google’s turnover in the UK is about £10 billion. We can work that out by extrapolating certain figures from a couple of years ago. Internationally, it declared a 22% profit margin, which means a £2.2 billion profit in the UK. Based on corporation tax at 19%, it should pay £420 million in tax on that. Last year it actually paid £67 million in tax. That cannot be a fair and level playing field for other UK retailers or other UK companies that compete against Google, particularly in terms of advertising space—many of our regional papers, for example. I would like the Government to bring forward legislation, in some vehicle or other, to tackle that issue I am very pleased that this loophole is being closed and I very much commend the principles and the outline of the legislation that we will see tomorrow.
ParlaMint-GB_2020-12-08-commons.u421	It is extraordinary that we have not yet had sight of the Bill and that all we have is a single sheet of A4, just 23 days until the end of the transition period. The Minister did not offer much this afternoon other than to merely say he regarded Opposition amendment (a) as unnecessary. I regret that our trust in the Government’s promises and assurances has run rather thin this autumn. In the absence of the publication of formal texts, I have not been persuaded by the Minister’s arguments this afternoon.
ParlaMint-GB_2020-12-08-commons.u422	This has been a very wide-ranging and interesting debate, and we have heard some diverse voices. I was particularly interested, as I am sure the House was, to see the knights of Maastricht swinging a leg as they get into the saddle once more and go into battle—always an interesting sight. I thank the hon. Member for Houghton and Sunderland South (Bridget Phillipson) and my hon. Friend the Member for Thirsk and Malton (Kevin Hollinrake) for reminding us that this is a complex and difficult process. It is not straightforward to negotiate with another party at the same time as seeking to make legislation, and we recognise that I want to quickly pick up on a couple of the points that arose in the debate. I rather differ from my hon. Friend the Member for Stone (Sir William Cash) in thinking of this as the most important constitutional moment since 1688. I might respectfully offer the Act of Union 1707 or even the Act of Union 1801 as possible alternatives Imagination in tax is of great interest to the Treasury, but that must come after the transition period has ended and we have regained this full measure of sovereignty. That is the moment to think about these issues in the wide way that my right hon. Friend the Member for Wokingham (John Redwood) described. This is a technical matter of putting into place the requirements for us to leave in as orderly a way as possible The right hon. Member for East Antrim (Sammy Wilson), on classically robust form, rightly highlighted the lack of balance in this debate relating to the European Union, and I thank him for that. I remind the hon. Members for Glasgow Central (Alison Thewliss) and for Inverness, Nairn, Badenoch and Strathspey (Drew Hendry) that the rules as they stand were that all goods going into Northern Ireland were to be considered at risk. The “notwithstanding” clauses were designed to protect us against that transparently absurd outcome, which would have had the effect that a bag of salad brought in for sale in a Northern Ireland supermarket was considered an at-risk good and was therefore treated on that basis. That cannot be right. In advancing the “notwithstanding” clauses, the Government were seeking a perfectly sensible and proper readjustment to the situation. I am delighted that those clauses have been withdrawn, and with that good message, I commend these motions to the House Question put, That the amendment be made.
ParlaMint-GB_2020-12-08-commons.u423	As the House has just agreed, amendments and new clauses to be moved in Committee of the Whole of House may now be tabled. Hon. Members should table through the Public Bill Office inbox, which is pbohoc@parliament.uk. They should not attempt to hand in amendments and new clauses to the Table in the Chamber due to the current situation of the pandemic.
ParlaMint-GB_2020-12-08-commons.u424	I hand in a petition with nearly 7,000 signatures from those who wish to stop an incinerator plant being built on the beautiful island of Portland in my constituency. Those who want to build it call it an energy recovery facility. Thousands of people disagree with that interpretation and say that it is a waste incinerator, and they do not want it on their island Following is the full text of the petition: [The petition of residents of the constituency of South Dorset, Declares that the proposal to build a waste incinerator on Portland should not go ahead and that the Government should review its support for incinerators more generally; notes that almost 7,000 people have signed a corresponding online petition to stop the waste incinerator; further declares that South Dorset is a beautiful part of the world and that it should remain a healthy place for our children, grandchildren and ourselves; further that research has shown that a waste incinerator will cause the release of tiny dangerous particles into the air; further that a waste incinerator will cause a small increase in health risks for children; further that it will bring more lorries thundering along already busy roads; further that there is a possible need for the incinerator to be “fed” in the future by waste imported from outside the UK; further that it will create a big, unsightly blot on our beautiful landscape and coast; further that it will discourage recycling; and further that it will not create many jobs for local residents. The petitioners therefore request that the House of Commons urge the Government to rethink its support for incinerators and look towards a greener, circular economy. And the petitioners remain, etc.] [P002634]
ParlaMint-GB_2020-12-08-commons.u425	I present a petition from residents of my constituency that has now been supported by over 1,000 signatories The petition states: The petition of residents of the constituency of Henley, Declares that there is considerable concern about the increased impact of flooding in the village of Shiplake as a result of the actions being taken by Taylor Wimpey in relation to a development at Thames Farm; further declares that the developers are increasing the flood risk by filling in sink holes and injecting these areas with a grout-like substance to reinforce them which makes the chalk less porous; further that the developers are diverting floodwater to a brook in Flood Zone 3 in the village via a new pumping station at the north-eastern corner of the site; and notes that this petition is presented on behalf of two individuals of the village of Shiplake whose corresponding online petition has been signed by some 999 signatories The petitioners therefore request that the House of Commons urge the Government, in particular the Ministry of Housing, Communities and Local Government, to request South Oxfordshire District Council to ask Taylor Wimpey to submit a Material Variation Application because the change in the drainage solution is such a major departure from the original approved scheme, and to encourage public consultation as part of the approval of the drainage works, and to look at the change as a material variation in application And the petitioners remain, etc [P002636]
ParlaMint-GB_2020-12-08-commons.u426	On a point of order, Madam Deputy Speaker. During my exchange with the Under-Secretary of State for the Home Department, the hon. Member for Croydon South (Chris Philp) across the Dispatch Box during Justice questions this morning, the Minister claimed that the reason for the huge reduction in the number of trials in England and Wales between 2010 and 2019 was “because crime is significantly down since 2010” Recorded crime, which of course drives the amount of court activity and therefore trials, has, according to the Government’s own figures, increased considerably from 4.3 million in 2010 to about 6 million this year The Minister should not try to hide behind the Office for National Statistics crime survey statistics, when the public at large know full well both the reality and consequences of the increased crime in our country today. Given that reality, Madam Deputy Speaker, the Minister has clearly—inadvertently, I am sure—misled the House and I would be obliged if you would summon him to apologise for his mistake and to set the record straight.
ParlaMint-GB_2020-12-08-commons.u427	I thank the hon. Gentleman for his point of order, but he knows very well indeed that the Chair is not responsible for what Members or indeed Ministers say in this Chamber. I suspect that the point that he has just made is not so much a point of order as a continuation of the debate and a matter of the interpretation of statistics. I am also quite sure that he has, in raising a point of order, drawn the matter to the attention of the Treasury Bench and to the Minister, whom I hope he has given notice that he was planning to mention—
ParlaMint-GB_2020-12-08-commons.u428	indicated dissent.
ParlaMint-GB_2020-12-08-commons.u429	The hon. Gentleman has not given notice to the Minister that he intended to mention him.
ParlaMint-GB_2020-12-08-commons.u430	Apologies.
ParlaMint-GB_2020-12-08-commons.u431	I note the hon. Gentleman’s apology for not having done so, and I accept his apology. I can see by his demeanour that his apology is meant in good faith and that if he had remembered to inform the Minister, I am sure he would have done. I am also quite sure that the Minister’s colleague on the Front Bench, the Minister for the Middle East and North Africa, the right hon. Member for Braintree (James Cleverly), will let him know the point that has been raised. This is not a matter for the Chair and it is not a matter on which I or Mr Speaker can summon the Minister to answer, but I am quite certain that there will be other opportunities in future debates and question sessions when the hon. Gentleman can raise this very matter with the Minister again.
ParlaMint-GB_2020-12-08-commons.u432	I rise to speak in support of Karim Ennarah, the husband of my constituent Jessica Kelly. I also want to highlight the widespread human rights abuses under the current Egyptian regime Karim Ennarah works for a human rights organisation, the Egyptian Initiative for Personal Rights. He holds a master’s degree from the School of Oriental and African Studies at the University of London and was a Chevening scholar. He has lots of UK connections as well as family connections Karim Ennarah was arrested on Wednesday 18 November by Egyptian security services at a beach café while he was on a break in Dahab on the Sinai peninsula. His colleague, Mohammed Basheer, was also arrested, on 15 November, and the director of the Egyptian Initiative for Personal Rights, Gasser Abdel-Razek, was arrested in Cairo on 19 November. This follows an arrest earlier in the year of another of their colleagues The three arrests happened following a meeting with EIPR that was initiated by diplomats from Germany, Belgium, Denmark, Finland, France, Italy, the Netherlands, Spain and Switzerland, as well as the chargés d’affaires of Canada, Norway and Sweden and the deputy ambassador of the United Kingdom. At that meeting, the diplomats and the EIPR discussed the human rights situation in Egypt The arrests of Karim Ennarah and his colleagues were a co-ordinated crackdown on those campaigning for human rights issues. The United Nations human rights agency called the arrests “chilling”. Karim was held without trial in the notorious Tora prison. That is a complex known for the torture of political prisoners, where the cells are designed never to see sunlight. Those who have experienced it tell of cells without beds, the denial of medical attention, floors crawling with insects, and temperatures soaring to unbearable highs before crashing to freezing cold. Political prisoners are routinely starved, beaten and abused On 4 December, after a global outcry and pressure on the Egyptian regime, the three were released from prison, but they remain in Egypt under close surveillance and their assets have been frozen by order of the courts. We are yet to hear whether they are being held under any other conditions, as the investigation continues to hang over them. Karim’s wife, Jessica Kelly, with support from campaigners, human rights organisations and nearly 150,000 people who signed a petition, alongside a number of celebrities, has led the global efforts to secure his release and that of his colleagues. She deserves our praise and admiration for her incredible fortitude in such trying circumstances.
ParlaMint-GB_2020-12-08-commons.u433	I thank the hon. Lady for bringing this case to the main Chamber for our consideration. Does she agree that we have an obligation to use all diplomatic procedures available to encourage those we have relationships with to treat with basic human rights those who oppose them, and that the message from this House tonight is that the way human rights are handled has a bearing on the strength of our ties with other nations that abuse human rights?
ParlaMint-GB_2020-12-08-commons.u434	The hon. Gentleman is absolutely right. The strength of our partnership should be judged by the ability to provide constructive criticism to Governments who are responsible for human rights violations, and I look forward to hearing from the Minister what work our Government are doing to ensure that the Egyptian Government, as well as other Governments who have been responsible for significant human rights violations, take action to bring an end to such violations Karim’s wife, Jessica Kelly, was instrumental in campaigning for her husband’s release and that of his colleagues. We are all relieved to hear about their release, but there are a number of outstanding issues. What matters now is that the Egyptian Government allow Karim to leave the country to come to the UK where he can be reunited with his wife. I would be grateful if the Minister provided an update on whether that will be possible and what action our embassy is taking to enable Karim to be reunited with his wife in the UK The men were also accused of having links to terror organisations and of spreading fake news on social media, but let us be crystal clear that they were arrested for shining the spotlight on the human rights abuses of that regime.
ParlaMint-GB_2020-12-08-commons.u435	I wonder whether my hon. Friend is aware of the case of Giulio Regeni, the Cambridge PhD student who was researching trade unions in Cairo. He was brutally murdered five years ago. Does she agree that it is in the interests of everyone, including the Egyptian Government, that, in the end, the truth comes out and justice is done, and is seen to be done?
ParlaMint-GB_2020-12-08-commons.u436	I thank my hon. Friend for raising that case and I could not agree with him more. It is really important that the European Union and the UK work together to ensure that such actions of the Egyptian Government are confronted, and that Giulio’s family get the justice they deserve Yet again, we see that repressive regimes—in this case, Egypt—behave far worse if they think the world is not watching and holding them to account. It is critical that we work with our partners to ensure that we hold Governments such as the Egyptian Government to account for human rights violations, and that action is taken to bring an end to such violations. We must ensure that we shine a spotlight—in the most aggressive way possible through diplomatic means and through our relationships—to ensure that these kinds of arbitrary arrest and detention do not happen to people who are fighting for the rights of others This regime came to power in 2013 in a military coup, dissolving the constitution and dismissing the opposition. Since then, there has been widespread concern about human rights violations, some of which have been raised this evening. On 14 August 2013, Egyptian security forces, under the command of General Abdel Fattah al-Sisi, raided two camps of protesters in Cairo. Human Rights Watch described these raids and the subsequent massacres as “one of the world’s largest killings of demonstrators in a single day in recent history” It also pointed to the fact that over 900 people were killed during the massacre Human rights activists and observers report that the regime has employed arbitrary imprisonment, torture, extrajudicial killings, home demolitions, forced disappearances and sexual violence against its opponents. The families of Egyptians abroad have been detained to stifle criticism of the Government. There are not free and fair elections; al-Sisi won the 2014 election with 97% of the vote. All this evidence of thuggery, intimidation, violence and torture makes the bravery of human rights defenders even more apparent. They are truly courageous and heroic, risking their lives to protect the rights of others. It is right that we offer them whatever support we can, and it is necessary and right that our Government do all they can to provide the support that they need Jessica Kelly, her family and I are grateful to the Foreign Secretary for the statement that he made immediately after the arrests, and for the representation that he and his Ministers made to their Egyptian counterparts to help to secure the release of Karim Ennarah and two of his colleagues. As I mentioned, another colleague, Patrick Zaki, remains in detention, and his term has just been extended by another 45 days by the Egyptian courts. I would be grateful if the Minister provided an update on that case and whether further representations have been made to secure his release I would also be grateful if the Minister told us what further representations he is making to ensure that the Egyptian Government take seriously our concerns, the UK Government’s concern and the international concerns about human rights abuses and about the wider record of the Egyptian Government on human rights violations and the culture of arbitrary detention, enforced disappearances and torture of human rights defenders. Will he update the House on what efforts our Government are making, working with our European counterparts and other international partners, to apply diplomatic pressure on the Egyptian Government to ensure that these kinds of human rights violation are brought to an end This case was highlighted to me because the husband of a British national—my constituent—was arrested, alongside his colleagues, but for every one of those cases, there are many others that do not get the attention that they should be getting. We are all grateful to Jessica Kelly and her family, and to all those who have campaigned for the release of her husband and his two colleagues, but it is vital that our Government work with our international partners to ensure that all those who are being locked up, tortured and punished for standing up for human rights are protected. I would be grateful if the Minister addressed those concerns.
ParlaMint-GB_2020-12-08-commons.u437	I am grateful to the hon. Member for Bethnal Green and Bow (Rushanara Ali) for securing this debate and to the Members who have intervened for making important points during her speech. I have no doubt that the whole House will have welcomed the release on 3 December of three men, Mohammed Basheer, Karim Ennarah, and Gasser Abdel-Razek, from the Egyptian Initiative for Personal Rights. I pay tribute to the hon. Lady for the work she has done and the active role she has played in advocating for the men’s release. I also pay tribute to the family, friends and supporters of the three men, particularly her constituent, Jessica Kelly, who have campaigned tirelessly on their behalf and worked so hard to secure their release It is the eve of International Human Rights Defenders Day, and these courageous people must be allowed to carry out their work without fear of arrest or reprisal. The UK Government will stand up for human rights defenders, wherever they are On the specific case, although the release of the three men is welcome news, we understand that, as the hon. Lady said, the case is not yet closed. We will continue to take a close interest and to explain why we, the UK Government, think it is vital that they and the EIPR continue to play their vital role as an independent voice on human rights in Egypt. We remain concerned about the application of anti-terrorism legislation in this and other such cases. We will continue to monitor the situation closely and where we have concerns we will raise them. The hon. Lady made points about prison conditions, and we have not hesitated and will never hesitate to raise the issue of prison conditions and treatment of detainees with the Egyptian authorities whenever necessary, including in this case Furthermore, although I welcome the swift and positive developments in this case, I want to stress the Government’s broader commitment to human rights defenders and to the protection and promotion of human rights. Civil and political rights, including fair access to justice, must be respected in Egypt and around the world It is no secret that the UK wants to see better protection of human rights in Egypt. We have an ongoing dialogue with Egypt on this matter. The strength of our bilateral relations with Egypt allows us to speak frankly, and where we have concerns we always raise them. We work closely with Egypt at ministerial and official levels on a range of bilateral priorities, including trade and economic development, tourism, education and cultural co-operation. We also work together on a range of regional and global issues that matter to both our countries, including climate change, combating covid-19 and conflict resolution, including the conflict in Libya. As I say, that co-operation does give us the opportunity to speak with them on more difficult and sensitive issues, as we did in the case we are speaking about today The Government took swift and decisive action on the EIPR case. On 19 November, my right hon. Friend the Foreign Secretary spoke directly to his Egyptian counterpart to register our deep concerns about this arrest. Indeed, he was the first Foreign Minister to do so. Senior officials, including our ambassador in Cairo, continued to underline these concerns, and the British embassy in Cairo remained in regular contact throughout with the EIPR, the detainees’ lawyers and the British family of Karim Ennarah. Naturally, the UK also worked closely with international partners who shared our concern, including European partners, as the hon. Lady mentioned. In Cairo, the embassy worked closely with like-minded partners to take joint action. In Geneva, the UK’s human rights ambassador has been active in organising briefings on the case with civil society and other like-minded states The UK wants to see Egypt thrive. We want better protection for Egyptians’ constitutional rights and freedom of expression, and more space for NGOs and civil society is an essential part of that. It is also in the UK’s interest to co-operate with Egypt on other issues that matter to both countries, such as strengthening trade, tackling climate change, working together to address our shared security challenges and concerns, and protecting regional stability. Trade between the UK and Egypt was worth £3.5 billion in 2019, and the association agreement that we signed on 5 December, to ensure continuity of bilateral trade after the end of the transition period on 31 December, provides a new framework to boost trade and help both countries to build back better after our fight against the covid-19 pandemic.
