ParlaMint-GB_2020-06-03-commons.u1	2. What assessment he has made of the role of the Union during the covid-19 outbreak.
ParlaMint-GB_2020-06-03-commons.u449	Matters are progressing quickly and it is important to bring forward these measures now, but they do not directly tackle the issues relating to conflict of interest. The Department’s proposal to look for a single regulator could well do that. Will the Minister be prepared to meet me to discuss those measures to see when they might be brought forward in future legislation?
ParlaMint-GB_2020-06-03-commons.u450	I welcome my hon. Friend’s intervention. He has spoken at length on this and he has been a champion for that change, and I would be happy to meet him to discuss that further Amendments 18, 19, 21, 22, 23 and 25 deal with the Cape Town convention, which is an international treaty that seeks to lower the cost of finance for various high-value, mobile assets, including, importantly, aircraft. I know the sector has been particularly impacted by the unique situation posed by the coronavirus pandemic. The insolvency provisions in the Cape Town convention and the aircraft protocol, which we ratified in 2015, are some of the key provisions that give rise to low financing costs in the airline industry. They provide aircraft creditors with greater certainty that they will be able to take steps to enforce their security if an airline debtor defaults on payments or enters into insolvency. The effect of the provisions in the Bill that the Government are amending would have been to enhance the existing protections afforded to Cape Town creditors by extending those protections beyond what the convention and the aircraft protocol require. That was done to create even greater certainty for creditors and further reduce lending costs within the industry. However, in doing so, the new provisions would also have constrained the ability of a financially distressed airline to restructure without creditor consent, either using existing tools under the Companies Act 2006 or the new restructuring plan procedure that is being introduced by the Bill Since the publication of the Bill, we have listened closely to the views of many, including interested stakeholders in the airline sector and the restructuring profession. Both have expressed that these provisions could create a significant hurdle to successfully restructuring a struggling airline. The Government are absolutely aware of the very significant impact that this emergency is having on the airline sector. I am also clear that the overriding aim of the Bill is to make it as easy as possible for affected companies to get the breathing space that they need to weather the impact of covid-19, which clearly applies to the airline sector. Given the extraordinary challenge of the circumstances faced by the sector, the Government have decided to remove the relevant provisions from the Bill, which will retain the ability for an airline to use a scheme of arrangement and a restructuring plan to affect Cape Town creditors’ registered interests without the consent of every individual creditor, provided that the other safeguards of those procedures are satisfied. It is complex and we know that we need to work with the airlines on this and give struggling airlines the ability to successfully restructure I turn to amendment 15, which deals with the temporary changes to the moratorium that we are introducing in the Bill specifically for England, Wales and Scotland. I will shortly speak to a corresponding amendment for Northern Ireland. Members of this esteemed House will be aware that one of the things that the Bill is for is to create the moratorium, which is vital to give troubled companies the breathing space, but they face significant risks when seeking to restructure, and creditors can derail rescue plans and cause otherwise viable companies to fail unnecessarily. This adversely affects the interests of the company, its creditors and its employees, as well as the wider economy. Recognising the pressing need for companies to be able to access a moratorium in the face of the immediate impact of this emergency, in addition to the permanent measures, we have also introduced temporary measures to ensure that it is as easy as possible for businesses to access a moratorium in the short term. This is done in schedule 4 to the Bill While the schedule 4 temporary measures are in place, it is important that these can be applied consistently to each type of entity that can obtain a moratorium. If eligibility for the temporary measures changed depending on what sort of entity was seeking the moratorium, that would patently not be the case. As drafted, there are two entities for which schedule 4 would not otherwise apply: limited liability partnerships and co-operative and community benefit societies. This amendment would add a small fifth section to schedule 4, consisting of two paragraphs to make limited liability partnerships and co-operative and community benefit societies eligible for the temporary moratorium measures. That ensures that these entities can also be brought within the scope of the schedule and make best use of the breathing space that the measures offer. It ensures that both co-operative and community benefit societies and limited liability partnerships in England, Scotland and Wales will benefit from the temporary measures that we have set out in the schedule, as well as from the wider provisions on moratoriums. There is a corresponding amendment for Northern Ireland. These time-limited and temporary changes will make sure that we best address specific issues for companies during the covid-19 emergency and ensure that the relevant entities are all equally eligible for our temporary measures on moratoriums Amendment 17 is related and ensures that the temporary modifications that have been made to the moratorium process can be applied to limited liability partnerships and certain types of registered societies in Northern Ireland. It inserts two paragraphs to the temporary measures in Schedule 8, so it largely mirrors what we see in the previous amendment Amendments 20 and 24 are minor and technical amendments, intended merely to make a clarificatory point to ensure that it is crystal clear that at the point when a company proposes a restructuring plan coming out of a moratorium, the company should contact all creditors with an explanatory note of a proposed restructuring Similarly, amendment 16 deals with an erroneous repeal of the Northern Ireland provisions. The provision being repealed is still needed, so the amendment rectifies that and I therefore commend it to the House. I turn briefly to one amendment raised by the hon. Member for Manchester Central (Lucy Powell). It seeks to make any pension scheme deficits a priority creditor in the event of an insolvency. I have to say that I can understand where her intentions are coming from in this proposed amendment. I am sure that, in recent years, we can all remember one or two high-profile insolvency cases—we have heard of some today—which feature large deficits owing to the pension scheme, and we can appreciate the uncertainty that that brings However, as always, when insolvency occurs, there is a balance to be struck when considering the order in which those owed money are paid out of the available assets. There are seldom enough funds to pay all creditors in full in insolvency cases. To ensure fairness, the law requires that available funds be distributed in a certain order. Secured creditors are paid out first for the sale of any property to which their charges attach. Without that, securities, banks and others who funded business activity would be less likely to do so, or would charge more to cover the increased risks they bear. It is essential that the insolvency system helps to give investors, lenders and creditors confidence to take the commercial risks necessary to support economic growth. Unsecured creditors are paid once the secured creditors and preferential debts, which include employees’ remuneration, have been dealt with, and they share the funds that are left. For limited amounts of unpaid pension contributions, which are preferential, any deficit to a pension scheme ranks alongside all other unsecured creditors, which will inevitably include trade suppliers, some of which will be small and micro companies. Therefore, the level of debt owed to a pension company can be very large—we know that. To raise the priority of these creditors and pay them ahead of not only unsecured creditors, but also, as the new clause would seem to suggest, preferential creditors such as employees for unpaid wages and floating charge holders would really upset the balance that has existed for a long time New clause 5 seeks a future review of trade union involvement in company restructuring and to commit the Government to specific proposals in spite of what that review might show. It does not seek to amend or improve the debt finance restructuring provisions in the Bill being taken forward as those most needed at this moment in time. The permanent restructuring provisions introduced by the Bill have been the subject of a considerable period of consultation and engagement dating back to 2015. The process included the then Government’s review of the corporate insolvency framework public consultation in 2016 and extensive public engagements since then, with a wide range of stakeholders. There were no strong or widely made calls at that time for trade unions to be given a formal role in the new processes proposed. The design of the new restructuring provisions already includes strong protections for employees. For example, a company in a moratorium will be required to continue paying wages and salaries during the moratorium. If they are not paid, the moratorium will have to come to an end In addition, the measures allow employment tribunal proceedings to continue during the moratorium, despite the fact that other types of legal processes are to be prevented during the moratorium. In cases where employees are creditors of the company that they are employed by, and so a party to a new restructuring plan in that capacity, they will benefit from the comprehensive set of general creditor protections built into the new measure On corporate governance reform more widely, the Government are implementing a number of reforms already enacted that strengthen the voice and interests of employees in company decision making, be they members of a trade union or not The Government also intend to put forward a further consultation on audit and corporate governance reform, taking into account the recommendations of three independent reviews of audit, the views of the Business, Energy and Industrial Strategy Committee and a recent industry development, so we do not believe that a separate review is necessary At this point, Madam Deputy Speaker, I am not able to accept any of the amendments, apart from the Government amendments that are in my name. I hope therefore that hon. Members will therefore withdraw their amendments.
ParlaMint-GB_2020-06-03-commons.u451	On a point of order, Madam Deputy Speaker. It has come to my notice that certain Members of this House, including well-known Members such as the hon. Member for Brent North (Barry Gardiner), have flagrantly flouted the law and joined the protests outside, boasting that they have broken social distancing measures. I am not going to talk about the legality of this, because that, I presume—I may be mistaken about this—is a matter for the police. What I am discussing here, and what I wish to bring as a point of order, is my concern for the community that makes up this parliamentary estate: the hardworking and dedicated staff, and, indeed, as a subsequent thought, even my fellow Members. I feel that we are going to be placed at risk when there has been such advertised and self-publicised breaking of the law. Vectors of the disease we are fighting, and which the Government are fighting, will be, if he returns to this House, allowed access to spread among the hardworking staff here. Are there measures to prevent such Members, who have flouted the law and are now possibly more likely to be contagious or infected by the disease, re-joining this House until they have undergone a period of self-isolation to ensure that we do not suffer a threat because of their aberrant behaviour?
ParlaMint-GB_2020-06-03-commons.u452	I thank the hon. Gentleman for his point of order. I can well understand his consternation. The behaviour of hon. Members when they are outside this building is, of course, not a matter for the Chair, but what is a matter for the Chair and for Mr Speaker is the safety of Members of this House, of people who work here, and of the many, many people who have continued to work here, through a sense of duty, during these last difficult weeks. It will be obvious to the Committee and to anyone watching our proceedings that Mr Speaker has gone to a great deal of effort to make sure that Members and staff working here are protected. Social distancing rules, as one can see by looking at the Benches and the way in which this entire building is now set out, have been very rigorously developed to make sure that everyone who works in this building, who is here to do their duty, is protected and will not put other people, including their constituents and their families, at any risk If any Member of this House is openly flouting the rules that we have asked every citizen of the United Kingdom to observe to keep the virus under control, and to protect the vulnerable and to protect the NHS, then that Member is putting not only himself or herself at risk, but everyone else at risk as well. I hope that the hon. Gentleman’s observations will prove not to have been accurate. I am not suggesting that he would say that they were, but I cannot make any comment until I know the facts for certain. I hope that the facts are not as he has stated them, but if it transpires that the facts are as he has stated them, then it should be incumbent upon anyone coming into this building, if they know that they have put themselves at risk of contracting or passing on the virus, to act responsibly. I thank the hon. Gentleman for his point of order We will resume the Committee stage. I was hoping I would have some sort of indication that someone might wish to speak. I call Sarah Olney.
ParlaMint-GB_2020-06-03-commons.u453	Thank you, Dame Eleanor. I was not expecting to be next, but I willingly take my place. I state my intention not to press my amendments, but I would just like to say a few words on why I tabled them We are in an emergency situation. The response to coronavirus has been first and foremost a public health response, but the necessary measures taken to contain the spread of this appalling virus, supported by all the hon. Members of my party, have now resulted in an economic crisis. While we look forward to a point where the public health emergency has passed at least sufficiently to allow some semblance of a normal life, the economic crisis is likely to have longer and more far-reaching effects. In my constituency, as in those of every parliamentary colleague I am sure, the most immediate impacts are being felt by our small businesses and the self-employed. If we are to plot the most effective path out of this crisis, it is to our small and growing businesses that we should allocate the most care and attention. Apart from the important role that they play in supporting our communities and providing jobs, the new businesses that will emerge from the current shutdown will be offering the innovative goods and services necessary for a new way of life that we may have to get used to. Our recovery—both physical and economic—depends on the next generation of entrepreneurs, and it should be the first priority of the Secretary of State to identify and support them The Liberal Democrats support the temporary measures in the Bill. They are sensible measures that should carry successful businesses through the current crisis until such time as they can thrive again on their own terms. We support them, however, only as temporary measures designed to respond to the specific challenges posed by the current crisis. We oppose the bundling into the legislation of permanent changes to our insolvency and corporate governance processes. Permanent changes should be subject to a greater level of scrutiny and debate. My amendment 14 sought to put all the proposed changes on a temporary footing, able to be renewed, but also allowing the proposed permanent measures to be reintroduced to the House at such time as we may be able to consider and debate them properly Introducing the proposals as temporary measures would also allow their effect to be properly analysed. Our particular concern is for the ipso facto clause, which can be triggered if an insolvency effectively ends a contract to supply. This will require key suppliers to continue to supply struggling companies, despite the risk that they may not get paid. This transfers the risk from the struggling company to the supplier, which, whether in an economic crisis or not, is unacceptable. In times when cash flow is limited, it is not sufficient protection for a supplier to get in the queue with other creditors in the event of one of its customers falling into administration. Suppliers should retain the right to choose to withdraw their services if they perceive that their resources will face a lower risk return elsewhere. To compel them to continue their supply would be unethical I am particularly concerned that such a change would have a disproportionate impact on smaller businesses, especially those that only have the capacity to service a handful of clients, and would be unduly disadvantaged by being required to supply goods and services without the certainty of being paid. I accept that there is a balance to be struck between the needs of customers and suppliers, and that during these difficult times supply chains are critical and need to be supported, but we need to take time to consider the long-term risks of introducing such a change to our insolvency procedures, and the introduction of emergency legislation is not that time. The acid test of any new legislation at this time should be whether its provisions stimulate and support economic activity. There will be, regrettably, some businesses that will not survive the shutdown. For the sake of those who lose their jobs and livelihoods, it is imperative that capital and investment can be quickly diverted towards those endeavours that can thrive and provide new employment and economic activity. The increase in the scope of exclusions to the ipso facto clause will have precisely the reverse effect, injecting precious working capital into companies that cannot create economic value from it. Now more than ever is not the time to restrict our small business activity in such a way. I urge the Government to adopt the Liberal Democrat proposal that all the provisions of this Bill be time-limited and that we consider the permanent provisions more fully at a later date, when we would have greater insight into the impact of their introduction on our business environment.
ParlaMint-GB_2020-06-03-commons.u454	We are happy to withdraw our amendment on the basis that the Minister undertakes to address the concerns of the trade unions leadership—concerns which they have raised with us about the loss of rights that may result from the Bill—in his meeting with them tomorrow. I beg to ask leave to withdraw the amendment Amendment, by leave, withdrawn. Clauses 1 to 47 agreed to. Schedules 1 to 3 agreed to. Schedule 4 Moratoriums in Great Britain: temporary provision Amendment made: 15, page 144, line 14, at end insert— “Part 5 Entities other than companies 91 Regulations under section 14(1) of the Limited Liability Partnership Act 2000 may make provision applying or incorporating provision made by or under this Schedule, with such modifications as appear appropriate, in relation to a limited liability partnership registered in Great Britain 92 An order or regulations under section 118(1)(a), (3B) or (3C) of the Cooperative and Community Benefit Societies Act 2014 may provide for provision made by or under this Schedule to apply (with or without modifications) in relation to registered societies (or to registered societies of the kind mentioned there).”—(Paul Scully.) This amendment ensures that powers to apply Part A1 of the Insolvency Act 1986 to certain entities can also be used to apply Schedule 4 to the Bill. Schedule 4, as amended, agreed to. Schedules 5 and 6 agreed to. Schedule 7 Moratoriums in Northern Ireland: further amendments Amendment made: 16, page 165, line 4, leave out “2 to 8” and insert “2 to 5, 7 and 8”.—(Paul Scully.) This amendment removes the repeal of paragraph 6 of Schedule 1 to the Insolvency (NI) Order 2002, as the amendment made by that paragraph remains relevant for certain limited purposes. Schedule 7, as amended, agreed to. Schedule 8 Moratoriums in Northern Ireland: temporary provision Amendment made: 17, page 178, line 14, at end insert— “Part 5 Entities other than companies 55 Regulations under section 14(1) of the Limited Liability Partnership Act 2000 may make provision applying or incorporating provision made by or under this Schedule, with such modifications as appear appropriate, in relation to a limited liability partnership registered in Northern Ireland 56 An order under Article 10(2) of the Insolvency (Northern Ireland) Order 2005 may provide for provision made by or under this Schedule to apply (with or without modification) in relation to— (a) a registered society within the meaning of the Co-operative and Community Benefit Societies Act (Northern Ireland) 1969, or (b) a credit union within the meaning of the Credit Unions (Northern Ireland) Order 1985.”—(Paul Scully.) This amendment ensures that powers to apply Part 1A of the Insolvency (Northern Ireland) Order 1989 to certain entities can also be used to apply Schedule 8 to the Bill. Schedule 8, as amended, agreed to. Schedule 9 Arrangements and reconstructions for companies in financial difficulty Amendments made: 18, page 180, line 17, leave out “and 901I (special cases)” and insert “(moratorium debts, etc)” This amendment is consequential on amendment 21. Amendment 19, page 181, line 44, leave out from “etc),” to end of line 1 on page 182 This amendment is consequential on amendment 21. Amendment 20, page 183, line 34, after “as” insert “including” This amendment makes a minor drafting correction. Amendment 21, page 184, leave out lines 7 to 30 This amendment removes enhanced protection for creditors with interests in aircraft equipment, which will make it easier for airline companies to make use of the new restructuring process provided for by Part 26A of the Companies Act 2006. Amendment 22, page 194, line 40, leave out “and 899B (special cases)” and insert “(moratorium debts, etc)” This amendment is consequential on amendment 25. Amendment 23, page 194, line 44, leave out from “etc),” to end of line 45 This amendment is consequential on amendment 25. Amendment 24, page 195, line 24, after “as” insert “including” This amendment makes a minor drafting correction. Amendment 25, page 195, leave out from end of line 42 to beginning of line 21 on page 196.—(Paul Scully.) This amendment removes enhanced protection for creditors with interests in aircraft equipment, which will make it easier for airline companies to make use of the existing restructuring process provided for by Part 26 of the Companies Act 2006. Schedule 9, as amended, agreed to. Schedules 10 to 14 agreed to. The Deputy Speaker resumed the Chair. Bill, as amended, reported. Bill, as amended in the Committee, considered. Bill read the Third time and passed.
ParlaMint-GB_2020-06-03-commons.u455	Object.
ParlaMint-GB_2020-06-03-commons.u456	I have to explain to the House the position on motion 4, on virtual participation in proceedings during the pandemic (temporary orders), which is not necessarily straightforward. As mentioned to the House earlier during points of order, and as the House is therefore aware, Mr Speaker has selected amendment (c) in the name of Karen Bradley, amendment (d) in the name of Chris Bryant, and amendment (a) in the name of Valerie Vaz, and amendments (a) and (c) have subsequently been withdrawn The House has, however, been made aware during points of order that the hon. Member for Rhondda (Chris Bryant) wishes to move his amendment and, as I understand that this will be contested, I am not able to put the main Question. It transpires that the contested amendment in the name of the hon. Member for Rhondda constitutes an objection and I therefore declare that the objection is taken.
ParlaMint-GB_2020-06-03-commons.u457	I rise tonight to present a petition on behalf of my east end constituents, who rightly wish to see an extension of the Brexit transition period. It is clear as day that our time as legislators is understandably being consumed by the coronavirus pandemic, but we risk the very grave danger of sleepwalking into the territory of no deal with Brussels, which I certainly cannot stand by and condone. Her Majesty’s Government therefore must extend the Brexit transition period without delay and avoid the country being plunged into further chaos Following is the full text of the petition: [The petition of residents of Glasgow East constituency, Declares that current Coronavirus pandemic should be the primary focus of Her Majesty’s Government at this time; believes it is deeply unhelpful that the prospect of a No Deal cliff edge on 30th June remains on the negotiating table with Brussels and considers that local businesses could get through the inevitable Coronavirus recession without having extra uncertainty or new rules and red tape to get used to at the end of the year. The petitioners therefore request that the House of Commons urges Her Majesty’s Government to seek an immediate extension to the Brexit transition period without delay. And the petitioners remain, etc.] [P002567]
ParlaMint-GB_2020-06-03-commons.u458	I am proud of the fact that I represent a constituency with the UK’s best airport and, until recent events, a thriving aerospace sector, but those recent events have been catastrophic for the sector. It needs further Government help and it needs it now Of course, certain companies’ actions do not help. Willie Walsh’s actions in making almost the entire workforce redundant and rehiring just over two thirds on massively reduced terms and conditions, including pay cuts of up to 60%, is immoral, obscene and thoroughly dishonest. It should be illegal It was confirmed today that Rolls-Royce intends to make 700 people in Inchinnan—more than half of the highly skilled workforce—redundant. I have spoken to and corresponded with many devastated and angry workers, but even at this late stage, I urge this Government to intercede and discuss what options are open to support Rolls-Royce jobs. I urge the company to engage meaningfully with the Scottish Government, who are keen to get around the table. I plead with the Department for Transport, the Department for Business, Energy and Industrial Strategy and the Treasury to get their collective finger out and support the sector Following is the full text of the petition: [The petition of the residents of the constituency of Paisley and Renfrewshire North, Declares that job losses at British Airways, Rolls-Royce and across the aviation and aerospace industry will be a devastating blow to employees of these firms and will cause major economic damage to the whole of the UK; further that this will particularly affect constituencies like Paisley and Renfrewshire North, which have large aviation sectors; supports the early intervention by the Scottish Government in removing the business rates liability for one year and urges the UK Government to follow suit; and welcomes the 1,167 signatories to the related petition from Gavin Newlands on the aviation industry. The petitioners therefore request that the House of Commons urges the Government to secure a sustainable future for the aviation industry, to ensure that urgent discussions take place between relevant ministers and these firms to protect the maximum number of jobs, and to ensure that workers play a full role in the decisions being taken about this industry. And the petitioners remain, etc.] [P002568]
ParlaMint-GB_2020-06-03-commons.u459	Thank you very much, Madam Deputy Speaker, and thank you for allowing this twice-postponed debate to be held on flood defences for Tenbury Wells. We have just gone through the driest May on record and the pandemic is taking so much of the country’s bandwidth, so it is hard to believe that less than four months ago, we suffered some of the worst flooding in recent years in the Severn valley and elsewhere. We were very badly affected by Storm Ciara and Storm Dennis, and many people, homes and businesses were and indeed still are affected In West Worcestershire, we have the confluence of the River Severn, the River Teme and the River Avon, so we are used to regular winter flooding. After particularly bad floods in the summer of 2007, I started campaigns to build more flood defences in our area. Since 2010, we have had seven new flood defence schemes built with the help of the excellent team at the Environment Agency. Those schemes are in Uckinghall, Pershore, Powick and Kempsey, with two schemes in Upton-upon-Severn. The seventh, a community-based scheme, is in Callow End. Throughout the regular winter floods that have continued to affect the area, these flood defences have proved their worth time and again, and protected many homes on many occasions. The Upton-upon-Severn permanent flood defences alone have been called into service over 30 times and have allowed the town’s shops and pubs to remain open for residents at almost all normal times. The cumulative amount spent on these schemes has been over £9 million. They have largely been funded by the local flood levy budgets, with the flood wall in Upton-upon-Severn calling on about £4 million of the billions in capital spend on flood defences in this country in the last decade I am pleased that, since the February floods, the Environment Agency has committed to reviewing the Powick flood defences, as they were overtopped then. It would be good to see whether they can be raised without having a detrimental effect elsewhere. However, I will not stop campaigning until two further schemes are built in West Worcestershire. One is a bund in Severn Stoke, which is progressing well and has reached the planning permission stage. The cost is significantly lower than at Tenbury Wells and has been further reduced through the local supply of the material needed to build the bund. That leaves the final scheme—the big challenge —at Tenbury Wells. I am delighted to see my hon. Friend the Member for North Herefordshire (Bill Wiggin), who was the Member for Tenbury Wells at the time of the 2007 floods, here to support my request today Tenbury Wells is a wonderful market town on the River Teme. A market has been held there since 1249. The town has always been prone to flooding. The current bridge was built in 1795 by Thomas Telford, after the older one was washed away. The town is built on a flood plain and water can rush down incredibly quickly from the hills in Wales and Shropshire. The Kyre brook also flows right through the town and can fill up very quickly. After the 1947 floods, which are still the worst on record, plans were drawn up to protect the town with flood defences, which would have cost less than £200,000, albeit in 1947 money, which I believe would be worth about £2.4 million today. Sadly, that scheme never went ahead During the three summer floods in 2007, the town’s toilets were washed away. They have since been replaced by an award-winning scheme, and a lot of further work has been done, with individual property-level protection, new culverts and some work on the drainage. The Environment Agency is making sure that the Kyre brook vegetation is regularly cut back and has recently drawn up a feasible and deliverable scheme for a full flood defence around the town. I know that exhibits are not allowed in the Chamber, Madam Deputy Speaker, but I have with me a copy of what the Environment Agency has drawn up.
ParlaMint-GB_2020-06-03-commons.u460	I would like briefly to share with the House the misery caused by the flooding in 2007, when the residents of Tenbury Wells were hit three times by something that was evil in its outcome. I thank my hon. Friend for her excellent campaigning and wish her every success and more power to her elbow in a wonderful place that has suffered so badly.
ParlaMint-GB_2020-06-03-commons.u461	I very much appreciate my hon. Friend and neighbour’s support for the campaign The Tenbury Wells scheme is feasible and deliverable, incorporating some wall around the church and a bund around the burgage and in other key places. Under the existing cost-benefit rules, the scheme would attract only about £1 million of flood defence grant in aid. Sadly, it was not built in time for the floods that struck this February, which were the worst for 13 years. The community did a remarkable job. They helped everyone affected, as did the local councils—the town, district and county councils—the local emergency services and the highways and waste collection teams. They were all outstanding, but the fact remains that 190 homes and businesses were again damaged and many closed, including the newly opened post office. As there was no time to repair the flood damage before the lockdown started, some people have had to spend the lockdown in flood-damaged homes. Central parts of the community’s fabric were also badly damaged, including the famous Chinese gothic pump rooms where the town council meets, the town’s swimming pool and the beautiful Tenbury Regal Theatre. In fact, the only thing that was not damaged was the amazing, resilient spirit of the town So we need to act. This wonderful market town serves a rural area for miles in every direction. It cannot help the fact that hundreds of years ago it grew up on a floodplain. If we want Tenbury Wells to thrive for hundreds of years to come—and we do—it needs a permanent flood defence. The temporary barriers that are deployed in Bewdley will not suit Tenbury Wells because the flood waters rise too suddenly and unpredictably. The Environment Agency says in its own report that the variable terrain, combined with the flood depth and the length of barrier required, mean that temporary barriers would not provide an effective or robust solution. Of course, the cost has risen to nearer £5 million, although I am sure that, just as in Severn Stoke and Callow End, local farmers and builders would be happy to help to bring down the cost of the booms. Because Tenbury Wells is a small town of fewer than 4,000 inhabitants, it will never meet the national formula, which puts so much weight on houses protected. It is a formula that cannot capture the key role that this market town plays in the much wider area around it So Minister, let us agree a plan of action tonight. The Environment Agency should start a consultation on its already drawn-up plans. They have been widely welcomed, but there are those whose objections and suggestions must be heard. And let us do it in a socially distant way—remotely, even: by post and internet if need be. I also welcome the interest shown in the scheme by the Woodland Trust, which has some good ideas about building leaky dams at the source of the Teme and planting trees along the catchment—the kind of natural upstream solutions that will be the kind of public goods that the Agriculture Bill will enable farmers to be paid for. The evidence is that, while these measures will not stop the flooding, they can reduce the peak of flood events by about 20%, although they would clearly only complement a permanent flood defence Let us bring together all the sources of funding: the county council capital budget, the local flood resilience levy fund and the £120 million in capital announced for schemes that do not meet the formula. I would welcome some clarification from the Minister this evening on how to bid for that fund. This is something that the town itself would be prepared to contribute to, and the Heritage Lottery Fund is going to be approached to help to protect the town’s heritage. There will be section 106 money from the new housing in the town and, of course, that help in kind from local farmers and builders. The Environment Agency does a wonderful job of supporting this process, and then we can put the scheme in for planning permission—this year, I hope. Once that process is complete, I believe that it is ambitious but feasible for the scheme to be shovel-ready next year. So Minister, I urge you to ask your officials—
ParlaMint-GB_2020-06-03-commons.u462	Order. I cannot let the hon. Lady do that twice. I have let her do it once. We have a lot of new Members who, during this unusual time, seem to think that the normal procedures, courtesies and rules should be flouted, but the hon. Lady knows how to behave in the Chamber. She cannot address the Minister directly. She knows she cannot do that, and I implore her please to get it right so that I can use her as an example for Members who do not behave so well.
ParlaMint-GB_2020-06-03-commons.u463	Thank you so much for that guidance, Madam Deputy Speaker. As you will recall, it has been some time since I held an Adjournment debate and I am grateful for the refresher course on etiquette. Through you, Madam Deputy Speaker, I urge the Minister to ask her officials to back this plan, and to back a solution that has eluded all her ministerial predecessors so that she can make her illustrious mark on the hundreds of years of history of this wonderful market town. Then, whether it is at a future mistletoe festival, Applefest celebration or Tenbury agricultural show, you, Madam Deputy Speaker, and through you the Minister will be given a garlanded welcome for the rest of your lives, whenever you choose to visit the beautiful town of Tenbury Wells.
