ParlaMint-GB_2020-11-03-commons.u1	What plans he has to raise the mandatory retirement age for magistrates.
ParlaMint-GB_2020-11-03-commons.u379	I am sure that I will have a different view to the hon. Member for Nottingham East (Nadia Whittome). I find myself in a surreal place, because I have gone full circle. I once moaned, as a soldier, about not enough being done in this House for the armed forces. Now, I am contributing to legislation that I honestly believe will have a positive impact on our armed forces Looking back at the different overseas operations I have served on and being able to bring those experiences to the House has been a huge honour. I was fortunate enough to speak in the first debate about what I did on operations, and also to sit through several weeks of scrutiny on the Bill Committee. I have learnt a lot during this process, and gained a greater understanding of the huge complexities involved in bringing legislation through this House. It is clear that the Minister for Defence People and Veterans has done so much to get the Bill here, and I pay tribute to all the work he has done to get it to this stage When I look at all that is said in this House in support of our armed forces, I scratch my head and wonder why it has taken this long to bring this legislation to the House. I have looked back and reflected to try to find out why this was the case. When I joined the Army straight from school several decades ago, the armed forces were not popular. We were not high on satisfaction ratings. We were not allowed in any of the places in the towns where we were posted. We were restricted from most places we went to. People did not come out into the streets and clap for the armed forces, so maybe it would not have been a popular decision to bring a Bill such as this to the House at that time. This has quite rightly changed now, and people do support our armed forces. Maybe that is why people are now saying so much about the forces that they have not said in the past. In this House, you cannot move for support for our troops, yet it is only now that this Bill is being brought forward I genuinely think that there is honest support across the House for our troops, and that all Members want the best for them. However, words do not protect our troops. We need to go further, and action is what is needed. As MPs, if we suffer a bad day, we hit the headlines. We might have a media campaign against us, someone might put graffiti on our office or we might end up having harassment. None of that is right, but it passes. It does not change our lives forever. However, when someone is serving on overseas operations, a split second can change their life forever when that shot is fired, that improvised explosive device is set off or that rocket comes into their base when they are asleep. A limb is lost. They witness a friend being killed. Ultimately, people lose their lives After an overseas operational tour, something is left on that battlefield. You never come back the same. The time for words has passed. We now need to support our armed forces, and we need to do so by supporting the Bill.
ParlaMint-GB_2020-11-03-commons.u380	It is a pleasure to speak in the debate and to follow my hon. Friend the Member for Wolverhampton South West (Stuart Anderson). When my hon. Friend the Member for Wrexham (Sarah Atherton) was in her place, she outlined the concept of lawfare. There can be no doubt that that exists and has been exploited, leading to vexatious claims against our brave armed forces personnel over a considerable period of time Cases such as that of Major Robert Campbell are absolutely scandalous. This man had to face eight separate investigations over 17 years into a single incident that took place back in 2003. He is only 47, so we are talking about more than a third of his life. Each investigation cleared him, only for the goalposts to be moved for each successive investigation. The toll taken on that completely innocent man, who put his life on the line for his country, is enormous Tragically and shamefully, he is not alone. To put it into perspective, a long-running streak of claims have been dismissed as far back as the 2009 al-Sweady inquiry, which took five years, cost £25 million and the conclusion of which was that the allegations were “wholly without foundation and entirely the product of deliberate lies, reckless speculation and ingrained hostility” Furthermore, the Iraq historic allegations team determined that 70% of cases did not have a case to answer or that it would be disproportionate to conduct an investigation. Similarly, as of June, the service police legacy investigations had closed or were in the process of closing 1,200 allegations. Operation Northmoor, which took three years and cost £10 million, resulted in no charges, but all that takes significant time and causes huge distress to those under repeated investigation Our servicemen and women make enormous sacrifices on behalf of our country and the practice of hounding them must come to an end. It is therefore right that the Government seek to raise the bar for prosecutions in overseas operations by requiring prosecutors to have proper regard to the uniquely challenging circumstances into which we send our personnel to risk their lives on our behalf, as we heard from my hon. Friend the Member for Wolverhampton South West Opponents of the Bill have said that it would issue an amnesty for torture and war crime offences, but that is simply not the case. As the Minister has been at pains to make clear, the Bill does not provide blanket immunity from prosecution; it merely raises the threshold for the prosecution of alleged offences. Those opponents have also claimed that it would damage the reputation of our armed forces. I question instead what sort of a country we would be if we allowed our armed forces to continue to make enormous personal sacrifices only to return back home and be at the mercy—for years—of tank-chasing lawyers such as Phil Shiner, who was, of course, struck off for his actions. The Minister has outlined at length how the Bill meets the UK’s obligations under domestic and international law. I look forward to hearing him do so again in his closing speech Most Members on both sides of the House sincerely support our armed forces, but there have always been some who have taken sides against our armed forces and shown no respect whatsoever for our veterans. I am not among them. I am inclined to agree with my hon. Friend the Member for Tonbridge and Malling (Tom Tugendhat), who said that the Bill goes some way to protecting our armed forces but probably not far enough. However, it does improve the current unacceptable position. I therefore support the Bill to protect our armed forces.
ParlaMint-GB_2020-11-03-commons.u381	May I say at the outset that I am extremely proud of our armed services and their conduct, their calibre and their gallantry? They are well renowned and well supported across Ulster. They are applauded, and have been for many years, even through the dark years when people did not like the armed services so much, because people know the sacrifice that young squaddies made to hold the line between peace and chaos in a part of the United Kingdom. They were, and are, applauded In principle my party welcomes the Bill and wants to support it. We do think there are many ways in which it could be improved, and we hope the Minister is listening to those calls for improvement. We are bitterly disappointed that the legislation will fulfil only part of the Government’s manifesto commitment—part of the commitment on which Members canvassed around the whole of this nation to obtain support. I will come to the detail of that in a moment When I was a student at university, I had a tutor from Germany. She recounted to me a story about one of her earliest and most confusing experiences of Northern Ireland. She wanted to call a colleague here at King’s College London, and for her it was not a problem. She picked up the phone, she dialled the number, and she was told by the switchboard operator at Queen’s University, “That’s fine—that’s a local call.” Some time later, she had to call a colleague at Trinity College, Dublin, but she was not able to make the call, and was told by the switchboard operator, “Oh, that is an overseas call, down to Dublin.” So I understand the confusion that some people might have, and indeed the justification that the Government have put into this piece of legislation to leave Northern Ireland out, and leave Operation Banner soldiers out, because in theory Northern Ireland is not overseas, and service in Northern Ireland is not an overseas matter: it is a local matter—a domestic issue. But the Government’s manifesto commitment was to all of their personnel, and no matter what way we cut it, and no matter what the small print may now say, those brave and gallant people and soldiers who served in Northern Ireland under Operation Banner have been jettisoned by this piece of legislation.
ParlaMint-GB_2020-11-03-commons.u382	It may be helpful if at this stage I restate to my hon. Friend the commitment in the Conservative manifesto, which we do not resile from one bit—that those who served with such distinction in a very, very difficult time in Northern Ireland will be entitled to equal treatment when that Bill is brought forward. They have not been jettisoned, they have not been forgotten about, and we will not leave them behind.
ParlaMint-GB_2020-11-03-commons.u383	I thank the Minister for getting to his feet and making that commitment again from the Dispatch Box. That is important, and will go some way to alleviate some of the concerns that have been expressed I would just say this. People in Northern Ireland—for good cause—do not believe in the good will of the Northern Ireland Office and its mandarins there. They believe that their attitude to our armed services is that they are expendable, and that there will be a time, when push comes to shove, and if it is expedient, that our soldiers who served in Operation Banner and the police officers in the gallant RUC who supported them would be easily jettisoned in some sort of trade-off with the people who were quite happy to fire bullets at our armed service personnel.
ParlaMint-GB_2020-11-03-commons.u384	I support exactly what my very great friend is saying, but may I point out to the House that no Bill will protect someone like Dennis Hutchings, who has been repeatedly brought back and reinvestigated, in Northern Ireland or elsewhere? This legislation will not be retrospective, as I understand it. Does my hon. Friend agree?
ParlaMint-GB_2020-11-03-commons.u385	I thank my dear friend, who has travelled widely in Northern Ireland, both as a soldier and as my guest in my constituency, with former squaddies. The applause that they gave to him is now legendary in Ballymoney; but the Minister will forgive me for saying that probably the less said about that adventure, the better for both of us Some Members have made the point that it is difficult to make a prosecution stick. One of the cases that got me into active politics was that of the UDR Four, on which I worked as a researcher, where four soldiers were wrongly convicted of the murder of a civilian in Northern Ireland. Many Members have advocated today the books that they have written on these subjects. I actually did write the book on the case for the UDR Four, with an exceptional foreword by Robert Kee, the eminent historian. In that book, we detailed the case for those soldiers and how their conviction should be quashed. I am delighted to say that three of those convictions were quashed, but it took us 10 years to get that case before the courts and to have those wrongful convictions quashed. So I do not buy that prosecutions will be hard to pursue and make stick. There is, unfortunately, an unhealthy appetite out there among some people to blame veterans and our armed services. That will not end with this Bill, but we wish it Godspeed and hope that we can get a piece of legislation that will defend our armed services with the integrity that the Minister speaks with.
ParlaMint-GB_2020-11-03-commons.u386	I rise to support amendments 1 to 10 in particular. I thank my hon. and gallant Friend the Member for Barnsley Central (Dan Jarvis) for his eloquent argument for the amendments, and I thank the right hon. Member for Haltemprice and Howden (Mr Davis) for putting them forward. I am proud to have put my name to them I fear that the Bill fails to meet our obligations on human rights abroad, but it also fails to meet our obligations to service personnel when they return home. The UK should rightly aspire to be a global torch-bearer for human rights, and our military should be held to the highest professional standards. The triple lock and five-year limit on prosecutions in the Bill make a mockery of any claim that we might have respect for human rights and international law. Human rights do not change depending on the miles travelled or the borders crossed. They are universal and non-negotiable. From Hallam to Herat, we all have the right to live free from torture and war crimes. That is why I was appalled to read in the report of proceedings in Committee that Ministers had excluded torture because “we expect our service personnel to undertake activities that are intrinsically violent in nature,”––[Official Report, Overseas Operations (Service Personnel and Veterans) Public Bill Committee, 14 October 2020; c. 206-207.] which may lead to “allegations of torture” or “war crimes” Torture is clearly defined in international law. It is never accidental. It is not a grey area. It is an intentional act of inflicting very serious and cruel suffering on another person. It cannot be justified with heat-of-the-moment arguments, and it is ridiculous to say that conventional military operations could be mistaken for torture. Alongside hundreds of constituents who have contacted me about the Bill, I completely oppose any suggestion that there are any circumstances in which torture might be excusable Not only are these proposals an affront to human rights, but they fail to support our veterans, the group the Government say they are defending. The largest number of civil claims made against the MOD are claims of negligence brought by former soldiers. The proposal for a six-year limit on lodging civil claims makes it harder for ex-military personnel to sue the MOD for failure in its duty of care to them. It means that troops who develop PTSD, blindness and other conditions will be left with no recourse to justice. Far from supporting veterans, the Government’s proposals are entirely self-serving We should reject any attempt to run down the clock on civil claims, and there can be no “get out of jail free” cards for torture or war crimes. There is no stopwatch on justice, and there are no exceptions—no ifs or buts—on torture or human rights. That is why I will join colleagues in supporting amendments 1 to 10 this evening and in voting against the Bill.
ParlaMint-GB_2020-11-03-commons.u387	When the Government brought this Bill forward, their aim was to end vexatious claims against former service personnel and the Ministry of Defence, but the evidence does not bear out what the Government say is the scale of the problem. No service personnel, present or former, deserve to be investigated and prosecuted for a crime they did not commit, or to be repeatedly investigated without good reason, but the figures, as the Government well know, are not of a scale that would justify the proposals in the Bill In relation to Iraq, only a handful of prosecutions have been brought against junior personnel Of the civil prosecutions against the MOD over the past five years, just 0.8% related to Iraq. The Minister has said, in relation to the majority of the repeat investigations or delayed prosecutions, that “one of the biggest problems…was the military’s inability to investigate itself properly and the standard of those investigations…If those investigations were done properly and self-regulation had occurred, we probably wouldn’t be here today” Rather than put forward proposals to tackle the real reason behind any repeat investigations or delayed prosecutions, the Bill instead proposes unprecedented and dangerous legal protections, which will create a legal regime that secures immunity for serious offences and inequality before the law for victims of abuse and armed forces personnel.
ParlaMint-GB_2020-11-03-commons.u388	I am grateful to be called in this important debate I believe that this House should promote internationalism that is anti-imperialist and peace seeking, yet as I have raised before in this House and as has been noted by many, the Bill before us could result in torture and other serious crimes being protected from prosecution five years after being committed. That is so clearly in breach of the human rights of those affected by conflicts involving UK armed forces. Due to the amount of time that trials relating to services personnel often take, the five-year period proposed in the Bill is likely to mean that many prosecutions would not be made. Indeed, the whole tenor of this Bill is to deter cases being brought regardless of their merit. I echo Grey Collier, advocacy director at Liberty, when I say that a war crime does not stop being a war crime after five years. This Bill also offers no protection to armed forces personnel; neither does it offer them access to justice.
ParlaMint-GB_2020-11-03-commons.u389	I thank my good friend the Deputy Speaker and the hon. Lady for allowing me to intervene. I do not understand why she thinks a war crime will not be a war crime after five years. A war crime is a war crime forever, and if the Attorney General considers it to be a war crime, it will be brought to a court. I do not think this Bill stops a war crime being prosecuted if a British soldier, sailor or airman carries one out.
ParlaMint-GB_2020-11-03-commons.u390	I thank the hon. Gentleman for making his point, but I disagree with him. The point I am making is about prosecution and allowing for that war crime to be considered by the courts If I can continue, I believe in a fair justice system for all. Such a system would have built into it access for justice for armed forces personnel and those bringing cases against them. Most fundamentally, in order to pay tribute and show respect to those who have lost their lives in foreign conflicts—both from the UK and abroad—we must set in place a system of transparency and political accountability. We must face head-on the lasting effects that wars in, for example, Iraq and Afghanistan and sectarian conflicts have had on the lives of many in the UK and around the world. It is only with proper accountability and transparency that we can ensure that such mistakes and injustices are a thing of the past Hiding from accountability does not do anyone favours. Rather, it feeds mistrust, because for most people it is only those who have something to hide who fear scrutiny. Going to war and other activity by the armed forces involve decisions about some of the most fundamental values, and people have the right to know what is being done in the name of our country I conclude by saying that this Bill will act only to entrench a culture of fear and mistrust, increase the risk of crimes being committed overseas and instigate an opaque justice system, benefiting neither armed forces personnel nor the victims of war.
ParlaMint-GB_2020-11-03-commons.u391	Wind-ups will begin at 5.26, so I will ask whoever is on their feet at that time to resume their seat.
ParlaMint-GB_2020-11-03-commons.u392	I have co-sponsored a number of amendments in the hope—perhaps it is naive—that some of the rougher edges of the Bill can be improved. Ultimately, I think this Bill is flawed from top to bottom and is unnecessary. We have, for example, existing prosecutorial tests. One is the evidential test and the second is the public interest test, which are more than adequate to take into account some of the concerns raised by Members. The Bill also raises the question whether our judiciary are not capable of weeding out vexatious claims whenever they come before them. I believe they are, and we should have confidence in their abilities to address those very points The Bill creates some very difficult and unnecessary precedents by breaking up the long-standing convention that everyone is equal before the law. There is no need to put in place measures that create additional prosecutorial tests and hurdles to be jumped in relation to certain categories of people—even those who on the face of it are incredibly deserving of our support, such as our veteran community and current active service personnel The most egregious aspect of the Bill is what it does in relation to torture. A number of Members have already said this, but in effect it decriminalises torture. I say “in effect” because that is not on the face of the Bill. That is the outworking of what the provisions entail. People will say that torture and war crimes can still be prosecuted through the courts, but it is a fact that a triple lock of additional hurdles, which do not exist for any other category of criminal offence, is to be put into law, and that makes this situation much more difficult and challenging I am conscious that we are all looking across the Atlantic today to see what happens in the US presidential election, and there is a clear interest in ensuring that the values of decency and support for democracy, human rights and the rule of law prevail over those who are pursuing other agendas. At the same time, it is deeply troubling that the Government, and potentially this House, are willing to implement measures on torture in legislation that overturns centuries of precedent. That should be very troubling to us all.
ParlaMint-GB_2020-11-03-commons.u393	I rise to oppose that comment. The Bill does not decriminalise torture. Torture remains a major crime, and I speak as someone who has given evidence in five war crimes trials at The Hague. Torture is torture, and it is still something that the Government deeply oppose. The Bill does not actually legitimise torture in any way.
ParlaMint-GB_2020-11-03-commons.u394	I am grateful to the hon. Member for his comments. I very much respect his service, and his commitment in that service to upholding the rule of law and the highest standards of international humanitarian law. The point I am making, however, is that while on the surface the Bill does not do what he says, the fact that the triple lock and the additional prosecutorial hurdles in effect create that outcome is, I think, deeply troubling to us all There are just two other points I want to make in conclusion, to try to let someone else say a few words. First, anyone who opposes the Bill today should not be labelled as someone who is opposed to our armed forces. It can be viewed and construed as respecting our armed forces. Let us ask ourselves the question: what was it that they were actually fighting for, particularly when they were in Iraq and Afghanistan? I appreciate that both of those interventions were controversial in many respects, but surely it is about peace, upholding the rule of law in those countries and upholding international law? We therefore do ourselves a great disservice if, in recognising their contribution, we in turn undermine those very values in what we do in the Chamber today My final point relates to Northern Ireland. Members have made reference to potential legislation in that regard. I do not look forward to seeing similar legislation being put in place for Northern Ireland—
ParlaMint-GB_2020-11-03-commons.u395	Order. We must come to the winding-up speeches. I call Stewart Malcolm McDonald.
ParlaMint-GB_2020-11-03-commons.u396	I am grateful, Mr Deputy Speaker, and I am only sorry we did not get to hear the end of the speech by the hon. Member for North Down (Stephen Farry) I rise to support the new clauses, and to speak to amendment 32 in my name and those of my hon. Friends. I want to begin by thanking my hon. Friends the Members for Glasgow North West (Carol Monaghan) and for West Dunbartonshire (Martin Docherty-Hughes), who served on the Bill Committee, among other hon. Members who find themselves here this afternoon. I am afraid to say to hon. Members, particularly those who were with us on Second Reading, that very little has changed from what I said then. In fact, almost nothing has changed from what I said then and that is a great shame. It is the case, then as now, that senior legal, military and political opinion was united in consensus against the Bill. That has not changed. [Interruption.] That did not take very long, did it? The Minister should not worry; I will come to the points that he loves to chunter.
ParlaMint-GB_2020-11-03-commons.u397	It is not fair to say that opinion is united against the Bill. That is not factual from the evidence given to the Bill Committee.
ParlaMint-GB_2020-11-03-commons.u398	Well, we will go through some of that evidence, shall we? We will go through some of the comments made by senior military, legal and political opinion that make it quite clear that what I have said is correct. I accept, of course, that there are differences of opinion within those fields, but it is the case, I am afraid to say to the hon. Gentleman and to the Minister chuntering at me from the sidelines, that senior military, legal and political opinion believes that the Bill is farcical in several respects. I will go through them in turn.
ParlaMint-GB_2020-11-03-commons.u399	We cannot get more distinguished than the Judge Advocate General, Judge Blackett, who was firmly of that opinion. The Minister did not perhaps listen, but the judge made his position about the Bill very clear.
ParlaMint-GB_2020-11-03-commons.u400	Yes, that is entirely correct. Or we could take the former Conservative Defence Secretary, Sir Malcolm Rifkind. I think I said in the previous debate that he is not exactly known as a sandal-wearing, lentil-munching, Guardian-reading lefty hipster type, is he Mr Deputy Speaker? I suspect you know him way better than I do, although we have some experience of him in Scotland, of course. He is against the provisions in the Bill. So when the Minister chunters away that what I have said is incorrect, I am afraid what he needs is a mirror, because what he is saying is fundamentally incorrect It did not have to be this way. Back in that Second Reading debate, I said, along with others, that we would try to bring forward amendments to get a Bill we could support. But with every attempt to do so—we will see it again, I am quite sure—we have had the door slammed shut in our faces The Minister might win in the Lobby tonight, but for a man so convinced of his powers of charm and persuasion, he has failed to bring forward a Bill that the House can unite behind. Those who were here before the election, and who have been in the few defence-related debates we have had since, will know that, on defence matters—setting aside the nuclear question, certainly for myself—there is actually a lot of consensus in the House. So why is it that the one Minister who brings forward a Bill on issues of security, supporting the armed forces and the rule of law, where that consensus exists, has failed to get any Opposition Member to support him? It is his failure that the Bill will divide tonight, with one or two honourable exceptions, between Government and Opposition Benches.
ParlaMint-GB_2020-11-03-commons.u401	Does the hon. Member share my worry that potentially putting our armed forces up against the International Criminal Court could be the beginning of a path to undermining the Court itself? It is quite easy to see a situation where British service personnel are investigated, and then Conservative Members start braying for us to leave the Court in its entirety.
ParlaMint-GB_2020-11-03-commons.u402	That is exactly the slippery slope I fear we are on. I hate the phrase “the thin end of the wedge”, but I am afraid that it rather fits where we are with this Bill and this Government. We have those senior opinions in military, legal and political circles against the Bill. That is before we get to the recent damning report by the Joint Committee on Human Rights, which made clear the number of flaws in the Bill I am conscious of time, so I will conclude. The Chairman of the Foreign Affairs Committee, the hon. Member for Tonbridge and Malling (Tom Tugendhat), suggested that, were we to change our defence posture with regard to training or peacekeeping in supporting Ukraine, we could be subject to what he called “a Russian hand” trying to take legal action here—no doubt that Russian hand is a Tory donor. That is exactly the kind of thing that would see UK personnel further exposed to the International Criminal Court.
ParlaMint-GB_2020-11-03-commons.u403	Will the hon. Gentleman give way?
ParlaMint-GB_2020-11-03-commons.u404	No, I am going to wind up The Minister has to take that into account, but he has failed, and the failure is his alone. I do not want him to think that, when he gets his way tonight, the job is done. The job is not done. He has promised the House legislation to fix the investigation system. My goodness, I hope he will do a better job on that than he has done on this Bill.
ParlaMint-GB_2020-11-03-commons.u405	This is not a wind-up speech. We have had a good debate, with 23 Back-Bench contributions, some really good speeches and serious concerns about the Bill raised on both sides of the House. We are legislating, and I want to say to the Minister that it is wrong to see all criticism as opposition or all opposition as hostility. The Government never get everything right, especially with legislation, and no one has a monopoly on wisdom, especially Ministers. I say to him, it is wrong to dismiss anyone arguing for amendments to the Bill as ill informed or ill willed. There has never been a Bill brought to this House that could not be improved—this is certainly one of those. That is our job as legislators.
ParlaMint-GB_2020-11-03-commons.u406	Will the right hon. Gentleman give way?
ParlaMint-GB_2020-11-03-commons.u407	I will not give way, if the hon. Gentleman does not mind. I am going to deal with some of the points made in the debate, despite this not being a wind-up speech From the outset, I have said that Labour wants to help build a consensus to convince the Government on the changes needed to make this legislation fit for purpose—that is, a new legal framework for this country when we have in future to commit our servicemen and women to conflict overseas. There has been a long-running problem, with baseless allegations and legal claims arising from Iraq and from Afghanistan under both Labour and Conservative Governments. But this Bill, as it stands, is not the solution The Public Bill Committee heard powerful evidence on a series of problems that our amendments on Report, and others on the amendment paper, are designed to fix. I want to stress the strength and depth of those criticisms. On investigations, the former Judge Advocate General, Geoff Blackett, said: “The presumption against prosecution does not stop the investigation; the investigation happens.”—[Official Report, Overseas Operations (Service Personnel and Veterans) Public Bill Committee, 8 October 2020; c. 127, Q275.] The expert from Policy Exchange, Professor Richard Ekins, who originally published “Clearing the fog of war”, said: “It certainly does not stop investigations. In fact, if one were to make a criticism of the Bill, one might say that it places no obstacle on continuing investigations”.––[Official Report, Overseas Operations (Service Personnel and Veterans) Public Bill Committee, 6 October 2020; c. 35, Q63.] On criminal prosecutions, the former Commander Land Forces in the Army, General Sir Nick Carter, said: “I do not understand why sexual acts have been excluded, but not murder and torture. I do not understand why that distinction has been made”.––[Official Report, Overseas Operations (Service Personnel and Veterans) Public Bill Committee, 8 October 2020; c. 96-97, Q196.] The Judge Advocate General again, as the right hon. Member for Haltemprice and Howden (Mr Davis) stressed, said of the Bill: “What it actually does is increase the risk of service personnel appearing before the International Criminal Court.”––[Official Report, Overseas Operations (Service Personnel and Veterans) Public Bill Committee, 8 October 2020; c. 117-118, Q234.] On civil claims, the former chairman of the British Armed Forces Federation said: “Imposing an absolute time limit places armed forces personnel claimants themselves at a disadvantage compared with civil claimants in ordinary life”.––[Official Report, Overseas Operations (Service Personnel and Veterans) Public Bill Committee, 6 October 2020; c. 9, Q6.] The director for the Centre for Military Justice said that “it is quite extraordinary that part 2 will only benefit the Ministry of Defence, and the Ministry of Defence is the defendant in all those claims.”––[Official Report, Overseas Operations (Service Personnel and Veterans) Public Bill Committee, 6 October 2020; c. 57, Q108.] The director-general of the Royal British Legion said of the Bill: “I think it is protecting the MOD, rather than the service personnel”.––[Official Report, Overseas Operations (Service Personnel and Veterans) Public Bill Committee, 8 October 2020; c. 86, Q163.] When my hon. Friend the Member for Portsmouth South (Stephen Morgan) pressed him— “So it would breach the armed forces covenant, in your view?”— he replied: “That is what we think, yes.”––[Official Report, Overseas Operations (Service Personnel and Veterans) Public Bill Committee, 8 October 2020; c. 84, Q155.] Our new clause 7 and our amendment 38 are designed to sit alongside the amendments of my right hon. Friend the Member for North Durham (Mr Jones). The answer to the right hon. Member for New Forest East (Dr Lewis) about the number of investigations is this: only 27 prosecutions have arisen from Iraq and Afghanistan, yet 3,400 allegations were considered by the Iraq Historic Allegations Team and 670 from Operation Northmoor. Therefore, less than 1% of allegations were prosecuted The problem here is investigations. The serious, consistent problems lie in a system of investigation that has proved to be lacking in speed, in soundness, in openness, and in a duty of care to alleged victims or to the troops involved. Those are all problems well before the point of decision about prosecution, which is the point at which the provisions of the Bill kick in. That is a widely held criticism. It is a widely held conviction, one held by the Minister himself. Before he became a Minister last year, he declared that “one of the biggest problems….was the military’s inability to investigate itself and the standard of those investigations…If those investigations were done properly…we probably would not be where we are today” He was right then; he is wrong now to resist using the Bill to correct those problems Another review, Minister? Look, there have been three reviews—and this one will be chaired by Richard Henriques—in the last five years. There are more than 80 recommendations on investigations that the Government could act on. For goodness’ sake, get on and do that! The amendments are in scope, workable and implementable. The Bill is an opportunity to fix long-standing problems. I hope the Government will start to see our proposals on investigations as being additional to what is in the Bill, not as a direct challenge Part 1 of the Bill restricts prosecutions of certain offences. The Bill’s purpose is to make it harder to prosecute British troops for some of the most serious crimes under the Geneva conventions. It does that by legislating for a presumption against prosecution after five years. Our new clause 4 deals with that presumption against prosecution; it replaces it with a requirement on the prosecutor, in coming to a decision, to take into account the passage of time, and whether it prejudices the prospect of a fair trial The Government say that sexual crimes, in all cases, are so serious that they will be excluded from this presumption, but they are placing crimes outlawed by the Geneva conventions—torture, war crimes, crimes against humanity—on a lower level, and downgrading our unequivocal British commitment to upholding international law. That poses the direct risk that the International Criminal Court will act to put British armed forces personnel on trial in The Hague if the UK justice system will not Let me dwell on that point. The contradiction that we are creating in the Bill is this: under clause 2, only exceptionally are proceedings defined in clause 1 to be brought, or continued, against a person. However, as the Red Cross has made clear, “only in exceptional circumstances will the Prosecutor of the ICC conclude that an investigation or a prosecution may not serve the interests of justice.” In other words, in the International Criminal Court, it is exceptional not to pursue a case; we are making it exceptional to pursue a case. That is the contradiction, the risk, and the jeopardy for our troops serving overseas in future If we adhere to the highest standards of legal military conduct, we can hold other countries to account when their forces fall short—a point made clearly by my hon. Friend the Member for Barnsley Central (Dan Jarvis). If we do otherwise, it compromises our country’s proud reputation for upholding the rules-based international order that Britain has helped to construct since the days of Churchill and Attlee On civil claims, new clause 5 would amend part 2 of the Bill so that claims by troops or former service personnel were not blocked in all circumstances, as they are under the Bill at present. It is simply wrong for those who put their life on the line serving Britain overseas to have less access to compensation and justice than the UK civilians whom they defend—or indeed than their comrades whose service is largely UK-based. There are already safeguards in the Limitations Act 1980, but part 2 penalises this group of people by applying to them a unique deviation from that Act. That clearly constitutes a disadvantage for those armed forces personnel, their families and veterans. It directly breaches the armed forces covenant, as the director general of the Royal British Legion has confirmed. Frankly, it beggars belief that Ministers are asking Members of this House to strip forces and their families of their right to justice—to penalise them, instead of protecting them. Our new clause 5 flatly rejects that On the duty of care and our new clause 6, one of the things that struck me most when talking to troops and their families who have been through the trauma of these long-running investigations is that they felt cut adrift from their chain of command and from the Ministry of Defence. We heard that clearly from Major Campbell, who gave such dramatic evidence to the Committee. When he was asked what support the MOD gave him, he simply replied, “there was none.” Of course, for veterans, it is even worse: for them, there is nothing, not even the chain of command, as Hilary Meredith, the specialist solicitor told the Committee. I have to say to the Minister that although some of the previous decisions—for instance, to cover the legal costs of those who were involved in the Iraq Historic Allegations Team investigation—were welcome, there is a higher standard to reach for us in this regard. I hope that, as we move the Bill into the Lords, he will use new clause 6 as a model so that we can establish a new duty of care standard providing legal, pastoral and mental health support to those who are put under pressure and under investigation or prosecution. I hope that he will do the same with our amendments on derogation and on the Attorney General’s veto. We need greater transparency. We need some role for Parliament in both those areas, and I know the Lords will be keen to look at that.
ParlaMint-GB_2020-11-03-commons.u408	I appreciate all the contributions made this afternoon, some of which were very thoughtful I know that Members get upset when I think that they are disingenuous, but the amount of misinformation that has come over today is quite extraordinary. The right hon. Member for Wentworth and Dearne (John Healey) just said that the Royal British Legion has said that this directly breaks—
ParlaMint-GB_2020-11-03-commons.u409	On a point of order, Madam Deputy Speaker. The Minister has just accused my right hon. Friend the Member for Wentworth and Dearne (John Healey) of being disingenuous. Is that actually parliamentary?
ParlaMint-GB_2020-11-03-commons.u410	I am sure the Minister meant “unintentionally disingenuous”.
