ParlaMint-GB_2020-07-20-commons.u1	What recent discussions he has had with the Scottish Government on the shared prosperity fund.
ParlaMint-GB_2020-07-20-commons.u363	That is patently false. All the new clause does is to say, “If you want to produce food to export into our market, it must be produced to these standards.” It does not in any way seek to impose legislation in the United States or anywhere else that would govern the way in which they can produce food.
ParlaMint-GB_2020-07-20-commons.u364	I do not agree with the hon. Gentleman on the wording of the new clause. It talks about “standards which at the time of import applied under UK law”, which means that the same standards have to apply in the foreign law, so it goes far further than what is intended by the Bill. No country is going to accept dynamic alignment imposed on it by us, any more than we would accept it. We cannot say to Mr Barnier, “We do not want to accept dynamic alignment from you, but by the way, we want you to accept dynamic alignment from us, because you’ve got to mirror the standards we have in our domestic legislation.”
ParlaMint-GB_2020-07-20-commons.u365	It is extremely interesting to follow the hon. Member for Witney (Robert Courts), who seems to be labouring under a completely false set of perceptions. First, the standards referred to in new clause 11, and indeed in many of these amendments, are the standards for products exported from country A to us here in country B. We are not making any comment about the products that are circulating within that country. We are simply saying that, if we want our farmers not to use sow stalls, for example, it makes no sense not to apply such conditions to the imports of food coming from countries that are using those standards. If our standards imply higher costs and we do not have some way of moderating the goods coming in from countries that are not imposing those standards, our farmers will be undercut. I really wish he would get his facts straight before standing up and saying that these amendments do not make sense, because they do I stand to speak to new clause 9, tabled in my name. New clause 9 stipulates that no international trade agreement may be ratified or implemented if it restricts the UK’s ability to pursue its climate and environmental goals. It requires the Government to make full implementation of multilateral environmental agreements by all participating nations the priority during trade negotiations, and to prioritise facilitating action to that end at the World Trade Organisation. It requires regular reporting on compliance with the above. Overall, it would ensure that the Government’s trade policy is in line with their international climate obligations and domestic environmental targets The Trade Bill should have been an opportunity to provide a clear direction of travel on the UK’s new trading status. It should have set out a democratic, environmentally and socially just framework for a new, pioneering and independent trade policy. The Conservative election manifesto promised that the Conservatives would not “compromise on our high environmental protection, animal welfare and food standards.” Yet, as we have seen, the gap between reality and rhetoric is a yawning gulf. We do not want yet more warm words and nice rhetoric. What we want are some red lines in the negotiations, and the way to get them is to write them into this Bill. That is all that those on the Opposition side of the House are asking for Instead, what we have with this Trade Bill is the same rehashed, controversial proposal from before the general election. It is one that fails completely to take account of the long-standing climate and nature crises or, indeed, of the covid-19 pandemic that has happened since. The UK’s objectives for trade deals must change to keep up. They must prioritise action to tackle the climate crisis, sustainable food supply chains, decent work and, as has been so sharply highlighted, universal and affordable access to medical supplies As it stands, this Bill risks undermining the UK’s social, labour, environmental and agricultural standards. It fails to ensure that imported products adhere to at least equivalent standards. I therefore welcome all the amendments that have the same objectives as my new clause 9, which would provide us with a framework for protecting the standards that keep us safe. This is not an academic discussion, as we know. We know that the US Administration have made it very clear that they want the UK to lower its food standards to allow the export of products currently banned in the UK, and that is why we need to be on our guard.
ParlaMint-GB_2020-07-20-commons.u366	I am listening to the hon. Member carefully, as I always do, but we are dealing in facts. She said, following my hon. Friend the Member for Witney (Robert Courts), that we should deal in facts; for the record, I thought he dealt in facts beautifully. Does she accept the point that the Food Standards Agency, for which I used to be responsible as a Minister, would have to propose any change in lowering regulatory standards—let us say, for instance, in how one washes chicken. It would have to propose such a regulatory change, which would have to be bought through these Houses of Parliament. Does she accept that as a fact?
ParlaMint-GB_2020-07-20-commons.u367	I am happy to accept that as a fact, but does the hon. Gentleman accept that the unwillingness of this Government to put their objectives into the Bill is causing massive concern? Thousands of people are writing to the Minister to say that they are deeply, deeply concerned, so why not put them in the Bill? Unless they are there, we are not going to take them seriously. [Interruption.] I am sorry; I just do not think that people are going to believe warm words; they want such things in the Bill We need to be listening to those people who are contacting the Minister. That includes, as we have heard before, not just the National Farmers Union, but many other organisations and many people from civil society. We also need to be listening to the science I want to end by speaking to the issue of climate change and the fact that all our policy arrangements going forward need to be aligned to the essential fact of not exceeding the threshold of 1.5°. This year, 2020, is on course to be the warmest ever. Aligning trade policy with environmental and climate objectives is not just something that would be good to do; it would be reckless and perilous to do anything else. Despite the hype of a brave new post-Brexit world, this Trade Bill perpetuates the status quo. It is totally unfit for purpose from the point of view of standards; democratic scrutiny; secret courts that can also undermine values of the kind we want enshrined in trade Bills going forward.
ParlaMint-GB_2020-07-20-commons.u368	It gives me great pleasure to rise in this debate and I welcome the fact that the Minister sailed the Bill through Committee unamended. I say to the hon. Member for Brighton, Pavilion (Caroline Lucas) that the rhetoric, facts and a couple of other statements that she made simply all mix together and I am afraid that I agree fundamentally with my hon. Friend the Member for Witney (Robert Courts). The fact that she wants something in the Bill that is already the law of the land gives excellent credence to what rhetoric is.
ParlaMint-GB_2020-07-20-commons.u369	One of the reasons that I want things in the Bill is that they might otherwise be changed through statutory instruments, which might not even see the sides of this Chamber. We want them in the Bill so we can have the debate here in this Chamber.
ParlaMint-GB_2020-07-20-commons.u370	The hon. Lady, I know, understands the process of this House probably better than me, and a statutory instrument sailing through this place without a vote on the Floor would mean a dereliction of duty by those on the Opposition Benches. I know as well as she does that it would be easy to facilitate such a vote. Not only that, but those on the Treasury Bench have been absolutely clear In the short time I have, I want to echo my right hon. Friend the Member for Chipping Barnet (Theresa Villiers), with whose thoughtful contribution at the start of the debate I agreed very much. I also pay tribute to my hon. Friend the Member for Tiverton and Honiton (Neil Parish), the Chair of the Environment, Food and Rural Affairs Committee. I think he is the grandfather of the commission we now have for trade and agriculture, although I do not want to age him. My hon. Friend did more to engage me with my farmers than the National Farmers Union has done in a decade. I suspect that was done in 10 minutes amending the last Bill, rather than what the NFU tried to do in an ongoing dialogue.
ParlaMint-GB_2020-07-20-commons.u371	My hon. Friend and constituency neighbour mentions the commission. We were lobbied by many of our farmers who urged us to set up that commission. The Government have listened. Does he agree that that is evidence of this Government listening to farmers and upholding our manifesto commitment?
ParlaMint-GB_2020-07-20-commons.u372	I dare not disagree with my parliamentary neighbour. I very much welcome the commission and I say to those on the Treasury Bench that it is welcomed by my farmers and my agricultural community. The membership of that commission gives a certain amount of comfort to the farmers I engage with daily in representing one of the largest agricultural communities in this country I want to focus for a second on what my hon. Friend the Member for Witney said around the subject of chlorinated chicken, which has become a lightning rod, a focus stone. I re-emphasise that there is an import ban in place; there is a law of the land in place that that cannot be imported into this country, and it would be an incredibly brave Government, Treasury Bench and Chief Whip who ever brought that issue to this House. It seems to be Opposition Members, over and over again, who are trying to charge the whole debate emotionally with that product, despite the full knowledge that it is illegal to import it into this country. That brings shame on them for trying to whip the issue in such a fashion.
ParlaMint-GB_2020-07-20-commons.u373	The horsemeat scandal revealed significant vulnerabilities in the traceability of our food supply chain. Given that pork and horsemeat found their way into what was meant to be beef, does the hon. Gentleman not accept that we risk a similar scandal in future if additional protections for consumers against chlorine-washed chicken and hormone-fed beef are not written into the Bill?
ParlaMint-GB_2020-07-20-commons.u374	I have won the argument on chlorinated chicken and we have moved on to another product. I say to the hon. Lady that working with the Government, as I am with the Secretaries of State for both DEFRA and International Trade, on traceability, accountability and labelling, is the right thing to be doing—not making cheap political points in what is one of the most essential debates and Bills for this country right now I was trying to get to a point about the scrutiny in this place. As a member of the International Trade Committee, I commend our illustrious SNP Chair, who has brought real teeth and scrutiny to the process. The willingness of the Secretary of State and our negotiators to brief the Committee in private session has been extremely welcome The fact is that we have the CRAG procedure, which has been talked about at length—I see some Members starting to smile on the Opposition Benches. It would be an Opposition who really could not use the process to full advantage who could not bring a vote against any kind of trade deal that came forward. For anything to be able to be snuck through, there would have to be a complete dereliction of the Opposition’s duties—never mind the Back Benchers on the Government side, who will hold our Government to account, as is our job Having spoken to the Minister on the Treasury Bench at length on these issues, I feel safe in the knowledge that the trade deals that we are doing will be welcomed in my farming and agricultural community. The deals will open up not just markets that that community wants, such as lamb to the United States of America—the second largest importer of that meat in the world. They are already opening up the beef market, which has been lying dormant for so many decades and they will enable the import of products of a reasonable standard. Consumers in my constituency and across the United Kingdom can take huge comfort from the import bans in place in the law, which will not be removed I know that there is a time limit and that other Members want to speak. I commend the Treasury Bench for their engagement with our farming community, with me and with the International Trade Committee. I commend the Bill unamended.
ParlaMint-GB_2020-07-20-commons.u375	It is a pleasure to follow my constituency neighbour, the hon. Member for Montgomeryshire (Craig Williams). I begin on a point of consensus, for I fear that we might diverge a little as I proceed I am sure that the hon. Gentleman will agree with me that trade is an important part of the Welsh economy. It was worth £17.5 billion in 2019 alone. While the Government pursue trade deals across the world to explore new opportunities, the hon. Gentleman will also agree with me, I think, that they should not squander the opportunities on our doorstep. Although Wales is a proud global partner, we cannot escape the fact that at present more than 60% of Welsh exports are destined for our friends—and, hopefully, our continued close trading partners—in the European Union. I hope that negotiations with the EU will conclude without there being new barriers to that trade or additional costs for our businesses I am certain, however, that the UK’s approach to trade with other members of the global community must champion the interests of each of the UK nations—an objective far more likely to be realised successfully if all four Governments of the UK play a role in formulating trade mandates and scrutinising negotiations as well as ratifying agreements I commend the remarks of the hon. Member for Dundee East (Stewart Hosie), who eloquently detailed the Bill’s deficiencies in this regard; I add only that the Government should guarantee the democratic rights of the devolved Administrations in the Bill as well as offering legal protections to our public services and strengthening some of the safeguards when it comes to parliamentary scrutiny of standards Unfortunately, as it stands, the Bill in my opinion denies the role that the Welsh Parliament has in articulating Wales’s interests. That is why Plaid Cymru has tabled new clause 18, to ensure that all four nations must consent to any trade deal struck in their name. We will also be supporting new clause 4, in addition to the amendments tabled by the hon. Member for Dundee East, which would ensure not only that that deficiency is addressed, but that UK parliamentary oversight is strengthened.
ParlaMint-GB_2020-07-20-commons.u376	I say to the hon. Member for Ceredigion (Ben Lake) that it is a pleasure to follow such a thoughtful contribution—indeed, let me say diolch yn fawr to all three Welsh MPs who have just spoken I rise to add my voice to calls for more trade and more opportunities for business in global Britain, especially those close to my heart in South Ribble and wider Lancashire. This Bill allows for more than 40 existing trade agreements with other countries to be kept in place, for us to access a £1.3 trillion global procurement market and for us to protect vital industries from product dumping by overseas actors. Finally, we clear up the rules on sharing data in customs environments, all of which are vital to the health of our domestic and export businesses. This useful and practical Bill tidies up the details on laws currently with the EU and adding them to the UK’s statute book I also rise to put to rest the concerns I have heard from many of the good people of South Ribble who have been worried by some of the noise and misunderstandings around the Bill.
ParlaMint-GB_2020-07-20-commons.u377	Does my hon. Friend agree that Opposition Members wish simply to sow doubt among the public about the NHS? We have had 10 years in which to privatise it, but we have not done so. The last time it was privatised was in 2006, with Tony Blair’s independent sector treatment centres. Does she agree that there is a certain amount of hypocrisy coming from those on the Opposition Benches?
ParlaMint-GB_2020-07-20-commons.u378	My hon. Friend is entirely correct on that. Having been part of the Bill Committee in the past weeks, I have had the opportunity to hear at length the arguments made on this Bill and on today’s amendments. I have listened hard to the details and drawn my own judgments. The advocacy for new amendments is strong and their proponents on the Opposition Benches articulate them well. They express fears that, at first glance, seem reasonable, but they are fears and not realities. I worry that Opposition Members are seeking to conflate what is actually in the Bill with fears about what could be in the Bill and wider conversations about trade. I know I am relatively new to this House, but that does not make sense to me. So what are the actualités of this piece? There is much noise about Parliament voting on future trade deals—we can do that, more so than is the case in other countries such as Australia and New Zealand. The CRAG process allows us to vote on trade deals and if we change our own law on trade, we will vote on that in this place too In reference to new clause 4, I must draw on my business background. As anyone who has negotiated any type of deal before knows, if you are at a table and have to say, “I agree but I have to get 650 other people to agree”, it rather ties your hands in the negotiation. Let us trust our elected Government to act in the best interests of global Britain, and as hon. Friends have mentioned, trust those on these Back Benches to hold them to account. Should it be needed, there is still a backstop. If we, as a Parliament, need to block a trade deal after negotiation, we can. If it changes our laws, it will need a vote in this place, and FTAs cannot, by their nature, unilaterally change UK law. This is similar to Canada’s system, and it is forging on with trade deals and doing all right I have had much correspondence from the people of South Ribble raising concerns about our farmers and their wonderful, quality produce. People say, “You need to reassure constituents. There is concern that if a clear and explicit Government commitment to uphold food standards is not included in the Trade Bill, existing food law, including retained law, could easily be changed.” If I were in their shoes listening to that, I would be worried too. Let me put their fears to rest. We will not remove the UK’s current food standards. For example, hormones and chlorine in food are banned now and will remain banned—full stop. The current standards are in EU law and will be rolled over when we leave the transition period. We have promised to keep import standards in place, and we will. For those concerned about having a say, should they ever be changed, that will be voted on here in the UK Parliament If we put food standards rules into this Bill and ask those overseas to adhere to them, then we are asking those abroad to abide by our law. That is something we would not and do not accept from other countries, and our friends abroad will almost certainly say, “No thanks. That will put a restriction on trade that will hurt us—let’s not.” To put it another way, putting food standards regulation into a Bill rolling EU law into UK law is a bit like putting a frock on a frog: it will look more than a bit out of place down at the negotiating pond, and people will be disappointed when they kiss it and it does not turn out to be a protectionist princess. There is a right place to protect the UK’s food standards when products are imported, and we will, but it is not this Bill.
ParlaMint-GB_2020-07-20-commons.u379	It is always a pleasure to follow the hon. Member for South Ribble (Katherine Fletcher), as I recall I did when she made her maiden speech. I rise to speak in support of new clause 4 tabled by the hon. Member for Huntingdon (Mr Djanogly), who I know is scheduled to speak immediately after me and will doubtless give a detailed account of the reasons for it. In anticipation of that, I wish to set out why the Liberal Democrats support it From 1 January 2021, the UK will be setting out on its own for the first time in nearly 40 years in developing its own independent trade policy and negotiating its own trade agreements. The implications of this step on everyday life in the UK are huge, and possibly not yet fully appreciated. Trade negotiations are complex and delicate. Securing access to international markets for one sector may mean conceding international access to our domestic markets for another. Securing preferential treatment on tariffs for some of our goods may mean relaxing import controls on something else We have a complex economy currently disrupted by the need to beat the coronavirus, and on the verge of major change as we transition away from carbon-emitting activity. Technological change offers both threat and opportunity. We must also consider that our economy is imperfect in its distribution of wealth and opportunity, and look for ways to address this challenge. Increasingly, the UK is being called on to stand up for the defence of fundamental human rights and liberal democracy and use the powers at its disposal to effect change internationally. Our trade policy and agreements touch on all those urgent challenges. How can we best leverage our economic advantages to deliver current and future prosperity for UK citizens and influence peaceful progress abroad To determine that those decisions are best made behind closed doors without consultation or discussion is an assault on our very idea of what Parliament is for. We need to balance all the competing pressures from different economic sectors and geographical regions, fully considering the impact on different groups of workers, and determine whether we prioritise climate commitments over economic growth. How can that be done effectively without recourse to Parliament? The British people deserve to have their interests properly represented when these questions are being asked and for the answers given by Ministers to be put on the public record and judged accordingly I also speak in support of new clause 9 tabled by the hon. Member for Brighton, Pavilion (Caroline Lucas) and supported by the Liberal Democrats because we recognise the urgency of taking action against the very real threat of climate change. It is essential that we enshrine that urgency in our trade legislation, so that negotiating partners know, before the first papers are exchanged, that they must comply with our environmental goals. Our economy is transitioning away from carbon emissions, in accordance with the democratic mandate to achieve net zero carbon by 2050, and that progress must be underpinned in every trade agreement we negotiate. Our commitment to net zero cannot be traded away in pursuit of other goals The Liberal Democrats have also tabled amendments that relate to dispute resolution and human rights. Dispute resolution is fundamental to ensuring that democratic decision-making that relates to the expenditure of taxpayers’ money, or regulation of food standards, cannot be undermined by law suits from foreign corporations. At this stage, the UK Government should rule out any use of investor-state dispute settlement procedures from UK trade deals, to safeguard our ability to determine our own regulatory environment, without the threat of sanction from foreign investors. That is fundamental to ensuring that our NHS remains free at the point of use for all UK citizens, and that we set our own standards on animal welfare and food quality Earlier I referred to the UK’s powers to effect change internationally, and to how we can use our trade agreements as leverage. We have been forcefully reminded of our need to use those powers to influence foreign partners to respect human rights, thanks to recent events in Hong Kong and China. It would send a powerful message to the Chinese regime, and to others around the world who hope to trade with us, if we enshrined in law our commitment to upholding human rights as a non-negotiable element of our trade deals. That message will be compelling only if we lead by example, and that example starts with parliamentary oversight of negotiating mandates and trade deals. I implore colleagues to support new clause 4 this evening.
ParlaMint-GB_2020-07-20-commons.u380	I speak to the new clauses tabled in my name, and those of others, concerning the scrutiny of free trade agreements. Simply put, today the House must address the question of whether, post Brexit, the UK will have less scrutiny of free trade agreements than we had before Brexit. That is the current Government proposal, which I suggest flies in the face of the claim that we leave the EU to take back control. The Government have split FTAs into two categories. First, and in the Bill, are all trade agreements that the EU signed with third countries before Brexit, which the Government wish to roll over to become agreements with the UK. Secondly, and not in the Bill, there are FTAs with any other countries, such as the US New clause 4 suggests a new scrutiny process for all FTAs. It will still be the Executive that negotiate FTAs, but Parliament would get a yes/no vote on the negotiating objectives and, importantly, on the final draft agreement, as happens in the US and Japan. Not only has such a provision not ended up in the Bill, but the Government’s position has seemingly reverted to us having less scrutiny than we had as a member of the EU. For the past 40 years, the EU has negotiated our trade deals, and as part of the EU scrutiny process, a yes/no vote would be taken by the EU Parliament on the draft FTA, prior to signature.
ParlaMint-GB_2020-07-20-commons.u381	Does my hon. Friend welcome the commitment from our Government on welfare and the environment, and all the conditions in the Bill? Does he find it somewhat confusing that the Government will not accept new clause 4? Surely scrutiny is fine, because they are going to do exactly what they said they will do.
ParlaMint-GB_2020-07-20-commons.u382	I absolutely agree. In January 2018, on Second Reading of the 2017-19 Bill, the then Secretary of State stood up and said that he would be looking for a new approval process and take soundings on that, but that has simply not happened. As things stand, there is no longer a parliamentary veto, and no formal scrutiny committee has yet been established, despite US negotiations having started The important point of a parliamentary veto is not that it is often used, but rather, as seen in other Parliaments, that it encourages the Executive to seek consensus on their negotiating mandate, and keeps legislators in touch during negotiations through regular discourse and discussion. A wise Executive will naturally wish to avoid an unnecessary bust-up just before signing an FTA. Of course, that is where it all went wrong with the TTIP negotiations between the US and the EU, because the US Congress and the EU Parliament were disclosing information to their respective elected representatives that was not provided to UK parliamentarians.
ParlaMint-GB_2020-07-20-commons.u383	My hon. Friend is mentioning very large trade deals. Does he mean that the crux of this oversight is really required with those big trade deals, such as those with the US, China, and the Trans-Pacific Partnership?
ParlaMint-GB_2020-07-20-commons.u384	New clause 4 does deal with all trade deals, but obviously the amount of scrutiny would be proportionate.
ParlaMint-GB_2020-07-20-commons.u385	I rise to speak to new clauses 17 and 11, and on the principles of workers’ rights, national health service protection, and environmental and human rights. First, in relation to workers’ rights, we could not imagine a trade deal with such a country as Colombia when we know that the International Trade Union Confederation rates it as the most dangerous place to be a trade unionist. That means that the lives of many Members in the Chamber, who may be members of a trade union, could be at risk. To begin a trade deal with such a country without even mentioning workers’ rights seems to me to be absolutely ridiculous The problem with the Bill is how silent it is. It is silent on workers’ rights, as I have said. It is silent on the real protection of the NHS. We have had some reassurance on the NHS, but in particular I am worried about medicines and the cost of medicines, and about our data. We know that the national health service, unified as it is, provides the most fantastic data for research and for pharmaceutical companies. My fear is that, if we do not have more protection in the Bill, it will be open to those companies, through whichever country they are based in, to have a kind of values-free trade negotiation, which we as MPs will not be able to scrutinise effectively, and they could end up using our data, which, given the extent, longevity and detail of that data, is probably the best health data in the world. I therefore seek reassurances from the Minister on that specific point On environmental concerns, in leaving the European Union, we are leaving the gold standard of environmental protections, but it would be easy to write that protection in and lead on that in this Bill. Instead, the Bill is almost values free in terms of the importance of the environment. After covid, climate change and dealing with the climate emergency are probably the biggest concerns of our generation Many Members have mentioned the gold standard of food. I would also say that not everybody can afford to shop at Waitrose, which is the supermarket that has said that it will not buy low-quality goods. Many people will not be able to afford not to buy the cheapest food, particularly following the economic crash we are entering, the worst recession for 200 years, so we have to see the Bill in that context.
ParlaMint-GB_2020-07-20-commons.u386	Does my hon. Friend agree that many people who go to restaurants or to fast-food outlets will have no way of knowing the provenance of the food that they are consuming? It is not simply a matter of labelling in the supermarkets.
ParlaMint-GB_2020-07-20-commons.u387	My hon. Friend makes such an important point. It is one that I will not repeat On the question of our role in this place, surely the past four years have taught us that people want us to be here to make these decisions. Tucking away a bit of legislation in the Library for 21 days is not what we are here for, and nor is running upstairs to an SI when we are in the middle of all-party group and all the rest. We need to have proper scrutiny in this place and the Select Committee needs to have an enhanced role. Having enjoyed my time on the International Trade Committee, I feel very strongly that it should have a key role in ratifying the role of the Trade Remedies Authority Commissioner. If that six-month commission continues, the Committee should also have a role in appointing its head. I will be lobbying very hard with colleagues who represent very rural seats—unlike Hornsey and Wood Green, which is one of the most urban seats—to have a proper commissioner continue in that role. Why have it for six months; let us have it forever. Let us have the International Trade Committee ratifying those two appointments. Let us also have a trade union voice and an industry voice on the TRA. If there is one thing that we have learned from covid, it is how well the TUC has worked and how well the CBI has worked together. They have led our Government and told them what to do on covid. Why cannot they do that with the Trade Bill We can get on. We can move forward together, but we must try to militate against this strong executive model that we have been saddled with by having these other checks and balances in place. We can do that through this Bill tonight and by supporting the sensible cross-party clauses, which share a lot of support. Let us try to enjoy that consensus building because we are in a new chapter. Let us not spoil it by having an inferior Trade Bill that is silent on the key issues of the day that concern us, be they human rights in China, environmental standards, which we have had a legacy of from our 40 years in the European Union, or the important question of what we are doing here as MPs.
ParlaMint-GB_2020-07-20-commons.u388	It is an honour to follow the hon. Member for Hornsey and Wood Green (Catherine West). The Bill is an opportunity for us to take a nimble approach to doing business for the future for our country. I say an “opportunity”. In listening to some Members tonight, I see it as probably a hindrance, because they will seek every opportunity to frustrate the Bill and to make it more difficult to drive it through. There is talk of reporting back on every single deal that is being done. I am not an advocator of playing cards or anything like it, but definitely that is showing your full hand, which is not a wise thing to do. I am not saying that you should be playing poker, but I have been in business and I know what it is like: you do not let your enemies, or those with whom you are doing business, know what you are doing, and you can work out a deal every way However, we have concerns about many areas. We have had a very strong lobby in relation to our agrifood and agricultural industry, especially from those involved in the fishing industry.
ParlaMint-GB_2020-07-20-commons.u389	Does my hon. Friend agree that our fishing industry similarly needs the Trade Bill, to show our strength of purpose and ability to stand outside EU rules and regulations and stand upon the quality of goods and services we are ready, willing and able to provide throughout the world? The fishing sector can grow if it is given the opportunity.
ParlaMint-GB_2020-07-20-commons.u390	I agree with my hon. Friend about our fishing industry. We have a fantastic product. I have eaten in many countries around the world, and I understand why they would want to buy Northern Ireland produce—it is the best in the world. You will know that if you have had a soda farl from Northern Ireland; I know of some previous Secretaries of State who can bear that out We have had the agrifood sector lobbying us. Many in our farming sector lobbied us about changes that they wanted to be made to the Agriculture Bill, which went through the House recently. We see this as a second opportunity to give protection. I understand that some say we already have protection within legislation. I do not always say that it is important to gold-plate things, but sometimes we have to reinforce the stance that we are taking. That has to happen, and it is important that we support our farmers.
ParlaMint-GB_2020-07-20-commons.u391	Does my hon. Friend agree that the devolved Administrations play a key role in any future trade policy, and that given Northern Ireland’s dependence on agriculture, it is vital that this Government listen to the devolved regions?
ParlaMint-GB_2020-07-20-commons.u392	I am a great Unionist. I believe that we are part of the United Kingdom and we should be working together to ensure that we get the best bang for our buck, to use an American term, as a United Kingdom. That is vital We already have protection in some areas. I come from an engineering background. We lead the world in electrical standards. Many other countries manufacture a lot more, but we lead in electrical safety. We set those safety standards. We make sure that goods coming into our country are made to those standards. Sony makes the monitors that we have in the Chamber. It makes specific monitors that are only for the UK, because we have such stringent electrical standards. It has the flexibility to do that. There are farms in Europe and throughout the world that make food to sell into our market that is bespoke, just to suit our market. That can be done, and it is being done. I want to make sure that we give our farmers and our industry an opportunity to export on to the world stage, so that our product is sold. We can use this Bill to do that.
ParlaMint-GB_2020-07-20-commons.u393	Northern Ireland farmers export to 70 countries in the world, many of which have lower standards than the rest of the United Kingdom. The goods are valued because of the standard of the product. Apart from the fact that there will be a requirement to change primary legislation, is that not yet another indication that there is no incentive for us to lower standards, because we would lose those markets that we are exporting to?
ParlaMint-GB_2020-07-20-commons.u394	I agree with my right hon. Friend. We do not want to lower our standards. We do not want a race to the bottom. We want to bring others up to the standard that we have set. We have set the bar fairly high, but by setting the bar so high, we have additional cost, which makes it more difficult for us to compete on the world stage. It is vital that we address that through whatever measures we have to put in place, with subsidy for our farming, to ensure that our product is still viable and economically possible for the housewife to buy—I used the wrong term; I apologise. We have to ensure that those who are buying their basket of fruit in a supermarket will be able to get the best value for it I support the Bill, but I also support new clauses 4 and 7, because they address some of the concerns that we as a nation have and Northern Ireland in particular has.
ParlaMint-GB_2020-07-20-commons.u395	It is a great pleasure to speak after the hon. Member for South Antrim (Paul Girvan). Agriculture and fisheries are very important in this country, including in Northern Ireland, and as we go forward and do trade deals, family farms and family fishing are important.
ParlaMint-GB_2020-07-20-commons.u396	The standards, protections and rights that we have all come to enjoy are put at risk by this Bill. The rules that govern trade must strike at the heart of the values that we expect of ourselves and each other. Trade policy must therefore be transparent and subject to thorough parliamentary scrutiny, and it must respect all the nations of the UK. On that, the Bill fails Now more than ever, as this country builds back better, we must ensure that the health of people and the planet are protected; that standards, workers’ rights and welfare rights are raised; and that our society becomes more resilient and sustainable. There can be no rolling back of rights, no undercutting of protections, no selling-out of our values and no compromise on standards At a time when we face so many crises—on three fronts: health, climate and the economy—all aspects of Government policy must be aimed at mitigating and eradicating those crises. However, despite the rhetoric, the Government yet again fail. Neither the environment nor climate are even mentioned in the Bill. The world’s poorest already bear the heaviest burden of climate breakdown. Trade policy must be rebalanced, putting justice and fairness at the heart of future agreements. There must be recognition from the Government that their lax approach on the environment in trade policy will lead to the promotion of cheaper but drastically higher-carbon and poorer-quality imported goods. That is bad for business, bad for people and bad for jobs, with UK producers, creators and innovators being undercut, and it will be a disaster for our environment First and foremost, the UK’s future trade agreements must be compatible with our commitment to keep global warming to a maximum of 1.5°C by the end of this century. Trade policy must have embedded at its legal core the Paris climate agreement and the UN sustainable development goals. Only then can we guarantee a base commitment over trade policy that will be legally binding and will work progressively towards the kind of high recovery that we desperately need The Bill is also detrimental to food standards, the future prosperity of the UK’s agriculture sector and animal welfare rights. This is the week of the Royal Welsh show, when farmers and food experts come together in Llanelwedd to celebrate our great produce. Those farmers have really helped to put food on our tables during this crisis, but the Bill does nothing to help them—it will only weaken them. Despite UK Government promises to farmers and food producers that we would accept no watering down of standards, the Government continue to pursue the prospect of agricultural market access for the United States, where we know quality falls well below that of the UK. A selling-out of our farmers and appeasement over action—that is what we get with this Government This is window-dressing scrutiny while Government machinery continues to proceed down the same calamitous path. Far from handing power to Wales, the Bill will hollow out the right to regulate the standard of goods.
ParlaMint-GB_2020-07-20-commons.u397	It is always unsettling when I speak in the Chamber and my colleagues seem to leave and the Whips come in. I reassure them that I am on their side this time. I commend the Bill in its entirety. I listened carefully to Members from across the House as they raised concerns over food standards and scrutinising the quality of our trade deals, but we must take the Bill alongside the Environment Bill and the Agriculture Bill, and the Fisheries Bill when it comes through this place. The Agriculture Bill took the steps that many in this House and in this debate have been calling for. On welfare standards, the Government have moved to a position where they are performing a consultation on labelling, which I assure hon. Members does not yet go far enough for me; I will be hot on their heels in making sure that we have an extensive labelling system for agricultural produce that is sold in the UK and that goes through restaurants and supermarkets However, the Government have also committed to a commission—I agree with my hon. Friend the Member for Tiverton and Honiton (Neil Parish) that its six-month remit should be extended—which actually gives us the opportunity to scrutinise and to uphold the standards of our food and the welfare standards of our imports. That is important, and I do not think it can be expressed enough. It is what the NFU called for and it is what the NFU got, which we should be very clear about. That commitment is there in black and white in the Agriculture Bill, and it is exactly what the Opposition want, so to keep going on and on that we are lowering our standards is a fallacy Ladies and gentleman—sorry; Members, if I may—
ParlaMint-GB_2020-07-20-commons.u398	I think the hon. Gentleman means “Madam Deputy Speaker”.
ParlaMint-GB_2020-07-20-commons.u399	I beg your pardon, Madam Deputy Speaker Reading the Bill and looking at the amendments, I see that one of the benefits is recognising the export potential. We are trying in my constituency to take the benefits of Brixham fish or oceanographic technology manufactured in Totnes and export it across the world and open up new markets for it. The Bill allows that I am afraid that my colleagues from Northern Ireland pipped me to the post by mentioning the fishing sector, but there is a huge opportunity in the Bill. We can now open up new markets in the far east. The Bill allows us to do that, and we must support it in its entirety. I should also add that in doing so, we can start allowing ourselves to strengthen the Union I have listened to Members from Wales, Scotland and Northern Ireland talk about their produce and exporting it around the world, and it is time to revamp and strengthen the Board of Trade, listening to what is the best of each of those areas and then helping export it to the international community. That will not only strengthen the Union, which I am sure all Members of the House will agree about, but allow us to be able to reach those markets.
ParlaMint-GB_2020-07-20-commons.u400	Does the hon. Gentleman believe that weakening devolution and taking back powers from the devolved Administrations means strengthening the Union, because I do not?
