ParlaMint-GB_2020-12-15-commons.u1	What steps his Department is taking to support the development of hydrogen energy.
ParlaMint-GB_2020-12-15-commons.u319	It is a pleasure to be called to speak in this debate. I will speak particularly to new clause 1 and new clause 2 because, as my hon. Friend the Member for Stone (Sir William Cash) said, this is a matter of sovereignty. I am very keen to explore where sovereignty ends and international law starts, and that is right at the heart of those new clauses, I guess We have made reference several times in these debates to section 38 of the European Union (Withdrawal) Act 2020, where it says that, “the Parliament of the United Kingdom is sovereign.” If that is the case, and I accept that it is the case in areas of our jurisdiction, is there a need to reiterate it in every piece of legislation, or is it simply a fact that Parliament is sovereign My hon. Friend has rightly stated quite clearly that the UK Parliament has a general power to override treaties, but I am very keen to understand how that works in the sphere of international treaties, particularly in terms of trade agreements. As I quoted in my intervention earlier, there was a case between Mexico and the US, settled in 2009, where a US company, Cargill, took the Mexican Government to court on the basis that they had breached the general agreement on tariffs and trade regulations of 1994. The Mexican Government had applied some punitive tariffs on soft drinks coming from the US, produced by Cargill and other companies, which effectively blocked access to the Mexican market.
ParlaMint-GB_2020-12-15-commons.u320	Let me respond briefly. This provision is really going to apply only where there is an impugnment —an infringement—of sovereignty itself. In this case, the entirety of our leaving the EU, as is well understood by the EU and provided for by article 50, and which we have done lawfully, demonstrates that when the EU and the remainers start prattling on about the idea that somehow or other we should do it on their terms, which is the basis on which the whole thing was constructed when the negotiations began, however many years ago it was—I cannot quite remember, as it seems so long ago—we see that the bottom line is that they have acted in bad faith. That is the problem. If it were not for that —we had reasonable negotiations—we probably would not be having to discuss these matters now. Most recently, we have seen that over the state aid rules, with their saying, “We’re going to punish you if you don’t do what we want.”
ParlaMint-GB_2020-12-15-commons.u321	I am grateful for my hon. Friend’s intervention. I have great sympathy with his points. The difficulty is that when we are in an international agreement, there is a judgment as to whether they are “acting in bad faith” or “prattling on”, and they are subjective judgments he makes. All international trade agreements need an independent body to decide who is breaching the agreement. If Parliament is simply sovereign and is able to say, “In our judgment, you are breaking the agreement”, all trade agreements would fall apart. We saw that in the case of the Mexican Government and the breaching of the terms of GATT, where that judgment was made unilaterally. The independent body, which was the arbitration council of the North American free trade agreement, settled the dispute. That is an international body; it is not subject to one national jurisdiction or the other. There has to be someone who adjudicates; we cannot simply have national sovereignty making a judgment on these points. That is why we have these investor-state dispute settlement bodies.
ParlaMint-GB_2020-12-15-commons.u322	All too often in international trade agreements it does come down to power and sovereignty. President Trump has regularly used national security as a good reason to impose tariffs and override World Trade Organisation rules. The EU, for years, ignored state aid rules to promote Airbus. I can perfectly understand what it was trying to do. It took a long time to catch up with it and in practice the damage, from the WTO point of view, was done.
ParlaMint-GB_2020-12-15-commons.u323	Therein lies the difficulty, does it not? As soon as a nation, however powerful, is allowed to make a subjective judgment, it leads to international chaos. We can have international agreements that people sign and adhere to, with independent resolution. My point is that as soon as we have done that, we have handed over the settlement of the issues and disputes to another body, and we are, in effect sharing some of our sovereignty. We do not have total sovereignty at that point. We have sovereignty to sign the agreement and to exit the agreement, but I cannot see how using sovereignty to override an agreement works. I think it would result in chaos.
ParlaMint-GB_2020-12-15-commons.u324	This is about when the issue of the override is to do with sovereignty itself—that is the point. That is why this matter is essential. That is why international law actually recognises it, in article 46. My hon. Friend the Member for Bromley and Chislehurst (Sir Robert Neill) accepted that, as, indirectly, did Lord Judge, on this Bill. So, for practical purposes, I have quite a lot of support, even from those who originally opposed my proposals.
ParlaMint-GB_2020-12-15-commons.u325	The trouble with new clause 1 is that it says the provisions have effect “notwithstanding any relevant international or domestic law” Subsection 2(g) states that that means “any other legislation”. This Parliament’s decision would affect any other legislation, and so this is an overarching amendment. The key thing is that we would all agree that international agreements and free trade are important, and we need to make sure they are fair on all parties subject to those agreements. We must not forget that this is a two-way street. We want the other signatories to these trade agreements—be it Canada, Japan, the EU or whatever—to adhere to these agreements as well. It is not just about the UK heading into these agreements. We partly do that through the agreement itself, of course, but also through the soft power that the UK holds and the respect that people have for the United Kingdom There are some special circumstances regarding the withdrawal agreement, because there were two sides to the coin. Yes, there were the commitments that we made under the withdrawal agreement and the Northern Ireland protocol, but there was also the EU’s commitment to use its best endeavours to deliver an ambitious free trade agreement. As Members on both sides of this Chamber have said, there is no doubt that some of the things that the EU has done over the past few months have indicated that it was not using its best endeavours and that it was acting in bad faith, particularly on things such as requiring exit summary declarations for products manufactured in Northern Ireland and then shipped to the rest of the UK. That is simply unacceptable. As the right hon. Member for Leeds Central (Hilary Benn) said, what on earth would the EU do with these things if we exported them from Northern Ireland to the rest of the UK? Describing all goods that went from Great Britain to Northern Ireland as “at risk” would also be simply unacceptable. I was very pleased that those key issues were resolved last week. It largely went by without notice or recognition from many Opposition Members and some parts of the media. New clauses 1 and 2 are interesting. I will not be supporting them, but I will be supporting the Bill.
ParlaMint-GB_2020-12-15-commons.u326	It is a pleasure to see you in the Chair again, Mr Deputy Speaker When I put my name down to speak in this debate, I guess I did so more out of intrigue than expectation, given the shenanigans and the boorach of last week. We all saw what unfolded over the Ways and Means resolutions, the Bill coming 24 hours later and then off to Committee of the whole House, where nothing changed whatever. A week later, here we are on Report, with, as far as I can see, a very clear likelihood that the Government’s Bill will move forward without a single change, despite the best valiant efforts of the hon. Member for Stone (Sir William Cash) and his desire again to get the Government to break international law In that regard, I must pause and reflect; I find it utterly fascinating that, despite getting what they appear to want, Members of this Parliament who have—from what I have heard—seemingly spent their entire lives working towards the political cause of leaving the European Union still seem thoroughly unhappy. I take a little bit of joy in knowing that they are so bitterly disappointed that even their friends in the Government still refuse to do just what they want. Now, I cannot be the only one who has looked at Twitter, and it appears that there may well be a breakthrough in terms of an EU trade deal. I do not know whether the Minister is sighted on the developments on this occasion, because I do not think he was last week, but I do not think that I am overreaching or overstepping in any way, shape or form to suggest that, although that may be the case, the hon. Member for Stone may still be unhappy.
ParlaMint-GB_2020-12-15-commons.u327	Will the hon. Gentleman give way?
ParlaMint-GB_2020-12-15-commons.u328	Of course I will let him intervene.
ParlaMint-GB_2020-12-15-commons.u329	I am so glad. I can only say that, actually, sovereignty is not just a theoretical concept; it is a practical necessity. It is on the basis of that that we are able to enter into arrangements internationally that are justified by our own terms of reference. The problem with the EU is that it wants to impose its terms of reference, and it never wanted us even to be able to compete with it as a third country after we had left. But it could not deny that it was lawful, so it resorted to all these other obstructions.
ParlaMint-GB_2020-12-15-commons.u330	I admire the hon. Gentleman’s repetition, but ultimately, when it comes to sovereignty, there is only one sovereignty that I am interested in: the sovereign will of the people of Scotland. When we look at the European Union in terms of sovereignty and the will of the people of Scotland, our views have been completely ignored. The people in my constituency voted overwhelmingly to remain. Aberdeen city as a whole is projected to be the hardest hit city in the entire UK as a result of Brexit, irrespective of whether we get a deal or not. Although I do not want to encourage the hon. Gentleman any further, I simply cannot understand the premise of his argument—that he is willing to break international law and is talking about sovereignty, while simultaneously rejecting the sovereign will of the people of Scotland.
ParlaMint-GB_2020-12-15-commons.u331	Will the hon. Gentleman take one last intervention?
ParlaMint-GB_2020-12-15-commons.u332	No, the hon. Gentleman has had plenty of opportunities to intervene and, indeed, speak today, and I think I will be doing everyone a favour if I just continue. I see that the Minister is laughing as well On the purpose of the Bill, I would like to reflect on the comments of the shadow Minister, the right hon. Member for Wolverhampton South East (Mr McFadden), because what he said was incredibly important. I apologise if I am misquoting him but I think he talked about the Bill hovering as a threat. That is an important point to reflect on, particularly as we look at what was being undertaken last week and the entire process that we have gone through I want to conclude, because I am aware that I am close to havering, and in Scotland, when someone starts doing that, they should probably sit down. As we look forward to what the Bill will do for online sales and the level playing field that it will create on VAT sales, which is important—I see the hon. Member for Thirsk and Malton (Kevin Hollinrake) nodding his head, and it is worth repeating that we agree on this point—we know that that level playing field should go further, because Northern Ireland will, in effect, have a beneficial agreement compared with anywhere else in the United Kingdom, be that Wales, England or Scotland. The level playing field that the Government are putting in place for online sales should also apply to Scotland to help our ability to access EU markets, and I would encourage the Minister to reflect on that point.
ParlaMint-GB_2020-12-15-commons.u333	I rise to speak to new clause 3 and amendments 1 and 2. Three years ago, we were given the advice that this deal was going to be the “easiest in human history”. As we have just heard in the past hour or so, it is not quite as easy as some expected, and here we are with just 16 days to go. I appreciate that the Government are trying to manage expectations by talking about no deal, but in the last 30 minutes or so there has been lots of speculation online about whether a deal may have actually been struck Yesterday, I was listening to someone from an independent freight haulage company based in Nuneaton in north Warwickshire, and they were saying how frustrated they were by the lack of clarity coming from the Government. They were talking about the 300% to 400% increase in paperwork that they were expecting, the mixed messages from the Government, the fact that they had had to invest in new software and the fact that the lorry parks were not ready. I guess this is why the amendments and new clause 3 that my honourable colleagues have tabled, which I support, are so important. Being so close to the end of the transition period, we urgently need clarity for our businesses We on the Labour Benches just want to get a deal done, contrary to what is being said by some in the Chamber, because at the end of the day this is all about ensuring that our businesses have a prosperous future—have a future, indeed—and that we protect people’s jobs and livelihoods. That is why no deal would be absolutely desperate for so much of our economy, particularly in the wake of the pandemic. Like my right hon. Friend the Member for Wolverhampton South East (Mr McFadden), I really do not understand why it has taken so long for this Bill to be published. It seems that the Government were holding it back as one of their cards—maybe again threatening to break international law and damaging our reputation—but businesses cannot plan on that basis. They cannot work on a last-minute approach. That might work in negotiations in the political sphere, but it has been damaging for business. Rather than having messages such as a “check, change, go”, they have been demanding the substantive advice from the Government which, sadly, businesses across my constituency have not been receiving. I spoke earlier to one of those businesses—a retailer and importer—and it said, “This is utter chaos. We desperately need clarity and urgency, so that we can start planning, but at the moment we cannot get hold of the goods that we’re going to be able to sell in the first quarter of next year.” I understand what the right hon. Member for Wokingham (John Redwood) said about UK sovereignty, but the quid pro quo is about access to markets and obligations. I liken it to how businesses have to work. If they want to be in the app market and use the Apple platform, they have to pay to be part of that. If they want to be on the Sony PlayStation platform, they have to pay to access that. It is the same with the European market.
ParlaMint-GB_2020-12-15-commons.u334	Does the hon. Gentleman not understand that, from 1 January, the EU and the UK are both full members of the World Trade Organisation, which does not allow its members to charge to trade, controls what tariffs can be levied and says to each of its members that they have to offer most favoured nation status to any other member of the WTO? That is how we do our trade with the whole of the rest of the world, which is bigger than our trade with the EU. Why can we not do that for everything?
ParlaMint-GB_2020-12-15-commons.u335	Our biggest and nearest customer is the EU. It is a critical customer and supplier to so many businesses in the UK, particularly in our manufacturing sector Let me briefly turn to the Northern Ireland protocol. We were told that there would be no checks, but as of last week, we have seen the need to implement new checks and controls for goods moving from Great Britain to Northern Ireland and, to a lesser extent, from Northern Ireland to Great Britain. The Government have said rather vaguely that a significant majority of internal UK trade will be tariff-free. I would be interested to know what assessment the Government have made of the precise percentage of GB-Northern Ireland trade that will be and the volume and value that will be subject to tariffs That is why these amendments are important. They are aimed at injecting urgency, with just 16 days until the transition period ends. Businesses want clarity and certainty, and they need it urgently. The intention of new clause 3 and amendments 1 and 2 is simply to demand that the Government make clear when they will propose the secondary legislation flowing from the Bill, to help those businesses. The Food and Drink Federation has said that the guidance is being published too late, and 43% of its members that supply Northern Ireland have said that they will not be able to do so in the first three months of next year. Our amendments are very similar to those proposed and, sadly, voted down in Committee. They are vital to assist our businesses and are business-friendly, as the Opposition are I cite the disruption that we are in danger of allowing. We have seen what happened with Honda—one of the most efficient companies on the planet. That should be the canary in the mine. If Honda is not able to get parts from its supply chain here to the UK, what hope is there for small and medium-sized businesses across the UK? Whether they are a clothes retailer or a car manufacturer, they just want clarity and certainty. They want an uninterrupted supply of goods into the first quarter of next year. Given the damage already done by the pandemic, we cannot afford further economic disruption. The Government need to move swiftly. That is why new clause 3 and amendments 1 and 2 are so important, and that is why I am supporting them.
ParlaMint-GB_2020-12-15-commons.u336	I am grateful to everyone who has contributed to the debate. I will address the proposed amendments and then come to the specific points that have been raised New clauses 1 and 2, tabled by my hon. Friend the Member for Stone (Sir William Cash), would, if adopted, mean that the provisions in the Bill would apply notwithstanding any domestic or international law. The House will be aware that on 17 September, the Government set out that Parliament would be asked to support the use of so-called “notwithstanding” provisions in clauses 44, 45 and 47 of the United Kingdom Internal Market Bill and any similar subsequent provisions in a Finance Bill, but only in circumstances where the fundamental purposes of the Northern Ireland protocol would be undermined. Only in those circumstances would Parliament be asked to support the use of so-called “notwithstanding” provisions, as described.
ParlaMint-GB_2020-12-15-commons.u337	We do not really know exactly how the Northern Ireland protocol is going to be interpreted, nor do we actually know its full content, and the Chancellor of the Duchy of Lancaster is declining to appear before my Committee to explain it.
ParlaMint-GB_2020-12-15-commons.u338	What we do know is that the agreement was reached by the Chancellor of the Duchy of Lancaster acting for the Government on a duly legitimately and democratically elected basis in the exercise of our national sovereignty, and that should, I think, be enough for my hon. Friend These clauses were previously introduced as reasonable steps to create a safety net so that the Government would always be able to discharge their commitments to the people of Northern Ireland in the event that a negotiated outcome could not be reached in the Joint Committee. Following intensive and constructive work over the past weeks by the UK and the EU, the Government have now reached an agreement in principle on all issues in relation to the protocol on Ireland and Northern Ireland. This is an agreement that discharges the Government’s commitment to the people of Northern Ireland to ensure that there are no tariffs on goods remaining within the UK customs territory As part of the agreement, the Government committed to removing the notwithstanding provisions in the United Kingdom Internal Market Bill and not to introduce them or any similar provisions in this Bill. As was noted by the Chancellor of the Duchy of Lancaster in his statement to the House last week, in view of the agreement these provisions are no longer required. On that basis, I hope the House can agree that new clauses 1 and 2 are unnecessary New clause 3 and amendments 1 and 2 tabled by the Opposition would, if adopted, require the Treasury to publish guidance setting out its proposed approach to any reliefs, repayments and remissions for which the Bill allows provision to be made. The provisions contained within the Bill ensure that the Government have the flexibility they need to establish the framework for such reliefs, repayments and remissions. Details of any policies along these lines would be announced in due course, and HMRC will publish detailed guidance providing certainty to traders and businesses, as is its normal procedure. For this reason, putting such additional provisions in the Bill is unnecessary, and therefore I urge the House to resist these amendments New clause 3 would, if adopted, require the publication of various reports setting out the timeframes in which the customs duty charges contained in clauses 1 and 2 would be implemented as well as the factors taken into account when using these powers. The provisions contained in clauses 1 and 2 allow the Government to establish customs charging provisions to support the practical application of article 5.1 and 5.3 of the protocol and to deal with the movement of goods from Northern Ireland to Great Britain. This is important legislation, which will ensure that the Government are able to implement the Northern Ireland protocol as required in UK law ahead of the end of the transition period. The regulations that set out the detail of the charging regimes will be laid after the Bill receives Royal Assent This Bill thus provides the framework, and the detail will be provided alongside the relevant regulations. When bringing forward regulations the Government will also provide explanatory material in the usual way If I may, I will now turn to some of the questions raised by Members who spoke in the debate. The right hon. Member for Wolverhampton South East (Mr McFadden) encouraged the Government to get a move on; as he will know, the Government have been proceeding extremely rapidly and energetically in this area ever since the issues first arose. He also asked about guidance, and of course he is right that in the normal course of these things guidance will follow the publication of the Bill, but he also ought to be aware that the guidance that will be published follows the Northern Ireland protocol and the Command Paper and that in relation to other matters, which is what I was referring to, the House has seen customs guidance on 7 August, the trader support service launched on 20 September, guidance on VAT and excise on 26 October, and a whole host of other information designed to support traders and others involved in these changes The right hon. Gentleman asked what new systems are being put in place, as did my right hon. Friend the Member for Wokingham (John Redwood), so let me respond on that. My right hon. Friend will be aware that, in terms of the agreement for at-risk and not-at-risk goods, there is a requirement for there to be genuine and substantial use for the goods to be classified as at-risk. HMRC expects there to be up to 11 million declarations in relation to trade between Great Britain and Northern Ireland, and the Customs Declaration Service, which has been put in place, has a minimum viable product up and running as we speak The hon. Member for Glasgow Central (Alison Thewliss) referred to hokey-cokey clauses, but of course the clauses have never been included. They were themselves a response to a perfectly plain concern, which every Member of the House should feel, that, as matters stood, even a bag of salad would be considered an at-risk good, a consequence of the previous understanding that was patently absurd and which has been removed by this change. The hon. Member for Warwick and Leamington (Matt Western) talked about a last-minute approach, but I would remind him that when this point, or this attempted point, was made by the shadow Chief Secretary, the hon. Member for Houghton and Sunderland South (Bridget Phillipson), I asked her if she could recall a single occasion when the EU had ever failed to negotiate except at the very last minute of a negotiation, and she was unable to point to such a case. That is, I think, the principal reason why we are in the position that we are in With those remarks, I would urge the House to resist these amendments.
ParlaMint-GB_2020-12-15-commons.u339	We have had an interesting debate and, as far as I am concerned, the Government had originally proposed putting these clauses in the Bill itself. I personally think that they will find, in due course, a necessity to have something that is on exactly the same lines, and the same applies to the UKIM Bill. However, in the circumstances, because I want this Bill to go through, I beg to ask leave to withdraw my new clause. I just simply say: sovereignty is indivisible Clause, by leave, withdrawn. New Clause 3 Treasury use of powers “(1) The Treasury must, within four working days of the day on which this Act is passed, publish a report setting out the timeframe within which it will use the powers to make regulations conferred by— (a) section 40A(2) of TCTA 2018; (b) section 40B(1) and (2) of TCTA 2018; (c) section 30A(4) of TCTA 2018; (d) section 30B(1) and (3) of TCTA 2018; (e) section 30C(5) of TCTA 2018; and (f) section 5(2) of this Act (2) The Treasury must publish an annual report setting out how it has made use of the powers referred to in subsection (1) (3) Each report under subsection (2) must include an assessment of— (a) what considerations the Treasury made when deciding to use its powers, and (b) the impact of the regulations on individuals and businesses throughout the UK, and specifically in Northern Ireland.”—(Mr McFadden.) Brought up, and read the First time. Question put, That the clause be read a Second time.
ParlaMint-GB_2020-12-15-commons.u340	I beg to move, That the Bill be now read the Third time We have had some good debates in the course of the Bill. I thank right hon. and hon. Members for their contributions, but there are two in particular whom I would like to thank. First, the right hon. Member for Wolverhampton South East (Mr McFadden) has truly been the workhorse of the shadow Front Bench throughout the Bill. For a shadow Economic Secretary, as he is supposedly designated—he should of course be much higher—he has done a wonderful job, and I salute him for it. Secondly, I thank my hon. Friend the Member for Stone (Sir William Cash), who is sadly no longer in his place. I think he should be referred to as the ancient mariner of Brexit. As you may recall, Mr Deputy Speaker, Coleridge says: “It is an ancient Mariner, And he stoppeth one of three ‘By thy long grey beard and glittering eye, Now wherefore stopp’st thou me?” Although my hon. Friend does not, tragically, present us with a long grey beard, he has something of a glittering eye where matters of Brexit are concerned. We can only salute the energy and indefatigability with which he has attacked the topic over many years, while perhaps devoutly hoping that this may be the moment at which, at the end of this year, a hiatus or pause may be reached In just over two weeks’ time, the transition period will end. The UK and its tax system must be ready to support the smooth continuation of business across this country. In that regard, the Bill is a cornerstone of those preparations. In addition, it will play an important part in helping to implement the Northern Ireland protocol and to safeguard the Belfast/Good Friday agreement. It introduces a framework for charges on goods arriving in Northern Ireland and enables the Government to put in place decisions made by the Joint Committee for goods deemed to be at risk of moving into the EU. It also includes mechanisms to ensure that, in so far as is possible, VAT will be accounted for in the same way as it is today in Northern Ireland. Let me once again assure the House that HMRC will remain the tax authority for the whole of the UK, and let me remind hon. and right hon. Members that businesses will continue to submit only one UK VAT return to account for VAT on all supplies of goods and services. The Bill also amends current legislation for excise duty to be charged when excise goods are removed to Northern Ireland from Great Britain, as required by the protocol. However, that does not mean additional costs for Northern Ireland businesses and consumers, because the Government will be introducing a mechanism to offset any excise duty already paid on those goods in Great Britain The Bill introduces a small increase in the rate of duty on aviation gasoline, which will apply across the UK to ensure consistency between Great Britain and Northern Ireland. Finally, the Bill includes a small number of other taxation measures, including measures to ensure the Government retain their ability to prevent insurance premium tax evasion.
ParlaMint-GB_2020-12-15-commons.u341	I think the Minister needs to be a little more forthcoming. What is the EU’s enforcement mechanism if it thinks UK authorities have not fulfilled the remit? What percentage of trade are we expecting to be caught up in this double jurisdiction?
ParlaMint-GB_2020-12-15-commons.u342	As I have already said to my right hon. Friend, without venturing a percentage, the test for at-risk goods is those where there is a “genuine and substantial risk”, and therefore those are expected to be a smaller proportion of goods, but trade of course is a flexible and ever-changing thing, so whatever numbers there are may change over time My right hon. Friend also asked a question about the EU. I am not going to speculate on what the EU does, but I can assure him that there will be no EU customs, embassy or the like and no joint control over customs in Northern Ireland. HMRC will remain the tax authority for Northern Ireland, as it is for the whole of the UK The Bill also includes new powers that will enable HMRC to raise tax charges under the controlled foreign companies legislation for the period 2013 to 2018. Lastly, to help level the playing field for UK businesses, the Bill also moves VAT collection on certain imported goods away from the border and removes VAT relief on low-value consignments to clamp down on VAT abuse and to protect our high streets The Bill gives businesses throughout the UK certainty about the arrangements that will apply from 1 January of next year. Above all, it helps the Government to safeguard what we all prize and desire, or should all prize and desire: the unity and integrity of the United Kingdom. I commend the Bill to the House.
ParlaMint-GB_2020-12-15-commons.u343	I do not propose to detain the House for very long. I thank the Minister for the typically courteous way in which he has led these short debates on the Bill. He has outlined the changes that the Bill makes through its various clauses on customs, VAT, insurance liability and so on, and I do not propose to repeat all that. From our point of view, and as I have made clear all along, we do not oppose the passage of this Bill, because we understand that these changes have to be put in place. The Government reached agreement on the Northern Ireland protocol. We want them to stick to and abide by their agreements as we want the EU to stick to and abide by its agreements, too. Many of the changes in the Bill stem from those agreements. I also reiterate my party’s strong support for the Good Friday agreement and for policies and practices that uphold the spirit and letter of the agreement into the future We have set out our views on the timing of the Bill and the difficulties that the changes it outlines pose for businesses trying to comply with them. The Minister has said it is always last minute with the EU and that it was always going to be like this. I am not sure I fully agree with that. We are asking a lot of businesses with just a couple of weeks of the year left, in the midst of the pandemic and as we are about to enter the Christmas holiday period. I hope that the Minister and the Exchequer Secretary to the Treasury, the hon. Member for Saffron Walden (Kemi Badenoch), who joined him last week, are correct when they say that everything will be in place by 1 January, but I cannot help but reflect at this time of year that perhaps in the minds of many it did not always need to be like this. Perhaps the Prime Minister’s Christmas wish—all he wanted for—was that the German car manufacturers would come riding over the hill and influence the negotiations. I hope that Santa visits all good boys and girls over the Christmas period, but I do not think that that particular Christmas wish of the Prime Minister and many of his colleagues is going to come true. This week, just as last week, one gets the impression that the action is elsewhere. I do not know whether an agreement will be reached in the next couple of days. There has been some rumour and social media chatter that we are heading in that direction over the past hour or so. Time will tell and wisdom would counsel us to wait to see what happens before making any predictions These measures in the Bill are largely a result of the commitments that the Government have made. I hope they are not too burdensome on businesses because at the end of all this—both the Brexit process and the covid period, which we hope to see come to an end through the use of the vaccine—we will have to gather around a process of business getting back to what it does: trading, serving its customers, providing goods and services and helping economic growth to come back to the country. There may be competing visions as to how best that should happen in the future, and what a blessed debate that would be in our politics, rather than some of the issues that have coloured it over recent years. I thank you, Mr Deputy Speaker, and all the Members who have contributed to debates on this Bill.
ParlaMint-GB_2020-12-15-commons.u344	I also wish to thank the Minister and the Opposition Front-Bench spokesperson, the right hon. Member for Wolverhampton South East (Mr McFadden), for the way in which this debate has been conducted, as well as the hon. Member for Stone (Sir William Cash) for his contributions, which were typically detailed. There is one point of detail that I was quite surprised that he missed. I have been saving this up the end, just in the hope that he might have picked up on it. He has waxed lyrical about sovereignty, as he does in every single debate I think he has ever spoken in, but I am quite surprised that he allowed to fly the EU setting the level of taxation on aviation gasoline. The reason that I am quite surprised about that, in the most ludicrous of ludicrous Brexit-based patriotic ironies, is that avgas is the fuel used not just in private and leisure aircraft, as the Minister set out, but in Spitfires, Hurricanes and other similar planes. There is some mad irony in the UK Government handing over to the EU the power to set the taxation on those vintage planes that bear so much patriotism among so many people I suppose that it is typical of the Government’s approach to all of this that there is so much detail in the Bill that we cannot possibly see—
ParlaMint-GB_2020-12-15-commons.u345	Will the hon. Lady give way?
ParlaMint-GB_2020-12-15-commons.u346	Of course.
ParlaMint-GB_2020-12-15-commons.u347	Will the hon. Lady tell us how much extra cost filling a Spitfire with fuel will incur according to this extra avgas taxation?
ParlaMint-GB_2020-12-15-commons.u348	I think the Minister knows well that it is the principle of the EU continuing to set the fuel duty rate, rather than the cost of it. Conservative Members know well about all these principles—they are principles of patriotism that they hold dear. The Minister has allowed this to slide in and he has done very well not to alert their suspicions on it.
ParlaMint-GB_2020-12-15-commons.u349	I think we can all have a patriotism that is rich and bold enough to incur an extra £10 on a 450-litre tank of avgas.
ParlaMint-GB_2020-12-15-commons.u350	I thank the Minister for that detail. If he can tell me the further details on the questions that I have not yet had answered from the previous day’s debate, that would be welcome. I can go through the things that he has not yet answered and have him answer all those, if he has that particular detail to hand. I thank him for that and look forward to letters appearing in my letterbox with the detail at some stage Other letters that have not yet appeared are those from Baroness Davidson and the former Secretary of State for Scotland, who both threatened to resign if Northern Ireland got any special treatment in these negotiations, yet that is exactly what we have as a result of this legislation. As the Chancellor of the Duchy of Lancaster said, it gets the “best of both worlds” in this deal—it gets to be in the EU and part of this Union—and yet Scotland is not getting any of that. Scotland is getting thoroughly ripped off as a result of the deal The Minister talked about strengthening the Union, but the Union is slipping away from the Government’s grasp. By every action that they take in this legislation, Scotland sees further and further how we are being undermined and left behind by this Government. They do not give much of a toss about Scotland—they are pushing their own Brexit agenda, and the rest of us can put up with it The Minister mentioned the additional paperwork that is coming. Northern Ireland in particular is being wound up in a giant Christmas ball of red tape as a result of the legislation. He talked about 11 million extra declarations and paperwork. That is more than 265 additional bits of form-filling that will happen after Brexit. The Government used to talk about getting rid of all the red tape, but in fact they are increasing it. They used to talk about taking powers back from the bureaucrats in Brussels, whereas in fact they are giving them back to bureaucrats in Whitehall, out of sight of this House We still do not know whether the transition period is ending, and with 16 days to go we still do not know what we are going to transition to. This Government have made an absolute mess of the four and a half years that they have had. We have absolutely no confidence in the direction that they are going and, with 16 polls in Scotland now showing support for independence consistently over the past months, we can see exactly where Scotland is going. It should be going there as soon as possible.
ParlaMint-GB_2020-12-15-commons.u351	I have declared my business interests in the Register of Members’ Financial Interests The Bill is a great missed opportunity. It should have been the Bill in which we started to cut and reorganise the taxes, celebrating our new freedoms as we leave the European Union. There is so much good we could do by remodelling and reducing the incidence of VAT, for example, or by having excise duties and tariffs that make sense for British business and for British importers, because we need to balance the two. Instead, it is a rather technical Bill I think it is a pity that this House has not been given a detailed account of what the Chancellor of the Duchy of Lancaster has agreed so far, and a detailed account of what still remains to be agreed, because I believe that there were outstanding issues. On behalf of Northern Ireland within the United Kingdom, we need to know the extent of this possible dual jurisdiction and how it actually works The Minister has kindly assured me on more than one occasion that the VAT regime in Northern Ireland will be the UK VAT regime and will be enforced by normal UK enforcement. That is very good, but cannot be the whole story, because we know that there is this overlapping jurisdiction for certain types of goods. We are still not privy to how big an issue that is. I presume it is a small proportion of trade, but we have not been given any indication of that, and we have not been told—perhaps the Joint Committee has not yet agreed it, or does not want to share it with us yet—exactly how that might work. It is a pity that we do not have more of that detail I am also concerned that we should not get drawn into the state aid issue, which is clearly part of the wider discussion between our Ministers and negotiators, and those in the European Union. We know that the European Union takes a very wide definition of state aids. State aids definitely include all taxation, which is the subject of this piece of legislation, and grants, subsidies, the competition framework and general industrial policy. It is very wide ranging, and there is no way we can say we have Brexit if the EU will have powers over our state aid policies, because that would be tentacles stretching into this Bill and the powers of the Treasury, Customs and Excise, and the Business Department and its competition and industrial policies, as well as into energy and practically every other major area one can imagine. I therefore hope my right hon. Friends and the UK negotiators are firm on that in their discussions. We must have control of taxation and state aids as a fundamental part of our Brexit departure. We would have taken more confidence from the Government if they had used this Bill to show just how much better a UK-based taxation policy could be. We need a taxation policy that promotes more fishing and farming at home, promotes more industry and manufacturing at home, and promotes that green revolution they want by stripping the VAT off the green products that the EU has imposed on them—a policy that allows small businesses to flourish and does not overburden them with compliance and red tape. That is what we wanted from Brexit, and the sooner Ministers bring it forward, the better.
