ParlaMint-GB_2020-10-13-commons.u1	What assessment he has made of the effect of the National Security Law on the people of Hong Kong.
ParlaMint-GB_2020-10-13-commons.u424	I will keep my remarks short. I am getting quite used to having debates on fishing and fisheries policy—we seem to discuss it here every week or every couple of weeks at the moment, and long may that continue. This Bill is in a much better place than it was when it entered the House, and I support all the Government’s amendments.
ParlaMint-GB_2020-10-13-commons.u425	Before 10 o’clock.
ParlaMint-GB_2020-10-13-commons.u426	Indeed I welcome the package of three consultations launched by DEFRA today. The first is on strengthening the economic link for English licensed fishing vessels, to help ensure economic benefits for many of our coastal communities, including plans for an increased landing requirement of up to 70%. That is very welcome news for many people in North Cornwall. The second consultation is on proposals for how the new fishing opportunities that the UK secures in negotiations will be split between Scotland, Wales, Northern Ireland and England in a way that is fairer and much more profitable for fishing communities across our four nations. Finally, I congratulate the Department on its proposals for how England’s share of those new opportunities will be distributed across communities. I hope that we will see greater benefits for many of our coastal communities and our hard-working fishermen and fisherwomen Concerns have been raised over the past few weeks that the scallop wars we saw a couple of years back in the English channel seem to be resurfacing, with many of our boats being targeted by the French. There is concern in the fishing community in Cornwall that, as we get to the crunch point in negotiations, much of their gear might be towed off and dragged due to the realisation that, if we do not reach a deal, there might be challenges for some continental fishermen Finally—it would not be a fisheries debate if I did not mention it—I want to talk about recreational angling. I know that I probably bore the Minister when I talk about this, and I promise that I will not talk specifically about bluefin tuna, although the conversation we had with the shadow Secretary of State on that recently was very productive; I am hopeful that we might reach a point where we have a catch-and-release bluefin tuna fishery around the coast of the country. I am grateful for the work that DEFRA is doing with the Angling Trust on developing a vision statement for recreational angling in the UK. The Minister will know that I have an ambition to create a world-class fishery and wide recreational opportunity for fishing off the north Cornwall coast. I look forward to working with her on the vision statement. Can she confirm that the statement will include policies that further support the interests of the UK recreational sector It is a pleasure to be in the House on this historic night. I have heard on many doorsteps in North Cornwall that we need to repatriate our territorial fishing waters, which were slayed on the altar as we entered the European Union. It is a pleasure to be here this evening to give a green light to the great opportunities that are coming to coastal communities. I ask the Government to continue to be robust in the negotiations, and they will continue to have my full support.
ParlaMint-GB_2020-10-13-commons.u427	Yesterday, in the debate on the Agriculture Bill, Members heralded a new dawn for UK farmers. Likewise, today, with this Bill, we see a new dawn for our fishing industry, breaking free from the over-regulation of Brussels In Northern Ireland, we have a resilient and innovative fleet. They see Brexit as an opportunity. Therefore, as we chart this new course, it is incumbent on our Government to ensure that the approach taken is not simply a mirror image of EU regulation. This Bill indicates that that will not be the case, which is welcome Like most MPs here today, I read the briefing from Greener UK, which highlighted the fact that 58% to 68% of fish stocks in UK waters are now at sustainable levels. That signals an improving trend and is good news. The sustainability principle is already at the core of our fisheries policy. There is no need to give it precedence over other pillars of UK fisheries policy The top-down command and control approach of the common fisheries policy has failed. The UK must resist the temptation to begin this new era by prescribing draconian solutions across the board, as represented by remote electronic monitoring. On 29 September, the Fisheries Minister in Northern Ireland, Edwin Poots MLA, told the Assembly that “it is important that we have that devolved flexibility to choose from the range of management tools and measures, and pick those that are best suited to our fleet.” I agree with our devolved Minister because I do not support the amendment that would see REM prescribed. Rather, REM should be something to be considered with the fishing community, rather than imposed upon them Our fishermen in Northern Ireland are custodians of the sea. The principle of sustainability is written into their DNA. I hope the EFRA Minister will acknowledge that, in recent years, the total allowable catch in ICES Area VIIa has been managed according to the principles of maximum sustainable yield. The ICES advice for 2021 indicates more challenges and opportunities in the area. In the main, these are within natural fluctuations, but there continues to be debate among fisheries scientists and fishermen around some of the stark figures Northern Ireland’s fishermen have worked with members of the Greener UK alliance to develop and agree proposals for marine protected areas in the Irish sea. It is no secret that these measures and other similar plans within Northern Ireland’s territorial waters are causing economic harm to local fishermen. Nevertheless, what this shows me is that legislation at a national and a devolved level does work to achieve our marine sustainability goals. I wish to hear from the Minister about what legislative route she intends to use to devolve responsibility to the authorities in Northern Ireland for the designation and management of marine protected areas throughout our maritime zone, as is the case with Scotland and Wales. Amendment 42 offers more power to Northern Ireland, and we welcome that, but we support more devolution of these powers to Northern Ireland, similar to that in Scotland and Wales The Public Bill Committee reviewing this Bill did not have any representative from Northern Ireland. The written evidence submitted by the Northern Ireland industry, specifically by Alan McCulla from the Anglo-North Irish Fish Producers Organisation, referred to the marine protected area process, as well as the discrimination faced by all UK fishermen in the Irish sea, especially those from Northern Ireland because of the application of the Hague preference. We presume that, come 1 January 2021, this discrimination will end when the rightful share of annual total allowable catches is repatriated to the UK. That will then be shared among UK fishermen I want to make it very clear here that, within the UK, Northern Ireland fishermen expect nothing more than their share of the UK’s old and new fishing opportunities across all waters and quota species, based on the methodology used today. Based on established international law, zonal attachment is the principle that this Government have used to claim an increased share of the available catches. Within the UK, the established principle of fixed quota allocations should be used to apportion any new quota. It should then be left to the devolved Administrations to decide how to allocate that quota It is time to seize the opportunities that arise from our escape from the common fisheries policy and Government must ensure that that happens.
ParlaMint-GB_2020-10-13-commons.u428	I congratulate the hon. Member for Upper Bann (Carla Lockhart) on an excellent speech. She spoke on behalf of not just her constituency but fishermen across Northern Ireland. She put her case and their case across very well in the House tonight. I echo what my hon. Friend the Member for North Cornwall (Scott Mann) said. It is a pleasure and a privilege to be in the Chamber tonight, as we debate such an important piece of legislation for our own constituencies, the communities we represent, the whole of Scotland and the United Kingdom. They are looking to this Parliament to finally take back control over our fishing industry. It has for too long been dominated by decisions in Brussels, rather than here in our Parliament in the United Kingdom This is very much a framework Bill. It is supported by the Scottish Fishermen’s Federation and it allows us to do far more back here in the House of Commons or in the devolved Administrations. This legislation and the proposals put forward by this UK Conservative Government respect devolution. It looks for and enhances the sustainability in our seas, but also the sustainability in our fishing communities. For so long—decades—fishing communities in Moray such as Cullen, Findochty, Buckie and Burghead have suffered from a reduction in fishing right across the country through the straitjacket of the common fisheries policy. It has done so much harm to our industries, which were crucial to towns and villages right across the country. Many of those areas have been decimated, but now we can start to build back again: build back our fishing industry, our fleet, our crews and our catches, and what they mean to individual communities, what they meant decades ago, and what we can do to revitalise those areas when this industry gets back up and running because of the legislation that this UK Government and this Parliament are looking at, debating and taking through now Positive as I am about the Bill, I have to pause for a moment and stop that positivity to discuss the contribution from the hon. Member for Edinburgh North and Leith (Deidre Brock). [Interruption.] She laughs about her contribution. I wish I could laugh at it. I really wish I could find it funny. I watched part of her speech on the screens outwith the Chamber and, when I was able to come in, I listened to it further. Watching it on television I thought it was bad enough, and then I looked in. Sometimes we say things in the Chamber and we reflect, because we are not reading a pre-prepared, scripted speech, that maybe we could have said something different and put it a better way. I watched the end of the hon. Lady’s speech and she was reading it out. I thought, “What kind of individual sits at a computer and types such a bitter, twisted and misleading statement, reviews it”—I presume she writes it herself, but I cannot guarantee that—“and stands up in the Chamber of the House of Commons and reads out such a poorly crafted argument that does not represent what Scotland is looking for from this Bill and does not represent what fishing communities right around the country are looking for from this Bill?” I do not believe the hon. Lady’s speech represents the Scottish National party position on this. If you listen to her, there is nothing good in the Bill being brought forward by this Government, but her own party in the Scottish Parliament has given a legislative consent motion for it. So just once I would ask her to look beyond her blinkered vision of separatism, assuming everything done in this UK Parliament is bad, and consider for a moment that the 1 million people in Scotland who backed Brexit and the almost 50% of voters in my Moray constituency who backed Brexit, might actually look at this as an opportunity—an opportunity for this UK Government to take control back from the European Union over fishing and devolve further to our devolved Administrations right across the country. She would do herself, her party and Scottish politics in general a service if she looked at that and that argument from a more positive angle just once—to look at the positivity, rather than always the negativity.
ParlaMint-GB_2020-10-13-commons.u429	I think I heard the hon. Gentleman correctly when he said that there was almost 50% support for Brexit in his constituency, so he lost the Brexit argument in his constituency. Is that right?
ParlaMint-GB_2020-10-13-commons.u430	When 122 votes separate the difference between tens of thousands of votes in the Moray constituency, I think it is fairly legitimate to say that almost 50% of the people in Moray voted for Brexit. I cannot split an individual voter in half, or in quarters or segments, so when 122 votes was the difference out of tens of thousands, I think it is fair to say that almost one in two people in Moray voted for Brexit.
ParlaMint-GB_2020-10-13-commons.u431	I hope that the hon. Gentleman feels better for having got some of that off his chest. May I invite him, though, to return to the paths of positivity? He says that he wants to follow the wishes of fishing communities. Look at my new clause 11, which is supported by fishermen, doubtless in his own constituency as well. There is a real need to act on this. Will he join me in urging his own Front Bench to take this seriously, and come forward with serious proposals on it?
ParlaMint-GB_2020-10-13-commons.u432	I was not in the Chamber when the Minister made her opening remarks. I think she may have thought that it was a probing amendment, but I am sure that she listened to the points made. The right hon. Gentleman has now suggested that he will at least press either new clause 11 or 12 to a vote, and I am sure that she will respond to his points. I also listened closely to the heartfelt speech by my hon. Friend the Member for South East Cornwall (Mrs Murray) on not only her own experience of a tragic family bereavement but the representations that she has heard from fishing communities in her long career advocating on their behalf. I look forward to hearing what the Minister has to say, but I accept the constructive way in which the right hon. Gentleman has put his case Since the right hon. Gentleman has intervened, I can now mention Shetland. An organisation in Shetland has today published the opportunities for the United Kingdom to race up the global rankings in terms of what we can do as a country regarding our share of catch from UK waters. At the moment, about 70% of the fish caught and landed in our waters is caught by foreign vessels. If we compare that with Norway, 84% of the fish and shellfish caught in its waters are caught by Norwegian vessels. I think it is 95% in Iceland That is the opportunity that is available to Scotland and the United Kingdom, and that is why many of us in this Chamber are excited about the opportunities for this country, our fishermen and our fishing communities. That is why I had to briefly take a moment to call out the, yet again, negativity and pointless point scoring from the Scottish National party on this issue.
ParlaMint-GB_2020-10-13-commons.u433	rose—
ParlaMint-GB_2020-10-13-commons.u434	I will gladly give way to the hon. Lady, and hope that she has listened to my constructive criticism, will look at this afresh and suddenly decide that the SNP Members are not here just to be bitter and twisted, and for petty point scoring; they are here to work for Scotland’s fishermen.
ParlaMint-GB_2020-10-13-commons.u435	There are always conditions attached to interventions when the hon. Gentleman allows them—very male, Madam Deputy Speaker. He clearly has ambitions to one day lead in the Scottish Parliament and become the First Minister of Scotland. He always references his constituency and the fact that a large percentage of his constituents voted for Brexit, but when will he accept that Scotland voted 62% to remain, and rejected Brexit? If he has ambitions to be the First Minister, how will he reflect that when he is making his pitch to voters?
ParlaMint-GB_2020-10-13-commons.u436	Order. We will be rather careful here. This is a narrow Bill, specifically about—
ParlaMint-GB_2020-10-13-commons.u437	On a point of order, Madam Deputy Speaker. I have just had to endure a personal attack from the hon. Member for Moray (Douglas Ross). I was making the point that if he wants to make those sorts of attacks, he has to be prepared to take it.
ParlaMint-GB_2020-10-13-commons.u438	That is not a point of order for the Chair. I assume that every Member can take it when they are having an argument. Let me just take a step back to the hon. Lady’s intervention. It was an interesting political point, but I want to ensure that in answering it the hon. Gentleman does so in terms of the Bill that is before us tonight.
ParlaMint-GB_2020-10-13-commons.u439	Of course I will, Madam Deputy Speaker, but I will make a couple of points, if I may. The hon. Lady said that my allowing her to intervene, or her taking an intervention from me, always comes with conditions. I hope that she goes back and looks at the previous debate we had in this Chamber about fishing, because I was sat about a couple of metres along from where I am now, and on 12 occasions I tried to intervene on her but she would not let me in once. So I have to say that my generosity is far more generous than hers The hon. Lady seeks to criticise me for mentioning Moray. I am from Moray. I am proud of my roots. I was born and bred in my constituency, which I now have the honour to represent in the House of Commons, so I will never shy away from mentioning Moray and what a great place it is—Moray with its great coastal communities and great coastline, a little unlike Edinburgh North and Leith, which has neither I will now get back to the point of the debate.
ParlaMint-GB_2020-10-13-commons.u440	Order. I just want to check, in order to keep within my rules, that Moray does have fishing.
ParlaMint-GB_2020-10-13-commons.u441	The coastal communities on the coastline of Moray provide great opportunities for fishing in my constituency and, indeed, right around Scotland and the United Kingdom. In case I have potentially misled the House, I think there is some coastline in the hon. Lady’s constituency, so before the tweet goes out, I have corrected the record and I apologise for that. We all come to this House to represent our constituents and the areas for which we are elected in order put forward their views. I think it is right that the representative for Moray is able to outline how important this Bill is, and how important it is that the Lords amendments, which could cause some difficulties and troubles for the Bill, are not taken forward, because they would be wrong for the industry both in Moray and right across Scotland. We have left the European Union. When we leave the transition period at the end of this year, we come out of the straitjacket of the common fisheries policy—the hated CFP that has done so much to damage our industry over the past 40 years. Our fishing communities have decided to leave the European Union and have voted to come out of the common fisheries policy. Why would the Scottish nationalists ever say that, having taken the decision to leave, we should go back into a policy that has done so much damage to our communities and to our industry? I relish the bright future that is ahead of us now with this Bill and look forward to developing it further with communities in Moray, right across Scotland, and across the UK. This is a positive time to be in the fishing industry. This is a positive Bill from the UK Government—one that will deliver right across the country and one that I am pleased to support.
ParlaMint-GB_2020-10-13-commons.u442	I am very happy to follow the hon. Member for Moray (Douglas Ross) I am extremely fortunate to represent Angus, the garden of Scotland. Our bounty extends well beyond our exceptional farmland, over our cliffs, and into our abundant seas—the North sea. After all, we have in Arbroath the home of the Arbroath smokie—a taste sensation that I know for a fact the Minister regularly enjoys. Not only that, but in Ferryden and Arbroath harbours we have a thriving inshore fleet fishing creel for crab and lobsters primarily for the EU market. This is where my concern lies. The shellfish trade in Angus is an outstanding success story supporting many jobs and underpinning the thriving buzz in Arbroath and Ferryden harbours. These boats have little to gain from Brexit in their fishing operations, but much to lose if the Government will not or cannot secure a deal for unfettered and tariff- free access to their EU markets I remind Ministers that livelihoods and jobs depend on these last-minute negotiations, and fishing businesses, like any other, need clarity over future trading conditions. Even with a deal, fishermen from Angus exporting into the EU will be subject to a regime from 1 January that threatens cost and delay for their businesses. These burdens include the requirements for an export health certificate, a validated catch certificate sent to the importer hours before the lorry arrives, a storage document if the catch was stored, and a processing statement if the product has been treated. They must import their product through an EU border control post and the importer must be notified in advance of the arrival. Notification periods vary so they will need to check with the border control post in question to find out how much notice they can give This is a far cry from the seamless process undertaken currently by crews and hauliers supplying markets in the EU today. I seek the Minister’s assurance that due consideration will be given to those lorries loaded up with live catch from multiple vessels in respect of the effect of this new bureaucracy on my constituents in Angus There exists a seemingly simpler process for UK vessels landing directly into UK ports. They must land into a North East Atlantic Fisheries Commission-designated port with a prior notification form, a catch certificate and a pre-landing declaration. That is onerous, but not insurmountable. Direct landings into the EU should be seen as a sub-optimal opportunity. It seems clear that we need to secure as much value add in the commodification of marine product in Scotland, and the rest of the UK of course, as possible, thereby exporting a higher value product to market rather than exporting the unprocessed product to have the value added abroad. National landings will deliver that, and to that extent I have some sympathy with amendment 1 tabled by the shadow Minister, the hon. Member for Barnsley East (Stephanie Peacock). However, as she will be aware, it is England-only so I will be unable to support it. I encourage the Minister, if not in this iteration of the Bill then in future policy, to consider the ambition of a national landing requirement. I know that that is an important element that all devolved Administrations will be taking forward We heard the hon. Member for Moray speak at length about the importance of coastal communities and reversing the attrition that was wrought on them in recent decades. This is an element that we may seek to exploit to achieve that. Ridding our fishing fleets of the thoroughly discredited CFP will of course have an upside for crews and skippers, but we need to ensure that we are more ambitious than that. We need to maximise and disaggregate the dividend as far and as wide onshore as possible. To do so will benefit precisely those coastal communities that we have heard discussed earlier this evening, with consequential benefits to local services, driving greater investment through higher populations in rural schools, and increased use of transport and connectivity A new future based on zonal attachment holds much promise for our fleets and for the gross value of the industry going forward. This will do much to correct the basic fairness of access to marine harvest. We should feel duty bound to attach any new prosperity widely to coastal communities and exploit every opportunity to secure marketing, processing, fuel supplies, services, installation, plant sales and haulage jobs on these shores and in our coastal communities rather than elsewhere. This is not protectionism, it is pragmatism I understand very well the need to ensure the most profitable and expedient routes to market for crews, but let us be clear that the damage that Brexit will do to our broader economy and economic prosperity outside fishing will be severe and in so far as fishing will benefit from Brexit, the industry should maintain an obligation to support the onshore economy as much as possible in management, processing and the wider supply chain.
ParlaMint-GB_2020-10-13-commons.u443	I am grateful to the hon. Gentleman for giving way. He just said that fishing would benefit from Brexit—those are the words that came out of his mouth, and I absolutely agree with that. Can he explain how fishing would benefit from the SNP policy, which is to go straight back into the European Union and the common fisheries policy?
ParlaMint-GB_2020-10-13-commons.u444	I am happy that the hon. Member for Moray is so quick to tell me what SNP policy is. Perhaps he will yield to my knowledge of such matters. I think I am probably on fairly solid ground as an SNP politician in saying what our policy is. I will be taking no lectures from a Conservative politician on how to access the EU in the interests of fishing. We have seen how badly it was done by the Conservatives in the early 1970s. We will not be making any similar mistakes with Scotland’s reaccession to the EU after independence, but I do not want to fall foul of Madam Deputy Speaker. Home landings have their limits, such as with the pelagic catch, which can be so vast and so rapid as to overwhelm the local capacity to process, and there can be no argument with that reality. However, the principle of shared benefit remains intact if domestic capacity is by default exhausted first. I am confident that my colleagues in the Scottish Government are sighted on the national landings priority. The best interests of our Scottish fleet in coastal communities will be served by that devolved Administration, but we should in all four nations work in support of this ambition as maritime neighbours, where we remain subject to the same jurisdiction.
ParlaMint-GB_2020-10-13-commons.u445	Order. Before I call the next speaker, may I explain something, because there seems to be some confusion, perhaps among new Members who do not know how normal Chamber procedure works? If I impose a time limit, this debate will end at 10 o’clock and there will be several votes at 10 o’clock and Third Reading after that. Anyone can work out how late that will be. If I do not impose a time limit but appeal to Members, for the sake of all their colleagues, to speak for about three to four minutes, and thereby prove that brevity is the soul of wit, the debate will finish earlier, and those who are taking part will have the eternal gratitude of those who are waiting to vote.
ParlaMint-GB_2020-10-13-commons.u446	I will try to speak clearly with my new self-imposed time limit. It is a pleasure to follow right hon. and hon. Members, particularly the hon. Member for Angus (Dave Doogan), and here we are going straight back down the line to Cornwall, which just shows what an important issue this is for the whole United Kingdom Despite being the great-great-granddaughter of a Scarborough fisherman, I had no idea as a young girl that I would grow up to become a Cornish fishwife, but here I am. Actually, I am very proud to be so. It is a privilege to be married to a fisherman, because it gives a great understanding of what a scary but wholesome living it is. It is absolutely necessary for the health of our nation. I mentioned in my maiden speech some time ago how precarious a living it is, especially when one is on the end of the phone and the weather turns and they cannot get back, so I will not go into that again One thing I have to say is that the fishing industry does not speak with one voice, and that is important to remember. To stand up for the fishing industry means giving our fishermen their voices back, and that is what this Bill absolutely does. It takes a first important step, and that is what we have to remember about this framework Bill I will speak briefly to the amendments. I do not think that the Bill is the right place for them, but I understand why they have been tabled. I believe they are well intentioned, and I know that Ministers are listening. In terms of amendment 1, I welcome the Government’s consultation, and I urge anybody involved to make their representations known before the closing date, which I believe is 10 November I would like to see more support from Ministers for direct-from-the-boat sales. When people go to London and eat a nice plate-sized piece of fish in a restaurant, the price can be eye-watering. Let me tell the House that at the other end of the scale, when the fisherman gets his price from market, that can also be eye-watering, but for a different reason. Somewhere along the way, somebody is making a lot of money out of it, but it is not the fishermen, and we need to put that right. I know there are voices in the Treasury who are sympathetic to that, and I make a plea to urge those conversations forward. A business in Falmouth that has just opened has as one of its unique selling points the fact that it wants fish that has never touched land. That sort of business should be encouraged, particularly in Cornwall Amendment 2 is about sustainability. One of the main reasons I came to this House was for the sustainability of our oceans and sustainability on land, but when we talk about sustainability in the fishing industry, we cannot talk just about the oceans; we have to talk about the coastal communities as well. Take bass, for example. My hon. Friend the Member for North Cornwall (Scott Mann) and I have spoken at length about bass and recreational angling versus the commercial fishermen, and I want to try to bridge the gap tonight if I can I absolutely get the reason why we need to have a sustainable bass fishery. The angling economy in Cornwall is growing and is worth a lot of money, but if that bass fishery is suddenly taken away from an under-10 metre boat, that fisherman cannot feed his family. We cannot just expect these fishermen one day suddenly to have to go out to fish for something else—it does not happen like that. I am not prepared to make people suddenly do that, so we have to have a long consultation with the industry, the fishermen and the conservationists before we come up with a plan. That is why this amendment is misplaced. We have to go with the framework and see where we go from that Amendment 3 deals with supertrawlers. Again, I understand why it has been proposed, but I am reassured by Ministers who say that we now are in control of those licences, and pressure will be on our Front Benchers to make the right decisions there. I will not go on for too long, I promise, but let me deal with a couple more things that I want to see, if we can do them The right hon. Member for Orkney and Shetland (Mr Carmichael) is no longer in his place, but I have sympathy with him on the enforcement argument, and not just on the outrageous incidents to which he refers. We see daily off the Lizard Point that French fishermen are within our waters and they should not be there. Even in the spawning grounds in the estuaries we need to make sure that anglers are not going up and taking undersized fish. There should be enforcement from one scale down to the last, and we need to make sure we are properly prepared to have enforcement here I am a big advocate of labelling—everyone in Devon knows how I feel about that—and it is vital that we get some clear labelling on our fish. The technology is there now to put the boat name on anywhere that that fish ends up, be it in an expensive fancy restaurant or in one of our supermarkets; we can see what boat that fish has come off and how it was caught. The fisherman who is fishing hook and line should get a better price than the one who is using the nets. The fisherman will then suddenly become responsible for his catch, in the same way as farmers are responsible for the high standards of their animals. That is important and it means that the consumer starts to become king—I hope that Ministers are listening We have a great opportunity for a culture change in this country about what we eat and why we eat it—that was mentioned earlier. The new Cornish residents, our TV chefs, who have moved down to the south-west have an important role to play in this. If we suddenly start eating wrasse, which they do in Japan, in sushi, or whatever else it might be, we can start making this a good thing to eat and consumers will follow I will conclude because I do not want to take up too much time. This Bill is a great first step, from which we have learned lessons from the CFP. We are finally starting to release our fishermen from the shackles of the CFP, which is vital. What we can achieve for the industry is endless because we are now an independent coastal state. I am reassured that future consultations will benefit our industry and I look forward to plans that come forward next year.
ParlaMint-GB_2020-10-13-commons.u447	I will speak to new clauses 1 to 7, which we tabled to try to improve this legislation. I spent 15 years in the European Parliament, alongside the hon. Member for Tiverton and Honiton (Neil Parish), working largely on fisheries reform, among lots of other issues. It is safe to say that the CFP is not the Scottish National party’s favourite policy and a number of things need to be done to improve it. It is the primary reason why Norway and Iceland are not EU members, although they are proudly part of the EU single market, for reasons also largely to do with fisheries and fisheries products If I learned anything in my time in Brussels, it was particularly about the marine ecosystem: everything is connected to everything else, and if one does not look at the whole picture, one makes poor conclusions. This Bill really is only part of the picture and it leaves the big questions—the existential questions for all our fishing communities and the people employed in fisheries—unanswered. Passing this Bill tonight, as I suspect Conservative Members will, is the easy bit; making good on the fine promises we have heard this evening will be an awful lot harder. Four years after the vote to leave the European Union and a year after we left the European Union—a fact that I regret deeply—we have yet to see the much vaunted advantages of that Brexit. It is a poor state of affairs that we are this stage in this stage of the proceedings The fishing industry is complex. It is not just about boats going to sea and catching fish. In Scotland, it is even more complex. We have a structurally different set-up to our industry in Scotland from that UK-wide. As we have heard throughout the debate, for every one job at sea, there are—depending on how one counts them—seven to 10 jobs on shore Stirling—by way of a counterintuitive point, as it is a generally landlocked constituency but for the tidal Forth—is one of the biggest UK producers of farmed prawns. The aquaculture department at Stirling University is engaged in world-leading, planet-saving research that is crucial to our economy. Tens of thousands of people are employed in aquaculture: in the prawn sector, the salmon sector and the inshore fishery, catching scallops and langoustines, and in the wider processing sector. All those thousands of jobs and all that GDP are utterly dependent on access, by which I mean tariff-free and frictionless access to the EU single market. That really does bring us to the nub of our scepticism about this Bill, which, as we have heard, the Scottish Government and Parliament have consented to because it is necessary, given that we have left the European Union. There is a need for a new legislative framework; we just do not think that this Bill answers the big questions The Norwegians joke that there is nothing in such a hurry as a dead fish on the back of a lorry. There are going to be lots of dead fish on the back of lorries wondering where they are going if we do not get a deal that ensures tariff-free and frictionless access. The vast chunk of fisheries’ economic activity is in grave danger in these ongoing talks, and this Bill answers none of their concerns and takes account of none of their interests This Bill is a framework for catching fish, and it is meaningless unless there is a deal for market access for all the other fish and fisheries products. The big questions are unanswered, so we have tried to make the legislation better with new clause 3 on the sea fish authority. We believe that more transparency in that structure would very much help the evolution of the organisation in the new challenges ahead. I urge Members to support the new clause, much though we have heard of the Minister’s scepticism this evening I am struck by the tone of this debate, as I was struck by the tone of the debate back in December, when I made my maiden speech, on the withdrawal agreement—the withdrawal agreement that so many Members on the Government Benches are now lining up to trash and the Government are looking to resile from in a “limited and specific way”, barely nine months later. The promises that have been made this evening are cheques that will not be cashed in the real world. When Government Members fail to deliver on their grand rhetoric—or, indeed, sincere hopes, genuinely held—they will have nobody to blame but themselves.
ParlaMint-GB_2020-10-13-commons.u448	It is always a pleasure to be asked to speak briefly; brevity is one of my strengths, I am sure I have four points to make, and I feel that this may be—for those who were here on Second Reading—something of a rehash of my previous speech, not least because I want to speak against two amendments tabled by the Labour party, notably amendment 1 on UK landings. The Opposition talk about the need for specifying percentages for what our fishermen should be required to land. Rather than restricting where our fishermen can go and where they can land their catch, is not the answer to develop our ports to make them competitive with European ports, so that we can attract not only our own fishermen, but fishermen from Europe to land their catch here? That is a more efficient way of building and sustaining the processing plants across the United Kingdom, and building the ports such Brixham in my constituency. That is what we need to be doing—not restricting where our fishermen go My second point is on the sustainability principles and amendment 2. The first page of the Bill talks about the principles of sustainability; it is sustainable at its core. This is a finely tuned balance between the economic values and the sustainable values. The Opposition need to have a little bit of faith in the fishermen who fish our waters, who are determined to look after that stock, and to see their children and grandchildren go into the sector. That really matters A point that has been touched on by a number of people is how we develop and encourage our own “buy local” campaign I spoke during my maiden speech about the idea that the best of British—that British local seafood—should be on every menu across the country. That remains the case and we have a great opportunity to be able to create that campaign. I hope the Government will look carefully at how we can do that with cross-party support Lastly, I am going to sea next year for three days to see what goes on on a trawler vessel. I know that when they look at the Bill and hear us talking about it, they are proud of what the Government are trying to achieve. They are proud of the fact that it takes back control of our coastal waters, and they are proud of the fact that we will no longer be part of the common fisheries policy. I look forward to being able to report what it is like at sea and how the Brixham trawler fishermen operate —and I end my speech there.
