ParlaMint-GB_2020-09-15-commons.u1	What fiscal support he is providing to mitigate the economic effects of the covid-19 outbreak.
ParlaMint-GB_2020-09-15-commons.u435	It is always a pleasure to follow the hon. Member for Westmorland and Lonsdale (Tim Farron). Although I perhaps did not agree with everything that he said today, we do agree on many other things. Indeed, I think that it is perhaps the first time that I have followed three Liberal Democrat speakers. I am not sure whether that gives them a numerical advantage, but one DUP man is equal to three Liberal Democrats—I say that in jest; we are not in any way against each other I have listened very closely to the speeches both last night and this afternoon. I must say that the case presented by the Prime Minister outlines what our fears were with the withdrawal Bill, which is the same withdrawal Bill that we voted against on three occasions when it was brought forward by the former Prime Minister. In January this year, we also voted against the withdrawal agreement because we felt at that time that it put us at a disadvantage. What makes this different is the position we now find ourselves in. The Prime Minister has brought forward a Bill that gives protection to Northern Ireland in a way that we would like to see. With that thrust and protection in the Bill for Northern Ireland, there is something that we agree in our party we can support, and we look forward to that. The exception is clause 47, to which we are bringing forward an amendment tomorrow that we feel would strengthen our position again. Hopefully the Prime Minister, Ministers, the Government and others will feel that that is the right way to go I am without doubt a proud Brexiteer. That is not a secret—it is well known. As a Unionist, I love this United Kingdom of Great Britain and Northern Ireland. I love my Scottish colleagues and they know that. I love my Plaid Cymru friends and I try to work with most people in this Chamber. They might have a different political viewpoint about the United Kingdom of Great Britain and Northern Ireland, but I will tell the House one thing: they are genuine people and I respect their point of view, even though I, in many cases, do not agree with it. I am simply someone who has experienced, in my nation—in Northern Ireland—the difference between intent and reality. This Bill has been brought forward to give help to the devolved Administrations as they look at trade, and I am very pleased to see that I am reminded of a devolved Administration today that I was a Member of for some 12 years, as long as my hon. Friend the Member for North Antrim (Ian Paisley) was—the Northern Ireland Assembly. As a Unionist, I forewarned that the make-up of Stormont would lead to one party being able to bring the institution down. I listened as I was told that it would not happen as it was in the best interests of Northern Ireland to continue to work together. I sat in my office and watched the country being left adrift for almost three years, with this place reluctant to take over and upset the premise of devolution in everything other than the imposition of abortion against the will of the Assembly and the general public. But the Assembly is now up and running, and we want it to succeed. I want it understood in the internal market Bill that we can have an input, a contribution and a say from the Northern Ireland Assembly When my party and I warned that the good faith aspect of the withdrawal agreement was not enough security against what we were surrendering—the sovereignty of the UK over Northern Ireland—I did so not only as an anxious person, but as an experienced person, who has seen the process, and I understand why this Bill, without any changes, with the exception of clause 47, has been brought forward in a way that we can support: because it makes us stronger within the United Kingdom. I am pleased to see that Europe is doing what I knew it would always do, what it has historically done—ride roughshod over good intent to achieve its goal. There was an outcry when it was felt by my right hon. Friend the Member for Ross, Skye and Lochaber (Ian Blackford), the leader of the Scottish National party, that there would be a possible rise in food prices, with supermarket shelves lying empty, in the event of a no deal. And yet Europe has blatantly threatened that all goods may be considered at risk and that the rest of the United Kingdom may not be considered a third nation, meaning that the shelves in my constituency could be empty or that there could be price rises, whereas a trip over the Irish sea to my right hon. Friend’s constituency will see nothing of the same. Is that acceptable? In terms of the internal market Bill and the Trade Bill, as they have been put forward, are families in my constituency richer than those in the constituencies of others? No, they are not. Are their bellies less deserving of food I want to make a plea in respect of this Bill for the agri-food sector in my constituency—for Mash Direct, Rich Sauces and Lakeland Dairies, three companies that have some 2,500 jobs. I agree with the hon. Member for North East Bedfordshire (Richard Fuller). With this Bill, are we decreasing or minimising our standards? No; he is right to say that we are not. Companies will grow, and we will retain the standards that we have achieved. There is no way in the world that we will let it be otherwise, and I respectfully suggest that anyone who thinks that we will has got it wrong. Previous Ministers have sought and got agreements across the world, including for trade deals in China. We got those markets with our products, quality levels and standards. We are not going to surrender them; we are going to keep them with this Bill The fisheries sector is also important to me and my constituency. It is important that this Bill becomes law to ensure not only that we can produce the products that we do out of Portavogie, Ardglass, Kilkeel and elsewhere in Northern Ireland, but that we can increase our trade and potential to grow, and continue to feed the United Kingdom and Europe The UK’s chief negotiator has confirmed: “I am afraid it has also been said to us explicitly in these talks that if we are not listed we will not be able to move food to Northern Ireland…if GB were not listed, it would be automatically illegal for NI to import food products from GB.” That is why this Bill, as it was presented by Government, is the way for us to move forward. The European institutions are using Northern Ireland—as I knew they would—to exert control and undermine our sovereignty, and the House is considering a method of protection, which is what the Bill is about. Yes, there could be a breach, but it is one of acting in bad faith, and the blame lies with the Europeans. They are threatening my constituents, Northern Ireland and the whole United Kingdom. They are threatening my constituents with the possibility that our biggest supplier, GB, will have checks and perhaps tariffs on my food—on my constituents’ food. Tariffs on fish, tariffs on food—am I less British than those from Scotland, Wales and England? Do I deserve less consideration and support from this Government? I do not, and my nation does not. The opinion and wishes of the Northern Ireland Assembly are entitled to such consideration I have listened to those who trounce out the Belfast agreement as a talisman against the United Kingdom internal market. When I look back—I say this with great respect—at the treachery of both Blair and Major with on-the-runs letters and shady backroom deals, and when I look at their banner-waving of the Belfast agreement as the only consideration in this debate, it is difficult to understand their absolute abandonment of the principle of consent, which is being demolished by the Northern Ireland protocol. I understand why the amendments have been tabled, but I feel that the protection that the Government have put forward is worthy of consideration and support, and our party will be supporting the Government on their proposals We have heard legal opinions from other people, and I want to put this one on the record. Martin Howe QC has clearly said that “the alteration of the constitutional status of NI (which across the board tariffs on GB to NI exports would entail) would breach the core principle of the Good Friday Agreement…International law does not justify a later treaty to which these community representatives are not parties being used to over-ride the rights they enjoy under the earlier treaty” That legal opinion tells us that the Good Friday agreement is not under any threat; indeed, I suggest that it enhances where we are and where we are going Let us grasp why the Bill exists. As my esteemed colleague, my right hon. Friend the Member for Lagan Valley (Sir Jeffrey M. Donaldson) outlined yesterday, we should consider who is threatening to destroy the peace process. The only such threats are coming from Europe. As is often the case, they are smoke and mirrors—they have no validity. Those who espouse the Belfast agreement and devolution, and who respect the will of the people that the Northern Ireland Assembly should have a say, need to think carefully about what will happen. We can see our fears coming to be reality. It is right and proper not just that the Government understand that but that, with this Bill, they are putting in place measures that can be enacted if Europe continues down the route of bad faith that tit has set out on It is equally right and proper that we as a House protect Northern Ireland as an intrinsic part of the United Kingdom and ensure that the devolved Administrations, and in particular the Northern Ireland Assembly, have a say. That is why the Bill, as put forward and without change—with the exception of clause 47—is the right way to do it.
ParlaMint-GB_2020-09-15-commons.u436	It is a pleasure to serve under your chairmanship, Mr Evans. I rise to speak to the amendments tabled in my name and the names of my right hon. and hon. Friends. We have had some good contributions from colleagues from all parties in today’s discussion of the United Kingdom Internal Market Bill—or, as the Prime Minister now calls it after his roasting yesterday, the infernal market Bill. Let us hope that when the Minister rises to speak he is better briefed than the Prime Minister, although I have no doubt that he will be because, unlike his boss, he very much is a details man Before I address the substance of the amendments, I want the House to be clear on a few points. Labour wants the Government to get Brexit done and we want a strong internal market that respects devolution and protects high regulatory standards, but we will not fall for the Prime Minister’s attempt to rerun the Brexit arguments, and neither should the public. The Brexit issue is settled and the Government now need to get on and get the deal that they promised the British people at the general election The Prime Minister’s attempts to boost his falling poll ratings have failed. Brexiteer after Brexiteer has denounced this Bill; they clearly did not get the memo that opposing it was some kind of remainer plot, which it is not. We have had a roll call of the great and good—some not so good, but I will let Members decide—including Lord Howard and Lord Lamont, the right hon. and learned Member for Torridge and West Devon (Mr Cox) and the hon. Member for Gillingham and Rainham (Rehman Chishti), to name but a few. They have spoken out with courage because this Bill, in its current form, is not in the national interest Let me turn to the amendments. The central challenge that faced those drafting the Bill was how to square an internal market where goods can be sold across the UK with the fact that regulatory standards are devolved in key areas such as animal welfare, the environment, food safety and many others. There was an obvious answer, because since 2017 there has been a process of agreeing common frameworks—a joint approach to standards in the different devolved areas. The Government could have chosen to legislate for those common frameworks to make them the default option for regulation, thereby granting a proper voice to the devolved nations on the regulatory standards to which we have to adhere To be clear, that approach would have imposed a duty on all Governments to seek to establish common high standards. There would have needed to be an ultimate last resort in case the way forward could not be agreed on, at which point the UK Parliament would have needed to step in. That would have been the way to square the circle of the internal market and respect for devolution but, unfortunately, it is not the route that the Government have chosen. Instead, they have chosen non-binding common frameworks, up against what is in essence a Westminster veto, potentially leading to lower standards, with no guarantee of a voice for the devolved nations The Government say that they will still negotiate for common frameworks; that is welcome but it is not enough. If we do not put the process for common frameworks on a statutory footing, we undermine the very process itself, making the nuclear option of imposition more and more likely. Common frameworks without legislation are toothless. As time for regulations to be implemented becomes more and more pressing, and with the looming prospect of other trade deals and their inevitable call on UK-wide standards, we can see how things will play out, with the imposition of regulations via statutory instruments becoming the norm. In line with getting Brexit done, there is now a huge repatriation of powers from the EU to the UK. The Government have a choice to make: do they want to respect and strengthen the devolution settlement by pushing power closer to people in communities, as promised in the referendum? Or do they want to retain all those powers here in Westminster? At best, the Bill is a missed opportunity to strengthen our Union; at worst, it threatens the future of the UK itself, giving—as we have heard today—the First Minister and the SNP all the grievances they need to turbo-charge their independence campaign. One has only to listen to the voices across our four nations to realise that, yet the Prime Minister and the Government have a tin ear A Front-Bench Conservative Member of the Welsh Assembly resigned because of the Bill’s disregard of and disrespect towards the nations of the UK. It is worth listening to what he had to say, which was that “the Internal Market Bill has done nothing to lessen my anxieties about the dangers facing our 313 year old Union. Indeed they have been gravely aggravated by the decisions made in the last few days by the Prime Minister…I will feel it necessary to speak out against what I consider to be a lack of statecraft at this crucial time for the UK’s very survival” as a multi-state Union.
ParlaMint-GB_2020-09-15-commons.u437	My hon. Friend is absolutely right to draw attention to those comments by a very honourable man, one of my constituents, David Melding, the shadow Counsel General, a lifelong and loyal Conservative with whom I disagree on many issues. However, he was pointing out the pattern of behaviour from the Government of disrespect for devolution. I have just been speaking to the First Minister of Wales, and he has been clear this is a pattern of behaviour in everything from covid testing to the situation regarding the Bill. Does she agree that the Government need to take a completely different approach if they want the UK internal market to work, as we do?
ParlaMint-GB_2020-09-15-commons.u438	I absolutely do. My hon. Friend has made some powerful points today about the disrespectful way in which the Welsh Government were consulted over the Bill, and he is absolutely right to highlight those. I am afraid that, if that continues, that will not be good at all Labour firmly believes that the UK single market is the foundation stone of our Union and brings huge economic benefits to the entire UK. That is why we support the principle behind the Bill and why our amendments are so necessary to improve the Bill in Committee. The UK internal market will be essential in recovery from the coronavirus pandemic. We know that we need mutual recognition for our internal market to function coherently, and we believe that we should use this opportunity to drive standards up further Our amendments are about the way in which we arrive at those minimum standards, not whether minimum standards are required. The common frameworks programme has been in place since 2017 and has led to some extremely positive outcomes, even in policy areas as complex and contentious as food standards. I am grateful to the Minister of State, Cabinet Office, the hon. Member for Norwich North (Chloe Smith), for speaking to me last night about how the common frameworks programme is progressing. The Government and the devolved Governments should be commended for having established this collaborative forum. It could have proceeded with perhaps a little more speed and zeal, but we recognise the competing demands on the Government However, the Bill as it stands has the potential to undermine those processes entirely. On food standards, for example, where a common framework has already been agreed, if the Prime Minister were to pursue a free trade deal with the US, we may see chlorinated chicken imported into the UK and making its way on to Welsh, Scottish and Northern Irish supermarket shelves, irrespective of the standards that they have worked so hard to agree through the common framework However, it is not only about food. The Bill could have far-reaching implications for the country’s ability to reduce waste and meet our net zero targets. Wales, as we heard, has high ambitions to reduce single-use plastic items, but the UK Government have proposed a less ambitious target for England. It would be tragic if the UK Government imposed a lower standard on Wales, when we should all be working together to eradicate plastics and keep standards as high as possible and going ever higher. Instead, my fear is that the Government are firing a starting pistol on a race to the bottom for regulatory standards across the United Kingdom, which we do not want to happen New clause 2 sets out a process that would underpin the common frameworks approach in good faith and within reasonable time commitments and would put the common frameworks programme on a clear statutory footing. We propose that, where common frameworks are already in place, Ministers should not be able to unilaterally override them via secondary legislation to impose lower standards on devolved Administrations without their consent, as the Bill would currently allow. Where any frameworks are currently in development, or as any new common frameworks become necessary, Ministers would need to allow a consensus-based negotiation via the framework process within a reasonable timeframe before making any further intervention via Westminster. Only if an agreement could not be reached through this process would a Minister be able to intervene and protect the internal market.
ParlaMint-GB_2020-09-15-commons.u439	I agree with the vast majority of new clause 2, but this is the one point that really worries me, because it indicates that Westminster will have supremacy over Wales, Scotland and Northern Ireland. Am I right in interpreting the end of the new clause in that manner? Surely the hon. Lady’s colleagues in Wales will be very concerned about any proposal that means that the Westminster Parliament will have supremacy over the Welsh Parliament.
ParlaMint-GB_2020-09-15-commons.u440	This might be where we differ, as I was going to come on to say, because we believe that the ultimate arbiter of the UK internal market would need to be the UK Parliament. Our amendments seek to ensure that negotiations through common frameworks are conducted in good faith and given proper time and that this would need to come back to the UK Parliament in primary legislation, rather than secondary legislation, as is proposed. Labour supports the need for some kind of independent body to arbitrate the effectiveness of the internal market. However, we want to ensure that this body is fully accountable to the views of England, Northern Ireland, Scotland and Wales and, crucially, has proper teeth to be able to do what it needs to do. New clause 3 would therefore place a legal obligation on the CMA to monitor, to report and, most importantly, to consult with the devolved Administrations when discharging its new and enhanced duties I turn to the amendments tabled by the Scottish national party. While I agree with much of what the hon. Member for Inverness, Nairn, Badenoch and Strathspey (Drew Hendry) said, it appears from the amendments that the SNP does not want a functioning internal market; it wants to frustrate one. I am afraid that some of its amendments would, in essence, give a veto to the Scottish Parliament of the internal UK single market. We cannot support that. We believe that the UK Parliament has to be the final arbiter of a functioning internal market because we believe in the UK, and the SNP does not. Its amendments would clog up the process and effectively offer one Parliament a veto As MPs, we have a responsibility and a duty to protect the interests of this country. The rule of law and the safety and security of our nation should be paramount. For the Conservative and Unionist party—let us remind ourselves of that name—to propose legislation that breaks the law and threatens the Union by putting rocket boosters under those campaigning for independence is near unthinkable. We hope that Ministers will accept our amendments to strengthen the Bill and to respect devolution as it stands and that they will table amendments at the next stage to strengthen the Bill further, so that we can keep our Union intact, get Brexit done, get the deal that this country was offered and move on.
ParlaMint-GB_2020-09-15-commons.u441	It is a pleasure to serve under your chairmanship, Mr Evans. I would like to thank all Members who have spoken today. Before I proceed to discuss part 4 in some detail and the amendments that have been tabled, I want to put the Bill into context, so that we can see where it sits. I would particularly like to thank my hon. Friends the Members for Stone (Sir William Cash), for Rother Valley (Alexander Stafford), for Hertford and Stortford (Julie Marson) and for Beaconsfield (Joy Morrissey) for their support of the Bill. This is an economic Bill to ensure that UK companies can trade unhindered in every part of the UK, and their focus on the core issue of ensuring that free trade must be commended The United Kingdom’s internal market has been the bedrock of our shared prosperity for centuries. It has enabled businesses and individuals to thrive and has been the source of unhindered and open trade across the country. It has helped to demonstrate that, as a Union, our country is greater than the sum of its parts. The economies of our four nations within one United Kingdom are forged as one. Around 60% of Scottish and Welsh exports are to the rest of the UK, which is around three times as much as the exports to the rest of the EU. About 50% of Northern Ireland’s sales are to Great Britain. In some local authorities in Wales, over a quarter of workers commute across the border. So when we leave the transition period at the end of this year, and the laws made in Europe can now be made across the UK, hundreds of powers will flow from the EU to the devolved nations and the UK Government in an unprecedented transfer of powers. It is really important to remember that we are devolving powers down to those devolved nations The Bill will not limit the devolved Administrations from innovating, as some Members have suggested. If an Administration wanted to introduce minimum alcohol pricing laws in the future, as was mentioned earlier, our proposals in the Bill would have no effect on them as long as the rules did not have a discriminatory effect on goods from other parts of the UK. Nor would our proposals do anything to prevent any Administration from introducing rules and regulations on how and where products could be used, including bans on smoking in public places. As these powers return to the devolved Administrations and as we recover from covid, we must ensure that our economy is stronger than ever. That is why the Government have brought forward this legislation to guarantee the continued functioning of our internal market and to ensure that trade remains unhindered in the UK Our manifesto committed us to maintaining and strengthening the integrity and smooth operation of our internal market, and eight weeks ago, my right hon. Friend the Secretary of State for Business, Energy and Industrial Strategy presented to Parliament a White Paper that set out plans to preserve our internal market after the transition period. Since then, we have spoken to hundreds of businesses and business representative organisations across the UK to gather views and feedback on our proposals. Overwhelmingly, businesses supported our approach. For example, the British Chambers of Commerce stressed that a fragmented system would create additional costs, bureaucracy and supply chain challenges that could disrupt operations for firms across the UK. As these proposals progress, business communities will want practical considerations, not politics, at the heart of the debates on shaping solutions. I want to thank those businesses, along with colleagues across the devolved Administrations, for their engagement on the White Paper Turning now to the independent body that will be created by the provisions in part 4, we consulted on how to ensure that an independent monitoring and advice function could uphold the internal market. In response, to oversee the functioning of the internal market, the Bill sets up the Office for the Internal Market within the Competition and Markets Authority. In some of the contributions today, Members have talked about who will serve in the Office for the Internal Market. I must remind people that the Competition and Markets Authority sits aside from Government and the directors of its board can be seen on its website. It is open to everyone to see their expertise in their fields. These are not people who are passed on through grace and favour; these are technical roles and it is really important that we have the greatest expertise in that body.
ParlaMint-GB_2020-09-15-commons.u442	I do not think that any of us doubt the integrity of the people on the board or on that body. We doubt their powers to be able to ensure that there is equity. Does the Minister not understand that there is a real difference?
ParlaMint-GB_2020-09-15-commons.u443	I take the hon. Gentleman’s point, but prior to his contribution, other Members did raise the point about how these people were being recruited and for what reasons This measure means that each devolved Administration will be fully and equally involved in the oversight of the UK internal market. It minimises the need to seek court action, thus ensuring the continued smooth operation of the UK internal market that businesses crave. The provisions set out in the Bill provide broad oversight on an equal basis for all Administrations. The new Office for the Internal Market will be able to provide non-binding, expert reporting, technical monitoring, regulations and proposals, which will provide robust evidence on the actual or potential impact of regulatory measures, thus ensuring enhanced transparency and accountability for decision making across all the Administrations, including the UK Government acting on behalf of England. It is important that by doing this, the Office for the Internal Market will add an extra economic impact assessment that could otherwise just boil down to a political debate, which would not provide the consistency and coherence that businesses are seeking at this time I turn now to the amendments, starting with amendment 28 to clause 28. The clause is important because it defines those regulatory provisions on which the CMA will report and advise. This will ensure certainty and transparency for Administrations, businesses and the general public. Regulatory provisions are in scope if they set requirements for the purposes of mutual recognition and non-discrimination principles in the Bill for the sale of goods and equivalent services, as well as recognition of professional qualifications, and if they apply to one or more nations but not the whole of the UK As we have heard, amendment 28 seeks to exclude Scotland from the benefits of the new Office for the Internal Market. It would carve out regulation that applies only in Scotland from the definition of regulatory provisions across this part of the Bill, which basically means that the Scottish Government could not proactively request advice and its regulatory measures could not be included in the regular monitoring of impacts and trends in the UK internal market. If the functions of the new Office for the Internal Market applied asymmetrically, as is suggested, its work would be severely undermined from the outset Full UK-wide coverage and relationships with all four Administrations will be vital in gaining and maintaining the confidence of stakeholders, so I strongly question how the office could effectively fulfil the functions given to it by the Bill if it cannot assess impacts across the UK internal market as a whole. Parity is a central principle in how the office for the internal market will conduct its affairs. It will be of service to all four nations of the UK, but in turn it will legitimately expect to consider the impacts of regulatory measures across all four Administrations. The clause empowers the Scottish and Welsh Parliaments, as well as the devolved Administrations Equally, the amendment would deny Scottish Government policy makers an important support system for the development of regulation following the transition period. The expertise and analysis of the Office for the Internal Market, offered to all Administrations equally, should not be rejected in this way. Finally and most importantly, since this provision plays a key part in ensuring there are no trade barriers, businesses across the UK would suffer. To ensure the ongoing smooth operation of the UK internal market, clause 29 will ensure that emerging trends and developments in the market are independently reviewed by the CMA. The CMA has a strong reputation for independence and impartiality, which the Government have striven to preserve in setting out the functions of the office for the internal market. The UK Government have no role in what I have described: the function of the office in reporting to this House, the other place and devolved legislatures, discussing such topics as intra-UK competition, free access to goods and services, and the impact of diverging regulatory conditions in different parts of the UK My hon. Friend the Member for North East Bedfordshire (Richard Fuller) raised other areas that the office could look into. It is important to know that the list is not exclusive; there are other areas, and the CMA has a great track record in championing the consumer, so the consumer point he raised is covered I said that there was no role for the UK Government in what I have just described. Truly independent scrutiny is crucial if anyone is to have faith in the office’s pronouncements on the health of the UK internal market, especially our business community at a time when those same businesses find themselves stretched thin by the impact of the coronavirus.
ParlaMint-GB_2020-09-15-commons.u444	If the office for the internal market writes a report that says, for instance, that a regulation passed by the Northern Irish Assembly—if it was functioning—was contrary to the principles of the Bill, would there be legal recourse if a company was affected by that policy?
ParlaMint-GB_2020-09-15-commons.u445	As I say, the office will put forward non-binding reports to each devolved Parliament, but then there are the existing provisions for working intergovernmentally. We also have the common frameworks arrangement, as has been described, which has already provided good collaboration and co-operation, which I will come back to in a second. Ultimately, yes, the courts are there as a last resort, but if we have the inter- governmental relationships and build on those, as trusted partners, we will not have to resort to that The hon. Member for Kirkcaldy and Cowdenbeath (Neale Hanvey) said that minimum alcohol pricing, procurement, health and tuition fees would be undermined or constrained by the OIM’s functions. That is just not true. None of the clauses set out in part 4 precludes the devolved Administrations from introducing policies in any of those areas. The OIM will not be empowered to bind Administrations or veto regulations. It will only be concerned with assessing the economic impact of regulation, never its merit When not acting at the request of an Administration for reporting or advice, the OIN would only ever be concerned with monitoring the health of the UK’s internal market, such as the flow of trade, the impact of regulations on intra-UK competition and investment, or the ready availability of goods and services for all our citizens. The CMA, which the OIM will be established within, already operates at a strict arm’s length from the Government and all devolved Administrations. It has built up a wealth of expertise and experience, and has a global reputation for promoting competition. That is why it is a natural fit. As my hon. Friend the Member for Stone mentioned, the Bill clearly sets out that the OIM would be required to provide access to its reports and advice to all four Administrations on an equal basis, enhancing transparency and accountability.
ParlaMint-GB_2020-09-15-commons.u446	The Minister is doing his best job to front this up and to give some of the detail that the Prime Minister was not across yesterday, but does he not have the slightest bit of doubt when his own colleague, the legal representative on the Welsh Conservative Benches in the Senedd, David Melding, resigned saying that this Bill poses dangers to the Union and that those have been gravely aggravated by the decisions of the Prime Minister? When somebody of that standing has criticised the Bill in this way, does the Minister not have any qualms about what he is doing?
ParlaMint-GB_2020-09-15-commons.u447	That is why I am going through the clauses and amendments at Committee stage to keep the focus on what is so important—what businesses expect us to do. I will not go through all the clauses, for reasons of brevity, but I am happy to follow up with anybody who wants to do that as we go through the rest of the Bill’s stages Amendment 30 would require the Secretary of State to obtain the agreement of the devolved Administrations before the Secretary of State specifies the level of financial penalties in secondary legislation in cases of non-compliance with the information-gathering requirements of the CMA. I am happy to reassure the Committee that the Government are committed to not taking any steps to bring the financial penalties into effect by commencing the clause until there is clear and credible evidence that there is a need to do so to enable the CMA to fulfil its internal market functions under the Bill. The amendment would also require the Secretary of State to consult with other relevant persons before making the necessary regulations. I want to confirm that the devolved Administrations would be consulted as other persons the Secretary of State considers appropriate, so they do fit within that On new clause 2, we are committed to maintaining high standards across the UK. That is absolutely vital. There are effectively two strands of this debate: first, the devolved Administrations; and secondly, concern—understandable concern—about standards. We have said repeatedly that we are committed to maintaining high standards across the UK, so I am pleased to have the opportunity to set out how we are already working with the devolved Administrations to ensure that this will be done. I thank the hon. Members for Nottingham East (Nadia Whittome) and for Cynon Valley (Beth Winter) for their passionate remarks in favour of common frameworks and the high standards that we have here in the UK. The new clause, though, seeks to fundamentally alter the nature of the common frameworks programme, the design of which was agreed by the UK Government and devolved Administrations in October 2017 at the Joint Ministerial Committee on EU Negotiations. The principles agreed made it clear that the common frameworks are based on consensus and are designed to establish continuing dialogue between the UK Government and devolved Administrations. This dialogue facilitates policy development in a range of policy areas where powers returning from the EU intersect with devolved competence My hon. Friend the Member for North East Bedfordshire rightly asked what underpins those common frameworks. Common frameworks provide an agreed approach to ensuring regulatory coherence across the UK in specific policy areas where powers are returning from the EU and intersect with devolved competence. The Bill, on the other hand, works alongside these common frameworks to provide a broader structural underpinning, and offers additional protections to the status quo of UK trade, ensuring certainty for businesses and investors in the form of a backstop—if I may say that—of regulatory coherence. The UK Government continue to work closely and constructively with the devolved Administrations. It would not be appropriate to create a legislative underpinning for UK common frameworks because this is about consultation, collaboration and working together with the Administrations rather than legislating to push them to do so In conclusion, in the debate we have had today, we started off with some misunderstandings about common frameworks—we have five frameworks coming before Christmas, including for food standards. We have talked about whether water and the national health service were at risk in Scotland, both of which are not within the scope of the Bill. This is really important: when one starts reading the Bill, one has to get to the last page, because that is where the schedule of exclusions is. It is important to do that, before we posture here in this House about something. As I say, businesses are crying out, “Do not do the politics. Let us trade across the UK.” That is what they are crying out for. That is what they want. So I hope that the amendments will be not be pressed and then we can get on with getting this Bill through the House.
ParlaMint-GB_2020-09-15-commons.u448	Mr Evans, it is a pleasure to serve under your chairmanship. I must admit I am still reeling somewhat from the irony of the Government opposing amendment 29 on the basis of political intrusion We have heard today from those who support independence and from those who are diehard Unionists in this Chamber. We have heard the concerns of the Welsh Government. Can I say that it is not a manufactured grievance to have these concerns from the Welsh Government, because they are genuine concerns? But that is true for Scotland, too. These are not manufactured problems; these are real-world problems I have to say that the Labour Front-Bench speech was warmly welcomed by those on the Conservative Benches today. The party that brought devolution in—the party of John Smith—undermining devolution in the way it did during that speech deserves some proper reflection In this debate, we have heard some warm words, but again, we have had absolutely no detail on how this is actually going to be protecting devolution. It is not. We have had no detail on the Office for the Internal Market. Who is going to be in that unelected body? How can we vouch for the integrity of anybody when we do not know who is going to be on that body and who is going to elect them—or who is going to appoint them, I should say The Minister talked about alcohol minimum pricing, which by definition is a discriminatory policy in Scotland. How can that possibly be protected under these measures? It cannot be. If we choose in Scotland and if the Scottish people vote for policies aimed at public health that cause the problem, the Bill still undermines the ability to do that The Government are determined to continue with their programme of overriding the Scottish Parliament and its elected representatives, and this underlines the fact that Scotland will never be seen as an equal member of the UK. We do not accept this. The people in Scotland are saying, and it is reported in poll after poll, that the only way to protect our Parliament is to be an independent nation Mr Evans, I press our amendment 28 Question put, That the amendment be made The Committee proceeded to a Division.
ParlaMint-GB_2020-09-15-commons.u449	Will all non-Front Benchers leave the Chamber behind me, please, and then join the queue in Westminster Hall? Remember to socially distance please as you leave. Thank you very much.
ParlaMint-GB_2020-09-15-commons.u450	On a point of order, Madam Deputy Speaker. Can you help Back Benchers, please? A number of Back Benchers who wanted to come into the Chamber for this part of tonight’s business were prevented from coming in, and we now have a scenario in which almost the only people in the Chamber are members of the Government and Whips. As I understand it, their plan is to try to distort the votes that may take place on some of the remaining orders, which were originally going to be the subject of deferred Divisions. It seems that, as the business has finished early, the Government are intent on preventing our having a physical Division on some of the remaining orders.
ParlaMint-GB_2020-09-15-commons.u451	I understand the hon. Gentleman’s point. Perhaps I have a better view of the Chamber than he has because I have the advantage of being in the Chair, but it would appear to me that there are several spaces in which Members could sit on the Government Benches and a great many in which Members could sit on the Opposition Benches. I point out to the hon. Gentleman, and to the House, that if there were too many members of the Government party on the Government Benches, I would not stop Government Members sitting on the Opposition Benches, given the unusual circumstances under which we are now operating I have to say that I do not understand the hon. Gentleman’s point. No one can be prevented from coming into this Chamber and—I will say this quite loudly—if there is anyone who feels prevented from coming into the Chamber right now, they should come and see me. People can come into the Chamber right now.
ParlaMint-GB_2020-09-15-commons.u452	Further to that point of order, Madam Deputy Speaker.
ParlaMint-GB_2020-09-15-commons.u453	I am not sure that there can be anything further to that point of order, but out of courtesy and given the hon. Gentleman’s seniority in the House, I will take his point of order.
ParlaMint-GB_2020-09-15-commons.u454	I am grateful to you, Madam Deputy Speaker First, there was an attempt physically to stop me coming into the Chamber. When I said that I wished to come into the Chamber to shout “Object”, I was allowed in You just said, Madam Deputy Speaker, that there are spaces in the Chamber, and so there are, but that was not my point. My point is that while Back Benchers were discouraged or have been kept out of the Chamber, I can count the Government Whips—there are one, two, three on this Bench and four, five, six, seven, eight—
ParlaMint-GB_2020-09-15-commons.u455	Order.
ParlaMint-GB_2020-09-15-commons.u456	There are about a dozen Government Whips here—
ParlaMint-GB_2020-09-15-commons.u457	Order. How many people with particular duties in the House there are sitting in the Chamber is not a point of order. Any Member can sit in this Chamber. The hon. Gentleman’s presence in the Chamber is itself evidence of the impracticality and impossibility of any Member—be they a Whip, a Minister or anything else—trying to prevent any Member, but especially a Member with the hon. Gentleman’s seniority, from entering the Chamber. I have just said it and will say it again: if there is any Member out there who feels prevented from coming into the Chamber and wishes to come in, let him or her come in now and I will protect them Let us proceed.
ParlaMint-GB_2020-09-15-commons.u458	No!
ParlaMint-GB_2020-09-15-commons.u459	On a point of order, Madam Deputy Speaker. There are thousands—in fact, tens of thousands—of people who will be observing these proceedings and will have noticed that the Government have contrived to prevent this House of Commons from being able to have a substantive vote on some of the most repressive legislation we have ever seen in our democracy. My right hon. Friend the Member for New Forest West (Sir Desmond Swayne) and I are but two among many Members who object to what is going on, and all I can say is that revenge is a dish best served cold.
