ParlaMint-GB_2020-03-12-commons.u1	1. What steps he is taking to improve bus services in (a) rural and (b) other areas.
ParlaMint-GB_2020-03-12-commons.u378	Order. I am afraid I must reduce the time limit to five minutes.
ParlaMint-GB_2020-03-12-commons.u379	Listening to this debate, I am struck by the contrast from when I, like many other Members, campaigned to be elected to this place, and was told that there is no such thing as a magic money tree. I now find out, in my first Budget, that in fact there is—absolutely remarkable The Budget was clearly funded in large part by a cancelled reduction to corporation tax, and by an unprecedented upswing in planned borrowing. I welcome the response to the coronavirus epidemic, which is measured and timely. My plea is for the UK Government to continue to work closely with the Scottish Government, and to make clear the specifics of the funding that will come through, so that those Governments continue to work together in the best way It is one thing to respond to a big exogenous shock such as coronavirus; it is quite another to mitigate a self-inflicted wound such as Brexit. In the report by the Office for Budget Responsibility I found figures that we would not normally expect to find on the side of a bus. Page 27 states that trade with the EU is estimated to be 15% lower after 10 years, with productivity down by 4%. Further to that, a free trade agreement would reduce Scottish GDP by 6% by 2030, and by 8.5% in the case of no deal The UK Government say they are prepared to leave without a deal, but as the hon. Member for Richmond Park (Sarah Olney) pointed out, the OBR’s outlook is predicated on the assumption that the UK will move in an orderly fashion to a new trading arrangement with the EU. Page 30 of the Treasury Red Book states that the comprehensive spending review baseline scenario is that the UK will exit the implementation period without a future relationship being agreed, and no financial or fiscal provision has been made anywhere to seek to deal with that. Therefore, OBR forecasts depend on a deal that the CSR is about to discount. More significantly, those two documents make clear that the UK Government can either have their Budget and fiscal rules, or they can have their threat to walk away from negotiations, but they simply cannot have both I welcome the £800 million commitment to carbon capture, usage and storage, but I note that it is spread over four projects. In the second round of carbon capture and storage, which was pulled by the previous Government, the total was larger at £1 billion, but for fewer projects. We need clarity, and the Government must push on with this, because there is no route to net zero emissions that does not involve CCUS Similarly, for an oil and gas sector deal, we must decarbonise the extraction process. There is a proposal to connect Shetland to the main electricity grid on mainland Scotland, and if we did that, if would become possible to electrify the oil extraction processes west of Shetland and reduce emissions. That would allow for renewables to connect to the grid. There are a range of regulatory and technical stumbling blocks, but it is the sort of project that cries out for inclusion in an oil and gas sector deal, alongside promotion of the hydrogen economy, subsea, and decommissioning For me, the most worrying aspect of this Budget is the utterly insipid growth rate that has been forecast. After years of austerity, GDP growth has been reduced to 1.1%, which is 0.4% lower than was forecast last March. Even with an unprecedented level of borrowing, and the splurge we are about to see, the OBR is only able to estimate that GDP growth will be 0.5% higher than it would otherwise have been. That is a dismal and damning figure This Budget stands and falls on page 29 of the OBR report, and it is on that that I will conclude my remarks. Page 29 makes clear that fiscal loosening and its effectiveness depends entirely on the mix of projects shown. I am not sure that we have a bazooka; we have more of a blunderbuss, with a similar lack of focus and worry about where things land. If in that stimulus we end up with more proposals like the bridge to Northern Ireland, then heaven help us we will not see the impact there should be for that level of investment. That is the hallmark of the Budget: a lack of coherence and a lack of detail. With veiled threats to bypass the devolution settlement through the shared prosperity fund, there is a lack of respect, a lack of investment in social improvement, and a lack of compassion that is rapidly becoming the hallmark of this Government. That will not go unnoticed.
ParlaMint-GB_2020-03-12-commons.u380	At Prime Minister’s questions, I called on the Prime Minister to deliver investment for skills and infrastructure in the west midlands. The Chancellor certainly delivered. There is investment in transport, with hundreds of millions of pounds for better bus and train services in the west midlands and £54 million to fix potholes. That investment will support our excellent Conservative Mayor Andy Street’s transport plan to transform local public transport into a comprehensive system serving the whole west midlands county. There is investment in housing, with the new £400 million brownfield housing fund, to build the houses we need without threatening our precious green spaces, and £9.5 billion for the affordable homes programme to help to prevent homelessness. There is also investment in skills, through the £3 billion skills fund, to help to gain the skills they need for highly paid jobs and to ensure our firms can have the workforce they need to compete Coronavirus poses an immediate economic challenge. I welcome the impressive package the Chancellor announced, as well as making sure that the NHS has all the resources it needs to deal with the consequences. The 12-month business rate holiday for firms in the retail, hospitality and leisure sectors with a rateable value of under £51,000 will for many make the difference between getting through this outbreak or going under. It will save jobs in the constituencies of every Member of this House. Larger businesses in those sectors also face massive challenges: sharp falls in business linked to the outbreak come on top of higher costs from spiralling business rates and pose an existential threat In the medium term, perhaps the most significant part of yesterday’s Budget is the fundamental review of business rates at a time when so many town centres are being squeezed. It makes little sense to base local business taxation on notional land values that assume high streets carry a premium. A system of taxation created in the 1960s and based on property taxes introduced by the first Queen Elizabeth is not fit for the needs and characteristics of the 21st century. In the meantime, I hope Treasury Ministers will consider extending support to larger operators in the hospitality sector, who, because they employ large numbers of people in a labour-intensive industry and by their nature need large properties to accommodate guests, fall outside most of the support measures announced yesterday. They will, however, be hit harder than anybody by any lockdown or other restrictions on tourism An important part of our local economies are our local pubs. I have spoken many times about the economic, social and cultural contributions of community pubs and British brewing. Ministers have heard that many more times than most, so I will not repeat all that now, but I thank the Chancellor for his generous mention yesterday and even more for the generous support he announced. Increasing the business rate discount for pubs with a rateable value of under £100,000 by 400% to £5,000 is great news. Cancelling the inflationary rise that was due on beer duty, the third freeze in a row, means that beer will be 11 pence per pint less expensive than it would have been had those three rises gone ahead The Chancellor also announced a review of the duty system, which is only possible now because we have got Brexit done and will be taking back control at the end of this year. I hope the Treasury will consider how a post-Brexit duty system could better support our community pubs, rather than those who pile the beer high to sell it cheap in our supermarkets or off-licences. Perhaps we could have a system like the one in Australia, where beer sold in large containers such as casks or kegs pay about a third less duty than beer sold in bottles and cans, which are more typically bought from supermarkets. Such a move would help to protect our remaining pubs, secure the jobs that they sustain and encourage people to drink sociably in well regulated, licensed premises rather than drinking alone at home, or elsewhere, where fewer safeguards exist Yesterday’s Budget addressed both the immediate challenges of a health crisis, with the coronavirus outbreak, and the longer-term needs of building a framework that will encourage growth and build prosperity in all our communities. That is certainly something to which we should all be able to raise a glass.
ParlaMint-GB_2020-03-12-commons.u381	It is a pleasure to follow the hon. Member for Dudley South (Mike Wood), and I share his commitments to and support for the revision of how we do business rates. However, my constituents will be concerned about all sorts of things in the Budget, so I will try to pull apart a few things in the time I have available Of course, we welcome the Chancellor’s commitment to making provision for covid-19 and for businesses, and I thank him for the relief of business rates. My constituents who work in the NHS are only frustrated that it takes a crisis for the Chancellor to say the important words that he will let the NHS have “whatever it needs”. I urge him to make that a motto for the future, because the NHS should genuinely always have what it needs My constituents will be concerned about school funding, and of course, I welcome any cash increase in that, but that is against the backdrop of sustained cuts over the last 10 years. There has been a lost generation of children and young people whose education has been damaged by having large classes or subjects cut, and particularly those with special educational needs. There was barely anything on social care, either for adults or children. Children with special educational needs and disabilities have paid a price for austerity, and that can never be recovered. Parents tell me of their sadness at what has been lost in delayed assessments and missing support On the creative industries, as we leave the EU, this country could have chosen to negotiate to stay in Creative Europe. Thirteen European states that are not members of the EU are in fact members of Creative Europe. This is about not just money, but the economic benefits of the non-cash elements of Creative Europe for our fantastic creative industries. That is missing, unfortunately, from the aims for negotiation with the EU, but the Chancellor could have made up for it. The cultural investment fund is welcome, but it is in no way an adequate replacement for the networking, exposure and sharing of our creative industries, and that is a lost decade to come On Brexit mitigation, there is the ridiculous but now trademark and rather dreary slogan about getting it done, which I am absolutely sure Ministers must know is complete rubbish, because we are still in negotiation about the future relationship, and that is massive. My constituents told me for much of the last three years about the consequences for them of this now rapid drift away from the original promise by the original Brexit Secretary of State, the right hon. Member for Haltemprice and Howden (Mr Davis), that we would get the “exact same benefits” in the future relationship. That aim has disappeared, never mind the reality. I am sure that we all really knew—and I am absolutely certain that the right hon. Gentleman knew—that this was going to be nonsense, and so it has proved. We have now seen successive Brexit Secretaries of State and two Prime Ministers downgrade that “exact same benefits” to a “best-in-class” trade deal, and now to a very slim volume of negotiating aims, with mean-spirited language about our nearest neighbours—in sharp contrast to rather thicker volume about the negotiating aims of the US We are now hurtling towards what I have to name as a no-deal Brexit, with all the tariff and non-tariff barriers that that will bring. That will hurt the exporters and importers in my constituency. We could choose to stick to our previous commitment as a country to some form of regulatory alignment and some form of level playing field, but without that, it is not surprising that we look likely to make any deal with the European Union virtually impossible Finally, and most importantly, I turn to climate change. The Committee on Climate Change—not me, the Committee—said that the best they could say about the Budget was that it was a “realistic start” but it was not close to what is really needed. The Chancellor kept saying that the Government were going to meet their environmental obligations, but environmental groups do not agree. The Government’s advisory group does not agree. I do not agree. My constituents definitely do not agree. This is an existential threat. It is a matter of urgency—it is an emergency. I salute the Chancellor for taking the coronavirus emergency seriously and I just want him to do the same, with the same level of urgency, with the climate change emergency In conclusion, this Budget fails to address my constituents’ concerns. While it contains many good things, especially on covid-19, it does not undo the economic and social damage of the past 10 years or the cuts to public services, and it fails to treat the climate emergency as an emergency. It is a Brexit Budget. The Chancellor used to be seen as the coming man, but I fear that he is now just seen as Cummings’ man, with an agenda of deregulation, downgrading of public services, and shrinking of the state. The Chancellor has a family, and one day they will ask him what he did about climate change, and I hope that he will be able, before the COP climate change conference this autumn, to tell them exactly what he did to protect the climate.
ParlaMint-GB_2020-03-12-commons.u382	Let me begin by thanking my right hon. Friend the Member for Richmond (Yorks) (Rishi Sunak) for his excellent first Budget yesterday. He set out an ambitious economic agenda that backs business and innovation and invests in hospitals, schools and police, and I welcome the freezing of beer and fuel duty. It is a Budget that benefits everyone in Britain by levelling up the economy and delivering on our ambitious manifesto commitments to spread opportunity across every community. I agree with the many other hon. Members who welcome the Chancellor’s increased support for businesses in the light of the current coronavirus pandemic, and I also welcome the Government’s extra support at this difficult time To return to the economy in general, my constituents in Stafford have seen at first hand the economic advantages of having a Conservative Government. It is estimated that someone working full time on the minimum wage in the west midlands is over £5,200 better off than when Labour was in power a decade ago, which represents a real improvement in the lives of ordinary people. As a former entrepreneur who set up and sold my own small business prior to entering Parliament, I understand the importance of job creation, and we must continue to back wealth creators. Nationally, it is the Conservatives who have put employment at a record high, and I welcome the more than 3 million new jobs created since 2010. Over the past decade, the British economy has grown faster than those of France, Italy and Japan. I was particularly pleased that the Office for National Statistics recently announced that employment in the west midlands has risen by 0.7%—the highest employment rate across the whole country With its rich history of shoemaking to its role as a thriving engineering centre, my constituency of Stafford has long been a key region for British manufacturers. We have an ambitious local plan to increase tech start-ups in the region to create a “silicon Staffordshire”. A great example of that is the local employer Risual, which is one of the UK’s leading technology firms. I recently visited the company, and I congratulate it on its excellent work in championing apprenticeships and ensuring that local students have access to quality jobs. It is a great example of an internet business helping to create real jobs on the ground. I also recently met the local Staffordshire chamber of commerce and our excellent Mayor of Birmingham, Andy Street, and I agree with both that a skilled workforce is vital to securing our economic future. That is one of the reasons why I am such a big champion of apprenticeships, and I am pleased that the Government are continuing to promote them and T-levels. It is important that we continue to strive to plug any local skills gap Last Friday, I visited Stafford College, which has been rated outstanding by Ofsted, and met some of the students and apprentices who form part of our future workforce, learning about their specialist training with local employers across Staffordshire. I was therefore pleased to hear in the Budget that the Chancellor has committed an additional £3 billion to a skills fund to help ensure that young people are gaining the skills they need to get well-paid jobs. I look forward to working with employers to ensure that the west midlands continues to create a record number of jobs to be filled by local people. Young people are the future of our country, and it is vital that they are being trained to become employees with transferable skills who can contribute to the economy Stafford is open for business and the people of Stafford have always believed in getting stuff done, which I am sure our Chancellor will appreciate. My constituency also has General Electric, which employs 1,700 people and is a great example of a multinational company providing high-quality jobs for my constituents while also playing a major exporting role for the UK Finally, I would like to congratulate MOD Stafford in my constituency and pay a huge debt of gratitude to all our armed forces personnel for the vital contribution they make in serving our country. I was particularly pleased that the Chancellor announced yesterday that we will now have a national insurance holiday for employers of veterans in their first year of civilian employment, a much-needed step in encouraging companies to employ ex-servicemen and women. I encourage the Government to continue to maximise employment levels for those who have served in our armed forces.
ParlaMint-GB_2020-03-12-commons.u383	We have had some excellent speeches today. I do not have time to reference them all, but I pay particular tribute to the three Members who gave maiden speeches today. We heard first from the hon. Member for Hastings and Rye (Sally-Ann Hart). I was very impressed to hear that her constituency has the biggest skate park in Europe. Then we heard from the hon. Member for Warrington South (Andy Carter), a fellow neighbour along the Manchester ship canal. I share his excitement about Daresbury science park; I have been there numerous times and know the fantastic work that it is doing. Finally, we heard the maiden speech of the hon. Member for Leigh (James Grundy), who talked of his proud northern roots and stated that Leigh was a proud northern town. That is a sentiment that I certainly share. All three speeches were very passionate, and it was very clear that those Members will be passionate advocates for their communities over the coming years. I wish them the very best of times in this House We live in precarious times. The three crises we face, coronavirus virus, the social emergency and the climate emergency, demanded a brave Budget—a bold Budget—to tackle them head-on. It was welcome to see action to help businesses encountering cash-flow problems, zero rates for businesses that qualify for the retail discount, the loans available for those affected by the virus and the 14-day statutory sick pay rebate for small firms. Those measures will help, but there remain gaping holes in the Government’s response to the virus. Statutory sick pay is £94 a week, which is not enough for many people to live on and pay the bills. That means that people who fall ill will be forced to choose between hardship on the one hand and risking their health and those of their colleagues on the other. What of those not eligible to receive sick pay—the insecure workers created by a decade of Tory rule? For them, the choice is even starker. While extra funding for the NHS is welcome, we cannot overturn a decade of cuts and capacity shortages overnight with a quick cash injection On the social emergency, we live in a society in which life expectancy is actually falling for the poorest. We have rampant regional inequality, hunger in schools and public services pushed to breaking point by a policy that even the Chancellor now admits was a political choice all along—the choice of austerity. Is it not telling that this Budget was silent on social care and universal credit? Is it not telling that it backed away from the tax rises on the wealthiest floated by his predecessor, and that while the biggest firms will benefit from his spending plans, there will be little if any plans for truly redistributive spending that would benefit our society from the bottom up? The Government’s own analysis shows that the tax and benefit changes, excluding public service spending, make richer households better off and cut earnings for the poorest. As the Women’s Budget Group has stated: “We may have more roads and fewer potholes as a result of this budget, but the prospects for investing in social care and tackling child poverty remain bleak.” Turning to the emergency that will define our generation and those to come, the climate emergency, I would like to list those things on which this Budget was silent. On solar power, wind power and tidal power, there was nothing. On the Tory manifesto pledge to support hydrogen production—nothing. On the Tory manifesto pledge to spend £9.2 billion on energy efficiency and cut household bills—nothing. On the Tory manifesto pledge to support a gigafactory for electric vehicle batteries—nothing. On reducing emissions from agriculture—nothing. On making public transport more affordable—nothing. And on measures to support workers and communities to transition away from carbon-intensive industries—nothing That is quite a list, but if we look at what the Budget does contain, the picture gets even bleaker. The Chancellor boasts of the biggest ever investment in roads and motorways, but Madam Deputy Speaker, I have spoken with scores of climate strikers and let me tell you that not a single one asked for a new motorway. So how does the Chancellor expect to square that with the UK’s emissions targets? It is not likely to come through action on petrol and diesel cars, because we are stuck with a 2040 phase-out date, and it is not likely to come through support for electric vehicles, because the Chancellor announced only an additional £140 million for the plug-in car grants. Assuming that the grant stays at £3,500, that is enough for only 40,000 cars, compared with the 2.5 million that are sold every year. So what else have we got? There is a commitment to fund carbon capture and storage by loading the costs on to consumer bills—perhaps the most regressive funding mechanism available There is a commitment to delivering a more than 600% increase in current tree planting rates in England. That sounds impressive—until we realise that the increase is only so large because tree planting has collapsed in England under this Government. When we look at the actual commitment in detail—35,000 hectares over five years—we realise that it is five times lower than the UK-wide rate recommended by the Government’s own official advisers Then there is a commitment to consult on measures to support renewable heat. There is a commitment to consult on green gas. There is a commitment to publish a review—sorry, two reviews—on the cost and benefits of reaching net zero. I do not think I am alone in this House in saying that consultations and reviews are not quite what we had in mind when we declared a climate and environment emergency last year Public calls for a climate Budget have never been louder, but what does that mean in practice? There are three key tests. First, is the Budget adequate? Does it take its lead from science rather than political expediency, cutting emissions at the rate necessary to avoid dangerous heating? Secondly, is the Budget aspirational? Will it create hundreds of thousands of good green jobs, positioning the UK as a world leader in the green industrial revolution, bringing huge wealth to all regions and nations? Finally, is the Budget fair? Does it spread the costs of dealing with the climate emergency in a way that is progressive and just, at home and internationally This Budget does not meet any of these tests, so I conclude in sadness and anger that the Chancellor has blown the biggest opportunity for national renewal since the post-war era and betrayed current and future generations.
ParlaMint-GB_2020-03-12-commons.u384	Madam Deputy Speaker, or may I say Chairman of Ways and Means? What a delight it is to see you in the Chair. It is an epochal moment—the beginning of a new decade, a new Government and a new Chairman of Ways and Means. How delightful is that I very much support what the hon. Member for Salford and Eccles (Rebecca Long Bailey) said about the quality of the maiden speeches in this debate. We have greatly enjoyed them. I was struck by the crazy golf. I was struck by the Amber seaside express, but what came through all the speeches—not just that from my hon. Friend the Member for Hastings and Rye (Sally-Ann Hart) but also those from my hon. Friends the Members for Warrington South (Andy Carter) and for Leigh (James Grundy)—was the tremendous sense of pride that they exhibited. They had pride in their community, pride in their history and pride in their own achievements in coming to this House. They also, I thought, showed a wonderful fair-mindedness about predecessors of both political parties and I very much associate myself with that spirit. I congratulate them on that I salute the men and women of the Treasury and HMRC who made this Budget possible. In fact, they did not just make one Budget possible; they made two Budgets possible, including the one that never got delivered. Their expertise, dedication, good humour and sheer hard work is something that I think everyone in this House should be aware of and thank them for I also pay tribute to my fellow Ministers for their contributions to the Budget and pay tribute especially to the Chancellor. A new Budget from nothing in weeks; a vast array of measures, including measures not taken up. A fully integrated cross-Government response to a national crisis of coronavirus, but which also lays the foundations for decades of higher investment in infrastructure. That, to me, speaks of a parliamentarian of enormous ability, mastery of detail, warmth and humanity, for which I salute him. A new Budget, leadership on coronavirus and new energy and direction on infrastructure—I hope my colleagues will agree that he got them done This Budget has been well received and well supported by many groups across the business sector. Today’s debate has been on business and innovation, and it is good to see the CBI acclaim it as “a bold Budget at scale…which will help people and business through tough times.” The Federation of Small Businesses calls it an “excellent pro-small business budget” And the British Chambers of Commerce says: “Much to welcome for UK business communities” How important is that I am particularly pleased that Make UK, or the Engineering Employers Federation as it used to be known, says: “Today’s measures to boost R&D will be applauded by industry and will help the UK lead in the technologies”— including, of course, the green technologies— “of the future.” The shadow Chancellor began his remarks by saying this is not a time for partisan politics and, of course, I agree. I was therefore slightly surprised when his first move was to descend into partisan politics, and I am sad that the shadow Business Secretary has done the same I am struck that one particular measure in the Budget has not received the attention that it perhaps should have done. Paragraph 2.77 on page 76 addresses the support we are giving to assist in opening up and reviewing private finance initiative projects across the public sector. We know that PFI has been a disaster for this country, and it was overwhelmingly initiated and carried out by the Labour party in the hospital sector. The idea that the NHS, in which virtually every PFI project was conceived and executed under a Labour Government, should be a topic of the Labour party’s criticism is astonishing. [Interruption.] I welcome you to the Chair, Mr Deputy Speaker PFI costs this country £10 billion a year, and any steps we can take to remove that burden on current expenditure—[Interruption.] I am sorry but, as I understand it, the shadow Business Secretary was intimately involved in PFI. I wonder whether, in her seven years in that area, she looked at the PFI project in Hereford, on which I had to run a process that saved £5 million for the taxpayer and greatly improved the delivery of hospital care to my constituents The fact of the matter is that this Government and their predecessors have had to deal with the terrible crisis of 2008, even now, and I remind the House that the tragedy—[Interruption.] Those are desperate attempts by the Opposition Front Bench to put me off The fact of the matter is that the banking sector in this country was at 20 times its capital leverage in 1960, at 20 times its capital leverage in 1970, at 20 times its capital leverage in 1980, at 20 times its capital leverage in 1990 and at 20 times its capital leverage in 2000. Between 2000 and 2007, that 20 times went up to 50 times—pin seven years. No further explanation need be given for why, when the crisis struck, it had a catastrophic effect, an effect that we are still seeking to remedy The United Kingdom has entered a new decade and a new era in which our prosperity as a nation will be shaped by the dynamism of our economy, the ingenuity of our entrepreneurs and the success of British businesses of all kinds. Yesterday’s Budget is emblematic of the sense of purpose and energy that defines this Government as we seek to chart a bold new path for this country in the global economy to ensure that we remain a competitive place to do business; that we deliver the infrastructure and investment necessary to spread jobs, growth and opportunity across this country; and that we build on our historical strengths, referenced on many occasions in this debate, in science, technology and innovation to position ourselves at the forefront of the industries of the future. Thanks to the decisions we have made, we are building on firm foundations. We have kept corporation tax at 19%, the lowest in the G20, so that businesses have more freedom to invest in their own priorities. We have cut business rates—referenced in speeches on several occasions and rightly so—for more than half a million of the smallest firms, which pay nothing at all a result We are delivering £20 billion of patient capital action—
ParlaMint-GB_2020-03-12-commons.u385	Will the Minister give way?
ParlaMint-GB_2020-03-12-commons.u386	There have been so many interventions and I simply cannot cover all the speeches if I take an intervention now. I know that the hon. Lady will excuse me. We gave the party opposite the chance to intervene We are delivering a £20 billion patient capital action plan to unlock private financing in high-growth innovative companies, and we have established a regulatory system that strikes the balance between responsibility and opportunity to allow us to embrace the most exciting ideas in technology Let me touch on many of the important speeches that have been made today. The hon. Member for Glasgow Central (Alison Thewliss) raised the question of Barnett consequentials and, if she looks at page 49 of the Red Book, she will find them in paragraph 1.159 The right hon. Member for Wolverhampton South East (Mr McFadden) raised the question of human capital. I know that he will be thrilled that we have a £2.5 billion skills fund—
ParlaMint-GB_2020-03-12-commons.u387	Will the Minister give way?
ParlaMint-GB_2020-03-12-commons.u388	I will not give way, for the reasons I have already described. I can continue to waste the hon. Lady’s time and the House’s time responding to these interventions, but we need to press on I am sure that the right hon. Member for Wolverhampton South East will also enjoy the investment we have made in further education colleges—more than £1.5 billion for further education capex over the next few years The hon. Member for Kingston upon Hull North (Dame Diana Johnson) asked where the revenue from the tampon tax would go. The tampon tax fund supports women’s charities, as she knows, and I am happy to tell her that the revenue will go to that. The competition for the next round of funds will be launched by the Department for Digital, Culture, Media and Sport shortly for the 2019-20 VAT receipts My right hon. Friend the Member for South Holland and The Deepings (Sir John Hayes) rightly stressed the importance of long-term investment and as little bureaucracy as possible in making capital investment, and how right he was My hon. Friend the Member for Tonbridge and Malling (Tom Tugendhat) asked us to reach for wartime analogies in fighting coronavirus. He will have seen that the Chancellor made it perfectly clear that we are prepared to do whatever it takes to assist the British people in dealing with this temporary crisis. We will continue to do that The hon. Member for Makerfield (Yvonne Fovargue) asked about free debt advice. I think she knows that the Government are investing an initial £12.5 million in HMRC in 2020-21 to begin implementing the breathing space initiative. Those in problem debt will be able to get 60 days’ breathing space, including from HMRC, while they engage with debt advice, and I think that is a very important contribution What a delight it is to see my hon. Friend the Member for North East Bedfordshire (Richard Fuller) back in this Chamber. He rightly celebrates the small business focus of the Budget and asks us to consider business rates in relation to nurseries, and other petitions have been made in relation to that, including by my hon. Friend the Member for Arundel and South Downs (Andrew Griffith). Let me remind my hon. Friend the Member for North East Bedfordshire that most nurseries will pay no rates if their rateable value is under £12,000 because of the small business rate relief. They will now also get a £3,000 coronavirus cash grant, of course, if they are in receipt of small business rate relief. There should be some bounce already in there, but of course we continue to reflect on business rates. We have a business rates review coming up, and he and my hon. Friend the Member for Arundel and South Downs would be welcome to contribute to that The hon. Member for Rutherglen and Hamilton West (Margaret Ferrier) raised the question of red diesel. As she will know, there is a consultation associated with the changes we are making and she is welcome to support it and to make a petition to it if she wishes The hon. Member for Birmingham, Selly Oak (Steve McCabe) raised a range of questions, some of which I have already touched on, such as business rates. He asked whether we would be monitoring the impact of the reduction in entrepreneurs’ relief. Let me tell him that of course we will. The problem with entrepreneurs’ relief is that it is not very well targeted on entrepreneurship. We wish to support entrepreneurship, small business growth and rapid innovation and that is what we are seeking to do The hon. Member for Richmond Park (Sarah Olney) raised the question of green packages and rightly stressed the tough choices involved in a Budget. Let me refer her to the national infrastructure strategy. We already have a green package in this Budget. It is quite wide-ranging, but we intend to do more on it. What will not be true of us is what was true of Lord Prescott when he was in this place, when he said, “The Labour party supports the green belt and we intend to build on it.” We will not be doing that. My hon. Friend the Member for Hitchin and Harpenden (Bim Afolami) raised the question of the “Winds of Change” and gave us a historical dimension. I celebrate that, and I celebrate Lord Hennessy in his wisdom, because he is truly an ornament to the House of Lords Let me close by saying that this is a Budget for this country as a whole. It will make our economy and our country stronger still.
ParlaMint-GB_2020-03-12-commons.u389	It is a pleasure to lead this Adjournment debate, the subject of which is support for community housing—a phrase that comes from the 2019 Conservative manifesto, on which my Conservative colleagues and I fought the recent general election. The manifesto, perhaps for lack of space, conflates two of my life-favourite themes: first, giving people in local communities more real say over the housing that is to be built in their areas; and secondly, self-build housing. On the latter, I declare two interests: first, because what is now known as the Self-build and Custom Housebuilding Act 2015 started life as my private Member’s Bill; and secondly, because I am an ambassador for the Right to Build Task Force Under the heading “Community housing and self-build”—which I should emphasise for the sake of clarity are by no means entirely the same thing, although there is often an overlap—the Conservative manifesto helpfully states, on page 31: “We will support community housing by helping people who want to build their own homes find plots of land and access the Help to Buy scheme.” I could hold at least three separate Adjournment debates purely based on that one sentence—first, because there is a great deal to say about community housing and the very successful community housing fund; secondly, because there is also a great deal to say about helping people who want to build their own homes, either as individuals or as members of groups; and thirdly, because there is a great deal to say about the fact that the Help to Buy scheme unfairly and inadvertently excluded custom and self-build from its scope. Although that omission was acknowledged and recognised by the Government in 2014, it did not lead to any action being taken until the 2019 manifesto commitment, so in fact there has been an extended period of unfair competition from state-led intervention, subsidised by our tax-paying constituents, which effectively has operated against self-builders and in favour of large house builders, thus limiting supply and choice while reducing overall quality, sustainability and innovation However, I do not want to talk about that—first, because my right hon. Friend the Minister knows that I am a “glass half full” kind of guy, and there is much that is positive to talk about; and secondly, because my conversations with Ministers have convinced me that they are seized of that particular problem in relation to Help to Buy, which I hope will in due course be called “Help to Build”, and genuinely want to find a solution that works for self-builders rather than discriminates against them. In the limited time available, I will concentrate just on the first part of the sentence—namely, support for community housing.
ParlaMint-GB_2020-03-12-commons.u390	As my hon. Friend knows, I was the person who invented neighbourhood plans. I have a local plan in my home constituency for a town that has some land that it wishes to develop, but it is having enormous problems with the community land trust model in trying to do so. Does my hon. Friend think that that is typical of the problems of the community land trust route, or does he have a solution?
ParlaMint-GB_2020-03-12-commons.u391	I recommend that my hon. Friend talks to the National Community Land Trust Network, because the truth is that there are lots of different solutions that work in different environments. He will have heard, as I did, the Secretary of State for Housing, Communities and Local Government say earlier that the great idea of neighbourhood plans does not work if it is then overridden by developers who take no account of what local communities have said they want. It undermines the credibility of the whole neighbourhood plan process. In my hon. Friend’s particular case, I suggest that he talks to Tom Chance and Catherine Harrington at the National Community Land Trust Network, to see if there is a way forward, particularly if my right hon. Friend the Minister does what I hope he will do, which is relaunch the community housing fund so that the funding continues to be available, preferably on a long-term basis.
ParlaMint-GB_2020-03-12-commons.u392	Does my hon. Friend agree that community land trusts offer potentially a large part of the answer to the housing shortage in this country —uniquely among new developments, they frequently have considerable support from local communities—and that, although this Budget was overwhelmingly brilliant, it is disappointing that the community housing fund was not extended to meet the enormous demand for community land trusts?
