ParlaMint-GB_2020-09-21-commons.u1	What steps he is taking to support the domestic manufacture of defence helicopters.
ParlaMint-GB_2020-09-21-commons.u371	I wish to speak to my amendment 42. I am optimistic that we can reach a deal for the benefit of both the UK and the EU. My amendment outlines a way whereby in the event that the implementation period ends without a UK agreement we can still provide reassurance on the integrity of our internal market. The statement that EU negotiators made on 10 September, threatening, on the record, that the EU could control the movement of food from Great Britain to Northern Ireland was a regrettable escalation. The reality is that we do not need to accept its interpretation of the protocol. The alternative in the face of unreasonable demands is to state clearly our interpretation of what we agreed to when we signed the protocol As I highlighted in the debates last year—I also had numerous meetings with the then Prime Minister and the then Attorney General, and the ideas I promoted were incorporated in the previous Prime Minister’s last suggestion—there is an instrument of diplomacy that can be applied to treaties of this kind and it is called an “interpretative declaration”. Any party to a treaty can use this legal instrument on its own initiative. To emphasise that, we refer to it as a unilateral interpretative declaration. I am sorry to get into detail, but this is terribly important. The law is important and we must uphold the law, which is why I have concerns about the current direction the Government are taking. If the Germans have given the world great music and the French have given it great pictures, we have given the world freedom under the law, under parliamentary democracy, so we must remain within the law The point is that there may be a way for the Government to achieve their objective without breaking international law. If the EU were to act on its threat, it would violate our sovereignty—one of the most basic principles of international law. This is what lawyers call an act of bad faith in negotiations. It can also be called a manifestly absurd interpretation of the protocol, and under international law no one is bound by an absurd interpretation of a treaty that is entered into in good faith. If we use a unilateral interpretative declaration to spell out our objections, the EU must respond by either explicitly rejecting or implicitly accepting our interpretation. If it rejects, it must formulate and justify an alternative interpretation. If the EU goes along with a unilateral interpretative declaration made by the UK, it becomes a legally binding joint interpretation. If the EU opposes our interpretation, we have at least strengthened our negotiating position, pushed the EU negotiators on to the back foot and gained a basis for appealing to EU national Governments for new instructions to be given to EU negotiators Importantly, an interpretative declaration would hand the EU a way out of the escalation, which is why I am putting this forward as a constructive idea to get us out of the impasse we are in. So much of diplomacy is about saving face, and this would help the EU to do so, while securing an agreement. We would not be reopening or unpicking the protocol; we would just be making a small explanatory statement of our interpretation of what we had signed up to in good faith. Stage three of Brexit starts in January, when we will have established a series of new relationships between the UK, the Republic of Ireland and the EU. There have been deep and bitter rifts over this, first about the backstop and then about the new protocol, but two major improvements have taken place. First, we no longer have the backstop. Secondly, the new arrangement will last only as long as it has the consent of the people of Northern Ireland. Critics say, “Oh, but Northern Ireland is part of the UK. We will still be linked to the EU.” That is a valid point, but what clear alternatives are they offering We have a fundamental logical difficulty here. We have three important goals, and it is difficult to see how they can all be reached compatibly but in full: first, we want to support the Belfast agreement; secondly, we want to leave the customs union; and thirdly, we want a cohesive, sovereign, independent United Kingdom. We cannot reach each of those three goals in full simultaneously without a little bit of give and take, and that is all I am suggesting. We need to invoke the great British spirit of compromise. It may be called muddling through, but it is what we do best It is the same in the family of communities that is the United Kingdom and the family of nations in the world. We need to make sacrifices in order to work together. With a little bit of malleability, making some tweaks to the integrity of our internal market, we can preserve the peace in Northern Ireland that has taken so long to achieve. Equally, if we are making some adjustments and sacrifices, the European Union needs to sacrifice its rigid attitudes. That is the compromise I propose, and I hope it is helpful to the debate.
ParlaMint-GB_2020-09-21-commons.u372	This is the first opportunity I have had to speak on the Bill, which I have profound concerns about, so I want to use the early part of my remarks to lay out my clear objections to the Bill. After that, I will seek to address part 5 of the Bill, which is the focus of our line-by-line scrutiny tonight Like many colleagues from Scotland, I have grave concerns that the Bill is not only a slap in the face to the rule of international law but undermines the very foundations of the devolution settlements, which are so precious to Scotland, Wales and Northern Ireland. That should not surprise the people of Scotland, who witnessed the Tories campaign vehemently against devolution in the 1997 referendum. The truth is that the Conservatives and this Prime Minister in particular have never respected the devolution arrangements. As my right hon. Friend the Member for Ross, Skye and Lochaber (Ian Blackford) reminded the House last week, it was a former Daily Telegraph writer who wrote a tirade against devolution, saying: “Devolution is causing all the strains that its opponents predicted, and in allowing the Scots to make their own laws, while free-riding on English taxpayers, it is simply unjust.” That former Daily Telegraph writer was, of course, the current First Lord of the Treasury, the Prime Minister From the outset, I absolutely reject the Bill and will vote against it at every opportunity until it is foisted on to the statute books by a Tory Government that people in my country never voted for. But let us be crystal clear about the draft legislation before us and the consequences of it receiving Royal Assent. For a start, the Bill would undoubtedly lead to a race to the bottom on food and environmental standards. Indeed, it creates more, not less, uncertainty for businesses and makes the case that the only way to truly defend the Scottish Parliament is with the normal powers of independence. I am long enough in the tooth to know that Committee of the whole House means that my remarks have to be focused on the specific clauses at hand, so I will not test your patience much longer, Dame Rosie, and will seek to focus on part 5 of the Bill. Indeed, I will make specific and limited references to clauses 40 to 45, but in doing so, I wish to indicate my support for amendments 27, 31 to 40, 44, 80, 88 and 89, in the name of my hon. Friends on the SNP Benches, and I will also support new clauses 5 and 6 if they are put to a Division I want to first deal with the issue of breaching international law, which has been the source of much debate this evening and in recent weeks. Since this is the first time that I have participated in proceedings on the Bill, I have had the opportunity to watch all of this play out, particularly on Second Reading last week, and I am still not quite sure what to make of it, if I am truly honest Part of me still finds it jaw-dropping and astonishing that the Conservative party—once the party of law and order—is now openly flouting international law. But then I realise that we have been here before, because this is a Government and a Prime Minister who do not respect or uphold the law. It is a timely reminder of the events this time last year, when my hon. and learned Friend the Member for Edinburgh South West (Joanna Cherry) forced the Government into the Supreme Court, which found their actions to prorogue Parliament “unlawful”, so should we be surprised at this Government putting two fingers up to the judiciary? Ministers need to think again, not just because it is morally wrong to break the law, but because it is also a clear breach of the ministerial code. David Anderson QC was bang on the money when he said: “The Ministerial Code still mandates compliance with international law, despite a change to its wording, as the Court of Appeal confirmed in 2018” However, the controversy surrounding the clauses before us tonight is not just about upholding the rule of law, which is surely the most basic thing we would expect from a permanent member of the UN Security Council. Pushing ahead with this madness will have an impact for post-Brexit Britain on the world stage. What does it say about a post-Brexit global Britain that its first act as an independent state is to tear up the rules-based order? I would argue that it sends a clear signal that Britain under Boris is giving two fingers up to not just international law but peace on the island of Ireland, and that is what worries me most about all this. Tory Ministers and Back Benchers appear, once again, to be playing fast and loose with Northern Ireland, with little understanding of the consequences for the fragile communities over there, or indeed for the knock-on effect on trade We know that pressing ahead with this reckless act is a sure-fire way of torpedoing any chance of a trade deal with the United States. How do we know that? Because the Americans have said so already. Take Nancy Pelosi, the Speaker of Congress, who said: “The U.K. must respect the Northern Ireland Protocol as signed with the EU to ensure the free flow of goods across the border. If the U.K. violates that international treaty and Brexit undermines the Good Friday accord, there will be absolutely no chance of a U.S.-U.K. trade agreement passing the Congress.” Most of us know that playing fast and loose with the Northern Ireland protocol, as the Bill proposes, will not end well, but imagine my surprise when I saw some tweets from the right hon. Member for Wokingham (John Redwood) suggesting: “Trade deals are nice to have but not essential. We didn’t have a trade deal with the USA when in the EU. Getting back full control of our laws, our money and our borders is essential.” I am a bit confused, because one caucus of the Tory party, headed up by the International Trade Secretary, says that Brexit is all about new opportunities for trade, and Brextremists such as the right hon. Gentleman say that trade deals are nice but not essential—all the while the Government are playing fast and loose with peace on the island of Ireland The fact is that the Bill, and specifically the three clauses before us, are a clear advert for what Brexit Britain looks like: playing peace with Northern Ireland; riding roughshod over devolution; a race to the bottom on food and environmental standards; and two fingers up to upholding the rule of law. People in Scotland can see that it is an advert for post-Brexit Britain, and do not be surprised if they trade it in for independence and take back control the next time Scotland has the opportunity.
ParlaMint-GB_2020-09-21-commons.u373	It is a pleasure to follow the hon. Gentleman. It is a sign of how fast moving these debates are that when I put into speak this evening I intended to support amendment 4 in the name of my hon. Friend the Member for Bromley and Chislehurst (Sir Robert Neill), but before I got the chance to speak he had already indicated his intention of withdrawing it. He is doing so for the best of reasons. It was an excellent amendment, and I am glad that the Government have said that they agree with the thrust of it, so we can discuss a different set of points I know that many of my friends and colleagues abstained or voted against the Bill on Second Reading because of their doubts about part 5. I voted in favour because I think that the other 50 clauses are excellent and essential. The UK internal market is key to the future prosperity of people in all four countries of the United Kingdom, and the principles of market recognition and non-discrimination are at the heart of the future prosperity of our citizens in all parts of the UK However, I shared the doubts that many had about clauses 42, 43 and 45—the essential parts of part 5 of the Bill—and I was quite shocked to hear a Secretary of State say that the UK Government were planning to break the law, even in a specific and limited way. I had not ever expected to hear any Secretary of State say that, particularly not a Conservative one, so I am genuinely delighted that the Government have taken over my hon. Friend’s amendment. I think that is a wise and pragmatic thing for the Government to have done, and I am glad to have played my part in the talks that led to it It is important that the House recognise that this is more than just kicking the can down the road, if I can revive one of the great clichés of 2018 political debate. The Government amendment needs to be put in context with the public statement that the Government have made on gov.uk and, indeed, some of the words that the Minister uttered in opening this debate, when he made it clear that Parliament will be asked to support the use of the provisions in the clauses, and any similar subsequent provisions, only in the case of the EU being engaged in a material breach of its duties of good faith and, in the Government’s view, thereby undermining the fundamental purpose of the Northern Ireland protocol, and giving examples of what that would involve. It seems to me that, despite the various attacks on the Bill that we have heard, the case is now straightforward. If the Government can convince the House that those on the other side in the negotiations have broken the rules, they can proceed. At that point, the Government have said, the dispute resolution procedures in the withdrawal agreement will come into force, which I think is another sign of legal action. But the key point is that the Government will have to make the case to this House that the EU has broken the agreement, not the UK. I am absolutely sure that that proposition will provoke a lively debate in this House, and indeed across the channel, but in the light of that debate we will then decide and we will make the law. If the Government cannot make the case that they are behaving properly, proportionately and legally, they will not convince the House. It seems to me that that is how law making should happen in this parliamentary democracy This is where I part company with my right hon. Friend the Member for Maidenhead (Mrs May), who made a passionate and powerful speech. She said that there was no difference between the Executive acting and Parliament acting, but I do not think that is true. I think that there is much greater force in action taken knowingly by the House of Commons, particularly in this context, when it is considering whether the Government are acting lawfully. Putting that power in the hands of the House of Commons is democratically proper and therefore legally proper The Northern Ireland clauses of the Bill have not had an easy passage, for good and serious reasons, but we are now in a much better place with them than we were a week ago, and I am now happy to support the Government on this and on the Bill more generally.
ParlaMint-GB_2020-09-21-commons.u374	It is always a pleasure to serve under your chairpersonship, Dame Rosie. During the passage of the Bill, I have spoken extensively on the attacks on devolution, on the specific consequences for Northern Ireland and the Good Friday agreement, and indeed on the failure of the Prime Minister to deliver on his oven-ready Brexit deal I pay tribute to my hon. Friend the Member for Sheffield Central (Paul Blomfield) for his speech, but I also wish to pay tribute to the right hon. Member for Maidenhead (Mrs May), the former Prime Minister, for her comments. I have disagreed with her courteously on many issues over the years, but she is a person of principle, public service and integrity. I am afraid that I cannot say the same about some of the others, including our current Prime Minister, our rubber stamp of an Attorney General or our now-compliant Lord Chancellor, who once stood up for the rule of law during his time in practice in south Wales, but who now seems willing, in his own words, to “fudge it”. Indeed, there are the contradictions of our Foreign Secretary, who one minute is rightly arguing for international law and human rights, such as the Magnitsky sanctions and everything that goes with them, but the next minute is undermining them I am afraid that the damage that the Government’s statements have done to our reputation is incalculable. The right hon. Member for Maidenhead, who is no longer in her place, said “frankly, my view is that to the outside world, it makes no difference whether a decision to break international law is taken by a Minister or by this Parliament; it is still a decision to break international law. This can only weaken the UK in the eyes of the world… It will lead to untold damage to the United Kingdom’s reputation.” I agree with every word We have heard many powerful speeches, from Members across the House, expressing deep concern about where the Bill is taking us. I urge those who have stood up with principle and questioned the Government and put forward amendments to think again. The Prime Minister has repeatedly broken his word: he has broken it to the Taoiseach; he has broken it to our negotiating partners in the European Union; and he has broken it to Members on his own side repeatedly. Do not trust him A number of arguments have been made that suggest there are some sort of special exemptions in the Vienna convention and various international treaties. That is simply not the case. The House of Commons Library—neutral, respected and authoritative—has been very clear, saying that this is a far-reaching power to effectively allow the violation of “any international obligation that may be engaged in the creation of regulations under clauses 42 and 43.” It notes that this is not limited specifically to a violation of the Northern Ireland protocol but to “all international obligations that may have legal implications in this context.” It also makes it clear that, under the Vienna convention, ‘“A party may not invoke the provisions of its internal law as justification for its failure to perform a treaty.’ This means that this Bill cannot change the legally binding nature, in international law, of the UK’s international obligations.” It also makes it crystal clear that “parliamentary sovereignty does not change the binding nature of the UK’s international obligations.” It is there in black and white.
ParlaMint-GB_2020-09-21-commons.u375	I am grateful to have caught your eye, Dame Rosie, so that I can respond to some of the comments that the right hon. Member for Ashford (Damian Green) was just making. I respect that he feels passionately about these matters, but to equate these clauses with genocide or the annexation of territory against the will of a sovereign state is absolutely ridiculous. It completely misunderstands the degree of doubt that exists about what international law means when interpreting international agreements.
ParlaMint-GB_2020-09-21-commons.u376	My hon. Friend is ascribing the things he most disagrees with to me—[Interruption.] No, he did say “my right hon. Friend the Member for Ashford”. I am sure that the hon. Member for Cardiff South and Penarth (Stephen Doughty) would wish to take ownership of his own ideas.
ParlaMint-GB_2020-09-21-commons.u377	I apologise to my right hon. Friend. His name was in my mind because it was on the monitor before the hon. Member for Cardiff South and Penarth spoke It is important to see these clauses in the wider context. My heart sank when I picked up the first draft of the agreement, because this was not the departure from the European Union that I had expected to see expressed in the text of the agreement; it was the same oppressive, impenetrable text with endless references to the treaties as they exist. The withdrawal agreement was clearly a concerted attempt by the European Union to continue its influence, even through the direct applicability and direct effect of European Union law on the United Kingdom.
ParlaMint-GB_2020-09-21-commons.u378	Will the hon. Gentleman give way?
ParlaMint-GB_2020-09-21-commons.u379	No, I am not going to give way. I am going to be very brief The important perspective is to ask ourselves how this debate is going to be regarded in 10, 20 or 30 years’ time. These controversies will be seen as the growing pains of the re-establishment of our national sovereign independence as a national democracy. I dare say that none of us has studied the debates on the Great Reform Act of 1832, but I bet they went through exactly the same kind of painful introspection that we have seen in the Chamber this evening. Today we look upon the 1832 Reform Act as a great stride towards the democratisation of our constitution, and history will look back at these debates in the same way and see this moment in our history as the time that we decided to take back control of our own constitutional arrangements and our own national democracy I would go further than that. There is no doubt that this Bill will get through this House intact, but some people are suggesting that there will be more of a problem in the other place. There will be those who continue to resist the consequences of leaving the European Union and the consequences of having signed a highly unsatisfactory agreement that attempts to sustain the influence of the European Union far beyond any legitimate role it has in making the laws of our country. That is what we are talking about, in relieving ourselves of these clauses. However, I can assure the House that, in the long run, nothing is going to stand in the way of the British people re-establishing and reclaiming our independence, and if the other place chooses to stand in our way in that respect, I suspect that in the longer term this House, as the democratic House, will prevail.
ParlaMint-GB_2020-09-21-commons.u380	There is so much wrong with this Bill that it is difficult to know where to start, but in the time I have available, I will concentrate my remarks on clauses 40 to 45. Those are the clauses that allow this Government to break international law and renege on the legally binding agreement that they themselves negotiated and signed up to less than a year ago—a fact that, try as they might, they can never escape from. I will also speak to amendment 41, which deals with preserving the integrity of the Good Friday agreement, on the basis of which peace has been secured in the north of Ireland for more than two decades and which seeks to defend international law from a Government who believe that somehow, uniquely and exceptionally, it does not apply to them. On 16 June, the Chancellor of the Duchy of Lancaster stood at the Dispatch Box and said that the Government were “faithfully implementing” the withdrawal agreement, including the Northern Ireland protocol. Just 83 days later, the Secretary of State for Northern Ireland stood at the same Dispatch Box and said that, yes, the Bill did break international law. This unprecedented political handbrake turn left everyone from a former Prime Minister to the United States Congress scarcely able to comprehend what they were hearing—namely, that the United Kingdom was prepared to go rogue if it did not get its own way, and to ditch its own Northern Ireland protocol. It is a remarkable, not to say ludicrous, position for a Government to find themselves in and one that suggests that this is a Government who have scant regard for the law and a particularly cavalier attitude to the Northern Ireland peace process, displaying as they do very little knowledge, understanding or care as to the consequences of their actions I know that we live in strange times, but who would ever have thought that we would be debating whether a UK Conservative Government could knowingly break international law and that this House, led by the self-styled champions of law and order on the Conservative Benches, would be about to say that, yes, it could? Let them be in no doubt that, in doing so, they are signalling to the international community that the United Kingdom is a bad faith actor, an untrustworthy partner whose adherence to international law is based solely on expediency. They might want to ask themselves why—why would any Government find the UK an attractive partner with which to enter a legally binding trade deal in the future This is a United Kingdom Internal Market Bill, but it has already attracted international attention, and none of it has been good. Even the USA, on which much of the bright post-Brexit future has been predicated, has said that anything that undermines the Good Friday agreement will have dire consequences for the UK, and that there will be no trade deal forthcoming. Did any Conservative Member think that that would not be the case? Is anyone in this House unaware of the political investment that the United States has in brokering peace in Northern Ireland? Did anyone think that, having worked so hard to secure a peace deal, the United States would just watch it crumble into dust when it proved to be an inconvenience to the UK Government? I tell you what, Madam Deputy Speaker, if they did think that then, they certainly do not think it now, because the Speaker of the House of Representatives, Nancy Pelosi, declared that this UK Government must respect the Northern Ireland protocol and that, if they violate it, there will be no chance of a US-UK trade deal. That position was backed up by presidential favourite Joe Biden, who said that any deal between the UK and the United States is contingent upon respect for the Good Friday agreement. The world is telling the UK: do not breach international law, do not become that rogue state, because there will be consequences if you do This Bill confirms what many of us have suspected for a long time: there is no long-term or strategic thinking at the heart of this Government. Everything they do is based on expediency and is designed simply to get them off whatever immediate and inconvenient hoop they happen to be caught on. That such behaviour inevitably leads to far bigger and more complex problems further down the line seems to matter little. They are like an errant child trying to avoid facing up to their responsibilities and are prepared to say or do anything to kick that further down the road and avoid the reckoning. They have run out of road and been reduced to using the Good Friday agreement as a bargaining chip, and are on the brink of becoming an international law breaker. This Bill in its current form will see the United Kingdom cross the Rubicon. It has embarked on a course from which it cannot come back. The mask has slipped and any remaining shred of moral authority that the United Kingdom may have thought it had will have slipped with it. The consequence of this Government’s action is coming to a head, and it is a disaster entirely of their own making.
ParlaMint-GB_2020-09-21-commons.u381	It is a great pleasure to follow the hon. Member for Argyll and Bute (Brendan O’Hara). My reservations about clauses 42, 43 and 45 of the Bill were expressed, I hope clearly, on Second Reading, so I do not need to repeat them. Those of us who have reservations and understandable concerns about the effect on the rule of law of what the Government are proposing need, I think, to answer one question, which is whether there are any conceivable circumstances in which international law could properly be broken by this country. I cannot come to the conclusion that there are no conceivable circumstances in which that might be the right course of action. If there were to be a fundamental threat to the social or economic fabric of this country and breaking the international law was the lesser evil, I can accept that that might be the right thing for this country to do it, but if we were to contemplate such a course of action three things would need to be true The first thing would be that there was specific authority to break international law, not general latitude. It seems to me that we have made progress on that. I congratulate my hon. Friend the Member for Bromley and Chislehurst (Sir Robert Neill) and others on negotiating with the Government in the way that they have. I am delighted to see amendment 66 brought forward in the Government’s name as a consequence; and as my right hon. Friend the Member for Ashford (Damian Green) said a moment or so ago, it is perfectly right that the House of Commons should have the opportunity to give its specific view on the specific circumstances that may obtain at that point.
ParlaMint-GB_2020-09-21-commons.u382	I thoroughly enjoyed the very thoughtful and well analysed speech from the right hon. and learned Member for Kenilworth and Southam (Jeremy Wright). I hope his hon. Friends will listen very carefully to what he says, which is incredibly important There are things I did not expect to be doing today. The first is to be quoting the right hon. Member for Maidenhead (Mrs May), who spoke of the untold damage to the UK’s reputation of implementing these clauses which will break international law as soon as they hit the statute book. Something else I did not expect to be doing today, or ever, is quoting Margaret Thatcher. In 1975—before your time, Dame Eleanor—she said: “Britain does not renounce Treaties. Indeed, to do so would damage our own integrity as well as international relations.” In 1982, Mrs Thatcher said of Britain’s role: “It is in upholding international law and teaching the nations of the world how to live” That last bit did not always go down so well, but, Dame Eleanor, you take the point. Mrs Thatcher believed, as the right hon. Member for Maidenhead believes, in the rule of law and in the importance of upholding international law at all cost. That is without citing Lord Howard, Lord Hague or Lord Lamont, and I mention them along with the right hon. and learned Member for Torridge and West Devon (Mr Cox), as former Members of this House, in three cases, who are held in high regard, or used to be held in high regard, by members of Conservative party. Then we move on to the Confederation of British Industry: Carolyn Fairbairn spoke of the damage to our reputation and integrity. The Federation of Small Businesses in Northern Ireland made a plea to the Government for sensible implementation of the withdrawal agreement and the Northern Ireland protocol, but its pleas have fallen, so far, on deaf ears As we heard earlier, the damage was done when the Northern Ireland Secretary told the House, as he did last week or the week before now—time passes so fast—that the Government intended to break international law, albeit in a “specific and limited way”. The Vienna convention is clear: it is not possible to use domestic law as an excuse for breaking international law. Article 5 of the withdrawal agreement makes it clear that it is not possible to do so, and Conservative Members all signed up to it at a general election and in here when they voted for it. They used to say that they revered those elders of their party—many of them would still say they do with Margaret Thatcher, of course—so how did it come to this?
ParlaMint-GB_2020-09-21-commons.u383	My hon. Friend is making some incredibly powerful points. He is undoubtedly aware that today the world is celebrating the 75th anniversary of the United Nations. Does he find it curious that the UK Government have signed up to a statement that says: “We will abide by international law… We will abide by the international agreements we have entered into and the commitments we have made” Is there not some stark hypocrisy going on there?
ParlaMint-GB_2020-09-21-commons.u384	Hypocrisy, and nobody will believe it. No one will believe it because of their own words and, increasingly, their own actions. I am grateful to my hon. Friend for that example What is this for—customs clearances, and because of a border in the Irish sea that the Government voted for? Have they raised it with the Joint Committee, as my hon. Friend the Member for Sheffield Central (Paul Blomfield) asked for the umpteenth time earlier? We would love to know in the wind-up. What of the dispute resolution system and the binding arbitration they have agreed to? Why is it no longer enough? Is this really about state aid, and the Damascene conversion of a Conservative party that last year only spent 0.38% of GDP on subsidies, while in Germany the figure was 1.38% and in Portugal as much as 1.69%? Tell us what this wonderful new world of support for our industries that the Government are proposing is, so we can scrutinise it The Government are not very good at scrutiny, are they? We found that out on the Trade Bill, and we continue to do so. They deny any opportunity for parliamentary scrutiny, and it is the same here with these customs clearances and state aid. When it comes to state aid, we are now being told, although we cannot see the detail, that the Japanese deal will have a different state aid regime from the one they are proposing. Is it the one proposed by the Business Secretary or the one that the International Trade Secretary would prefer, with renegotiation of World Trade Organisation state aid rules? Tell us, so that we can scrutinise and make informed decisions before we vote on the provisions in this Bill I mention trade deals, and we know from numerous Members tonight and previously what the Speaker of the House of Representatives has said and what the former Vice-President and, I hope, future President, has said about the prospect for those trade deals, given this break of the Northern Ireland agreement and threat to the peace process. What is causing so much disquiet about what Conservative Members signed and voted for last year? Why are they ignoring the senior people in their party and Margaret Thatcher? Why the Damascene conversion to state aid? Broken promises, breaking the peace process and breaking the rule of law and international law—and they know it.
ParlaMint-GB_2020-09-21-commons.u385	I am pleased to speak in support of the Bill, specifically part 5, subject to Government amendment 66. Part 5 proved controversial, even before we began proceedings this afternoon. I have no doubt that my hon. Friend the Minister arrived in the Chamber fully expecting that he would have to defend the Government against accusations of being in breach of their obligations under the withdrawal agreement, and he has not been disappointed What has been frequently overlooked in today’s debate is the fact that obligations under the withdrawal agreement move in two directions. There are obligations on both sides. Specifically, the withdrawal agreement and the political declaration impose obligations on both the European Union and the United Kingdom to use their best endeavours in good faith to negotiate expeditiously the free trade agreement that will constitute their future relationship The political declaration provides that that relationship must ensure the sovereignty of the United Kingdom and the protection of its internal market. The sad fact is that negotiations have not proceeded expeditiously, and it is more than arguable that the European Union has not used its best endeavours nor acted in good faith. The EU, in fact, has refused to talk about anything other than its so-called red lines of fisheries, the level playing field and state aid. Time is rapidly passing, yet the EU refuses to talk about anything else. If, as a consequence of its intransigence and refusal to discuss things other than its red lines, we arrive at the point where the negotiations fail and there is no free trade agreement, there will be potentially severe, adverse consequences for the integrity of the United Kingdom’s internal market. Hardest hit will be Northern Ireland. To take one example, although the protocol says in terms that Northern Ireland is part of the customs territory of the United Kingdom, the protocol says that it is part of the EU’s customs territory, and potentially the consequences are that goods passing from Northern Ireland to Great Britain will be subject to what the hon. Member for Belfast East (Gavin Robinson) described as bureaucratic and administrative borders That is despite the fact that article 6 of the protocol provides that nothing should prevent the United Kingdom from ensuring unfettered market access for goods moving from Northern Ireland to other parts of the UK’s internal market. Part 5 of the Bill therefore sets up a safeguard against such consequences, should there be no satisfactory conclusion to the negotiations on the future relationship The impact on the Belfast/Good Friday agreement is deeply worrying. The right for the people of Great Britain and Ireland to trade freely was enshrined in article 6 of the Acts of Union 1800. Those provisions still apply to Northern Ireland—they are rights set up under a constitutional statute. If the right of the people of Northern Ireland to trade freely with the rest of the UK were to be changed without their consent, it would amount to a major breach of the core principle of the Belfast agreement.
ParlaMint-GB_2020-09-21-commons.u386	It is a pleasure to serve under your chairmanship tonight, Dame Eleanor Let me start by being crystal clear that Opposition Members firmly believe in the need for a strong internal market so that businesses can trade freely across the UK’s four nations. That trade is vital for our economy and our shared prosperity, but, as we have heard in recent days as the House debates this Bill in Committee, it must be an internal market based on a genuinely four-nation approach; it must not be a top-down framework imposed by Tory Ministers By proposing mutual recognition without legally underpinning minimum standards, Ministers are ensuring that the lowest standard on food, the environment, air quality and animal welfare that is chosen by one legislative House must automatically become the minimum standard across all four nations. As Member of Parliament for Newport West, I have received many lengthy and passionate representations from residents across my constituency. It is clear that they want the highest possible standards, protected by our progressive Welsh Labour Government, a demand that stands in stark contrast to the shameless race to the bottom proposed by those on the Treasury Bench. There are a number of important amendments to this Bill, and I pay tribute to those tabled by my Front Bench and others across the House. The Minister needs to be clear in winding up that amending this Bill and stopping the shameless power grab will be a key focus of this Government As today’s debate focuses largely on Northern Ireland, I urge the Minister to be mindful of the fragile peace holding that part of the country together. Last week, the hon. Members for Foyle (Colum Eastwood) and for Belfast South (Claire Hanna) spoke movingly about what peace has meant for Northern Ireland. Their words must be heard loud and clear by Ministers When thinking about the Northern Ireland protocol I was reminded of the wonderful work of our friend Lady Hermon, the former Member for North Down. In September 2019 she said in this Chamber: “I think the Prime Minister owes the people of Northern Ireland some explanation of why he and his Government have treated the Good Friday agreement…in such a careless and cavalier manner.”—[Official Report, 3 September 2019; Vol. 664, c. 46.] She was right then, and, sadly, she is still right today I do not always agree with the right hon. Member for Maidenhead (Mrs May), but I want to thank her for her brave speech today, as she focused on the issues the Bill throws up and how it will affect our standing in the rest of the world The current Prime Minister has called himself the Minister for the Union; I have to say that these days he looks like the Minister for disarray, and frequently appears to be missing in action. A Government who were truly committed to the Union of the United Kingdom would not propose this divisive legislation. They would respect the devolved Administrations and the people who live, learn and work in our devolved nations, and propose legislation with the informed consent of the devolved Parliaments and Assemblies The Tory shadow Counsel General in Wales said this Bill risks seriously damaging the Union and resigned from the Front Bench in the Senedd, and he was right to do so. If the Prime Minister will not take the same dignified and objective stand as David Melding MS and resign, he must immediately stop trashing our international reputation, and must use however long he has left in office to start providing the good government my constituents deserve.
