ParlaMint-GB_2016-01-26-commons.u1	1. What his policy is on the autonomy of prison governors; and if he will make a statement.
ParlaMint-GB_2016-01-26-commons.u301	For the sake of colleagues, I will be brief. I thank everybody for their contributions this afternoon. There is a wealth of experience from the charity sector in the Chamber, which has added a richness to the progress of the Bill Let me turn straight to new clause 1. Although I do not share the Minister’s view that judicial review will be more cost-effective—that may be the case for the Charity Commission, but perhaps not for charities that are appealing, many of which will not be able to afford to go to judicial review—I am willing to work with the Charity Commission, the sector and the Government to monitor the use of warnings outside of primary legislation. Therefore, I do not wish to press new clause 1 to a vote, although I wish to test the House on new clause 3 and amendment 8, because I do not feel our concerns have been met on either issue. I beg to ask leave to withdraw the motion Clause, by leave, withdrawn. New Clause 3 Power to make representations “(1) A charity may undertake political campaigning or political activity in the context of supporting the delivery of its charitable purposes (2) A charity may campaign to ensure support for, or to oppose, a change in the law, policy or decisions of central government, local authorities or other public bodies.”—(Anna Turley.) Brought up, and read the First time. Question put, That the clause be read a Second time.
ParlaMint-GB_2016-01-26-commons.u302	Consideration completed. I will now suspend the House for about five minutes in order to make a decision about certification. The Division bells will be rung two minutes before the House resumes. Following my certification, the Government will be tabling the appropriate consent motion, copies of which will be available shortly in the Vote Office and will be distributed by Doorkeepers.
ParlaMint-GB_2016-01-26-commons.u303	I can now inform the House of my decision about certification. For the purposes of Standing Order No. 83L(2), I have certified that the Charities (Protection and Social Investment) Bill [Lords] relates exclusively to England and Wales on matters within devolved legislative competence, as defined in Standing Order No. 83J. Copies of my certificate are available in the Vote Office. Under Standing Order No. 83M, a consent motion is therefore required for the Bill to proceed. Does the Minister intend to move the consent motion?
ParlaMint-GB_2016-01-26-commons.u304	Formally.
ParlaMint-GB_2016-01-26-commons.u305	Even a nod from a Whip would suffice, but instead we have the full throttle of ministerial words. The House is greatly privileged and the occasion, I feel sure, will not be forgotten The House forthwith resolved itself into the Legislative Grand Committee (England and Wales) (Standing Order No. 83M). [Natascha Engel in the Chair]
ParlaMint-GB_2016-01-26-commons.u306	I remind hon. Members that although all Members may speak in the debate, only Members representing constituencies in England and Wales may vote on the consent motion.
ParlaMint-GB_2016-01-26-commons.u307	On a point of order, Ms Engel. I make this point of order with a heavy heart, but I feel duty-bound to do so. When the certification process was introduced and debated before the Christmas recess, the indication was that when the Mace was moved and we sat in the Legislative Grand Committee, a Minister would be called upon to move the consent motion and then a debate would commence. It was disappointing last night that there was no effort by the Minister to open a debate about why the consent motion was being moved. As I find this happening again today, I seek clarification from the Chair as to whether it is appropriate now to consistently adopt a routine of a Minister moving a motion without further debate.
ParlaMint-GB_2016-01-26-commons.u308	The hon. Lady is aware that it is up to the Minister to move the motion formally or to speak to it, but she is perfectly entitled to speak in the debate now, if she so wishes.
ParlaMint-GB_2016-01-26-commons.u309	Thank you very much, Ms Engel. I am grateful for that clarification, even though my vote, if we were to vote, would not count in the same way as that of every other Member of this House would count. This is a serious constitutional issue, particularly for those from Northern Ireland After years of horrendous violence in Northern Ireland, we had the Good Friday agreement, otherwise known as the Belfast agreement, and we voted in our thousands that Northern Ireland would be part of the United Kingdom unless and until we voted ourselves out of the United Kingdom. That is not going to happen any time soon. My constituents elected me at the general election to represent them fully in this House In response to an intervention earlier, the Minister confirmed that there is a Charity Commission for Northern Ireland. However, the Charity Commission for Northern Ireland has only devolved responsibilities. The point that I was making to the Minister was about national charities across the United Kingdom, such as the National Trust. When constituents of mine and those right across Northern Ireland—where we have the Giant’s Causeway, which is owned by the National Trust, and Castle Ward and various other wonderful properties across Northern Ireland—join the National Trust or renew their membership online, their membership fees go straight to the headquarters of the National Trust. The fact that we have a devolved Charity Commission for Northern Ireland does not give it national reach The point I am making to the Minister is that we have national charities in Northern Ireland—I have mentioned the Salvation Army and the RNLI, for example—that have their headquarters in England, so will he kindly and generously do my constituents, and indeed all the people of Northern Ireland, the courtesy of explaining why this Bill is designated as exclusively English-only? That is what I would like to hear him explain.
ParlaMint-GB_2016-01-26-commons.u310	I can reassure the hon. Member for North Down (Lady Hermon) that the Procedure Committee, of which I am a member, is looking at what is happening with this procedure and will report back to the House. It shall be noted that these are matters of great interest, but recently when I have sat in on consent motions for these sorts of debates under English votes for English laws, I have noted that nothing is said at all. It is incumbent on us to draw up procedures that actually make a difference and have a purpose. The problem with EVEL is that, because the Conservative Government have an overall majority, no Bill will be changed one iota in this Parliament as a result of EVEL. Because all the other parties are opposed to EVEL, if the Conservative party does not have a majority after the next general election, the procedure could be abolished in an afternoon. The Committee will be looking at these procedures very carefully and—of course, I cannot speak for its other members—will want to be reassured that the procedures under EVEL are actually changing something.
ParlaMint-GB_2016-01-26-commons.u311	I will respond briefly to the comments of the hon. Member for North Down (Lady Hermon). She asked why the Bill has been designated as an England and Wales Bill, and that is because it relates in its entirety to England and Wales. On her point about a charity that covers the whole United Kingdom—it hardly behoves me to reiterate, passionately and fulsomely, the Government’s support for the United Kingdom, which we share—regulation of the activities of charities in Northern Ireland is devolved. I cannot speak to, and I do not have responsibility for, the activities of the Charity Commission for Northern Ireland, which regulates the activities of charities in Northern Ireland. Likewise, this section of the debate ensures that there is consent for this legislation among the MPs whose constituencies will be covered by it. The reason I did not speak at the start of this procedure is that, given that the Bill is so clearly restricted to activities that take place in England and Wales, it is plain and obvious that it is therefore an English and Welsh Bill for these purposes.
ParlaMint-GB_2016-01-26-commons.u312	I am grateful to the Minister for allowing me to intervene. I want to make the point—I am sorry to repeat myself—that we have legislation going through the House today that will give increased powers to the Charity Commission based in England. However, were the Charity Commission based in England to take action against a national charity of which my constituents are members and supporters and to which they are contributors and donors, my constituents would be directly affected by its actions in relation to that particular charity. Am not I therefore entitled, as of right, to represent the views of my constituents in this House?
ParlaMint-GB_2016-01-26-commons.u313	Of course the hon. Lady is entitled to represent the views of her constituents, which is precisely what she has been doing in the stages of the Bill, but it is also right that English and Welsh MPs can have their say on the Bill. I point out that were her constituents involved in a similar way in a charity that was headquartered in France, Germany, America or anywhere else in the world, that charity would of course be regulated by its home regulator in the same way as a charity based in England. It is a consequence of the devolution of charities law, and the actions of support for and regulation of charities, to Northern Ireland that this is an issue not for Northern Ireland but for England and Wales, and therefore, under the EVEL procedures, this is self-evidently an England and Wales Bill.
ParlaMint-GB_2016-01-26-commons.u314	I do not want this to become a one-way conversation, but I have to say that I do not think the people of Northern Ireland would be flattered to be compared to France. I have listened studiously to Government Front Benchers reassuring the House that theirs is a one nation Government. I invite the Minister to come to Northern Ireland and meet those who have contributed to charities in Northern Ireland. He can explain to them face to face why, given that the Government claim to be a one nation Government, Northern Ireland MPs in some cases do not count—apart from Sinn Fein Members, of course.
ParlaMint-GB_2016-01-26-commons.u315	It is self-evident that if the issues in the Bill relate to England and Wales, as they do, the Bill should, in the view of the Government, be certified as an England and Wales Bill. It is a consequence of devolution that those representing England and Wales should be able to have their vote on a Bill that relates only to England and Wales To respond to the point made by my hon. Friend the Member for Gainsborough (Sir Edward Leigh), I should say that it is inconceivable that anybody would unwind these provisions in any future Parliament, given that they protect English and Welsh voters from having legislation imposed on them without the will of the majority of Members with constituencies in England and Wales. The reaction of those who could then be overruled by others who had their own devolved Assemblies and Parliaments would be quite savage.
ParlaMint-GB_2016-01-26-commons.u316	On a point of order, Madam Chairman. Like my hon. Friend the Member for Gainsborough (Sir Edward Leigh), I am a member of the Procedure Committee. We were very clear in our deliberations that Mr Speaker would make a ruling as to whether legislation fell within these protocols or not, but that he would not be expected or required to give the raison d’être as to why he made the ruling. I may be out of order, Madam Chairman, in raising this as a point of order, but having listened to this exchange, I feel somewhat as if the authority of the Chair, and the decision that Mr Speaker has taken, is now being challenged. Critically, that seems to be undermining what we thought was an important principle —namely, that the authority of the Chair should be such that neither a challenge to nor an explanation of his or her ruling would be required or expected.
ParlaMint-GB_2016-01-26-commons.u317	I thank the hon. Gentleman for that point of order. I remind the House that we are discussing the consent motion, rather than the rights and wrongs of EVEL. I have allowed the debate—it has been a rather two-way exchange—to go on a little because we are right at the beginning of the EVEL process; this is certainly my first time in the Chair during a Legislative Grand Committee, and it is only the third time that this has happened. However, as the hon. Gentleman said, the Procedure Committee is looking at the EVEL process in the round. The hon. Member for North Down (Lady Hermon) should really make a submission to that Committee. It would be good if we could now move on to discuss the consent motion or put the question.
ParlaMint-GB_2016-01-26-commons.u318	All I would say is that the decision on the consent motion is, quite rightly, Mr Speaker’s.
ParlaMint-GB_2016-01-26-commons.u319	I remind hon. Members that if there is a Division on the consent motion, only Members representing constituencies in England and Wales may vote. That extends to expressing an opinion by calling out aye or no when the question is put Question put and agreed to.
ParlaMint-GB_2016-01-26-commons.u320	Further to the point of order made by my fellow member of the Procedure Committee, my hon. Friend the Member for North Dorset (Simon Hoare), it is terribly important that the Speaker is not dragged into controversy. May I gently point out that when the Government initiated these consent procedures we were told that they were to be rare? There is absolutely no point in stirring up bad feeling in Northern Ireland and Scotland, because it does not make a blind bit of difference to the result of any Division or to any part of any Bill. I hope that the Government are listening and that they will use this procedure as rarely as possible.
ParlaMint-GB_2016-01-26-commons.u321	I thank the hon. Gentleman. That point has been noted The occupant of the Chair left the Chair to report the decision of the Committee (Standing Order No. 83M(6)). The Deputy Speaker resumed the Chair; decision reported. Third Reading.
ParlaMint-GB_2016-01-26-commons.u322	I beg to move, That the Bill be now read the Third time Charities are at the very heart of our society and have held that important place for many generations. The vast majority of charities are run well by selfless people whose motivation is to help others. By way of example, I was struck by the incredible way that charities and the local community mobilised after the devastating floods that took place in Cumbria in December. Cumbria Community Foundation set up a flood relief fund to help all those affected. The fund has already raised well over £4 million, alongside Government contributions. It has involved hundreds of local charities, voluntary organisations, businesses and individuals raising funds to support the appeal. National Citizen Service graduates in Carlisle have helped renovate a local youth club damaged by the floods. We owe a great debt to such charities and the volunteers who freely give their time to make a difference. We celebrate the work of this example just as we celebrate our hospices, universities, housing associations, community fundraisers, global research institutes, and the many, many other charities, from the most local to those with worldwide reach. We salute their effort, their time and their generosity, and the joy that they give in the service of others This Bill will help to protect that vast majority of charities from the tiny minority that would seek to abuse the benefits of charitable status and risk undermining the public’s trust on which charities as a whole rely.
ParlaMint-GB_2016-01-26-commons.u323	I am genuinely grateful to the Minister for allowing me to intervene on him again. In the light of the fact that he has emphasised on a number of occasions that responsibility for charities is a devolved matter in Northern Ireland, and given the changes introduced by this legislation, will he kindly confirm that, if he has not already done so, he will make it a top priority to get on the telephone to his counterpart in the Northern Ireland Assembly to say, “Right, this is what we’ve done at Westminster—perhaps you should think of making these changes in Northern Ireland.”
ParlaMint-GB_2016-01-26-commons.u324	Absolutely—we will certainly make contact with the Northern Ireland Assembly to ensure that we can have exactly that communication, not least because the Bill will support charities that want to engage in social investment, which many can benefit from. It provides a new way for charities to maximise the impact of their investments The Bill will also better support regulation of practices for fundraising, which have been found wanting. We all know of and support charities that, week in, week out, do brilliant work in our constituencies. I want to ensure that the regulatory framework for charities continues to support charities like these while supporting the work of the Charity Commission in robustly bearing down on the few bad apples. This Bill will do just that. I will touch on some of the things that I hope, through its passage, we will be able to deliver Extending trustee disqualification will better protect charities from individuals who present a known risk. Like many Members during the passage of the Bill, I struggle to conceive how it could ever have been considered appropriate for a convicted terrorist or money launderer, for example, to be involved in running a charity. These changes are long overdue. However, I agree with my right hon. and learned Friend the Member for Harborough (Sir Edward Garnier) that, in extending disqualification, we must take extra care not to undermine the vital work done by charities involved in the rehabilitation of offenders. I am confident that the waiver process will allow those who have changed their ways a route back into charity trusteeship or senior management. I hope that the commitments given by my hon. Friend the Minister for Civil Society will provide a degree of further reassurance. When the National Audit Office reviewed the Charity Commission and reported on it in 2013, it recommended that the Government look at gaps and weaknesses in the regulator’s powers. We have done so, and the Bill addresses those gaps and weaknesses. We should however be clear that the Bill provides only one element of the change that is needed The Charity Commission was established in 1853 to take on a number of the court’s functions in relation to charities. At the time, misconduct in charities was a source of public concern, and that led to the founding of the commission. If we fast-forward 150 years, we can see that the Charity Commission’s role is in many ways much the same—focused on ensuring public confidence in charities We all want strong, effective, independent regulation of charities. The Charity Commission is making great strides towards that under the strong, clear-eyed and sure-footed leadership of its chairman, William Shawcross, and chief executive, Paula Sussex. They are driving the transformation of the commission into a modern, effective and efficient regulator. However, such a change can happen only with the full commitment and support of the charity commission’s staff, and I pay tribute to them for their hard work, which too often goes unrecognised The extensions to the commission’s powers in the Bill have been carefully thought through. Following public consultation, pre-legislative scrutiny and the Bill’s passage through the other House and this place, we have a much-improved Bill. As a result, the commission will be equipped with the tools that it needs to tackle serious misconduct and mismanagement in charities, and to do so effectively and efficiently. I am also reassured by the range of safeguards that accompany the powers, some of which have resulted from consultation and scrutiny It is important to stress that most charities will not experience any direct impact from the new powers in the Bill, because most charities are, quite rightly, never on the receiving end of the Charity Commission’s powers. However, ensuring that the regulator can act quickly and effectively against serious abuse will support public trust and confidence in all charities On public trust and confidence, I now turn to fundraising. It is clear to me that poor fundraising practices had the potential to undermine public trust and confidence in charities. Sadly, there is already evidence of reduced trust. We acted quickly by commissioning the Etherington review last summer. I am very grateful to Sir Stuart and the cross-party panel of peers who supported him. Sir Stuart recognised the serious risk to public trust in the charity sector generally, and the need for change in the fundraising practices of some charities. His review marks a watershed moment I welcome the support from Labour Members for our measures on fundraising. This is something on which we all agree there is a need for change. It really is the last chance for self-regulation. Under the leadership of Lord Grade of Yarmouth, it will have every chance. I very much hope that all across the charity sector are willing and able to embrace that. I do not want to have to resort to statutory regulation, but we will if we must. We now have the reserve powers to do so in case they are needed I welcome the important contribution on fundraising published yesterday by the Public Administration and Constitutional Affairs Committee, under the chairmanship of my hon. Friend the Member for Harwich and North Essex (Mr Jenkin), who has followed the proceedings on the Bill closely. We will need to consider carefully the report and recommendations before responding fully, but we completely agree with the central finding that it would be a sad and inexcusable failure of charities to govern their own behaviour should statutory regulation become necessary On the new social investment power, the Bill will help charities that want to get involved in this exciting new area of finance for charities. We are committed to growing social investment as a sustainable source of finance for charities and other social ventures. The UK is a world leader in this respect, and the social investment power will help charities to play a bigger role I am pleased that there is a review provision in the Bill. After three years, it will enable Parliament to look back at the provisions and their impact. I hope that that will be a happy occasion The Bill and the improvements it will bring would not have been possible without a huge amount of hard work by many people. I particularly pay tribute to my hon. Friend the Minister for Civil Society and my noble Friend Lord Bridges of Headley for their sterling work in piloting the Bill through. Charity law can be fiendishly complex; they have not only grasped such complexities, but clearly and succinctly explained them to Members of both Houses. They have met a wide range of stakeholders to discuss all aspects of the Bill, and they have introduced amendments to improve it. I also thank my officials from the Cabinet Office and the Charity Commission who have supported the Bill’s passage I thank my hon. Friend the Member for St Albans (Mrs Main) and the hon. Member for Leeds North East (Fabian Hamilton) for their chairmanship of the Public Bill Committee. I thank the hon. Member for Redcar (Anna Turley), the noble Baroness Hayter of Kentish Town and Opposition Members for their broad support for the Bill. It would be fair to say that we have not agreed on everything, although the rows have tended to be about things that are not in the Bill. We have the shared aim of protecting charities and ensuring that the Charity Commission has the right powers independently and effectively to regulate charities. The debates have generally been constructive and positive and are, in my view, an example of the House at its best Particular recognition should go to the Joint Committee on the Draft Protection of Charities Bill, which undertook pre-legislative scrutiny under the wise chairmanship of my noble and learned Friend Lord Hope of Craighead. Its pre-legislative scrutiny resulted in a number of improvements before the Bill was introduced. I thank the Law Commission for drawing up the new social investment power. Its expertise was important in getting the detail right. I give enormous thanks to all others who have contributed in any way Finally, I thank my noble Friend Lord Hodgson of Astley Abbotts, whose prescient 2012 review of the Charities Act 2006 identified many of the weaknesses in fundraising self-regulation that are being addressed both through the Bill and the implementation of the Etherington review more broadly. That work four years ago showed the path that we have followed and that I hope the House will approve today. The Bill has had broad support through the long process of consultation and scrutiny. We have listened and acted when we have heard ideas to strengthen it and add additional safeguards. The Bill will support and protect the strong, independent charity sector that is so important to our way of life in Britain, and I commend it to the House.
ParlaMint-GB_2016-01-26-commons.u325	It has been an absolute privilege to serve on behalf of Her Majesty’s Opposition on the consideration of this Bill. I pay tribute to all the civil servants and Clerks of the House who have worked so hard on drafting it. I thank all the members of the Public Bill Committee, who gave up so much time to scrutinise the Bill line by line in a constructive and positive way that did the House great credit. I thank the Minister and his team for the open and co-operative approach they have taken to working with us, disappointed as I am—although not surprised, as the right hon. Member for Cities of London and Westminster (Mark Field) pointed out—that none of our amendments were accepted I want to place on the record my thanks to the Minister for Civil Society, which I did not have time to do on Report, for clarifying a number of points. He said that the Charity Commission is looking at the likelihood that it will give 14 days’ notice in most circumstances when issuing a warning. That was an extremely helpful clarification. It was also helpful to hear him clarify that the Charity Commission does not see itself as having a power to direct as a result of the warning. It was important to hear that it intends to notify the charity of the reasons why a warning has been withdrawn, which will allow the public record to be set straight. I was grateful for the clarification he gave on those issues I thank all Members who have debated the Bill both here and in the other place, in particular Baroness Hayter of Kentish Town. As ever, our noble Friends did sterling work and the Bill is all the better for their experience and expertise. Many Members of both Houses have brought a great deal of experience and knowledge of the charity sector and, as we found out today, its history in Elizabethan law to our debates, which is greatly to be commended Finally, I thank those whom the Bill is for: the millions of people in this country who give up their time, week in, week out, to volunteer, fundraise, donate and support in many other ways Britain’s fantastic charitable and voluntary sector. Britain is the most generous developed country in the world and we should be proud of the extraordinary things that are done by extraordinary people in the sector every single day There is no doubt that the charity sector has been through a rocky period in the past year. Alongside the ever-shrinking funding from central and local government, the ever-growing demand for the services and support that charities provide, and the ever-increasing public scrutiny, there has been a series of high-profile and deeply damaging cases that, although caused by the actions of a small minority, have had significant repercussions for the sector as a whole The sector has taken swift and positive action to respond to those cases, but it is right that, as parliamentarians, we do our bit to ensure that charities have the legislative and regulatory framework they need to enable them to fulfil their charitable objectives, and to maintain their integrity and the strong public support they enjoy. That is what the Bill seeks to do, and why the Opposition have supported it throughout its journey It is vital that we get the framework right and that the powers in the Bill serve to support and empower charities to thrive and flourish, and not to stifle or oppress. Charities are fiercely and proudly independent, and rightly so. They do vital work. They work with many of the most vulnerable and challenging people. Many work in the most dangerous places. Charities have to be able to take risks, innovate, shape new thinking and challenge prejudice. They must be able to find new answers to some of the biggest challenges we face in the world, when politicians too often fall short. Regulating such a sector is no easy feat. Getting the balance of regulation right is therefore critical if we are not to damage all that is good about the sector Throughout the passage of the Bill, the Opposition have raised a number of concerns. Although our amendments have not been taken up, we will continue to scrutinise and work with the Government to monitor them closely. There are four aspects I want to set out on Third Reading. Our concerns have not diminished, and we will continue to monitor progress First, on the new powers afforded to the Charity Commission, we have tried throughout the passage of the Bill to gain concessions on the new and fairly broad power for the commission to give warnings to charities. As the right hon. Member for Cities of London and Westminster said, there is a danger of self-fulfilling bureaucracies. When we put that together with reduced budgets, there is a big onus on the commission to deliver in an ever more challenging environment. Throughout the debate, the Minister has insisted that the commission’s new powers will be used proportionately. We believe that that places a substantial burden of judgment on the commission in the absence of achieving more substantial safeguards in the Bill. We hope he will be proved correct Warnings that are meant to deal with low-level issues could, particularly when published, have a significant effect in choking off donations, funding and sponsorship. The reputational damage to a charity could be significant or even terminal. We would have liked a right to appeal a warning through the charities tribunal. We would also have liked to prevent warnings from being published or for the charity not to be identified if the details are published. I was grateful to the Minister for his clarification that the Charity Commission will not be able to direct a charity on the back of a warning. That would have been a significant shift in the relationship and in the independence of charities. We will watch the use of those warnings with care as the powers are implemented Secondly, it is important to get the powers relating to the charity trustees right. We were pleased to see the amendment in the Lords that expanded the restrictions on charity positions to those on the sex offenders register but, like the right hon. and learned Member for Harborough (Sir Edward Garnier), the Opposition have concerns—we raised them in Committee—that the detail has not been sufficiently worked through as regards charities that work in the criminal justice system, and that work closely with current and ex-offenders for the purposes of their charitable aims. I welcome the Minister’s pledge to work closely to see that through. On the fundraising powers, we believe the sector has made great strides in relation to the recommendations in the Etherington review, which we welcomed. The legislation supports that progress with improved reporting and monitoring while maintaining the self-regulation of the sector. It is absolutely right that people’s privacy is respected, that unreasonably persistent approaches are challenged, that people are not placed under undue pressure, and that vulnerable people are protected. The Bill sets standards for all of those things. We will watch that space carefully to see whether the back-up powers the Minister added to the Bill, which we support, will be required. We hope they are not Finally, we have tried unsuccessfully to tackle the measures on the freedom to campaign during the passage of the Bill. The Minister and I will not see eye to eye on this. As was shown by the vote today, the Opposition remain committed to the principle that the right of charities to campaign and influence the political process is a vital part of a healthy democracy and integral to the concept of civil society. As we have discussed today, charities are in the best place to identify problems in public policy, because they are often the ones picking up the pieces of political policy failures. They see the waste and the inefficiency, and they see the opportunity to prevent problems. They can achieve their charitable aims more successfully if they can help to shape the decisions that affect the people and the communities they support I am afraid we see before us an illiberal Government who are scared to debate their record or be open to scrutiny and challenge; a Government who have railroaded important proposals, such as tax credit changes, fracking and student grants through Parliament without proper debate; a Government who change child poverty measures and scrap targets they know they will not reach; a Government who see the Freedom of Information Act 2000 as an irritant and the Human Rights Act 1998 as an inconvenience; a Government who refuse to publish Cabinet Office papers for the first time in 50 years; and a Government who have no problem with millions of people dropping off the electoral register Charities are but the latest victims of a Government who ride roughshod over the legitimate views and voices of civil society. The Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Act 2014 was part of this fundamentally illiberal approach and a deliberate attempt to gag charities by a Government fearful of public scrutiny and accountability. It is a shame the Government did not use the opportunity we gave them today to put right that wrong On all those areas and many more, we will continue to hold the Government to account. We will watch the implementation of the Bill carefully, in particular the balance of power between charities and the commission. Fundamentally, we believe the Bill provides a good regulatory framework for the charitable sector, which, if used well, will enable charities in Britain not just to survive in this most challenging of times, but hopefully flourish.
ParlaMint-GB_2016-01-26-commons.u326	I am delighted to speak today on the Third Reading of this very important Bill. The Bill will protect and strengthen the governance of our charities. As a new Member, it has been very important for me to take part in all stages of the Bill in this place. I was delighted to be a part of the Public Bill Committee. The process was a really good learning curve Our charities play an important role across our nation and I believe we are stronger for the extensive work they carry out. We would be much poorer as a nation if we did not have our amazing charities, and their hard-working trustees, volunteers and staff. Literally millions of generous volunteers really make a difference. Some 41% of people have reported taking part in volunteering in the past year—a massive 21 million people. We are the home of some of the world’s greatest charitable fundraisers, such as Children in Need, Comic Relief, Sport Relief and not forgetting, of course, Live Aid Closer to home in my constituency, I have some amazing local charities. The Canaan Trust raises money and supports the homeless. On 1 April, I will take part in its “sleep out” for the third year running. I hope we do not have snow that day to make me a complete April fool. Treetops Hospice provides care at home, rather than in hospital beds, for those at the end of their lives. Home-Start Erewash supports many local families. Community Concern Erewash provides a luncheon club and services, such as laundry and decorating, for those no longer able to do those things for themselves. Ilkeston Community Hospital League of Friends raises money for those added extras that really help patients to enjoy their stay in hospital far more than they would otherwise. The Duchess Theatre is also a charity. I have been in the audience to witness some amazing productions. They are just a few of the charities that make a huge difference to the lives of so many people across my constituency. I would like to put on record just how much their efforts and untiring work are appreciated. Their contribution is so valuable to our society Towards the end of last year, I started a volunteering day, which I will make an annual event. Each member of my staff took a day’s holiday and went to work with a chosen charity to find out more about it and what it contributes to the local environment. They all found it to be a fascinating experience. The charities gained from that and my staff did, too. I think some residents will also be taking part in future years. For my staff, it was not just about what they could give, but what they received. Anybody who has taken part in any sort of charitable action will know that we give a little bit, but receive so much back The same can be said for trustees, who play a very important role. In the past, I have been a trustee for quite a number of charities. Before being appointed a trustee, I went through a rigorous selection and scrutiny process. That is only right, as a trustee has a very responsible position Sadly, we have heard bad news stories recently of trustees not being as scrupulous as they should have been. This should not happen, as it reflects badly, and undeservedly so, on charities across the board, even those that are not involved. Although such occurrences are rare, we must do whatever we can to stop them happening. That is why I support the Bill and its aims to strengthen governance and give more powers to the Charity Commission to remove inappropriate trustees I also support the measures to protect the public from the unscrupulous and persistent fundraisers who have plagued the elderly and most vulnerable in our society. As they got older, my parents changed how they donated to charity, having been bombarded by phone calls after giving out their contact details. They managed to stop the phone calls, but it changed how they supported charities: they no longer gave out their personal details, and instead donated in cash and kind. That should not have to be the case. Such bad practice tars all charities with the same brush, so I welcome the introduction of the fundraising preference service I will be supporting the Bill on its Third Reading because it is good for the public, volunteers, donors, charity trustees and staff, and charities as a whole, which, whether small or large, play such an important role in our society.
ParlaMint-GB_2016-01-26-commons.u327	I am delighted to sum up briefly on behalf of the SNP. I hope that the hon. Member for North Down (Lady Hermon) will agree with some of what I say I am grateful to the Minister for clarifying the situation of fundraising in Scotland, but it still does not go to the heart of the matter, which is that the Bill impacts on charitable and civic society across these islands. I heard much about how it adds to Britain’s voluntary sector, yet it is an English and Welsh-only Bill. There is much to commend in the Bill, but let us be clear: when it comes to Scotland, it will be for the Scottish Parliament alone to legislate on these matters, as was confirmed by the Minister I will finish on volunteering and trusteeships. I hope that the Bill improves the situation of volunteering, which the hon. Member for Erewash (Maggie Throup) talked about, because levels of volunteering are going down. Even since the Olympic games, there have been subtle drops in levels of volunteering across all age ranges, not only in England and Wales but on the rest of these islands. We must seek to remove barriers, not just to trusteeships but to volunteering itself. I hope that the Bill is not a barrier to volunteering and that people will see trusteeships as a volunteering opportunity. At the moment, that is not happening.
ParlaMint-GB_2016-01-26-commons.u328	I ask the House’s indulgence to speak about somebody who has done an amazing amount for charities. I mean Mr Henry Worsley, a colleague of mine in the armed forces—I served alongside him in Afghanistan—who sadly lost his life recently in southern Chile, having walked the most amazing route across Antarctica, only to die two days before reaching his goal. Such people set the example for our charitable sector and push the field that bit further In looking after the most vulnerable, needy and lonely, our charitable sector goes that much further than our state can ever go or society imagined possible. It is right that our charitable sector fills that gap. The state cannot adapt, in so many legion ways, to fill the niches, nooks and crannies left by the loneliness, the broken homes, the vulnerabilities of service personnel or the disabled, or whatever the area covered by the charity that somebody’s interest falls upon. It is great that today we are not only recognising the importance of the charitable sector, but welcoming changes that will keep it on a safe footing, on a basis of trust and understanding across England and Wales—but with a model that I hope will be copied in Northern Ireland and Scotland—because charities fulfil that role. Charities place what is best upon us If I may, I would like to finish very briefly with one last tribute to Henry, my friend. He really did always go that little bit further. He was the pilgrim; he went beyond the blue mountain barred with snow. Indeed, although in his last podcast he said that his summit was just out of reach, it is true now that he has taken the golden road to Samarkand. That poem would have been well known by members of his regiment, and I know that we are all thinking of his family and his friends today. I welcome the opportunity to pay tribute to him in this House.
