ParlaMint-GB_2016-02-29-commons.u1	Object Bill to be considered on Monday 7 March.
ParlaMint-GB_2016-02-29-commons.u535	I am grateful that we have been able to secure this debate. Ever since last month’s announcement of 750 job losses at the Port Talbot steelworks, I have been calling for a full and comprehensive debate on the future of British steel. The Tata steelworks in Port Talbot is the beating heart of my Aberavon constituency. These job losses, and those that are sure to follow along the supply chain, are a devastating blow. The Secretary of State will be aware that following that announcement, Tata has been working on a rescue plan, which will be discussed by the Tata board in Mumbai at a critically important meeting at the end of next month. I implore the Government to give their full support to the rescue plan by, for example, ensuring that there is proper investment support to improve the plant’s premium product capabilities. Such support could help in converting the continuous annealing process line into a galvanising line, thereby better serving the automotive market. Can the Minister confirm that she will urge the Chancellor to give a firm and positive commitment on enhanced capital allowance, to allow the Welsh Government Tata taskforce to move forward in establishing an enterprise zone in Port Talbot I will now focus on what the Government should be doing at national and European level. It is well known that this Government operate inside a fog of laissez-faire ideology. Their modus operandi is to pray to the gods of the free market and hope for the best. But it is fascinating to observe that this steel crisis is cutting through that fog, and forcing the Tories to understand a very simple truth—that when the market fails, Government should intervene The market economy can function effectively only if it is regulated. Just as a game of football requires the offside rule to ensure fair competition, so the British steel industry requires the right regulatory framework, so that it can be given a fighting chance, on a level playing field. The impact of the market failure, and of the Government’s failure to intervene to fix it, is being felt around the country by the thousands of steelworkers and their families. They are victims of the Government’s laissez-faire doctrine. They are the victims of the Government’s failure to stand up for British steel All of us here today will be aware of the five industry asks. The Government like to boast of delivering on four of those five asks, but a cursory glance at the scorecard demonstrates how disingenuous that claim is. Take the compensation package for energy-intensive industries. Five years after the Chancellor accepted the need for it, the money still has not arrived. Perhaps the cheque got lost in the Christmas post. And what about procurement? There is no tangible evidence of any change. If there were, why on earth is the MOD’s latest order for a set of Royal Navy frigates going to be based on Swedish steel? Why would a Government seriously committed to supporting the Welsh steel industry still be flip-flopping on the Swansea Bay tidal lagoon Most disingenuous of all is surely the Government’s claim that they are acting against the dumping of anti-competitive subsidised Chinese steel. If anyone doubts the acute impact of Chinese steel dumping, they should just look at rebar. From almost no market share in 2011 today, Chinese rebar accounts for almost half the UK market. That is the cost of five years of Conservative Government, five years in the fog of laissez-faire dogma and inaction, five years of watching the storm clouds gather on the horizon and refusing to strengthen the flood defences, five Tory years of rolling out the red carpet for Beijing, rather than standing up for the men and women who form the backbone of the British economy. May I therefore implore those on the Conservative Benches to resist the temptation to blame Labour? The exponential growth in Chinese market share has taken place since 201l, on their watch. Let us accept that fact and move on. The growth in Chinese market share is possible only because of Beijing’s subsidies and market distortion—70% of Chinese steelmakers are state owned. In the light of this fact alone, who in all seriousness could possibly see China as a market economy? I’ll tell you who: the British Government. Yes, our very own Government have taken it upon themselves to become some sort of outpost of the Chinese PR machine. UK Steel, Tata and Community have all stated unequivocally that the granting of market economy status to China would probably be the last nail in the coffin for UK steelmaking, yet the Prime Minister and his Government are actively lobbying in Brussels and across Europe, for China to be granted that status. The decision on this will be taken in December. There is still time for the Government to change their mind. There is still time for the Government to be a cheerleader for Britain, rather than a lobbyist for Bejing But market economy status is not the only area where the Government are actively undermining the British steel industry. It has become widely recognised in Europe that the lesser duty rule is killing our industry. Indeed, the European Commission proposal that it be scrapped was supported by the European Parliament. Yet the UK continues to be the ringleader in blocking the scrapping of the lesser duty rule. I have grown used to warm words being matched with frozen actions, but this is much worse. On trade defence and the lesser duty rule, this Government have publicly declared their undying commitment to British steel, while behind closed doors they have consciously conspired to undermine the British steel industry. The gaping chasm between their words and their deeds needs to be explained. I hope that they will do so in the near future We need a Government who are committed to a long-term industrial strategy and who are more committed to Britain than they are to Beijing, not spinning a line in public while agitating for the opposite behind closed doors. We need a Government who will stand up for British steel.
ParlaMint-GB_2016-02-29-commons.u536	I would like to thank Labour Members who are responsible for the allocated Opposition debate time being used to bring this issue to the forefront again. It was with an incredibly heavy heart that I learned of the planned closure of the Clydebridge steel treatment mill in my constituency. Although the site employs far fewer people than the rolling mill in the constituency of my hon. Friend the Member for Motherwell and Wishaw (Marion Fellows), or sites represented by other Members in the Chamber today, the closure and the associated jobs losses are just as devastating. The work of the trade unions on the ground in my constituency is to be commended, and I am sure that sentiment will be echoed across the UK The human cost is sometimes secondary to the loss of industry in media coverage, and it would serve us all well to remember that thousands of jobs have already been lost and many more are at risk. Each one of those jobs represents mortgage and rent payments, food on the table, electricity and other utility bills, clothing, council tax, and all the other outgoings that steelworkers and their families face. The crisis facing the industry is causing crises in the homes of steelworkers the length and breadth of Britain. Every job loss holds its own unique story and its own heartbreaking strain on families. Every job loss is a hammer blow to local economies and communities, and it puts more jobs at risk along the supply chain I have heard Government Ministers say too often that they are taking action to protect jobs, but reality betrays that assertion. The industry is haemorrhaging jobs. It is an industry on life support. I make no apology for saying that the Government have simply not acted swiftly or decisively enough. The Tory manifesto claimed that they are “the party of working people”. Rhetoric is all well and good, but the steelworkers in Clydebridge are some of the hardest-working people I know, and they deserve to be supported properly First Minister Nicola Sturgeon moved swiftly to establish the Scottish steel taskforce. As a member, I have been impressed by how much that multi-agency body has achieved. Its approach has resulted in real interest from alternative operators, with the possibility remaining that both mills can be kept operational by a new owner. If that is the case—I hope it is—the new operator will be able to resume production swiftly owing to the Scottish Government’s steelworkers retention plan Action has been taken on business rates, in addition to new public procurement guidance on steel. A new action plan, “A Manufacturing Future for Scotland”, specifically singles out the steel industry as a vital strategic asset in the Scottish economy, while acknowledging the particular pressures it faces. It also details further specific measures to help steel and other energy-intensive industries, such as a new expert advice and support service, which will work with operators to develop feasible and cost-effective business plans to implement energy saving opportunities The measures taken by the Scottish Government are bold and forward-thinking. We need to see some of that from the UK Government. I welcome the measures taken thus far and appreciate that the Government have listened and taken some action, but they need to keep going, as there is more to be done. The crisis facing the steel industry still exists, and we need to face it down It is nothing short of a disgrace that the UK Government are blocking proposals to raise tariffs on Chinese steel. The lesser duty rule must be lifted, and the Government must act to support that. That is the kind of bold action that is needed in order to start levelling the playing field. Excuses for not doing so have been incredibly flimsy and sufficiently lacking in backbone to be classified almost as invertebrate. The scales are currently weighted against us—tipped unfairly by massive amounts of subsidised Chinese product. Unless we force a rebalancing, the situation will not change. I do not see that happening; indeed, the opposite seems to be true, as we move towards a situation where China will gain market economy status, as advocated by our ever willing Chancellor In short, an already dire situation looks set to get worse. In years to come, I do not want to be in the position of saying, “I told you so.” I want the UK to act like the superpower whose image the Government are so desperate to project to the rest of the world. We will do that by ensuring that this vital strategic asset is protected, not by making absurd concessions to make friends, and certainly not through utter intransigence. Who will respect us if we hand our centuries-old industry to our bigger, cheaper rivals? We owe it to our rich history, to our steel towns and cities, and most importantly to our hard-working steelworkers throughout the UK to stand up now and take the bold action that is so desperately needed.
ParlaMint-GB_2016-02-29-commons.u537	As I make my contribution, I am mindful of the fact that steelworkers in my constituency will soon find out whether they still have a job, because the consultants doing the job matching will soon finish their work. Up to 750 jobs will be lost in south Wales, with the losses in Llanwern, in my constituency, very much wrapped up in the announcement of the job losses at Port Talbot. Although the Tata press release talked about Port Talbot, it is hugely important to workers and their families in Newport, not to mention in the wider economy, that we remember Llanwern, because the effects are being keenly felt there Before the debate, I asked Newport steelworkers what comments they would like me to make to the Minister—I know other hon. Members do that before steel debates—and they said, “Please just keep saying what you said last time: that our industry needs help now. Please remind the Government that we are here.” Time and time again, we have come to this Chamber asking for real action from the Government for the steel industry, but despite the debates, the questions and the summits, the industry and the unions tell us that not enough tangible progress has been made. That message came out loud and clear from the recent Welsh Affairs Committee hearing on the problems in the steel industry in Wales. In evidence to the Committee, Tata’s director of strip products, Stuart Wilkie, talked about the three things the business needed to survive in Wales and counteract the perfect storm it faces: increased efficiency, reduced costs and Government support On efficiencies, Tata has already made major inroads into downsizing the business’s production capacity, and my constituents know only too well the effect that that has had, be that on the pickle line or the mothballed hot mill We have seen the reduction in costs over the years in Newport, including job losses, as Llanwern has reduced in size. Only last year there were 97 contractors on site, and now they have gone. We must remember that behind every job loss is an individual and a family On the third element—the support the industry gets from the Welsh Government and the UK Government—the Welsh Government taskforce has been well received. It is proactive, and it is welcome that there is a voice for steelworker representatives. The taskforce does what it can with the levers it has at its disposal. From the Welsh Affairs Committee session, I know that Tata and the unions say that the dialogue with the Welsh Government and the assistance from them are exceptionally good In the case of Westminster, the industry says that there has been progress, but it has not been speedy enough, and there has been little bottom-line impact so far. We have had to take the job losses and the efficiencies, but we need tangible help to make sure that there is a strong plan to move us through the next two years. I cannot reiterate enough that that really matters for flex plants such as Llanwern. On energy, companies will not see the money from phase 2 of the energy-intensive industries package until March, and they have waited two years for action. On dumping, the Government say they are doing something, and they are making supportive noises, yet they oppose the scrapping of the lesser duty rule, as we have heard many times today, and they support the granting of market economy status to China On procurement, more could be done to bring the Government together with companies to find out what is needed and how it can be supplied. Good work is going on in infrastructure projects in Wales. The Government say they have produced their guidance, but, as my hon. Friend the Member for Wallasey (Ms Eagle) asked: what practical impact has it had so far? The message repeated relentlessly at the Welsh Affairs Committee hearing was the need for more speed and more action, and the need to monitor our industry for the longer term to try to see what is coming—to anticipate and look ahead Steelworkers in my constituency have seen major restructuring over the years, and I know of the understandable fear, worry and concern that that breeds. As my hon. Friend said, our steel communities are looking to the Government in this hour of need. The Government need to put their warm, sympathetic words into action, because those working in steel feel that they have been far too slow to act. On behalf of the workers in my constituency, I call on the Government to support the steel industry far more proactively in the Budget.
ParlaMint-GB_2016-02-29-commons.u538	It is a pleasure to follow my hon. Friend the Member for Newport East (Jessica Morden), who speaks with great passion about the impact of the steel industry on her constituents. It is very much the same for my constituents, who are currently going through 900 job losses. Coming down here this morning, I found myself on the same train as Ian Smith and Paul McBean, the leaders of the Community union in Scunthorpe. I pay tribute to them for the work that they have done, alongside Martin Foster of Unite and, indeed, all the steelworkers and their families in Scunthorpe, in going through this very difficult time and leading the way forward. It is good that there are ongoing discussions with Greybull Capital about the future of the works. I commend everybody who is supporting those discussions, including those in Government. These are difficult times and we will face a very difficult future, whatever it is, so it is important that those discussions are successful I want to give a sort of half-term report on the Government’s progress so far on the industrial asks. The Minister, for whom I have a lot of regard, is fond of saying, “We have delivered, largely, on these asks”, but I think she will recognise, along with me, that it is a job started but still to be finished. First, on business rates, the Minister herself recognises that there has been little progress, but points us with a mischievous twinkle in her eye to the forthcoming Budget. I hope that twinkle bears dividends in the end and we see some movement on business rates Secondly, on energy costs, it has taken over three years for us to get delivery on the mitigation for the carbon floor tax, which the Government unilaterally applied. As my hon. Friend said, the money is still not in the coffers of the steel makers. On energy costs, I would appreciate it if the Government looked at the flawed EU emissions trading system proposal to see what can be done about it. It needs to be offset against indirect carbon costs, because otherwise it will do further damage to the UK steel industry through carbon leakage to other parts of the world and will fail to deliver what it is intended to do Thirdly, the Government are to be congratulated on bringing forward new procurement guidelines, but frankly, guidelines are not worth the paper they are written on unless they have an impact on how the Government and their contractor base deliver. There are a few tests we can apply. We can look at what is going on in defence; many Members have alluded to the issues there. I was pleased that a Defence Minister said today that there was a desire to push the guidelines down the procurement pipeline, but the Government need to push hard to make the difference that we need. I commend to them the work that Network Rail does, because we have there a pipeline of best practice that needs to be matched in other industries On renewables, DONG Energy has just got the contract for developing Hornsea Project One. However, the test will be whether UK taxpayers, through the very generous contract for difference deal, and UK energy bill payers, are financing the delivery of renewable wind farms built with UK steel or with other steel. The Government need to keep their eye on that, because it is a real test of their procurement rules The job has begun and it is, in theory, going in the right direction, but unless it has an impact it will be worth nothing. I know that the Minister wants to see impacts, so I will be interested to hear how she is going to ensure that the great expectation she has given us is delivered on.
ParlaMint-GB_2016-02-29-commons.u539	This has been a fascinating debate. Members might ask why an MP from Oldham is present in a debate about steel—we do not have a steel industry to speak of—but I have seen the demise of manufacturing in my community. When we talk about numbers in this place, we have to relate them back to the families affected. Communities are destroyed when industry disappears. We have heard time and again about the interventions that could be made, and my hon. Friend has made a fantastic point about them, but does he have any faith in this Government to deliver on them?
ParlaMint-GB_2016-02-29-commons.u540	It is the Government’s duty to deliver, and we have to work with them to make that happen. As my hon. Friend the Member for Wallasey (Ms Eagle) said right at the beginning of the debate, they have been dragged kicking and screaming towards delivery. We need them to deliver faster, because our communities, the steelworkers and their families do not have the time to wait. That is why the Government need to step up to the steel plate and deliver before it is too late The fourth issue is dumping by communist Chinese. If I had said 20 years ago that a Government would be in hock to communist China in undermining our manufacturing base, people would have said, “That’s what you’d expect from the Labour party,” but it is a Conservative Government who are doing it, which is remarkable—they are in hock to communist China. We need to take action on the lesser duty rule. The Secretary of State said that the Government can take action in other ways, but we need more details of how they will take action against Chinese dumping, to make sure that there is a fair and level playing field. Nobody wants benefits; all we are asking for, on behalf of our industries, is a fair playing field, and that is what acting on the lesser duty rule will achieve Many Members have spoken at great length about market economy status. During Foreign Office questions last week, I was pleased to hear the Foreign Secretary repeat the commitment that market economy status would be determined and seen through the prism of steel. I would be grateful if the Minister could confirm that unless China delivers on steel in the way that it should, it will not get market economy status In conclusion, my constituents are very keen on this debate and want the Government to do even more to deliver so that my constituents and my community can have good jobs and a good future.
ParlaMint-GB_2016-02-29-commons.u541	As always, it is a privilege to speak about an issue that is so important, not only for my constituents but for the future of the whole UK steel industry and manufacturing industry, as my hon. Friend the Member for Oldham West and Royton (Jim McMahon) has said. I pay tribute to the Celsa workforce in my constituency; to those who work for Tata and the rest of the steel industry in south Wales; to the Welsh Labour Government, who are doing so much for the steel industry in Wales; and to trade unions such as Community, whose union reps are standing up and working with the management to try to find solutions and get through these incredibly challenging times for the industry I do not want to repeat many of the arguments that have been made. This is the umpteenth debate we have had on this issue, and the Minister is well aware of the wider circumstances and challenges facing the industry, so I just want to zero in on some specific concerns The Secretary of State was slightly disingenuous when he tried to present us as protectionists who want to foment trade wars in the world. That is not what we want. I reiterate that this is about levelling the playing field so that we relieve the pressure on the industry that is the result of dumping and unfair production I was pleased to hear what the Secretary of State said about rebar. If he moves in that direction, it will be welcome, but the industry will want to know at what level he really thinks the tariffs should be set and when that will happen. We can also discuss why that did not happen earlier, and why he did not fight earlier for those changes in Europe. The Secretary of State for Wales and I met many months ago and discussed those issues, and we were well aware of the concerns. If the Secretary of State for Business, Innovation and Skills is moving in that direction, will he tell us when will it happen and at what level the tariffs will be set? He made a convoluted argument about the lesser duty rule, but that will not wash with the industry. The industry wants to know what action the Government will take and when.
ParlaMint-GB_2016-02-29-commons.u542	Does my hon. Friend agree that if a decision is made to impose tariffs as an anti-dumping measure, the whole point is that they have to be at a level that makes a significant difference to the price? Otherwise, the danger is that it becomes a token gesture.
ParlaMint-GB_2016-02-29-commons.u543	My right hon. Friend is absolutely right. As I said, if we do not put those tariffs up and other countries do, our industry will end up with double or triple dumping, with all its consequences The Minister has talked on many occasions about the compensation package. It has been long in coming, and its announcement was welcome, but the reality is that a lot of that compensation has simply not yet been paid. I have spoken to Celsa, in my constituency, in recent days. Can the Minister tell us how much compensation has been paid out and what difference it is making today? I am not talking about promises for the future; I want to know what difference it is making today I want to bring the Minister’s attention back to the charter for British steel, which we have discussed on several occasions. It laid out a clear set of arguments about sustainability, quality in procurement, and the sort of steel that we can produce, which we should be using in our construction and infrastructure projects. BS 6001 certification shows that steel has been manufactured in a sustainable and responsibly sourced manner and that, crucially, it can be traced back to its raw materials. In defence infrastructure projects or projects such as Crossrail—in which Celsa rebar has been used—we want to ensure that we use high-quality British steel that can be traced, and which has high carbon standards and high-quality standards, so that we can be sure it will be there for the long term There are some wider questions that I would like the Minister to answer. I turn briefly to procurement, because I think the Government have been somewhat disingenuous in claiming that the whole thing is done and dusted and that action has been taken. There have been welcome statements from the Minister and others about the guidance that is being given. I am concerned, however, about the fact that although we are asking Departments what they are doing, the Ministry of Defence has said that it is not keeping the records. The Secretary of State said earlier that his Department will be helping other Departments. He needs to get in there and ensure that the MOD keeps the records in the first place, as well as driving and advertising opportunities for procurement. Look at the list of projects: the Tide class tankers, the Scouts—now Ajax—and the frigates—[Interruption.] The Minister is absolutely right to say that we do not make the steel for Ajax, but other parts of the programme could be sourced from UK steel. There is still no answer on the customisation of the Tide class tanker, which was made in Korea. Those are the real questions The Minister was chuntering earlier about doing down the industry. We can produce that high-quality steel in the UK, and we should get to the bottom of why British companies are not bidding for or securing some of those projects. The Department for Business, Innovation and Skills should do all it can, with other Departments, to facilitate that market—[Interruption.] The Minister says that the Department does so, but the facts do not add up Finally, I want to talk about our role in Europe. I am glad that the Minister agrees that our place is in the EU, and it is a pleasure to have her supportive messages on social media about that. I am glad that we agree. I firmly believe that we achieve more for the steel industry working together across Europe than we would alone, but the Government have to be in there, fighting for the UK steel industry. I know that the Minister has done that on several occasions The reality is that the Government were warned years and years ago about the pressures facing the industry. A company such as Celsa in my constituency faces 70% higher energy costs than companies in Germany, as well as the dumping that the Government have been warned about so many times. If Ministers do not deal with those concerns, there is no possibility of pan-European co-operation. Why did it take so long for the Secretary of State to get out there and make that case in Brussels? Will she give us the absolute assurance that, during the next crucial months for the industry, she and he be will out there making that case on the duties, procurement and cross-European infrastructure? Only by doing that will we achieve the benefits for the steel industry that all of us across Europe want I want to see a future for the steel industry. I am glad that the Government are being pulled, kicking and screaming, on some of the issues. We need action and for it to keep coming, and we must ensure that we have a future for the steel industry in south Wales and across the whole of the UK.
ParlaMint-GB_2016-02-29-commons.u544	Order. Sorry, but I have to change the time limit to five minutes.
ParlaMint-GB_2016-02-29-commons.u545	I am very grateful for the opportunity to speak in this debate, but I am afraid that I contribute to debates on steel with a heavy heart and a bitter taste in my mouth. I led such debates back in September to plead with the Government to intervene and to save the steel works in Redcar, but I now stand in the Chamber to represent over 3,000 people who have lost their livelihoods and their identity, and to represent a barren, silent industrial giant of a blast furnace, which still dominates the skyline of Redcar and is a visible daily reminder of this Government’s abandonment. I stand here to represent a community that feels let down, cheated and bereft. It is a tragedy that, despite representing a constituency that forged the steel that built the bridges and skyscrapers of the world in the 20th century, I stand here now, in a debate about British steelmaking, to represent a constituency that no longer makes steel. However, I am here because I owe it to my constituents, and those who fought so hard and with such dignity for our own steelworks I and my Labour colleagues will keep battling and fighting for steelworkers throughout the country and for the future of this vital industry. At this point, I want to pay tribute to others who are fighting so hard to save our steel—the steelworkers who have taken their campaigns to Brussels and around this country, and particularly the Community union and the Daily Mirror newspaper for their fantastic campaigns. We have to keep fighting to ensure that Britain is a country that still makes things; to make sure that our homes, our ships, our railways and our submarines are built with British steel; and to make sure that our industrial engineers have jobs and that our young people have a future where they make something more meaningful than a latte or a Subway sandwich. Steelmaking would be an industry with a future if only it had a Government that believed in it. Steel is integral to the long-term success of our advanced manufacturing, particularly in relation to the automotive, aerospace and rail sectors and to our sovereign capability in the defence and nuclear industries. Steelmaking can be competitive in this country, and we on Teesside can still play a role. We just need the Government to take action. Teesside still has the potential to be a hub for developing new technologies, and to lead the way in the circular economy—re-engineering waste, recycling and energy recovery. Where once we may have produced carbon, now we can capture and store it or even reuse it. Where once we forged steel, we may yet be able to recycle it with electro-arc furnaces. We just need a Government who believe in us That is why I will continue to press the Minister—I hope that she will, in turn, press Innovate UK and, ahead of the Budget, the Chancellor—for the establishment of a materials catapult for research and innovation on Teesside, focusing on the early stage of metals development.
ParlaMint-GB_2016-02-29-commons.u546	Does my hon. Friend share my concern that the Chancellor seems to spend a disproportionate amount of time speaking to the Chinese about investment to fund the northern powerhouse investment pitch book—of course, to appeal to parts of the UK that other potential Conservative leadership candidates cannot possibly reach—than supporting our own industry? Will she join me in warning Conservative Members that if our industry dies, Britain dies too?
ParlaMint-GB_2016-02-29-commons.u547	My hon. Friend makes an extremely important point. There is no greater testament to the lack of progress of the northern powerhouse so far than the devastating loss of steelmaking on Teesside. If the northern powerhouse means anything at all, it means jobs, industry and growth on Teesside, and on that count the Government have failed With the materials catapult for Teesside—the existing research and development hub, which is the materials processing industry in my constituency—the Government have the perfect opportunity to put right some of their wrongs and to help some kind of steel phoenix to rise from the ashes in Teesside. Teesside can build on its industrial strength and once more play a vital role in driving the UK’s industrial and high-tech economy of the future But we need a Government that will support us, a Government that will commit to an industrial strategy and a Government that, dare I say it, will invest. What we do not need are a Government that fail to play their role on the global stage, but that is what we have seen. The Chancellor has been out in China, and I can only imagine how grateful it is to him that his Government have actively blocked our European colleagues’ efforts to increase tariffs on Chinese steel in the EU by scrapping the lesser duty rule. I can only imagine how grateful it is to him that his Government are such cheerleaders for China in seeking market economy status, which would give the green light to Chinese steel flooding in. President Obama has pledged aggressive action through the trade Bill in Congress, and the US recently imposed duties of 236% on a particular grade of Chinese steel. I, for one, am fed up with the Government and Government Members pretending that membership of the EU is the reason they cannot act. Instead, I want them to work with our European partners to impose tariffs and tackle dumping. I am frankly embarrassed that it is the UK that is leading a small group of nations in opposing higher tariffs on China because of the Tories’ ideological obsession with a market economy that sees jobs, communities and entire industries as a price worth paying for their kind of laissez-faire, unfettered global market.
ParlaMint-GB_2016-02-29-commons.u548	You know that’s not true.
ParlaMint-GB_2016-02-29-commons.u549	We have heard it from the Government Benches tonight We will keep fighting and holding the Government’s feet to the fire. No more job losses, no more closures—we need the Government to act. We want the Government to stand up for Britain. We want the Government to save our steel.
ParlaMint-GB_2016-02-29-commons.u550	It is a pleasure and a privilege to bring up the rear, so to speak, in such an important debate. If I may be light-hearted for a moment, the hon. Member for Wallasey (Ms Eagle) was challenged to a rugby match at the beginning of the debate, so I am pleased to inform her that I took part in the first mixed rugby match recently, representing the MPs and Lords. I even scored a try. [Hon. Members: “Hooray!”] The number of debates we have had on this issue and the number of times we have returned to it show the strength of feeling not just across this House, but across the nations of the United Kingdom. It is a pleasure to follow my hon. Friends the Members for Rutherglen and Hamilton West (Margaret Ferrier) and for Motherwell and Wishaw (Marion Fellows), who spoke passionately about their constituencies, as did Members from across the House. My colleagues have been involved in the Scottish taskforce and have done extensive work in engaging with their respective local communities on the future of the steel industry in Scotland and in standing up for their rights and interests. As they said, the steel industry has been at the heart of their constituencies for generations. Our thoughts continue to be with the many towns and communities across the UK that are at the mercy of the volatility in the global steel market and the glut of steel production, as well as the UK Government’s lack of commitment and action I pay tribute to the work of everyone on the Scottish steel taskforce, including the union representatives. I am particularly pleased that they have been included in the Scottish taskforce, by contrast with the situation at the outset south of the border. They were at the heart of our discussions and engagement from the very beginning Fergus Ewing MSP, my colleague in the SNP Government, is the Minister for Business, Energy and Tourism. He faces many challenges, but he and his colleagues in the Scottish Government and Parliament, including Clare Adamson MSP, who is from a steelworking family, continue to work tirelessly to keep the Dalzell and Clydebridge steel plants open. They are committed to finding a buyer for the sites, continuing commercial production and keeping as many jobs as possible onsite and in Scotland The strategic importance of the plants to Scotland and the UK cannot be overstated. It is apparent in the specialist skills and knowledge and the innovative approach that are inherent in Clydebridge and Dalzell. According to UK Steel, the Dalzell plant is the only plant in the UK capable of rolling and processing the steel that is used in the Ministry of Defence’s special armour plate and for certain requirements of the offshore oil and gas industry. The Clydebridge plant specialises in producing difficult-to-make high-strength steels that are used in some of the most challenging environments in the world. We truly have a world-class industry that we in Scotland believe is worth fighting for However, when the UK Government are faced with an opportunity to fix the issues, they are flat-footed and seem to shy away. A case in point is the issue of tariffs, which has been discussed extensively this evening. It is shameful that the UK Government have actively blocked the proposals to raise tariffs on Chinese steel. The UK Government confirmed in mid-February that they had blocked proposals from EU members to block the dumping of cheap steel products in the EU by China. The Government’s blocking of the proposal came after the Secretary of State signed a joint letter from European Ministers, pledging “to use every means available and take strong action” against China and Russia. He has the means at his fingertips, but he chooses not to use them The UK Government must work harder with their European partners to address the dumping of cheap steel in European markets, which is, as we all know, undermining UK steel production. Although 2% of UK steel demand was met by Chinese imports in 2011, that figure has been forecast to rise to 8% this year and next. We are all keen to hear from the Minister on that point The message is clear: there are vital skills, innovative approaches, and a unique and distinct heritage in Scotland and the UK steel industry, but how far will the Government go to save it? When I was doing research for this debate, I came across an article in the Scunthorpe Telegraph: “Scunthorpe’s main steel union Community has slammed Business Secretary Sajid Javid for stating the UK steel industry could not expect to be to bailed out in the same way as the banks.” A spokesman for the Community union said: “The Prime Minister himself has said that steel making is ‘vital’ to the UK economy, so these are ill-judged remarks from Mr Javid.” I could not agree more The UK Government have the money, political will and determination to bail out the banks, but they cannot find it in their heart, or indeed their pockets, to support an industry that is of vital strategic importance to our economy. I am not, of course, calling for the nationalisation of steel production assets, but I simply suggest that the Government are short on political will and creativity in supporting the steel industry in its time of need.
