ParlaMint-GB_2016-06-27-commons.u1	1. What plans his Department has to ensure future defence co-operation with allies and partners.
ParlaMint-GB_2016-06-27-commons.u461	I think I have asked this before, and the Minister may not have the figure to hand, but can he give us an estimate of how much he thinks the changes introduced by clause 8 will raise, given that for each of the four bands the percentages are going up by 3%?
ParlaMint-GB_2016-06-27-commons.u462	If I may, I will write to the hon. Gentleman and provide him with those details On clause 11, the Government will review the van benefit charge support for zero-emission vans, again in the light of market developments, at Budget 2018. This clause is keeping the level at 20%—it is not increasing it as planned—and the review occurs before any further increase beyond 20%. I hope that reply is helpful to the hon. Gentleman. As for what the impact will be on the sales of zero-emission vans, extending the van benefit charge support for zero-emission vans will continue to reduce barriers to the uptake of new vehicle technologies. The Government’s enhanced capital allowances scheme for zero-emission vans and the plug-in van grant that helps with the up-front cost of buying a new ultra-low-emission van will also help to reduce barriers to the uptake of these new technologies. Together these incentives will help sales of zero-emission vans. This in turn will help the development and manufacture of clean vehicle technologies in the UK, consistent with the Government’s wider plans to promote economic growth. However, it is not possible to estimate precisely the impact on sales at this stage The hon. Gentleman made a point about EU air quality requirements and whether we should be doing more. The Government are committed to improving air quality, reducing health impacts and complying with legal obligations. Last December, DEFRA published the Government’s plan to achieve these aims. Under this plan, by 2020 the most polluting diesel vehicles will be discouraged from entering the centres of Birmingham, Leeds, Southampton, Nottingham and Derby. The Mayor of London has responsibility for London and his own plans for reductions. I accept that the hon. Gentleman’s amendment is well intentioned, but no vehicles would currently be caught by it and we are instead pursuing these aims more effectively elsewhere.
ParlaMint-GB_2016-06-27-commons.u463	Maybe I missed it, and I apologise in advance if I did, but when the Minister referred to stuff going through DEFRA and so on, I understood the milepost to be 2020, but 2020 seems an awfully long way away given that we should have been complying with this air quality stuff in about 2011 or 2012. It seems to be a case of kicking the can down the road while literally tens of thousands of people are dying prematurely. That is worrying.
ParlaMint-GB_2016-06-27-commons.u464	I understand why the hon. Gentleman raises that point, but no vehicles would currently be caught by the amendment. It is a question of finding the most effective means by which to do this. As I have said, last December DEFRA published the Government’s plans to achieve these aims and I accept that further work needs to be done, but we have set out a realistic and achievable target, and by 2020 the most polluting diesel vehicles will be discouraged from entering a number of cities.
ParlaMint-GB_2016-06-27-commons.u465	rose—
ParlaMint-GB_2016-06-27-commons.u466	I will give way, although I am keen to make progress as a number of points have been made.
ParlaMint-GB_2016-06-27-commons.u467	The Minister says that no vehicles would be caught. My understanding of what he means by that is that no vehicles that are currently manufactured would be able to take advantage of the measure set out in amendments 2 and 3. The Minister is, I think, nodding, which is helpful. That is precisely the point of the amendments; it is to drive the market.
ParlaMint-GB_2016-06-27-commons.u468	I appreciate that that is the intention of the amendments, and of course the hon. Gentleman would be the first to accept that it would require some time for that to take effect, but there are other measures elsewhere that the Government are taking that I believe achieve those objectives more effectively.
ParlaMint-GB_2016-06-27-commons.u469	There is a proposal to build a railway line that would take 5 million lorry journeys off our roads every year, transforming current levels of emissions, particularly in towns. This has widespread support apart from in the Department for Transport and the Government. Will the Government look seriously at the scheme and see it as a positive way forward?
ParlaMint-GB_2016-06-27-commons.u470	This Government are committed to a very substantial investment in our railways—the biggest rail building programme since Victorian times. As a Government, we have great ambitions; we intend to spend £60 billion on transport infrastructure over the course of this Parliament Turning to supporting testimonials, a point was raised about the definition of “customary”. To reassure the hon. Member for Wolverhampton South West, I point out that HMRC is committed to working with external bodies in the production of guidance on this, which will cover issues such as the definition of “customary”. He also asked about the numbers of testimonials that fall within the contractual or customary categories, or fall outside that. No figures are available, as employers have not had to report this to HMRC. It is worth pointing out that contractual and customary payments are treated as earnings and it is therefore not possible to disaggregate them from the PAYE system A number of points were raised on clause 14. It was asked whether this change would disadvantage rural communities. Workers in rural communities who are contracted directly cannot claim travel and subsistence on their ordinary home to work commute. This change equalises the tax treatment of workers employed through employment intermediaries with that of other workers. It addresses an imbalance in our tax system, ensuring that it is fair. It is a long-standing principle of the tax system that tax relief is not allowable for the expense of ordinary commuting—travelling from home to a permanent workplace. I made that point earlier In terms of whether it would reduce contractors’ ability to travel, creating a skills shortage or reducing flexibility and preventing growth, where businesses wish or need to recruit workers living some distance away, the Government expect businesses to pay a wage sufficient to attract workers without any special tax subsidy being necessary. This forms part of the Government’s plan to move to a high-wage economy with businesses meeting the costs of paying their workers a wage which does not require a top-up from the state. I should also make the point in this context that this change puts supply teachers —an example that I think was used in the course of the debate—who are engaged through an intermediary on the same terms as other supply teachers who are contracted directly or through an agency. Like other workers, supply teachers not engaged in this way would not receive tax relief on their travel and subsistence expenses on regular home to work travel Prior to the last general election, the Labour party said that it would stop umbrella companies exploiting tax relief. It stated this both in its published plan to tackle tax avoidance and subsequently in Parliament, and that is exactly what this change does, so I hope our measures in this area will have cross-party support The hon. Member for Aberdeen North (Kirsty Blackman) made a point about the impact on the Scottish oil industry. Employees with a permanent workplace at an offshore oil or gas installation are already exempt from income tax where they are provided with transfer transport, related accommodation, subsistence or local transport. These changes will not affect that exemption.
ParlaMint-GB_2016-06-27-commons.u471	The only time in my life I had to operate through an umbrella company and would have been caught by these changes was when it was at the requirement of the Government because of the way in which they had constructed a contract. Do they intend going through every Department of the UK Government to ensure they no longer contract in this way?
ParlaMint-GB_2016-06-27-commons.u472	The Government have done considerable work in recent years to ensure that Departments do not engage in arrangements that drive down the tax bill in a way that is not the intention of Parliament On clauses 16 and 17 and the issue of the withdrawal of the valuation check service, the Government believe that the impact will be negligible on employee share ownership. The Government do not expect the withdrawal of these services to have an impact on the take-up of employee ownership schemes. The valuation service has not been withdrawn for the most relevant two employee ownership schemes, including enterprise management incentives, company share option plans, savers who earn share option schemes, share incentive plans and the employee shareholder status This rather raises the question raised by the hon. Member for Wolverhampton South West as to why we have so many different schemes. Well, each of the tax advantage share schemes has a specific policy objective, reflected in the specific qualifying conditions. Share reward schemes are greatly valued by both companies and employees, and the Government believe that these schemes can have a positive impact on productivity Finally, on clause 18 and the concerns that this is retrospective legislation and that it is too complex, let me be clear that the changes introduced here are relatively straightforward. More complex proposals that were announced at the Budget will instead be legislated for in Finance Bill 2017, after the Government have consulted on the technical detail over the summer. One of the main purposes of the consultation will be to ensure that genuinely innocent arrangements are not affected. On the suggestion that the legislation is retrospective, the Government expect those who have avoided tax to pay their fair share. The Government intend to legislate for the new charge in Finance Bill 2017, following the consultation that I have just mentioned. The public and tax practitioners will be able to comment on that consultation Normal hard-working people do pay their taxes. They are paid a salary; they are not paid in loans. It is not right that those who use these schemes receive remuneration without paying tax on it. All affected scheme users will have the opportunity to repay their loans or to pay tax on them before the changes come into effect. This is in addition to the previous settled opportunities which closed in 2015. I hope those points of clarification are helpful to the House. I hope, therefore, that the Government clauses and amendments can be supported, and I urge hon. Members proposing their own new clauses or amendments not to press them. If not, I urge my hon. Friends to oppose them Amendment 22 agreed to. Amendments made: 23, page 14, line 10, at end insert— “( ) In section 109 (priority of Chapter 5 over Chapter 1), after subsection (3) insert— “(4) In a case where the cash equivalent of the benefit of the living accommodation is nil— (a) subsections (2) and (3) do not apply, and (b) the full amount mentioned in subsection (1)(b) constitutes earnings from the employment for the year under Chapter 1.”” Amendment 24, page 14, leave out lines 13 to 16 and insert — ““(1A) Where this Chapter applies to a car or van, the car or van is a benefit for the purposes of this Chapter (and accordingly it is immaterial whether the terms on which it is made available to the employee or member constitute a fair bargain).”” Amendment 25, page 14, line 35, at end insert— “( ) In section 120 (benefit of car treated as earnings)— (a) in subsection (2) after “case” insert “(including a case where the cash equivalent of the benefit of the car is nil)”, and (b) after subsection (2) insert— “(3) Any reference in this Act to a case where the cash equivalent of the benefit of a car is treated as the employee’s earnings for a year by virtue of this section includes a case where the cash equivalent is nil.” ( ) In section 154 (benefit of van treated as earnings)— (a) the existing text becomes subsection (1) of that section, and (b) after that subsection insert— “(2) In such a case (including a case where the cash equivalent of the benefit of the van is nil) the employee is referred to in this Chapter as being chargeable to tax in respect of the van for that year (3) Any reference in this Act to a case where the cash equivalent of the benefit of a van is treated as the employee’s earnings for a year by virtue of this section includes a case where the cash equivalent is nil.”” Amendment 26, page 14, leave out lines 37 to 39 and insert— ““(1A) Where this Chapter applies to a loan— (a) the loan is a benefit for the purposes of this Chapter (and accordingly it is immaterial whether the terms of the loan constitute a fair bargain), and (b) sections 175 to 183 provide for the cash equivalent of the benefit of the loan (where it is a taxable cheap loan) to be treated as earnings in certain circumstances.”” —(Mr Gauke.) Clause 7, as amended, ordered to stand part of the Bill. Clauses 8 and 9 ordered to stand part of the Bill. Clause 10 Diesel cars: appropriate percentage Amendment proposed: 2, page 15, line 29, after “omit”, insert “, except in the case of a low emissions vehicle,”.—(Rob Marris.) Question put, That the amendment be made.
ParlaMint-GB_2016-06-27-commons.u473	With this it will be convenient to discuss clauses 133 and 134 stand part Amendment 183 Clauses 135 and 136 stand part.
ParlaMint-GB_2016-06-27-commons.u474	Clauses 132 to 136 set out changes to the climate change levy, or CCL, which is a tax levied on the supply of energy to businesses and the public sector. It was introduced in 2001 to incentivise industrial and commercial energy efficiency. The Finance Act 2015 removed the climate change levy exemption for renewable electricity generated on or after 1 August 2015. A consultation was then held to seek views from industry on the appropriate length of time for the transitional period Clause 132 sets the length of the transitional period during which electricity suppliers can continue to exempt from the climate change levy renewably sourced energy generated before 1 August 2015. The clause provides for an end date for the transitional period of 31 March 2018. Setting a transitional period will minimise the administrative impact on electricity suppliers by giving them time to retain the benefit of renewably sourced electricity acquired before the date of the change Following a review of the business energy tax landscape and consultation with industry, it was announced at Budget 2016 that the Government would abolish the complex and unduly burdensome carbon reduction commitment energy efficiency scheme and move to a single tax—the existing climate chance levy—from 2019. Moving to one tax will provide a clearer price signal for business energy use, incentivising energy efficiency while reducing administrative burdens Clauses 133 and 134 set the main rates of the CCL from 1 April 2017 and 1 April 2018 to increase by the retail prices index. Legislating for those increases now provides certainty for businesses before the wider business energy market reforms take place Clause 135 will increase the climate change levy rates above RPI from 1 April 2019, to recover the revenue that will be lost from abolishing the CRC. Increasing climate change levy rates will strengthen the incentive for businesses with the greatest potential to save energy. At the same time, rebalancing the rates for different taxable commodities from 1 April 2019 will update an outdated ratio and more closely reflect the carbon content of the energy used. That will help to deliver on our commitment to achieve greater carbon savings Clause 136 will increase the levy discount for energy intensive sectors with climate change agreements. That will ensure that businesses in those sectors will pay no more in the climate change levy than the expected RPI increase in April 2019, thereby enabling them to maintain their international competitiveness. Those reforms will take place in 2019, providing a three-year lead-in time for businesses to adjust to the new business energy tax landscape Several hon. Members have in the past voiced concern over the impact of the clause to remove the climate change levy exemption from renewably sourced electricity, so allow me, if you will, Sir Roger, to repeat the reasoning for the removal of that exemption. There is no doubt that the exemption was increasingly providing poor value for money for British taxpayers. Without action, the exemption would have cost almost £4 billion over the course of this Parliament, providing only indirect support to renewable generators Other Government support for UK low-carbon generators demonstrates this Government’s commitment to renewable energy. Since 2010, nearly £52 billion has been invested in renewables, and that has led to a trebling of the UK’s renewable electricity capacity. There was another record year in 2015, with £13 billion invested in renewable electricity. Removing the exemption will provide better value for money for UK taxpayers, contribute to fiscal consolidation and maintain the climate change levy price signal necessary to incentivise business energy efficiency The Government’s consultation with industry showed that the current business energy tax landscape was too burdensome and complex. Clauses 132 to 136 demonstrate the Government’s commitment to simplify and improve the effectiveness of business energy taxes in order to meet our environmental targets Amendment 183 stands in the name of the hon. Member for Salford and Eccles (Rebecca Long Bailey) on behalf of the Opposition. If I may pause for a moment, I want to take this opportunity to congratulate her on her elevation today. It is an extremely well-deserved promotion and we wish her all the best in her new role. On this occasion, however, I am afraid that her amendment has slightly less merit. It would require the Chancellor to publish a report detailing the impact of the climate change levy in reducing carbon emissions within 12 months from the passing of the Finance Bill, but such a review is unnecessary Following a hearing on the 2015 summer Budget, the Chancellor wrote to the Treasury Committee on the impact of the removal of the CCL exemption. He made it clear that the exemption would not directly affect our commitment to reduce carbon emissions. In addition, the Department of Energy and Climate Change already intends to publish a consultation on a simplified energy and carbon reporting framework later this year. That will be accompanied by an impact assessment, which will examine the removal of the carbon reduction commitment and propose adjustments to reporting requirements The impact of ending the exemption from the climate change levy for renewable electricity has been discussed at length over the course of debates. It has been confirmed to Parliament in writing by the Chancellor that removal of the exemption will not impact on the UK’s ability to meet its carbon budget targets. I therefore urge the hon. Lady to withdraw the amendment, but should she be minded not to do so, I urge the Committee to reject it.
ParlaMint-GB_2016-06-27-commons.u475	I thank the Minister for his kind comments and for being a fantastic duelling partner in these debates. He has been nothing less than respectful and I have enjoyed debating with him I rise to speak to clauses 132 to 136, which make various changes to the climate change levy, and to amendment 183, which stands in my name and those of my hon. Friends the Members for Hayes and Harlington (John McDonnell), for Feltham and Heston (Seema Malhotra), for Wolverhampton South West (Rob Marris) and for Leeds East (Richard Burgon). Clause 132 relates to the removal of the exemption for electricity from renewable sources. Since the climate change levy’s inception in 2001, electricity from renewable sources has been exempt when supplied under a renewable source contract agreed between an energy supplier and its customer. In Budget 2015, the Chancellor announced that that exemption for renewable electricity would be removed from 1 August 2015 and that there would be a “transitional period for suppliers...to claim the CCL exemption on any renewable electricity that was generated before that date.” Following an informal consultation, which received 18 responses, the Government announced that the transitional period would end on 31 March 2018, legislated for in this Finance Bill The House will be aware that we, along with several Government Members, opposed the removal of that exemption in the Finance Act 2015, and we maintain that position. We will therefore abstain on the clause, but I would like the Minister to address one particular point. In answer to written questions, the Government have refused to publish a summary of responses to the informal consultation, as they contained “commercially sensitive information”, and they refuse to publish an average of suggested timescales. Will the Minister give us an assurance that the length of the transitional period was, in fact, in line with the recommendations of the respondents Clauses 133 and 134 will increase the main rates of the climate change levy in line with inflation in April 2017 and again in April 2018. It has been standard practice to increase the rates in line with inflation in each year’s Finance Bill since 2007 and, as the explanatory notes set out, wider changes to the CCL from 2019 are being legislated for in this Bill, so it makes sense to make provision for the next two years at the same time Those wider changes are the subject of clause 135, which significantly increases the main rates of the climate change levy to recover Exchequer revenue lost from the abolition of the carbon reduction commitment. In doing so, the ratio of electricity to gas is rebalanced somewhat to 2.5:1, and it is the Government’s intention to rebalance the ratio further to 1:1 by 2025, to reflect the fall in gas prices and the expected increase in consumption as a result The following clause increases the CCL discount available to energy intensive businesses subject to climate change agreements, to compensate equivalently for the increase to the main rates. The CCL discount for electricity will increase from 90% to 93%, and the discount for gas will increase from 65% to 78% from 1 April 2019. That provision mitigates a knock-on effect from clause 135 Our amendment to clause 135 would require the Government to conduct a review of the impact of the climate change levy on carbon emissions. The review will have particular reference to the removal of the exemption for electricity generated from renewable sources, the abolition of the carbon reduction commitment and the reporting requirements for companies and public sector bodies.
ParlaMint-GB_2016-06-27-commons.u476	I rise to support amendment 183 on the changes to the climate change levy. The UK Government’s idea to have a climate change levy was admirable. It was introduced in 2001, and it has been a positive step. It is completely reasonable that companies should be made to think about their energy usage, and the best way to do that is to tax them on it. The hon. Member for Salford and Eccles (Rebecca Long Bailey) made a wide-ranging speech on a series of matters, some of which I was going to speak about, so I will curtail my speech somewhat Although reducing companies’ energy consumption and usage is a great idea, it fails to take into account the fact that some methods of generating electricity are better than others, particularly in terms of climate change. We cannot tax energy usage across the board given that energy generated from, say, onshore wind is much cleaner and better than energy generated from, say, a coal-fired power station. Those two things are very different, and it is completely reasonable to have variable tax rates for those two things The hon. Lady spoke about some of the impacts that the Government’s energy policy is having on low-carbon energy. This Government do not have a good record on supporting low-carbon energy. Their support for nuclear has been widely reported, but the situation is very difficult for companies that are innovating in providing other forms of low-carbon energy in this ever-changing climate and in the UK Government’s current policy framework It was announced in June that the Scottish Government had managed to meet their target for reducing greenhouse gas emissions by 2014. The target was a reduction of 42%, and it happened six years early. That was an excellent achievement for the Scottish Government and for Scotland as a whole, with everyone working together to reach it. However, it will be very difficult for us to keep up that level of achievement with the UK Government’s current energy policy. For example, there is no clarity about when there will be a new pot 1 for contracts for difference. That pot is for onshore wind, which is very important. It is very clear that onshore wind is an established technology for generating electricity cleanly, and the UK Government need to provide greater clarity about when the next CFD round for it will be With Brexit, Scotland will have a major problem in that the funding for low-carbon energy and low-carbon energy projects, particularly the groundbreaking ones, has come from the EU. I know that this is slightly outside the remit of this debate, but I would appreciate it if the UK Government looked at whether this funding will continue to be provided because we should continue to innovate in low-carbon energy in Scotland, which has massive natural resources.
ParlaMint-GB_2016-06-27-commons.u477	I will focus on clauses 132 to 136, in part 9, and amendment 183, which pertain to the climate change levy. Both the hon. Member for Salford and Eccles (Rebecca Long Bailey) and my hon. Friend the Member for Aberdeen North (Kirsty Blackman) have spoken comprehensively on this subject, so I will keep my speech relatively short I have particular concerns about the removal of the exemption for electricity generated from renewable sources. I believe that this counterproductive decision will grossly undermine the development of the UK’s energy sector. The long-term future of our energy market is in renewables. The UK, and Scotland in particular, has extraordinary potential in the renewables sector Scotland has 25% of the wind and tidal potential in all of Europe, and 10% of the wave potential in Europe. For a small country—in both landmass and population, although it none the less represents a third of the UK landmass—these figures represent enormous potential not just for leading the world in renewable energy production, but in creating tens of thousands of jobs and ushering in substantial economic growth However, this Conservative UK Government seem determined to tear down any progressive policies that are designed to encourage and incentivise the production of green energy. Just this year, the Government have begun the process of privatising the Green Investment Bank, as the hon. Lady said. In addition, this Government have cut subsidies for small-scale solar panels by 65%, which is a massively damaging blow to the industry that can save households a few pounds As the hon. Lady and my hon. Friend the Member for Aberdeen North did, I will mention the scrapping of support for onshore wind, the removal of the biomass renewables obligation subsidy level guarantee, the killing of the flagship green homes scheme and the cancellation of the carbon capture initiative, which I was heavily involved in. What about the future? What hope is there for the Swansea Bay tidal programme, given the track record of this Government The climate change levy was a positive step in the right direction. It was a policy designed to provide a disincentive for polluting technologies. It is perverse that the climate change levy has been applied to green, clean energies. That is not what it was intended for. This change will have a disproportionate impact on Scotland, which despite having under 10% of the UK population, as my hon. Friend said, produces a third of the UK’s renewable energy Despite the austerity implemented by this UK Government, Scotland has continued to drive forward in reducing its carbon footprint and increasing the use of green electricity. As my hon. Friend also said, earlier this month it was announced that we in Scotland had reached our target of making a 42% reduction in carbon emissions by 2020, which is six years earlier than expected. The SNP Scottish Government have now set a more ambitious target of a 50% reduction in carbon emissions by 2020. However, I fear that despite our progress, unfortunate choices by the Conservative UK Government —both their ill-advised and counterproductive austerity obsession and the mishandling of the EU referendum, leading to a vote for Brexit—will mean regression, rather than progress on climate change and the promotion of renewable energy For those reasons, I wholeheartedly support amendment 183, in the name of the hon. Member for Salford and Eccles.
ParlaMint-GB_2016-06-27-commons.u478	The climate change levy makes a significant contribution to the Exchequer’s revenues. It had been on a declining path, but with the changes that have come in, its path has been stabilised. It had been providing increasingly poor value for money, partly because a third of its value was going to generators overseas: that generation does not contribute to UK targets, and quite often benefits from subsidies and other benefits at home There was also only indirect support for renewables. This is a really important point that goes to the heart of what the hon. Members for Aberdeen North (Kirsty Blackman) and for Coatbridge, Chryston and Bellshill (Philip Boswell) were saying. The renewables obligation and contracts for difference are much more effective at providing direct support, at a higher level than the £5.54 per hour, to bring on the generation that we need The success of the deployment of renewables in this country paradoxically has an adverse impact on the effectiveness of the CCL exemption, such that by the early 2020s it would not be effective in stimulating new capacity to come on stream. Its value to generators would be declining, because the supply of renewables and therefore of the levy exemption certificates would exceed in volume the total potential demand from eligible customers in business and the public sector.
ParlaMint-GB_2016-06-27-commons.u479	If the Minister is saying that the exemption will not be effective after 2020, does he concede that it would therefore be effective to keep it in place now?
ParlaMint-GB_2016-06-27-commons.u480	Sir Roger, he does not. As I was trying to say, this is not a cliff-edge thing. Its effectiveness has been declining over time and a lot of the value leaks overseas. Most important of all, there are other ways of directly stimulating new renewables provision. Without getting too far into the weeds and the details of what goes where, those other ways make sure that the benefit goes directly to the generators rather than being split between different parts of the value chain. CfDs stabilise the price relative to some of the fluctuations of the wholesale market, which in turn increases investor confidence and can help drive investment The hon. Member for Salford and Eccles (Rebecca Long Bailey) asked about the transitional period, and her various parliamentary questions about the responses received to the informal consultation on that. Suppliers were invited to respond; of those that did, only one requested a transitional period in excess of three years. All others were content with an end date of 31 March 2018. Most said that they would have used their levy exemption certificates within a year. We have not published the results of that consultation because, as she rightly said, it included commercially sensitive information. The size of the sample and the number of responses mean that it does not make sense to speak in terms of the average period that was called for I turn to the abolition of the carbon reduction commitment and changes to the climate change levy main rates. Those are major simplifying moves. We had extensive consultations—both written consultations and meetings, a number of which I sat in on—and businesses said loud and clear that they wanted to simplify how it all worked. They valued the discussions that had taken place and the elevation of the role and salience of energy efficiency within their companies. But the CCL as a single tax will be a straightforward price signal. We will also be removing some of the additional administrative burden The Government will also consult on a simplified reporting framework this year, to encourage large businesses to identify energy efficiency savings. In addition to the tax changes, that will further enhance the UK’s ability to reduce its carbon emissions. The Department of Energy and Climate Change intends to publish an impact assessment of the changes later this year, alongside its consultation on a simplified reporting framework. That will include analysis of the impact on carbon emissions. Rebalancing CCL rates towards gas will better incentivise emissions reductions from that fossil fuel, as well I will finish by restating, lest there be any doubt, the very firm commitment and strong track record of this Government on reducing emissions. Since 2010 we have reduced the UK’s greenhouse gases by 14% and outperformed our closest European counterparts with the largest cuts in greenhouse gas emissions since 1990. As the hon. Member for Aberdeen North mentioned, we secured the first truly global, legally binding agreement, the Paris agreement, COP21, with our Secretary of State playing a key role. Annual support for renewables will more than double, to more than £10 billion in 2020-21. We are the first major developed economy in the world to commit to phasing out unabated coal, the dirtiest fossil fuel, by 2025. We are the world’s leading player in offshore wind, with just over 5 GW installed, a figure that is forecast to double by the end of the Parliament There can be no doubt about the Government’s credentials when it comes to our commitment to reduce emissions. With these tax changes, we have reformed a tax that was proving less effective, over time, with regard to its original aim as stated in 2001, when of course the proportion of renewable electricity generation was so much lower—I believe it was 2.5% in those days. With the changes to business taxation we are keeping the price signal very firm—indeed, making it sharper—by reducing administrative burden. I encourage all hon. Members to support the clauses but not amendment 183 Question put and agreed to. Clause 132 ordered to stand part of the Bill. Clauses 133 and 134 ordered to stand part of the Bill. Clause 135 CCL: main rates from 1 April 2019 Amendment proposed: 183, page 189, line 13, at end add— ‘(3) The Chancellor of the Exchequer shall conduct a review of the impact of the Climate Change Levy in reducing carbon emissions within 12 months of the passing of this Act (4) The report shall have particular reference to— (a) the removal of the exemption for electricity generated from renewable sources; (b) the abolition of the Carbon Reduction Commitment; and (c) reporting requirements by companies and public sector bodies for energy usage and carbon emissions.”—(Rebecca Long Bailey.)
ParlaMint-GB_2016-06-27-commons.u481	Clause 129 increases the standard rate of insurance premium tax from 9.5% to 10% to raise revenue to invest in flood defence and flood resilience Insurance premium tax is due on general insurance premiums related to risks located in the UK regardless of where the insurer is based. It is charged as a percentage of the gross premium that an insurer charges, including any broker commissions and other directly related costs—so it is a charge on the insurer, not on the individual Insurance premium tax is due on general insurance, which accounts for approximately 20% of total insurance premiums. General insurance includes motor insurance, home insurance, employers’ liability insurance and medical insurance. Approximately 80% of insurance premiums are exempt from insurance premium tax. Exempt insurance includes long-term insurance such as life insurance and critical illness cover. Long-term insurance products are exempt from insurance premium tax to avoid creating a distortion between savings products and long-term insurance products, which can serve the same purpose for consumers. Reinsurance is also exempt to avoid double taxation.
ParlaMint-GB_2016-06-27-commons.u482	I appreciate the chance to deal with insurance premium tax. Reducing tax was raised by the SNP at some length last year, when the Government increased it by about 3.5%, from 6% to 9.5%. We were a bit concerned that this amounted to an incredible hike with very little warning, possibly setting a precedent I want to make it clear that we are not against spending additional money on flood defences. Given the climate change issues that we face and the devastating impact of floods on communities, we think that is a good idea and we completely understand why the UK Government are choosing to spend money on it. My issue is that raising insurance premium tax might be the wrong way of doing so—I do not want people to be discouraged from taking out insurance. The Minister said that the clause might mean only a minor change in people’s bills, but I am concerned less about the 0.5% increase than about the precedent that has been set by what is happening this year and what happened last year. My main fear is that the UK Government will decide on a further increase This morning the Chancellor said that the UK economy was affected by the fact that the markets were currently volatile, and that that volatility would continue. In such circumstances, we do not want people to worry about their future finances, and not to take out insurance because the economy is uncertain and they do not know how the financial situation will develop. It is necessary to have home insurance, just as it is necessary to have motor insurance, but premiums have increased significantly, mostly because of problems caused by climate change. Although the average increase will be £1, people who have been hit by flooding are having to pay massive premiums, and the 0.5% increase is likely to have a disproportionate impact on them We do not intend to press the clause to a vote, because we do not want Members to have to stay here longer than they have to, but I appreciate the opportunity to speak about it. Let me end by emphasising that our concern relates to the longer term. Although 0.5% is a fairly minor hike, if the amount continues to rise year on year there will be an additional problem for household budgets, and a negative impact every year.
