ParlaMint-GB_2016-03-23-commons.u1	1. If he will estimate the contribution of golf to the economy in Scotland in the last 12 months.
ParlaMint-GB_2016-03-23-commons.u389	rose—
ParlaMint-GB_2016-03-23-commons.u390	I am not sure that there is really a further point of order, but as it is the hon. Gentleman, I am minded to indulge him.
ParlaMint-GB_2016-03-23-commons.u391	Further to that point of order, Mr Speaker. I just wanted to mention the ministerial code. After all, it is incumbent on Ministers to give accurate information to Parliament, and I wish to register that point.
ParlaMint-GB_2016-03-23-commons.u392	The hon. Gentleman has registered that point, although, as he will know, I am not responsible for the ministerial code. Others are, however, bound by it, and therefore have a responsibility to it. That point is on the record.
ParlaMint-GB_2016-03-23-commons.u393	Further to that point of order, Mr Speaker. I wonder whether it would be sufficient for Ministers to report orally to the House on how they propose to amend the figures, which are clearly wrong.
ParlaMint-GB_2016-03-23-commons.u394	It is entirely open to Ministers to do that in the course of the debate. I have no desire to steer the debate as that would be very wrong, but I have a hunch that if the Minister does not provide satisfaction on that front, he might be peppered with attempted interventions from either the hon. Member for Stone (Sir William Cash) or the right hon. Member for Wokingham (John Redwood). We will leave it there for now.
ParlaMint-GB_2016-03-23-commons.u395	I beg move to move, That this House approves, for the purposes of Section 5 of the European Communities (Amendment) Act 1993, the Government’s assessment as set out in the Budget Report and Autumn Statement, combined with the Office for Budget Responsibility’s Economic and Fiscal Outlook and Fiscal Sustainability Report, which forms the basis of the United Kingdom’s Convergence Programme After four days of debating the Budget I am sure the whole House will welcome a further opportunity to debate the UK economy, given the information that will be provided to the Commission this year under section 5 of the European Communities (Amendment) Act 1993 As in previous years, the Government inform the Commission of the UK’s economic and budgetary position as part of our participation in the EU’s stability and growth pact. The convergence programme explains the Government’s medium-term fiscal policies as set out in the 2015 autumn statement and Budget 2016. It also includes the Office for Budget Responsibility forecasts. As such, it is based entirely on previously published documents that have been presented to Parliament. It is the content, not the convergence programme itself, that requires the approval of the House for the purposes of the 1993 Act.
ParlaMint-GB_2016-03-23-commons.u396	Will my hon. Friend explain, for the benefit of the House, what he understands by the meaning of the word “convergence”?
ParlaMint-GB_2016-03-23-commons.u397	The important point here is that the United Kingdom is not obliged to converge with other EU member states. If I remember correctly, the terminology dates back to the Maastricht treaty, and this is a part of the process that originates from that. The UK is not subject to any sanctions as a consequence of our participation in this process, nor are we required to take any directions from the European Commission in respect of our economic policies.
ParlaMint-GB_2016-03-23-commons.u398	But surely the purpose of tabling the numbers to the Commission is that it puts it under what it calls “surveillance”? It can then make an adverse report. It is very clear that the intention is that our budget deficit should never be more than 3% of GDP. I note that, for the first time in some time, the Government will at least get the budget deficit below 3%. I am in favour of doing that anyway, but is it not the case that they have to do that because that is what convergence is all about?
ParlaMint-GB_2016-03-23-commons.u399	It is the case that the provision dates back to the Maastricht treaty—no doubt my hon. Friend the Member for Stone (Sir William Cash) can provide further details on its history—which was incorporated into the European Union (Amendment) Act 1993. That requires us to submit a report. The important point for the House is that this does not give the European Commission the ability to impose sanctions on the UK. I am in complete agreement with my right hon. Friend that the UK should not have excessive deficits, but that is a matter ultimately decided by this House, this Parliament and the elected Government of the United Kingdom.
ParlaMint-GB_2016-03-23-commons.u400	I know my hon. Friend listened to what I said in my point of order, so I would like to address the point to him personally. Section 5 states: “Her Majesty’s Government shall report to Parliament for its approval”— on the basis that it is accurate— “an assessment of the medium-term economic and budgetary position” It is absolutely clear, unless he can tell me that this document was prepared since the controversy of the past few days, that this cannot be accurate and nor can it be a proper assessment. To report to Parliament something that is not accurate is quite an important and rather difficult problem for the Minister, is it not? What measures will he take to correct the position, so that Parliament can approve it on the basis of an accurate assessment?
ParlaMint-GB_2016-03-23-commons.u401	I will return to that point later, but let me address it in short now. The information provided to the Commission under this process is and has always been based on information already published. It is not a new exercise. We do not ask the OBR to go through the process once again. It is required to produce its documentation and make its assessments at the times of Budgets and autumn statements, and we do not think that our requirement under European legislation is such that we should require the OBR to go through that process again The essential position of the public finances remains the same. Notwithstanding the announcement on personal independence payments, it remains the case that from next year debt will be falling every year, that the deficit will be falling each and every year of this Parliament and that we will be in surplus in 2019-20. I suspect that my hon. Friend the Member for Stone (Sir William Cash) would not be keen for us, as a consequence of this requirement—I suspect he is no enthusiast for our going through this process in the first place, but the fact is we have to go through it—
ParlaMint-GB_2016-03-23-commons.u402	Why?
ParlaMint-GB_2016-03-23-commons.u403	Because that is what the law requires us to do It would not seem proportionate, in these circumstances, to do anything other than submit documentation previously prepared by the OBR.
ParlaMint-GB_2016-03-23-commons.u404	I just want to put this to bed. I have made the point that the documentation cannot be accurate—unless my hon. Friend is going to tell me the Government have changed the figures since publication—but there is a second point. It appears from the figures, which can be a bit confusing for some people, that there is a black hole. Some people allege it is as much as £4 billion and others say it is only £1.3 billion—it relates specifically to PIP—but he will appreciate that it is not possible for the documentation to be accurate. This has nothing to do with the OBR as such—it is not the OBR report being submitted—but concerns the Government’s own assessment. Will he be kind enough to get that right? It is important that we are accurate.
ParlaMint-GB_2016-03-23-commons.u405	Our principled approach over several years has been that the documentation provided to the Commission is based on the most recent publications. I do not think it would be sensible or proportionate to rerun elements of a Budget process purely for an EU audience. That would not be the right thing to do.
ParlaMint-GB_2016-03-23-commons.u406	On the accuracy of the information being transmitted to the Commission, there is another matter, which has not been brought up. The figures for February’s tax receipts have led to a significant increase in February borrowing. It is therefore impossible in the final month of the financial year for the Government to hit their declared target for borrowing. It will be greater than the target—so, again, the information is inaccurate.
ParlaMint-GB_2016-03-23-commons.u407	Again, I make the same principled point. We provide information already published in these reports—we do not seek to amendment it—although the hon. Gentleman makes an interesting point: should this be updated monthly in the light of public finance numbers? I would make a second point about the public finances, however. Having been in the Treasury for a little while now, I know that public finance numbers can be quite volatile, so one should take good news and bad on a monthly basis with a pinch of salt. It is only when one steps back that one has a good view of the overall position, and that is what the OBR does twice yearly On the process, I remind the House that although the UK participates in the stability and growth pact, by virtue of our protocol to the treaty opting out of the euro we are required only to endeavour to avoid excessive deficits. The UK cannot be subject to any action or sanctions as a result of our participation in the pact. Following the House’s approval of the economic and budgetary assessment that forms the basis of the convergence programme, the Government will submit that programme to the European Commission. The Commission is expected to make its recommendations to all EU member states in mid-May. These recommendations will then be agreed by Heads of State or Government at European Council.
ParlaMint-GB_2016-03-23-commons.u408	This process takes place, as we both know, every year, and we have this debate every year. What, however, is its purpose? What possible benefit is there in going through the motion or charade of submitting this document to Brussels every year? What are the benefits for this country and for my constituents?
ParlaMint-GB_2016-03-23-commons.u409	Apart from the fact that the law requires us to do this, I would tell my hon. Friend that the UK has a proud record of structural reform. We are performing better than many other EU member states. To the extent that other such states are able to examine the measures that we have been taking to improve the performance of the UK economy and to the extent that they see it as an example well worth following, this will help to strengthen other EU member states’ economies, which might have a benefit to the constituents of my hon. Friend. The fact that we are leading the way as the fastest-growing major western economy means that we have a proud record. We should not be hiding our light under a bushel Budget 2016 set out the Government’s assessment of the UK’s medium-term economic and budgetary position. In uncertain times and against a deteriorating global economic outlook, the Budget delivers security for working people. It takes the next bold steps in the Government’s long-term economic plan. The UK is forecast to grow faster than any other G7 economy this year, with employment at record highs. Against that, productivity growth is weaker than forecast, while globally the economic picture is less positive than it was six months ago The OBR tells us that, in every year of the forecast, our economy grows and so, too, does our productivity, but it has revised down growth in the world economy and in world trade. The OBR also notes concerns across the west about low productivity growth, and has revised down potential UK productivity growth. In the face of the new assessment of productivity and the slowing global economy, the OBR now forecasts that UK GDP will grow by 2% this year, 2.2% again in 2017 and then 2.1% in each of the three years after that I shall not go through all the figures that have been debated at some length relating to the deficit and the debt, and I shall not go through all the Government’s measures. What is clear is that we are restoring our public finances, heading towards a surplus at the end of this Parliament and reducing the deficit year on year. I hope that the House will, in line with section 5 of the European Communities (Amendment) Act 1993, approve the economic and budgetary assessment that forms the basis of the convergence programme. I look forward to hearing this evening’s debate.
ParlaMint-GB_2016-03-23-commons.u410	I have to say that I have some sympathy with the hon. Member for Stone (Sir William Cash) and the right hon. Member for Wokingham (John Redwood). I draw the House’s attention to the wording of the motion, which states: “That this House approves…the Government’s assessment as set out in the Budget Report and Autumn Statement” Even the Chancellor of the Exchequer does not accept the assessments made in the autumn statement, yet we are now going off to Brussels and—if the motion is passed; I hope it is not—saying that we accept them I hope you will give me a little latitude, Mr Speaker, because I would like to start by setting the scene of where we are with our economy and looking at some of the history behind it. We must look at credibility. In the 2015 general election, Labour lacked economic credibility and people voted accordingly. It is true that most of the economic meltdown in the UK in 2008 was due to world factors such as the Lehman Brothers collapse and so forth. Let me try, however, to dispose of the myth to which some in Labour still cling—namely, that there were no real problems with the UK economy when the world economic meltdown occurred in 2008 and that all Labour’s economic problems thereafter were due solely to world factors That analysis is just plain wrong, and most people know it. Most voters know that the Labour Government did great things to improve our society and our economy, but voters also know that Mr Gordon Brown made some fundamental economic mistakes—for example, the nonsense of his slogan “an end to boom and bust”, his light-touch regulation of the financial services sector, the disaster of the private finance initiative, and large deficits in the good times. Just before the world meltdown, the UK annual deficit was 3.1% of GDP As I have said in the House before, Mr Brown arrogantly ignored the warnings that some of us gave him well before the crash. I am angry and sorry that he made those mistakes, because they meant that the UK economy was not as well placed as it should have been before the world crash. Even without them, the UK’s defences would have been overtopped when the financial tsunami came across the Atlantic, but not by so much. Today, our economy faces what the current Chancellor has described as world headwinds, and because of the current Chancellor’s own mistakes the UK is far worse placed to withstand those headwinds than it was in 2008, when the world tsunami hit. The national debt expressed as a percentage of GDP, for example, is far higher than it was in 2008, and it is now rising.
ParlaMint-GB_2016-03-23-commons.u411	In the light of the strictures that the hon. Gentleman has imposed on his former Prime Minister, may I just mention that the national debt, which is currently regarded as being about £1.5 trillion, rises to between £3 trillion and £4 trillion if, for instance, Network Rail and the pension liabilities are taken into account? Does the hon. Gentleman accept that that is the real position?
ParlaMint-GB_2016-03-23-commons.u412	Network Rail should be included; future pension liabilities should not The Chancellor is fond of saying that the current Government and the last coalition Government have fixed the roof while the sun was shining, and that Labour failed to do so. Well, only 20% of infrastructure projects have been started over the last six years. Under Labour Governments we had many more hospitals and schools, and we also had the £12 billion decent home programmes for doing up social housing. As a result, there was a great deal more social housing, including housing association and council properties, than there has been under the current Conservative Government and the coalition I welcome the creation of 2 million more jobs since 2010—that is the jewel in the Chancellor’s crown—but it has been bought with a sea of debt, a point to which I shall return. The proportion of part-time workers in the work force has remained broadly the same for the last 10 years, but there is concern about the growth of zero-hours contracts, although I must say that that concern is sometimes overblown. There is also concern about regional imbalances between London and the rest of the country, although I am pleased to say, as a west midlands Member, that they have lessened somewhat in the last two years. However, according to the Office for National Statistics, median gross weekly earnings in the United Kingdom fell by about 4.5% in real terms under the coalition Government A theme of the Chancellor’s Budget statement was “We choose to put the next generation first.”—[Official Report, 16 March 2016; Vol. 607, c. 951.] What happened about student fees and loans in England? What happened about the abolition of the education maintenance allowance in England? What happened about the spiralling cost of housing in the last six years because the Government singularly failed to address that issue, thereby increasing intergenerational imbalance? What happened about this Government’s selling of a record amount of state assets this year? Those assets could have gone to the next generation. What happened about this Government’s carrying on with the disastrous policy of PFI? And what happened about the deficit and the national debt We were told that the deficit was not going to be eliminated by 2015. Well, these things happen. Is it going to be eliminated by 2020? Barely any commentators besides the Chancellor of the Exchequer himself believe that. The Financial Secretary to the Treasury says this evening that we are doing better than other member states. I have to tell him that that is not true. In the G7, for example, our deficit compared with those of the other seven states is the sixth worst; only that of Japan is worse. In 2014, the deficit in Greece—poor old meltdown Greece—was less as a proportion of GDP than the deficit in the United Kingdom. In 2015, according to the International Monetary Fund, they will be the same. That is not a great example to set The changes, positive as they may be, with some anaemic growth and considerable growth in employment, have been bought on a sea of debt. Government spending is out of control. Let us look at the national debt. I am grateful to the economist Richard Murphy for providing me with these historical figures. In 2014 prices, the average borrowing by Labour Governments for each year in office since the war was £26.8 billion. The figure for Conservative Governments was £33.5 billion. The average borrowing, in 2014 prices, for each year in office excluding the period since the world crash in 2008—it could be argued to be unfair to the last Labour Government and the Conservative-led Governments to include that period—was £17.8 billion for Labour Governments and £20.6 billion for Conservative Governments Let us look at the percentage of years in which debt was repaid by Governments since the war. Part of the national debt was repaid in a quarter of post-war Labour Government years; the same happened in 10% of Tory Government years since the war. Let us now look at the total repayments of the national debt made by respective Governments, in 2014 prices. Conservative Governments have managed to pay off £19.9 billion of the national debt. Labour Governments, who have far more economic credibility, have paid off £108.8 billion. This Government’s spending is out of control. The national debt is up two thirds in six years, and this year it is forecast to increase slightly as a percentage of GDP It is a good thing that Mr Brown kept the United Kingdom out of the euro. Had he not done so, we would be in special measures big time under the terms of the growth and stability pact. The treaty defines excessive budget deficits as those that are greater than 3% of GDP. The current Chancellor has failed that test six years running, and on current forecasts—they could of course change next week—he is set to scrape in under the wire at 2.9% this year. The other element of the definition of excessive budget deficits under the growth and stability pact is that public debt is considered excessive if it is greater than 60% of GDP. It should also be falling by 5% per year on average over a three-year rolling period. The current Chancellor is on track to fail that test 10 years running The Chancellor is borrowing on the credit card to pay the day-to-day bills. He is also borrowing on a mortgage to buy bricks and mortar. That is fine for infrastructure— that is what Labour would do and it is what many families do. We borrow on a mortgage to pay for the bricks and mortar, but we should not borrow on the credit card to pay the day-to-day bills This Chancellor has been in office for six years and it is time that he took some responsibility. Frankly, it is wearisome, juvenile and harmful to our economy to keep blaming the previous Labour Government. I urge all Members of the House to vote against the motion tonight.
ParlaMint-GB_2016-03-23-commons.u413	Order. I will just point out for the benefit of the House that we have an hour and four minutes of the debate left, which should be enough.
ParlaMint-GB_2016-03-23-commons.u414	I have already made my point about the inaccuracy embedded in the report and need not repeat any of that; I am sure that the Minister heard what I said. In a way, it is an impossible situation for him, but that does not remedy the inaccuracy, and I need to hear what the Government propose to do. It may be inconvenient or fortuitous, but the reality is that it is there. The approval by Parliament of these documents for the purposes of onward submission to the European Commission simply cannot be conducted on the basis of the documents under consideration. I will now park the issue, but I am inclined to vote against the Government this evening on account of the inaccuracy, because it just does not make sense. I will be glad if the Minister tries to put things right in some manner, even if only orally, but he may be unable to do so. It is perhaps just as well if I leave things as I have just stated What I really want to refer to is the question of national debt, which I mentioned in an intervention. The problem is that the stability and growth pact, the convergence criteria and the 3% are important because they are the basis upon which countries decide whether to run their economies in line with European law or to be cavalier, and there are massive problems in the European Union relating to all that. My right hon. Friend the Member for Wokingham (John Redwood) mentioned that we are just about on the cusp of 3% at the moment, but that is simply not the case in other countries, which raises an important question. For example, the Italians are in dire trouble and are in an enormous battle to try to get some wiggle room into the stability and growth pact, which has led to extremely bad relations with Germany In 2003-04, however, nobody blinked an eye when it suited Germany to play around with the pact and not comply with its provisions. Italy is in difficulties and Greece remains in monumental difficulties, infringing the rule of law in Europe as expressed in the stability and growth pact and the convergence criteria, but Germany insists that everybody else obeys the rules until it does not suit it to do so. I find that difficult to accept. In fact, I do not accept it; I reject it. Either there is a rule of law or there is not. The bottom line is that there is a great deal of talk in the European Union about the rule of law, but unfortunately Germany does pretty much what it wants
ParlaMint-GB_2016-03-23-commons.u415	I remind my hon. Friend that, even today, when Germany would say that she is very virtuous in having no budget deficit, she still has a much bigger proportion of debt to GDP than the 60% criterion and no obvious means of getting back down there.
ParlaMint-GB_2016-03-23-commons.u416	My right hon. Friend is, of course, right about that, as he really understands all these things. There are massive problems with the whole of this European project, not only because of the inconsistencies but because of the laying down of requirements and obligations that are, in effect, disregarded when it suits certain countries but not when it suits others. The performance required under section 5 relates not only to the accuracy of the figures, to which I have already referred, but to social, economic and environmental goals, as set out in article 2 of the treaty, and a range of submissions in respect of article 103, which deals with economic growth, industrial investment, employment and the balance of trade I am happy to agree that the Conservative Government have managed to retrieve the appalling situation that faced us before 2010, but that does not alter the fact that we are talking about a debt level of £1.5 trillion when it is actually very much more than that. I have suggested that if we include the pension liabilities, it could be as much as £3 trillion to £4 trillion. One really has to take that on board, because if someone running a company conveniently parked an element of required debt, the auditors would never give them a clean bill of health. I do not see how pension liabilities can legitimately be off balance sheet, given the scale of this debt and the fact that all those public pensions have to be paid I want to move away from that issue, and I would be interested if the Minister would be good enough to refer to one these points in his reply, if he has time. I want to refer now to another aspect of this paper being presented to Parliament for its approval. Page 19 is headed: “Economic opportunities and risks linked to the UK’s membership of the European Union”. What follows on the whole of the page is a litany of reasons why we should stay in the EU. All the arguments of those who say, as I do, that we should leave are dismissed, and I find it tendentious. I have already criticised the three White Papers on the grounds that they lack accuracy and impartiality, which I was promised by the Minister for Europe when I put the point to him during a ping-pong between the Lords and the Commons on the duty to provide information under sections 6 and 7 of the European Referendum Act 2015. Yet, here we are, confronted with exactly the same problem. It is not just that there is inaccuracy embedded in this document, which I am bound to say I do not think the Government can get out of, but there is inaccuracy that conflicts with the provisions of those sections. There is a real list of problems here I should also mention the reference on page 19 to the virtues of the single market. I voted for the Single European Act in 1986 but I did table an amendment to say, in effect, that nothing in the Act shall derogate from the sovereignty of the United Kingdom Parliament. Things have moved on enormously since those difficult days, because if I table an amendment now to preserve the sovereignty of the UK Parliament, you, Mr Speaker, will allow it to be debated, and the Clerks of the House of Commons will not raise the difficulties that I was faced with then. In a nutshell, I was told by the then Speaker, and indeed by the Clerk of Public Bills, that I was not allowed to move such an amendment—it was as bad as that. Mr Enoch Powell came up to me in the Lobby and said, “I see that you have put down this amendment, and I agree with you.” As in so many other matters relating to economics, he was not exactly wrong The reference to the single market has to be weighed against whether it has achieved its objectives. Page 19 says that the single market is full of virtue and is entirely necessary for the United Kingdom.
ParlaMint-GB_2016-03-23-commons.u417	I wish to put on the record again the position with regard to the single market, and I would really like the Minister, for whom I have a lot respect, to answer my question, which I have put over and over again. It is based on figures from the Office for National Statistics and the House of Commons Library There is no disputing the fact that we run a trade deficit on current account transactions—imports and exports and good and services—of £58 billion a year, which is a lot of money. That £58 billion deficit is with the other 27 states of the European Union. We run a loss of £58 billion a year, and I do not regard that as small change. However, Germany runs a surplus of £67 billion with the same 27 member states. If someone can tell me that that is a single market that we need, I would like to hear them repeat it from the Dispatch Box, because it cannot be in our interests Furthermore, if we take that same criterion of current account transactions, we run a surplus of well over £36 billion with respect to the rest of the world, and that is selling the same goods and services. Clearly, therefore, there is nothing wrong with our goods and services, but such trade does not work for us in the way that it could and should when we are dealing with the European Union and the single market.
ParlaMint-GB_2016-03-23-commons.u418	Does my hon. Friend agree that £12 billion of the £58 billion deficit with the European Union is the money that we have to send to it and that we do not get back? It is payment in order to buy its imports. One does not normally have to make a contribution to a country in order to import things from it.
ParlaMint-GB_2016-03-23-commons.u419	It has been said in the past that the House of Commons is the only lunatic asylum that is run by the inmates, but I think we pale into insignificance compared with the European Union. This just does not work. I ask the Minister to make a note on the piece of paper in front of him to remember to answer my question relating to that deficit and surplus issue, because every time I raise it I get no answer. Although I agree that we will continue to trade and to co-operate with Europe—we want to do so and they want to do it with us—when it comes to this question of the need to stay in the single market, it simply does not stack up. This document is put forward for approval by Parliament, so we are entitled to an answer to that question.
ParlaMint-GB_2016-03-23-commons.u420	In case the Minister does not answer, let me say that a sizeable proportion of the imports that Britain takes from the EU are in fact intermediate products, such as automotive parts, that go into goods that we then re-export. We are talking about supply chain interconnection, not free-standing goods.
ParlaMint-GB_2016-03-23-commons.u421	I can only refer to the fact that these are ONS figures. They are endorsed and verified by the House of Commons Library, and I will leave my point at that The argument on page 19 moves forward to a suggestion that any “new relationship which gives the UK…access to the single market that it needs”— that assertion continues to be made— “would involve contributing financially to the EU”, which we are certainly doing to the very substantial extent of about £10 billion a year, and “accepting the free movement of people” The European Scrutiny Committee has been trying to have a debate on that for the best part of 18 months, but without success. I had a meeting with the Minister about it only today. That goes right to the heart of the viability of free movement and the immigration that flows from it. The argument continues: “and adopting EU rules without having any say over them.” I repeat: without any say over them Today, the European Scrutiny Committee embarked on an investigation into the influence it is claimed we have and the manner in which decisions are taken in the European Union. This document implies that, somehow or other, we have massive input. The European ombudsman is looking into the question of trilogues, but within the decision-making process of the Council of Ministers it is horrendous to observe the extent to which votes are not taken. The so-called consensus on all matters, including those dealt with on page 19, is arrived at without a proper degree of accountability—in fact, I would say no real accountability of any kind. Decisions are taken in what I would describe as a Dan Brown’s “Da Vinci Code” situation, in which the Illuminati—otherwise known as COREPER—make deals behind the closed doors of unsmoke-filled rooms. We do not know and cannot find out how the decisions are arrived at. There is no agenda; nobody knows who decided what and on what basis. It is an affront to the democracy of this country that the decisions that affect the daily lives of everyone in it in respect of the whole gamut of European rule making are made almost entirely without majority voting taking place, in COREPER. It is deeply offensive. It is a black hole and the European Scrutiny Committee is looking into it Finally, page 19 talks about productivity. All I would say on that is that, as I understand it, the OBR, whose report is contained in this document, says that the biggest problem this country has is lack of productivity The whole of our economic performance is being presented to the European Commission for approval under the 1993 Act and to Parliament for approval today. I will not vote in favour of the motion and I certainly will not approve this load of rubbish. I will vote against the Government because I do not believe that page 19 is true or accurate. I do not agree that the basis of the statistics relating to PIP is such that the document is sufficiently valid to be presented to Parliament. It is a serious matter. We have become far too accustomed to saying, “Oh well, it’s just a blip—just a slight mistake. Someone got something wrong. Let’s not take too much notice of it.” Well, I am going to take notice of it and I shall vote against the Government this evening on that account
ParlaMint-GB_2016-03-23-commons.u422	I share the concern of my hon. Friend the Member for Stone (Sir William Cash) about page 19 and that is the main reason I have entered this debate. It is an unfair exposition on the opportunities and risks linked to our membership of the European Union and I do not think it accurately reflects what the OBR has been saying. I am pleased that the OBR has now spoken for itself and put on the record the important point that it does not believe that in the five-year forecast period, were we to leave, there would be a decline in economic output or activity. Like many forecasters, the OBR believes that the net impact would be quite small. Of course, in line with others it has said that there could be volatility in currency and asset price markets. All I would add is that there has been massive volatility in those markets in the years we have been a member of the EU, so it would be somewhat outrageous to claim that that would suddenly stop were we to leave the EU, but I cannot see that it is a particularly damning point My hon. Friend has gone on at some profound length about what is wrong with page 19. I hope Ministers will look again and realise that it is not a fair exposition of the OBR’s position. Linking the OBR’s position with Christine Lagarde’s comment, which is obviously a comment made for the “stay inside” campaign trail rather than for normal commentary purposes, gives a misleading impression I wish to make some more fundamental points about the figures and the document before us this evening. Let us start with why we are doing this at all. It is a completely pointless exercise, but it is legally required by the treaty and the framework of law under which we live. It is a great pity that in the renegotiation this, along with dozens of other things, was not sorted out because if, as the Minister says, the Government can ignore the advice and the policy laid down by the European Union to control the deficit and get the debt down, what is the point of the Government having to table 300 pages of carefully selected documentation, go through the surveillance procedure, on some occasions receive a report saying that their policy is not good enough or they are not converging in the way that the European Union wishes, and the Government then saying, “Well, fortunately, there is no penalty on us so we will ignore that” It is strange to belong to a club, accept the rules and then, when we do not like the rules, say, “Of course, we didn’t really want any of that and fortunately we have been opted out of the penalty bit of it.” It is a strange exercise. I suspect that the official machine of the Government, which goes on whoever is in office, is quite guided by all this. There is probably a wish on the part of officials to get the British Government policy and the figures closer to the convergence requirements. It is high time the European Union itself had an honest debate about the most pressing and most difficult target it has set—the target that all member states should keep their stock of debt to 60% of their national income Practically every member state is way above that, and some of them violate the target by having more than double the level set down by the European Union. Why does that body think it is sensible to persevere with a target that none of the member states wish to keep and none of them are trying to reach?
ParlaMint-GB_2016-03-23-commons.u423	May I add that the rule that sets the 60% target also states that member states in breach must have a rectification programme and bring their debt level, whatever it is, down by five percentage points a year, which this Government have significantly failed to do and significantly will fail to do for a long, long time?
ParlaMint-GB_2016-03-23-commons.u424	All the Governments are failing to do that, and it is even more pressing and difficult for a country such as Greece, where the penalties do apply because it is in the euro scheme. Despite all the best efforts of the European leadership, the European Central Bank and others, and very cruel and difficult expenditure cuts that Members in this House would not have accepted for the United Kingdom, Greece is still miles off getting anywhere near the stock-of-debt target and it has struggled until recently to get down to the deficit target We need to ask fundamental questions of our European partners about why we go through this routine and what malign influence it has on some economies and some economic performances around the European Union, which should be a matter of common concern all the time we remain in that body. The Minister says this is not a new exercise and it is not much of a burden on the British state; it is just one of those things, and we send in figures that we produce for other purposes. That is not quite true. The introduction to the document clearly has to be written, the selection has to be made, it is clear throughout the document that it is written for domestic purposes and for the purpose of forwarding it to the European Union, and we try to produce figures that we would not otherwise produce in order to conform with the workings of the European Union. Next, I would like to highlight the figure for the convergence criteria and the so-called treaty deficit on page 186 of the report. That shows that in 2016-17, if all goes well and these figures work out, for the first time in many years we will get below the 3% target to 2.9%. That makes my point: we would not have to calculate that treaty deficit, think that it was significant or use it as part of the guidance for the British economy if we were not signed up to this surveillance and management system within the European Union. The Minister has to bear it in mind that there is actually some subtle guidance in the European policy. I think that many of my constituents would find it quite surprising that we have to table 300 pages of detailed financial and economic information in order to comply, and that that is then put through a scrutiny and surveillance process The next figure that I would like to highlight is on page 156, which shows how much in “expenditure transfers” we have to make to the European Union institutions—in other words, how much money we send that we do not get back. We see that the November forecast for 2016-17 was £10.7 billion, which is a very considerable sum, and that the March forecast, just four months later, has gone up to £11.8 billion. Between the autumn statement and the current Budget there is an increase of £1.1 billion in next year’s expenditure transfers to the EU institutions That figure of £1.1 billion is very close to the figure that the Government had pencilled in for disability cuts. I do not know about you, Mr Deputy Speaker, but I would rather not have the disability cuts and not pay £1.1 billion extra to the European Union. Why can we not make those kinds of choices? The reason, of course, is that we are signed up to membership of an organisation that thinks it knows better than we do how to spend our own money. I think that people in the United Kingdom are getting very frustrated at being told that we have to be very careful about our priorities, only to discover, if they get guidance from these complex figures, that the European Union can take £1.1 billion extra off us for next year without a by-your-leave. That leaves us struggling to find that money when we try to make the Budget add up, ending up with options and choices that I am sure Ministers did not really want to make, and which Parliament, in its wisdom, has decided should not be made I draw the House’s attention to some very important figures on page 205 that the Government are sending to our European partners and masters about projected net migration into the United Kingdom. I was very happy to campaign with my right hon. and hon. Friends at the previous general election on a sensible and sensitive policy of controlled migration, wishing to get it down to the tens of thousands by the end of the Parliament. It was a very popular policy, because I think that people liked the idea that there would be a fair system offering sensible rules so that people could understand it before deciding whether or not to come to our country. Interestingly, the forecast that we are sending to the European Union shows that the level of migration will stay much higher than the Government’s target—it shows 256,000 in 2016, declining to 185,000 in 2021. There is also a further projection in which net migration stays considerably higher, actually above 250,000 in every year. I think that matters, because the Government’s intentions are very clear: they would like to get net migration well below these forecast figures. Why, then, is the forecast so high? I think that it is very simple: the forecast is that high because the European continental economies, particularly in the south of our continent, are performing very badly and have created mass unemployment on an extremely worrying scale, so the UK, which has a more successful economic policy that is generating a lot of jobs, is acting as a magnet for people who are otherwise without hope of employment That policy is making it very difficult for the United Kingdom Government to hit their very popular target on migration. I hope that when this document is submitted Ministers will follow it up by pointing that out to the European Union and saying that they have a solemn promise to keep to the United Kingdom electors, who helped elect them to government, and that this set of EU policies, creating joblessness and therefore triggering a lot of foot-loose migration around the European Union, is making it very difficult to honour that promise It also leads us to worry about the quality of some of these forecasts, because I am sure that the Government wish to get the level down, but there is a great danger that the variant of a much higher level has been put in, because actually that is what they are afraid will happen. I hope the Minister will consider that when he replies and that if we are going to go through the process of submitting our homework on economic matters to the European Union to be marked—by sending it 300 pages of figures—we will also say to it, “You are making it impossible for us to meet our legitimate wish to create more jobs to mop up unemployment in our country and to get wages up, as we would like to, because your failing economic policies in many parts of the euro area are bringing a number of migrants into our country that makes it impossible for us to meet our targets.” Those are just a few brief comments on an extremely complex set of documents and numbers, which show that, while we stay in this body, we need to engage much more and to get some change so that there is honesty in the targeting and an understanding of the damage that some of the targets and policies are creating. However, it will not be a surprise to hon. Members to learn that I think that the simplest thing would be for us to leave the European Union so that this is the last one of these documents we ever have to produce. We can then take control of our own money, banish austerity, spend the £10 billion on things that we want and leave the European Union free to get on with its political union, which is clearly what it will need to do to try to deal with the mass unemployment, the lack of cash transfers and the inadequacy of its regional policies I hope tonight’s debate will be of use to the general public and that they will understand that we can take back control, spend our own money, and have prosperity, not austerity. That is what we will get if we leave the European Union.
