ParlaMint-GB_2016-10-18-commons.u1	1. What recent assessment he has made of the political and security situation in Kashmir.
ParlaMint-GB_2016-10-18-commons.u448	It is a pleasure to respond on behalf of the Government to this long and high-quality debate on the BBC’s future. The debate is a fitting conclusion to the process of charter review, during which we have had some hotly contested debates and some discussions that have brought cross-party approval. We have debated some of the crucial issues surrounding what everybody agrees is one of the most loved public institutions in this country. It is good to be able to think about so many of those issues today—almost all the key issues that have been debated over the past year have once again been discussed in this debate. That reflects well on the BBC and the House We have reached a positive outcome. That seems to be the overwhelming sentiment in the debates in this House, in the other place and in the three devolved Assemblies, which, over the past few weeks, have all debated the settlement, the charter and the agreement. Crucially, the BBC broadly agrees with the approach that we are taking, and I am hugely heartened because this broad consensus of support for the way in which the BBC will go forward over the next 11 years is an asset to the nation. It shows that we have done the right thing for the BBC, for the UK’s unique creative sector and for the audiences whom we serve all around the United Kingdom I pay tribute to those who have done most of the work. I am proud to have played a small part, but the real heavy lifting was done by my right hon. Friends the Members for Maldon (Mr Whittingdale) and for Wantage (Mr Vaizey), who are both in their places, rightly blushing, as they should have done all the way through the debate. It was very entertaining to see their private disagreements being aired in public. The fact that we have such capable, wise and thoughtful former Ministers contributing from the Back Benches is a great asset. My hon. Friend the Member for Folkestone and Hythe (Damian Collins) said that everyone loves the BBC, and I am sure my hon. Friend the Member for North West Leicestershire (Andrew Bridgen) will put him right shortly I thank all Members who contributed and fed into the charter review and all the 192,000 members of the public and organisations who have been involved. I shall go through as many of the detailed issues as I can. On diversity, we drew on a strong well of cross-party support across the House from all the parties whose Members spoke. It is critical that the BBC should reflect the nation that it serves. It has acknowledged that it needs to do more, but more it must do. I am sure that it will, but we will undoubtedly hold its feet to the fire, and Ofcom will ensure that the commitments in the charter are upheld. Of course, it is for the BBC board, in the first instance, to set, monitor and fulfil its policies, but Ofcom will assess that performance periodically. Sharon White, the chief executive of Ofcom, has already remarked upon the BBC’s diversity record and said that it needs to do better, so clearly progress needs to be made The hon. Member for Coventry South (Mr Cunningham), my hon. Friend the Member for Maidstone and The Weald (Mrs Grant) and the right hon. Member for Tottenham (Mr Lammy) all made powerful speeches on the importance of diversity. In answer to a specific point, an information sheet on diversity policy will be produced pronto. On screen and off screen matter; it matters not only who is reflecting the country on our TV screens, but who is making the decisions and who is working at all levels of the organisation. I think that is true across most organisations. The case was put most strongly when the point was made that this is not only a social but an economic imperative, because we need to draw on all the talents of our nation Several Members talked about the importance of radio, including the hon. Member for Wrexham (Ian C. Lucas), my right hon. Friend the Member for Wantage, the hon. Member for Islwyn (Chris Evans) and my hon. Friend the Member for North Devon (Peter Heaton-Jones). Support for the BBC delivering diverse radio content is incredibly important, and I am sure that the BBC has heard the message loud and clear I want to address the point about distinctiveness. Including distinctiveness in the BBC charter was an important part of the renewal process. My right hon. Friend the Member for Maldon spoke about that eloquently. In fact, I would go so far as to say that the Government see distinctiveness in exactly the way he set out. In answer to a question that was asked, the draft agreement makes it clear that BBC services and output need to be taken as a whole when it comes to distinctiveness. Ofcom has the experience and guidance to treat complaints relating to distinctiveness properly and appropriately. It will set broad metrics, but this must not become a tick-box exercise. It needs to take into account all BBC output. Again, those will be high-level requirements. Ofcom can then develop an evidence-based approach to think about the BBC’s distinctiveness Let me turn to appointments and governance, which was a point of contention for some Members. My hon. Friend the Member for Rochester and Strood (Kelly Tolhurst) spoke powerfully about the need to ensure that we have strong governance to support an excellent BBC. There was strong support for the unitary board and for external regulation by Ofcom. We have been working closely with the BBC to set out the processes by which the new board will be established. Some Members suggested that the processes undermined the BBC’s independence. They could not be more wrong. The new processes for appointment to the BBC board are unprecedented, in terms of the number of appointments that will fall to the BBC itself. Of course, Government appointments, following the proper OCPA—Office of Commissioner for Public Appointments—processes, are often for independent positions. Once appointed, all appointees will be independent board members of the BBC, responsible for the BBC in its entirety. The board, as was clearly pointed out, will not have editorial control; it will be non-executive. I thought that my hon. Friend the Member for Mid Worcestershire (Nigel Huddleston) made the argument very well when he explained this quite passionately and set out Ofcom’s oversight role Let me turn to the over-75s deal, which I am told we will return to in the Digital Economy Bill. The hon. Member for Rhondda (Chris Bryant) and Opposition Front Benchers set out concerns about this. The agreement on the concession for free TV licences is important. The licence fee is classed as a tax, and as such the Government retain ultimate control over it. That is the system we have successfully relied upon for decades. The track record is unbroken by last summer’s deal. Far from using some of the terms that were used in the debate, I will leave the House with this comment by the BBC’s director-general: “The government’s decision to put the cost of the over-75s on us has been more than matched by the deal coming back for the BBC.” That is the reality of the settlement that was agreed, and it is why it is reasonable for everybody to support it. The deal was reached in negotiation with the BBC, and there were concessions in return—for instance, closing the iPlayer loophole and making sure that all those who watch BBC content will pay for the BBC in the future. The closure of the iPlayer loophole is one of the important long-term considerations that will support the BBC sustainably into the very distant future As part of the deal, we said that we will transfer the policy of the over-75s concessions to the BBC in the Digital Economy Bill, and some people were concerned about that, but the BBC itself requested that change. The BBC has a long history of dealing delicately with matters on the licence fee, which, while it remains the most supported method of funding the BBC, is not universally popular, but I am sure the BBC will be able to handle that appropriately We had a series of discussions about the contestable fund. In fact, this was one of the moments of extraordinary distance between my right hon. Friends the Members for Maldon and for Wantage. There they are sitting next to each other right now, but the gap was apparent in their speeches earlier. The licence fee is a fee paid by the general public to watch or record TV programmes; it is not necessarily just a payment for BBC services. That was true in the last Parliament and the last settlement, when we used some of that money for broadband, which was very exciting. It is reasonable that a small proportion of the licence fee can be made available to organisations other than the BBC to help deliver publicly funded content.
ParlaMint-GB_2016-10-18-commons.u449	My right hon. Friend understandably draws attention to the apparently contested views on the contestable fund of my right hon. Friends the Members for Maldon (Mr Whittingdale) and for Wantage (Mr Vaizey), but the truth is that those views—like BBC1 and BBC2, or like Radio 6 Music and Radio 1—are in fact complementary. Yes, there is a slight difference between them, but they reinforce the overall thrust and wisdom of the reforms that, together, my right hon. Friends introduced and that, I think, are applauded across the House.
ParlaMint-GB_2016-10-18-commons.u450	I would love to say I agree with my right hon. Friend, but he obviously missed those exchanges, because there really was quite a lot of distance between my two right hon. Friends. In fact, my right hon. Friend the Member for Wantage repudiated the position he had supported when he was bound by collective responsibility. However, the troika of my right hon. Friends will no doubt be able to discuss the issue at length as we debate what the contestable fund should be used on. Given that this is a pilot, we are going to look at, and work on, how the contestable fund should operate. At the end of the pilot, we will then assess the impact of the scheme. Questions were raised over the permanence of the funding. There is £60 million of funding over two to three years. Then we can assess the effectiveness of having a contestable fund Many right hon. and hon. Members discussed the mid-term review. Most were supportive, and it is entirely reasonable that we look at how Ofcom discharges its duties, for instance. It will not look at the mission of the BBC, the public purposes of the BBC or the licence fee funding model over the period of the charter. However, there were a couple of dissident voices. The hon. Member for Garston and Halewood (Maria Eagle) was grateful that the process was taken out of the political cycle, and she supported separate processes for funding and review in future, but she was concerned about mission creep in the mid-term review. I want to assure her that this is not envisaged as another charter review, but it is right that we can have a look at how things are working halfway through the next 11 years Several Members discussed the importance of the National Audit Office. I can confirm that it will assess value for money, and it will cover publicly funded areas and subsidiaries. The same rules that the Comptroller and Auditor General uses for what is in scope will apply for the BBC, and I do not see why that should be any different On listed events, I understand the concern raised by my hon. Friend the Member for Bexhill and Battle (Huw Merriman). We have looked in detail at this, and we disagree on the matter. We do not think that the BBC’s concerns are valid, but we will of course keep it under review There was a big discussion about salary transparency. I strongly believe in transparency of salaries for publicly funded posts. As the Secretary of State set out, BBC studios are commercial—as they must be under the charter—and it is therefore reasonable for them not to be covered, but the BBC itself is public. This is public money, so transparency is reasonable, as in other parts of the public sector I turn to the SNP amendment and the devolved legislatures. Broadcasting is a reserved matter, because broadcasting is a national issue, and the BBC is the nation’s broadcaster. Of course, the BBC needs better to reflect the diversity of the whole UK, and we have worked hard to ensure that that is in the charter and the agreement. I remind the House that the new charter includes the implementation of recommendations from the Smith commission, which, as my hon. Friend the Member for South Leicestershire (Alberto Costa) outlined so powerfully, did not recommend that broadcasting or the affairs of the BBC be devolved. On the specific issue of the Scottish six o’clock news, which has drawn so much speculation, it is vital that the BBC is editorially independent, so that politicians cannot interfere with editorial matters. A vote for the amendment is a vote for political control of the BBC. The SNP may want political control of the BBC, but we say no. What is more, as the charter says, the BBC, as the nation’s broadcaster, “should bring people together for shared experiences and help contribute to the social cohesion and wellbeing of the United Kingdom” I hope that the House will resist the amendment, support the charter and all the work that has gone into it over the past year, and, with that, wish the BBC a strong, vital and healthy future Amendment proposed: (a), at end insert— “and, recognising the special identities of the nations of the UK, calls upon the Government and the British Broadcasting Corporation to deliver maximum devolution of broadcasting and, specifically for Scotland, the six o’clock news option recommended by the Culture, Media and Sport Committee in its Third Report, BBC White Paper and related issues (HC 150), published in August 2016”.—(John Nicolson.) Question put, That the amendment be made.
ParlaMint-GB_2016-10-18-commons.u451	I am grateful for the opportunity to present this petition, calling for fair transitional arrangements for women born in the 1950s who are affected by the changes to the state pension age. Hon. Members will remember that the last time the House debated the Pensions Act 2011, Ministers promised that there would be fair transitional arrangements. These have failed to materialise, harshly affecting women in Edinburgh East and, indeed, in many other areas. I thank all those who have contributed to the petition, and the many others throughout the country who have similarly contributed to petitions lodged by other hon. Members The petition states: The petition of residents of Edinburgh East, Declares that as a result of the way in which the 1995 Pension Act and the 2011 Pension Act were implemented, women born in the 1950s (on or after 6 April 1951) have unfairly borne the burden of the increase to the State Pension Age; further that hundreds of thousands of women have had significant changes imposed on them with little or no personal notice; further that implementation took place faster than promised; further that this gave no time to make alternative pension plans; and further that retirement plans have been shattered with devastating consequences The petitioners therefore request that the House of Commons urges the Government to make fair transitional arrangements for all women born in the 1950s (on or after 6 April 1951) who have unfairly borne the burden of the increase to the State Pension Age And the petitioners remain, etc [P001932]
ParlaMint-GB_2016-10-18-commons.u452	I rise to present this petition, signed by over 500 of the residents of Hove and Portslade, on behalf of the Women Against State Pension Inequality campaign. The women who have signed the petition and those who would be beneficiaries of the petition have discovered the heartbreaking news that their plans, hopes and anticipation for retirement have been shattered. These women have acted with such good grace, dignity and unstoppable determination. They are a credit to our community, and I hope that the Government take heed of this petition The petition states: The petitioners therefore request that the House of Commons urges the Government to make fair transitional arrangements for all women born in the 1950s (on or after 6 April 1951) who have unfairly borne the burden of the increase to the State Pension Age The petition of residents of Hove. [P001950]
ParlaMint-GB_2016-10-18-commons.u453	I rise to present a petition on behalf of my constituents in Telford, relating to the implementation of the 1995 and 2011 Pension Acts My petition is identical to those already presented, so I will not read it out, and in any event I do not have my glasses The Petition of residents of Telford. [P001949]
ParlaMint-GB_2016-10-18-commons.u454	I rise to present a petition from 26 residents of the Bury North constituency, collected by my constituent Mrs Christine Wootton, relating to the implementation of the 1995 and 2011 Pension Acts. This petition is in the same terms as others presented today and on several recent days. It concludes: The petitioners therefore request that the House of Commons urges the Government to make fair transitional arrangements for all women born in the 1950s (on or after 6 April 1951) who have unfairly borne the burden of the increase to the State Pension Age The Petition of residents of Bury North. [P001951]
ParlaMint-GB_2016-10-18-commons.u455	I rise to present a petition on behalf of several hundred residents of Fermanagh and South Tyrone, relating to the implementation of the 1995 and 2011 Pension Acts. The petition is identical to the one presented by the hon. Member for Edinburgh East (Tommy Sheppard), who has already referred to its content so I will not read out the full text. I wish to pay tribute to Wilma Grey, the Northern Ireland co-ordinator of this petition and the lobby group, who is also from Fermanagh and South Tyrone. It concludes: The petitioners therefore request that the House of Commons urges the Government to make fair transitional arrangements for all women born in the 1950s (on or after 6 April 1951) who have unfairly borne the burden of the increase to the State Pension Age The Petition of residents of Fermanagh and South Tyrone. [P001952]
ParlaMint-GB_2016-10-18-commons.u456	I am grateful to the House for allowing this vitally important debate. I was surprised that a Minister from the Department for International Development and not the Foreign Office is representing the Government, as this debate is primarily on foreign affairs matters. Observers have always feared that the FCO would like to take control of DFID: perhaps tonight we are seeing a reverse takeover. The Minister’s knowledge of this area, however, is not in doubt and I am pleased to see him in his place This debate occurs at one of the most critical moments in Yemen’s long history. In August, UN-backed peace talks in Kuwait between the Houthi rebels and the Yemeni Government broke down, leading to intense fighting and a restarting of the airstrikes. Thousands have died in the following months. Only last week, 140 people were killed and 500 injured in an airstrike on a funeral in Sana’a. The Saudi Government have now apologised for that incident, blaming the bombing on bad intelligence. What a terrible reason to die This morning, a 72-hour ceasefire was announced by UN Special Envoy Ismail Ould Cheikh Ahmed. It will begin at midnight tomorrow. All our eyes may be on Syria and Iraq, but tonight we in the British Parliament invite the world to focus on Yemen’s forgotten crisis. Our message to the Government is quite simple: either we stop the fighting permanently or Yemen will bleed to death I have been privileged to serve as chair of the all-party group on Yemen since joining Parliament. I am very proud that there are so many Members who are interested in Yemen and so many Members present today. Several Members of this House were born in Yemen, including myself, my hon. Friend the Member for Walsall South (Valerie Vaz) and the hon. Member for Portsmouth South (Mrs Drummond). She is an officer of the all-party group, along with the hon. Members for Charnwood (Edward Argar) and for Glasgow Central (Alison Thewliss). Other Members have served the armed forces in Yemen, including the hon. Member for Beckenham (Bob Stewart). Those who represent constituencies with large Yemeni communities have worked hard on behalf of their constituents, including my hon. Friends the Members for Liverpool, Wavertree (Luciana Berger), for Liverpool, West Derby (Stephen Twigg), for Liverpool, Riverside (Mrs Ellman) and for Cardiff South and Penarth (Stephen Doughty). This includes the late Harry Harpham, who served as the group’s secretary. I am delighted that his successor, my hon. Friend the Member for Sheffield, Brightside and Hillsborough (Gill Furniss), is equally dedicated. Tomorrow, the group will meet representatives of all of the major charities to hear from the former Foreign Minister of Yemen, Dr Abu-Baker Al-Kirby These parliamentary ties further demonstrate the unique relationship our country has had with Yemen over the past 150 years. When Yemen was last in crisis, during the Arab Spring of 2011, it was the British Government, in particular the current Minister of State at the Foreign Office, the right hon. Member for Rutland and Melton (Sir Alan Duncan), who was later the Prime Minister’s envoy to Yemen, who worked with the Yemeni Government. We supported Yemen through that crisis, which, other than Tunisia, was the only peaceful democratic revolution in the middle east. We continue to be one of the largest bilateral aid donors, and the International Development Secretary has just raised our contribution to a total of £100 million. In turn, Yemenis have a great love of Britain. When the Yemeni Foreign Minister Riad Yassin visited Parliament last year, he brought with him a video. It was not a video of the ongoing conflict, which we were aware of, but of our Queen’s last visit to Aden, where the local hospital I was born in was named after her This positive history therefore makes the current situation all the more tragic. Through a sluggish, confused and weak approach to the crisis, the international community as a whole should be measured against a scorecard of shame: over 10,000 people have been killed in the past 18 months; at least 1,200 children have been killed, with another 1,700 injured; 3 million people are now suffering from acute malnutrition; 21.2 million people, four-fifths of the entire population, require urgent humanitarian assistance, 9.9 million of whom are children; 3.2 million people are internally displaced; 19.3 million people are in need of health care and protection services; and 14.1 million people, equivalent to the combined populations of London, Birmingham and Glasgow, are at risk of hunger.
ParlaMint-GB_2016-10-18-commons.u457	The impact on the most vulnerable in society in Yemen is simply immeasurable. It is our job in this House to stand up against what is wrong. Does the right hon. Gentleman agree that we are instead enabling that?
ParlaMint-GB_2016-10-18-commons.u458	I agree wholeheartedly with the hon. Lady. I commend her party and its Members for the way in which they have raised Yemen on so many occasions. I am grateful, and the House is very grateful, for that. She is right that we need to do much more. Organisations such as Save the Children, UNICEF, Islamic Relief, Médecins sans Frontières and the Red Cross are performing wonders on the ground, but they are struggling to get the funding needed for emergency programmes.
ParlaMint-GB_2016-10-18-commons.u459	My right hon. Friend will be interested to know that I recently travelled to the World Bank with RESULTS UK to put forward the argument that the first 1,000 days of a child’s life are vital for their development. This means that even when the conflict ends, the effects will not stop. They will not cease. Millions of children will be left stunted with delayed cognitive development and may still die, despite the conflict ending. Does my right hon. Friend agree that we need to be doing more to find a peaceful solution?
ParlaMint-GB_2016-10-18-commons.u460	I do, and I thank my hon. Friend for that intervention. I agree wholeheartedly When faced with a crisis of these proportions, one would have expected, as my hon. Friend has said, that the international community, led by the UK, would be urgently bringing the conflict to an end, and putting this at the very top of the agenda at the United Nations. Instead, when faced by this reality, the world has failed Yemen. We failed to stop the escalation of violence in March last year, and we failed to stop the fighting over the last 18 months. We have had two clear opportunities for a sustainable end to the fighting: a brief ceasefire for negotiations in April this year ended in failure; and the UN-sponsored round of talks in Kuwait ended in failure in August. Will the Minister confirm whether or not the UK Government were invited to these negotiations? Were we actually in the room?
ParlaMint-GB_2016-10-18-commons.u461	The right hon. Gentleman’s knowledge of, and care for, the country of Yemen is well known. Does he agree that what would make the greatest difference to the humanitarian situation in Yemen would be a stable ceasefire followed by a long-term sustainable peace settlement, and that while that settlement must originate from among the Yemeni peoples themselves and not be imposed from outside, the unique historical relationship that the UK has with Yemen, to which the right hon. Gentleman was alluding, makes us well placed to help facilitate the delivery of that settlement, building on the work of the Minister for Europe and the Americas, my right hon. Friend the Member for Rutland and Melton (Sir Alan Duncan)?
ParlaMint-GB_2016-10-18-commons.u462	I agree with the hon. Gentleman, who is vice-chairman of the all-party group. He is right to highlight, as I have done, the role of the right hon. Member for Rutland and Melton. There is a vacancy for a special envoy for Yemen, and if I could persuade the Prime Minister to send him there, among all his other duties, the right hon. Gentleman would make a very good contribution Amid this lack of diplomatic progress, the intervention by the Saudi-led coalition has become central to the crisis. This coalition intervened at the request of the legitimate Government of Yemen. However, 18 months on, the airstrikes, which are heavily impacting on the civilian population, have become counter-productive—so counter-productive that it has become the eye of a storm of intense criticism, which overshadows every other element of the crisis. These airstrikes, which Save the Children believes to be responsible for 60% of all civilian deaths in the conflict, are breeding hostility inside and outside Yemen.
ParlaMint-GB_2016-10-18-commons.u463	My right hon. Friend is making a strong speech. He will be aware of the reports of the International Development Committee and the Business, Innovation and Skills Committee on this very matter, but is he aware that yesterday a number of us, along with UK Government Ministers, met the Saudi Foreign Minister? While we had a frank and candid discussion about the terrible attack on the funeral hall, the Saudi Foreign Minister refused to give any clarity about when and to what level investigations would take place into the hundreds of other incidents reported by leading non-governmental organisations. Does my right hon. Friend agree that it is imperative that the Saudis are clear about what has happened in those incidents and allow an independent investigation?
ParlaMint-GB_2016-10-18-commons.u464	My hon. Friend is absolutely right, and I commend him for the work he has done. I know he has a large Yemeni community in Cardiff South and Penarth. It is right to bring this to the attention of the Saudis—a theme I hope to develop later in my speech.
ParlaMint-GB_2016-10-18-commons.u465	We all recognise and welcome moves for a ceasefire. However, two Select Committees have endorsed the view that UK arms exports to Saudi Arabia should cease. Does the right hon. Gentleman agree that the Government should respect the findings of those Committees and stop arms sales until a proper investigation into the atrocities in Yemen takes place, or indeed a permanent ceasefire is put in place?
ParlaMint-GB_2016-10-18-commons.u466	I agree. When I come on to look at the implications of the ceasefire, I shall certainly make that one of my asks to the Minister.
ParlaMint-GB_2016-10-18-commons.u467	It is the issue of the extra petrol that we are pouring on the flames that is key. I have raised on a number of occasions the bombing of Médecins Sans Frontières hospitals, particularly in Sana’a last autumn. We are always told that “Saudi Arabia will investigate”, but that is not good enough. We should not be selling arms in this situation.
ParlaMint-GB_2016-10-18-commons.u468	I agree with the hon. Lady wholeheartedly. That is something on which we must press the Government if we are to achieve a peaceful solution.
ParlaMint-GB_2016-10-18-commons.u469	rose—
ParlaMint-GB_2016-10-18-commons.u470	I give way to the Chair of the Committees on Arms Export Controls.
ParlaMint-GB_2016-10-18-commons.u471	I know that a couple of questions have been asked by Members who have served on the Committees—
ParlaMint-GB_2016-10-18-commons.u472	I did not know that I had that effect on the House—[Laughter.]
ParlaMint-GB_2016-10-18-commons.u473	It is known as the 7 o’clock effect.
ParlaMint-GB_2016-10-18-commons.u474	I am aware that the right hon. Member for Leicester East (Keith Vaz) is familiar with a report in which the Business, Innovation and Skills and International Development Committees called for an independent United Nations-led investigation and a pause in the sale of arms exports until that had taken place. Does he agree that that could only assist in alleviating the humanitarian crisis?
ParlaMint-GB_2016-10-18-commons.u475	I do agree with the hon. Gentleman, and I commend him for the work that he and his Committees are doing. We look forward to seeing the report when it is finally published, but I think that the Government will note his comments very carefully.
ParlaMint-GB_2016-10-18-commons.u476	Is the right hon. Gentleman aware that the United States Congress recently passed the Justice Against Sponsors of Terrorism Act, which is aimed at the Saudis? Does he think that that is why the Saudis are starting to scale back some of their attacks?
ParlaMint-GB_2016-10-18-commons.u477	My fellow Yemeni—by birth—is right. I think that the pressure in the United States Congress, to which I shall allude later, is making a difference, especially given recent events. I think that it takes more than the United Kingdom to do this and that Congress has a very important role.
ParlaMint-GB_2016-10-18-commons.u478	The right hon. Gentleman is being extremely generous in giving way to all of us. He is probably aware of the use of cluster munitions in Yemen and the problems that they have caused for civilians by lying unexploded, thus creating de facto minefields which can kill or maim. Will he join me in calling on the Government to review the support that they are giving to the organisations involved in clearing those munitions?
ParlaMint-GB_2016-10-18-commons.u479	Yes, I will. We do need to support those organisations. I think that I am able to give way so often thanks to the BBC debate running a little short. Whether we like or hate the BBC, we should thank it for allowing us this extra time A generation of Yemenis now risk learning how to hate Saudi Arabia and the west. At a recent meeting organised by the Council for the Advancement of Arab-British Understanding, journalists Nawal al-Maghafi and Peter Oborne, who had recently returned from Yemen, said that the long history of goodwill towards Britain was almost eroded. The strength of that criticism means that when we are critical of Russia’s actions in Syria, it is now pointing at Yemen and claiming moral equivalency. That is not sustainable. Yemen is now the Achilles heel of western diplomacy. Quite simply, it is in everyone’s best interests, including Saudi Arabia’s, for the airstrikes to end permanently.
ParlaMint-GB_2016-10-18-commons.u480	I congratulate the right hon. Gentleman on initiating the debate. Does he agree that if the United Kingdom Government’s review of its arms sales uncovers breaches of international law by the kingdom of Saudi Arabia in Yemen, there should be not only an end to the sales of arms to Saudi Arabia, but a root-and-branch review of our relationship with the kingdom?
ParlaMint-GB_2016-10-18-commons.u481	That is a very important point. The Chair of the Committees on Arms Export Controls will have heard what the hon. Gentleman has said. I think that this is one of the issues that the Committees, and other Committees of the House, will have to examine—indeed, they are doing so as we speak.
ParlaMint-GB_2016-10-18-commons.u482	Will my right hon. Friend give way?
ParlaMint-GB_2016-10-18-commons.u483	I will.
ParlaMint-GB_2016-10-18-commons.u484	Order. No, you cannot.
ParlaMint-GB_2016-10-18-commons.u485	Am I not allowed to intervene?
ParlaMint-GB_2016-10-18-commons.u486	No.
ParlaMint-GB_2016-10-18-commons.u487	I have never been able to shut my hon. Friend up.
ParlaMint-GB_2016-10-18-commons.u488	I have succeeded where the right hon. Gentleman could not.
ParlaMint-GB_2016-10-18-commons.u489	I will put that in my diary, Mr Deputy Speaker Let me return to the serious issue of Yemen. The issues of the investigations of the bombings, which have been mentioned by several Members, and the UK’s sale of arms to Saudi Arabia have been raised here tonight, and also outside Parliament. The UN High Commissioner for Human Rights, as well as Oxfam, Amnesty International and others, have identified, as have hon. Members this evening, the human rights violations committed by all sides. The latter of those organisations argues that DFID’s good work is being undermined by £3.3 billion of aircraft and bombs sales to Saudi Arabia in the 12 months from March 2015 The Saudi Arabian Government have investigated incidents, but these investigations have been criticised for not being independent. They must understand that continuing the bombing campaign will lead only to more incidents and criticism, and calls for further investigations We are joined by the Under-Secretary of State for Foreign and Commonwealth Affairs, the hon. Member for Bournemouth East (Mr Ellwood), and I am grateful to him for reinforcing the Government’s position tonight. Only one of the Ministers present will be able to speak in this debate, but I would like them both to clarify a number of points. What support is the UK providing Saudi Arabia with regards to both preventing and investigating human rights violations, including through providing personnel? What is the UK’s policy on an independent investigation into possible human rights violations by all sides in the conflict? What is the current status of UK arms sales to Saudi Arabia, and will this be subject to review Just as it is darkest before the dawn, the international community is finally moving in the right direction. After the Houthis fired on the USS Mason last week, the Americans fired back, into Yemen, for the first time in this conflict. Hillary Clinton and Donald Trump talked about Syria at length in their last debate; it is hoped that they will be asked about Yemen tomorrow. Let us not forget that Secretary Clinton was the first Secretary of State in history to visit Yemen On Sunday, in London, US Secretary of State John Kerry and the Foreign Secretary met Saudi Foreign Minister Adel al-Jubeir and the UN special envoy to discuss this conflict. At the meeting, they made a very clear call for a ceasefire “within hours”. An hour is clearly a long time in diplomacy, but at last today a 72-hour ceasefire has been announced. This is most welcome, but it is not the end. Seventy-two hours is not enough for the Yemeni people. It is vital that our Government ensure that the ceasefire becomes permanent.
ParlaMint-GB_2016-10-18-commons.u490	I have been listening with interest to the right hon. Gentleman’s speech. He made reference to the Houthis firing on a US naval ship. Does he agree that one of the things that is so worrying about the conflict is the possibility of threating some of the key shipping routes that pass through Aden, which might destabilise the whole region?
ParlaMint-GB_2016-10-18-commons.u491	That is absolutely right. As I will say towards the end of my speech, that has an effect on the humanitarian aid getting into Yemen I spoke last night with the UK’s permanent representative to the United Nations, the excellent Matthew Rycroft, who made it clear that the UK leads on this issue at the Security Council. He also confirmed that the UK had already drafted a Security Council resolution. It will call for an end to hostilities, investigations into human rights violations and a restart of the negotiations. It is in response to this that Saudi Arabia and the other gulf states have put together their own pre-emptive ceasefire. That is clearly welcome, but will the Minister confirm that if the coalition’s ceasefire breaks in 72 hours’ time and violence resumes, the UK will immediately demand that the draft resolution is tabled? Will he also confirm that when Yemen is discussed by the Security Council in New York on 31 October, the United Kingdom will demand a joint statement calling for a permanent diplomatic solution Now that the ceasefire is in place, we must take a central role in the peace talks. Will the Minister confirm who will be in the room for these talks? Will the talks include the United Kingdom, the United States, the Saudi Government, the Houthis, former President Saleh and the Yemeni Government? It needs to be made clear at the talks that concluding without an agreement is not an option. As her predecessors have done, will the Prime Minister herself call on both King Salman of Saudi Arabia and President Hadi to press for peace Despite the criticism that the United Kingdom has faced in recent months, we can still be the honest broker, and that means putting pressure on all sides, including those who receive British support. Is the United Kingdom prepared to sanction the Yemeni and Saudi Governments by withdrawing support, suspending arms sales or in other ways if they allow the next round of negotiations to fail? We also need to give the UN special envoy all the tools that he needs to do his job. Will the Minister tell the House what support, including staff and finances, we have provided to the special envoy Another step that we need to take relates to humanitarian access. This is vital not only to address the humanitarian crisis, but to show that the United Kingdom wishes to act for the Yemeni people. In the scorecard of shame that I mentioned, I have set out the reality in Yemen, which is an extraordinarily dangerous place for aid agencies to work. Some parts of the country, particularly in the north, are practically unreachable. Following the closure of Sana’a airport, the cutting off of major roads and bridges and the withdrawal of safety assurances, UNICEF has informed me that many aid agencies have withdrawn from Saada and Hajjah. The increase in aid is welcome, but what are we doing to ensure that it gets through? We must do more, and this must be included in the UN resolution.
ParlaMint-GB_2016-10-18-commons.u492	I am glad that the right hon. Gentleman has once again brought this subject to the House for debate. It is important that these issues are raised. He talks about access for aid agencies, which is absolutely crucial. Médecins sans Frontières is finding it very difficult to maintain hospitals in the country and reports that, even where there are hospitals, the situation is so unsafe and people are so frightened to leave their homes that by the time they reach the hospital, they are often seriously ill, with some of them sadly dying. Will he impress on the Government that we need to act in support of those medical facilities as well?
ParlaMint-GB_2016-10-18-commons.u493	The hon. Lady has just done that very eloquently. The worst part of the bombing of the funeral was that there were two bombs. The first killed the people at the funeral and the second was intended to deal with the first attenders. To say that such incidents are the result of bad information is a terrible excuse and that must never happen again I would like to end by telling the House that my interest in Yemen is not just political, but deeply personal. Yemen was once known as Arabia Felix, or “happy Arabia”, and that is how I remember the country. The first nine years of my life were among my happiest. Every night when I go home from this place, I think of Aden, and I light frankincense just to remind me of it. Yemen is an easy country to fall in love with. It has incredible beauty, enormous history and wonderful people. Its geography and its architecture are among the most stunning in the world. It is renowned as the home of the legendary Queen of Sheba. It breaks my heart that incredible cultural heritage sites are being reduced to rubble by the fighting and that we will never be able to recreate them. We are part of this conflict; we cannot walk by on the other side. This is a crisis crying out for leadership. Saudi Arabia, the Yemeni Government, the Houthis and the Yemeni people all need a way out of this conflict. We are in a unique position to show them the way, and to take them there It has been said to me that we hold all the pens on Yemen. We need to use every ounce of our considerable influence. Anyone can hold the helm when the sea is calm. To allow millions of people to die from hunger in the 21st century would consign Yemen to being one of history’s great tragedies. Let us seize the momentum of the past few days and prevent a humanitarian crisis from becoming a humanitarian catastrophe. I beg the Minister to act now.
