ParlaMint-GB_2016-11-15-commons.u1	1. What plans he has to prevent excess deaths in the winter of 2016-17.
ParlaMint-GB_2016-11-15-commons.u377	Exactly.
ParlaMint-GB_2016-11-15-commons.u378	As the Minister for civil society indicates from a sedentary position, that is absolutely key to the long-term health of many charities We fully accept that there are situations in which, with the best will in the world, charity fundraisers cannot stop donors to ask them to complete a gift aid declaration. The gift aid small donations scheme is therefore intended to be used for those small, low-value, spur of the moment donations when contact between donor and charity is fleeting and it is not practical or feasible to solicit a gift aid declaration. Those will primarily be the small cash donations that the small donations scheme was originally designed to cover, but we also accept, following discussions with the sector, that this should also apply to contactless donations. However, the Government are not persuaded that this is the case with other methods of donations such as those made by text, online or by cheque, and I set out reasons for that on Second Reading and in Committee.
ParlaMint-GB_2016-11-15-commons.u379	I was about to rise to congratulate the Minister, as this seems like a really good initiative, but why apply this for only just that tax year? Given that someone is able to donate to an organisation and do it within a tax year, why not roll this over into future tax years to extend this provision? Perhaps I am being uncharitable to her, as this is a good provision, but it could be even better.
ParlaMint-GB_2016-11-15-commons.u380	I strongly suspect that there are technical reasons why that would be difficult, but I am happy to take my hon. Friend’s suggestion away, look at it and respond properly to him. In the spirit of simplification, he seeks to make it ever easier to make these donations. As a result of the way Her Majesty’s Revenue and Customs operates—within tax years—I could foresee difficulties with this approach, but I will look at it and write to him with a bit more detail There are more things we can do to make things easier for charities, and the Government are constantly looking at ways of achieving that—we have just heard another suggestion from my hon. Friend. I am pleased to tell the House that we have a very good track record of simplifying gift aid processes for charities. For example, in 2013 we introduced Charities Online to help charities to claim gift aid even faster, and 95% of charities now use this service. Instead of having to fill in paper forms and post them back to HMRC, charities can claim their repayments online and have them paid directly into their bank account. Under the old paper system it could take up to three working weeks for charities to receive their repayments, whereas most claims are now paid within five working days. I am sure hon. Members would agree that that is a welcome boost for charities. Just last year, HMRC introduced a new, shorter model gift aid declaration to make it easier for donors to understand their obligations under the scheme, and it worked in close collaboration with the Charity Retail Association to simplify and clarify the Government’s guidance on the retail gift aid scheme. Earlier this summer, the Treasury published a consultation exploring ways of simplifying the gift aid donor benefits rules, and we looked carefully at the responses received before publishing a response Of course, we will keep looking for ways to simplify and improve gift aid, but these are questions about the wider gift aid scheme, not the gift aid small donations scheme. My hon. Friend might be pleased to note that one reason I foresaw difficulties with his proposal is that people’s tax status can change from year to year—for example, when they move from work into retirement—and this would make things difficult. I hope that that response is helpful, but I will follow up with him in more detail Amendment 2 would grant the Treasury the power to amend the Small Charitable Donations Act 2012 in the future in the event that new donation technology develops. Members who were present at the original Bill discussion reminded us in Committee that they had made points about future-proofing the scheme in terms of technology at that time. My hon. Friend the Member for Amber Valley and the hon. Member for Clwyd South (Susan Elan Jones) are nodding. It is an interesting point, which we have debated The Government have consulted fully on the changes to the scheme, and as part of the consultation that we have just undertaken, the extensive nature of which I outlined earlier, HMRC officials went out and met charities and other groups to discuss contactless donations and other technological developments. They considered methods of donation that are not currently in use but might be in the pipeline. I understand that there was no suggestion from the stakeholders that there are other imminent technological developments in the pipeline that would be suitable for the small donations scheme. In any event, we have deliberately drafted the definition of “contactless payment” quite widely As I explained to my hon. Friend the Member for Amber Valley in Committee, the definition in the Bill would cover donations from, for example, Oyster cards, as the shadow Minister mentioned, or other smart cards. It would also cover new payment services similar to Apple Pay and Android Pay. We believe that the definition in the Bill is sufficient to cover most of the technological developments that we are likely to see in the reasonably foreseeable future.
ParlaMint-GB_2016-11-15-commons.u381	My hon. Friend will not be surprised that I expressed some degree of sympathy with amendment 2, given that I raised some of these points. I am reassured about the extension of contactless payments, particularly to Oyster cards, as was mentioned from the Opposition Front Bench. However, I do not support the amendment because of its wording. It refers to “comparable method”. The shadow Minister used the word “similar”, and my hon. Friend the Minister used the term “unspecified”. That is all unclear. There will be further technological changes and we will probably look back and say, “Wasn’t there a formulation that we could have used to include this new technology?” The wording of the amendment is not satisfactory and unfortunately I cannot offer a suggestion to improve it.
ParlaMint-GB_2016-11-15-commons.u382	My hon. Friend makes a fair point. Learning, perhaps, from the time when the predecessor Bill was before the House, we have tried to look ahead, consult widely, and future-proof this Bill against forms of payment that are not yet widely used. It is sensible to try to provide a definition of those, rather than leaving the Bill overly vague. We have done a sound job of future-proofing the Bill as much as is reasonably possible I fully accept that at some future stage, perhaps some years from now, a new donation method could be developed which would not be covered by the current definition. We cannot know whether that future method might have implications for other parts of the Bill. That is why I am nervous about writing a woolly definition into the Bill. If and when there is a new donation method not foreseen or covered by the Bill, it is important that the Government come before the House with primary legislation, explain their decision and allow Parliament to scrutinise the proposed changes properly. As this Bill has proceeded relatively uncontroversially through the House, it would be hard to argue that the scrutiny of it and the attention that it has allowed us to focus on the scheme and on gift aid more widely have not been a good thing. The Bill demonstrates that we keep matters under review and that, when there is a case for change, we come back before Parliament and engage in a full and proper debate Gift aid is hugely beneficial for charities and we want as many charities as possible to benefit from gift aid on the eligible donations that they receive. I have given an undertaking that the Treasury will work with the Minister for civil society to publicise the charities day on 16 December and to look more widely at what we can do to make sure that take-up continues to grow. The small donations scheme is a separate scheme intended to bridge the gap caused by small, fleeting donations. It is not a replacement for or an alternative to gift aid, and if charities can obtain a gift aid declaration, they should do so because it is in their best interests, for reasons that I have touched on This Bill will improve the gift aid small donations scheme. Separately the Government are taking action to improve the wider scheme, and I hope that that action will address a number of the concerns raised in the debate by hon. Members. The small donations scheme is not the right vehicle to bring about the changes that have been suggested and that the shadow Minister is seeking. I hope that, having heard these reassurances, she will withdraw her amendments Question put, That the amendment be made.
ParlaMint-GB_2016-11-15-commons.u383	I beg to move, That the Bill be now read the Third time It is a pleasure to move the Bill’s Third Reading. I thank all right hon. and hon. Members who have taken the time to scrutinise and engage with the Bill so constructively during its passage through this House. It is a short and technical Bill, but it is nevertheless important and it delivers real benefits to our vibrant charity sector and for working families I am very pleased that during its passage through this House, the Bill has received broad cross-party support and provided an opportunity for Members on both sides of the House to highlight and champion the wonderful work that local charities do right across the country. On Second Reading, we heard from the hon. Member for Aberdeen North (Kirsty Blackman) about the volunteers in her constituency shovelling snow to keep the pavements clear in winter. My hon. Friend the Member for Rochford and Southend East (James Duddridge) spoke of the work done by a charity in his constituency to help people living with HIV/AIDS. We heard about the work of animal welfare charities, including Waggy Tails Rescue in Mid Dorset and North Poole, and of course I took the opportunity to mention Battersea Dogs and Cats home in my constituency It is not just charities that will benefit from the reforms to the gift aid small donations scheme. As several hon. Members pointed out, community amateur sports clubs will also be able to access top-up payments sooner, and we heard examples of local sports clubs in Taunton Deane, Chippenham and Congleton that could benefit. The small donations scheme is a good thing for charities. It allows them to claim a gift aid-style top-up payment of 25p in the pound when it is not practical or feasible to obtain a gift aid declaration from a donor The Small Charitable Donations and Childcare Payments Bill will make it even easier for charities to access those top-up payments by removing entirely two of the existing eligibility criteria. The Bill will also simplify and clarify the rules, ensuring that the scheme remains fair and delivers broad parity of treatment for charities structured in different ways. We are reforming the community buildings rules to make the scheme much more generous for local charities that operate out of community buildings. I sought to reassure the shadow Chief Secretary to the Treasury, the hon. Member for Salford and Eccles (Rebecca Long Bailey) about organisations such as scouts and guides by confirming the eligibility in their case. In Committee and again on Report the Opposition Front-Bench team tabled probing amendments on that point and others, and we have had a couple of thorough debates. I reiterate what I said earlier to the House: a scout hut is an eligible community building, so scouts and other uniformed groups will benefit from the changes in the Bill. I hope that all Members here will join me in supporting this enabling reform. We have heard from some Members about their yesteryears in the scouts, and anything that helps scouts to continue with “bob a job” and all their other community fundraising schemes can only be a good thing We are also taking action through this Bill to future-proof the gift aid small donations scheme by extending eligibility to contactless donations, so that charities can continue to benefit from the scheme for many years to come. The message that the Bill sends is clear: the Government want a strong, vibrant and resilient charity sector and we will do all we can to support it through the tax system In addition to celebrating the work of our charities and sports clubs, the Bill’s passage through the House provoked an important wider debate about the threats that the sector faces, and particularly the importance of a robust regulatory regime to protect the reputation of charities from the dishonest minority who seek to abuse charitable status. It is not necessarily a pleasant issue to have to contemplate, but we have had an important debate. It is good that we are continually pushed to think about how we can protect our charities further. The sector is one of our great assets. It is very important, and we need to do all we can to protect it. I have argued consistently that the Bill strikes the right balance between simplifying the gift aid small donations scheme, making it easier for charities to claim top-up payments and protecting the Exchequer from abuse and charities from reputational damage During the Bill’s passage through this House, hon. and right hon. Members have expressed some concern about take-up of the gift aid small donations scheme. As my hon. Friend the Member for Reading East (Mr Wilson), the civil society Minister, told the House on Second Reading, last year 21,300 charities benefited from the small donations scheme, claiming a total of £26 million of Government support. That is a lot of charities, but we accept that it is fewer than forecast. That is why we are simplifying the scheme by removing two of the main eligibility criteria and relaxing the community buildings rules I can also tell the House today that once the new rules take effect, HMRC will undertake a broad communications exercise to promote greater awareness of the gift aid small donations scheme. I have also asked what targeted activity can be undertaken. I encourage charity sector bodies and representative groups to work with the Treasury and HMRC to make the reformed scheme a success. I thank them and the officials concerned for the constructive approach that they take and the work that is done to bring this legislation to the House Let me say a quick word about the tax-free childcare portion of the Bill, which makes a small number of minor and technical, but important, amendments to the tax-free childcare scheme. That fact has not limited the interest shown in the scheme during the debates, and tax-free childcare continues to enjoy cross-party support. A number of speakers have looked forward to being able to use the scheme for their own children, and such a prospect draws ever closer as the scheme is set to commence next year For many, this will be the first time they will be able to access Government support with childcare costs as tax-free childcare will be available to all working parents, regardless of whether they are employed or self-employed. HMRC is about to begin inviting parents to test the new service in trials. As in bringing forward these changes, HMRC will again listen to parents to ensure that it provides the best possible service. The responses made in the Bill, with the minor and technical changes, will help HMRC to ensure that it is quick and easy for working parents to access the support they need with their childcare costs The Small Charitable Donations and Childcare Payments Bill is a short and, it is fair to say, uncontroversial, yet important Bill. Its passage through the House has seen thoughtful and constructive challenge that has allowed us to debate a number of important principles, as well as to praise some of the vital charities that are forces for good in our communities and our wider society. The Bill is therefore a positive Bill. We are making life easier for small charities and for working parents, and I commend it to the House.
ParlaMint-GB_2016-11-15-commons.u384	Hon. Members will be pleased to hear that I will keep my comments very brief in this stage in the proceedings. The Small Charitable Donations and Childcare Payments Bill as a whole makes positive changes to the gift aid small donations scheme and very minor changes to the tax-free childcare scheme The Opposition have welcomed the Government’s aim throughout the passage of the Bill to make sure that the gift aid small donations scheme is more accessible and to encourage charities to take part. The scheme has not been as successful as the Government had hoped, and the Bill certainly makes changes to improve that situation. In particular, the abolition of the two-year eligibility rule and the two-in-four years claims rule will open up the scheme to new charities, while bringing contactless payments into the definition of a small payment will bring the scheme into line with how donations can be made in the modern day However, as the Minister is aware, the Opposition think the Bill could have gone further, as do representatives of the charity sector. Indeed, the Charity Finance Group has said that the Government were “locking in future failure” by not introducing wider reforms. We have tried to improve the Bill after receiving feedback from the sector. Along with SNP Members, we have tried to address the key issue coming out of the feedback, which is the matching requirement. Our amendments in Committee and on Report would have forced the Government to conduct a specific review of the rule and of how the scheme fits within the framework of anti-fraud measures in the scheme. Unfortunately, the Government have not made any movement on this issue, which is a barrier to entry to the scheme, according to charity representatives. However, I note the comments that the Minister made earlier, and I look forward to receiving any further updates from her on this matter in due course We have also tried to widen the payment methods eligible for the scheme beyond cash and contactless payments. Our amendments would have included cheques and donations via text and online. Again, unfortunately, the Government have not seen fit to work with us on this part of the Bill, simply using flawed logic, as it were, to prevent the changes that the charity sector wants from happening. I hope that the Minister will reflect on the comments made during the passage of the Bill, and consider whether amendments can be made in due course to make the use of cheques and, in particular, of text messages more accessible to the gift aid sector Finally, we have tried to address what appeared to be a flaw in the original legislation, preventing the scouts, guides and cadet groups from gaining the full benefits of the scheme. For the benefit of hon. Members who are not aware of the issue, the connected charities rule means that the scouts, guides and cadet groups are each treated as one charity, despite the fact that local groups are individual and self-financing, and that means only one top-up payment can be received. As I highlighted when we discussed this amendment in the Public Bill Committee, the Charity Finance Group has suggested that such treatment means they receive only 17p per individual group a year The Minister had a few issues with our amendment, as drafted, and we listened to her concerns and modified it to reflect them. I particularly appreciate the comments she has made in relation to scout groups and their bases. However, she will recognise that the comments made in Committee related to the need for the scope of our amendment to go further to include groups beyond the scouts and girl guides. I hope she will consider that very carefully and see whether she can put in place any future amendments or provisions to deal with any other groups in a similar position that are not, as it were, mopped up by the Bill To conclude, perhaps once the Government have reviewed the scheme’s effectiveness in the light of the changes the Bill makes we may have an opportunity to come back to some of those changes, as I have said. Overall, however, the Opposition support the Bill and its aims. I hope it will succeed in making the small donations scheme more accessible and in supporting smaller and new charities. I look forward to an update on the impact of the revised legislation in due course.
ParlaMint-GB_2016-11-15-commons.u385	It is nice to speak on Third Reading of a Bill when there has largely been agreement on many of the measures it contains The Government’s measures on the gift aid small donations scheme are sensible and logical steps forward, and it is good that more charities will be able to benefit from the scheme as a result. We were very clear that we would have liked the Government to go further, but we appreciate the steps they have taken, and the wide-ranging consultation they have undertaken We raised the matching requirement a number of times. My understanding is that the Government have the power to make changes to that requirement without the need for primary legislation anyway. It is useful to know that the Government can consider that if they receive future representations on the matter. Our concerns related in particular to volunteer-led charities—the very smallest charities, which perhaps do not have the administrative capacity to access some of these schemes. But I appreciate that the Government have committed to undertake a wider publicity effort on the gift aid small donations scheme and on how charities can access tax reliefs. I hope that charities across the UK will benefit from those changes The changes to the way that people will access childcare payments are sensible and seem more accessible than the current system. Having used the current system and struggled with some of its administrative impacts, I think the new scheme will iron out some of those flaws, and am pleased that even before the new scheme comes in the Government are re-evaluating it and looking to make it as accessible and as easy for parents to navigate as possible. I understand that a pilot will take place and that, by the end of next year, pretty much everyone should have moved over to the new scheme. I hope the Government will commit to re-evaluating the scheme as it goes forward, to ensure that it is as accessible as possible On that re-evaluation, in Scotland we are making changes to the early learning and childcare system, and are looking at a mass expansion so that as many families as possible can access free, good quality childcare that is easily accessible in local communities. In my local community, at Manor Park Primary School, 20 two-year-olds will take part in a trial that is taking place in my area and in a number of other places across Scotland. I am sure that the UK Government will be keen to learn from Scotland’s experience of the expansion of free childcare and will be looking at it for the future Thank you, Mr Speaker, for the opportunity to speak on Third Reading. As I have said, we are broadly supportive of the Bill but would have liked it to go further in some areas. However, we will not oppose its Third Reading Question put and agreed to. Bill accordingly read the Third time and passed.
ParlaMint-GB_2016-11-15-commons.u386	On 23 June, our country voted to leave the European Union. The result was not a landslide: 48% voted to remain; 52% voted to leave. London, Scotland and Northern Ireland voted to remain; the majority of England and Wales voted to leave. The young overwhelmingly voted to stay; older voters opted to go. Socioeconomic classes and ethnic groups also voted in different ways I was immensely proud to play a leading role in the “Labour In for Britain” and “Britain Stronger in Europe” campaigns during the EU referendum. To my core, I still believe that by the strength of our common endeavour we achieve more together than we do alone, not only as individuals but as a nation state, as we seek to amplify Britain’s role in the world and achieve as much for our community of nations around the world as possible. However, I accept the result. Before the vote, remain campaigners accepted the rules under which the referendum was fought. I do not think that, having had a referendum conducted under those rules, which we debated in the House, we can now reject them because we do not like the outcome. Either you are a democrat or you are not, Mr Speaker, and I am a democrat Various promises were made by each side in that referendum campaign. Now it is over, it is important that we hold to account the winning side for the policies and claims that were made and upon which people voted. I say “hold to account” deliberately. We on the remain side would not want all of Vote Leave’s promises to be delivered, but it is right and proper, for the sake of our shared values of democracy, accountability and transparency—the foundations upon which this House is built—that Vote Leave campaigners who are Members of the House should be tested on whether they deliver what they pledged to the people. If they do not, they should explain why not to their constituents and the nation in this House. Thousands of people agree—they have joined the Vote Leave Watch campaign because they care about this, too. I chair that campaign, and I draw the attention of the House to my entry in the Register of Members’ Financial Interests One promise that the overwhelming majority of people—both the 16 million who voted remain and the 17 million who voted leave—want to see kept is the Vote Leave campaign’s pledge to put £350 million extra per week into the NHS. That was the key pledge of the Vote Leave campaign. Prominent members of the current Cabinet—the Foreign, Environment, International Development, International Trade, and Transport Secretaries—went around the country in a big red bus that said, “We send the EU £350 million a week. Let’s fund our NHS instead”. They gave speeches in front of a sign saying, “Let’s give our NHS the £350 million the EU takes every week”. None of them disowned that pledge during the campaign—not a single one. The clear message they sought to give to the people was that if we leave the EU, £350 million a week extra will be put into our national health service. No qualification was given to that pledge.
ParlaMint-GB_2016-11-15-commons.u387	My hon. Friend is making a powerful case. This is such an important point for our economy, as we know in my part of London, where the Barts trust has the largest predicted overspend in NHS history. Does he agree that it is vital that those who campaigned on the pledge that this money would be provided are held to account, because communities such as mine are suffering without investment in the NHS?
ParlaMint-GB_2016-11-15-commons.u388	I agree absolutely with my hon. Friend. When I had the pleasure of visiting her constituency the other week, I saw for myself the situation that she describes.
ParlaMint-GB_2016-11-15-commons.u389	My hon. Friend is absolutely right that the claim of £350 million a week for the NHS was at the centre of Vote Leave’s campaign. Leave campaigners were given a number of opportunities to review, qualify or disown the claim, including following strident criticism from all members—remainers and leavers—of the Treasury Committee. The fact they chose not to distance themselves from the claim surely demonstrates that this is a promise that ought to be delivered. If it is not delivered, they will have some explaining to do.
ParlaMint-GB_2016-11-15-commons.u390	I completely agree with my hon. Friend. As he said, it was significant that the Treasury Committee came to its conclusion, since it is a cross-party Committee whose members include leavers and remainers As my hon. Friend the Member for Walthamstow (Stella Creasy) said, we know that the NHS needs extra cash. The Minister also knows this. As members of the Health Committee pointed out last month, the deficit in NHS trusts and foundation trusts in 2015-16 was more than £3.5 billion.
ParlaMint-GB_2016-11-15-commons.u391	My hon. Friend makes a powerful argument for extra NHS funding, but does he share my concern that our NHS could actually be worse off as a result of the decision to leave the EU, given that the reduction in our exchange rate will make it more expensive to purchase products from abroad? Does he also share my concern that, when I asked the Secretary of State for Health how much and what proportion of the total NHS budget was spent on imports, the Department was unaware and therefore unable to give me that information?
ParlaMint-GB_2016-11-15-commons.u392	It is outrageous that Ministers were unable to give my hon. Friend those figures. Ministers themselves exacerbated the knock-on impact on the economy of the depreciation of the pound. It depreciated in value by 6% before October, and then by a further 15% because of uncertainty around our trading arrangements that was triggered by comments made by the International Trade Secretary that differed from those of the Chancellor to the Treasury Committee and in other forums. The knock-on effect is not, however, just on household budgets. As the cost of things increases, of course the NHS will take a big hit. Public services in general will be affected if growth reduces and Exchequer receipts fall Ministers’ claimed increases in NHS funding, which the Under-Secretary of State for Health, the hon. Member for Warrington South (David Mowat), might mention, are actually being funded by reductions in other areas of health spending that fall outside NHS England’s budget. Reductions in spending on social care are having a serious impact on the NHS, and that is translating into increased accident and emergency attendances, emergency admissions and delays to people leaving hospital. I have talked about what Select Committees, Ministers and Members of Parliament are saying, but we have also heard from third parties. The King’s Fund, the Nuffield Trust and the Health Foundation are clear that current Government spending plans through to 2019-20 will not be enough to maintain standards of care, to meet rising demand from patients and to deliver the transformation in services outlined in the NHS five year forward view I and more than 40 Members from different parties, including all my hon. Friends in the Chamber for the debate, have written to the Chancellor asking that when he presents his first autumn statement on 23 November, he sets out how he will put the Government on a path to increasing national NHS spending by that promised £350 million extra a week once we have left the EU. To be clear, that additional funding must be over and above the amount currently planned to be spent on the NHS. The British Medical Association has made the same demand.
ParlaMint-GB_2016-11-15-commons.u393	Is the hon. Gentleman saying that the Government have to honour a promise made by others to the tune of £350 million a week extra for the NHS? My hon. Friend the Member for North East Somerset (Mr Rees-Mogg) and other notable leavers have now conceded that the actual figure was £120 million. Would it not be unfair to say that the Government have to deliver that pledge, given that they never made any such promise to the British people?
ParlaMint-GB_2016-11-15-commons.u394	I am grateful for the right hon. Lady’s intervention; I shall come on to those precise points shortly. I note, however, the public statements she herself made when she was a member of the Government. She criticised the way in which her fellow Ministers were going around making these big promises, perhaps on her behalf.
ParlaMint-GB_2016-11-15-commons.u395	We must be very clear about this. During the referendum, we campaigned individually, not as Ministers on behalf of the Government. The hon. Gentleman is right that some Ministers campaigned for leave and made this promise—and indeed many other promises that I do not think they will be able to deliver—but there is a distinction to be made between the promises of the Government and those of people who now happen to be in government. It is really the leave campaign that must be held to account, not the Government.
ParlaMint-GB_2016-11-15-commons.u396	The right hon. Lady pre-empts what I am about to say; I shall come on to that precise point To be clear, I want the Minister, on behalf of his Department, to give the same commitment that we are asking the Treasury to make, and to outline how his Department will make good on this pledge. I shall explain why this is a pledge that the Government should deliver. The Minister might give a number of reasons, perhaps echoing the right hon. Member for Broxtowe (Anna Soubry), to explain why the promise given by his ministerial colleagues during the referendum should not be treated as such. I will deal with each of the main possible reasons in turn First, there are those who claim that this was not a pledge at all. Nigel Farage, the interim leader of the UK Independence party, said that it was one of the mistakes that he thought the leave campaign made. The current Transport Secretary, who was also a member of the Government at the time of the referendum, has said that Vote Leave’s specific proposal was, in fact, to spend £100 million a week of the £350 million for the NHS that was originally hoped for, commenting that that would be an “aspiration” to be met. Let me tell the Transport Secretary that the poster that the Vote Leave supporters all stood next to did not say that this was an “aspiration”; it was a pledge—pure and simple. There was no qualification on the poster or on the big red bus. This statement was made, and the people who made it should be held to account for it Secondly, many leave campaigners deny ever using the £350 million figure. One of them said: “I always referred to Britain’s net contribution of nearly £10 billion—some £200 million a week…rather than £350 million.”—[Official Report, 5 September 2016; Vol. 614, c. 20WH.] It is true—my hon. Friend the Member for Ilford North (Wes Streeting) touched on this—that the Office for National Statistics said that the £350 million figure was misleading, but the head of the Vote Leave campaign said: “the £350 million figure is correct and we stand by it.” Vote Leave, whose banner Government Ministers campaigned under, carried on citing the figure, as my hon. Friend said, and those Ministers must now be held to account.
ParlaMint-GB_2016-11-15-commons.u397	I take my lead from the right hon. Member for Uxbridge and South Ruislip (Boris Johnson), who sadly does not appear to be in this Chamber. He was one of the most prominent members of the Vote Leave campaign and said that Brexit must give the NHS a boost. In my part of town, a boost to the NHS is the vital funding that we need to get our NHS back on track. Does my hon. Friend agree that we should listen to the right hon. Member for Uxbridge and South Ruislip about that point?
ParlaMint-GB_2016-11-15-commons.u398	I shall come on to him shortly A further thing that is said—again, I think this has been touched on—is that not all the people who made these pledges were members of the then Conservative Government. Perhaps that could be said of the right hon. Member for Uxbridge and South Ruislip (Boris Johnson). Well, of the five current members of the Cabinet whom I mentioned, three were members of the then Government and one—the right hon. Member for Uxbridge and South Ruislip—attended the political Cabinet at the time. Yes, the Secretary of State for International Trade was sitting on the Back Benches, but countless other Ministers from outside the Cabinet at the time who are now serving more than make up for that—for instance, the hon. Members for Portsmouth North (Penny Mordaunt), for Camborne and Redruth (George Eustice) and for Stockton South (James Wharton). I could go on. Those are just a few of the people who posed by those posters and next to that big red bus, and they must be held to account. Finally, it is said—this is the crux of the argument advanced by the right hon. Member for Broxtowe—that the commitment was given by one side in a referendum campaign, not by a Government. I am sorry but that simply will not wash. Many of those people were put up to appear in the media and to campaign on Vote Leave’s behalf precisely because they carried the authority that attaches to Government Ministers. That was why they were used. That was why they were asked to stand by that red bus, and to stand by those posters All those key Vote Leave campaigners, whether they were Ministers or not, were Members of this House. If our democracy is to mean anything, it must mean that Members are answerable to the electorate for their policies, and held to account in the House for the things that they say. People cannot go around the country casually promising the world and betraying people by failing to deliver, but then expect to get away with it. We will not forget; we will not let up. It was in the name of parliamentary sovereignty that those Ministers campaigned, and it is time that the House, on behalf of the people whom we are elected to represent, took back control, if we want to use that phrase, and made those Ministers answer.
ParlaMint-GB_2016-11-15-commons.u399	I thank my hon. Friend for giving way again. He is being very generous with his time Is this not dangerous and damaging not only to parliamentary democracy, but to the morale of workers in our national health service? I was told by the chair and chief executive of my local NHS trust, Nottingham University Hospitals NHS Trust, that they are frequently stopped by members of staff who ask, “When are we going to get the extra money?” Those people will surely be not just incredibly disappointed but doubly disappointed, given the difficulties that they are facing because the trust has a huge deficit and is struggling to provide the services that they know that patients require.
ParlaMint-GB_2016-11-15-commons.u400	My hon. Friend is absolutely right. I am very grateful for all the interventions that Members have made today Either those Ministers made this pledge to the people in the expectation of delivering on it, in which case they must now show us the money, or they made it in the sure knowledge that their promise would never be fulfilled, in which case they will never be forgiven for their betrayal of those who, in good faith, relied on them. Perhaps the Minister can tell us which it will be.
ParlaMint-GB_2016-11-15-commons.u401	I congratulate the hon. Member for Streatham (Mr Umunna) on securing the debate, and on the points that he made. Like him, I voted and campaigned for the remain side, and, like him, I accept the result. I am now part of a Government who are responsible for delivering what was democratically decided by the British people. I should say at the outset, however, that I am speaking today for the Government and not for the leave campaign. If the hon. Gentleman feels that he is taking part in the wrong debate, I apologise for that in advance I will, however, address some of the points that have been made about the impact of Brexit on the NHS, because valid points were made about staff morale, the level of funding and the exchange rate. All those are variables, and I think it is good for us to spend a bit of time talking about them this evening. I will also talk about what stage I think we have reached on the pledge and the amount of money that we will no longer be giving to the European Union when we leave—although, as the hon. Gentleman knows, that depends on how we leave, and on the nature of the agreement that we eventually reach Let us begin by agreeing on one point. The single most important thing that the NHS needs to be properly funded is a strong economy. To the extent that Brexit may have positives and negatives, that fact is relevant, but the NHS is properly funded at the moment. We have heard some stuff about budgets and all the rest of it, but let me tell the hon. Gentleman that the OECD’s analysis of health and social care spending in every OECD country shows that we are now above average, although that has not always been the case. We are possibly 1% lower than the best of class, including France and Germany. That figure was for 2014, and the gap is likely to have been filled because this year we gave an increase to NHS spending of three times the rate of inflation and we have pledged that NHS England’s budget will increase in real terms by £10 billion between now and 2021. I do not believe Brexit will make any difference to that; indeed it is a commitment and priority of this Government that it will not We do know, however, that there are issues in how that money is allocated within the NHS. We are broadly at the average point of the OECD, and we do and could spend that money more efficiently and effectively. We could spend more on primary care, cancer and mental health than we do, and those are Government priorities, and we hope the sustainability and transformation plan process will help to deliver that because at the moment we spend too much on acute care Of course we can find efficiencies, too. Agency staffing is too high and we need to address that. There is a lot we can do on procurement—Carter and new care models and all that go with that.
ParlaMint-GB_2016-11-15-commons.u402	The Minister could also work to renegotiate the private finance initiative loans that are crippling our NHS, and not use PF2 to do that. In order to do that, we need money in the NHS to be able to renegotiate. Surely the £350 million would help get us to that place; it would help us to renegotiate our debt, get our constituents back into work and get our NHS fit for purpose in the 21st century?
ParlaMint-GB_2016-11-15-commons.u403	Nobody in this House would be more pleased than me if we did not have the PFI millstone around our neck. The hon. Lady talks of renegotiation; this is real money, and these are real contracts that were signed more or less entirely by the last Labour Government. There is no magic wand that enables us just to set those PFI contracts aside, although I wish there was; that is not how the commercial world works.
ParlaMint-GB_2016-11-15-commons.u404	I am sure the Minister will be aware that the £10 billion figure for increased funding he has just cited is rejected by the cross-party Select Committee on Health. It is also very well him referring to what he alleges are increases in NHS funding, but the other cuts his Government have made over the last five to six years, in particular to local authority budgets, have put huge pressure on social care, which has led to a knock-on impact on the NHS and its funding.
