ParlaMint-GB_2016-05-19-commons.u1	Will the Leader of the House give us the business for next week?
ParlaMint-GB_2016-05-19-commons.u273	I am slightly surprised, if not disappointed, by the hon. Lady’s slightly snipey intervention, because I have not finished mentioning what Members spoke about. If she had paid more attention when she was speaking, she would have seen that I listened to everything she said, particularly about the pensions Bill. I will ensure that the Secretary of State for Work and Pensions reads her speech so that he can respond to it, and when the Bill is brought forward, he will no doubt respond to her directly. The hon. Lady can do better than that kind of intervention Hon. Members from across the House have outlined their views and concerns about the effect that the vote on 23 June could have on investment and about the importance of our EU membership. I agree with them that our membership is important for investment, particularly overseas investment, and the right hon. Member for Wentworth and Dearne (John Healey) will agree with me that stability for investors is vital if housing is to continue to grow. Any disruption to that could be quite damaging, and if housing is damaged, our economy will be too. I think, therefore, that hon. Members have made an important point Today’s debate, as was fitting to its subject matter, has ranged far and wide, from pensioners and integrated transport to intergalactic transport, but hon. Members will excuse me, I hope, if I bring us back to the Bills that my Department will be leading on in the year ahead. Having just completed work on the Housing and Planning Act 2016, in the last Session, DCLG officials, who like to stay busy, are delighted to be taking on two new Bills. The first is the neighbourhood planning and infrastructure Bill. Since 2010, the number of homes granted planning permission has increased by over 50%. In the last year, permissions have been granted for over 255,000 new homes. Net additions to the housing stock have recovered from the record lows that the right hon. Gentleman oversaw and which were achieved under the last Labour Government, while the number of first-time buyers is up by 57% since 2009, with 262,000 first-time buyers last year alone. But we must go further and faster. We want 1 million more homes this Parliament and 1 million more first-time buyers. The right hon. Gentleman might want to update his figures. Homelessness remains below its peak under the last Government. We have been clear we want to deliver 400,000 affordable homes, meaning the biggest Government-led building programme since the 1970s. More than 181,000 homes were built last year, up from the 88,000 he left us with. That is a 25% rise last year alone, which dwarves the 2% he referred to.
ParlaMint-GB_2016-05-19-commons.u274	Homelessness has doubled under this Conservative Government. Is the Minister suggesting that people will go from being homeless to accessing these 400,000 so-called affordable homes?
ParlaMint-GB_2016-05-19-commons.u275	We need to work across the piece not only on building new homes but on the better care fund, social services, the No Second Night Out campaign and our extra investment in homelessness. So ultimately, yes, we will have done our job to the best of our ability when we give everybody in the country the chance to own their own home. Labour seems to want to stop people having that chance. The hon. Lady might want to think about the fact that 86% of our population want to own their own home. She might want to support their ambitions rather than doing them down In addition to the 1 million more homes and the 1 million first-time buyers, we want enduring, sustainable improvement to the delivery of new housing in this country. The chronic under-supply of new British homes is a failure that was decades in the making. Halfway through this turnaround decade, our changes are bearing fruit. In this Parliament and the last, we have devoted the effort required first to rescue and then to reform housing delivery. Time spent building carefully on each round of reform, learning from experience and forming the local relationships required for delivery, is time well spent. As we saw in the previous decade, the quick and dirty debt-fuelled approach to building more houses is no solution at all. Rather, it led directly to a disaster that set Britain back by years. The purpose of the neighbourhood planning and infrastructure Bill is to empower local communities to plan and deliver the development they need where they need it. It will simplify and streamline the neighbourhood planning process and give communities confidence and certainty that their voices will be heard as soon as possible. The creation of a fully fledged neighbourhood planning system stands as one of the great reforms of this Government. The neighbourhood planning process is now under way in thousands of communities.
ParlaMint-GB_2016-05-19-commons.u276	The Minister knows that I have an interest in neighbourhood planning because he responded to my Adjournment debate earlier this year about problems in the Haughton Green area of my constituency. What assurances can he give to the people of Haughton Green that the things they want to see happen in their community could be delivered through the Bill? For example, will there be a neighbourhood right of appeal—something the Government blocked when Labour tabled amendments on such a measure?
ParlaMint-GB_2016-05-19-commons.u277	Actually, the Labour party did not vote or even call a vote on the neighbourhood planning third-party right of appeal. The hon. Gentleman might like to check back and see how that issue played out. What we want to ensure, through the Bill, is that there is no need for a third-party right of appeal, because the community’s voice will have been heard at the beginning of the process. I think prevention is much better than cure. Having talked to organisations such as the Campaign to Protect Rural England, and to colleagues and people who have drawn up neighbourhood plans around the country, that certainly seems to be the more popular way to get things done.
ParlaMint-GB_2016-05-19-commons.u278	I was one of the shadow Ministers on the Localism Bill and we did support the community right to appeal—I know because I was there. A big issue is brewing in my constituency. There has been a lot of talk about neighbourhoods having a say, but the Secretary of State appears to have dropped support for a substantial local application. My community and my constituents are thoroughly sick of the lack of support at national level from the Secretary of State for important local green-belt issues.
ParlaMint-GB_2016-05-19-commons.u279	I am sure the hon. Lady will appreciate that I cannot comment on any particular planning application, but when it comes to support for the green belt, this Government have gone further than ever before to ensure that the green belt is properly protected. Ultimately, it is a matter for the local community, but as I said, when it comes to neighbourhood planning, she might like to have a look at what her party called votes on during the passage of the Housing and Planning Act 2016. She might like to update her knowledge on that To date, almost 200 neighbourhood plans have passed referendums, including a case in the last couple of weeks. We saw 18 go through in just one week—pretty much a record—with more going through week by week. Local people are now participants, not bystanders, in the planning process. That is helping to transform attitudes to development, and there is a much more positive approach to it. It turns out that when planning is done with people instead of being done to them, we create trust and see more homes given planning permission. We want to go further, and I am determined to provide the certainty and ease to neighbourhood planning that people want The Bill will make sure that planning conditions are imposed by planning authorities only where necessary. Let me be clear about the problem. As the Minister for Housing and Planning, I have had examples come to me of planning permissions with hundreds of conditions attached, the worst of which are those that stop any work happening at all until further details are agreed—so-called pre-commencement conditions. The worst I have heard of so far had over 800 of them I am aware of cases where half of the conditions attached require further agreement from the local authority. These are planning permissions that have been given the green light for building, but it can take months or even years to resolve these conditions. Many Members of all parties will have had residents affected or seen for themselves examples of sites for which permission has been granted, yet they have not been built on. It is most frustrating for a community to see that, and we need to put an end to it. We need to get people building on sites more quickly. The grief this causes is not restricted to companies who cannot get on with building because it affects communities themselves—the local communities that draw up their neighbourhood plans and go through the process of getting planning permission. They decide for themselves where they want new building to take place, and that localisation and simplification of the planning process is behind much of the successful new building since 2010 When sites that have gained permission are drowned with pre-commencement conditions, disillusion with the entire planning system sets in. Frankly, it is toxic. We need to make sure that the power to decide where building will take place stays in the hands of local communities, which is why we need to refine the process. This is not—let me be very clear—about taking away any protections or checks; it is about stopping needless bureaucracy and time-wasting. Our intention is that many issues will be resolvable at the same time that the building is under way, making sure that any legitimate concerns are addressed without holding up production of the houses that we need Another key element of the Bill is the completion of our reforms to compulsory purchase. For the avoidance of confusion, this involves purchase at current, not future, use value. The Government do not propose changing the existing fundamental principle that compensation should be paid at market value in the absence of the scheme underlying the compulsory purchase. These proposals are intended to make the compulsory purchase process clearer, fairer and faster for all parties involved in it. The key point is that we are not changing anything like that If we want a much wider range of developers to play their part in building the homes and infrastructure we need, we must remove risk from the process of planning and land acquisition. Needless uncertainty does nothing to protect the countryside or to guarantee good design. What it does is restrict home building to the biggest players. The Bill, however, will give communities the tools that they need to diversify development, enabling both quantity and quality to be achieved in house building. It will also establish the independent National Infrastructure Commission on a statutory basis. I appreciate what was said about that by the right hon. Member for Wentworth and Dearne. The establishment of the commission is the next step in the Government’s plan to improve UK infrastructure, and will help us to deliver our manifesto pledge to invest more than £100 billion in our infrastructure networks during the current Parliament The second piece of legislation, the local growth and jobs Bill, will make an equally important contribution, not least by giving communities a direct financial stake in their future growth. Most important, the Bill will deliver on our commitment to allow 100% retention of business rates by councils, and, moreover, will allow them to reduce the business tax rate. It will also enable combined authority mayors to levy a supplement on business rate bills to fund new infrastructure projects. That will require the support of the business community through the relevant local enterprise partnership, but the potential for locally led infrastructure investment is clear All this takes place within the broader context of localism—of growth and devolution deals throughout our country, and of the decentralisation of billions of pounds of infrastructure funds. Local communities have never had a bigger opportunity to direct their future development. Indeed, who can blame certain Opposition Members for eyeing up those opportunities? With the political undead occupying their Front Benches, a new life in our newly empowered city halls has never looked so enticing. “In the name of God, go!” is what Oliver Cromwell told a previous Parliament. What I would say to Opposition Members such as the shadow Home Secretary who have itchy feet is “Yes, go for it: there has never been a better time to be in local government, with more influence and more power to do things for your local community than ever before.”
ParlaMint-GB_2016-05-19-commons.u280	May I return the Minister to a point that I raised earlier? May we have this on the record? Is the building of a million new homes during the current Parliament a Government commitment?
ParlaMint-GB_2016-05-19-commons.u281	I am not sure whether the hon. Gentleman was present for the first part of my speech, but I made it very clear that yes, we have an ambition to deliver a million homes during the current Parliament It falls to me to have the final word in today’s debate, but in years to come it will not fall to me, to the hon. Gentleman—the Chair of the Select Committee—or, indeed, to anyone else in the House. The final word on transport, infrastructure, housing and other matters that are vital to local growth will not be heard in the Chamber at all. Instead, thanks to this Conservative-led Government, key decisions will be made with communities that have been empowered to set their own course. They will be part of their own destiny. They will be designing, drafting and delivering on their own long-term economic plans, and I am proud to be part of the one nation Conservative Government who are setting them free to do so. That is why this is such an important Gracious Speech. It is delivering for our country, and I commend it to the House Ordered, That the debate be now adjourned.—(Jackie Doyle-Price.) Debate to be resumed on Monday 23 May.
ParlaMint-GB_2016-05-19-commons.u282	I beg to move, That, in accordance with Standing Order No. 149A, the following be appointed as lay members of the Committee on Standards: (1) Jane Burgess and Dr Arun Midha, for a period of six years; and (2) Charmaine Burton and Sir Peter Rubin, for a period of four years As Members will recall, we started in 2013 with three lay members on the Committee on Standards, together with 10 elected members. Let me take this opportunity to thank the three pioneers who were appointed at that time—Sharon Darcy, Peter Jinman and Walter Radar—for their continuing dedication to the work of the Committee. Such has been their impact that in March 2015 the House agreed to the Committee’s recommendation that there should be equality of numbers, with seven elected and seven lay members. Last year, the House of Commons Commission accordingly set in train a recruitment process to select four additional members, and today’s motion is the last step in that process The Commission has produced a report giving much more detail of the process that was followed, but, for the record, I should emphasise that, in accordance with the Standing Order, these candidates were selected on the basis of a fair and open competition. The recruitment panel was headed by an independent chair and was assisted by a recruitment consultant Rather pleasingly, 380 applications were received. After longlisting, shortlisting and final interviews, the panel put forward to the Commission a package of candidates reflecting a mix of skills and experience and a diversity of background, gender, age and geographical location. The Commission was happy to endorse those recommendations, and I would like to put on record our thanks to the recruitment panel for its hard work in identifying such a strong group of candidates from the field Looking at the candidates themselves, I am sure the House will agree that they are not just the usual suspects and that they will bring a broad range of insights and experience to their work on the Committee. In brief, Jane Burgess is the partners’ counsellor and a main board director at John Lewis Partnership; Charmaine Burton is involved in community work and is the host of her own radio show in Birmingham; Dr Arun Midha has experience working with a number of public bodies in different sectors, primarily in Wales; and Sir Peter Rubin is the former chair of the General Medical Council and professor emeritus at the University of Nottingham. Further biographical details of all the candidates are published in the Commission’s report for the information of the House and beyond The House will note that the motion proposes differing lengths of office for these appointments. Lay members may be appointed for fixed terms of up to six years. The appointments are not renewable. On the advice of the recruitment panel, the Commission is recommending that the new appointments be staggered to provide for two terms of four years and two of six years, to militate against the loss of expertise and experience when lay members come to the end of their service I am sure other Members will join me in wishing the new lay members well in their new role. I ask the House to agree the motion for the appointments Question put and agreed to.
ParlaMint-GB_2016-05-19-commons.u283	I rise to present a petition relating to the closure of the Lloyds bank branch in Bredbury, located in the Woodley precinct in my constituency. High street banks play a vital role as part of the make-up of our high streets. They are an important point for people to access their money and to get financial advice. Members of the community will struggle if the bank closes. This is particularly important to elderly and vulnerable people, who may not use online banking facilities. A further local petition on this matter has attracted over 580 signatures. The petitioners therefore request that this House urge the Government to do all they can to prevent the closure of the Bredbury branch of Lloyds bank Following is the full text of the petition: [The petition of residents of the UK, Declares that the proposed closure of the Bredbury branch of Lloyds Bank will have a negative impact on the local area; further that vulnerable members of the community will struggle if the bank closes as most do not use online banking; further that the bank staff deal with many different situations with dignity and care which is vital in a community where there is a large elderly population; further that a number of dedicated staff will be made unemployed; and further that a local petition on this matter has been signed by 580 individuals. The petitioners therefore request that the House of Commons urges the Government to stop the closure of the Bredbury branch of Lloyds Bank. And the petitioners remain, etc.] [P001696]
ParlaMint-GB_2016-05-19-commons.u284	I am very grateful that this debate has been selected. It deals with an important subject, which has gained even greater relevance in recent weeks Kamal Foroughi is a 76-year-old dual UK-Iranian citizen. In 2001, he was working in Iran as a consultant for the Malaysian oil and gas company Petronas. He had never previously been in trouble with the law. He spent his life socialising with friends, playing and watching tennis, and working for Petronas. He had no involvement whatever in politics—in fact, he was glad to be both British and Iranian. However, on 5 May 200l he was arrested by plain-clothes police who refused to show any identification or to explain what was happening. He was given no choice but to get into their car, in which he was driven to the notorious Evin prison. He was held there in solitary confinement for the following 18 months without charge Mr Foroughi was finally told the charges when his trial commenced in early 2013. The trial was conducted by branch 15 of the revolutionary court. It was lacking in even the rudiments of natural justice. He was granted access to a lawyer only the day before the hearing, he was forced to attend the trial without his lawyer, and no record or transcript of the trial has even been produced. Indeed, the Iranian authorities have never publicly mentioned Mr Foroughi’s name, let alone explained why they are holding him. We know that he was sentenced to eight years’ imprisonment: seven years for espionage and one for possessing alcoholic beverages, both of which, of course, he denies. As hon. Members know, the United Kingdom, as part of the P5+1, recently secured agreement with Iran on the joint comprehensive plan of action to deal with its nuclear programme.
ParlaMint-GB_2016-05-19-commons.u285	I thank the hon. Gentleman for bringing the matter to the House for consideration. He will be aware of the UN resolution on human rights in Iran, where there is quite clear and blatant discrimination against ethnic minorities and persecution of Christian groups. Is he aware of any steps that the Home Office has taken to secure Mr Foroughi’s release, or of any discussions that have been held to establish what evidence, if any, exists against Mr Foroughi?
ParlaMint-GB_2016-05-19-commons.u286	I thank the hon. Gentleman for his intervention. On his second point, it is hard to determine whether there is any evidence to substantiate the charges against Mr Foroughi, because the Iranian regime is so lacking in transparency. Even his own family do not know the details of what he has been charged with or the evidence for it. I understand that representations by Her Majesty’s Government have been undertaken by the Foreign Office, and I will come on to those in a minute. The matter has been raised at every level, including by the Prime Minister As I was saying, Members are aware that the United Kingdom has recently secured a deal with Iran on the join comprehensive plan of action. Many of us had reservations about the seriousness of Iran’s intent in concluding that deal. Its underlying purpose is to secure a path for Iran to normalise its international relations. In regard to that, the complete lack of transparency shown by the regime in relation to Mr Foroughi’s case is a worrying indication. It demonstrates a disregard for basic international norms against arbitrary detention and for the right to a fair, public, independent and impartial trial This May marks the fifth anniversary of Mr Foroughi’s detention. His son, my constituent Mr Kamran Foroughi, is up in the Gallery today, and I take this opportunity to pay tribute to him for his tireless efforts to secure his father’s release. He has been joined by many other Members of this House in that campaign, and I pay tribute to them for the work that they have undertaken In today’s debate, I seek to draw attention to Mr Foroughi’s case, to make the case for his release on humanitarian grounds and to show the world—and, most importantly, the Iranian regime—that his case has not been forgotten. That is well represented by the fact that more than 130,000 people have signed a petition calling for his release on compassionate grounds. That really demonstrates how many people care about his plight. Since my constituent chose to go public last year, I have raised this case on two occasions in the House, and I have met my hon. Friend the Foreign Office Minister with Mr Kamran Foroughi to discuss ways of securing his father’s release. I know how seriously my hon. Friend the Minister takes this case. I am pleased that the Prime Minister has personally raised it with President Rouhani. I know that the Foreign Secretary has raised it with his opposite number in Iran, and that representations have been made by my hon. Friend the Minister One of the challenges faced by Ministers is the fact that Iran does not recognise that the United Kingdom Government have any locus in relation to dual UK-Iranian citizens. That puts them at particular risk when they travel to Iran. We have seen that in relation to both UK-Iranian citizens and US-Iranian citizens, and it appears that the Iranian regime views them with particularly intense suspicion. Their rights are often trampled on by the Iranian judicial system, and, given the stance taken by the Iranian regime in relation to dual citizens, it is very hard for them to be represented properly by their home Government Previously, the Foreign Office has warned of the risks faced by British travellers to Iran from “high levels of suspicion about the UK”, arbitrary detention, and “the UK Government’s limited ability to assist in any difficulty” The Foreign Office used to make reference to a case in 2011, which we presume was the case of Mr Foroughi. That guidance has recently been removed, and I would be grateful if the Minister could address the risks faced by British citizens travelling to Iran, and the reasons for the change in that advice, when he responds to the debate. This risk has been very vividly illustrated in recent days by the case of Mrs Nazanin Zaghari-Ratcliffe, another dual UK-Iranian citizen. Nazanin was visiting family in Iran in early April when she was detained by members of Iran’s Revolutionary Guard at Iman Khomeini airport in Tehran. She was transported 600 miles south to Kerman province, where she has been kept in solitary confinement. Her 22-month-old daughter, a—sole—British citizen, was stripped of her passport and taken away from her mother at the airport I know that all our hearts will go out to Nazanin, her husband Richard and her family for the suffering that they have endured. My constituent Mr Kamran Foroughi has been in touch with Mr Ratcliffe, and they have been a source of comfort for each other during this extremely difficult time This case illustrates the fact that the Iranian regime is alert to international coverage and representations. Since Nazanin’s case secured a lot of coverage in the media, she has in fact been released from solitary confinement and has been given very limited access to her daughter. Although that is clearly well short of the full and immediate release that her case demands, it is a welcome signal Similarly, in Mr Foroughi’s case, there are urgent humanitarian grounds for his release. Not only is Mr Foroughi an elderly man, but in 2011, before he was detained, his London-based doctor informed him that he was at risk of developing cancer and required regular check-ups. Since his detention, Mr Foroughi has received only one medical check-up, which took place last November. Again, that happened only after international attention had been drawn to Mr Foroughi’s case. Sadly, his family still do not know the outcome of that check-up, which is a source of considerable concern for them Given that Mr Foroughi has three years left to serve, my constituent and his two girls—Kamal Foroughi’s grandchildren—are very concerned that he will die in prison, isolated and alone. Iranian law allows somebody to be released early if they have served a third of their sentence. As Mr Foroughi has served over half of his sentence, I really urge the Iranian authorities to show some humanity and urgently release this elderly man purely on compassionate grounds so that he can finally be reunited with his children and grandchildren.
ParlaMint-GB_2016-05-19-commons.u287	I congratulate my hon. Friend on securing this debate about his constituent Mr Foroughi. He mentions that the right thing to do—purely on compassionate grounds, without any reference to the Iranian justice system—would be to release Mr Foroughi. Does he agree that, since Islam is a religion of compassion, releasing Mr Foroughi would also be the Islamic thing to do?
ParlaMint-GB_2016-05-19-commons.u288	My hon. Friend is absolutely right. That approach has been taken by Mr Foroughi’s family. To put aside my earlier criticisms of the manner in which his trial was conducted, however the Iranian regime may dispute such criticisms, it really cannot dispute the compassionate and, as my hon. Friend says, the Islamic grounds for his release, which are that he is a very elderly man suffering from cancer.
ParlaMint-GB_2016-05-19-commons.u289	I, too, congratulate my hon. Friend on putting forward this case so articulately. May I suggest that, as well as its being compassionate, humanitarian and Islamic, it would also be very diplomatic for the Iranian authorities to do this? They seem to be showing some sort of compassion towards Mrs Ratcliffe, about whom one of my constituents has written to me. It is important that the Iranians realise the extent of the coverage and awareness of these cases, and the positive signal this would send to this country and to many people here who are worried about such cases. If Iran really wishes to improve her relations with the United Kingdom, this would be a wonderful way of making an appropriate gesture.
ParlaMint-GB_2016-05-19-commons.u290	I completely agree with my right hon. Friend. I was coming on to the point that UK-Iranian relations are in general improving, and it would be a very good signal of the warmth of those relations if the release took place. I understand that the Iranian Government have made the legitimate point about the separation between the judiciary and Ministers, but I feel that Ministers should bring to bear every kind of pressure they can to secure that release Sadly for Mr Foroughi’s family, they have suffered considerable ups and downs in relation to his case. They were initially advised that if they kept quiet about it, his release could be secured. That did not happen, so they eventually took the very difficult decision to go public. There were indications from the Iranian regime that he might be released on both the fourth and fifth anniversaries of his imprisonment. Again, that did not happen. The family’s fear now is that he may face the fate of other prisoners who, at the end of their original sentence, are then charged with further crimes, leading to longer and possibly indefinite spells in prison I would be grateful if the Minister could update the House on his understanding of the current status of Mr Foroughi’s case and what further steps the Government plan to take over the coming months to facilitate the release of both Mr Foroughi and Nazanin Zaghari-Ratcliffe.
ParlaMint-GB_2016-05-19-commons.u291	I thank the hon. Gentleman for giving way again; he has been very gracious. The issue I want to bring to his attention is the gentleman’s medical condition. We all know that cancer can be exacerbated by stress and poor conditions. The hon. Gentleman has asked the Minister what contact he has had with the Iranian authorities, but could he also ask whether regular medical checks can be made, because those are very necessary at a time of critical medical and health needs?
ParlaMint-GB_2016-05-19-commons.u292	The hon. Gentleman raises an important point. I was slightly loose with my wording earlier: the fear is that Mr Foroughi has cancer. Because he has had only one check-up, the family do not know whether cancer has developed, which adds to the worry. Again, it is a solid humanitarian basis for him to have regular check-ups and, frankly, for his release. Releasing him would be compliant with Iranian law because he has already served a significant proportion of his term Releases have taken place in the past. I was pleased to see that in January four American-Iranian dual citizens were released, including the journalist Jason Rezaian who had been detained for two years. Again, I would be grateful if the Minister could explain to the House what lessons might be learned from those cases. I know that they are not directly comparable, but it would be helpful to understand the distinctions As I said earlier, UK-Iranian relations continue to improve overall, but many hon. Members would take it as an indication of the seriousness of the Iranian Government’s commitment to improving Anglo-Iranian relations if they were to use every means at their disposal to secure the release of both those citizens and others in similar situations. I will conclude my remarks by conveying a message from Mr Foroughi’s son and grandchildren. It is simple—“Please let Grandpa come home.”
ParlaMint-GB_2016-05-19-commons.u293	I congratulate the hon. Member for Hertsmere (Oliver Dowden) on securing the debate and thank him and the Minister for allowing me to make a short contribution. I welcome the recent improvements in relations between the UK and Iran, and I hope that this will provide some space and an opportunity for the Foreign and Commonwealth Office to raise human rights issues with the Iranian authorities and have a constructive dialogue with them Mr Foroughi’s case, which I have raised previously with the Foreign and Commonwealth Office, is distressing and perplexing. It is unclear what the charges against him are. Mrs Zaghari-Ratcliffe’s case is very similar. Some 150,000 people have signed the change.org petition in support of her release. Both she and Mr Foroughi appear to have been subject to arbitrary detention. In the absence of any justification from the Iranian authorities, we have to come to that conclusion I am aware from a parliamentary answer that I have received that the Foreign Secretary has discussed Mr Foroughi’s case with the Foreign Minister, Dr Zarif. Can the Minister give any indication of whether the Iranians are considering changing their position in relation to dual citizenship? Are they willing to consider doing that? Can the Minister confirm when the Foreign Secretary will next raise the cases of Mr Foroughi and Mrs Zaghari-Ratcliffe with the Foreign Minister? If the UK authorities are not allowed access, could the FCO request access by another organisation, such as the Red Crescent or local humanitarian organisations, or does the Minister think that that would not, regrettably, deliver any results? I hope he would agree that as Iran opens up and more businesses from the UK go out to develop relationships there—I suspect that these will often be initiatives driven by British-Iranian citizens—they need to have certainty that if they do go to Iran, whether on business or to visit family, they will be able to return. Otherwise, those business and family links will not be established or will not be able to be re-established as Iran opens up to UK citizens and UK trade I wish to raise one final issue. Many Members will know that the fate of the Baha’is in Iran is difficult, and the Minister will be aware of the case involving 24 Baha’is who were sentenced to 193 years in prison by a Gorgan court. Although probably not a matter for this debate, is it one he is pursuing? Perhaps he would write to me about it with an update on the situation there.
ParlaMint-GB_2016-05-19-commons.u294	First, I pay tribute to my hon. Friend the Member for Hertsmere (Oliver Dowden) for securing this important debate and for the measured tone he has adopted in raising this delicate matter. As he implied in his speech, he has not just brought this to the Floor of the House today, but has been pursuing it and supporting the family for a long period. We have met on a number of occasions and I have been grateful for the support and communication he has provided to me in being able to place light on this, and improve the communication with the family and make the case to the Iranians. I am very grateful to him for the approach he has adopted My hon. Friend pointed out that we are dealing with dual nationality here, which is critical to this case in comparison with others. It is important to make it clear to the House that Foreign Office support for those who carry two passports, who have two nationalities, is different from that provided to those who have a single British passport. Ownership of that second passport obligates the citizen to that second state, and the laws and processes it has in place. From my Foreign Office consular policy perspective—this is consistent through not just our Government, but previous Governments—I can say that we do not normally provide the same level of assistance to dual nationals in the country of their second nationality, unless there are extreme, exceptional circumstances, for example, humanitarian grounds, health conditions and so on. It is important to make it clear that there is a distinction between the two Today, we are considering a case in Iran, which does not recognise a dual nationality, regardless of what that country is, be it Britain or otherwise. Iran formally does not recognise another country in terms of intervening in any way whatsoever. Although we disagree with that position on dual nationality when we speak to the Iranians, we need to understand it and place it into context. I have also explained in my meetings with the Iranians that the reason why Britain, the Foreign Office and Parliament take an interest in these things is that these individuals do hold a British passport, hence there is an interest and we therefore request that dialogue in certain specific cases Let me step back from consular matters per se, as my hon. Friend did touch on this point. Following the nuclear deal, we are seeing Iran enter a new chapter of opportunity for transition—I choose my words carefully, because there is an awful lot to move forward in order for this opportunity to come to fruition. Our embassy has reopened in Tehran, visits are now taking place in both directions and trade opportunities are also being explored.
ParlaMint-GB_2016-05-19-commons.u295	My constituent Councillor Jill Houlbrook, a former lord mayor of Chester and the auntie of Richard Ratcliffe, whose wife Nazanin has been detained, will be most relieved and gratified to have heard the contribution by the hon. Member for Hertsmere (Oliver Dowden), and the delicate but persuasive way in which he put it. The Minister talks about Iran opening up, and the Chairman of the Defence Committee mentioned that Iran might be opening up and also opening out. The Minister will be very cautious about his dealings with Iran, but does he detect an improvement in the tone of Iran that might assist us in resolving the cases that the hon. Member for Hertsmere spoke about so eloquently?
ParlaMint-GB_2016-05-19-commons.u296	The hon. Gentleman makes an important point. The atmosphere developing between our two countries is providing greater opportunities to raise delicate matters. I will, if I may, come on to that point later, and I will also, time permitting, touch on the Mrs Ratcliffe case in a second With that embassy opening, there are more opportunities for bilateral meetings to take place. A series of meetings have already taken place at a number of levels. Most recently, the Foreign Secretary raised Mr Foroughi’s case with Foreign Minister Zarif in the margins of the International Syria Support Group. The meeting took place on Monday of this week. Yesterday afternoon, in preparation for this debate, I met Iran’s chargé d’affaires, Mr Habibollahzadeh, to discuss Mr Foroughi’s case The Prime Minister and the Foreign Secretary raised Mr Foroughi’s case with Foreign Minister Zarif in London in February, and the Prime Minister wrote to President Rouhani last year, and also discussed Mr Foroughi’s case with him in January of this year. The Foreign Secretary raised Mr Foroughi’s case during his visit to Tehran in August 2015 when our embassy was reopened. We have also been utilising our partnership relationships with Germany, France and Italy to get them to lobby the Iranian Government on our behalf There has been a huge amount of effort at the very highest of levels to raise these matters. On a consular level, the team in the Foreign Office is working to support the family and to make sure that we are providing the consular assistance that is expected In answer to the questions of the hon. Member for City of Chester (Christian Matheson), the reopening of the British embassy on 23 August last year has enabled us to have face-to-face discussions about a series of consular cases—not just the two that have been mentioned here today. He asked specifically about the direction of travel. We have seen the results of the Majlis elections and the panel of experts. Clearly, that is an indication that Iran wants to move in a new and welcome direction, but there is a long way to go. Part of that includes showing that discussions on sensitive matters such as this can also take place at the same time My hon. Friend the Member for Hertsmere asked a couple of questions, to which I will now turn. First, our travel advice explains that the security services in Iran remain suspicious of individuals with links to the UK, and we advise travellers to keep in close contact with friends and family. British nationals, including dual nationals—British-Iranian nationals—face greater risks at present than nationals from other countries My hon. Friend asked about the medical checks for Mr Foroughi. Again, we have asked the Iranians to ensure that he receives regular medical check-ups. The Iranians have confirmed that he now has access to a doctor.
ParlaMint-GB_2016-05-19-commons.u297	Specifically on that point, it is important to know not just whether the check-ups are taking place, but what the outcomes are. Can diplomatic efforts be made to secure the outcome of those medical checks, particularly to comfort Mr Foroughi’s family?
ParlaMint-GB_2016-05-19-commons.u298	My hon. Friend makes an important point. I will make sure that that is passed on to the Iranians. The family should be kept more readily informed of the medical condition of Mr Foroughi. May I also pay tribute to Kamran Foroughi, whom I have had the honour to meet? He has been working on this extremely diligently, and he is doing his best, in a measured and constructive way, to shine a light on this matter in a way that will lead to results Going to the media is a double-edged sword. Sharing the story and having it on front pages can have an adverse effect. Without reference to this case, I can say that the reaction to discussion of other consular cases in the media has delayed matters, caused frustrations and affected sensitivities. In other cases, media attention has highlighted matters and could be perceived to have moved things on. It is the family’s call in all cases. I simply make the humble point that it always makes sense to work with the Foreign Office and consular staff so that our strategy to leverage change and ensure that an individual is able to leave or whatever they are requesting to do is as efficient and expeditious as possible I was asked when would be the next opportunity to raise this matter. I will seek to meet Dr Zarif, the Foreign Minister, in Helsinki next week at a conference. It will be another opportunity to keep the matter to the fore Nazanin Zaghari-Ratcliffe is another dual nationality case. She was arrested on 3 April and has not been charged. She has a very young daughter in Iran. We have provided consular support to Mrs Ratcliffe’s family since we were first made aware of the arrest. I met Richard Ratcliffe yesterday to discuss the matter and I raised it at my meeting with the Iranian chargé d’affaires when I met him in the afternoon. I understand that the daughter is now with her grandparents, which is good news, and I welcome the fact that Mrs Ratcliffe has been released from solitary confinement We are concerned about Mr Foroughi’s continued detention. I understand that it is both worrying and distressing for his family, and we are doing all we can to support them.
