ParlaMint-GB_2016-03-03-commons.u1	1. What recent progress has been made on improving access to broadband in urban areas.
ParlaMint-GB_2016-03-03-commons.u413	St David’s day, 1 March, is a national day of celebration in Wales. It is a day on which to celebrate Wales and being Welsh. We are a proud nation of culture, literature, song, art and sport. I congratulate the Wales women’s rugby team on recently beating Scotland and France at the Knoll ground in my constituency and on qualifying for the world cup. That is a great achievement. It would be remiss of me not to mention squash—the game, not the drink—because in a former life I was the national coach for Squash Wales. As a small nation, we have always punched above our weight and medalled on many occasions, including the European Championships, in many countries. That leads me to what I want to talk about today, which is the importance of staying in Europe In my constituency of Neath and across Wales, we enjoy great opportunities and great benefits as a result of EU membership. I pay tribute to Derek Vaughan, our Member of the European Parliament for Wales, who is vice-chair of the budgetary control committee in the European Parliament. He has fought for the benefits that Wales receives. He is a former leader of Neath Port Talbot County Borough Council, and he has used his great experience and knowledge as a former leader of the Welsh Local Government Association to fight for Wales in Europe Wales is a net benefactor from the EU to the tune of £838 million a year. Moreover, the lower prices, higher job numbers and increased trade and investment that come from our membership of the EU are worth more than £3,000 a year to the average Welsh household. That is 10 times more than the £274 that each household pays in The EU is without doubt the biggest, richest market in the world, upon which, according to the Centre for Economics and Business Research, 191,332 jobs in Wales depend. The economic benefits are clear: for the 2014 to 2020 period, Wales will receive £4.9 billion from the common agricultural policy and structural funds. It is estimated that, over time, the UK could lose as much as 6.1% to 9.5% of our GDP following an exit from the EU. In my constituency, the EU has created 1,120 jobs, helped 6,680 people into work, granted access to further education for 3,490 people and helped 13,630 to gain qualifications. The help in my local authority area—that of Neath Port Talbot County Borough Council—that the EU has provided to enterprises has meant that 670 have been assisted and 420 have been created One of the best examples of EU funding benefiting my constituency is the newly relaunched Workways Plus scheme, which is led by the local council and has received £7.5 million in EU funding. It offers training and paid work experience opportunities to 4,000 long-term unemployed people to help get them back into work. The support targets disadvantaged people, helping them to take their first steps to re-engage with or enter the labour market; the scheme offers one-to-one mentoring, and support with job-seeking and interview skills. The programme targets individuals affected by work-limiting health conditions and disabilities, as well as those with care responsibilities and low or no skills. It is the perfect scheme to get people back into work, and it continues a similar EU-funded scheme that ran across south-west Wales between 2009 and 2014, which was an enormous success and showed the true benefits that EU funding can bring to our communities Not only are there jobs that have benefited from EU funding, but the effects of our membership have benefited the infrastructure in Neath. EU regeneration funds have been used expertly by Neath Port Talbot County Borough Council to regenerate many town centres across the constituency, and this, in turn, has revived the use of these town centres and has helped the local economy get back to strength after tough economic times. Crucially, EU investment and involvement would also help aid the UK steel industry, as my hon. Friend the Member for Aberavon (Stephen Kinnock) said. The UK Government should follow the example of the Welsh Government, who have taken full advantage of our membership of the EU to help fund many of their projects and schemes, such as Jobs Growth Wales, which have helped get the Welsh economy, and the jobs and skills market, back on track Business leaders have already warned that leaving the EU would amount to a step into an “Abyss of uncertainty and risk.” The path for a potential exit is unclear; it has been likened to getting off a bus and into a car, which sounds a dangerous prospect to me. My constituents cannot afford this uncertainty as the negotiations conclude and then a potential exit is negotiated. The economic reality for Wales and for my constituents in Neath is such that Brexit would be disastrous for our jobs and prosperity, not to mention for the benefits we all enjoy, such as workers’ rights, environmental protections, consumer safeguards and free movement The Conservative party has treated the issue of our membership of the EU as a political football for many, many years, and the Prime Minister has put so many jobs, businesses and projects in my constituency on the line just to appease his own Back Benchers. Rather than address the necessary reforms of the EU in a constructive manner from inside, we face the prospect of an exit, which will be a disaster for neath and for Wales as a whole I cannot speak about matters important to Wales without mentioning another critical issue—the ongoing farce that is the Wales Bill, which, as originally drafted, met with criticism from all sides, including the Welsh Affairs Committee of this House. To make matters worse, we learn, not in this House but from the media, that the Bill is now on pause, pending a major overhaul. As the First Minister said, we are back to where we started. How can the Conservative party justify putting Wales’s economic development and prosperity at risk with its mishandling of this Bill and of our relationship with the EU?
ParlaMint-GB_2016-03-03-commons.u414	I am grateful to have the opportunity to speak today. I congratulate the hon. Member for Aberavon (Stephen Kinnock) on securing this debate. I am very conscious of what he said about different Members having different matters to raise, as I have several areas of concern that I would like to discuss. I thought I would do that by taking Members on a very quick geographical tour of the south Wales coastline I will start at Cardiff Bay, the seat of the National Assembly for Wales. During my time as an Assembly Member, I fell upon what must be one of the most scandalous episodes in Welsh devolution. One of the main jobs of any Government is to ensure that the public receives value for money, but I am afraid that, in this tale, the public received absolutely no value from the Welsh Government in the Regeneration and Investment Fund for Wales. It is crucial that Governments attach the highest importance to public assets, but, on this occasion, the Welsh Government not only sold land for an incredible amount under its true value, but seemed completely complacent during the process of the sale. There was huge weakness in the oversight of this project. It is incomprehensible that the “jewel in the crown” site at Lisvane in Cardiff was sold to a preferred purchaser for £l.8 million, when its potential open market value for housing was at least £39 million.
ParlaMint-GB_2016-03-03-commons.u415	The Welsh Government sold the land in Lisvane in Cardiff North, the most valuable land in Wales with the richest agricultural output, for £15,000 an acre, when it is worth £1.2 million an acre. It is a national scandal. If it had happened in this House, does my hon. Friend think that people would have been held to account and that there would have been resignations?
ParlaMint-GB_2016-03-03-commons.u416	I am absolutely sure that my hon. Friend is right. I am amazed that the First Minister did not hold anyone to account and sack them. That perhaps speaks volumes Indeed, Guernsey-based South Wales Land Developments, the preferred purchaser, which bought 15 sites for £21 million, has made £19 million by selling just a few of them. That casts a very dark shadow over what the Welsh Government were doing during the process. The cavalier approach to the disposal of public assets is quite disturbing. Furthermore, questions must be asked about the valuers, Lambert Smith Hampton, and the fund managers, Amber Infrastructure, which gave the Welsh Government extremely poor advice There have been two recent reports on the Regeneration Investment Fund for Wales by the Wales Audit Office and the Welsh Assembly Public Accounts Committee, both of which are damning in respect of all parties involved in the deal. The Wales Audit Office made it clear that effective oversight of the project was difficult because of the governance weaknesses in establishing the RIFW. I know that the Serious Fraud Office has taken a look at the matter, but how deep did it go? I would like it to reassess any new evidence. Anything the Wales Office can do to get to the bottom of the issue would be very welcome Moving on further down the coastline, we come to the steelworks at Port Talbot, which plays a huge part in the landscape of south Wales. It is a crucial part not just of the economic fabric of the country, but of the social fabric, and nowhere is that truer than in my constituency of Gower. For decades, the works has provided for people across south Wales. They either work directly at the plant or in the supply chain. Indeed, the community surrounding the steelworks has survived, and indeed thrived, because of the plant. It is a crucial part of the community, and it is vital that we work together to ensure that the industry has a successful and prosperous future I have met Ministers and discussed their efforts to help the steel industry win procurement contracts. I am sure that my hon. Friend the Minister will help where he can to stimulate the demand for steel, which will have a positive knock-on effect on opening up opportunities in the supply chain in Wales. I recently visited Rosyth in Scotland to see the new aircraft carriers and was delighted to learn that 94% of the steel used in their construction was British steel Continuing our journey around the south Wales coastline, we come to Swansea Bay and the Swansea tidal lagoon. Much political point-scoring has been attempted on this, particularly in the local press, which is rather a shame. We are all at one—we all want to see the scheme developed. It will be a pilot scheme and we should realise that it will cost an awful lot of money to develop. There will be a great deal of public money involved, but it is the first of what could be several schemes. The Government are right to sit down and look at the whole thing in the round. I hope we will see it developed one day, and I know that other politicians in the area share that hope I was delighted with the recent announcement from Sir Terry Matthews about the Swansea Bay region. That scheme needs to be pushed along, perhaps through an elected mayor system. I am keen for that debate to be opened in Swansea. We need more infrastructure in Swansea, such as a parkway railway station. At present there is Swansea railway station at one end of the town and the bus station at the other end. For a successful bay region, we should consider that I shall move quickly round to the Burry inlet and talk about my constituency and the north end of Gower, the first area of outstanding natural beauty in the UK. I want to speak about the loss of the cockle industry and the loss to the economy of about £23 million over 10 years. That was once an extremely successful industry in Gower that supported the community and was the livelihood of many people. Now there is a 95% mortality of the cockles when they get to one year old. They should live to four or five years old. They are usually harvested when they are 18 months to two years old, but can be harvested up to about five years The problem has existed for about 10 years. The cockle beds have never recovered since 2005 when the mortality started. In 2000, this area had the best cockles in Europe and exported to France and Spain, bringing tens of millions of pounds into the region. The cockles are no longer suitable for the high-end market and there is a limit to how many small cockles can be sold. The nucleus of the cockle industry is Penclawdd and there are questions about its viability now that the main processor has been taken over by a Dutch company Local cocklers are unable to guarantee a regular supply of cockles to the processors. The season starts in May but is finished by July, whereas it used to be a year-round business. The cocklers believe that the cockles are being killed by discharges of sewage from waste treatment plants on the south Carmarthenshire side and from sewage works at Gowerton. Samples have been taken of dead and rotting cockles and of some live ones and these have been analysed, but we have never seen the results. The cocklers are calling for further scientific research, including a parasitology investigation, which has never been carried out before and requires funding from the Welsh Government. Research has discovered that each cockle in these waters carries up to 29 different types of parasite, many times more than is found in cockle stocks elsewhere in the UK and along the Atlantic seaboard from north Africa up to Scandinavia There are 35 licences still in existence in the Burry inlet and 25 of them are still being used. People are paying for licences but cannot make a living. In the 1960s and 1970s, up to 100 people were working there, gathering cockles 52 weeks a year. The licences cost £700 a year but they can no longer be transferred to sons or relatives, who have to go on a waiting list to be given a licence. There are still 120 people on the waiting list in Gower. There is much hope in the community that the industry will recover, and here in this House we must do all we can to support the efforts to help the industry When I was an Assembly Member I raised the matter many times in the Chamber. Since I have been a Member of this House I have written to the Welsh Government to try to get them to fund an inquiry into why the cockles are dying. To date I have had no success. We need to find the cause of this problem and ensure that the cocklers whose livelihood has been greatly affected are treated with the respect and dignity that they deserve to get this great product and industry thriving again. Anything that the Wales Office can do to encourage the Welsh Government into action would be very welcome.
ParlaMint-GB_2016-03-03-commons.u417	I congratulate my hon. Friend the Member for Aberavon (Stephen Kinnock) on securing this important debate on Welsh affairs, which marks St David’s day I would like to focus on three issues, albeit briefly. First, there is no doubt that Wales has been hit hard by the UK Tory Government’s austerity measures. In my constituency advice surgeries, the most common theme is the hardship people face due to the welfare reform agenda being pursued by the Tory Government. I think there are Tory Members who do not understand the situation people find themselves in Specifically, the spare room subsidy, or bedroom tax, is harming people in my constituency and across Wales. A report by the Welsh Affairs Committee in 2013 showed that Wales was disproportionately affected compared with the rest of Britain, and that remains the case. This tax is, quite frankly, the most unfair and pernicious since Margaret Thatcher’s poll tax I have spoken with staff at my local citizens advice bureau in Merthyr Tydfil, who have told me about the many cases they regularly see coming through their doors—people who have nowhere else to turn. Those clients already have a number of other significant issues in their lives, and the bedroom tax only adds to them. Some of those people are now in rent arrears because of it, and some could lose their homes. That could have massive consequences, and for those who are physically or mentally disabled, it could result in even more severe issues, such as homelessness, suicidal thoughts, substance misuse or further debt—a downward spiral Unfortunately, in many communities in my constituency, there is not a huge number of smaller properties. Therefore, people affected by the bedroom tax decide either to stay in their property, thus incurring a financial penalty and placing great strain on their ability to manage, or to move to a smaller property, which can often be in a village some miles away. I have spoken with constituents who are in debt for the first time because of having to pay the bedroom tax. Food bank usage has increased massively, which is totally unacceptable in 21st-century Britain The second issue I want to focus on is the forthcoming EU referendum. As other Members, including my hon. Friends the Members for Aberavon and for Neath (Christina Rees), have outlined, Wales has benefited considerably from EU investment. Projects right across Wales have been delivered using EU funding, which is vital in helping to create a skilled and inclusive labour market and in driving economic prosperity.
ParlaMint-GB_2016-03-03-commons.u418	When we had the first round of funding, the then First Minister, Rhodri Morgan, said it was a once-in-a-lifetime opportunity, but here we are now with a third round of funding. Would the hon. Gentleman like to comment on that?
ParlaMint-GB_2016-03-03-commons.u419	EU funding is important, and it has benefited Wales considerably—the evidence is there in terms of jobs and the businesses that have been supported—but there is still work to do. [Interruption.] If I may, I will carry on A key example of the projects I mentioned is the Welsh Labour Government’s Jobs Growth Wales fund, which has supported more than 15,000 young people across Wales since 2012, when it was created in response to the Tories’ scrapping of the future jobs fund. Using £25 million of European funding, the programme has supported countless young people. There are many more examples of how the EU has benefited Wales, which is why it is so important for Wales that the UK remains a strong part of the EU I turn now to the Wales Bill. As the party that established the Welsh Assembly, the Labour party supports the additional powers for Wales proposed in the draft Bill, but we had significant concerns about how the Assembly’s powers were rolled back in other parts of the Bill. It is fair to say that the draft Bill was not met with universal support. In fact, despite the Welsh Affairs Committee having witnesses from various aspects of Welsh life, it was a struggle to find anyone who had anything positive to say about it. I am pleased that the Secretary of State has finally listened to the overwhelming body of evidence from experts, lawyers and politicians from all parties, and to the Committee’s recent report. The Bill is deeply flawed and I welcome the fact that he is now not pushing ahead with it in its current form. Labour Members have been raising concerns about the Bill since its publication last October. If those concerns had been listened to then, perhaps we would not be in this situation now. Only last month, in the Welsh Grand Committee, many of the same concerns were again raised with the Secretary of State, who at that point, just a few short weeks ago, was defending many of the provisions he now seems to have binned It is only fair, right and proper that Members of this House, and indeed members of the Welsh Affairs Committee, have clarity about the detail of what the Secretary of State announced on Monday. Specifically, we need to know if anything is going to replace the necessity test, what system will be used for Minister of the Crown consents, and how different the list of reservations will be. It is imperative that the Secretary of State gets the Bill right this time and sticks to a timetable. Any delay means a consequent delay in the powers being transferred to the Welsh Assembly. It is also important that the Secretary of State and the Government fully consult the Welsh Government to iron out the practicalities The fact that the Secretary of State has presented a radically different Bill from the one that the Select Committee scrutinised may be problematic. The Committee’s report states: “Whilst this pre-legislative process has flushed out views, it has also made it apparent that the final Bill will be significantly different to that which we have been scrutinising. That is wrong. Whilst changes and improvements are what this process seeks to provide, the weight of the evidence we received has meant we have had to focus on fundamental principles of the draft Bill rather than the specifics of the text. The Government should have focused its effort on resolving these matters of principle, before proceeding with a draft Bill.” The Secretary of State said that he wanted a lasting devolution settlement that would resolve the constitutional situation for a generation, and I am sure that is what we all want. The best way to get it is to consult and negotiate with all stakeholders, such as the Welsh Government, the Welsh public sector, and other key interested parties to get broad agreement on the direction of travel and iron out the practical difficulties and issues. Ideally that should have been done before the Bill was put to this House, but it should be done now. The Bill is deeply flawed as it stands, and progress is needed. I urge the Secretary of State—who is now, thankfully, in his place—to get things back on track.
ParlaMint-GB_2016-03-03-commons.u420	I am sure that Welsh Members who see me, as an English Member, rise to address this debate will be a little curious as to my intentions. Let me reassure them, and the House, that I am not here to assert my historical right to use my crossbow with extreme prejudice on any of their fellow countrymen I might find within the walls of my beloved city after the hours of darkness. It is a historical right but I certainly do not intend to assert it In fact, I hope to give something of a mirror image of the speech by the right hon. Member for Clwyd West (Mr Jones) about the importance of cross-border working between north Wales and my area of west Cheshire and Merseyside. He talked about a border that does not exist. That border might have prevented me from taking part in this debate, but, as he said, it is a border in name only. Indeed, Colin Brew, chief executive of West Cheshire and North Wales chamber of commerce—a cross-border body—tells me that business, in particular, does not recognise the border. When the Minister was at a North Wales CBI dinner just before Christmas at which I was also present, he felt very confident and positive about these matters, and he is well aware of the importance of this strategic area Let me give some examples. Of the 5,000 skilled manufacturing workers at Airbus in Broughton—which is, in essence, in Chester but across the border in north Wales—at least 600 live in my constituency. The situation is similar for other major manufacturing employers, such as Toyota and Tata Steel on the Deeside industrial park, which my good friend and parliamentary next-door neighbour, my hon. Friend the Member for Ellesmere Port and Neston (Justin Madders), visited last week because so many of his constituents work there It works both ways. For example, Bank of America MBNA is one of Chester’s most prestigious employers and is based on Chester business park. It employs about 3,500 people, a third of whom live in north Wales. The cross-border region has a population of about 1 million, 81% of whom work in the region, but whether they live in north Wales and work in England, or the other way around, is scarcely relevant for them I was pleased to join noble Lords, right hon. and hon. Members of all parties and local government representatives from the Mersey Dee Alliance at a meeting—this was mentioned by the right hon. Gentleman—of the all-party group for the Mersey-Dee north Wales region, which is chaired by my hon. Friend the Member for Wrexham (Ian C. Lucas) and has been formed to drive forward in Parliament and Government the concept of the Mersey Dee Alliance. The group and the alliance will work together to prevent needless duplication; propel economic growth; provide flexibility for greater cross-border co-operation within the parameters of existing local government frameworks; and, above all, overcome administrative differences created by the national boundary running through a successful and functioning economic region I reject the Government’s notion of a northern powerhouse. I believe it is nothing more than a slogan from a Government who are very adept at using slogans to hoodwink and mollify those of us outside London and the south-east of England while our imbalanced economy continues to grow at an imbalanced rate in an imbalanced direction Given that economic growth in north-west England is focused on the big cities, there remains a danger that Cheshire and north Wales will be squeezed out. The MDA initiative will give us strength to stand our ground, stand up to that squeeze and punch at our true weight. Discussions are currently taking place about local government reorganisation in England. Anything that would force Cheshire West and Chester to look the wrong way, as opposed to across the border, would be very unhelpful to north Wales, as well as to Chester. I ask the Minister to bear that in mind in his discussions with the Treasury and the Department for Communities and Local Government If we are to maximise the natural economic link between north Wales and Chester, we must optimise our infrastructure, which is important to north Wales and west Cheshire. As the West Cheshire and North Wales chamber of commerce has said, this is all about connectivity. I want to give the Minister a couple of examples of how it might be improved For starters, the M56 motorway in Cheshire must be upgraded. Although it is in England, it is the main link road to north Wales—people also use it to get to Holyhead and Ireland—and it provides the principal access to industrial zones in Deeside and to industrial parks in Wrexham via the A483. Serious accidents and major delays are a weekly occurrence, but Department for Transport Ministers have declined to include the upgrade of the M56 to a smart motorway in any programmes before 2020. Will Wales Office Ministers have words with their Department for Transport colleagues and impress on them the importance of that link road to north Wales, including its role as a driver of the north Wales economy We also hope to get a new bridge over the Dee near Broughton, which would link the A55 and A494, thereby improving access to the industrial zones I have mentioned, particularly near the Airbus site, and increasing capacity and resilience in the network. I have written to the National Infrastructure Commission in support of that major project and I ask Ministers to seriously consider supporting the proposal There is also a strong case for the electrification of the north Wales coast line, from Crewe to Chester and on to Holyhead. The Minister and the Under-Secretary of State for Transport, the hon. Member for Devizes (Claire Perry), who has responsibility for rail, attended a meeting in Llandudno last year. She expressed the view that electrification was not the magic bullet that many of us believe it to be. It is the view of Mersey Dee Alliance members, however, that electrification of the line is necessary for performance, capacity and reliability, and to run larger electric trains from Holyhead to London. The right hon. Member for Clwyd West mentioned the importance of linking it to HS2 in Crewe. I do not want the benefits of HS2 to terminate at Crewe; I want them to extend to Chester and north Wales It is important for the future prospects of Cheshire and north Wales that the UK votes to remain in the European Union, as other hon. Members have said. So many of our major employers in the Mersey Dee Alliance area are dependent on our relationship with Europe. Airbus is the obvious example. To Members who claim that a so-called membership fee of £55 million a day is the cost of EU membership, I say that every time the Beluga flies out of the Airbus plant into the north Wales skies with products that are the result of skilled manufacturing, the fee, bogus as it is, is paid off Bank of America, Tata Steel and Bristol-Myers Squibb all have a presence in the area that is central to their European operations. That is not to mention the countless smaller businesses that trade with Europe but would not have the time or energy to worry about negotiating through trade barriers with each EU country, should we leave. Those businesses simply could not afford to wait for the chimera of a promised free trade deal, which is supposedly the answer to every argument that proponents of our leaving the EU cannot face up to I finish by echoing the sentiments expressed by the right hon. Member for Clwyd West and continuing the consensual note that he brought to the debate by daring to suggest that many residents of north Wales feel a stronger affinity with Chester and west Cheshire than they do with Cardiff. We in the region are doing something about that; we are working together to drive forward common economic growth across that border. I hope and believe that hon. Members will be hearing a lot more about the Mersey Dee Alliance and our successes in the years to come.
ParlaMint-GB_2016-03-03-commons.u421	I, too, thank the hon. Member for Aberavon (Stephen Kinnock) for spearheading our attempts to secure this debate. It has given hon. Members from across the country a welcome opportunity to debate a rich variety of issues I commend the hon. Member for Montgomeryshire (Glyn Davies), who is no longer in his place, for his glowing tribute to David Lloyd George and Lady Megan Lloyd George. Lady Megan Lloyd George strayed a little in later life and became the Labour MP for Carmarthen. The hon. Gentleman failed to mention the word “Liberal”, but for 54 years, David Lloyd George was a Liberal in this House, as was Megan Lloyd George for 22 years. Perhaps none of us aspires to 54 years in the House, but Lloyd George managed it. He is a great hero of mine as well as of the hon. Gentleman’s I want to raise a range of issues. I do not have the geographical organisation of the hon. Member for Gower (Byron Davies), who gave us a tour de force around Wales. I will pick randomly on issues that affect my constituency, but which I believe are pertinent to other constituencies across the country I believe that the hon. Member for Aberconwy (Guto Bebb) will relate to one issue that cropped up earlier today, because he has done a great deal of work on the mis-selling of interest rate swap products and led our campaign on the matter. I have done a little work on that as well, and I have tried to represent the interests of my farming community. I am concerned about a letter that I saw this morning from a bank to one of my constituents. I had no hesitation in referring my constituent—a farmer, who has worked hard and continues to do so, and who wants to develop his business—to the Financial Ombudsman Service to attempt to get some redress and independent adjudication. The bank wrote: “If the FOS agrees with us, they will not have our permission”— so says the bank— “to consider your complaint and so will only be able to do so in very limited circumstances. If you do not refer your complaint to the FOS within six months, the FOS will not have our permission” That is the bank talking, not the independent adjudicator, the ombudsman. I will not go into the specifics of the case, but it is a concerning state of affairs when the banks regard the ombudsman in such a way, and when my constituent is treated with such contempt Transport has been a big theme of the debate. I want to raise the issue of physical connectivity. If the hon. Member for Newport East (Jessica Morden) has been, to use her words, “banging on” about the Severn bridge tolls for a long time, I have been talking about the Aberystwyth to Shrewsbury railway for a long time. There have been great advances, and I pay tribute to the Assembly Government for instigating an hourly service and investing in a new signalling system. I very much welcome the fact that Welsh Ministers are likely to be the franchising authority for Wales and the borders by 2017. Negotiations are taking place between the Government in Wales and the Department for Transport. Concerns have, however, been expressed about the remapping of services in the franchise. The Shrewsbury to Aberystwyth Rail Passenger Association is very concerned about consideration being given to splitting the current Cambrian coast and Aberystwyth to Birmingham service, meaning that all trains will terminate in Shrewsbury, rather than going all the way through to the west midlands. I understand the logic of a neat franchise boundary, but that will have an impact on constituents We have spent a long time promoting the tourism sector in west Wales and building links between Aberystwyth and west Wales and Birmingham International airport. During the previous Parliament, the Welsh Affairs Committee looked at the direct route through to the airport. It is now a great success, with 50% more trains through to Aberystwyth and a 40% increase in the number of passengers using the service. I hope that the Wales Office will, if it has not already done so, become engaged in those discussions, and at the very least voice the concerns that some of us have about the need for direct services from the midlands to west Wales.
ParlaMint-GB_2016-03-03-commons.u422	Will the hon. Gentleman give way?
ParlaMint-GB_2016-03-03-commons.u423	I will give way briefly, because I am conscious of the time.
ParlaMint-GB_2016-03-03-commons.u424	Aberystwyth University is important to the economy of mid-Wales. Such connectivity is important to the university in attracting students from Wales and from outside Wales.
ParlaMint-GB_2016-03-03-commons.u425	I am grateful to the hon. Gentleman for making that point. I know he has a potential interest in Aberystwyth University, and I commend it unreservedly to the Bebb family. Whether they come by road or on the train, the issue is important in developing the university I commend to the House early-day motion 1073 on the proposed closure and franchising of Crown post offices. The Under-Secretary of State for Wales will be interested in the one in his constituency of Vale of Glamorgan. Both Governments rightly talk about the vibrancy of the high street, and few of us would doubt the economic benefits that Post Office Ltd brings to our communities, so there is an inconsistency in franchising post offices, such as mine in Aberystwyth, out of the high street and into some backwater or into the back corner of a retailer There is also the effect on staff. The hard-working staff in Aberystwyth Crown post office were given the choice of redundancy, redeployment to the nearest Crown post office—in our case, that is the one in Port Talbot—or possibly transferring to employment by the retailer concerned, with wages and work conditions that were far from conducive to such a move. I urge Ministers in the Wales Office to look at those issues and to intervene with Ministers from the Department for Business, Innovation and Skills to encourage them to protect such valued businesses on the high street in our communities Not only post offices but banks have been leaving the high street. There have been bank closures in rural areas. In my constituency, banks in Aberaeron, Llandysul, New Quay and Tregaron have left the community. One reason why banks leave is that, as they say, so much bank business is now undertaken via internet banking I make no apology for talking again about broadband provision and mobile coverage in my constituency. The Under-Secretary of State was very kind to me, or I think he was, when he told me during last week’s Welsh questions that I was persistent. I am persistent, but I am increasingly frustrated, as are many of my constituents. We still have significant problems in rural parts of Wales; this applies not only in rural parts, but I am standing up for a rural area. We fall into the bottom 10% of seats represented in the House for average download speeds and superfast availability. Since Christmas, my constituency office has already had 100 concerned constituents from different parts of Ceredigion coming to us. We sit 639th out of 650 constituencies across the UK for broadband provision, which is bad. There has been some progress and there have been some advances, but, quite frankly, not enough for areas such as ours. If broadband provision is bad, I must say that the Government’s mobile infrastructure project is far worse. Arqiva, their agents, has identified 24 sites across the Ceredigion constituency for new masts to alleviate the problem of “not spots” and lack of mobile reception. It spoke to landowners, the county council and community councils. It all sounded so impressive at the start: “A publicly funded project to provide mobile phone coverage by all four Mobile Network Operators in areas that have none at present.” The scheme ends at the end of this month. We were promised 24 masts; three masts will be achieved, one of which was already there. That mast was built by the excellent Ger-y-Gors community project, under the leadership of Duncan Taylor of Pontrhydfendigaid. One of them was a £60,000 makeover of a mast and just one other mast was built. Nationwide across the United Kingdom, 600 masts were identified, but by the end of March only about 50 will have been built This issue is not just about domestic households. We have talked a lot about building our economy and the advances that have been made. Surely the most basic infrastructure in areas such as mine is broadband and basic mobile coverage. My constituency is as vibrant, innovative, creative and entrepreneurial as anywhere else, but it is being denied the most basic infrastructure. That must be addressed by both the UK and the Welsh Governments. If funds have been available to the Assembly Government, they need to publicise them more and make them more available, and there need to be additional resources for rural areas such as mine Finally—I will not go beyond the 46 seconds I have left—it came as no great surprise to me that Ceredigion was listed in The Sunday Times as the most pro-European Union constituency in Britain, according to YouGov. That has a huge amount to do with our excellent universities and the collaborative work they are doing with those on the continent. It has a huge amount to do with the fact that we have qualified for and used money from convergence funding over the last few years. That is for good reason, because there are significant pockets of deprivation in the constituency. It also has a lot to do with farmers, who are concerned about the blank sheet of paper being offered to them by the out campaigns and UKIP. I look forward to a massive yes vote in Ceredigion on 23 June, even if I still have some concerns about the date.
ParlaMint-GB_2016-03-03-commons.u426	We have become very accustomed to waiting for things in Wales. We waited a very long time for rail electrification, we waited patiently to get the Welsh national football team into the Euros, and we waited a very long time for a Welsh premier league football club, but now Swansea City is there. Today, we waited a very long time for the Secretary of State to make an appearance in this very important debate. Either our performances are not up to scratch or he has had a better offer, because he has chosen to leave the Chamber.
ParlaMint-GB_2016-03-03-commons.u427	I am happy to announce to the hon. Lady that the Secretary of State has an important telephone conversation with the Minister for Economy, Science and Transport in the Welsh Government.
ParlaMint-GB_2016-03-03-commons.u428	It was nice to see him for a short period of time We are now waiting for a review of the Swansea bay tidal lagoon. We waited a full year for the negotiations between the developer and the Government, and now we are being asked to wait while the Government establish an independent review of tidal lagoons nationwide. My first reaction to that news was to ask the very same questions that many of my constituents threw at me. Why are the goalposts being moved again? After so much talking, what is there left to learn? Is it a sign that the Government are serious about the project, or is it an airports-style way of kicking it into touch without losing votes in an election year in Wales Having discussed the review with the developer, I am encouraged because although it thinks the wait is frustrating, it is optimistic that the scene is being set for success. It has to be hoped that the launch of an independent review of tidal lagoons represents a new level of commitment from the Government. I hope that if the Government are investing time and money in reviewing the concept, they too can see the potential of this exciting new industry. If the review is genuinely meant to be the vehicle through which this technology can at last be realised, it will be to the good, but if this stalling is just to kick the scheme into the long grass, it will be a travesty Wales and my constituency of Swansea East will be the big winners from the launch of a UK tidal lagoon, but the whole country will share the success of this globally ground-breaking innovation. I look forward eagerly to the quick formation of a committee and a chair—a committee that, one naturally assumes, will have Welsh representation among its members. I look forward to seeing the details of how the review will operate, who will be involved and when it will report. I will follow those developments closely, as I know many people here and in the other place will. We also eagerly await updates from the Department of Energy and Climate Change regarding the progression of negotiations on the Swansea bay tidal lagoon The UK needs to seize this opportunity. We have to be seen as the leader, not a follower, in tidal power. We have the potential to have the first tidal lagoon in the world to secure planning permission. The project can be delivered, and it could match costs with other energy projects that are springing up around the country. Swansea East is ready to host this new global industry, and Swansea is ready to be that leader What may be lost on many Members is the effect that the lagoon has already had in transforming my community. People have bought into the vision in a way that has not been seen before, and as that vision has become ever more real it has brought with it a new high morale and a new can-do attitude. It has given rise to many plans, from small businesses in and around Swansea bay to the industrial facilities that are ready to win contracts for the Swansea bay city region and the Sir Terry Matthews strategy for a city deal. As plans for further tidal lagoons around the Welsh coastline start to take shape, the sense of optimism will spread There is growing international interest in the plans, which are putting Swansea and Wales on the map. I conclude my speech in this St David’s day debate with a message for all colleagues in the House: here is an issue on which we can and should all agree. Here is an opportunity that the whole of Wales and the UK can benefit from. Let us work together and ensure that tidal power brings world acclaim to Swansea, Wales and Great Britain, and that we have the first tidal lagoon in the world. On the morning when a tidal lagoon opens for the first time, the words “good morning” need to be spoken as “bore da”, not “bonjour”.
